BV号：BV1apZCYFEZh
标题：BV1apZCYFEZh
链接：https://www.bilibili.com/video/BV1apZCYFEZh
识别语言：zh
语言置信度：1
分段数：333
生成时间：2026-09-07 00:49:41

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 坦白说 去年我们做的关于SAMAUTMAN的内容并不多
[00:00:06 - 00:00:09] 一方面是由于他的很多访谈干祸不多
[00:02:12 - 00:02:14] OpenAI在架构上可能会有所不同
[00:02:15 - 00:02:16] 毕竟在创新的过程中
[00:02:16 - 00:02:17] 犯错是难以避免的
[00:02:18 - 00:02:19] 接下来两个人聊到了
[00:02:19 - 00:02:21] ChadGPT诞生的故事
[00:02:21 - 00:02:22] 应该说ChadGPT的出现
[00:02:22 - 00:02:24] 其实充满了意外
[00:02:24 - 00:02:26] 在GbT3推出API之后
[00:02:26 - 00:02:29] 虽然它在文案编写领域取得了一定的成功
[00:02:29 - 00:02:32] 但是整体的表现也只能说是中规中矩
[00:02:32 - 00:02:34] 但是到了GbT3.5和GbT4的阶段
[00:02:34 - 00:02:37] 开发者们在playground上测试模型的时候
[00:02:37 - 00:02:39] 发现和模型聊天很有趣
[00:02:39 - 00:02:42] 这就让OpenI的团队看到了聊天产品的潜力
[00:02:42 - 00:02:45] 当时团队已经在RHF方面取得了一定的进展
[00:02:45 - 00:02:47] 并且拥有强大的GbT4模型
[00:02:47 - 00:02:51] 但是考虑到如果同时推出GbT4和聊天界面
[00:02:51 - 00:02:53] 可能会引发太大的轰动
[00:02:53 - 00:02:57] 所以團隊最終決定先推出基於GPT3.5優化的聊天界面
[00:02:57 - 00:02:58] 作為研究的預覽版
[00:02:58 - 00:03:00] 在推出的前夕
[00:03:00 - 00:03:03] CHAT GPT差點被叫做CHAT-BASE GPT3.5
[00:03:03 - 00:03:05] 還好散爆他們及時阻止了
[00:03:05 - 00:03:07] 最終確定了CHAT GPT這個名字
[00:03:07 - 00:03:09] CHAT GPT發布之後
[00:03:09 - 00:03:10] 效果超乎所有人的預料
[00:03:10 - 00:03:12] 迅速火爆全球
[00:03:12 - 00:03:13] 隨後大量的用戶湧入
[00:03:13 - 00:03:15] 讓OpenEye的夫妻激進崩潰
[00:03:15 - 00:03:17] 從商業角度來看
[00:03:17 - 00:03:19] 用GPT3.5版本推出CHAT GPT
[00:03:19 - 00:03:21] 可以說是一個明智之舉
[00:03:21 - 00:03:23] 因为它的服务成本相对较低
[00:03:23 - 00:03:26] 让OpenI有时间去搭建公司的计入设施
[00:03:26 - 00:03:28] 来应对突然爆发的业务增长
[00:03:28 - 00:03:29] 但是从长远来看
[00:03:29 - 00:03:32] 也有人认为这可能会存在一些问题
[00:03:32 - 00:03:34] 比如说部分用户对于ChadGPT的认知
[00:03:34 - 00:03:36] 还是停留在3.5版本的时代
[00:03:36 - 00:03:38] 当遇到其他新的模型的时候
[00:03:38 - 00:03:40] 就会觉得新模型更好
[00:03:40 - 00:03:42] 而忽略了ChadGPT后续的发展
[00:03:42 - 00:03:44] 那随着ChadGPT的成功
[00:03:44 - 00:03:46] OpenI就从一个研究实验室
[00:03:46 - 00:03:49] 迅速转变为了一家大型的消费互联网公司
[00:03:49 - 00:03:51] 这个转变过程其实并不轻松
[00:03:51 - 00:03:54] 尤其是科技行业的人员流动很频繁
[00:03:54 - 00:03:55] OpenI也不例外
[00:03:55 - 00:03:59] 很多员工最初并不是冲着加入一家消费产品公司而来的
[00:03:59 - 00:04:02] 但是ChatGPT带来的机遇就摆在眼前
[00:04:02 - 00:04:04] OpenI也不得不抓住
[00:04:04 - 00:04:05] 对于SAM Automan来说
[00:04:05 - 00:04:08] 他原本是想运营一个AGI的研究实验室
[00:04:08 - 00:04:11] 如今却要掌管一家大型的消费科技公司
[00:04:11 - 00:04:13] 这对他来说也是一个巨大的转变
[00:04:13 - 00:04:15] 不过凭借着之前的经验
[00:04:15 - 00:04:17] 他早早察觉到了ChatGPT的火爆趋势
[00:04:17 - 00:04:21] 当服务器因为大量用户的涌入而崩溃的时候
[00:04:21 - 00:04:23] 很多人认为这只会是弹花一线
[00:04:23 - 00:04:26] 但是散包他们知道这是产品爆发的前奏
[00:04:26 - 00:04:28] 展望OPI的未来
[00:04:28 - 00:04:29] 散包他们有着自己的规划
[00:04:29 - 00:04:31] 他认为未来五年
[00:04:31 - 00:04:34] OPI会拥有几款作用数十亿用户的产品
[00:04:34 - 00:04:36] 用户可以用OPI的账号
[00:04:36 - 00:04:38] 登陆任何集成了OPIAPI的平台
[00:04:38 - 00:04:40] 使用自己的信用额度套餐
[00:04:40 - 00:04:41] 定制模型等等
[00:04:41 - 00:04:45] 这就像是打造了一个围绕着OPI的生态系统一样
[00:04:45 - 00:04:48] 让用户在不同的平台都能够享受到个性化的服务
[00:04:48 - 00:04:49] 为了实现这个目标
[00:04:49 - 00:04:52] OPENI在API方面不断的发布更新
[00:04:52 - 00:04:55] 包括可以访问与operator底层相同的计算模型
[00:04:55 - 00:04:57] 以及Response's API
[00:04:57 - 00:04:58] 在商业模式方面
[00:04:58 - 00:04:59] 很多人会认为
[00:04:59 - 00:05:02] 作为一家拥有庞大用户群体的消费科技公司
[00:05:02 - 00:05:05] 广告似乎是OPENI一个顺理成章的盈利方式
[00:05:05 - 00:05:08] 但是SumMotorman对于这一点却有着不同的看法
[00:05:09 - 00:05:11] 它更倾向于通过卖订阅服务来盈利
[00:05:11 - 00:05:12] 它认为
[00:05:12 - 00:05:15] 比起从广告模式中赚取微博的利润来说
[00:05:15 - 00:05:17] 让人们为出色的自动化软件公众师
[00:05:17 - 00:05:19] 或者是智能助手支付高优的费用
[00:05:19 - 00:05:21] 会更加的有前景
[00:05:21 - 00:05:22] 虽然目前要实现盈利
[00:05:22 - 00:05:24] 并且收回所有投入的资金
[00:05:24 - 00:05:25] 还有很长的路要走
[00:05:25 - 00:05:28] 但是SAMOATMAN对于现有的商业模式
[00:05:28 - 00:05:29] 表现出了充足的信心
[00:05:30 - 00:05:30] 当然了
[00:05:30 - 00:05:33] Authman也透露自己也在探索一些新的盈利模式
[00:05:33 - 00:05:35] 比如说电子商务领域
[00:05:35 - 00:05:38] 很多人会使用DeepSuch功能进行电商的搜索
[00:05:38 - 00:05:41] 所以OpenI也在考虑收取一定比例的联盟用金
[00:05:41 - 00:05:43] 而不是采用传统的广告模式
[00:05:44 - 00:05:46] 虽然这种模式还在探索的阶段
[00:05:46 - 00:05:49] 但是也展现出了OPI在商业模式上的一定思考
[00:05:49 - 00:05:50] 当然了
[00:05:50 - 00:05:51] 从商业分析师的角度来看
[00:05:52 - 00:05:53] 广告业务有着独特的优势
[00:05:54 - 00:05:55] 它能够扩大潜在的市场范围
[00:05:55 - 00:05:57] 增加市场的深度
[00:05:57 - 00:06:00] 而且用户不会因为广告而减少产品的使用
[00:06:00 - 00:06:03] 不过散包他们还是更加看好其他的盈利方式
[00:06:03 - 00:06:06] 未来OPI在商业上究竟会如何的发展
[00:06:06 - 00:06:07] 我们还要拭目以待
[00:06:07 - 00:06:09] 那在如今竞争激烈的AI市场
[00:06:09 - 00:06:11] OPEN-I也面临着不少竞争对手
[00:06:11 - 00:06:13] 比如说DeepSync的出现
[00:06:13 - 00:06:15] 就引起了全球的广泛关注
[00:06:15 - 00:06:17] 散步AutoMap觉得DeepSync的迅速走红
[00:06:17 - 00:06:19] 并不是完全靠模型自身的能力
[00:06:20 - 00:06:20] 而是一方面
[00:06:20 - 00:06:23] 是因为它将前眼模型给免费开放了
[00:06:23 - 00:06:25] 另一方面就是展示了SV链的功能
[00:06:25 - 00:06:27] 让很多的用户感到很欣气
[00:06:27 - 00:06:28] 对于OPEN-I来说
[00:06:28 - 00:06:31] DeepSync的成功可以算得上是一个警示
[00:06:31 - 00:06:32] 它让散步AutoMap开始思考
[00:06:32 - 00:06:35] 在免费的领域中应该提供哪些功能
[00:06:35 - 00:06:37] 原本的OPEN-I隐藏了一些功能的
[00:06:37 - 00:06:38] 比如说思维链的功能
[00:06:39 - 00:06:41] 虽然这么做也是有它合理的理由的
[00:06:41 - 00:06:43] 但是显然这也给了像Deep SIG这样的
[00:06:43 - 00:06:44] 精中对手机会
[00:06:44 - 00:06:46] 所以SAMO AUTOMAN在谈话中表示
[00:06:46 - 00:06:49] 未来GBT5很有可能可以免费的使用
[00:06:49 - 00:06:51] 这无一是一个重大的改变
[00:06:51 - 00:06:52] 主持人又谈到
[00:06:52 - 00:06:54] OPEN的另一个精中对手GRUK
[00:06:54 - 00:06:56] 认为他在用户体验方面有自己的特点
[00:06:56 - 00:06:58] 比如说用户在使用GRUK的时候
[00:06:58 - 00:07:00] 感觉他不会突然跳出来教训人
[00:07:00 - 00:07:03] 这一点也是ChateGBT早期经常被用户
[00:07:03 - 00:07:04] 所诟病的问题
[00:07:04 - 00:07:06] SAMO AUTOMAN也承认
[00:07:06 - 00:07:08] Gorg的出現讓Open Eye意識到
[00:07:08 - 00:07:09] 自己的產品在用戶體驗方面
[00:07:09 - 00:07:11] 還有很大的提升空間
[00:07:11 - 00:07:14] 應該要讓用戶有更多自主選擇的權利
[00:07:14 - 00:07:16] 所以後面也進行了長足的改進
[00:07:16 - 00:07:19] 談到AI本身的一些技術和倫理問題
[00:07:19 - 00:07:21] 其中一個就是幻覺現象
[00:07:21 - 00:07:22] 它會導致AI生成的內容
[00:07:22 - 00:07:24] 有時會出現與事實不符的情況
[00:07:24 - 00:07:26] 但是Sam Altman認為
[00:07:26 - 00:07:28] 幻覺並不一定完全是壞事
[00:07:28 - 00:07:30] 對於寫作模型來說
[00:07:30 - 00:07:32] 在創作一些創意性的故事的時候
[00:07:32 - 00:07:34] 幻覺可以帶來更多的想像力和創造力
[00:07:34 - 00:07:37] 但是在提供科学事实等信息的时候
[00:07:37 - 00:07:38] 大家就不希望出现幻觉了
[00:07:39 - 00:07:40] 所以关键在于如何让模型
[00:07:40 - 00:07:42] 只在对用户有好处的时候
[00:07:42 - 00:07:43] 来产生幻觉
[00:07:43 - 00:07:46] 这也是OpenI目前在研究解决的问题之一
[00:07:46 - 00:07:48] 另外的主持人还提到
[00:07:48 - 00:07:50] AI的提示词也会引发一些问题
[00:07:50 - 00:07:51] 比如说提示词中
[00:07:51 - 00:07:53] 要求AI不要透露某些信息
[00:07:53 - 00:07:55] 但是如果AI遵循了指令
[00:07:55 - 00:07:57] 可能就会被误解它在说谎
[00:07:57 - 00:08:00] 像XAI就曾经因为在系统提示中
[00:08:00 - 00:08:03] 要求不要对Elon Musk说坏话而受到批评
[00:08:03 - 00:08:05] 虽然这看起来有些尴尬
[00:08:05 - 00:08:06] 但是SAMUATMAN认为
[00:08:06 - 00:08:08] 这并不像外界描述的那样
[00:08:08 - 00:08:10] 好像是一场灾难
[00:08:10 - 00:08:11] 对于模型来说
[00:08:11 - 00:08:12] 它只是在遵循指令
[00:08:12 - 00:08:14] 而对于AI行业的发展来说
[00:08:14 - 00:08:16] 芯片供应链也是一个绕不开的问题
[00:08:16 - 00:08:17] 前一段时间
[00:08:17 - 00:08:18] OpenAI在政策文件中
[00:08:18 - 00:08:20] 支持出口管制
[00:08:20 - 00:08:21] 就引发了一些争议
[00:08:21 - 00:08:22] 我们频道也做了一些节目
[00:08:22 - 00:08:24] 有人怀疑OpenAI呼吁监管
[00:08:24 - 00:08:25] 是为了阻碍竞争
[00:08:25 - 00:08:27] 而SAMUATMAN解释说
[00:08:27 - 00:08:28] 他们呼吁的监管
[00:08:28 - 00:08:29] 主要是针对于前眼模型
[00:08:29 - 00:08:31] 希望建立安全的测试标准
[00:08:31 - 00:08:35] 但是目前世界上有很多地方并不认可这样的策略
[00:08:35 - 00:08:37] 他也担心会出现监管过渡的情况
[00:08:37 - 00:08:41] 同时呢,欧盘埃也担心美国对于台积电的依赖问题
[00:08:41 - 00:08:44] 毕竟呢,中国在芯片供应方面有着自己的布局
[00:08:44 - 00:08:46] 而美国如果过渡依赖于台积电
[00:08:46 - 00:08:48] 可能就会面临着风险
[00:08:48 - 00:08:51] 不过目前呢,欧盘埃在解决芯片规律的依赖问题上
[00:08:51 - 00:08:52] 还没有明确的发
[00:08:52 - 00:08:55] SAMALTMAN也希望能够尽快地找到解决办法
[00:08:55 - 00:08:57] 在AI当下的应用方面
[00:08:57 - 00:08:59] AI编程是一个相当热门的话题
[00:08:59 - 00:09:00] 最近在一些采访中
[00:09:00 - 00:09:04] Anstropic的CEO Dalio和OpenEye的CPU凯文韦尔都曾经表示
[00:09:05 - 00:09:05] 到今年年底
[00:09:05 - 00:09:08] 99%的代码编写工作将实现自动化
[00:09:09 - 00:09:10] 对此Samuatman认为
[00:09:10 - 00:09:12] 如今在很多公司里
[00:09:12 - 00:09:15] AI编写代码的比例可能已经超过了50%
[00:09:15 - 00:09:16] 不过他也指出
[00:09:16 - 00:09:19] 目前完全的AI编程还没有真正的实现
[00:09:19 - 00:09:20] 这主要是模型方面的问题
[00:09:21 - 00:09:22] 虽然随着AI技术的发展
[00:09:22 - 00:09:25] 软件工程师的工作效率会大幅的提高
[00:09:25 - 00:09:27] 未来对于软件工程师的需求可能会减少
[00:09:27 - 00:09:29] 不过就目前而言
[00:09:29 - 00:09:31] OPI仍然在招聘软件工程师
[00:09:31 - 00:09:33] 散步Altman也认为在一段时间内
[00:09:33 - 00:09:35] 软件工程师还是有很大作用的
[00:09:35 - 00:09:37] 但是在往远说的话
[00:09:37 - 00:09:39] 比如说通用人工只能AGI
[00:09:39 - 00:09:40] 散步Altman认为
[00:09:40 - 00:09:42] 目前AGI并没有一个统一的标准定义
[00:09:42 - 00:09:43] 对于不同的人来说
[00:09:43 - 00:09:45] AGI可能有着不同的含义
[00:09:45 - 00:09:48] 有人会认为他与一定的经济价值有关
[00:09:48 - 00:09:50] 有人会觉得他是一种通用的
[00:09:50 - 00:09:52] 能够把很多事情都做得很好的东西
[00:09:52 - 00:09:54] 还有人会认为他是不会犯低级错误
[00:09:54 - 00:09:56] 能够自我改进的一种东西
[00:09:56 - 00:09:58] 如果按照其中的一种定义
[00:09:58 - 00:09:59] 从某些方面来看
[00:09:59 - 00:10:01] OPI可能已经实现AGI了
[00:10:01 - 00:10:03] 比如说把一个人从2020年
[00:10:03 - 00:10:04] 带到2025年
[00:10:04 - 00:10:06] 让他去看看现在的AI技术
[00:10:06 - 00:10:07] 可能就会觉得
[00:10:07 - 00:10:09] 这已经达到了AGI的水平
[00:10:09 - 00:10:11] 不过在主持人本汤姆森看来
[00:10:11 - 00:10:13] 能够完成特定的任务
[00:10:13 - 00:10:14] 并且通过规划中间步骤
[00:10:14 - 00:10:16] 来实现目标的AI
[00:10:16 - 00:10:18] 就可以看作是AGI的一种体现
[00:10:18 - 00:10:20] 虽然这以传统对于AGI的定义有所不同
[00:10:20 - 00:10:23] 似乎缩小了AGI原本的含义
[00:10:23 - 00:10:24] 但是也反映出了
[00:10:24 - 00:10:26] 人们对于AI认知的一种变化
[00:10:26 - 00:10:28] 前两天我们也做了一期节目
[00:10:28 - 00:10:29] 同样得主杨丽坤认为
[00:10:29 - 00:10:31] AI不能够创造新的东西
[00:10:31 - 00:10:33] 很多观众也发表了各种意见
[00:10:33 - 00:10:34] 在这个问题上
[00:10:34 - 00:10:36] 三毛他曼能保持了一个较为乐观的态度
[00:10:37 - 00:10:39] 他认为虽然目前模型还不够智能
[00:10:39 - 00:10:42] 但是很多使用Deep Search功能的人已经发现
[00:10:42 - 00:10:45] 模型能够帮助他们更快的发现新的科学线索
[00:10:45 - 00:10:46] 从创造力的角度来看
[00:10:46 - 00:10:49] 他认同大为多一期在无穷的开始中的观点
[00:10:49 - 00:10:52] 即创造力就是拿之前看到的东西稍作修改
[00:10:52 - 00:10:55] 而AI在这方面有着独特的优势
[00:10:55 - 00:10:57] 虽然目前还没有出现重大的科学突破
[00:10:57 - 00:10:59] 但是Summoned Man相信
[00:10:59 - 00:11:00] 随着技术的发展
[00:11:00 - 00:11:03] AI一定能够创造或者是发现新的东西
[00:11:03 - 00:11:05] 最后Summoned Man给即将毕业的高中生们
[00:11:05 - 00:11:07] 提了一些自己的职业建议
[00:11:07 - 00:11:11] 他认为在AI时代要非常擅长使用AI工具
[00:11:11 - 00:11:13] 就像过去大家都说要精通编程一样
[00:11:13 - 00:11:16] 同时要注意培养自己的任性和适应能力
[00:11:16 - 00:11:18] 学会了解别人的需求
[00:11:18 - 00:11:20] 以及如何让自己变得对他人有用
[00:11:20 - 00:11:22] 在学习的过程中
[00:11:22 - 00:11:24] 不要过于关注具体的专业细节
[00:11:24 - 00:11:26] 而是要重视学习的原能力
[00:11:26 - 00:11:28] 也就是学习如何学习的能力
[00:11:28 - 00:11:29] 这才是最有价值的
[00:11:29 - 00:11:30] 好了
[00:11:30 - 00:11:33] 以上就是散博特曼这次访谈的主要内容了
[00:11:33 - 00:11:35] 希望能够让大家对于散博特曼和OPI
[00:11:35 - 00:11:37] 有一些更多的了解和认识
[00:11:37 - 00:11:39] 对于奥特曼的观点有什么看法
[00:11:39 - 00:11:41] 也欢迎在评论区留言讨论
[00:11:41 - 00:11:42] 感谢大家的观看
[00:11:42 - 00:11:43] 我们下期再见
