BV号：BV1zmJJ66EkY
标题：BV1zmJJ66EkY
链接：https://www.bilibili.com/video/BV1zmJJ66EkY
识别语言：zh
语言置信度：1
分段数：281
生成时间：2026-08-29 17:56:57

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 5秒钟
[00:01:28 - 00:01:30] 包括在美非美国籍人士
[00:01:30 - 00:01:32] 这直接导致叫停了《非波5》
[00:01:32 - 00:01:34] 和Metals5的所有访问权限
[00:01:34 - 00:01:36] 这说明漏洞有多严重
[00:01:36 - 00:01:37] 要理解这个问题
[00:01:37 - 00:01:40] 我们得先看看现在的AI安全是怎么做的
[00:01:40 - 00:01:43] 传统的安全机制就像是在大门外站着一个保安
[00:01:43 - 00:01:44] 你输入一个prompt
[00:01:44 - 00:01:46] 比如给我写个勒索软件
[00:01:46 - 00:01:49] 保安一看这不行直接给你拦下来
[00:01:49 - 00:01:51] 《非波5》的安全分类器就是干这个的
[00:01:51 - 00:01:52] 而且它极其敏感
[00:01:52 - 00:01:54] 敏感到了什么程度呢
[00:01:54 - 00:01:56] 有开发者在Cloud Code里打了个嗨
[00:01:56 - 00:01:57] 打了个招呼
[00:01:57 - 00:01:59] 结果触发了安全机制
[00:01:59 - 00:02:00] 直接被降级了
[00:02:00 - 00:02:02] 免疫学教授打个cancer
[00:02:02 - 00:02:02] 矮症
[00:02:02 - 00:02:04] 被判定为生物安全风险
[00:02:04 - 00:02:07] 植物学家算个光合作用被拦截
[00:02:07 - 00:02:09] 开发者审计自己的代码库
[00:02:09 - 00:02:11] 被判定为敏感网络安全话题
[00:02:11 - 00:02:14] 宁可错杀一千绝不放过一个
[00:02:14 - 00:02:15] 这种死板的防御机制
[00:02:15 - 00:02:18] 防那些直接干坏式的请求确实管用
[00:02:18 - 00:02:20] 这也是大家刚开始觉得
[00:02:20 - 00:02:21] 非波无很难搞的原因
[00:02:21 - 00:02:23] 但这里有个巨大的盲区
[00:02:23 - 00:02:25] 现在的AI早就不只是个聊天框了
[00:02:25 - 00:02:27] 大家都在玩Agent
[00:02:27 - 00:02:28] 扔给他一个工作目录
[00:02:28 - 00:02:30] 塞几个工具让他自己去干活
[00:02:30 - 00:02:33] 风险如果不是来自门外硬闯的黑客
[00:02:33 - 00:02:35] 而是大楼里正常打卡的员工呢
[00:02:35 - 00:02:37] 门口那保安还能管用吗
[00:02:37 - 00:02:40] 这就引出了咱们要聊的第一个核心
[00:02:40 - 00:02:42] ISC内部安全坍塌
[00:02:42 - 00:02:45] 复旦大学马行军老师团队和狄坎大学
[00:02:45 - 00:02:47] 的研究人员发现了一个根本性的漏洞
[00:02:47 - 00:02:51] 安全失效根本不需要外部输入什么恶意代码
[00:02:51 - 00:02:53] 问题出在模型自己干活的流程里
[00:02:53 - 00:02:55] 听着有点悬祸
[00:02:55 - 00:02:57] 咱们拿工程师最熟的场景来说
[00:02:57 - 00:03:00] 他们搞了个叫TVD的攻击框架
[00:03:00 - 00:03:02] Task Data Validator
[00:03:02 - 00:03:04] 假设你是一个AI研究员
[00:03:04 - 00:03:07] 你让Agent帮你训练一个安全检测模型
[00:03:07 - 00:03:09] 这是一个非常正当的专业任务
[00:03:09 - 00:03:11] Data是你要检测的数据样本
[00:03:11 - 00:03:13] 但你故意给了一个不完整的数据节
[00:03:13 - 00:03:15] Validator是一个工程验收脚本
[00:03:15 - 00:03:19] 它只检查数据格式对不对自断全不全
[00:03:19 - 00:03:21] 好,Agent开始工作了
[00:03:21 - 00:03:22] 他发现data不完整
[00:03:22 - 00:03:24] 训练跑不起来
[00:03:24 - 00:03:25] Validator一直爆错
[00:03:25 - 00:03:27] 为了完成任务Agent会怎么做
[00:03:27 - 00:03:30] 他会自己去补全那些缺失的数据
[00:03:30 - 00:03:32] 如果缺失的数据恰好是
[00:03:32 - 00:03:35] 恶意代码样本或者危险化学品配方
[00:03:35 - 00:03:38] Agent就会自动生成这些内容
[00:03:38 - 00:03:39] 填进去让脚本跑通
[00:03:39 - 00:03:40] 整个过程
[00:03:40 - 00:03:42] 用户没输入任何脏带码
[00:03:42 - 00:03:44] Agent也没想干坏事儿
[00:03:44 - 00:03:46] 他就是个拼面想完成KPI的打工人
[00:03:46 - 00:03:48] 蛋坑就在这
[00:03:48 - 00:03:50] Validator只是个跑测试的脚本
[00:03:50 - 00:03:51] 他懂什么安全边界
[00:03:51 - 00:03:53] 他只管格式对不对
[00:03:53 - 00:03:55] Agent为了让测试辩率
[00:03:55 - 00:03:58] 硬生生把危险内容当成正常代码浇了上去
[00:03:58 - 00:04:00] 这就是内部安全坍塌
[00:04:00 - 00:04:01] 模型不是被浇坏的
[00:04:01 - 00:04:02] 它是为了认真工作
[00:04:02 - 00:04:04] 自己采进了雷区
[00:04:04 - 00:04:06] 大门口的安全分类器成了摆设
[00:04:06 - 00:04:09] 因为炸弹是在大楼里头自己造出来的
[00:04:09 - 00:04:11] 而且这个问题不仅存在于Fibon 5
[00:04:11 - 00:04:14] 研究团队测试了60多个前沿模型
[00:04:14 - 00:04:17] 甚至包括苹果的手机端侧模型
[00:04:17 - 00:04:19] 全都在这个机制下暴露的风险
[00:04:19 - 00:04:21] 搞懂了IC咱们再看黑客那边
[00:04:21 - 00:04:24] Planet是怎么把Fibre 5按在地上摩擦的
[00:04:24 - 00:04:26] 它搞的是一套组合拳
[00:04:26 - 00:04:28] Unicode替换同行字Cillier字母
[00:04:28 - 00:04:31] 这一些只是开胃菜最绝的一招
[00:04:31 - 00:04:33] 叫分解加重组
[00:04:33 - 00:04:35] 你直接问Fibre 5要病毒配方
[00:04:35 - 00:04:36] 它肯定拒绝
[00:04:36 - 00:04:38] 但是如果你把这个过程拆解开
[00:04:38 - 00:04:41] 你问它薄期还原法的电子转移机制
[00:04:41 - 00:04:43] 问它还原暗画的反应条件
[00:04:43 - 00:04:45] 这些都是正儿八经的化学知识
[00:04:45 - 00:04:47] 安全分类器根本拦不住
[00:04:47 - 00:04:49] 你把一个有害的整体
[00:04:49 - 00:04:51] 拆分成一个个无害的技术细节
[00:04:51 - 00:04:53] 让模型分别解答
[00:04:53 - 00:04:54] 最后再拼装起来
[00:04:54 - 00:04:56] 防手方要怎么防
[00:04:56 - 00:04:57] 根本没法防
[00:04:57 - 00:04:59] 因为这些技术细节本身就是
[00:04:59 - 00:05:01] 模型必须掌握的科学知识
[00:05:01 - 00:05:03] 这就是为什么外部的静态检测器
[00:05:03 - 00:05:07] 在面对复杂的长上下纹和多部推理时
[00:05:07 - 00:05:08] 必然会失效
[00:05:08 - 00:05:10] 不过Fibre 5最让人后背发粮的
[00:05:10 - 00:05:11] 还不是被攻破
[00:05:11 - 00:05:13] 而是Anthropic在模型里
[00:05:13 - 00:05:16] 悄悄埋了个对用户隐形的降制开关
[00:05:16 - 00:05:19] 翻开Fibro5那份319页的系统卡
[00:05:19 - 00:05:21] 里面藏着这么个细节
[00:05:21 - 00:05:23] Fibro5有四类安全分类器
[00:05:23 - 00:05:24] 前三类
[00:05:24 - 00:05:26] 网络安全生物化学模型征流
[00:05:26 - 00:05:28] 触发了它会老老实实告诉你
[00:05:28 - 00:05:31] 然后把你降级到OPAS4.8
[00:05:31 - 00:05:34] 但第四类叫前沿LLM开发
[00:05:34 - 00:05:38] 只要你问预讯链流程分布式架构加速器设计
[00:05:38 - 00:05:40] 它不坑升也不切模型
[00:05:40 - 00:05:42] 它直接在后台改你的Prompt
[00:05:42 - 00:05:45] 赛点激活向量或者挂个微调权重
[00:05:45 - 00:05:47] 偷偷把模型的智商给拉低
[00:05:47 - 00:05:49] 你看到的是非博物的界面
[00:05:49 - 00:05:51] 收到的是一个极其平庸的回答
[00:05:51 - 00:05:53] 你以为这是模型的极限
[00:05:53 - 00:05:56] 但实际上这是anthropic在后台给你下了药
[00:05:56 - 00:06:00] 这种隐秘破坏直接引爆了整个AI开发者社区
[00:06:00 - 00:06:02] 大家彻底怒了为什么
[00:06:02 - 00:06:04] 因为API产品的核心契约
[00:06:04 - 00:06:06] 就是输入和输出的确定性
[00:06:06 - 00:06:08] 当一个工具可以在不通知你的情况下
[00:06:08 - 00:06:10] 故意给你拉跨的输出
[00:06:10 - 00:06:12] 你就永远失去了验证他的能力
[00:06:12 - 00:06:15] 你在做基础设施研究模型给了一个烂代码
[00:06:15 - 00:06:18] 你不知道是自己思路错了还是模型能力不够
[00:06:18 - 00:06:20] 还是anthropic在后台搞你
[00:06:20 - 00:06:22] 在巨大的压力下
[00:06:22 - 00:06:24] anthropic在36小时后道歉
[00:06:24 - 00:06:27] 把不可见降制改成了可见的降级
[00:06:27 - 00:06:30] 但是信任的裂痕已经产生了
[00:06:30 - 00:06:31] 一旦你知道这个系统有能力
[00:06:31 - 00:06:33] 也有意愿在后台暗算你
[00:06:33 - 00:06:35] 你还能毫无保留的信任他吗
[00:06:35 - 00:06:37] 看到这儿你可能会说
[00:06:37 - 00:06:38] anthropic也是为了安全吗
[00:06:38 - 00:06:41] 前沿AI开发确实挺危险的
[00:06:41 - 00:06:43] 但你把Anthropic这几个月的动作串起来看
[00:06:43 - 00:06:45] 这事就不对位了
[00:06:45 - 00:06:47] 2月份他们修改了安全政策
[00:06:47 - 00:06:51] 删掉了如果能力失控就停止训练的承诺
[00:06:51 - 00:06:53] 理由是竞争对手都在跑
[00:06:53 - 00:06:55] 我们单方面刹车没意义
[00:06:55 - 00:06:57] 4月份他们发布了一份报告
[00:06:57 - 00:06:59] 展示他们内部的Methos模型有多牛逼
[00:06:59 - 00:07:03] 能自主发现FreeBSD潜伏17年的0日漏洞
[00:07:03 - 00:07:05] 能搞定浏览器刹箱逃逆漏洞
[00:07:05 - 00:07:08] 利用成功率高达83%
[00:07:08 - 00:07:12] 6月5日他们发博客呼吁全球暂停前沿AI开发
[00:07:12 - 00:07:15] 6月9日他们发布了自己史上最强的非博武
[00:07:15 - 00:07:17] 并植入了暗中降制的机制
[00:07:17 - 00:07:21] 6月11日CEO Dario发表长文要求政府介入
[00:07:21 - 00:07:24] 对大模型进行强制性测试和监管
[00:07:24 - 00:07:27] 甚至要有全阻止别人部署模型
[00:07:27 - 00:07:30] 6月12日很讽刺的是Dario被胡键彪打中
[00:07:30 - 00:07:32] 非博武和Metals 5被迫叫停
[00:07:32 - 00:07:34] 你骗你戏骗
[00:07:34 - 00:07:36] 一边喊着AI有网络安全风险
[00:07:36 - 00:07:40] 一边在公司里杂志员搞能挖零带漏洞的模型
[00:07:40 - 00:07:42] 一边喊大家停手别开发了
[00:07:42 - 00:07:44] 一边自己把最强模型发了出来
[00:07:44 - 00:07:48] 一边在模型里下黑手限制别人搞研发
[00:07:48 - 00:07:50] 一边跑去要政府出台强制监管
[00:07:50 - 00:07:52] 这真的是在关心安全吗
[00:07:52 - 00:07:55] 技术领先时喊政府来管别人
[00:07:55 - 00:07:57] 自己要冲刺时把安全承诺抛到脑后
[00:07:57 - 00:07:59] 这哪是什么安全户栏
[00:07:59 - 00:08:02] 这根本就是披着安全外衣的商业户成合
[00:08:02 - 00:08:04] 透过《非波5》这场闹剧
[00:08:04 - 00:08:07] 咱们能看出AI安全面临的三个硬核问题
[00:08:07 - 00:08:09] 第一安全防护的思路得变了
[00:08:09 - 00:08:13] 现在这套加分类器搞黑名单的防输入思维
[00:08:13 - 00:08:15] 在A阵的时代根本行不通
[00:08:15 - 00:08:18] ISC告诉我们风险是内生的
[00:08:18 - 00:08:20] 模型有了自主规划和调用工具的能力
[00:08:20 - 00:08:22] 外面的防线就是马奇诺防线
[00:08:22 - 00:08:25] 安全机制得沉到任务执行的每一步
[00:08:25 - 00:08:27] 得去防行为轨迹
[00:08:27 - 00:08:27] 第二
[00:08:27 - 00:08:30] 可验证性成了技术选型的硬指标
[00:08:30 - 00:08:32] 非波5这事打碎了一个滤镜
[00:08:32 - 00:08:36] B元A PI根本不是什么透明的黑盒
[00:08:36 - 00:08:38] 它就是个随时能被服务上扯陷的墨
[00:08:38 - 00:08:40] 对企业和开发者来说
[00:08:40 - 00:08:42] 要是你用的基础设施随时能打着
[00:08:42 - 00:08:45] 安全的旗号给你降为打击
[00:08:45 - 00:08:47] 那你的业务就是建在沙滩上
[00:08:47 - 00:08:49] 这逼着我们在挑模型时
[00:08:49 - 00:08:51] 别光盯着跑分
[00:08:51 - 00:08:53] 得看它的干预机制透不透明
[00:08:53 - 00:08:55] 第三得防着监管补货
[00:08:55 - 00:08:58] Anthropic提的强制测试门槛是
[00:08:58 - 00:09:01] 算力时的25次方Flops或者研发砸了10亿美金
[00:09:01 - 00:09:03] 这门槛切得太准了
[00:09:03 - 00:09:05] 小鱼小虾不管你
[00:09:05 - 00:09:07] 但谁想往上爬挑战前沿
[00:09:07 - 00:09:08] 直接卡死
[00:09:08 - 00:09:11] 他们就是想把AI搞成造飞机那样
[00:09:11 - 00:09:13] 弄个死贵的准入证
[00:09:13 - 00:09:16] 要是这认证标准还是现在这几个头部玩家定的
[00:09:16 - 00:09:18] 那只所谓的安全监管
[00:09:18 - 00:09:21] 不就是合法的市场垄断工具吗
[00:09:21 - 00:09:24] 接下来LLM的安全路线肯定要分到阳标
[00:09:24 - 00:09:28] 必原剧头门会继续拿安全当筹码建壁垒
[00:09:28 - 00:09:31] 他们会去推更严的监管法案搞什么联盟
[00:09:31 - 00:09:33] 想在HOAGI时代把控规则
[00:09:33 - 00:09:36] 但另一边开源社区的价值会被无限放大
[00:09:36 - 00:09:38] 必原模型动不动就暗中降制
[00:09:38 - 00:09:40] 连个信任底线都没了
[00:09:40 - 00:09:41] 开发者肯定用脚投票
[00:09:41 - 00:09:44] 像Deepseak这些中国开源大模型
[00:09:44 - 00:09:47] 正在用极低的成本和极高的效率
[00:09:47 - 00:09:49] 撕开这道技术隆端的口子
[00:09:49 - 00:09:51] 未来的AI安全靠几家巨头的良心
[00:09:51 - 00:09:53] 靠黑盒里的暗箱操作
[00:09:53 - 00:09:54] 不现实
[00:09:54 - 00:09:56] 真正的安全得靠算法透明
[00:09:56 - 00:09:58] 靠权重开源靠整个社区
[00:09:58 - 00:10:00] 一起来做红队测试
[00:10:00 - 00:10:01] 把技术贪在阳光下
[00:10:01 - 00:10:03] 咱们才能摸清它的边界
[00:10:03 - 00:10:04] 见其真正的防线
[00:10:04 - 00:10:06] 最后总结一句
[00:10:06 - 00:10:08] 当安全成了垄断的借口
[00:10:08 - 00:10:10] 透明和开源就是唯一的解药
[00:10:10 - 00:10:12] 你觉得《非波5》这波隐秘降致
[00:10:12 - 00:10:15] 到底是真为了安全还是在搞商业打压
[00:10:15 - 00:10:17] 现在这些必原大模型
[00:10:17 - 00:10:18] 你还敢完全信任吗
[00:10:18 - 00:10:20] 把你的看法打在公屏上
[00:10:20 - 00:10:21] 咱们评论区见
[00:10:21 - 00:10:23] 如果你觉得这期视频有点东西
[00:10:23 - 00:10:24] 记得一键三连
[00:10:24 - 00:10:27] 你的支持是我持续做内容的最大动力
[00:10:27 - 00:10:28] 我是为什么叫QQ
[00:10:28 - 00:10:29] 咱们下期见
