BV号：BV1wCQxB6Epd
标题：BV1wCQxB6Epd
链接：https://www.bilibili.com/video/BV1wCQxB6Epd
识别语言：zh
语言置信度：1
分段数：190
生成时间：2026-08-29 07:48:28

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:04] 大家有没有发现一个很离谱的现象
[00:06:01 - 00:06:05] 以后的游戏工作室可能不再需要庞大的动画部门
[00:06:05 - 00:06:07] 但它需要一个能深刻理解人类情感
[00:06:07 - 00:06:10] 能跟AI进行高效调效的创意总监
[00:06:10 - 00:06:14] 这就是我常说的,技术在平权但审美在溢价。
[00:06:14 - 00:06:17] 最后,我们必须直面一些现实的隐忧。
[00:06:17 - 00:06:20] 首先是深度伪造的伦理风暴。
[00:06:20 - 00:06:26] 当AI生成的角色能在直播间跟你对视,跟你哭跟你笑且画质无法分辨真伪时,
[00:06:26 - 00:06:28] 我们如何去识别一个数字欺诈?
[00:06:28 - 00:06:33] lpm1.0的强大,意味着制造真实谎言的成本降低到了冰点。
[00:06:33 - 00:06:38] 其次是算力的霸权,一个170亿参数的扩散模型。
[00:06:38 - 00:06:41] 他的训练和实施推理成本极高
[00:06:41 - 00:06:42] 这是否意味着
[00:06:42 - 00:06:46] 只有像米哈游这样才大气粗的游戏剧头
[00:06:46 - 00:06:48] 才能拥有这种数字生命的定义权
[00:06:48 - 00:06:51] 当小型创作者在用黑战作播报时
[00:06:51 - 00:06:54] 大厂已经在用LPM创造有灵魂的虚拟化身
[00:06:54 - 00:06:55] 这种技术鸿钩
[00:06:55 - 00:06:58] 可能会进一步加剧创意产业的集中化
[00:06:58 - 00:07:00] LPM1.0的发布
[00:07:00 - 00:07:02] 标志者AI虚拟角色
[00:07:02 - 00:07:05] 正式跨越了从生成图像
[00:07:05 - 00:07:06] 到生成表演的鸿钩
[00:07:06 - 00:07:09] 它不仅是蔡浩宇在AI领域的一次亮件
[00:07:09 - 00:07:13] 更是对于未来数字世界底层逻辑的一次重写
[00:07:13 - 00:07:15] 在这里我想问大家一个很终极的问题
[00:07:15 - 00:07:17] 如果有一天你在一个虚拟世界里
[00:07:17 - 00:07:20] 遇到一个完全由代码生成的NPC
[00:07:20 - 00:07:24] 它能听懂你的痛苦能给你最自然的眼神安慰
[00:07:24 - 00:07:27] 甚至能表现出只有真人才有的犹豫和挣扎
[00:07:27 - 00:07:29] 到那个时候你还会觉得它只是一个
[00:07:29 - 00:07:31] 170亿参数的数学概率吗
[00:07:31 - 00:07:34] 当你愿意为之付出情感的那一刻
[00:07:34 - 00:07:37] 他是不是就已经具备了某种形式的生命
[00:07:37 - 00:07:38] 欢迎把你的想法打在弹幕上
[00:07:38 - 00:07:40] 或者在评论区跟我深度交流
[00:07:40 - 00:07:43] 我会在评论区支顶lpm的演示地址
[00:07:43 - 00:07:45] 你觉得lpm会最先颠覆哪个行业
[00:07:45 - 00:07:47] 是游戏直播还是影视
[00:07:47 - 00:07:49] 看完本期内容如果觉得有收获
[00:07:49 - 00:07:51] 别忘了一键三连支持一下
[00:07:51 - 00:07:52] 我是为什么叫QQ
[00:07:52 - 00:07:53] 我们下期见
