BV号：BV1H2qSYLEUm
标题：BV1H2qSYLEUm
链接：https://www.bilibili.com/video/BV1H2qSYLEUm
识别语言：zh
语言置信度：1
分段数：287
生成时间：2026-08-31 04:10:57

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 今天我们来继续OPEN-i 12天联播的第二天
[00:00:06 - 00:00:09] 仍然是短短的20分钟 但是重要性却不低
[00:00:09 - 00:00:12] 大家之前也许都听说过监督微调SFT
[00:04:45 - 00:04:46] 已有的症狀包括
[00:04:46 - 00:04:47] 眼距够宽
[00:04:47 - 00:04:48] 剪裂狹小
[00:04:48 - 00:04:49] 小和畸形
[00:04:49 - 00:04:51] 軟鱷煙避合不全
[00:04:51 - 00:04:53] 假狀螃蟹功能減退
[00:04:53 - 00:04:56] 全身發育齒緩和感覺神經性聽力障礙
[00:04:56 - 00:04:57] 未表現出的症狀有
[00:04:57 - 00:04:58] 惡劣
[00:04:58 - 00:04:59] 法洛斯聯症
[00:04:59 - 00:05:01] 肺動脈絆避所
[00:05:01 - 00:05:02] 心防隔缺損
[00:05:02 - 00:05:04] 主動脈肺動脈側支血管
[00:05:04 - 00:05:05] 指令部分為
[00:05:05 - 00:05:08] 請列出所有可能導致這些症狀的基因
[00:05:08 - 00:05:10] 從可能性最大到可能性最小
[00:05:10 - 00:05:11] 並且解釋
[00:05:11 - 00:05:14] 為什麼你認為這些特定的基因可能是原因
[00:05:14 - 00:05:15] 最后就是正确答案
[00:05:16 - 00:05:17] 注意在训练过程中
[00:05:17 - 00:05:20] 研究人员并不为像模型展示这个答案
[00:05:20 - 00:05:21] 否则就是作弊了
[00:05:22 - 00:05:24] 但是研究人员会在训练过程中
[00:05:24 - 00:05:25] 用这个答案来评估模型
[00:05:26 - 00:05:28] 可以看出这个人物的难度
[00:05:28 - 00:05:29] 已经远远超过了
[00:05:29 - 00:05:31] Strawberry中有几个R的级别
[00:05:31 - 00:05:34] 接下来他们上传了一些验证数据
[00:05:34 - 00:05:36] 格式与训练数据完全相同
[00:05:36 - 00:05:38] 但是验证数据级和训练数据级之间
[00:05:38 - 00:05:40] 没有重叠的正确基因
[00:05:40 - 00:05:42] 这也就意味着模型不能够作弊
[00:05:42 - 00:05:45] 不能够只是通过简单的记住病状列表
[00:05:45 - 00:05:47] 然后与基因匹配来进行回答
[00:05:47 - 00:05:49] 它必须真正的从训练数据级
[00:05:49 - 00:05:51] 泛化到验证数据级上
[00:05:51 - 00:05:53] 为了采用强化学习
[00:05:53 - 00:05:55] 研究人员引入了评分器的概念
[00:05:55 - 00:05:58] 将模型的输出与正确答案进行比较
[00:05:58 - 00:06:00] 返回0-1之间的一个分数
[00:06:00 - 00:06:02] 0表示模型完全错误
[00:06:02 - 00:06:03] 1表示模型完全正确
[00:06:03 - 00:06:05] 在这个例子中
[00:06:05 - 00:06:07] 模型得到了0.7的分数
[00:06:07 - 00:06:09] 因为F1X13是正确答案
[00:06:09 - 00:06:11] 在基因列表中排第二位
[00:06:11 - 00:06:13] 如果它在列表中越往后
[00:06:13 - 00:06:15] 分数就会越接近于零
[00:06:15 - 00:06:18] 最终研究人员提供了一套平分器的合集
[00:06:18 - 00:06:20] 能够有效的覆盖在强化为条时
[00:06:20 - 00:06:22] 可能会有的各种意图空间
[00:06:22 - 00:06:24] 接下来 研究人员就可以快速的
[00:06:24 - 00:06:26] 去复制一下这个平分器
[00:06:26 - 00:06:28] 然后启动一个训练任务
[00:06:28 - 00:06:29] 这里厉害的地方在于
[00:06:29 - 00:06:31] 你只需要提供能够体现
[00:06:31 - 00:06:33] 领域专业知识的数据级和平分器
[00:06:33 - 00:06:36] 就可以利用OpenI强化学习算法的全部能力
[00:06:36 - 00:06:39] 以及完整的分布式模型训练技术站
[00:06:39 - 00:06:42] 来为自己的使用场景去定制一个前沿的大模型了
[00:06:42 - 00:06:45] 简单来说就是只需要提供你的数据级和平分器
[00:06:46 - 00:06:48] OpenAI就会给你一个微调后的模型
[00:06:48 - 00:06:50] 从模型的训练结果中我们也可以看到
[00:06:50 - 00:06:53] 验证级的奖励分数呈上升的趋势
[00:06:53 - 00:06:57] 由于训练数据级和验证数据级之间的基因没有重叠
[00:06:57 - 00:07:00] 这就意味着模型确实学会了在这项任务中进行泛化
[00:07:01 - 00:07:02] 为了更加深入的去了解
[00:07:02 - 00:07:05] 模型在微调过程中发生了什么样的变化
[00:07:05 - 00:07:07] 我们还可以去查看评估一标版
[00:07:07 - 00:07:10] 为此 研究人员设置了三个不同的运行
[00:07:10 - 00:07:15] 分别是运行在O1、O1 mini和强化微调后的O1 mini上的任务
[00:07:15 - 00:07:18] 可以看到 奖励分数呈现右上角上升的趋势
[00:07:18 - 00:07:21] 但是这对于任务来说又意味着什么呢
[00:07:21 - 00:07:24] 于是 研究人员又设置了三个不同的评估指标
[00:07:24 - 00:07:27] 分别是TOP1 模型一次打对的概率
[00:07:27 - 00:07:30] TOP5 模型前五次预测中有正确答案的概率
[00:07:30 - 00:07:34] 和TOPMAX 模型预测中有正确答案的概率
[00:07:34 - 00:07:36] 在套布1指标中
[00:07:36 - 00:07:39] O1 mini在大约200条数据上的得分是17%
[00:07:39 - 00:07:41] O1得到了25%
[00:07:41 - 00:07:44] 而微条后的O1 mini得到了31%
[00:07:44 - 00:07:45] 这显示出
[00:07:45 - 00:07:48] 模型确实学会了如何在这类数据上
[00:07:48 - 00:07:49] 进行推理的通用能力
[00:07:49 - 00:07:50] 在加斯丁看来
[00:07:50 - 00:07:54] 强化学习将极大的振奋生物学的研究社区
[00:07:54 - 00:07:56] 近期内的最佳解决方案
[00:07:56 - 00:07:58] 可能就是结合现有的生物信息学工具
[00:07:58 - 00:08:00] 以及类似于O1的微条模型
[00:08:00 - 00:08:02] 而这个还仅仅是强化微条
[00:08:02 - 00:08:04] 在科学研究中的一个应用而已
[00:08:04 - 00:08:08] 除了已经验证的生物化学、AI安全、法律
[00:08:08 - 00:08:09] 以及医疗保健数据机以外
[00:08:09 - 00:08:14] 强化微调模型还将会在数百种其他的应用场景上发挥作用
[00:08:14 - 00:08:15] OPEN-i的这一步计划
[00:08:15 - 00:08:18] 显然是想让更多的人在最重要的任务上
[00:08:18 - 00:08:20] 去推动OPEN-i模型的能力边界
[00:08:20 - 00:08:21] 在直播的最后
[00:08:21 - 00:08:24] 依然是OPEN-i风格的一则圣诞冷笑话
[00:08:24 - 00:08:25] 那就是最近
[00:08:25 - 00:08:28] 圣诞老人在尝试制造一辆无人驾驶的雪锵
[00:08:28 - 00:08:30] 但是不知道为何
[00:08:30 - 00:08:32] 它的模型总是无法识别数目
[00:08:32 - 00:08:34] 导致雪敲不停地撞上道路兩旁的樹
[00:08:34 - 00:08:36] 你們猜這是為什麼?
[00:08:36 - 00:08:39] 答案是因為他忘了給模型進行PyTing
[00:08:39 - 00:08:40] 松樹微調
[00:08:40 - 00:08:41] 確實相當的冷
[00:08:41 - 00:08:42] 不過實際上
[00:08:42 - 00:08:45] 強化微調這項技術並不是OpenEye的獨創的
[00:08:45 - 00:08:49] 而是來自於SR2024的一篇Auror論文
[00:08:49 - 00:08:50] 在這篇論文中
[00:08:50 - 00:08:52] 研究人員提出了一種簡單而有效的方法
[00:08:52 - 00:08:55] 來增強大圓模型推理式的泛化能力
[00:08:55 - 00:08:57] 也就是強化微調
[00:08:57 - 00:08:59] Reinforced Fightinging 簡稱Rapt
[00:08:59 - 00:09:01] 簡單來說Rapt有兩個階段組成
[00:09:01 - 00:09:05] 分别是预热、one map阶段和强化学习AL阶段
[00:09:05 - 00:09:06] 在预热阶段
[00:09:06 - 00:09:10] Raptor会先使用监督微调SFT对模型进行预热
[00:09:10 - 00:09:14] 通过对包含Question和思维链COT原组的数据阶上
[00:09:14 - 00:09:16] 进行1-2個EPOC的微调
[00:09:16 - 00:09:21] 就可以将模型的预测能力调整到能够生成适当响应的水平上
[00:09:21 - 00:09:22] 在预热阶段之后
[00:09:22 - 00:09:24] 模型会进入到强化学习阶段
[00:09:24 - 00:09:26] 这个阶段会使用PPO算法
[00:09:26 - 00:09:28] 来进一步的提升模型的性能
[00:09:28 - 00:09:31] 通过在包含Question和Unser原组的数据阶上
[00:09:31 - 00:09:34] 反复生成多种可能的COt推理入境
[00:09:34 - 00:09:38] 以及用评估器来专门评估想要的答案正确性
[00:09:38 - 00:09:40] 从而生成奖励信号反馈
[00:09:40 - 00:09:41] 正确的答案会给予正奖励
[00:09:41 - 00:09:43] 而错误的答案则不给予奖励
[00:09:44 - 00:09:46] 这个过程就类似于AlphaZero
[00:09:46 - 00:09:47] 在围棋领域的自对翼
[00:09:47 - 00:09:49] 也就是Self Play的学习过程
[00:09:49 - 00:09:51] 从结果上看
[00:09:51 - 00:09:55] 在GSM8K、MaskQA和SVAMP等数据级上的
[00:09:55 - 00:09:56] 大量实验都表明
[00:09:56 - 00:09:59] Ref的效果显著忧于SFT
[00:09:59 - 00:10:01] 特别是在CodeLama模型上
[00:10:01 - 00:10:04] Rapt在GSM8K數據級上的準確率
[00:10:04 - 00:10:06] 比SFT提高了將近10個百分點
[00:10:06 - 00:10:10] 此外通過結合多數投票和重新排序等策略
[00:10:10 - 00:10:12] 還可以進一步的提升模型的性能
[00:10:12 - 00:10:13] 不僅如此
[00:10:13 - 00:10:15] Rapt還有著卓越的泛化能力
[00:10:15 - 00:10:18] 在訓練中只需要使用於SFT相同的數據級
[00:10:18 - 00:10:21] 無需依賴額外或者增強的訓練數據
[00:10:21 - 00:10:23] 以上種種結果都在說明
[00:10:23 - 00:10:25] Rapt將會是取代SFT的不二選擇
[00:10:26 - 00:10:26] 好了
[00:10:26 - 00:10:29] 以上就是OpenI聖誕活動第二天的內容了
[00:10:29 - 00:10:30] 希望對大家有所幫助
[00:10:30 - 00:10:32] 对强化微调感兴趣的朋友
[00:10:32 - 00:10:34] 可以去提交一下申请测试
[00:10:34 - 00:10:38] 希望我们后续能够看到RAFT的更多精彩表现
[00:10:38 - 00:10:39] 感谢大家观看本期视频
[00:10:39 - 00:10:40] 我们下期再见
