BV号：BV1pR6bYcEG6
标题：BV1pR6bYcEG6
链接：https://www.bilibili.com/video/BV1pR6bYcEG6
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 22:00:34

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 我们之前做过一期节目
[00:07:06 - 00:07:08] 抵消了贬卡主板业务的损失
[00:07:08 - 00:07:12] 同时因为达也正在寻求Punk和X做的其他供应商
[00:07:12 - 00:07:14] 但是目前还没有确定新的订单
[00:07:14 - 00:07:18] 其次另一个重大的转变是VRM供应链
[00:07:18 - 00:07:22] 尽管SXMPunk上仍然保留了部分VRM组件
[00:07:22 - 00:07:25] 但是主要的板载VRM将由超大规模的数据中心
[00:07:25 - 00:07:28] 印商和OEM直接从供应商来采购
[00:07:28 - 00:07:31] 这个转变将会带来市场格局的重塑
[00:07:31 - 00:07:33] 为新的供应商创造更多的机会
[00:07:33 - 00:07:37] 同时新源系统公司MPWR的市场份额
[00:07:37 - 00:07:39] 将会因为商业模式的转变而下降
[00:07:39 - 00:07:41] 所以这个消息一出来
[00:07:41 - 00:07:43] 新源系统公司的股价就掉了37%
[00:07:44 - 00:07:45] 可见市场反应相当迅速
[00:07:46 - 00:07:49] 第三因为达在互联技术方面也取得了突破
[00:07:49 - 00:07:52] Gb300平台搭载了800G ConnectX8网卡
[00:07:52 - 00:07:54] 可以在Infiniteband和以太网上
[00:07:54 - 00:07:56] 提供双倍的扩展带宽
[00:07:56 - 00:07:59] 将在于上一代的 ConnectX7网卡
[00:07:59 - 00:08:01] ConnectX8具有许多明显的优势
[00:08:01 - 00:08:03] 比如说带宽提升了两倍
[00:08:03 - 00:08:06] PCIe的通道数从32个增加到了48个
[00:08:06 - 00:08:11] 以及支持風冷MGX B300A等等創新性的架構設計
[00:08:11 - 00:08:15] 此外ConnectX8網卡還原生支持SpectrumX
[00:08:15 - 00:08:18] 不需要再借助低效的之前400G產品使用的
[00:08:18 - 00:08:20] Bluepheo的3DPO方案
[00:08:20 - 00:08:21] 在2024年的第三季度
[00:08:21 - 00:08:24] 受到Gb200和B200發布延遲的影響
[00:08:24 - 00:08:26] 大量的訂單其實已經轉向了
[00:08:26 - 00:08:28] 因為達價格更高的新一代GPU
[00:08:28 - 00:08:30] 截至上週
[00:08:30 - 00:08:33] 所有的超算中心都已經決定要採用Gb300的方案
[00:08:33 - 00:08:36] 這個角色主要是基於兩點的考慮
[00:08:36 - 00:08:40] 第一点 Gb300提供了更高的Flops算力和更大的显存容量
[00:08:40 - 00:08:44] 第二点 客户拥有更多的系统定制自主权
[00:08:44 - 00:08:46] 在这之前 由于上市的时间压力
[00:08:46 - 00:08:49] 以及机架散热和供电密度的重大调整
[00:08:49 - 00:08:53] 超算中心很难对于Gb200服务器进行深度的定制
[00:08:53 - 00:08:58] 这就迫使Meta完全放弃了同时向博通和英伟达采购网卡的计划
[00:08:58 - 00:09:00] 主要完全依赖于英伟达
[00:09:00 - 00:09:03] 类似的 谷歌也放弃了自言网卡的方案
[00:09:03 - 00:09:05] 主要采用英伟达的解决方案
[00:09:05 - 00:09:07] 但是这对于那些擅长优化
[00:09:07 - 00:09:09] 从处理器到网络设备
[00:09:09 - 00:09:12] 甚至到罗斯和版金等等各个环节成本的
[00:09:12 - 00:09:15] 超算中心数千人的研发团队来说
[00:09:15 - 00:09:16] 就显得很尴尬了
[00:09:16 - 00:09:17] 其中
[00:09:17 - 00:09:19] 杨马逊的案例就最具有代表性
[00:09:19 - 00:09:21] 他们选择了一个刺优的配置
[00:09:21 - 00:09:22] 导致总拥有成本
[00:09:22 - 00:09:23] 也就是tco
[00:09:23 - 00:09:25] 超过了原来的参考设计
[00:09:25 - 00:09:27] 由于使用了PCIE交换机
[00:09:27 - 00:09:29] 和需要风冷的200G弹性网卡
[00:09:29 - 00:09:30] 杨马逊无法向Meta
[00:09:30 - 00:09:31] 谷歌
[00:09:31 - 00:09:31] 微软
[00:09:31 - 00:09:32] 甲骨文
[00:09:32 - 00:09:32] XAI
[00:09:32 - 00:09:33] 和Covail那样
[00:09:33 - 00:09:35] 部署NVL72机架
[00:09:35 - 00:09:37] 由于受到内部网卡方案的限制
[00:09:38 - 00:09:40] 亚马逊只能被迫采用NVL36的架构
[00:09:40 - 00:09:43] 却因为更高的背板和交换机成本
[00:09:43 - 00:09:44] 推高了每个GPU的支出
[00:09:45 - 00:09:45] 总体而言
[00:09:45 - 00:09:47] 因为受到了定制化方面的限制
[00:09:47 - 00:09:50] 导致亚马逊的配置方案并不理想
[00:09:50 - 00:09:51] 而GB300的推出
[00:09:51 - 00:09:54] 可以说是为超算中心提供了更大的自主权
[00:09:54 - 00:09:56] 比如说可以自主定制主板
[00:09:56 - 00:09:57] 散热系统等等
[00:09:57 - 00:10:00] 这就使得亚马逊能够开发自己的定制主板
[00:10:00 - 00:10:01] 把之前需要风冷的组建
[00:10:01 - 00:10:05] 比如說AsterLabs PCIe交換機整合進水冷系統
[00:10:05 - 00:10:08] 隨著更多的組件採用水冷設計
[00:10:08 - 00:10:10] 亞馬遜有望重返NVR72的架構
[00:10:10 - 00:10:12] 從而顯著的提高TCO的效率
[00:10:12 - 00:10:15] 不過這也帶來了一個顯著的挑戰
[00:10:15 - 00:10:17] 那就是超算中心需要投入更多的資源
[00:10:17 - 00:10:20] 來進行設計驗證和確認的工作
[00:10:20 - 00:10:22] 這無疑是超算中心要面臨的
[00:10:22 - 00:10:23] 最複雜的系統設計了
[00:10:23 - 00:10:26] 雖然部分的超算中心能夠快速的完成設計
[00:10:26 - 00:10:29] 但是設計能力較差的團隊會明顯的落後
[00:10:29 - 00:10:30] 總的來說
[00:10:30 - 00:10:32] 尽管市场传闻有公司取消了订单
[00:10:32 - 00:10:34] 但是三名Analysis观察到
[00:10:34 - 00:10:36] 由于设计的进度较慢
[00:10:36 - 00:10:39] 微软可能是最晚部署GB300的公司之一
[00:10:39 - 00:10:42] 他们在第四季度仍然在采购GB200
[00:10:42 - 00:10:45] 而随着部分组件从英伟达转移到了Odm
[00:10:45 - 00:10:48] 客户的总采购成本已经出现较大的差异
[00:10:48 - 00:10:50] 这不仅会影响Odm的收入
[00:10:50 - 00:10:53] 更重要的是会导致英伟达全年的毛绿率产生波动
[00:10:53 - 00:10:56] 伴随着新的GB300和B300
[00:10:56 - 00:10:58] 英伟达也推出了新的定价策略
[00:10:58 - 00:11:00] 从而直接影响了Blackwell系列的利润
[00:11:00 - 00:11:06] 虽然显存方案从SK海力士和美光的8层HBM-3E对战升级到了12层
[00:11:06 - 00:11:08] 显存容量得到了显著的提升
[00:11:08 - 00:11:13] 但是这个升级直接导致了英伟达的Bomb成本增加了大约2500美元
[00:11:13 - 00:11:16] 这部分成本的增加主要来自于更高的容量
[00:11:16 - 00:11:19] 对战层数增加所带来的每GB显存仪价
[00:11:19 - 00:11:22] 以及封装量率下降带来的额外成本
[00:11:22 - 00:11:26] 而且随着退率规模对于显存容量和贷款需求的增加
[00:11:26 - 00:11:29] 封装两率的下降趋势也将越来越明显
[00:11:29 - 00:11:30] 总体来说
[00:11:30 - 00:11:32] GB300的平均售价相比于GB200
[00:11:32 - 00:11:34] 会提高大约4000美元左右
[00:11:34 - 00:11:38] 其中HBM的成本会增加大约2500美元
[00:11:38 - 00:11:40] 增量的利润率不足40%
[00:11:40 - 00:11:44] 而GB200整体的利润率将维持在70%的中低水平
[00:11:44 - 00:11:47] 不过由于英伟达减少了整体的供应内容
[00:11:47 - 00:11:49] 转让超算中心自行的采购
[00:11:49 - 00:11:51] 因此英伟达也能实现成本上的平衡
[00:11:51 - 00:11:56] 首先英伟达不再提供每个Grace CPU配套的512GB
[00:11:56 - 00:11:57] Lp DDR5X内存
[00:11:58 - 00:12:00] 这就抵消了大部分额外的HBM成本支出
[00:12:01 - 00:12:03] 其次PCB的成本节省最为显著
[00:12:04 - 00:12:05] 综合各项因素
[00:12:05 - 00:12:07] 在平均销售价格提升4000美元的同时
[00:12:08 - 00:12:10] 因为达的物料成本仅仅增加了1000美元多一点
[00:12:11 - 00:12:12] 而相对于Gb200
[00:12:12 - 00:12:15] Gb300的增量毛率率可以达到73%
[00:12:15 - 00:12:18] 这就意味着在良率能够保持稳定的情况下
[00:12:18 - 00:12:20] Gb300的利润水平将基本的持平
[00:12:21 - 00:12:23] 这个结果虽然看起来好像很一般
[00:12:23 - 00:12:25] 但是大家需要注意的是
[00:12:25 - 00:12:28] HBM的升级周期通常会导致利润率的下降
[00:12:28 - 00:12:30] 比如说H200 M325X
[00:12:30 - 00:12:33] 但这一次英伟达打破了这个惯例
[00:12:33 - 00:12:36] 同时随着各项工程技术问题的逐步解决
[00:12:36 - 00:12:38] 整体的良率还会进一步的提升
[00:12:38 - 00:12:41] 等度过Blackwell初期的产能爬升阶段以后
[00:12:41 - 00:12:44] 整体的利润率预计将会在明年逐步得到改善
[00:12:44 - 00:12:46] 好了 以上就是三秒nilessus
[00:12:46 - 00:12:49] 对于英伟达最新的Gb300 B300的介绍了
[00:12:49 - 00:12:53] 根据报道 B300将在B200上市大约半年之后上市
[00:12:53 - 00:12:54] 还是相当值得期待的
[00:12:54 - 00:12:57] 各大科技巨頭也已經盯上了這個性能怪獸
[00:12:57 - 00:13:02] 不過就在上週天風國際的分析師郭明基卻在研報中爆出
[00:13:02 - 00:13:05] B300GB300的Doctomouse存在著嚴重的過熱問題
[00:13:05 - 00:13:08] 很可能會影響B300和GB300的量產進度
[00:13:08 - 00:13:10] 具體新產品的發布進度如何
[00:13:10 - 00:13:12] 我們也會保持持續的關注
[00:13:12 - 00:13:14] 感謝大家觀看本期視頻
[00:13:14 - 00:13:15] 我們下期再見
