BV号：BV1KgBSB5EVs
标题：BV1KgBSB5EVs
链接：https://www.bilibili.com/video/BV1KgBSB5EVs
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-08-29 21:54:00

[00:00:00 - 00:00:03] 你知道嗎?決定人工智能未來的
[00:01:36 - 00:01:37] 它存在的唯一目的
[00:01:37 - 00:01:41] 就是把AI计算这一件事做到极致的快
[00:01:41 - 00:01:42] 极致的高效
[00:01:42 - 00:01:44] 谷歌磨刀磨了这么久
[00:01:44 - 00:01:47] 为什么现在敢跟英伟达正面纲了
[00:01:47 - 00:01:49] 关键在于他们最新一代的TPU
[00:01:49 - 00:01:51] 代号AromTrile
[00:01:51 - 00:01:54] 这一玩意儿简直是个性能怪兽
[00:01:54 - 00:01:58] 封值性能是上一代的十倍 能效翻倍
[00:01:58 - 00:02:01] 但真正的杀手剪是这三个字
[00:02:01 - 00:02:04] 性价比 谷歌不仅仅是造芯片
[00:02:04 - 00:02:07] 他们把夜冷 网络 系统全包园了
[00:02:07 - 00:02:10] 结果就是 在同样的算力下
[00:02:10 - 00:02:13] 谷歌TPU集群的总拥有成本
[00:02:13 - 00:02:16] 比英伟达便宜了真正35%
[00:02:16 - 00:02:18] 在这个烧钱如流水的AI时代
[00:02:18 - 00:02:22] 对于那些动不动就要砸几十亿美金的大公司来说
[00:02:22 - 00:02:23] 下35%的成本
[00:02:23 - 00:02:25] 这简直是无法拒绝的诱惑
[00:02:25 - 00:02:27] 硬件便宜还不够
[00:02:27 - 00:02:30] 英伟达最难肯的股套是软件生态
[00:02:30 - 00:02:32] 以前谷歌想推自己的框架
[00:02:32 - 00:02:35] Jax 门槛太高 没人爱用
[00:02:35 - 00:02:37] 但现在谷歌变聪明了
[00:02:37 - 00:02:40] 他们来了一个漂亮的战术转向
[00:02:40 - 00:02:41] 务必你学新东西了
[00:02:41 - 00:02:43] 我主动用爆PyTorch
[00:02:43 - 00:02:44] 这意味着什么
[00:02:44 - 00:02:47] 意味着那几百万习惯用Python的开发者
[00:02:47 - 00:02:50] 可以无缝地从英伟达平台
[00:02:50 - 00:02:51] 润到谷歌TPU上来
[00:02:51 - 00:02:54] 这就像是给开发者铺了一条红地毯
[00:02:54 - 00:02:56] 直接挖英伟达的墙脚
[00:02:56 - 00:03:00] 又为网友的评论特别精准
[00:03:00 - 00:03:02] 这就像当年的比特币挖矿
[00:03:02 - 00:03:04] 一开始大家都用显卡挖
[00:03:04 - 00:03:08] 但最后所有人都换成了专用的AC矿机
[00:03:08 - 00:03:11] 我们可能正在见证AI行业的一个历史性转折
[00:03:11 - 00:03:13] 从万金油的GPU时代
[00:03:13 - 00:03:16] 转向高度定制化的专用芯片时代
[00:03:16 - 00:03:18] 这场战争对我们有什么好处
[00:03:18 - 00:03:21] 竞争带来了更低的算力成本
[00:03:21 - 00:03:24] 像安泽拉培克這樣的大玩家已經開始買單了
[00:03:24 - 00:03:26] 因為達的王座雖然還在
[00:03:26 - 00:03:28] 但地基已經開始晃動
[00:03:28 - 00:03:32] 靠著35%的成本優勢和開放的軟體生態
[00:03:32 - 00:03:35] 谷歌能不能把老國王拉下馬
[00:03:35 - 00:03:39] 這個問題的答案將決定未來十年的科技霸權
[00:03:39 - 00:03:40] 我們拭目以待
