BV号：BV1ShRxBbEfd
标题：BV1ShRxBbEfd
链接：https://www.bilibili.com/video/BV1ShRxBbEfd
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-08-29 08:20:29

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为的AI是无所不能的超级大脑
[00:09:19 - 00:09:22] 爱荷华州规模的电网才能填补这个缺口
[00:09:22 - 00:09:24] 这里有一个基赫电力悖论
[00:09:24 - 00:09:27] 数据中心的计算任务是7成24小时不见断的
[00:09:27 - 00:09:31] 这就要求电网必须提供绝对稳定的饥荷电力
[00:09:31 - 00:09:33] 尽管可灾生能源发展迅速
[00:09:33 - 00:09:36] 但其内在的间歇性无法单独支撑
[00:09:36 - 00:09:39] 及其脆弱且耗电横定的AI算力集群
[00:09:39 - 00:09:42] 在当前电池储能技术仍无法实现低成本
[00:09:42 - 00:09:44] 跨机储能的物理约束下
[00:09:44 - 00:09:48] 唯一能够兼顾碳排放控制和绝对稳定性的饥荷能源
[00:09:48 - 00:09:50] 只能是核能与天然气
[00:09:50 - 00:09:54] 这进一步放大了博克希尔在传统众工业领域的护尘盒
[00:09:54 - 00:09:57] 他们掌握着全美极其庞大的天然气管道网络
[00:09:57 - 00:10:01] 触达美国境内15%的天然气消耗量
[00:10:01 - 00:10:04] 格雷格特别提及了旗下的LSPI公司
[00:10:04 - 00:10:08] 他们生产的减组技是优化现有管网效率的成熟技术
[00:10:08 - 00:10:10] 在不新建物理管道的前提下
[00:10:10 - 00:10:11] 仅需注入这种化学品
[00:10:11 - 00:10:15] 就能使现有管网的原油和天然气输送量几乎翻倍
[00:10:15 - 00:10:19] 在能源需求激增且新建环保审批极为困难的今天
[00:10:19 - 00:10:23] 这无异于拥有了给能源动脉物理扩容的力气
[00:10:23 - 00:10:24] 更值得注意的是
[00:10:24 - 00:10:26] 伯克希尔在核能领域也早有布局
[00:10:26 - 00:10:30] 阿贝尔在今年来频繁提到小型模块化反应堆
[00:10:30 - 00:10:31] SMR
[00:10:31 - 00:10:33] 伯克希尔旗下的Pacific Corp
[00:10:33 - 00:10:36] 已经与比尔盖茨创办的Terra Power合作
[00:10:36 - 00:10:39] 在怀恶明州建设美国第一个下一代
[00:10:39 - 00:10:41] 合设师这种小型模块化反应堆
[00:10:41 - 00:10:44] 正是未来支撑AI数据中心的终极能源方案
[00:10:44 - 00:10:47] 当硅谷的科技公司为了争夺大模型霸权
[00:10:47 - 00:10:49] 而疯狂燃烧资本时
[00:10:49 - 00:10:53] 底层的能量供应法门正牢牢掌握在伯克希尔手中
[00:10:53 - 00:10:56] 从伯克希尔的2026年股东大会
[00:10:56 - 00:11:00] 我们可以清晰地看到未来10年AI发展的三个残酷真相
[00:11:00 - 00:11:03] 第一,严格的资本纪律与风险隔离
[00:11:03 - 00:11:08] 建设配套的便店站和高压书店线路需要耗资数百亿美元
[00:11:08 - 00:11:13] 如果AI泡沫破裂,公用事业公司将面临巨大的沉默成本风险
[00:11:13 - 00:11:16] 阿贝尔展现了极其冷酷的财务工程思维
[00:11:16 - 00:11:19] 他明确表示,嚴格捍衛監管契約
[00:11:19 - 00:11:22] 超大規模數據中心的全額基礎設施
[00:11:22 - 00:11:25] 成本必須由這些科技巨頭獨立承擔
[00:11:25 - 00:11:27] 絕不允許轉家給普通用戶
[00:11:27 - 00:11:31] 伯克希爾在不承擔系統性財務風險的前提下
[00:11:31 - 00:11:34] 享受著AI基建狂潮帶來的分後收益
[00:11:34 - 00:11:36] 第二K型分化與勞動力重組
[00:11:36 - 00:11:39] 基於算力能源和專有數據的壁壘
[00:11:39 - 00:11:43] 人工智能將成為加劇全球經濟K型分化的終極引擎
[00:11:43 - 00:11:47] 财务分析、基础荷包、代码编写等低附加值的
[00:11:47 - 00:11:50] 脑力劳动岗位将被大规模压缩
[00:11:50 - 00:11:51] 同时具备复合技能
[00:11:51 - 00:11:55] 能够价于AI工具解决复杂工程和商业问题的AI通财
[00:11:55 - 00:11:57] 将获得极高的一价
[00:11:57 - 00:11:59] 第三价值向实体的回归
[00:11:59 - 00:12:01] 巴菲特在大会期间专访上
[00:12:01 - 00:12:03] 说了一句震龙发溃的话
[00:12:03 - 00:12:06] 现在就像一个附带赌场的教堂
[00:12:06 - 00:12:07] 赌场变得越来越吸引人
[00:12:07 - 00:12:09] 华尔街对于AI的极度乐观
[00:12:09 - 00:12:13] 使得整体市场的适应率脱离了重力引力
[00:12:13 - 00:12:16] 博克希尔持有的近400亿美元现金
[00:12:16 - 00:12:19] 是对当前市场缺乏安全编辑的无声抗议
[00:12:19 - 00:12:22] 随着AI大模型开原化趋势的加剧
[00:12:22 - 00:12:24] 纯粹的软件运用层壁垒将被击穿
[00:12:24 - 00:12:26] 未来资本市场的超额收益
[00:12:26 - 00:12:29] 将从处于孤直巅峰的芯片设计商和模型
[00:12:29 - 00:12:30] 开发商
[00:12:30 - 00:12:33] 向那些利用AI重塑了传统业务流程
[00:12:33 - 00:12:36] 且拥有不可替代实体资产的企业转移
[00:12:36 - 00:12:40] 最后我想用一句话来总结博克希尔的AI哲学
[00:12:40 - 00:12:43] 不要试图用算法去模拟人类的灵魂
[00:12:43 - 00:12:45] 而是用功成去约束算法的边界
[00:12:45 - 00:12:47] 在AI狂飙突进的时代
[00:12:47 - 00:12:49] 保持清醒的工程视角
[00:12:49 - 00:12:51] 比盲目追逐技术前沿更重要
[00:12:51 - 00:12:54] 正如在陶晶热中赚的盆满波满的
[00:12:54 - 00:12:56] 往往是卖水和卖铲子的人
[00:12:56 - 00:12:59] 伯克希尔通过垄断算力背后的物理能量源
[00:12:59 - 00:13:03] 构住了AI时代最坚实的价值补货底层
[00:13:03 - 00:13:04] 那么看到这里你可能会想
[00:13:04 - 00:13:06] 既然能源才是AI的尽头
[00:13:06 - 00:13:08] 我们普通人或者开发者
[00:13:08 - 00:13:11] 在这一波浪潮中还能抓住什么机会
[00:13:11 - 00:13:14] 把你的看法打在公屏上或者在评论区告诉我
[00:13:14 - 00:13:16] 你目前在工作中是怎么使用AI的
[00:13:16 - 00:13:20] 是把它当成大语言模型还是大逻辑模型
[00:13:20 - 00:13:22] 如果你觉得这些视频对你有启发
[00:13:22 - 00:13:24] 请务必给我一个一键三连
[00:13:24 - 00:13:26] 这对我非常重要
[00:13:26 - 00:13:27] 我是为什么叫QQ
[00:13:27 - 00:13:28] 我们下期再见
