BV号：BV1DwUBBLEr2
标题：BV1DwUBBLEr2
链接：https://www.bilibili.com/video/BV1DwUBBLEr2
识别语言：zh
语言置信度：1
分段数：203
生成时间：2026-08-29 22:06:41

[00:00:00 - 00:00:03] 沃倫巴菲特 投资界的传奇
[00:00:03 - 00:00:07] 最近发布了他最后一封感恩节信
[00:01:22 - 00:01:25] 接下来我们聊聊有意思的第二部分
[00:01:25 - 00:01:26] 奧瑪哈的魔力
[00:01:26 - 00:01:29] 巴菲特在信里花了很多篇幅
[00:01:29 - 00:01:32] 特别深情地讲述了他的家乡
[00:01:32 - 00:01:34] 是怎么塑造了他和伯格希尔的伙伴
[00:01:34 - 00:01:35] 和巴菲特自己
[00:01:36 - 00:01:38] 也半开玩笑地问了这么一个问题
[00:01:38 - 00:01:40] 难道说奧瑪哈的水里头
[00:01:40 - 00:01:42] 真有什么神奇的成分吗
[00:01:42 - 00:01:45] 他其实是想引导我们去想一个问题
[00:01:45 - 00:01:47] 就是为什么这么多顶尖的人才和关键底
[00:01:47 - 00:01:50] 的机会都好像奇迹一样
[00:01:50 - 00:01:53] 聚集在了这么一个美国中部的城市
[00:01:53 - 00:01:55] 你看看这张名单
[00:01:55 - 00:01:58] 从他并肩作战了64年的大哥查理芒格
[00:01:58 - 00:02:01] 到未来的接班人阿贝尔和甲安
[00:02:01 - 00:02:04] 他们事业的起点都和奥马哈分不开
[00:02:04 - 00:02:06] 所以巴菲特想说的是什么呢
[00:02:06 - 00:02:08] 其实就是伯克希尔的成功
[00:02:08 - 00:02:10] 他的根基不在华尔街
[00:02:10 - 00:02:12] 而是在奥马哈这片土地上
[00:02:12 - 00:02:14] 建立起来的深厚信任和人脉
[00:02:14 - 00:02:17] 这里头还有个挺好玩的小故事
[00:02:17 - 00:02:19] 是关于唐基尔的
[00:02:19 - 00:02:21] 话说在1985年
[00:02:21 - 00:02:23] 可可可乐不是搞砸了一次
[00:02:23 - 00:02:25] 推出了那个灾难性的新可乐吗
[00:02:25 - 00:02:27] 当时记忆要是总裁
[00:02:27 - 00:02:28] 他就公开道歉
[00:02:28 - 00:02:29] 还开玩笑说
[00:02:29 - 00:02:30] 那段时间
[00:02:30 - 00:02:32] 所有寄给公司最高白痴的行
[00:02:32 - 00:02:35] 最后都会直接送到他的办公桌上
[00:02:35 - 00:02:36] 结果你猜怎么着
[00:02:36 - 00:02:38] 就是这种坦诚和幽默
[00:02:38 - 00:02:40] 反而帮可可可乐
[00:02:40 - 00:02:41] 赢回了公众的心
[00:02:41 - 00:02:43] 销量还意外的大涨
[00:02:43 - 00:02:45] 所以你看巴菲特这句话
[00:02:45 - 00:02:47] 可以说是他对奥马哈
[00:02:47 - 00:02:48] 最高的评价
[00:02:48 - 00:02:49] 在他看来
[00:02:49 - 00:02:53] 看来正是因为这里远离了华尔街的喧嚣和浮躁
[00:02:53 - 00:02:57] 才让他能够几十年如一日地保持专注和理性
[00:02:57 - 00:03:00] 这可能就是他成功的最大秘诀
[00:03:00 - 00:03:02] 好了 说完了地理
[00:03:02 - 00:03:04] 咱们再来聊聊更深层次的东西
[00:03:04 - 00:03:06] 第三部分
[00:03:06 - 00:03:09] 巴菲特谈到了两个特别宏大的主题
[00:03:09 - 00:03:11] 运气和时间
[00:03:11 - 00:03:13] 巴菲特这个人呢
[00:03:13 - 00:03:16] 一辈子都对运气这两个字特别敬畏
[00:03:16 - 00:03:19] 他总说自己是抽中了卵巢彩票
[00:03:19 - 00:03:23] 因为他1930年出生在了美国
[00:03:23 - 00:03:24] 还是个白人男性
[00:03:25 - 00:03:28] 他还提到1938年得过一次蓝尾言
[00:03:28 - 00:03:30] 差点就没命了
[00:03:30 - 00:03:31] 所以能活到95岁
[00:03:31 - 00:03:34] 他觉得这很大程度上要感谢运气
[00:03:34 - 00:03:36] 还有奥马哈的好医生
[00:03:36 - 00:03:40] 他把运气和时间比做幸运女神和时间老人
[00:03:40 - 00:03:41] 这个比喻真的太妙了
[00:03:42 - 00:03:45] 巴菲特把这两个抽象的概念给写活了
[00:03:45 - 00:03:48] 她说幸运女神呢?
[00:03:48 - 00:03:49] 非常善变
[00:03:49 - 00:03:51] 你不知道她什么时候会来
[00:03:51 - 00:03:54] 而且她的眷顾也是有限的
[00:03:54 - 00:03:56] 但是时间老人就不一样了
[00:03:56 - 00:03:57] 她从不失手
[00:03:57 - 00:03:59] 最终我们每个人
[00:03:59 - 00:04:02] 都会被记在她的圣场级分卡上
[00:04:02 - 00:04:05] 这其实是在说人生的偶然性和必然性
[00:04:05 - 00:04:07] 说得特别精妙
[00:04:07 - 00:04:09] 那聊完了过去和现在
[00:04:09 - 00:04:11] 不可希尔的未来会怎么样呢?
[00:04:11 - 00:04:13] 在第四部分
[00:04:13 - 00:04:15] 巴菲特就很详细地说明了
[00:04:15 - 00:04:16] 他對公司
[00:04:16 - 00:04:18] 還有他個人財富的未來安排
[00:04:18 - 00:04:20] 說到接班人
[00:04:20 - 00:04:22] 巴菲特對格雷哥阿比爾
[00:04:22 - 00:04:24] 那可是100%的信任
[00:04:24 - 00:04:26] 他直接在信裡說
[00:04:26 - 00:04:28] 現在阿比爾對公司
[00:04:28 - 00:04:29] 很多業務的理解
[00:04:29 - 00:04:31] 甚至已經超過了他自己
[00:04:31 - 00:04:34] 他相信在格雷格的領導下
[00:04:34 - 00:04:35] 股東們的錢
[00:04:35 - 00:04:37] 會得到很好的管理
[00:04:37 - 00:04:39] 這種毫無保留的信任
[00:04:39 - 00:04:41] 就是伯克希爾能夠平穩
[00:04:41 - 00:04:42] 過度的關鍵
[00:04:42 - 00:04:44] 至於他那筆巨額財富
[00:04:44 - 00:04:47] 巴菲特的计划也非常清楚
[00:04:47 - 00:04:49] 他要加快生前捐赠的速度
[00:04:49 - 00:04:50] 为什么呢
[00:04:50 - 00:04:53] 因为他觉得他的孩子们
[00:04:53 - 00:04:55] 现在正处在经验和智慧的巅峰
[00:04:55 - 00:04:58] 让他们现在就去用这笔钱
[00:04:58 - 00:05:00] 应对这个不断变化的世界
[00:05:00 - 00:05:02] 总比自己去世后
[00:05:02 - 00:05:04] 用一堆条条框框去束缚他们
[00:05:04 - 00:05:06] 要明智的多
[00:05:06 - 00:05:07] 为了让你感受一下
[00:05:07 - 00:05:09] 这个计划的规模有多大
[00:05:09 - 00:05:11] 心里提到了一个数字
[00:05:11 - 00:05:16] 光是現在,他的孩子們每年已經通過各自的基金會
[00:05:16 - 00:05:19] 建出了超過500億美元
[00:05:19 - 00:05:21] 這個數字說明了兩件事
[00:05:21 - 00:05:25] 第一,未來財富分配的體量會非常巨大
[00:05:25 - 00:05:28] 第二,他們早就已經準備好了
[00:05:28 - 00:05:31] 好,終於到了這封信最精華
[00:05:31 - 00:05:33] 也是最觸動人心的部分了
[00:05:33 - 00:05:36] 巴菲特最後的人生中告
[00:05:36 - 00:05:40] 說實在的,這些智慧已經完全超越了投資
[00:05:40 - 00:05:43] 可以说是只只生活的本质
[00:05:43 - 00:05:45] 巴菲特讲了个故事
[00:05:45 - 00:05:47] 就是诺贝尔讲的创始人
[00:05:47 - 00:05:49] 阿尔弗利德诺贝尔的故事
[00:05:49 - 00:05:50] 据说啊
[00:05:50 - 00:05:52] 有一次报纸搞错了
[00:05:52 - 00:05:54] 提前刊登了诺贝尔的副高
[00:05:54 - 00:05:55] 把他写成了
[00:05:55 - 00:05:58] 一个靠贩卖死亡来赚钱的死亡商人
[00:05:58 - 00:06:00] 诺贝尔读到之后大受震撼
[00:06:00 - 00:06:01] 从那一刻起
[00:06:01 - 00:06:03] 他就下定决心
[00:06:03 - 00:06:05] 要改变自己留给世界的遗产
[00:06:05 - 00:06:06] 所以
[00:06:06 - 00:06:08] 从诺贝尔的故事里得出的教训
[00:06:08 - 00:06:10] 就是这句话
[00:06:10 - 00:06:13] 巴菲特其实是在告诉我们一个方法
[00:06:13 - 00:06:15] 叫以中为始
[00:06:15 - 00:06:16] 你先想清楚
[00:06:16 - 00:06:18] 在你人生的终点
[00:06:18 - 00:06:20] 你希望别人怎么评价你
[00:06:20 - 00:06:22] 然后呢再倒推回来
[00:06:22 - 00:06:24] 过一种配得上这份评价的生活
[00:06:24 - 00:06:27] 这简直就是一份人生行动指南
[00:06:27 - 00:06:28] 不是吗
[00:06:28 - 00:06:30] 那到底什么样的人生
[00:06:30 - 00:06:31] 才算是伟大的呢
[00:06:31 - 00:06:33] 巴菲特也给出了他的答案
[00:06:33 - 00:06:35] 真正的伟大
[00:06:35 - 00:06:38] 其实跟钱 名声 或者权力都没关系
[00:06:38 - 00:06:43] 他说,当你用成千上万种方式去帮助别人的时候
[00:06:43 - 00:06:45] 你就是在帮助这个世界
[00:06:45 - 00:06:47] 这才是真正的伟大
[00:06:47 - 00:06:51] 最后这句话,可以说是整风信的点睛之笔网
[00:06:51 - 00:06:54] 也是巴菲特核心人生哲学的终极总结
[00:06:54 - 00:06:57] 他提醒我们在这个复杂的世界里
[00:06:57 - 00:07:00] 最宝贵的东西往往就是最简单的
[00:07:00 - 00:07:03] 善良是一种选择
[00:07:03 - 00:07:05] 它不需要你付出任何成本
[00:07:05 - 00:07:07] 但它带来的回报却是无价的
[00:07:07 - 00:07:09] 巴菲特在性的结尾
[00:07:09 - 00:07:11] 建议大家找到对的英雄
[00:07:11 - 00:07:13] 然后去效仿他们
[00:07:13 - 00:07:15] 所以啊 在今天最后
[00:07:15 - 00:07:16] 我也想把
[00:07:16 - 00:07:18] 巴菲特留给我们的这个思考题
[00:07:18 - 00:07:20] 同样留给你
[00:07:20 - 00:07:22] 在你的生命中
[00:07:22 - 00:07:24] 谁是你的英雄
[00:07:24 - 00:07:26] 你又打算如何行动
[00:07:26 - 00:07:29] 去过一种真正值得被明记的生活呢
[00:07:29 - 00:07:31] 本期视频就到这里
[00:07:31 - 00:07:33] 如果对你有帮助
[00:07:33 - 00:07:34] 可以一见三连
[00:07:34 - 00:07:35] 谢谢观看
