BV号：BV1i57X6sEkf
标题：BV1i57X6sEkf
链接：https://www.bilibili.com/video/BV1i57X6sEkf
识别语言：zh
语言置信度：1
分段数：456
生成时间：2026-08-29 09:21:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 真正让Agent变强的可能不是更大的模型
[00:04:07 - 00:04:10] 因为skill的触发不是靠用户精确输入命令
[00:04:10 - 00:04:12] 而是靠Agent的理解用户意图
[00:04:12 - 00:04:14] 用户不会说请加载momo skill
[00:04:14 - 00:04:17] 用户会说帮我规划下这个迭代
[00:04:17 - 00:04:20] 把这些需求拆成任务下周排期怎么安排
[00:04:20 - 00:04:22] 如果description没写这些真实表达
[00:04:22 - 00:04:24] skill就可能不触发
[00:04:24 - 00:04:26] 文档里还提到两个常见问题
[00:04:26 - 00:04:27] 一个是undertriggering
[00:04:27 - 00:04:29] 也就是该触发时没触发
[00:04:29 - 00:04:32] 用户不得不手动提醒agent使用某个skill
[00:04:32 - 00:04:34] 另一个是over triggering
[00:04:34 - 00:04:36] 也就是不该触发时乱触发
[00:04:36 - 00:04:38] 比如一个高级数据建模skill
[00:04:38 - 00:04:41] 在用户只想看个简单图表时也跑出来
[00:04:41 - 00:04:44] 前者说明描述太窄或缺少触发词
[00:04:44 - 00:04:46] 后者说明范围太范
[00:04:46 - 00:04:47] 需要加负面出发条件
[00:04:47 - 00:04:50] 这让我觉得skill engineering的第一门功课
[00:04:50 - 00:04:52] 不是写流程而是写边界
[00:04:52 - 00:04:54] 一个skill到底服务什么任务
[00:04:54 - 00:04:55] 不服务什么任务
[00:04:55 - 00:04:57] 用户会怎么描述这个任务
[00:04:57 - 00:04:58] 哪些词是强信号
[00:04:58 - 00:05:00] 哪些词是噪音
[00:05:00 - 00:05:01] 这些问题没想清楚
[00:05:01 - 00:05:04] 后面的脚本和文档再漂亮也没用
[00:05:04 - 00:05:06] 把你的看法打在公屏上
[00:05:06 - 00:05:08] 你觉得AZEN的最常犯的错误
[00:05:08 - 00:05:09] 是不会执行
[00:05:09 - 00:05:11] 还是一开始就选错了方向
[00:05:11 - 00:05:13] skill 里最被反复提到的概念
[00:05:13 - 00:05:15] 是progressive disclosure
[00:05:15 - 00:05:16] 这些人的监禁是披露
[00:05:16 - 00:05:18] 很多人会把它理解成省token
[00:05:18 - 00:05:20] 这个理解没错 但不够
[00:05:20 - 00:05:22] 它的真正价值是把知识分层
[00:05:22 - 00:05:24] 第一层是front matter
[00:05:24 - 00:05:26] 它一直暴露给agent用来判断
[00:05:26 - 00:05:27] 要不要加在skill
[00:05:27 - 00:05:29] 这里必须短准可触发
[00:05:29 - 00:05:31] 第二层是skill.md证文
[00:05:31 - 00:05:33] 只有当agent的判断任务相关时
[00:05:33 - 00:05:35] 才读取完整说明
[00:05:35 - 00:05:36] 这里放核心流程
[00:05:36 - 00:05:39] 关键规则 操作步骤和常见错误处理
[00:05:39 - 00:05:41] 第三层是外部资源
[00:05:41 - 00:05:43] 比如references里的常文档
[00:05:43 - 00:05:44] SRIPS里的验证代码
[00:05:44 - 00:05:46] SRIPS里的模板和素材
[00:05:46 - 00:05:48] 他们平时不进入上下文
[00:05:48 - 00:05:51] 只有被明确需要时才读取或执行
[00:05:51 - 00:05:53] 这个结构解决了一个很现实的问题
[00:05:53 - 00:05:55] 团队知识通常又长又乱
[00:05:55 - 00:05:57] 规范文档可能几十页
[00:05:57 - 00:05:58] API文档可能几百页
[00:05:58 - 00:06:01] 案例和模板还散在不同地方
[00:06:01 - 00:06:02] 如果全部塞进提示词
[00:06:02 - 00:06:03] Agent会被淹没
[00:06:03 - 00:06:05] 不是模型不聪明
[00:06:05 - 00:06:06] 而是噪音太多
[00:06:06 - 00:06:09] 渐进式披露的做法是让SQDMD
[00:06:09 - 00:06:10] 只保留
[00:06:10 - 00:06:12] 做这件事需要知道的主干细节
[00:06:12 - 00:06:14] 放到引用资料理
[00:06:14 - 00:06:17] 真正需要时再让Agent去读具体文件
[00:06:17 - 00:06:19] 文档也给了很实际的建议
[00:06:19 - 00:06:20] skill.md
[00:06:20 - 00:06:22] 不要写成大而全的百科
[00:06:22 - 00:06:25] 详细文档放到references
[00:06:25 - 00:06:27] 核心指令要清楚可执行
[00:06:27 - 00:06:29] 比如不要写验证数据后再继续
[00:06:29 - 00:06:32] 而要写运行PythonScriptValidate.py
[00:06:32 - 00:06:35] 如果失败检查确实字段和日期格式
[00:06:35 - 00:06:38] 这个差别就是口号和操作规程的差别
[00:06:38 - 00:06:40] 这里有个很重要的边界
[00:06:40 - 00:06:42] skill字不是无线上下文外挂
[00:06:42 - 00:06:44] Skill太大,想应会变慢
[00:06:44 - 00:06:47] 同时,启用太多skills也会造成干扰
[00:06:47 - 00:06:50] 文档里甚至建议如果上下文问题明显
[00:06:50 - 00:06:51] 就要减少启用数量
[00:06:51 - 00:06:54] 或者把相关能力打成skill packs
[00:06:54 - 00:06:56] 也就是说真正专业的skill不是越大越好
[00:06:56 - 00:06:58] 而是越清楚越好
[00:06:58 - 00:07:01] 我喜欢把它理解成给agent做信息架构
[00:07:01 - 00:07:04] 哪些信息常住,哪些信息触发后加载
[00:07:04 - 00:07:06] 哪些信息只有执行到某一步才看
[00:07:06 - 00:07:08] 这件事和写代码时拆磨块很像
[00:07:08 - 00:07:11] 你不是把所有逻辑写进一个函数
[00:07:11 - 00:07:14] 而是把入口主流程工具函数和资源分开
[00:07:14 - 00:07:17] 文档里有一个很朴素但很重要的建议
[00:07:17 - 00:07:20] 写任何代码之前先定义2-3个具体用力
[00:07:20 - 00:07:22] 这句话听起来普通
[00:07:22 - 00:07:23] 但很多人做skill正好反过来
[00:07:23 - 00:07:26] 他们先想我要做一个项目管理skill
[00:07:26 - 00:07:27] 我要做一个写作skill
[00:07:27 - 00:07:29] 我要做一个数据分析skill
[00:07:29 - 00:07:31] 听起来很大落地时却很虚
[00:07:31 - 00:07:33] 因为agent不知道这个skill
[00:07:33 - 00:07:34] 到底要服务哪个具体任务
[00:07:34 - 00:07:37] 文档里推荐的用力定义方式很实用
[00:07:37 - 00:07:39] UseCase Trigger Steps Result
[00:07:39 - 00:07:42] 也就是场景是什么用户会怎么触发
[00:07:42 - 00:07:43] 需要哪些步骤
[00:07:43 - 00:07:44] 最后产出什么结果
[00:07:44 - 00:07:46] 比如项目Sprint规划
[00:07:46 - 00:07:49] 触发与可能是帮我规划这个Sprint或者
[00:07:49 - 00:07:50] 创建Sprint Tasks
[00:07:50 - 00:07:53] 步骤可能包括获取项目状态
[00:07:53 - 00:07:55] 分析团队容量建议优先级
[00:07:55 - 00:07:57] 创建任务并写入标签和估算
[00:07:57 - 00:07:59] 结果是一个已经规划好的Sprint
[00:07:59 - 00:08:01] 而不是一段翻翻建议
[00:08:01 - 00:08:04] 这个结构会逼你把skill写实
[00:08:04 - 00:08:06] 你不能只说帮助项目管理
[00:08:06 - 00:08:08] 你得说当用户提出迭代规划时
[00:08:08 - 00:08:10] Agent应该拉取哪些信息
[00:08:10 - 00:08:12] 如何判断任务优先级
[00:08:12 - 00:08:13] 如何创建任务
[00:08:13 - 00:08:16] 如何处理缺少信息的情况
[00:08:16 - 00:08:18] 文档还把常见skill子分成三类
[00:08:18 - 00:08:20] 第一类是文档和资产创建
[00:08:20 - 00:08:21] 比如生成报告
[00:08:21 - 00:08:23] PPT表格设计稿代码
[00:08:23 - 00:08:26] 这类skill的重点是输出质量
[00:08:26 - 00:08:29] 通常会包含分隔指南模板结构和检查清单
[00:08:29 - 00:08:31] 第二类是工作流自动化
[00:08:31 - 00:08:33] 它适合多步骤流程
[00:08:33 - 00:08:35] 重点是步骤验证点和迭代
[00:08:35 - 00:08:37] 第三类是工具增强
[00:08:37 - 00:08:38] 它会叫Agent怎么更好的
[00:08:38 - 00:08:40] 使用某个外部服务或工具
[00:08:40 - 00:08:44] 把原本需要用户解释的操作经验写进skill
[00:08:44 - 00:08:46] 这三类对应三种价值
[00:08:46 - 00:08:48] 文档和资产创建解决结果质量
[00:08:48 - 00:08:50] 工作流自动化解决过程稳定
[00:08:51 - 00:08:52] 工具增强解决工具会用
[00:08:52 - 00:08:54] 如果你想做一个skill
[00:08:54 - 00:08:57] 可以先问自己我到底在解决哪种问题
[00:08:57 - 00:08:59] 如果三种都想解决那也可以
[00:08:59 - 00:09:00] 但要把边界拆清楚
[00:09:00 - 00:09:02] 不要混在一坨指令里
[00:09:02 - 00:09:05] 很多人对skills的理解停在markdown
[00:09:05 - 00:09:08] 其实文档里反复暗示了一个更高级的方向
[00:09:08 - 00:09:10] 不要把所有判断都交给自然语言
[00:09:10 - 00:09:13] 能用代码检查的就用代码检查
[00:09:13 - 00:09:14] 这点很关键
[00:09:14 - 00:09:17] Agent的擅长理解意图也擅长生成内容
[00:09:17 - 00:09:19] 但它不擅长稳定执行精确脚印
[00:09:19 - 00:09:22] 比如检查CSV自断验证日期格式
[00:09:22 - 00:09:24] 确认Jason Schema
[00:09:24 - 00:09:26] 判断报告是否缺张节
[00:09:26 - 00:09:28] 检查代码是否符合规则
[00:09:28 - 00:09:31] 这些事情如果只靠自然语言提醒
[00:09:31 - 00:09:33] 它可能这次记得下次忘了
[00:09:33 - 00:09:35] 所以Skillmuluxa可以放脚本
[00:09:35 - 00:09:38] 比如 scripts validate py
[00:09:38 - 00:09:42] 或者 scripts check underscore report.py
[00:09:42 - 00:09:45] 在 sql.md里面确写
[00:09:45 - 00:09:47] 提交结果前必须运行脚本
[00:09:47 - 00:09:49] 如果脚本失败 根据错误修正
[00:09:49 - 00:09:51] 修正后重新运行直到通过
[00:09:51 - 00:09:54] 这套方式会把 agent 的角色
[00:09:54 - 00:09:57] 从猜答案的人变成调度流程的人
[00:09:57 - 00:09:59] 模型负责理解任务
[00:09:59 - 00:10:01] 调用工具解释错误和修正内容
[00:10:01 - 00:10:03] 脚本负责确定性检查
[00:10:03 - 00:10:05] 这样可靠性会高很多
[00:10:05 - 00:10:06] 文档里有一个模式叫
[00:10:06 - 00:10:08] iterative refinement
[00:10:08 - 00:10:11] 迪戴优化它很适合报告文档设计稿和代码
[00:10:11 - 00:10:13] 流程大概是先生成出稿
[00:10:13 - 00:10:15] 保存到临时文件
[00:10:15 - 00:10:16] 运行质量检查脚本
[00:10:16 - 00:10:19] 找出缺失章节格式问题
[00:10:19 - 00:10:20] 数据错误
[00:10:20 - 00:10:21] 修正
[00:10:21 - 00:10:22] 重新验证
[00:10:22 - 00:10:25] 达到质量标准后再输出最终版本
[00:10:25 - 00:10:27] 这个思路很朴素但是很硬
[00:10:27 - 00:10:28] 它承认模型不稳定
[00:10:28 - 00:10:30] 所以给它加了外部检查
[00:10:30 - 00:10:32] 很多团队现在做agent的问题就出在这里
[00:10:32 - 00:10:34] 他们希望模型一次作对
[00:10:34 - 00:10:36] 于是不停把提示词写得更长
[00:10:36 - 00:10:38] 更好的做法是让模型做一板
[00:10:38 - 00:10:40] 然后用确定性规则检查它
[00:10:40 - 00:10:43] 这也是我觉得SKILS最有工程位的地方
[00:10:43 - 00:10:44] 它没有迷信模型
[00:10:44 - 00:10:48] 它把模型当成一个能理解和调度的组件
[00:10:48 - 00:10:50] 再用脚本文档工具和流程去约束它
[00:10:50 - 00:10:53] 很多人会把SKILS理解成知识库
[00:10:53 - 00:10:54] 把公司文档放进去
[00:10:54 - 00:10:55] 把规范放进去
[00:10:55 - 00:10:57] 把脚本放进去
[00:10:57 - 00:11:00] 觉得这样Agent就懂了这个想法只对了一半
[00:11:00 - 00:11:02] SKILS更像一个工作流产品
[00:11:02 - 00:11:05] 它有目标用户有触发场景有执行路径
[00:11:05 - 00:11:07] 有失败处理有质量标准
[00:11:07 - 00:11:09] 还有分发和版本管理
[00:11:09 - 00:11:12] 只不过这个产品的直接使用者不是人
[00:11:12 - 00:11:12] 而是agent
[00:11:12 - 00:11:14] 文档里甚至给了评估指标
[00:11:14 - 00:11:18] 比如相关查询触发率能不能达到90%
[00:11:18 - 00:11:19] 同一个任务有没有减少
[00:11:19 - 00:11:22] 工具调用次数和token消耗
[00:11:22 - 00:11:26] 每个工作流的API调用失败次数能不能降到0
[00:11:26 - 00:11:28] 用户是否不需要反复提醒下一步
[00:11:28 - 00:11:30] 跨多次绘画结果是否一致
[00:11:30 - 00:11:32] 这些指标很有意思
[00:11:32 - 00:11:36] 因为他们把Agent从感觉好用拉回到了工程评估
[00:11:36 - 00:11:38] 一个skill好不好不是看它描述的多漂亮
[00:11:38 - 00:11:41] 而是看它有没有减少来回沟通
[00:11:41 - 00:11:42] 有没有减少失败调用
[00:11:42 - 00:11:45] 有没有让新用户第一次就能完成任务
[00:11:45 - 00:11:46] 文档里还有一个对比例子
[00:11:46 - 00:11:49] 没有skill时用户每次要重新解释
[00:11:49 - 00:11:53] 来回很多轮还可能出现多次API调用失败
[00:11:53 - 00:11:55] 使用skill后Agent自动执行工作流
[00:11:55 - 00:11:59] 只问少量澄清问题失败调用减少
[00:11:59 - 00:12:00] token也下降
[00:12:00 - 00:12:02] 这个例子不是一个固定承诺
[00:12:02 - 00:12:03] 但它说明了方向
[00:12:03 - 00:12:05] skills的价值不是制造新能力
[00:12:05 - 00:12:07] 而是减少重复解释和重复错误
[00:12:07 - 00:12:10] 所以skill不是更长的提示词
[00:12:10 - 00:12:13] 它是把一个工作流做成可附用产品
[00:12:13 - 00:12:14] 如果我只看一部分
[00:12:14 - 00:12:16] 我建议看文档里的模式章节
[00:12:16 - 00:12:19] 那里把常见skill设计方法拆成了几类
[00:12:19 - 00:12:21] 很适合拿来做自己的检查表
[00:12:21 - 00:12:23] 第一种是顺序工作流编排
[00:12:23 - 00:12:26] 适合必须按固定顺序做的事情
[00:12:26 - 00:12:28] 比如客户接入先创建帐户
[00:12:28 - 00:12:29] 再设置支付方式
[00:12:29 - 00:12:33] 在创建订阅再发欢迎邮件每一步都有依赖关系
[00:12:33 - 00:12:35] 如果前一步失败后一步不能乱跑
[00:12:35 - 00:12:39] 这里spew要写清楚顺序依赖验证点和回滚方式
[00:12:39 - 00:12:43] 第二种是多工具协调适合跨系统任务
[00:12:43 - 00:12:46] 比如设计交接先导出设计资产
[00:12:46 - 00:12:50] 再上传到存储系统再创建开发任务再通知团队
[00:12:50 - 00:12:53] 这里最难的不是调用哪个工具
[00:12:53 - 00:12:55] 而是数据怎么在工具之间传递
[00:12:55 - 00:12:58] 一个链接一个文件名一个任务ID
[00:12:58 - 00:12:59] 如果没处理好后面全乱
[00:13:00 - 00:13:03] 第三种是迭代优化适合质量需要打磨的输出
[00:13:03 - 00:13:06] 比如报告生成不能只生成一次就交付
[00:13:06 - 00:13:10] 它要有检查脚本有质量标准有修正循环
[00:13:10 - 00:13:11] 也要知道什么时候停止
[00:13:11 - 00:13:13] 无限迭代也不行
[00:13:13 - 00:13:14] agent会浪费时间
[00:13:14 - 00:13:17] 第四种是上下文感值的工具选择
[00:13:17 - 00:13:20] 用户可能只是说帮我存一下这个文件
[00:13:20 - 00:13:22] 但文件类型不同选择就不同
[00:13:22 - 00:13:24] 大文件走云存储
[00:13:24 - 00:13:26] 协作文档走文档工具
[00:13:26 - 00:13:28] 代码文件走代码平台
[00:13:28 - 00:13:29] 临时文件走本地
[00:13:29 - 00:13:31] skill 了写决策数
[00:13:31 - 00:13:32] 不要让 agent 的评感决选
[00:13:32 - 00:13:34] 第五种是领域专业智能
[00:13:34 - 00:13:35] 这个罪之前
[00:13:35 - 00:13:39] 比如金融合规支付审核安全审计医疗流程
[00:13:39 - 00:13:41] 它不只是调用工具
[00:13:41 - 00:13:43] 而是把行业规则写进流程
[00:13:43 - 00:13:45] 支付前要查交易详情
[00:13:45 - 00:13:47] 风险等级地区限制
[00:13:47 - 00:13:49] 必要时创建审核case
[00:13:49 - 00:13:50] 这里封装的是专业判断
[00:13:50 - 00:13:51] 不是工具说明
[00:13:51 - 00:13:53] 这五种模式可以变成一个
[00:13:53 - 00:13:55] 非常实用的问题
[00:13:55 - 00:13:56] 你的skill属于哪一种
[00:13:56 - 00:13:58] 顺序执行跨工具协调
[00:13:58 - 00:14:00] 迭代优化工具选择
[00:14:00 - 00:14:01] 还是领域判断
[00:14:01 - 00:14:02] 如果你说不清
[00:14:02 - 00:14:04] 这个skill多半还没设计好
[00:14:04 - 00:14:06] 得接下来会有一个变化
[00:14:06 - 00:14:07] 团队不会只管理提示词库
[00:14:07 - 00:14:09] 而会开始管理skills
[00:14:09 - 00:14:10] 因为提示词太散
[00:14:10 - 00:14:12] 太依赖使用者经验
[00:14:12 - 00:14:14] skills更像一个可以版本化
[00:14:14 - 00:14:17] 可以测试可以分发的工作留资产
[00:14:17 - 00:14:18] 对个人来说
[00:14:18 - 00:14:19] skills是经验沉淀
[00:14:19 - 00:14:21] 你是前端工程师
[00:14:21 - 00:14:22] 可以把组建规范
[00:14:22 - 00:14:24] 性能检查设计系统
[00:14:24 - 00:14:26] 和交互标准写成skill
[00:14:26 - 00:14:27] 你是数据分析师
[00:14:27 - 00:14:29] 可以把取数清洗建模
[00:14:29 - 00:14:32] 图表和结论审查写成skill
[00:14:32 - 00:14:34] 你做安全可以把审计流程
[00:14:34 - 00:14:37] 风险分极修复建议和验证脚本写成skill
[00:14:37 - 00:14:40] 对团队来说skills是协作标准
[00:14:40 - 00:14:43] 新人不需要每次问这个任务该怎么做
[00:14:43 - 00:14:46] agent也不需要每次从零理解团队习惯
[00:14:46 - 00:14:47] 只要skill设计得好
[00:14:47 - 00:14:49] 流程就能更稳定的复制
[00:14:49 - 00:14:51] 对工具开发者来说
[00:14:51 - 00:14:53] skills会变成工具文档的一部分
[00:14:53 - 00:14:55] 只提供接口还不够
[00:14:55 - 00:14:57] 用户真正想要的是完成结果
[00:14:57 - 00:14:59] 一个工具如果配套了好的skills
[00:14:59 - 00:15:02] 就能告诉Agent怎么把工具用在真实流程里
[00:15:02 - 00:15:04] 而不是只列出一堆API
[00:15:04 - 00:15:06] 但这里也要讲风险
[00:15:06 - 00:15:07] skill不是普通文档
[00:15:07 - 00:15:09] 它可能包含脚本
[00:15:09 - 00:15:10] 可能影响Agent的调用工具
[00:15:10 - 00:15:13] 可能读取文件或处理敏感数据
[00:15:13 - 00:15:16] 文档里对front matter有安全限制
[00:15:16 - 00:15:18] 比如不能有xml角扩号
[00:15:18 - 00:15:21] 不能在yaml里执行代码
[00:15:21 - 00:15:22] 某些名称也被保留
[00:15:22 - 00:15:25] 第三方skills更要像软件包一样审查来源
[00:15:25 - 00:15:29] 脚本权限和外部调用效率和风险会一起出现
[00:15:29 - 00:15:32] 越能自动做事的skill越需要清楚边界
[00:15:32 - 00:15:35] 这期真正想讲的不是某个产品的新功能
[00:15:35 - 00:15:37] 而是一套通用的agent skills思路
[00:15:37 - 00:15:39] skill的第一层是触发
[00:15:39 - 00:15:41] 你要让agent知道什么时候该用它
[00:15:41 - 00:15:43] 第二层是流程
[00:15:43 - 00:15:45] 你要让agent知道先做什么后做什么
[00:15:45 - 00:15:46] 第三层是教验
[00:15:46 - 00:15:49] 你要让agent不靠感觉交付结果
[00:15:49 - 00:15:50] 第四层是迭代
[00:15:50 - 00:15:53] 你要让这个skill在真实使用里不断修
[00:15:53 - 00:15:55] 所以我会把skills定义成一句话
[00:15:55 - 00:15:59] 它是agent的工作协议提示词更像一次性沟通
[00:15:59 - 00:16:01] skills更像长期可附用的方法
[00:16:01 - 00:16:04] 一个普通提示词解决的是这一次怎么打
[00:16:04 - 00:16:07] 一个好skill解决的是以后遇到这类任务怎么做
[00:16:07 - 00:16:10] 你现在最想做成skill的工作流是什么
[00:16:10 - 00:16:13] 代码审查、项目管理、数据分析写作
[00:16:13 - 00:16:16] 还是你所在行业里某个特别麻烦的流程
[00:16:16 - 00:16:18] 欢迎在评论区说一个具体场景
[00:16:18 - 00:16:22] 我是为什么叫QQ,我们下期见别忘了一键三连
[00:16:22 - 00:16:24] 你的支持是我继续创作的动力
