BV号：BV1e3waekEsB
标题：BV1e3waekEsB
链接：https://www.bilibili.com/video/BV1e3waekEsB
识别语言：zh
语言置信度：1
分段数：289
生成时间：2026-08-30 19:00:24

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 今天要给大家带来的是AI行业的一个重要消息
[00:07:15 - 00:07:18] 創造出了遠超自身生物學限制的技術
[00:07:18 - 00:07:21] 站在了過去一萬代人所共同積累的知識
[00:07:21 - 00:07:22] 與技術的巨大基座之上
[00:07:22 - 00:07:24] 科學的進步幫助人類克服了
[00:07:24 - 00:07:27] 像饑荒 瘟疫和普遍文盲
[00:07:27 - 00:07:29] 等等長期困擾人類生活的難題
[00:07:29 - 00:07:32] 並且持續拓展著人類的生存邊界
[00:07:32 - 00:07:34] 而在當今時代科學進步的加速
[00:07:34 - 00:07:37] 將依賴於能夠獨立發明和發現的AI
[00:07:37 - 00:07:39] 這種能力將遠遠超出人類的想像
[00:07:39 - 00:07:41] 為了朝著這個方向努力
[00:07:41 - 00:07:43] NDR希望通過自己的研究
[00:07:43 - 00:07:45] 為科學發展注入新的強大動力
[00:07:45 - 00:07:47] 在實現終極目標的過程中
[00:07:47 - 00:07:50] NDR也有著清晰的步驟規劃
[00:07:50 - 00:07:51] 對於程序合成來說
[00:07:51 - 00:07:53] 首先要做的是理解智能
[00:07:53 - 00:07:56] 深入探究智能的本質和內在機制
[00:07:56 - 00:07:58] 這其中又包括對用戶意圖的理解
[00:07:58 - 00:08:00] 和對程序的理解
[00:08:00 - 00:08:02] 其中用戶意圖的理解
[00:08:02 - 00:08:05] 也就是結合用戶的上下輪語境和語意知識
[00:08:05 - 00:08:08] 迅速準確的定位和理解用戶的意圖
[00:08:08 - 00:08:09] 從而將符號化的文本
[00:08:09 - 00:08:12] 映射到高為仇密的項鍊空間中
[00:08:12 - 00:08:14] 而程序理解的目標是從不同抽象層次
[00:08:14 - 00:08:16] 多視角多方面的去分析
[00:08:16 - 00:08:19] 並且提取程序中的關鍵信息
[00:08:19 - 00:08:22] 將它轉換為計算機所能夠理解的形式
[00:08:22 - 00:08:23] 然後是構建智能
[00:08:23 - 00:08:26] 利用深度學習引導的程序合成技術
[00:08:26 - 00:08:28] 打造出具有高度智能的系統
[00:08:28 - 00:08:30] 比如說在模型訓練階段
[00:08:30 - 00:08:31] 通過使用反向傳播
[00:08:31 - 00:08:33] 或者是隨機T2下降算法
[00:08:33 - 00:08:35] 以最小化損失函數為目標
[00:08:35 - 00:08:37] 在已經構造的數據集上
[00:08:37 - 00:08:39] 來優化程序合成模型的參數
[00:08:39 - 00:08:41] 再次是測試和評估模型
[00:08:41 - 00:08:44] 建立科學合理的智能評估標準
[00:08:44 - 00:08:46] 最後再將它部署起來
[00:08:46 - 00:08:48] 讓AGI在各個科學領域發揮作用
[00:08:48 - 00:08:50] 推動科學的快速發展
[00:08:50 - 00:08:52] 努普還認為在未來5到10年內
[00:08:52 - 00:08:55] 想要擴展高效的沒有平靜的AGI
[00:08:55 - 00:08:56] 有兩個關鍵的重點
[00:08:56 - 00:08:59] 那就是深度學習與程序合成
[00:08:59 - 00:09:00] 兩者缺一不可
[00:09:00 - 00:09:02] 畢竟現在在程序合成領域
[00:09:02 - 00:09:04] 還沒有出現Transformer
[00:09:04 - 00:09:05] 也沒有出現Carouss
[00:09:05 - 00:09:07] 這就好像是2013年的時候
[00:09:07 - 00:09:09] 基於深度學習的AlexNet
[00:09:09 - 00:09:11] 在ImageNet上取得了重要突破
[00:09:11 - 00:09:13] 開啟了AI的新紀元
[00:09:13 - 00:09:15] 讓之後的AI約等娛樂深度學習
[00:09:15 - 00:09:17] 而最近OPI發布的OSRI
[00:09:17 - 00:09:20] 在擊敗了ARK-AGI1基準測試之後
[00:09:20 - 00:09:21] 也讓人們第一次見識到了
[00:09:21 - 00:09:23] 程序合成的強大威力
[00:09:23 - 00:09:24] 努普認為
[00:09:24 - 00:09:25] 如果判斷正確的話
[00:09:25 - 00:09:27] 那麼OSRI在程序合成領域的地位
[00:09:27 - 00:09:30] 就如同深度學習領域的AXNITE一樣重要
[00:09:30 - 00:09:31] 他還堅信
[00:09:31 - 00:09:33] 人類必然將會利用AGI
[00:09:33 - 00:09:35] 來解決那些極其重要的問題
[00:09:35 - 00:09:37] 他也呼籲所有有新的想法
[00:09:37 - 00:09:39] 並且能夠加速AI發展的人
[00:09:39 - 00:09:41] 都應該積極投身到其中
[00:09:41 - 00:09:43] 因为世界需要这样的技术突破
[00:09:43 - 00:09:44] 多说一句的是
[00:09:44 - 00:09:46] 这次肖莱和奴仆两人
[00:09:46 - 00:09:47] 其实并不是第一次合作
[00:09:47 - 00:09:51] 他们本身还是ARK奖励基金的联合创始人和董事会成员
[00:09:51 - 00:09:53] 这个基金会是一个非盈利的组织
[00:09:53 - 00:09:56] 致力于开放AGI的公共推进和教育
[00:09:56 - 00:09:59] ARKAGI中的任务对于人类来说轻而易举
[00:09:59 - 00:10:01] 但是对于AI来说却急剧挑战性
[00:10:01 - 00:10:05] 它甚至一度被认为是验证AGI进展的唯一正式标准
[00:10:05 - 00:10:09] 正如OpenI在12天直播最后一天公布的欧苏人模型
[00:10:09 - 00:10:13] 也是因為在ARK EDI基準上的突破引起了廣泛的關注
[00:10:13 - 00:10:16] 肖萊他們還同時公布了最新的技術報告
[00:10:16 - 00:10:19] 為AI研究人員提供了寶貴的參考資料
[00:10:19 - 00:10:21] 我們在之前介紹歐索瑞模型的節目中
[00:10:21 - 00:10:24] 也曾經引用過這份報告的內容
[00:10:24 - 00:10:26] 應該說在AI研究不斷推進的過程中
[00:10:26 - 00:10:29] 我們見證了許多重要的發展階段和技術突破
[00:10:29 - 00:10:33] 從早期的簡單算法到如今複雜的深度學習模型
[00:10:33 - 00:10:37] 再到NDR所探索的深度學習與程序合成相結合的新路徑
[00:10:37 - 00:10:40] 每一步都凝聚著科研人員的智慧和努力
[00:10:40 - 00:10:42] 隨著技術的不斷發展
[00:10:42 - 00:10:44] AJI或許不再是遙不可及的夢想
[00:10:44 - 00:10:46] 而NDR實驗室的努力
[00:10:46 - 00:10:49] 很可能會成為推動這個進程的關鍵力量
[00:10:49 - 00:10:50] 在未來的日子裡
[00:10:50 - 00:10:53] 我們頻道也會持續關注NDR的研究進展
[00:10:53 - 00:10:56] 期待AI能為人類社會帶來更多的驚喜和改變
[00:10:56 - 00:10:58] 好了 感謝大家收看本期節目
[00:10:58 - 00:10:59] 我們下期再見
