BV号：BV1uBwTztEeJ
标题：BV1uBwTztEeJ
链接：https://www.bilibili.com/video/BV1uBwTztEeJ
识别语言：zh
语言置信度：1
分段数：210
生成时间：2026-08-29 20:14:08

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 今天我们来聊一个听起来有点玄
[00:03:56 - 00:03:58] 甚至能解达大学水平的考试题
[00:03:59 - 00:04:01] 这种现象被称为大模型的涌现能力
[00:04:01 - 00:04:03] 以GPT3为例
[00:04:03 - 00:04:06] 当参数量从数亿越升到1750亿时
[00:04:06 - 00:04:09] 它突然能够做到上下文学习
[00:04:09 - 00:04:11] 仅凭几个势力就能完成全新任务
[00:04:11 - 00:04:13] 而不需要重新训练
[00:04:13 - 00:04:15] 这种能力在小模型中完全不存在
[00:04:15 - 00:04:17] 它不是漸进式提升
[00:04:17 - 00:04:19] 而是在某个邻界点突然出现的
[00:04:19 - 00:04:20] 与此同时
[00:04:20 - 00:04:22] 大模型还展现出另一个涌现现象
[00:04:22 - 00:04:23] 规模法则
[00:04:23 - 00:04:24] scaling law
[00:04:24 - 00:04:25] 研究发现
[00:04:25 - 00:04:27] 随着模型规模的扩大
[00:04:27 - 00:04:30] 性能的提升遵循一种秘律关系
[00:04:30 - 00:04:31] 而不是线性增长
[00:04:31 - 00:04:34] 这种秘律分布在鸟群城市生物体中
[00:04:34 - 00:04:35] 都普遍存在
[00:04:35 - 00:04:37] 是复杂系统涌现的一种统计特征
[00:04:37 - 00:04:38] 当然大模型的涌现
[00:04:38 - 00:04:41] 和自然界的涌现有一个重要区别
[00:04:41 - 00:04:44] 自然界的涌现来自个体之间的局部正反馈
[00:04:44 - 00:04:47] 而大模型的湧线更多于思维链
[00:04:47 - 00:04:49] 也就是模型内部的推理路径有关
[00:04:49 - 00:04:52] 但两者背后都指向同一个深层问题
[00:04:52 - 00:04:55] 复杂性是如何从简单规则中自发产生的
[00:04:55 - 00:04:59] 这是整个湧线研究中最烧脑也最令人兴奋的部分
[00:04:59 - 00:05:02] 长期以来科学界有一种默认的还原论假设
[00:05:02 - 00:05:04] 要理解一个系统
[00:05:04 - 00:05:06] 就把它拆开研究最小的组成部分
[00:05:06 - 00:05:08] 但湧线理论挑战了这个假设
[00:05:08 - 00:05:12] Eric Ho在2013年提出了英国湧线
[00:05:12 - 00:05:14] 并用数学工具证明了一件反直觉的事
[00:05:14 - 00:05:18] 宏观描述有时比微观描述更具因果力量
[00:05:18 - 00:05:19] 它用有效信息
[00:05:19 - 00:05:20] EI
[00:05:20 - 00:05:22] 来衡量一个系统的因果效应强度
[00:05:22 - 00:05:24] 简单来说EI越高
[00:05:24 - 00:05:27] 意味着这个系统的动力学规律越清晰越确定
[00:05:27 - 00:05:28] 举个例子
[00:05:28 - 00:05:31] 一个密闭容器里有数以异计的气体分子
[00:05:31 - 00:05:34] 你当然可以用牛顿定律描述每一个分子的运动
[00:05:34 - 00:05:36] 但这样的描述极其混乱
[00:05:36 - 00:05:38] 因果效应极弱
[00:05:38 - 00:05:39] 但如果你换一个视角
[00:05:39 - 00:05:42] 用温度压强体积来描述这个系统
[00:05:42 - 00:05:44] 你会得到一个极其简洁的公式
[00:05:44 - 00:05:46] PV等于NRT
[00:05:46 - 00:05:48] 宏观描述的因果效应
[00:05:48 - 00:05:49] 远远强于微观描述
[00:05:49 - 00:05:52] 这就是英国涌现的核心动荐
[00:05:52 - 00:05:55] 有时候宏观才是真正的英国主角
[00:05:55 - 00:05:56] 微观反而是噪音这个理论
[00:05:56 - 00:05:58] 对AI研究也有深刻启示
[00:05:58 - 00:06:01] 北京示范大学的张江教授团队
[00:06:01 - 00:06:04] 开发了神经信息压缩器NIS
[00:06:04 - 00:06:07] 能够从复杂的多维时间序列数据中
[00:06:07 - 00:06:10] 自动识别出具有最强因果效应的宏观动力学规律
[00:06:10 - 00:06:15] 这套方法在生命游戏、弹簧阵子等经典复杂系统上都取得了
[00:06:15 - 00:06:18] 令人惊喜的结果 机器学会了像人脑一样
[00:06:18 - 00:06:21] 从混乱的微观数据中看见宏观的规律
[00:06:21 - 00:06:25] 最后我想和你聊聊永先这个概念背后更深的意义
[00:06:25 - 00:06:27] 永先现象的普遍存在
[00:06:27 - 00:06:30] 动摇了科学史上长达几百年的还原论传统
[00:06:30 - 00:06:34] 还原论认为 理解了最小的部分就理解了整体
[00:06:34 - 00:06:35] 但永先告诉我们
[00:06:35 - 00:06:37] 有些真理只存在于整体层面
[00:06:37 - 00:06:39] 无法从部分推导出来
[00:06:39 - 00:06:41] 这不仅仅是一个科学问题
[00:06:41 - 00:06:43] 更是一个哲学问题
[00:06:43 - 00:06:45] 意识是大脑的永限属性吗?
[00:06:45 - 00:06:47] 生命是化学反应的永限属性吗?
[00:06:47 - 00:06:50] 社会是个体行为的永限属性吗?
[00:06:50 - 00:06:52] AI会永先出真正的理解力
[00:06:52 - 00:06:53] 甚至自我意识吗?
[00:06:53 - 00:06:56] 这些问题科学家们还没有最终答案
[00:06:56 - 00:06:58] 但永先理论至少给了我们一个新的视角
[00:06:58 - 00:07:00] 不要只盯着零件
[00:07:00 - 00:07:01] 要看整体在做什么
[00:07:01 - 00:07:03] 从疫群到大脑
[00:07:03 - 00:07:05] 从生命游戏到大语言模型
[00:07:05 - 00:07:08] 从城市交通到金融市场
[00:07:08 - 00:07:10] 永县无处不在
[00:07:10 - 00:07:12] 它是自然界最神奇的魔法
[00:07:12 - 00:07:14] 也是复杂系统研究最迷人的前沿
[00:07:14 - 00:07:16] 好了今天的内容就到这里
[00:07:16 - 00:07:20] 如果你对永县复杂系统或者AI的底层逻辑感兴趣
[00:07:20 - 00:07:22] 欢迎关注我 我们下期见
