BV号：BV1DeXUYbEjB
标题：BV1DeXUYbEjB
链接：https://www.bilibili.com/video/BV1DeXUYbEjB
识别语言：zh
语言置信度：1
分段数：667
生成时间：2026-08-30 12:35:45

[00:00:00 - 00:00:03] R1,KIMI K1.5等技術的解读
[00:00:03 - 00:00:06] 也是对之前O1解读的一个叙作
[00:04:21 - 00:04:24] 语言模型的训练时计算量多了一个新的编辆
[00:04:24 - 00:04:28] 也就是在探索时语言模型推理产生的计算量
[00:04:29 - 00:04:31] 那为什么我们需要后训练扩展率呢
[00:04:31 - 00:04:35] 那其实早在2022年就有这个启发的认知
[00:04:35 - 00:04:36] 主要是出于两个原因
[00:04:36 - 00:04:39] 第一个是随着模型尺寸的逐渐增大
[00:04:39 - 00:04:44] 预训练阶段参数的扩展带来的编辑受益开始逐步低减
[00:04:44 - 00:04:48] 如果想要深度提升模型的推理能力和長程問題的能力
[00:04:48 - 00:04:52] 基於強化學習的後續鏈將會成為下一個突破點
[00:04:52 - 00:04:58] 第二位就是資匯規模型在傳統的向數學推理問題上很難進步
[00:04:58 - 00:05:02] 其中的關鍵一點就是沒有辦法進行回答的自主修正
[00:05:02 - 00:05:06] 如果僅是依靠盛世的方法和擴大參數的規模
[00:05:06 - 00:05:09] 那麼在數學後推理任務上帶來的説義不會很大
[00:05:09 - 00:05:13] 所以我們迫切的需要額外的Skinlite去額外的擴展率
[00:05:13 - 00:05:18] 那业界其实近期有很多附线OE的操作
[00:05:18 - 00:05:21] 例如基于征流或者强硬学习的方法
[00:05:21 - 00:05:26] 或者是从MCTIS也就是MontcalosuSoso和奖励模型的设计角度出发
[00:05:26 - 00:05:33] 通过Soso的方式显示的去帮助语言模型进行推理阶段计算量的提升
[00:05:33 - 00:05:35] 作业有很多不错的尝试
[00:05:35 - 00:05:40] 但是大多数都是在特定任务上例如数学或者代码的提升
[00:05:40 - 00:05:45] 那Deepseak R10的發布也是讓我們看到了強化學習的潛力
[00:05:45 - 00:05:50] 特別是他跳過了經典後續練階段中的監督微調
[00:05:50 - 00:05:55] 直接運用大規模強化學習就實現了退禮能力的大幅提升
[00:05:55 - 00:05:58] 在數學代碼等問題上顯著飛躍
[00:05:58 - 00:06:02] 並且在強化學習訓練功能中自然湧現長安本退禮能力
[00:06:02 - 00:06:05] 這其中的關鍵操作核心在於
[00:06:05 - 00:06:08] 一個是基於規則的獎勵Rubase的Reward
[00:06:08 - 00:06:11] 和以推理为中心的大规模情话学习
[00:06:11 - 00:06:14] 接下来我们也进行逐步的拆解
[00:06:16 - 00:06:19] 在DPC-REZRO的奖励建模中
[00:06:19 - 00:06:21] 采用了基于规则的奖励
[00:06:21 - 00:06:24] 也就是基于一定的规则可以直接利用程序
[00:06:24 - 00:06:26] 进行判断证物的奖励信号
[00:06:27 - 00:06:28] 具体来说
[00:06:28 - 00:06:30] DPC-REZRO世界的两种奖励
[00:06:30 - 00:06:32] 一种是准确率奖励
[00:06:32 - 00:06:34] 及对于推理任务
[00:06:34 - 00:06:37] 是否根据最后答案的证券率直接来判断
[00:06:37 - 00:06:39] 这个任务是否成功完成
[00:06:39 - 00:06:41] 第二种是格式奖励
[00:06:41 - 00:06:44] 也就是显示的去规券
[00:06:44 - 00:06:47] 模型的输出过程中必须包含思考的过程
[00:06:47 - 00:06:49] 也就是利用一个sinking token
[00:06:49 - 00:06:51] 将思考的过程圈起来
[00:06:51 - 00:06:53] 那需要注意的是
[00:06:53 - 00:06:55] 这部分奖励建模并没有采用先前
[00:06:55 - 00:06:56] 我们经常讨论的
[00:06:56 - 00:06:58] 比如说过程奖励模型
[00:06:58 - 00:06:59] PRM
[00:06:59 - 00:07:01] 甚至没有采用奖励模型
[00:07:01 - 00:07:03] 那这里面的主要考量是
[00:07:03 - 00:07:05] 基于神经网络的奖励模型
[00:07:05 - 00:07:07] 都有可能遭受奖励攻陷的问题
[00:07:07 - 00:07:09] 那一旦发生奖励攻陷
[00:07:09 - 00:07:12] 模型就可能陷入局部最优劫
[00:07:12 - 00:07:16] 而重新训练讲理模型需要大量的计算资源
[00:07:16 - 00:07:18] 可能会复杂化整个流程
[00:07:18 - 00:07:22] 而第二个在强化学习的训练模板选择上
[00:07:22 - 00:07:25] Deep Seeker EZ入采用了最简单的思考过程
[00:07:25 - 00:07:29] 而没有去在Sixth problem之中加入过多的去诱导
[00:07:29 - 00:07:31] 模型产生特定的思考范式
[00:07:31 - 00:07:34] 比如说去产生反思等范式
[00:07:35 - 00:07:39] 这一期望是可以希望能够直接观察到
[00:07:39 - 00:07:41] 在RL过程中最本质的表现
[00:07:42 - 00:07:46] 那DPC和REG更为关键的是
[00:07:46 - 00:07:48] 以推理为中心的W模强化学习
[00:07:48 - 00:07:52] 基地来说,在传统的RLTF算法上
[00:07:52 - 00:07:56] DPC和进行了一些算法的细节优化
[00:07:56 - 00:07:59] 采用了像组相对策略优化的JRPO
[00:07:59 - 00:08:02] 这部分我们也会后续讲解这部分的技术细节
[00:08:02 - 00:08:05] 同时它只瞄准了推理方面的专项任务
[00:08:06 - 00:08:08] 那通过W模的强化学习
[00:08:08 - 00:08:11] 模型已经呈现出了自我迭代提升的趋势
[00:08:11 - 00:08:13] 也就是随着训练部署的增加
[00:08:13 - 00:08:16] 模型的思考长度会逐渐增长
[00:08:16 - 00:08:19] 这也对应着模型在测试阶段的计算量的增长
[00:08:19 - 00:08:21] 也就是推理时长的提升
[00:08:21 - 00:08:24] 与此同时模型也在中途训练功能中
[00:08:24 - 00:08:26] 涌现了aha moment
[00:08:26 - 00:08:29] 也就是学会用wait等停顿词
[00:08:29 - 00:08:31] 自然地去增加更多的推理时间
[00:08:31 - 00:08:34] 并且反思和评价先前的步骤
[00:08:34 - 00:08:37] 并主动去探索其他的方法路径
[00:08:38 - 00:08:42] DPSc R1金肉的成功也被我们带来了一些关键的歧视
[00:08:42 - 00:08:44] 例如在传统的大圆模型训练中
[00:08:44 - 00:08:47] 金属微条通常被认为是不可或缺的一环
[00:08:47 - 00:08:50] 其逻辑是先用大量人工标注的数据
[00:08:50 - 00:08:54] 来让模型初步掌握某种能力或回答犯事
[00:08:54 - 00:08:57] 再利用强化学习进一步优化模型的性能
[00:08:57 - 00:09:00] 然而DPSc却打破了这些传统
[00:09:00 - 00:09:03] 他们选择直接将RL引用于基础模型
[00:09:03 - 00:09:06] 而没有经过任何形式的SFT训练
[00:09:06 - 00:09:09] 这种纯强娃学习的方法之所以如此引人注目
[00:09:09 - 00:09:14] 是很大成熟上因为它抛弃了对于大规模人工标注数据的依赖
[00:09:14 - 00:09:22] 出手周知SFT是非常需要消耗大量的人力物理来构建和维护高质量的训练数据机
[00:09:22 - 00:09:28] RDPC团队这种做法可以直接让模型在强娃学习的环境中进行自我探索
[00:09:28 - 00:09:32] 通过与环境的互动自主的去发现和学习解决复杂问题的能力
[00:09:32 - 00:09:35] 这好比一个初学者在没有老师的指导下
[00:09:35 - 00:09:40] 通過不斷地承斥和錯誤來掌握一門新的技能
[00:09:40 - 00:09:44] 就用自主學習的方式不僅節省了大量的標準成本
[00:09:44 - 00:09:48] 更重要的是它能讓模型更加自由的探索解決問題的路徑
[00:09:48 - 00:09:51] 而不是被預先設定的模式所束縛
[00:09:51 - 00:09:56] 這也使得模型最終具備了更加強大的泛化能力和適用能力
[00:09:56 - 00:10:00] 而之所以能夠跳過監督位條階段
[00:10:00 - 00:10:03] 直接運用純強化學習拓展退力能力的邊界
[00:10:03 - 00:10:06] 其实也得益于几个关键之处
[00:10:06 - 00:10:08] 首先是要有足够强的机座模型
[00:10:08 - 00:10:11] DPSX-REZR系列的模型是在
[00:10:11 - 00:10:15] DPSX-V3的671B的机座模型上进行了训练
[00:10:15 - 00:10:20] 它的这个机座模型是超过了某个质量和能力的预指的
[00:10:20 - 00:10:24] 它在14.8T的高质量coken上进行训练
[00:10:24 - 00:10:30] 其实机座模型在预训那些段积累的海量支持是可以帮助模型
[00:10:30 - 00:10:33] 在强化学业加持后突破退离上级
[00:10:33 - 00:10:39] 那就是因為在預訓的階段積累的知識和思維範圍是相對更高階的
[00:10:39 - 00:10:44] 就像人類大師和新手都可以通過自博弈來提升自己的能力
[00:10:44 - 00:10:48] 但是由於人類大師的鮮豔進入的東西更多,所以潛力更大
[00:10:48 - 00:10:53] 那近期也有一些利用小模型附現Aha Moment的工作
[00:10:53 - 00:10:57] 那這得益於高質量的推理數據和大規模的強化學習
[00:10:57 - 00:11:01] 但若是要进一步去提升退理能力的边界
[00:11:01 - 00:11:03] 足够强的机座模型是必不可少的
[00:11:03 - 00:11:06] 其次是大规模强化学习的加持
[00:11:06 - 00:11:10] 即通过GRPO对于训练过程进行优化
[00:11:10 - 00:11:12] 最后是奖励规则化奖励
[00:11:12 - 00:11:14] 通过绕过奖励攻陷模型
[00:11:14 - 00:11:16] 规则化奖励能够直接
[00:11:16 - 00:11:18] 基于固定的规则进行奖励判定
[00:11:18 - 00:11:21] 但规则化奖励能够成功的前提
[00:11:21 - 00:11:24] 也很大程度上得益于关注的退领任务
[00:11:24 - 00:11:27] 它是可以进行自动化标注和验证的
[00:11:27 - 00:11:30] 这是和一般的聊天与洗作任务相不同的
[00:11:30 - 00:11:35] 在这里我们举一个自动化标记和验证的例子
[00:11:35 - 00:11:37] 例如对于一个推理问题
[00:11:37 - 00:11:40] 我们希望模型可以编写一个Python代码
[00:11:40 - 00:11:43] 那么自动化验证的方法就可以分为这么几步
[00:11:43 - 00:11:46] 第一步是利用软件去检查代码补权
[00:11:46 - 00:11:48] 比如说判断它是不是完整的代码
[00:11:48 - 00:11:52] 第二步是执行Python代码来检查运行情况
[00:11:52 - 00:11:54] 从而不让它是否是可运行的
[00:11:54 - 00:11:58] 第三是我们可以调用外部模块来构建额外的检测单元
[00:11:58 - 00:12:04] 第四,甚至我们可以更进一步的为了去约束模型进行有效的推理
[00:12:04 - 00:12:10] 我们可以测量程序的执行时间,从而使训练过程首选性能更高的解决方案
[00:12:10 - 00:12:16] 而以上的奖励信号都是可以作为小平常训练和连续训练过程中的奖励信号的
[00:12:16 - 00:12:24] 那这里有示意图,也就是根据不同的规则进行行事化的验证和判定
[00:12:24 - 00:12:31] 那最后解的分数呢就会转化成强化学习训练过程中的分数进行反传
[00:12:32 - 00:12:35] 但是DPSC R1Z肉也有对应的问题
[00:12:35 - 00:12:39] 比如说长退力过程可动性差 语言混合 帮助性低
[00:12:39 - 00:12:45] 那么我们能否在Zero的基础上在兼顾退力性能的同时
[00:12:45 - 00:12:47] 提升模型的帮助性和安全性能
[00:12:47 - 00:12:51] 例如能不能产生一些比较清晰且直接的退力过程
[00:12:51 - 00:12:54] 并且能够泛耗到通用能力任务上的模型
[00:12:54 - 00:12:55] 比如说R1
[00:12:55 - 00:12:58] 以及我们能否利用一些高质量的反思数据
[00:12:58 - 00:12:59] 去做能启动
[00:12:59 - 00:13:01] 从而加速强压学习的收敛
[00:13:01 - 00:13:03] 或者帮助提升 推理表现
[00:13:03 - 00:13:06] 那么围绕这两个研究问题
[00:13:06 - 00:13:09] 那就意义而生了Deep Seek R1这个模型
[00:13:09 - 00:13:12] 那总的来说Deep Seek R1的技术拍不烂
[00:13:12 - 00:13:14] 可以被总结为这么一套范氏
[00:13:14 - 00:13:17] 那首先是基于Deep Seek V3 Base
[00:13:17 - 00:13:20] 产生了Deep Seek R1 Zero这个模型
[00:13:20 - 00:13:27] 第二第一阶段是我们希望先增强RE0的推理链的可读性
[00:13:27 - 00:13:30] 在这一阶段我们会利用一些能启动的数据
[00:13:30 - 00:13:36] 这些数据里面可能是包含了人类专家和模型所撰写的高质量的
[00:13:36 - 00:13:39] 符合远隔世的这些反思数据
[00:13:39 - 00:13:44] 然后我们在以推理为中心的强硬学习进步的去进行微调
[00:13:44 - 00:13:50] 从而获得一个相对推理链可读性更强的中间模型
[00:13:50 - 00:13:51] 那么更进一步呢
[00:13:51 - 00:13:54] 我们采用传统RHF中的一些技术
[00:13:54 - 00:13:57] 比如说通过剧学采样和全领域的精度微调
[00:13:57 - 00:14:02] 以及在全领域的任务上进行强化学者训练
[00:14:02 - 00:14:05] 比如对于特律任务我们可以使用规则奖励
[00:14:05 - 00:14:08] 而对于一些通用比如说聊天任务
[00:14:08 - 00:14:09] 我们进行偏好建模
[00:14:09 - 00:14:14] 从而来在这个第二阶段去提升模型的通用能力和安全性
[00:14:14 - 00:14:17] 最终获得了Deep Seagull R1这样一个模型
[00:14:17 - 00:14:20] 那接下来我们进行一个具体的讲解
[00:14:20 - 00:14:25] 属于是第一阶段我们如何去提升模型的推练的可读性
[00:14:25 - 00:14:28] 那在这个环节我们分为两个阶段
[00:14:28 - 00:14:29] 第一个是能启动
[00:14:29 - 00:14:31] 第二是以推立为中心的强压学习
[00:14:31 - 00:14:33] 那在能启动阶段呢
[00:14:33 - 00:14:39] 其实我们准备的数据是一些高质量的更长思维链的带反思和验证的数据机
[00:14:39 - 00:14:40] 那这份数据机呢
[00:14:40 - 00:14:46] 它其实是由人类的注视者和R1Z6产生了一个高质量劣势思考
[00:14:46 - 00:14:50] 那他的成效其实是说引入一些人类的鲜艳
[00:14:50 - 00:14:55] 同时去提升他这个推理验的语异联贯性和可读性
[00:14:55 - 00:14:59] 然后并且让模型获得一个最基本的能力
[00:14:59 - 00:15:05] 那第二阶段就是和BPSIxR10构成的过程相一致的
[00:15:05 - 00:15:08] 我们用以推理为中心的查看学习
[00:15:08 - 00:15:10] 通过增强大规模的训练过程
[00:15:10 - 00:15:17] 来进步提升我们刚才冷气动后的模型的推理问题的推理能力
[00:15:17 - 00:15:22] 那与此同时呢除了传统的格式奖励之外呢
[00:15:22 - 00:15:24] 在这里还引入了语言移植性的奖励
[00:15:24 - 00:15:28] 因为在DPCR EZ热中我们观察到了
[00:15:28 - 00:15:32] 比如说四位链周可能会混合带有不同语言的现象
[00:15:32 - 00:15:35] 那通过引入这个通过计算这个四位链过程中
[00:15:35 - 00:15:37] 目标云的占比
[00:15:37 - 00:15:39] 那把它作为一个语言一致性奖励
[00:15:39 - 00:15:42] 我们可以衡量这个长退练的可读性
[00:15:42 - 00:15:44] 那第二个奖励信号呢
[00:15:44 - 00:15:46] 也就是推理正确率的奖励
[00:15:46 - 00:15:47] 那通过GRPO呢
[00:15:47 - 00:15:52] 那其实模型呢也是能够在AME这些数学基准下
[00:15:52 - 00:15:56] 那PASS1的正确率就一个非常大的一个肥育的提升
[00:15:56 - 00:15:59] 于是同时呢模型也能够自发的去延长退练条
[00:15:59 - 00:16:01] 展现出更强的逻辑链惯性
[00:16:01 - 00:16:06] 那获得了一个推理可读性更强
[00:16:06 - 00:16:08] 并且有基本退位能力的模型之后
[00:16:08 - 00:16:11] 我们在这个后续再采用
[00:16:11 - 00:16:15] 传统的RHF中的像监督微调
[00:16:15 - 00:16:18] 拘据采样以及全领域的强硬学习
[00:16:18 - 00:16:22] 来帮助模型去获得一个通用能力和安全性
[00:16:22 - 00:16:27] 在监督微调中和之前冷气动的数据是不同
[00:16:27 - 00:16:30] 这部分的监督微调主要还是负责全领域的任务
[00:16:30 - 00:16:34] 它除了包括一些退位任务的数据之外
[00:16:34 - 00:16:40] 还有一些比如说像角色扮演 通用任务 这样一些通用的实践
[00:16:40 - 00:16:44] 这个成效是在模型在推力能力不仅的形立一下
[00:16:44 - 00:16:46] 语言表现更为自然 试验性更为广泛
[00:16:46 - 00:16:49] 在经过全链鱼的RL
[00:16:49 - 00:16:54] 其实可以进一步提升除了推力能力之外的帮助性和安全性
[00:16:54 - 00:16:55] 对于帮助性安全性
[00:16:55 - 00:16:59] 其实我们就用传统的奖励模型来建模两类的偏好和意图就可以了
[00:16:59 - 00:17:04] 最终版本的R1其实不仅是在推力和对话任务上得到了高水平
[00:17:04 - 00:17:06] 那还更具备更安全的交互性呢
[00:17:08 - 00:17:09] 那在这一部分呢
[00:17:09 - 00:17:12] 我们先总结一下DPCRE的一些技术亮点和take away
[00:17:12 - 00:17:13] 那首先
[00:17:13 - 00:17:16] 社区的附线其实都对于抢退里模型的附线
[00:17:16 - 00:17:18] 都涉及一些征略和搜索
[00:17:18 - 00:17:21] 而DPCRE接肉它是跳过了监督位条阶段
[00:17:21 - 00:17:23] 那这得益于以下几个点
[00:17:23 - 00:17:26] 第一是需要足够强的机组模型
[00:17:26 - 00:17:30] 来包住它去突破一个质量和能力预值的上限
[00:17:30 - 00:17:32] 第二是需要达哥摩强学习的加持
[00:17:32 - 00:17:34] 第三是规则化奖励
[00:17:34 - 00:17:37] 但规则化奖励是得益于一些推理问题
[00:17:37 - 00:17:39] 它可以进行自动化的标记和验证
[00:17:39 - 00:17:43] 第二通过强大学习在实验功能中
[00:17:43 - 00:17:45] 其实观察到了训练部署的增长
[00:17:45 - 00:17:49] 模型的思考过程的长度是逐步增长的
[00:17:49 - 00:17:53] 那这一增长其实也代表了在Test Time
[00:17:53 - 00:17:56] 也就是测试任务阶段的一个算力的提升
[00:17:56 - 00:17:59] 那DPCR1Z1肉也是自主用线了
[00:17:59 - 00:18:02] 一个学会评测原来的方法
[00:18:02 - 00:18:05] 反思和主动探索其他路径的这样一个能力
[00:18:05 - 00:18:09] 于此同时多阶段训练下的冷启动
[00:18:09 - 00:18:12] 其实也让强娃学习的训练更加稳定
[00:18:12 - 00:18:15] 才会避免了强娃学习初期不稳定
[00:18:15 - 00:18:16] 加速收敛
[00:18:16 - 00:18:19] 并且提升思维链可读性的这样一个能力
[00:18:19 - 00:18:22] 未来其实后训练的中心
[00:18:22 - 00:18:24] 它会逐步倾向于用强娃学习
[00:18:24 - 00:18:28] 但是少量的数据去用于监督微调还是必须的
[00:18:28 - 00:18:37] 那与此同时呢,强量学习的一个非常大的魅力就是说它不只局限于基于规则的数学和算法代码等容易提供奖励的领域
[00:18:37 - 00:18:44] 它还可以创造性的把这个推理能力放到其他领域,甚至是从文文模台放到多模台
[00:18:44 - 00:18:53] 那Deepseag R1Z路呢和Deepseag R1它其实背后有一些非常深的技术,那我们在这里进行逐步的剖析
[00:18:53 - 00:18:56] 首先第一个是它背后的教室模型DPSIG V3
[00:18:56 - 00:19:00] 它其实能够在14.8T的高质量通关上进行训练
[00:19:00 - 00:19:05] 那其实类似于提供了一个System1一个足够好的直觉
[00:19:05 - 00:19:06] 也就是Prior Distribution
[00:19:06 - 00:19:11] 那其实方便后续的按照过程的一个进步探索和发掘
[00:19:11 - 00:19:15] 那女子童是DPSIG V3的低成本
[00:19:15 - 00:19:19] 那其实也是带来的经验效果也是让社区非常震惊的
[00:19:19 - 00:19:21] 比如说基于moe的架构
[00:19:21 - 00:19:26] 那其实用2048张h100就可以54天就可以进行一场训练
[00:19:26 - 00:19:30] 那在这个PPD假写的最后呢
[00:19:30 - 00:19:35] 我们也是会对DPSc和v3的一个具体的架构创新点
[00:19:35 - 00:19:40] 还有它采用了一些技术的优化进行一个简单的讲解
[00:19:41 - 00:19:45] 那第二个值得关注的也就是在DPScRE一种所揭示的
[00:19:45 - 00:19:49] RL加持下的一个长度的泛滥化和推力方式的涌现
[00:19:49 - 00:19:51] 在大规模强化学界的加持下
[00:19:51 - 00:19:55] Deep Seeker R1Zero其实表现出在推力任务上
[00:19:55 - 00:19:58] 思维练长度的自然增长和涌现
[00:19:58 - 00:20:01] 具体来说随着反思深度的主统加深
[00:20:01 - 00:20:04] 出现了它可以标记不明确的步骤
[00:20:04 - 00:20:05] 保持中阶结论
[00:20:05 - 00:20:08] 验证和混合语言推力等现象
[00:20:08 - 00:20:10] 于此同时
[00:20:10 - 00:20:11] 虽然我们传统说
[00:20:11 - 00:20:14] 模型仅通过主推力奖励和格式奖励
[00:20:14 - 00:20:19] 就是足够的或者说它的讲力信号可能是不够不充足的
[00:20:19 - 00:20:22] 但是在R1的实验中发现
[00:20:22 - 00:20:25] 那即使是通过这么稀疏的讲力信号
[00:20:25 - 00:20:28] 模型也是能够自然探索到一个验证
[00:20:28 - 00:20:31] 回溯总结和反思的行业方式的
[00:20:31 - 00:20:33] 那这里面背后就有一个问题
[00:20:33 - 00:20:38] 也就是如果控制来保证最后的回答的程度能够稳定上升
[00:20:38 - 00:20:41] 那这其实是一个非常关键的问题
[00:20:41 - 00:20:44] 因为模型可能会出现反复重复验证
[00:20:44 - 00:20:45] 或者验证时间过晚的情况
[00:20:45 - 00:20:48] 那最近社区也有一些复线的结果
[00:20:48 - 00:20:50] 包括我们自己团队也在复线
[00:20:50 - 00:20:51] 那其实我们发现
[00:20:51 - 00:20:53] 除了JRPO以外
[00:20:53 - 00:20:55] 像Ruin Force系列的算法以及PBO等
[00:20:55 - 00:20:57] 都是可以复线类似的结果的
[00:20:57 - 00:21:00] Ruin Force系列的算法它是更快
[00:21:00 - 00:21:00] 更好的
[00:21:00 - 00:21:03] PBO它训练相对更加稳定
[00:21:03 - 00:21:04] 但是会更慢一点
[00:21:05 - 00:21:06] 那第二点就是
[00:21:06 - 00:21:08] 我们永庆的推理范是它其实会
[00:21:08 - 00:21:12] 展现出多语言或和的这个思维链
[00:21:12 - 00:21:14] 那其实它背后的一个原因可能是
[00:21:14 - 00:21:17] 在预计了数据过程中它是多语言的
[00:21:17 - 00:21:18] 那不同语言的数据
[00:21:18 - 00:21:21] 它其实是被一生同仁的被tokenization
[00:21:21 - 00:21:23] 那么那其实背后一个问题就是
[00:21:23 - 00:21:25] 不同领域的不同语言编码
[00:21:25 - 00:21:27] 是否可能会有不同的优势
[00:21:27 - 00:21:29] 比如说其实我们人类在进行
[00:21:29 - 00:21:31] 讲解和思考过程中
[00:21:31 - 00:21:34] 还有可能也是进行比如中英文混杂的思考的
[00:21:34 - 00:21:36] 那其实模型内部是不是也有
[00:21:36 - 00:21:41] 类似不同于人类思考范式的这样一种语言推理的能力
[00:21:41 - 00:21:46] 其实对于后续揭示一些推理理念的可起日性是非常重要的
[00:21:48 - 00:21:53] 在这里我们具体讲解GRPO是如何负能强化学习的扩展的
[00:21:53 - 00:21:59] GRPO的核心思想是通过构建多个模型输出的群组
[00:21:59 - 00:22:03] 也就是对于同一个问题去产生可能是N个回答
[00:22:03 - 00:22:06] 那计算群组内的相对奖励来估计极限
[00:22:07 - 00:22:10] 这个相对奖励可能是平均值
[00:22:10 - 00:22:12] 那它主要去解决一个问题
[00:22:12 - 00:22:14] 就是在传统的策略优化算法
[00:22:14 - 00:22:15] 比如PBO中
[00:22:15 - 00:22:22] 我们通常是需要一个与策略模型大小相同的一个critic model来估算它的value
[00:22:22 - 00:22:25] 那我们把这个value model去掉
[00:22:25 - 00:22:30] 其实能够提升它整个训练的稳定性和降低算力的消耗
[00:22:30 - 00:22:32] 那余志同士呢
[00:22:32 - 00:22:33] 呃
