BV号：BV1DX6qYYEyJ
标题：BV1DX6qYYEyJ
链接：https://www.bilibili.com/video/BV1DX6qYYEyJ
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-08-30 21:14:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 这两天稍微休息了一下
[00:03:36 - 00:03:38] OPI已經展現出了強大的市場潛力
[00:03:38 - 00:03:41] 估值高達1570億美元
[00:03:41 - 00:03:43] 折合約1.1萬億人民幣
[00:03:43 - 00:03:44] 回顧大約一年前
[00:03:44 - 00:03:46] OPI董事會的一次重大決策
[00:03:46 - 00:03:47] 引發了渲染大波
[00:03:47 - 00:03:50] 他們解庫了首席執行官散報他媽
[00:03:50 - 00:03:52] 也同時引起了OPI的主要投資者
[00:03:52 - 00:03:53] 微軟的強烈不滿
[00:03:54 - 00:03:55] 好在後來
[00:03:55 - 00:03:56] SAMATMAN成功的回歸
[00:03:56 - 00:03:59] 為了平衡公司內部多方的利益訴求
[00:03:59 - 00:04:01] 它開始認真思考調整公司架構的問題
[00:04:02 - 00:04:02] 如今
[00:04:02 - 00:04:06] OPI正式將企業劃分為營利和非營利兩部分
[00:04:06 - 00:04:08] 營利性的PPC會佔據主導地位
[00:04:08 - 00:04:12] 實質性的掌控OPI的未來運營和業務的發展方向
[00:04:12 - 00:04:15] 而非營利組織則會單獨組建領導團隊
[00:04:15 - 00:04:16] 並招聘員工
[00:04:16 - 00:04:18] 專門開展各類的慈善活動
[00:04:18 - 00:04:20] OPI選成在採用新的架構之後
[00:04:20 - 00:04:22] 旗下的非營利組織
[00:04:22 - 00:04:24] 有望成為歷史上資源最為豐富的
[00:04:24 - 00:04:25] 非營利組織之一
[00:04:25 - 00:04:28] 非營利組織對現有營利組織的重大利益
[00:04:28 - 00:04:31] 將以PBC股份的形式獲得
[00:04:31 - 00:04:32] 但是同時也明確規定
[00:04:32 - 00:04:34] 不允許非營利組織
[00:04:34 - 00:04:37] 輕易地進行超出控制範圍內的活動
[00:04:37 - 00:04:39] 回想2015年OpenAI創立之初
[00:04:39 - 00:04:43] 一群創立者還揣著開發造福人類的AI的美好願景
[00:04:43 - 00:04:45] 但是到了2018年
[00:04:45 - 00:04:46] 公司的創始人深刻的意識到
[00:04:46 - 00:04:50] 開發強大的AI技術需要巨額的資金投入
[00:04:50 - 00:04:52] 而依靠非盈利机构获得捐款的方式
[00:04:52 - 00:04:54] 难以籌疑到如此庞大的资金
[00:04:54 - 00:04:56] 也是在这一年
[00:04:56 - 00:04:59] 马斯克因为与公司在控制权和利益分配的问题上
[00:04:59 - 00:05:02] 未能达成一致而选择离开OpenI
[00:05:02 - 00:05:03] 此后呢
[00:05:03 - 00:05:04] 萨莽德曼成为了CEO
[00:05:04 - 00:05:05] 有趣的是
[00:05:05 - 00:05:07] 马斯克离开前提出的
[00:05:07 - 00:05:09] 盈利加非盈利结合的运营模式
[00:05:09 - 00:05:12] 最终成为了OpenI发展的一条可行路径
[00:05:12 - 00:05:15] 萨莽德曼随后着手创建了一家有限盈利企业
[00:05:15 - 00:05:18] 用这家企业来接受投资者的注资
[00:05:18 - 00:05:20] 并且承诺为投资者谋求一定的回报
[00:05:20 - 00:05:24] 同时还要向非盈利机构的董事会进行汇报
[00:05:24 - 00:05:27] 这个创新的举措带来了明显的变化
[00:05:27 - 00:05:30] 微软以及一些投资者纷纷向OPI注资
[00:05:30 - 00:05:32] 累计超过130亿美元
[00:05:32 - 00:05:33] 在合作的过程中
[00:05:33 - 00:05:36] 微软为OPI提供了行业内顶尖的算力支持
[00:05:36 - 00:05:39] 而OPI则利用这些算力开发新的技术
[00:05:39 - 00:05:40] 作为回报
[00:05:40 - 00:05:43] 微软获得了OPI技术的独家授权
[00:05:43 - 00:05:44] 不过呢
[00:05:44 - 00:05:45] 尽管获取了这些进展
[00:05:45 - 00:05:49] 當時的有限盈利規模對於OPI追求更長遠的發展來說
[00:05:49 - 00:05:51] 仍然遠遠不夠
[00:05:51 - 00:05:53] 這次最新的加購調整
[00:05:53 - 00:05:55] 雖然OPI聲稱能夠兼顧股東利益
[00:05:55 - 00:05:58] 利益相關者利益和公共利益三方
[00:05:58 - 00:05:59] 但是從實際情況來看
[00:05:59 - 00:06:02] 這個調整似乎更加符合微軟
[00:06:02 - 00:06:04] 以及幕後投資者利益相關者的利益訴求
[00:06:04 - 00:06:08] 至於公共利益在其中究竟能夠佔據多大的權重
[00:06:08 - 00:06:09] 目前還難以確定
[00:06:09 - 00:06:11] 在OPI的發展過程中
[00:06:11 - 00:06:14] 與微軟的關係一直是一個非常關鍵的因素
[00:06:14 - 00:06:15] 根據媒體的報導
[00:06:15 - 00:06:19] OPEN-i在2024年的預計營收可以達到37億美元
[00:06:19 - 00:06:21] 但是令人擔憂的是
[00:06:21 - 00:06:23] 虧損可能高達50億美元
[00:06:23 - 00:06:25] 目前距離實現通用人工智能
[00:06:25 - 00:06:26] 也就是AGI
[00:06:26 - 00:06:28] 還有相當長的一段路要走
[00:06:28 - 00:06:31] OPEN-i在未來仍然需要巨額的資金投入
[00:06:31 - 00:06:35] 那麼究竟什麼時候才能夠宣稱實現了AGI呢?
[00:06:35 - 00:06:38] 這並不是OPEN-i僅憑著自身的技術判斷就能夠決定的
[00:06:38 - 00:06:41] 在很大程度上還需要看微軟的態度
[00:06:41 - 00:06:42] 根據外媒的爆料
[00:06:42 - 00:06:46] OPI曾经与微软签署了一份内部的秘密协议
[00:06:46 - 00:06:47] 根据协议
[00:06:47 - 00:06:50] 只有当OPI系统的利润达到1000亿美元的时候
[00:06:50 - 00:06:52] 才能够认定实现了AGI
[00:06:52 - 00:06:53] 很明显
[00:06:53 - 00:06:55] 这个标准与工程师和盔家们
[00:06:55 - 00:06:58] 基于技术和轮理等多方面的预想
[00:06:58 - 00:07:00] 存在着很大的差异
[00:07:00 - 00:07:02] 更多地体现了商业利益的考量
[00:07:02 - 00:07:04] OPI现在仍然处于亏损的状态
[00:07:04 - 00:07:07] 并且曾经向投资者明确表示
[00:07:07 - 00:07:10] 预计要到2029年才有可能实现年度阵营力
[00:07:10 - 00:07:12] 按照微软与OPI的协议规定
[00:07:12 - 00:07:16] 当OPI的技术达到双方定义的AGI标准时
[00:07:16 - 00:07:18] 微软将会失去技术上的独家授权
[00:07:18 - 00:07:20] 因此有人猜测
[00:07:20 - 00:07:24] 为了尽早摆脱微软在技术授权方面的限制
[00:07:24 - 00:07:27] OPI可能会试图尽早宣布达成了AGI
[00:07:27 - 00:07:29] 但是要想真正摆脱微软的影响
[00:07:29 - 00:07:30] 又弹劾容易呢
[00:07:30 - 00:07:32] OPI刚刚推出的Osuir模型
[00:07:32 - 00:07:34] 就在科技界引发了广泛的争论
[00:07:34 - 00:07:36] 与其他模型相比
[00:07:36 - 00:07:38] Osuir模型确实表现出了一定的优势
[00:07:38 - 00:07:40] 但是这种进步
[00:07:40 - 00:07:42] 是通过投入更高的成本来换来的
[00:07:42 - 00:07:44] 从技术代际的角度来看
[00:07:44 - 00:07:46] 它并不具备跨代的革命性突破
[00:07:46 - 00:07:49] 随着Skeling-Loss进入了第二时代
[00:07:49 - 00:07:51] 这就意味着通过现有的方法
[00:07:51 - 00:07:53] 对AI模型进行优化
[00:07:53 - 00:07:55] 所带来的性能提升越来越有限
[00:07:55 - 00:07:57] 为了突破这个困境
[00:07:57 - 00:08:00] 研究人员开始将目光投向了Test of Time Scaling
[00:08:00 - 00:08:02] 也就是在模型的推理阶段
[00:08:02 - 00:08:04] 通过增加计算资源或者时间的方式
[00:08:04 - 00:08:06] 来提升模型的性能
[00:08:06 - 00:08:08] 而OpenEye的Ostri模型
[00:08:08 - 00:08:10] 正式采用了这种方式来提升性能
[00:08:10 - 00:08:13] 但是这种方法也存在着明显的缺点
[00:08:13 - 00:08:16] 那就是在推理阶段会消耗更多的算力
[00:08:16 - 00:08:17] 导致成本大幅的增加
[00:08:17 - 00:08:20] 目前的行业内已经形成的共识是
[00:08:20 - 00:08:22] 最新O3模型调用的算力
[00:08:22 - 00:08:23] 会大幅超过以往
[00:08:23 - 00:08:26] 按照ARC AGI的评测基准来看
[00:08:26 - 00:08:30] O3 HIGH版本在完成每项测试任务时的计算成本
[00:08:30 - 00:08:31] 超过了1000美元
[00:08:31 - 00:08:33] 而O1模型只需要大约5美元
[00:08:33 - 00:08:36] O1 mini更是只要极美分
[00:08:36 - 00:08:38] 因此为了应对成本的增加
[00:08:38 - 00:08:40] OPEN-I推出了CHAT-GBT PRO套餐
[00:08:40 - 00:08:42] 每月定月費用為200美元
[00:08:42 - 00:08:45] 並且還在設計定月費為2000美元的套餐
[00:08:45 - 00:08:47] 而反觀微軟
[00:08:47 - 00:08:49] 其實對OPEN-I也並非完全的一心一意
[00:08:49 - 00:08:51] 隨著市場的發展
[00:08:51 - 00:08:54] 微軟一直在努力將內部和第三方的AI模型
[00:08:54 - 00:08:55] 融入到365口pilot
[00:08:55 - 00:08:59] 在利用OPEN-I的核心技術增強自身實力的同時
[00:08:59 - 00:09:02] 也在逐步降低對OPEN-I技術的依賴程度
[00:09:02 - 00:09:04] 作為OPEN-I的最大投資者
[00:09:04 - 00:09:06] 微軟累計投入了大約140億美元
[00:09:06 - 00:09:11] 截止到2024年的9月,OPEI的总计融资为179亿美元
[00:09:11 - 00:09:14] 微软在其中拥有很大的话语权
[00:09:14 - 00:09:16] 如果OPEI与微软的关系出现变故
[00:09:16 - 00:09:19] 那是否会面临资金断裂的风险呢?
[00:09:19 - 00:09:22] 数据显示,2019年到2024年
[00:09:22 - 00:09:25] 美国AI出状公司平均20.1个月融资一次
[00:09:25 - 00:09:27] 而OPEI的融资频率更高
[00:09:27 - 00:09:30] 平均10.5个月就要融资一次
[00:09:30 - 00:09:32] OPEI的内部预测也暗示
[00:09:32 - 00:09:34] 2023年到2028年
[00:09:34 - 00:09:37] 公司将累计亏440亿美元
[00:09:37 - 00:09:39] 为了解决潜在的资金问题
[00:09:39 - 00:09:42] 有传言称Opni正在考虑上市公开募股
[00:09:42 - 00:09:43] 也就是IPO
[00:09:43 - 00:09:45] 如果能够成功的IPO
[00:09:45 - 00:09:46] 即使微软减少了支持
[00:09:46 - 00:09:49] Opni也有希望获得持续发展所需要的资金
[00:09:49 - 00:09:52] 这无疑是一个重要的后备计划
[00:09:52 - 00:09:54] 如果我们去回顾一下特斯拉的发展历程
[00:09:54 - 00:09:57] 他也曾经面临过严重的资金短缺问题
[00:09:57 - 00:09:59] 但是在2020年
[00:09:59 - 00:10:01] 由于散户投资者的热情高涨
[00:10:01 - 00:10:04] 特斯拉在短短几个月内就成功融资了100亿美元
[00:10:04 - 00:10:06] 如果OPI决定上市
[00:10:06 - 00:10:09] 那么现有的架构就会在很大程度上减少上市的障碍
[00:10:09 - 00:10:11] 其实早在去年10月份
[00:10:11 - 00:10:14] 就已经有了关于OPI上市的讨论
[00:10:14 - 00:10:16] 当时呢OPI刚刚融了句子
[00:10:16 - 00:10:17] 对于一家企业来说
[00:10:17 - 00:10:20] 想要成功上市就必须讲好一个故事
[00:10:20 - 00:10:24] 而OPI凭借着在人工智能领域的领先地位和广泛的知名度
[00:10:24 - 00:10:27] 其实已经具备了成为一个优秀上市样玩的潜力
[00:10:27 - 00:10:29] 在消费者的认知中
[00:10:29 - 00:10:32] ChadGPT已然成为了AI时代的标志性产物
[00:10:32 - 00:10:35] 未来能否发展成市值数万亿美元的大型企业
[00:10:35 - 00:10:37] 大家其实都很关注
[00:10:37 - 00:10:39] 不过也有机构分析认为
[00:10:39 - 00:10:42] OPEN-I其实还有另外一种可能的发展模式
[00:10:42 - 00:10:43] 那就是像SpaceX一样
[00:10:43 - 00:10:47] SpaceX的估值已经达到了3500亿美元
[00:10:47 - 00:10:50] 被机构评为全球最低价值的未上市公司之一
[00:10:50 - 00:10:54] 如果上市它将在标普500强中占据第25位
[00:10:54 - 00:10:58] 不同的是SpaceX已经实现了规模化的正向盈利
[00:10:58 - 00:11:01] 而不是像OPI一樣還在持續的燒錢
[00:11:01 - 00:11:02] 目前來看
[00:11:02 - 00:11:04] 只要投資者願意持續的支持OPI
[00:11:04 - 00:11:07] 並且沒有激進投資者的強烈推動
[00:11:07 - 00:11:09] OPI也有可能選擇不上市
[00:11:09 - 00:11:11] 通過自身的努力來實現扭潰為營
[00:11:11 - 00:11:15] 也許還能避開許多繁瑣的市場監管和審查程序
[00:11:15 - 00:11:18] 最後大飛再來說一下我自己的判斷
[00:11:18 - 00:11:21] 首先我覺得在新的PPC架構上
[00:11:21 - 00:11:22] OPI的非營利屬性
[00:11:22 - 00:11:24] 基本上可以說是名存實亡了
[00:11:24 - 00:11:27] 以營利性收入來反補非營利性業務
[00:11:27 - 00:11:30] 可能最终的占比也会少了可怜
[00:11:30 - 00:11:32] 在一个残酷的商业社会中
[00:11:32 - 00:11:34] 我们很难期待乌托邦式的行为
[00:11:34 - 00:11:37] 可以说2025年将是OPI的一个分水里
[00:11:37 - 00:11:41] 之前那个为了实现AI和人类扶植的组织
[00:11:41 - 00:11:42] 已经完全消失
[00:11:42 - 00:11:45] 2025年后将是一个纯的商业组织
[00:11:45 - 00:11:47] 这样会带来的一个直接的影响
[00:11:47 - 00:11:50] 可能就是为了抢占市场份额和获取收入
[00:11:50 - 00:11:52] AI会以各种产品形态
[00:11:52 - 00:11:54] 更快地进入到人们的日常生活中
[00:11:54 - 00:11:57] 另外我对于OPI的一个预测
[00:11:57 - 00:12:00] 就是它极有可能会在2025年突然完成IPO
[00:12:00 - 00:12:03] 因为以它稍前的速度、业务增长的需求
[00:12:03 - 00:12:05] 以及逐精和微软微妙的关系
[00:12:05 - 00:12:07] IPO是个最好的选择
[00:12:07 - 00:12:08] 一旦上市
[00:12:08 - 00:12:11] 几年内的资金需求可能都会轻松解决
[00:12:11 - 00:12:12] 不管怎么样
[00:12:12 - 00:12:15] OPI在2025年的发展走向将是一个关键的拐点
[00:12:15 - 00:12:18] 未来的发展路径也充满了变数与可能
[00:12:18 - 00:12:20] 我们频道也会持续的关注
[00:12:20 - 00:12:23] 大家认为OPI是否可能会在今年IPO呢?
[00:12:23 - 00:12:24] 欢迎在评论区留言
[00:12:24 - 00:12:27] 感謝大家觀看我們下期視頻再見
