BV号：BV1gNrzYMEj2
标题：BV1gNrzYMEj2
链接：https://www.bilibili.com/video/BV1gNrzYMEj2
识别语言：zh
语言置信度：1
分段数：493
生成时间：2026-08-30 20:30:53

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近在北京大学光华管理学院
[00:05:53 - 00:05:54] 理解他们
[00:05:54 - 00:05:55] 应该就能够理解
[00:05:55 - 00:05:57] 理路说的征服职能的转变
[00:05:57 - 00:05:59] 这里我们简单总结一下
[00:05:59 - 00:06:01] 中国当前遇到的困难
[00:06:01 - 00:06:03] 是由于经济累尽增长的现实
[00:06:03 - 00:06:04] 与传统思想
[00:06:04 - 00:06:04] 智力结构
[00:06:04 - 00:06:06] 心理文化等要素之间的
[00:06:06 - 00:06:07] 不匹配造成的
[00:06:07 - 00:06:10] 前者以較快的速度完成了飛躍
[00:06:10 - 00:06:11] 而其他維度相較而言
[00:06:11 - 00:06:13] 則表現為了慢變量
[00:06:13 - 00:06:14] 而這些智候的慢變量
[00:06:14 - 00:06:16] 又會反過來作用於前者
[00:06:16 - 00:06:18] 因此我們需要不斷的去重新檢驗
[00:06:18 - 00:06:20] 那些不合時宜的慢變量
[00:06:20 - 00:06:21] 然後做出調整
[00:06:21 - 00:06:23] 我們再來說說第三個命題
[00:06:23 - 00:06:25] 如何跨越中等收入陷阱
[00:06:25 - 00:06:27] 以及如何應對當今的國際關係
[00:06:27 - 00:06:29] 例如認為3.0文明
[00:06:29 - 00:06:31] 能夠產生無限累進增長的現象
[00:06:31 - 00:06:33] 是因為它內部所有的經濟要素
[00:06:33 - 00:06:35] 能夠進行充分的交換與流通
[00:06:35 - 00:06:38] 每一次自由貿易、自由交換的過程
[00:06:38 - 00:06:40] 都會帶來1加1大於2的效果
[00:06:40 - 00:06:42] 而在知識層面的交流
[00:06:42 - 00:06:44] 甚至能夠產生1加1大於4的功用
[00:06:44 - 00:06:46] 也就是經濟體中
[00:06:46 - 00:06:49] 全要素的充分交換和流通沒有獨點
[00:06:49 - 00:06:51] 那麼什麼是1加1大於4呢?
[00:06:51 - 00:06:53] 指的是兩個人在互相討論的時候
[00:06:53 - 00:06:55] 不僅彼此獲得了對方的思想
[00:06:55 - 00:06:56] 假如是B
[00:06:56 - 00:06:57] 還保留了自己的思想
[00:06:57 - 00:06:58] 假如是A
[00:06:58 - 00:07:01] 而且還會碰撞出一些新的火花
[00:07:01 - 00:07:02] 創造出全新的思想
[00:07:02 - 00:07:04] 比如A加B加
[00:07:04 - 00:07:05] 知識的自由分享
[00:07:05 - 00:07:06] 不需要交換
[00:07:06 - 00:07:07] 不需要大米換奶牛
[00:07:07 - 00:07:09] 結合在一起就開始出現了
[00:07:09 - 00:07:10] 富麗式的
[00:07:10 - 00:07:11] 巨大的交換增量的增長
[00:07:12 - 00:07:13] 所以說要想判斷
[00:07:13 - 00:07:15] 中國能否跨越中等收入陷阱
[00:07:15 - 00:07:16] 進入3.0文明
[00:07:16 - 00:07:18] 實際上就是要找讀點
[00:07:18 - 00:07:20] 找到那些還不能夠充分交換
[00:07:20 - 00:07:21] 和流通的要素
[00:07:21 - 00:07:23] 看是否有適合的方式
[00:07:23 - 00:07:24] 來進行書同
[00:07:24 - 00:07:24] 接下來
[00:07:24 - 00:07:26] 理論通過舉例
[00:07:26 - 00:07:27] 展開說明了讀點在哪裡
[00:07:27 - 00:07:30] 以及一些已經進入了3.0階段的國家
[00:07:30 - 00:07:31] 是怎麼解決的
[00:07:31 - 00:07:32] 我們先來說大的讀點
[00:07:32 - 00:07:35] 那就是缺乏一個現代化的資本市場
[00:07:35 - 00:07:37] 和现代高效的金融体系
[00:07:37 - 00:07:39] 来促进资金的有效配置和流通
[00:07:39 - 00:07:41] 当前中国有50%的储蓄率
[00:07:41 - 00:07:43] 是留在国有银行体系中的
[00:07:43 - 00:07:46] 但是国有银行体系能否将这些储蓄
[00:07:46 - 00:07:48] 充分的交换到经济循环中
[00:07:48 - 00:07:49] 理路的答案是否定的
[00:07:49 - 00:07:53] 那么一套完整的现代资本市场和金融体系
[00:07:53 - 00:07:55] 能提供什么样的最终产物呢
[00:07:55 - 00:07:57] 资本市场提供的不仅仅是资金
[00:07:57 - 00:07:59] 更重要的是信用体系
[00:07:59 - 00:08:01] 银行也可以提供资金
[00:08:01 - 00:08:02] 但它无法提供信用体系
[00:08:02 - 00:08:04] 信用体系是什么呢
[00:08:04 - 00:08:06] 企业家要有企业家的信用
[00:08:06 - 00:08:08] 投资人要有投资人的信用
[00:08:08 - 00:08:10] 连接储蓄和投资的中介机构
[00:08:10 - 00:08:11] 要有中介机构的信用
[00:08:11 - 00:08:13] 最终会成一个结果
[00:08:13 - 00:08:15] 那就是把完全不懂商业的
[00:08:15 - 00:08:17] 普通储蓄者的这些小钱
[00:08:17 - 00:08:19] 集中在一起形成巨大的投资力量
[00:08:19 - 00:08:22] 投资力量的结果是产生有效的生产力
[00:08:22 - 00:08:24] 有效的供给和需求
[00:08:24 - 00:08:26] 产生有效的利润并且重新回流
[00:08:26 - 00:08:29] 从而形成一个整体的充分流动的过程
[00:08:29 - 00:08:30] 在这个过程中
[00:08:30 - 00:08:32] 每一个行业都是独立的 专业的端
[00:08:32 - 00:08:35] 都不和最终的结果直接联系
[00:08:35 - 00:08:36] 但是又都高度的相关
[00:08:36 - 00:08:39] 它的相关性都是通过信用间接建立起来的
[00:08:39 - 00:08:41] 所以一个普通的小储复
[00:08:41 - 00:08:44] 最终也可以参与到一个成功的公司的一小部分
[00:08:44 - 00:08:46] 即使买一股也可以聚起来
[00:08:46 - 00:08:47] 整个过程中
[00:08:47 - 00:08:49] 每一个有信用的中介
[00:08:49 - 00:08:51] 都在扮演它应该扮演的角色
[00:08:51 - 00:08:52] 在信用的记录之上
[00:08:52 - 00:08:55] 把这些资源最终汇集到最值得的
[00:08:55 - 00:08:56] 最终的企业和消费中
[00:08:56 - 00:08:59] 因此整个过程建立起来
[00:08:59 - 00:09:00] 是一套完整的信用体系
[00:09:00 - 00:09:04] 與此同時還需要一整套與信用體系相關的法律制度
[00:09:04 - 00:09:06] 糾紛的處置 習慣性的做法
[00:09:06 - 00:09:07] 還有大家的信任
[00:09:07 - 00:09:10] 這套體系非常難建立 也需要不斷的試錯
[00:09:10 - 00:09:13] 但是英國自從建立起這套體系之後
[00:09:13 - 00:09:15] 和歐洲的戰爭就再也沒有失敗過
[00:09:15 - 00:09:20] 其次 中國的個人消費占GDP的比重只有40%
[00:09:20 - 00:09:22] 將近50%用於儲蓄
[00:09:22 - 00:09:25] 儲蓄幾乎全部由國有銀行體系來支配
[00:09:25 - 00:09:27] 不僅效率有限 也無法建立起信用體系
[00:09:27 - 00:09:31] 中国建立起来的还在启蒙阶段的资本市场体系
[00:09:31 - 00:09:32] 最近这些年也在萎缩
[00:09:32 - 00:09:35] 面对这样的局面应该怎么做呢?
[00:09:35 - 00:09:37] 理路的答案是效仿英国移植荷兰体系
[00:09:37 - 00:09:40] 而中国可以吸纳并且发展香港
[00:09:40 - 00:09:43] 因为香港具备了现代资本市场的所有要素
[00:09:43 - 00:09:47] 包括完备的制度、法律、历史传统、纠纷解决机制
[00:09:47 - 00:09:51] 信用中介机构和传统上的国际投资人和国际社会对于它的信任
[00:09:51 - 00:09:54] 但是这些优势还都没有被真正的利用起来
[00:09:54 - 00:09:56] 我们再来说小的读点
[00:09:56 - 00:09:58] 首先就是在市場經濟中
[00:09:58 - 00:10:00] 絕大部分資源分配的決策
[00:10:00 - 00:10:02] 都需要由私人來做出
[00:10:02 - 00:10:04] 正如有一位企業家曾經說過
[00:10:04 - 00:10:06] 要讓能夠聽到炮火的前線士兵去決策
[00:10:06 - 00:10:08] 後方的人聽不到炮火
[00:10:08 - 00:10:10] 很難做出正確的決定
[00:10:10 - 00:10:13] 其次還需要提供對人身和財產的基本保障
[00:10:13 - 00:10:14] 私企要發展
[00:10:14 - 00:10:16] 企業家首先得有生命安全的保障
[00:10:16 - 00:10:18] 沒有生命安全的保障
[00:10:18 - 00:10:19] 誰也做不來成功的企業
[00:10:19 - 00:10:22] 法律糾紛的解決需要有程序正義
[00:10:22 - 00:10:24] 我們所說的法治跟法治的區別
[00:10:24 - 00:10:28] 很大成都上在于征服权力是否受到法律制衡
[00:10:28 - 00:10:29] 法律程序是否正义
[00:10:29 - 00:10:31] 在关于这个命题的后半段内容
[00:10:31 - 00:10:33] 可能是因为前面的内容用力过猛
[00:10:33 - 00:10:35] 所以显得柔和了很多
[00:10:35 - 00:10:37] 更多是系数过往的成绩
[00:10:37 - 00:10:38] 不忘成功的经验
[00:10:38 - 00:10:40] 所以我们这里不再去坠述
[00:10:40 - 00:10:42] 大家有兴趣的可以直接去看原文
[00:10:42 - 00:10:43] 在这个命题的最后
[00:10:43 - 00:10:45] 李鹿再次强调了
[00:10:45 - 00:10:47] 疏通读点的钥匙在于香港
[00:10:47 - 00:10:49] 倡导要理解香港的重要性
[00:10:49 - 00:10:50] 以及保障香港的独立性
[00:10:50 - 00:10:52] 接下来是第四个命题
[00:10:52 - 00:10:54] 作为全球价值投资人
[00:10:54 - 00:10:56] 面对今天国际国内的形势变化
[00:10:56 - 00:10:58] 该如何去应对
[00:10:58 - 00:10:59] 又该如何去投资呢
[00:10:59 - 00:11:01] 在对这个命题的回答中
[00:11:01 - 00:11:04] 理入罗列了6条价值投资的基本理念
[00:11:04 - 00:11:05] 第一点
[00:11:05 - 00:11:07] 股票不仅是一张可交易的纸
[00:11:07 - 00:11:09] 它代表了公司的一部分所有权
[00:11:09 - 00:11:09] 第二点
[00:11:09 - 00:11:12] 市场先生提供给价值投资人的是服务
[00:11:12 - 00:11:13] 而非指导
[00:11:13 - 00:11:14] 第三点
[00:11:14 - 00:11:16] 投资必须要有充足的安全编辑
[00:11:16 - 00:11:17] 第四点
[00:11:17 - 00:11:19] 投资人要明确自己的能力圈
[00:11:19 - 00:11:20] 第五点
[00:11:20 - 00:11:22] 去有余的地方钓鱼
[00:11:22 - 00:11:22] 第六点
[00:11:22 - 00:11:25] 财富是经济体中的购买力占比
[00:11:25 - 00:11:28] 价值投资的目标是在最具有活力的经济体中
[00:11:28 - 00:11:30] 持有最有活力的公司的股份
[00:11:30 - 00:11:32] 来保持和增长财富
[00:11:32 - 00:11:33] 其中前面的五条
[00:11:33 - 00:11:35] 其实都来自于价值投资的先驱们
[00:11:35 - 00:11:38] 理路做了简名恶要的解读与权势
[00:11:38 - 00:11:40] 意义和价值无需我们多说
[00:11:40 - 00:11:42] 而第六点来自于理路
[00:11:42 - 00:11:44] 同时这句话也是对当前这个命题的回答
[00:11:44 - 00:11:46] 所以我们重点来看看第六点
[00:11:46 - 00:11:49] 首先明确价值投资人的基本假设之一
[00:11:49 - 00:11:51] 是宏观环境是客观存在的
[00:11:51 - 00:11:52] 我们只能接受
[00:11:52 - 00:11:55] 微观层面才是我们可以有所作为的
[00:11:55 - 00:11:57] 在回答如何投资之前
[00:11:57 - 00:11:58] 首先我们需要定义
[00:11:58 - 00:11:59] 投资的目标是什么
[00:11:59 - 00:12:01] 及财富的保值增值
[00:12:01 - 00:12:03] 接下来什么是财富
[00:12:03 - 00:12:04] 土地是吗
[00:12:04 - 00:12:05] 现金是吗
[00:12:05 - 00:12:06] 在理路看来都不是
[00:12:06 - 00:12:09] 因为他们都会随着时代的变化而变化
[00:12:09 - 00:12:11] 所以理路认为个人财富的长期定义
[00:12:11 - 00:12:14] 应该是你在整个经济体的购买力中所占的比例
[00:12:14 - 00:12:16] 因此我们的投资目标
[00:12:16 - 00:12:18] 就是保存和增加你的购买力
[00:12:18 - 00:12:20] 更准确的来说
[00:12:20 - 00:12:21] 是在你所在的经济体中
[00:12:21 - 00:12:23] 保持和提升你的购买力
[00:12:23 - 00:12:24] 这样一来
[00:12:24 - 00:12:25] 当整个经济体增长的时候
[00:12:25 - 00:12:28] 你的财富自然也随之增长
[00:12:28 - 00:12:29] 如果你的占比增加
[00:12:29 - 00:12:32] 意味着你的增长超过了平均水平
[00:12:32 - 00:12:33] 而及时整个经济体
[00:12:33 - 00:12:35] 因为各种原因发生萎缩
[00:12:35 - 00:12:36] 只要你的占比提升
[00:12:36 - 00:12:38] 你的财富依然在增加
[00:12:38 - 00:12:39] 有了这样的财富观以后
[00:12:39 - 00:12:41] 你就会更加理解这句话的意义
[00:12:41 - 00:12:43] 宏观是我们必须接受的
[00:12:43 - 00:12:45] 威观才是我们可以有所作为的
[00:12:45 - 00:12:46] 保持这样的认知
[00:12:46 - 00:12:48] 你就能够心平气和的
[00:12:48 - 00:12:49] 持有那些
[00:12:49 - 00:12:50] 最具有创造性的優秀企業
[00:12:50 - 00:12:53] 不再因為宏觀環境的波動而動搖
[00:12:53 - 00:12:55] 這裡可能有一個隱藏的問題
[00:12:55 - 00:12:57] 那就是最具有創造性的優秀企業
[00:12:57 - 00:12:59] 與整個經濟體相關性的問題
[00:12:59 - 00:13:01] 關於這個隱藏問題
[00:13:01 - 00:13:02] 一個解法是
[00:13:02 - 00:13:03] 作為全球投資人
[00:13:03 - 00:13:05] 需要去你認為最有活力的經濟體中投資
[00:13:05 - 00:13:08] 但是同時也要關注自身的實際需求
[00:13:08 - 00:13:11] 在你需要消費的地方保持你的購買力
[00:13:11 - 00:13:13] 作為全球投資人
[00:13:13 - 00:13:15] 喜馬拉雅資本的目標是在全球範圍內
[00:13:15 - 00:13:17] 在最有活力的經濟體中
[00:13:17 - 00:13:19] 挑选最有活力 创造性和竞争力的企业
[00:13:19 - 00:13:21] 持有他们的股份
[00:13:21 - 00:13:23] 从而实现在全球经济体中
[00:13:23 - 00:13:24] 保持和增加财富的目标
[00:13:24 - 00:13:26] 但是对于个人投资者来说
[00:13:26 - 00:13:28] 就需要在你愿意消费
[00:13:28 - 00:13:29] 需要消费的经济体中
[00:13:29 - 00:13:30] 保持你的购买力
[00:13:30 - 00:13:32] 这才是你真正的财富
[00:13:32 - 00:13:33] 比如说
[00:13:33 - 00:13:35] 许多国内投资人主要的购买力需求
[00:13:35 - 00:13:36] 是在国内
[00:13:36 - 00:13:37] 可能并不需要在欧洲
[00:13:37 - 00:13:39] 或者是南美有购买力
[00:13:39 - 00:13:42] 那么这样可能又会产生一个隐藏的问题
[00:13:42 - 00:13:44] 那就是如果我需要消费的经济体
[00:13:44 - 00:13:45] 不是最有活力的
[00:13:45 - 00:13:50] 但是我又没有办法去最有活力的经济体投资与消费怎么办呢
[00:13:50 - 00:13:51] 理论认为别担心
[00:13:51 - 00:13:55] 因为价值投资正是诞生于整个经济和宏观环境极为动荡
[00:13:55 - 00:13:57] 充满困惑的时期
[00:13:57 - 00:13:59] 在这样动荡困惑的宏观环境中
[00:13:59 - 00:14:02] 价值投资恰恰能够凸显优势发挥作用
[00:14:02 - 00:14:05] 但前提是你要明白自己要守护什么
[00:14:05 - 00:14:06] 投资的目标是什么
[00:14:06 - 00:14:09] 不要认为有哪个市场是完全有效的
[00:14:09 - 00:14:12] 或者是认为只有它才适合价值投资
[00:14:12 - 00:14:14] 因为市场不是抽象的概念
[00:14:14 - 00:14:16] 而是由一个一个具体的人组成的
[00:14:16 - 00:14:18] 非有效性就是价值投资者的机遇
[00:14:19 - 00:14:21] 其实我们从理路的话语中可以看出
[00:14:21 - 00:14:23] 他对现代化这个现象
[00:14:23 - 00:14:25] 已经执着的思考研究了40几年
[00:14:25 - 00:14:27] 逐渐发现过去几百年间
[00:14:27 - 00:14:29] 每个国家经历的都不是独特的现象
[00:14:29 - 00:14:32] 而是一场人类文明泛式的转移
[00:14:32 - 00:14:34] 这个转移不说任何国家 个人
[00:14:34 - 00:14:36] 或者是一小群人的意志所左右
[00:14:36 - 00:14:39] 全球经济呈现出了一种单向性波浪式的增长
[00:14:39 - 00:14:41] 短期内有其有福
[00:14:41 - 00:14:43] 甚至周期性的起伏
[00:14:43 - 00:14:45] 但是长期趋势是单向的持续增长
[00:14:45 - 00:14:47] 即使某些时期
[00:14:47 - 00:14:49] 全球经济的蛋糕总量在缩小
[00:14:49 - 00:14:51] 如果你能够保持自己的购买力比例
[00:14:51 - 00:14:52] 你就保持了财富
[00:14:52 - 00:14:54] 这样当经济重新开始增长
[00:14:54 - 00:14:55] 蛋糕变大的时候
[00:14:55 - 00:14:58] 你就可以保持和继续增加财富
[00:14:58 - 00:15:00] 所以六条原则中的最后一条
[00:15:00 - 00:15:01] 是理路个人的总结
[00:15:01 - 00:15:03] 他也希望能够通过今后的时间
[00:15:03 - 00:15:05] 来证实或者是证为
[00:15:05 - 00:15:07] 最后在现场的问答环节
[00:15:07 - 00:15:10] 我挑选了理路对于最后一个问题的回答
[00:15:10 - 00:15:11] 略带哲学色彩
[00:15:11 - 00:15:12] 那就是有人问
[00:15:12 - 00:15:14] 投资的意义是什么
[00:15:14 - 00:15:16] 个人投资者的认知和能力圈会提升
[00:15:16 - 00:15:17] 会获得投资收益
[00:15:17 - 00:15:19] 但是除此之外还有什么价值呢
[00:15:19 - 00:15:21] 理路的回答是
[00:15:21 - 00:15:23] 价值投资人绝对不是寄生成
[00:15:23 - 00:15:24] 资本市场的存在
[00:15:24 - 00:15:27] 是让所有的经济要素能够循环起来的
[00:15:27 - 00:15:28] 最最重要的保障
[00:15:28 - 00:15:30] 资本市场最终要有效率
[00:15:30 - 00:15:32] 就是要把钱投给最有生产力
[00:15:32 - 00:15:35] 能够提供市场最需要的产品和服务的公司
[00:15:35 - 00:15:38] 大家经常会说资本市场并不总是有效的
[00:15:38 - 00:15:40] 其实是说它短期内有时无效
[00:15:40 - 00:15:41] 长期来看
[00:15:41 - 00:15:43] 市场价格要随着价值浮动
[00:15:43 - 00:15:44] 价值是它的毛
[00:15:44 - 00:15:46] 这个市场才是有效的
[00:15:46 - 00:15:48] 让价格从短期的无效
[00:15:48 - 00:15:49] 变成长期的有效
[00:15:49 - 00:15:51] 最重要的就是资本面投资人
[00:15:51 - 00:15:52] 就是价值投资人
[00:15:52 - 00:15:54] 价值投资才能使市场
[00:15:54 - 00:15:56] 具有价格发现的功能
[00:15:56 - 00:15:58] 使市场能把最值得投资的
[00:15:58 - 00:15:59] 最有价值的公司
[00:15:59 - 00:16:01] 和非专业的个人小储户
[00:16:01 - 00:16:03] 相连接的最重要的意换
[00:16:03 - 00:16:04] 为什么李路第一次听到
