BV号：BV1MeNGzjEnF
标题：BV1MeNGzjEnF
链接：https://www.bilibili.com/video/BV1MeNGzjEnF
识别语言：zh
语言置信度：1
分段数：211
生成时间：2026-08-29 20:37:37

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] OpenCloud是2026年get hub上最火的开源项目之一
[00:00:05 - 00:00:09] 被很多人称为第一个真正能干活的AI助理
[00:01:32 - 00:01:33] 再逐风分析内容
[00:01:33 - 00:01:34] 再生成摘要
[00:01:34 - 00:01:35] 再发给你
[00:01:35 - 00:01:37] 这一个任务背后可能是20-50次
[00:01:37 - 00:01:38] 模型调用
[00:01:38 - 00:01:40] 如果你还让它监控日历
[00:01:40 - 00:01:42] 处理提醒定期查资料
[00:01:42 - 00:01:44] 一天下来可能触发几百次调用
[00:01:44 - 00:01:45] 按量计费的话
[00:01:45 - 00:01:47] 一个月轻松超过500块
[00:01:47 - 00:01:48] 这就是为什么Coding Plan
[00:01:48 - 00:01:49] 这种固定月费的模式
[00:01:49 - 00:01:52] 对OpenCloud用户来说是刚需
[00:01:52 - 00:01:54] 你需要的不是用多少付多少
[00:01:54 - 00:01:56] 而是花一个固定的钱放心地用
[00:01:56 - 00:01:58] 但是不同平台的额度
[00:01:58 - 00:01:59] 单位完全不同
[00:01:59 - 00:02:00] 不能直接比较
[00:02:00 - 00:02:02] 我研究这28款套餐的时候
[00:02:02 - 00:02:04] 发现了一个让很多人踩坑的问题
[00:02:04 - 00:02:07] 大模型原厂比如制谱Kimi Mini Max
[00:02:07 - 00:02:09] 他们用Prompt来计量
[00:02:09 - 00:02:12] 一个Prompt大概等于一次完整的对话交互
[00:02:12 - 00:02:13] 但云平台
[00:02:13 - 00:02:16] 阿里云 腾讯 云火山 方舟
[00:02:16 - 00:02:18] 他们用刺请球来计量
[00:02:18 - 00:02:21] 一次请求等于一次模型调用
[00:02:21 - 00:02:22] 听起来差不多
[00:02:22 - 00:02:24] 差远了OpenCloud处理一个任务
[00:02:24 - 00:02:27] 可能触发20-50次模型调用
[00:02:27 - 00:02:29] 也就是说原厂的一个Prompt
[00:02:29 - 00:02:32] 在云平台上可能要消耗20-54请求
[00:02:32 - 00:02:34] 所以你看到某个平台写着
[00:02:34 - 00:02:36] 每月6000次请求
[00:02:36 - 00:02:37] 另一个写着
[00:02:37 - 00:02:38] 每月400个Prompt
[00:02:38 - 00:02:40] 你可能觉得前者更划算
[00:02:40 - 00:02:41] 但实际上
[00:02:41 - 00:02:43] 这两个数字对应的实际可用量
[00:02:43 - 00:02:45] 差不多是一个级别的
[00:02:45 - 00:02:47] 这是厂商有意制造的信息不对称
[00:02:47 - 00:02:48] 你不了解这个区别
[00:02:48 - 00:02:50] 就很容易被表面数字迷惑
[00:02:50 - 00:02:53] OpenCloud对模型的要求比你想象的更全面
[00:02:53 - 00:02:56] 很多人以为给OpenCloud配一个会写代码的模型就够了
[00:02:56 - 00:02:59] 但实际上OpenCloud作为你的私人助理
[00:02:59 - 00:03:01] 需要的能力远不止这些
[00:03:01 - 00:03:02] 它需要理解你的指令
[00:03:02 - 00:03:04] 哪怕你说的很模糊
[00:03:04 - 00:03:07] 比如你说帮我把那个重要的会议安排一下
[00:03:07 - 00:03:10] 它又能理解你说的是哪个会议什么时间合适
[00:03:10 - 00:03:11] 要通知哪些人
[00:03:11 - 00:03:12] 它需要访问网页
[00:03:12 - 00:03:13] 帮你查资料
[00:03:13 - 00:03:14] 查价格
[00:03:14 - 00:03:15] 查行办信息
[00:03:15 - 00:03:17] 它需要处理文件
[00:03:17 - 00:03:19] 帮你读PDF整理表格生成报告
[00:03:19 - 00:03:21] 有时候他也需要理解图片
[00:03:21 - 00:03:22] 比如你发给他一张截图
[00:03:22 - 00:03:24] 让他帮你处理里面的信息
[00:03:24 - 00:03:26] 这意味着单一模型往往不够用
[00:03:26 - 00:03:29] 你需要一个能灵活调用多种模型的平台
[00:03:29 - 00:03:32] 根据不同任务选择最合适的模型
[00:03:32 - 00:03:34] 最近出现了7.9块首约体验
[00:03:34 - 00:03:37] 就觉得哇这个平台特别便宜我要长期用
[00:03:37 - 00:03:40] 但是这可能各坑首约价格只是幼儿
[00:03:40 - 00:03:42] 序费价格才是真实价格
[00:03:42 - 00:03:45] 阿里云百恋序费是40块一个月
[00:03:45 - 00:03:46] 腾讯云也是40块
[00:03:46 - 00:03:48] 而且你在首页体验的时候
[00:03:49 - 00:03:51] 可能会被某个平台的某个模型吸引
[00:03:51 - 00:03:53] 然后续费的时候你就被锁定了
[00:03:53 - 00:03:55] 更重要的是对于OpenClug
[00:03:55 - 00:03:57] 这类24小时运行的助理来说
[00:03:57 - 00:03:59] 入门当的额度往往不够用
[00:03:59 - 00:04:01] 你可能首页用着还好
[00:04:01 - 00:04:04] 到了第三周就发现额度耗尽助理罢工了
[00:04:04 - 00:04:06] 所以理性的做法是
[00:04:06 - 00:04:09] 在首页体验期认真记录你的实际调用量
[00:04:09 - 00:04:12] 然后选择真正能覆盖你需求的套餐
[00:04:12 - 00:04:14] 那怎么才能为OpenClug找到
[00:04:14 - 00:04:15] 最合适的Coding Plan
[00:04:15 - 00:04:18] 我总结了一个三步选择框架
[00:04:18 - 00:04:19] 第一步评估你的使用强度
[00:04:19 - 00:04:22] 如果你只是偶尔让助理帮你查查资料
[00:04:22 - 00:04:25] 整理整理邮件每天任务不超过10个
[00:04:25 - 00:04:28] 那么Kimi Moderato 19元每月
[00:04:28 - 00:04:31] 或MiniMax Plus 49月就够了
[00:04:31 - 00:04:32] 价格便宜功能也够用
[00:04:32 - 00:04:35] 如果你想让助理全天后工作
[00:04:35 - 00:04:37] 每天处理30-50个任务
[00:04:37 - 00:04:38] 比如监控邮件
[00:04:38 - 00:04:40] 管理日历定时查资料
[00:04:40 - 00:04:42] 那么阿里云百恋
[00:04:42 - 00:04:44] Pro 200元每月
[00:04:44 - 00:04:48] 或火山方舟 Pro 200元每月是最優選擇
[00:04:48 - 00:04:52] 額度充足而且支持多種模型靈活性最好
[00:04:52 - 00:04:53] 如果你是重度用戶
[00:04:53 - 00:04:56] 想讓助理替你處理幾乎所有的信息流
[00:04:56 - 00:05:01] 那麼支普 GLM Max 469月或者多平台組合訂閱
[00:05:01 - 00:05:03] 才能滿足你的需求
[00:05:03 - 00:05:05] 第二步看你對模型能力的需求
[00:05:05 - 00:05:07] 如果你的任務主要是文字處理
[00:05:07 - 00:05:08] 整理郵件
[00:05:08 - 00:05:10] 寫摘要查資料
[00:05:10 - 00:05:11] 那麼任何平台都夠用
[00:05:11 - 00:05:12] 選最便宜的就行
[00:05:12 - 00:05:15] 如果你需要助理處理圖片或文檔截圖
[00:05:15 - 00:05:17] 那麼Kimi是必選
[00:05:17 - 00:05:19] 因為他原生支持多模態
[00:05:19 - 00:05:21] 如果你需要最強的推理和理解能力
[00:05:21 - 00:05:25] 那麼GLM5或DeepSig是首選
[00:05:25 - 00:05:28] 這兩個模型在複雜任務上表現最好
[00:05:28 - 00:05:31] 第三步優先選擇支持多模型的聚合平台
[00:05:32 - 00:05:34] 阿里雲百練支持8款模型
[00:05:34 - 00:05:38] 騰訊雲和火山方舟也支持多款主流模型
[00:05:38 - 00:05:41] 你可以在同一個套餐裡根據不同任務切換模型
[00:05:41 - 00:05:44] 这对OpenCloud来说是最大的灵活性
[00:05:44 - 00:05:45] 我的具体推荐是
[00:05:45 - 00:05:50] 新用户先用阿里云百恋或腾讯云的7.9元首约体验
[00:05:50 - 00:05:54] 跑满一个月记录实际消耗量再决定续飞哪个档位
[00:05:54 - 00:05:56] OpenCloud这类个人AI助理的普及
[00:05:56 - 00:05:59] 正在重新定义数字员工这个概念
[00:05:59 - 00:06:02] 以前只有大公司才能顾得起专制助理
[00:06:02 - 00:06:04] 现在每一个人都可以有一个
[00:06:04 - 00:06:06] 24小时不休息的AI助理
[00:06:06 - 00:06:08] 成本只是一杯咖啡的价格
[00:06:08 - 00:06:10] 而Coding Plan这种订阅制
[00:06:10 - 00:06:12] 正式让这件事变得可持续的关键
[00:06:12 - 00:06:15] 固定月费让你不用担心账单
[00:06:15 - 00:06:16] 放心地让助理去工作
[00:06:16 - 00:06:18] 我判断2026年下半年
[00:06:18 - 00:06:21] 各大平台会针对个人AI助理这个场景
[00:06:21 - 00:06:23] 推出更专门的套餐
[00:06:23 - 00:06:24] 更高的并发
[00:06:24 - 00:06:25] 支持更好的长期记忆
[00:06:25 - 00:06:27] 更完善的工具
[00:06:27 - 00:06:29] 集成现在入场是最好的时机
[00:06:29 - 00:06:30] 你现在养成的使用习惯
[00:06:30 - 00:06:32] 会在未来的AI助理时代
[00:06:32 - 00:06:34] 成为你的合尽整理
[00:06:34 - 00:06:35] 好 我们来总结一下
[00:06:35 - 00:06:37] 第一 OpenCloud 是真正能干活的
[00:06:37 - 00:06:38] AI私人助理
[00:06:38 - 00:06:40] 不是聊天机器人
[00:06:40 - 00:06:42] 它需要持续雕用大模型
[00:06:42 - 00:06:43] 按量机废会很贵
[00:06:43 - 00:06:46] 第二Coding plan是OpenCloud用户的刚需
[00:06:46 - 00:06:49] 但不同平台的额度单位不同不能直接比较
[00:06:49 - 00:06:51] 第三云平台聚合型
[00:06:51 - 00:06:54] 阿里云、腾讯云、火山方舟
[00:06:54 - 00:06:56] 比大模型原厂型更适合OpenCloud
[00:06:56 - 00:06:58] 因为它支持多模型切换
[00:06:58 - 00:07:00] 第四型用户策略
[00:07:00 - 00:07:02] 先用7.9元首页体验
[00:07:02 - 00:07:04] 记录实际消耗量
[00:07:04 - 00:07:06] 再选择合适党位序费
[00:07:06 - 00:07:07] 最后我想说的是
[00:07:07 - 00:07:09] AI助理的价值不在于它有多聪明
[00:07:09 - 00:07:11] 而在于你有多敢用它
[00:07:11 - 00:07:13] 你现在用Open Cloud了吗
[00:07:13 - 00:07:14] 遇到了什么问题
[00:07:14 - 00:07:15] 欢迎在评论区告诉我
[00:07:15 - 00:07:18] 此外在简介和评论区我会提供
[00:07:18 - 00:07:20] 详细的Coding Plan 测评文章的地址
[00:07:20 - 00:07:22] 方便大家快速参考和选择
[00:07:22 - 00:07:25] 觉得有用的话点赞投币收藏
[00:07:25 - 00:07:27] 帮我把这个视频推给更多需要的人
[00:07:27 - 00:07:28] 我是为什么叫QQ
[00:07:28 - 00:07:29] 下期见
