BV号：BV1hqknY4EkB
标题：BV1hqknY4EkB
链接：https://www.bilibili.com/video/BV1hqknY4EkB
识别语言：zh
语言置信度：1
分段数：331
生成时间：2026-08-31 01:48:25

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 今天我们继续来解读
[00:05:12 - 00:05:16] 像英伟达的系统就有助于OPI运行复杂的功能验证器
[00:05:16 - 00:05:21] 而Ancelopik在Mapflops成本和内存贷款容量成本方面
[00:05:21 - 00:05:22] 有着很大的优势
[00:05:22 - 00:05:24] 但是因为缺少CPU的资源
[00:05:24 - 00:05:26] 所以很难运行复杂的功能验证系统
[00:05:27 - 00:05:28] 在这种情况下
[00:05:28 - 00:05:31] 推理训练也就成为了计算极其密集的工作了
[00:05:32 - 00:05:33] 仅1000万个推理问题
[00:05:33 - 00:05:37] 就可能会生成数百一条轨迹和数百万一个token
[00:05:37 - 00:05:40] 数据量也会随着问题级的扩展
[00:05:40 - 00:05:41] 成指数级的增长
[00:05:41 - 00:05:44] 而且与客户请求不完全重叠
[00:05:44 - 00:05:46] 这会造成推理部分的token数量
[00:05:46 - 00:05:47] 远超于运训链数据级
[00:05:47 - 00:05:51] 由于PPO和过程奖励网络PRN的工作方式
[00:05:51 - 00:05:54] 后训链阶段在每次反向传播之前
[00:05:54 - 00:05:56] 都需要进行多次的前向传播
[00:05:56 - 00:05:58] 这就会涉及到多个模型
[00:05:58 - 00:06:01] 导致前向传播与反向传播的比例极高
[00:06:01 - 00:06:04] 从而对训练基础设施需求产生巨大的影响
[00:06:04 - 00:06:05] 比如说过去需要单一的
[00:06:05 - 00:06:07] 大型全连接扩展架构
[00:06:07 - 00:06:09] 现在不再需要了
[00:06:09 - 00:06:12] 同时也让跨地理分布的数据中心训练更加容易
[00:06:12 - 00:06:15] 以往在训练模型的后训练阶段
[00:06:15 - 00:06:17] 几乎需要与预训链相同的计算量
[00:06:17 - 00:06:20] 但是现在后训练FLOPS在许多情况下
[00:06:20 - 00:06:22] 已经超过了预训链阶段
[00:06:22 - 00:06:24] 比如说OpenI正在训练一个
[00:06:24 - 00:06:27] 介于GPT-4O和Orin之间的模型
[00:06:27 - 00:06:29] 他们会预先训练出来一个基础的模型
[00:06:29 - 00:06:31] 然后从中派生出两个模型
[00:06:31 - 00:06:34] 分别是一个传统的聊天模型
[00:06:34 - 00:06:35] 以及一個真正的推理模型
[00:06:36 - 00:06:37] 再從基礎模型
[00:06:37 - 00:06:38] 轉變為推理模型的過程中
[00:06:39 - 00:06:40] 所需要的後訓練FLOPs
[00:06:40 - 00:06:42] 將超過預訓鏈所需要的計算量
[00:06:43 - 00:06:46] 因為Orin會被用來生成大量的草莓訓練數據
[00:06:46 - 00:06:48] 以及用在各種驗證器和獎勵模型中
[00:06:49 - 00:06:50] 因此文章認為
[00:06:50 - 00:06:52] 預訓鏈的規模將繼續的擴大
[00:06:52 - 00:06:53] 而推理訓練的興起
[00:06:53 - 00:06:56] 使得後訓練不再極限於微調
[00:06:56 - 00:06:57] 而且需要更多的計算量
[00:06:57 - 00:06:59] 所以訓練的ScreenLoss依然有效
[00:07:00 - 00:07:02] 我們再來聊一聊歐萬推理架構中的
[00:07:02 - 00:07:03] Token經濟學
[00:07:03 - 00:07:06] 即使較小的推理模型在使用Blackware後
[00:07:06 - 00:07:08] 服務的效率也會提升
[00:07:08 - 00:07:11] 但是儘管GPT4O和O1的架構規模都相同
[00:07:11 - 00:07:14] Token的定價差異卻高達6倍
[00:07:14 - 00:07:18] GPT4O mini和O1的mini差異更大達到20倍
[00:07:18 - 00:07:22] 雖然部分的原因是因為Opni為了盈利而收取更高的費用
[00:07:22 - 00:07:25] 但是主要的原因還是因為成本變得更高了
[00:07:25 - 00:07:28] 文章以一個邏輯推理的提示詞實驗為例
[00:07:28 - 00:07:31] 推理模型比如說O1Perview和O1mini
[00:07:31 - 00:07:33] 比同等规模的非推理模型
[00:07:33 - 00:07:35] 会生成更多的输出Token
[00:07:35 - 00:07:38] 即使推理Token没有显示或者提供给用户
[00:07:38 - 00:07:40] 也会包含在济费的输出Token中
[00:07:40 - 00:07:43] 由于推理模型的每个Token成本明显更高
[00:07:43 - 00:07:46] 所以查询成本在O1迷你中会高出24倍
[00:07:46 - 00:07:49] 而在O1ProView中会高出57倍
[00:07:49 - 00:07:50] 而且序列越长
[00:07:50 - 00:07:52] 为了维持一定的交互速度
[00:07:52 - 00:07:55] 就必须减少一次性病情处理的批大小
[00:07:55 - 00:07:57] 这就会导致推理模型的成本
[00:07:57 - 00:07:59] 无法在更多的用户间分担
[00:07:59 - 00:08:04] 也就意味着每个token的成本会因为kv缓存的限制高出5倍以上
[00:08:04 - 00:08:08] 那么是什么导致推理模型的计算密度和内存的需求增加
[00:08:08 - 00:08:12] 从而导致p大小减少和每gpu吞吐量降低了呢
[00:08:12 - 00:08:14] 答案有两个方面
[00:08:14 - 00:08:18] 内存需求的增加主要是因为处理长序列长度需要更大的kv缓存
[00:08:18 - 00:08:21] 而在使用全局查询注意力gqa的时候
[00:08:21 - 00:08:25] kv缓存的大小会随着序列长度和p大小限性的增长
[00:08:25 - 00:08:27] 当P大小恒定的时候
[00:08:27 - 00:08:29] 长序列长度就会占满内存容量
[00:08:29 - 00:08:32] 降低交互性或者是限制最大的P大小
[00:08:32 - 00:08:35] 竟然影响模型的Flops利用率
[00:08:35 - 00:08:37] 而每个token所需要的Flops
[00:08:37 - 00:08:40] 会随着序列长度的增加成平方的增长
[00:08:40 - 00:08:43] 所以长上下文模型在推理的时候
[00:08:43 - 00:08:46] 序列长度的增加会让系统很快达到Flops的限制
[00:08:46 - 00:08:48] 由于序列长度的增加
[00:08:48 - 00:08:50] 会极大的增加内存和Flops的需求
[00:08:50 - 00:08:52] 导致P大小的显著缩小
[00:08:52 - 00:08:54] 难以分摊集群的总成本
[00:08:54 - 00:08:57] 所以也会让每个Token的服务成本明显的提高
[00:08:57 - 00:09:01] OPEN-I虽然尝试通过改进注意力机制来缓解问题
[00:09:01 - 00:09:03] 但是没有能够从根本上来解决
[00:09:03 - 00:09:05] 所以目前的挑战在于
[00:09:05 - 00:09:07] 需要再能够保持质量的同时
[00:09:07 - 00:09:10] 解决这些问题的常上下文架构
[00:09:10 - 00:09:13] 否则推理模型的每Token成本就降不下来
[00:09:13 - 00:09:15] 而且生成的Token数量也会更多
[00:09:15 - 00:09:17] 此外许列长度的增加
[00:09:17 - 00:09:19] 可能还会带来可靠性方面的问题
[00:09:19 - 00:09:22] 在训练中进行检查点保存
[00:09:22 - 00:09:25] checkpointing可以减少故障中断的时间
[00:09:25 - 00:09:26] 但是在推理过程中
[00:09:26 - 00:09:29] 静默数据的损坏和其他故障仍然可能发生
[00:09:29 - 00:09:31] 在Transformers架构中
[00:09:31 - 00:09:33] 如果生成新的token的时候出错了
[00:09:33 - 00:09:36] 那么这个坏的token就会成为对话上下文的一部分
[00:09:36 - 00:09:39] 导致语法 语境 或者格式错误
[00:09:39 - 00:09:42] 这个问题对于常上下文模型尤其的明显
[00:09:42 - 00:09:45] 因为常序列潮度会导致错误累积
[00:09:45 - 00:09:48] 另外许多错误可能源于模型的本身
[00:09:48 - 00:09:50] 或者由于推理过程中的思维链一开始
[00:09:50 - 00:09:52] 就走上了错误的轨迹
[00:09:52 - 00:09:55] 所以O1PRO才会采用自下性和多数投票机制
[00:09:55 - 00:09:56] 来应对这个问题
[00:09:57 - 00:10:00] 最后在谈到计算领域Skinloss的时候
[00:10:00 - 00:10:03] 文章指出OpeningO1展示了推理模型的潜力
[00:10:04 - 00:10:05] AI领域的Skinloss之争
[00:10:05 - 00:10:08] 与过去对计算能力的扩展和模二定律的争论
[00:10:08 - 00:10:09] 十分相似
[00:10:10 - 00:10:13] 曾经大家很热衷于讨论模二定律走向终结
[00:10:13 - 00:10:15] 但是现在因为英伟达等企业
[00:10:15 - 00:10:16] 找到了新的扩展维度
[00:10:16 - 00:10:19] 比如说用先进封装技术来提升IO能力
[00:10:19 - 00:10:21] 突破光照尺寸的限制
[00:10:21 - 00:10:23] 利用更大的龟片面积
[00:10:23 - 00:10:25] 以及芯片内外的病情计算
[00:10:25 - 00:10:26] 和大规模高带款网络
[00:10:26 - 00:10:28] 从而使得行业持续的发展
[00:10:28 - 00:10:30] 所以文章认为
[00:10:30 - 00:10:31] AI领域的SkinLoss
[00:10:31 - 00:10:35] 也会随着新技术范图的出现和扩展持续下去
[00:10:35 - 00:10:37] 在关于SkinLoss的讨论中
[00:10:37 - 00:10:39] 预训链常常是最受到大家的关注
[00:10:39 - 00:10:42] 但是它其实只是AI生命周期的一部分
[00:10:42 - 00:10:44] 预训链的目标非常单一
[00:10:44 - 00:10:46] 也就是正确预测下一个头坑
[00:10:46 - 00:10:51] 但是实现这个目标仍然远远没有达到大模型开发的最终目标
[00:10:51 - 00:10:54] 也就是回答用户的提示词或者说完成任务
[00:10:54 - 00:10:57] 由于训练模型缺乏足够复杂高难度的提示词
[00:10:57 - 00:11:00] 所以数学就成为了微调模型的重点领域之一
[00:11:00 - 00:11:05] 一种方法是聘请高技能的人类专家来设计提示词
[00:11:05 - 00:11:07] 或者在内部来生成这些提示词
[00:11:07 - 00:11:10] 虽然模型可以通过提示词来生成思维链
[00:11:10 - 00:11:14] 但是仍然需要多重的保障机制来防止错误累计
[00:11:14 - 00:11:17] 另一种方法是通过多个独立的模型来提高准确性
[00:11:17 - 00:11:22] 包括生成器、验证器模型、完成器和奖励模型等等
[00:11:22 - 00:11:27] 其中过程奖励模型PRM在训练思维链模型的时候更受到青睞
[00:11:27 - 00:11:30] 但是OPI更多还是依赖结果奖励模型OM
[00:11:30 - 00:11:34] O1 ProView的发布引起了业界对于测试时计算
[00:11:34 - 00:11:36] 或者说推理时计算ScalingLoss的关注
[00:11:36 - 00:11:39] 其中测试时计算并不是一个新的概念
[00:11:39 - 00:11:41] 在奇类游戏和普克中
[00:11:41 - 00:11:44] 测试时计算的理念已经存在了一段时间
[00:11:44 - 00:11:46] 比如說alphaGo在測試時
[00:11:46 - 00:11:49] 會使用Montekalus搜索來決定下一步期
[00:11:49 - 00:11:50] 通過更強大的計算力
[00:11:50 - 00:11:52] 推理模型可以思考更多的部種
[00:11:52 - 00:11:55] 從而增加得出正確答案的可能性
[00:11:55 - 00:11:56] 不過當前的推理模型
[00:11:56 - 00:11:58] 受到了推理系統性能的限制
[00:11:58 - 00:12:00] 主要就是我們之前提過的
[00:12:00 - 00:12:02] 常上下文長度顯著增加了
[00:12:02 - 00:12:04] 內存和計算的需求
[00:12:04 - 00:12:06] 但是一旦具備經濟上的可行性
[00:12:06 - 00:12:09] 調整COT的長度和計算資源的使用
[00:12:09 - 00:12:11] 將成為測試時計算的關鍵技術
[00:12:11 - 00:12:14] 通过增加样本数量或者是搜索的实现
[00:12:14 - 00:12:18] 比如自下性、多数投票、Best of N 采样、
[00:12:18 - 00:12:20] Montcalo展开等等方法
[00:12:20 - 00:12:22] 测试时计算还能够得到进一步的skilling
[00:12:22 - 00:12:25] 不过由于推理模型的成本过高
[00:12:25 - 00:12:26] 加上使用了大量的token
[00:12:26 - 00:12:28] 所以对于企业来说
[00:12:28 - 00:12:30] 控制部署成本的上升变得至关重要
[00:12:30 - 00:12:34] 目前的主要实验室由于缺乏大规模的服务能力
[00:12:34 - 00:12:37] 以至于微软无法全面推出口牌的功能集合
[00:12:37 - 00:12:40] OpenI甚至关闭了SR的注册入口
[00:12:40 - 00:12:42] 因此文章指出了很關鍵的一點
[00:12:42 - 00:12:44] 那就是Skeling預訓鏈
[00:12:44 - 00:12:46] 目前仍然可以大幅的降低成本
[00:12:46 - 00:12:49] 而且比Skeling測試時計算更加的划算
[00:12:49 - 00:12:52] 同時超大規模計算提供商
[00:12:52 - 00:12:54] 也將繼續建設更大的集群
[00:12:54 - 00:12:57] 比如說馬斯克計劃建立100萬塊GPU的集群
[00:12:57 - 00:12:59] 而OpenI和微軟目前運行了數十萬張
[00:12:59 - 00:13:01] 推理GPD的GPU
[00:13:01 - 00:13:03] 也顯示了Skeling預訓鏈
[00:13:03 - 00:13:05] 仍然可以進一步的降低成本
[00:13:05 - 00:13:07] 好了以上就是這篇文章的主要內容了
[00:13:07 - 00:13:09] 文章不僅深入拋棄了
[00:13:09 - 00:13:10] 欧万佩奥的架构
[00:13:10 - 00:13:13] 还重点探讨了预讯链四经历和推力四经历的发展
[00:13:13 - 00:13:15] 希望能够对大家有所帮助
[00:13:15 - 00:13:16] 原文的内容很长
[00:13:16 - 00:13:17] 由于时间的关系
[00:13:17 - 00:13:19] 我们也还有很多的内容没有提到
[00:13:19 - 00:13:22] 建议大家有时间能去阅读一下原文
[00:13:22 - 00:13:23] 按照惯例
[00:13:23 - 00:13:25] 链接我放到视频简介中了
[00:13:25 - 00:13:26] 感谢大家的观看
[00:13:26 - 00:13:27] 我们下期再见
