BV号：BV134dgYhEpi
标题：BV134dgYhEpi
链接：https://www.bilibili.com/video/BV134dgYhEpi
识别语言：zh
语言置信度：1
分段数：254
生成时间：2026-08-30 09:07:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] YC的创始人保罗格雷厄姆最新发了一篇博客文章
[00:01:34 - 00:01:35] 一瞬间能想到的是
[00:01:35 - 00:01:38] 应当帮助他人守护世界
[00:01:38 - 00:01:39] 这两点显而易见
[00:01:39 - 00:01:40] 但是除此之外
[00:01:40 - 00:01:42] 还有别的吗
[00:01:42 - 00:01:44] 当我更加深入的思考这个问题的时候
[00:01:44 - 00:01:46] 脑海中浮现出的答案是
[00:01:46 - 00:01:48] 创造美好的新事物
[00:01:48 - 00:01:50] 我无法证明人就该这么做
[00:01:50 - 00:01:53] 就如同我无法证明人应当帮助他人
[00:01:53 - 00:01:54] 守护世界一样
[00:01:54 - 00:01:57] 我们在这里探讨的是一些基本原则
[00:01:57 - 00:02:00] 不过 我想我能解释这条原则的合理性
[00:02:00 - 00:02:03] 人类所能做的最了不起的事就是思考
[00:02:03 - 00:02:06] 这或许也是人世间最了不起的行为了
[00:02:06 - 00:02:09] 而最好的思考方式 或者更确切的说
[00:02:09 - 00:02:12] 证明一个人思考的好的最佳证据
[00:02:12 - 00:02:14] 就是创造美好的新事物
[00:02:14 - 00:02:16] 这里所说的新事物涵盖范围很广
[00:02:16 - 00:02:19] 牛顿的物理学理论就是一件美好的新事物
[00:02:19 - 00:02:22] 实际上 这条原则最初想表达的含义是
[00:02:22 - 00:02:24] 要有好的新想法
[00:02:24 - 00:02:26] 但是 这似乎还不够全面
[00:02:26 - 00:02:30] 他没有将艺术创作或者音乐创作囊阔其中
[00:02:30 - 00:02:33] 除非将这些创作所体现的新想法也算在内
[00:02:33 - 00:02:36] 尽管艺术和音乐作品可能运喊着新的想法
[00:02:36 - 00:02:39] 但是他们所包含的远不止于此
[00:02:39 - 00:02:41] 而要是把想法这个词的含义
[00:02:41 - 00:02:42] 延伸的过于宽泛
[00:02:42 - 00:02:45] 让它涵盖人类神经系统所感知的一切事物
[00:02:45 - 00:02:47] 那也就失去意义了
[00:02:47 - 00:02:50] 即便对于那些我们有意识产生的想法
[00:02:50 - 00:02:53] 我还是更为喜欢创造美好的新事物这种表述
[00:02:53 - 00:02:56] 当然 描述最佳思考方式的说法还有很多
[00:02:56 - 00:02:58] 比如有所发现
[00:02:58 - 00:03:00] 或者比他人对事物有更为深刻的理解
[00:03:00 - 00:03:04] 但是 要是没有办法将自己的理解构建成模型
[00:03:04 - 00:03:05] 或者写下来
[00:03:05 - 00:03:07] 又怎么能说自己理解到位了呢
[00:03:07 - 00:03:10] 事实上 尝试表达自己的理解
[00:03:10 - 00:03:12] 不仅是证明理解程度的一种方式
[00:03:12 - 00:03:15] 更是深化理解的一条途径
[00:03:15 - 00:03:17] 我喜欢这种表述的另一个原因是
[00:03:17 - 00:03:19] 它会引导我们倾向于创造
[00:03:19 - 00:03:22] 它让我们更加青睐那些自然而然
[00:03:22 - 00:03:23] 被看作成創造事物的想法
[00:03:24 - 00:03:26] 而不是对他人的创造之物
[00:03:26 - 00:03:27] 进行批判性观察的想法
[00:03:28 - 00:03:30] 当然 批判性观察也能产生想法
[00:03:31 - 00:03:32] 而且有时候这些想法也很有价值
[00:03:33 - 00:03:35] 但是人们很容易自欺欺人
[00:03:35 - 00:03:36] 高估他们的价值
[00:03:36 - 00:03:38] 所以批判往往看似高深
[00:03:38 - 00:03:40] 而创造新的事物往往显得笨拙
[00:03:41 - 00:03:42] 尤其是在刚开始的时候
[00:03:42 - 00:03:45] 不过恰恰是这些最初的尝试
[00:03:45 - 00:03:47] 最为难得而且意义非凡
[00:03:47 - 00:03:48] 那么在这个原则中
[00:03:48 - 00:03:50] 吸引性是必不可少的吗
[00:03:50 - 00:03:51] 我认为是的
[00:03:52 - 00:03:54] 在科学领域这一点显然是至关重要的
[00:03:55 - 00:03:57] 如果你要是抄袭了他人的论文
[00:03:57 - 00:03:59] 并且当做自己的成果拿出去发表
[00:04:00 - 00:04:01] 不仅不会令人感到钦佩
[00:04:01 - 00:04:03] 还会被视作不诚实的行为
[00:04:04 - 00:04:05] 艺术领域一样是如此
[00:04:06 - 00:04:07] 一幅优秀化作的礼模作品
[00:04:07 - 00:04:09] 或许可以说是赏心悦目
[00:04:09 - 00:04:11] 但是它无法像原作那样
[00:04:11 - 00:04:12] 给人带来震撼的感觉
[00:04:13 - 00:04:14] 这也意味着
[00:04:14 - 00:04:16] 无论重复制作同一件东西的记忆多么精湛
[00:04:16 - 00:04:18] 都难以给人留下深刻的印象
[00:04:19 - 00:04:20] 因为这无意于自我抄袭
[00:04:20 - 00:04:22] 不过需要注意的是
[00:04:22 - 00:04:25] 这条原则中的应当与前两条有所不同
[00:04:25 - 00:04:27] 关爱他人 守护世界的应当
[00:04:27 - 00:04:29] 意味着这是我们的责任
[00:04:29 - 00:04:31] 而创造美好新事物的应当
[00:04:31 - 00:04:32] 则意味着只有这样做
[00:04:32 - 00:04:34] 才能充分发挥个人的潜能
[00:04:34 - 00:04:37] 纵观历史大多数关于生活准则的规范
[00:04:37 - 00:04:39] 都包含这两种应当
[00:04:39 - 00:04:41] 只是通常前者的笔中更大而已
[00:04:41 - 00:04:43] 在历史上的大部分时间里
[00:04:43 - 00:04:45] 无论你像西塞罗还是孔子
[00:04:45 - 00:04:47] 提出人应当做什么这个问题
[00:04:47 - 00:04:50] 得到的答案其实都大同小异
[00:04:50 - 00:04:56] 你应当睿智 勇敢 诚实 劫智 公正 维护传统 为公共利益服务
[00:04:56 - 00:04:57] 在很长一段时间里
[00:04:57 - 00:05:00] 世界上某些地方的答案甚至变成了适奉上帝
[00:05:00 - 00:05:01] 但是实际上
[00:05:01 - 00:05:05] 睿智 勇敢 诚实 劫智 公正 维护传统
[00:05:05 - 00:05:07] 服务公共利益
[00:05:07 - 00:05:09] 这些依然都被认为是正确的行为
[00:05:09 - 00:05:10] 实际上
[00:05:10 - 00:05:13] 大多数维多利亚时代的人也会认同这些准则
[00:05:13 - 00:05:16] 但是这些答案中既没有提到守护世界
[00:05:16 - 00:05:18] 也没有提到创造新事物
[00:05:18 - 00:05:20] 这着实令人感到一些担忧
[00:05:20 - 00:05:22] 毕竟这个问题似乎是永恒的
[00:05:22 - 00:05:23] 答案不应该有太大的变化
[00:05:23 - 00:05:26] 对于传统答案没有提到守护世界这一点
[00:05:26 - 00:05:27] 我并不太担心
[00:05:27 - 00:05:29] 显然只有当人们意识到
[00:05:29 - 00:05:31] 我们可能会破坏世界的时候
[00:05:31 - 00:05:33] 才会开始关注这个问题
[00:05:33 - 00:05:34] 但是如果传统答案中
[00:05:34 - 00:05:37] 没有提到创造美好的新事物
[00:05:37 - 00:05:38] 那它又怎么会变得重要呢
[00:05:38 - 00:05:41] 其实传统答案可以看作是
[00:05:41 - 00:05:43] 对另一个稍有不同的问题的解答
[00:05:43 - 00:05:44] 他们回答的是
[00:05:44 - 00:05:46] 人应当成为什么样的人
[00:05:46 - 00:05:48] 而不是人应当做什么
[00:05:48 - 00:05:51] 过去人们在做什么上的选择十分有限
[00:05:51 - 00:05:53] 直到近几个世纪
[00:05:53 - 00:05:56] 主要的受众群体还是拥有土地的阶层
[00:05:56 - 00:05:57] 他们同时也是政治阶层
[00:05:57 - 00:06:01] 他们不需要在研究物理和撰写小说之间做选择
[00:06:01 - 00:06:03] 因为他们的工作早就已经注定
[00:06:03 - 00:06:04] 那就是管理装员
[00:06:04 - 00:06:07] 参与政治必要的时候投身战斗
[00:06:07 - 00:06:11] 人们可以在闲暇的时间从事其他的一些工作
[00:06:11 - 00:06:12] 但是理想状态下
[00:06:12 - 00:06:14] 他们其实并没有多少闲暇时间
[00:06:14 - 00:06:16] 西塞罗的论义无异书
[00:06:16 - 00:06:20] 是古典时期关于如何生活这个问题的经典解答之一
[00:06:20 - 00:06:22] 在书中他明确表示
[00:06:22 - 00:06:24] 如果不是近期的政治动荡
[00:06:24 - 00:06:26] 使他被排除在公共生活之外
[00:06:26 - 00:06:27] 他根本不会撰写这本书
[00:06:28 - 00:06:31] 当然当时也有人从事我们如今所说的原创性工作
[00:06:31 - 00:06:33] 他们也常常因此而受到赞赏
[00:06:33 - 00:06:35] 但是并没有被视为榜样
[00:06:35 - 00:06:38] 阿基米德知道自己是第一个证明球的体积
[00:06:38 - 00:06:41] 是其外洩原著体体积2.2的人
[00:06:41 - 00:06:43] 并且为此深感自好
[00:06:43 - 00:06:44] 但是在古代文献中
[00:06:44 - 00:06:46] 你找不到作家鼓励读者
[00:06:46 - 00:06:48] 效仿阿基米德的内容
[00:06:48 - 00:06:49] 在当时
[00:06:49 - 00:06:51] 人们更多的把他当做天才
[00:06:51 - 00:06:52] 而非效仿的典范
[00:06:52 - 00:06:54] 如今我们当中有更多的人
[00:06:54 - 00:06:56] 可以以阿基米德为榜样
[00:06:56 - 00:06:59] 将大部分的精力投入到某一项工作中
[00:06:59 - 00:07:00] 事实证明
[00:07:00 - 00:07:02] 他终究成为了人们学习的榜样
[00:07:02 - 00:07:04] 和其他的一些人一起
[00:07:04 - 00:07:06] 但是如果是放在他那个时代
[00:07:06 - 00:07:07] 把这些人归为一类
[00:07:07 - 00:07:09] 会让人觉得不可思议
[00:07:09 - 00:07:11] 因为从事新事物创造的群体
[00:07:11 - 00:07:13] 与社会等级制度并没有什么关联
[00:07:13 - 00:07:16] 那么什么样的新事物才算做数呢
[00:07:16 - 00:07:18] 我更愿意把这个问题留给创造者们
[00:07:19 - 00:07:21] 试图设定某种标准是很冒险的
[00:07:21 - 00:07:24] 因为新的工作类型最初往往会遭到轻视
[00:07:24 - 00:07:27] 雷蒙德-钱德勒曾经写过通俗小说
[00:07:27 - 00:07:30] 如今却被公认为20世纪最接触的作家之一
[00:07:30 - 00:07:33] 实际上这种情况屡见不鲜
[00:07:33 - 00:07:35] 甚至我们可以总结出一条经验
[00:07:35 - 00:07:38] 如果你对某项不被看好的工作充满热情
[00:07:38 - 00:07:42] 并且能够指出其他人忽视了这项工作的哪些价值
[00:07:42 - 00:07:44] 那么这不仅是一份可行的工作
[00:07:44 - 00:07:46] 更是值得你去追求的事业
[00:07:46 - 00:07:49] 我不想设定标准的另一个原因是
[00:07:49 - 00:07:50] 我们并不需要
[00:07:50 - 00:07:52] 那些创造美好新事物的人
[00:07:52 - 00:07:55] 无需规则来约束自己保持真诚
[00:07:55 - 00:07:57] 这就是我对人生原则的一些思考
[00:07:57 - 00:07:59] 关爱他人 守护世界
[00:07:59 - 00:08:01] 并且创造美好的新事物
[00:08:01 - 00:08:04] 不同的人在进行这些原则的时候
[00:08:04 - 00:08:05] 程度各不相同
[00:08:05 - 00:08:08] 想必会有许多人全心投入到帮助他人之中
[00:08:08 - 00:08:11] 也会有少数人主要专注在创造新的事物上
[00:08:12 - 00:08:13] 但是即便你属于后者
[00:08:13 - 00:08:16] 至少也要确保自己创造的新事物
[00:08:16 - 00:08:18] 不会给人类或世界带来危害
[00:08:18 - 00:08:20] 要是能够更进一步
[00:08:20 - 00:08:22] 尝试创造一些对人类和世界有益的事物
[00:08:22 - 00:08:25] 你可能会发现自己会收获的更多
[00:08:25 - 00:08:28] 这样做也许会对你在创作上有所限制
[00:08:28 - 00:08:30] 但是你会感觉到更有动力
[00:08:30 - 00:08:31] 另一方面
[00:08:31 - 00:08:33] 如果你创造出了了不起的东西
[00:08:33 - 00:08:35] 即便你的本意并非如此
[00:08:35 - 00:08:38] 往往也会对人类或世界有所帮助
[00:08:38 - 00:08:42] 比方说牛顿受到好奇心和雄心的驱使进行研究
[00:08:42 - 00:08:45] 并不是考虑他的研究成果可能会带来的实际影响
[00:08:45 - 00:08:48] 但是他的成果却产生了巨大的实际作用
[00:08:48 - 00:08:51] 这似乎是一个普遍的规律 而非个例
[00:08:51 - 00:08:54] 所以 如果你感到自己能够创造出了了不起的东西的时候
[00:08:54 - 00:08:56] 或许就应该放手去做了
[00:08:56 - 00:08:59] 好了 以上就是保罗格雷厄姆这篇博文的内容了
[00:08:59 - 00:09:01] 最后大飞 我想说
[00:09:01 - 00:09:04] 做一件对别人有帮助 有意义的事情非常重要
[00:09:04 - 00:09:07] 这能给我们带来难以言说的成就感
[00:09:07 - 00:09:10] 人生的终极幸福感一定是来自于自我实现
[00:09:10 - 00:09:13] 而自我实现的途径必定是通过创造
[00:09:13 - 00:09:16] 只有创造才能够源源不断的给人以滋养
[00:09:16 - 00:09:18] 希望这期视频能对大家有所帮助
[00:09:18 - 00:09:21] 也希望大家能去创造更多美好的新事物
[00:09:21 - 00:09:23] 以及自己美好的人生
[00:09:23 - 00:09:24] 感谢大家的观看
[00:09:24 - 00:09:25] 我们下期再见
