BV号：BV1EtrzYpEWn
标题：BV1EtrzYpEWn
链接：https://www.bilibili.com/video/BV1EtrzYpEWn
识别语言：zh
语言置信度：1
分段数：189
生成时间：2026-08-30 20:35:06

[00:00:00 - 00:00:00] 哈好
[00:06:27 - 00:06:34] 会去调用美国气象局的API去做对应的调问完了以后会有一个响应
[00:06:34 - 00:06:37] 通过这个响应会一些错误的补货
[00:06:37 - 00:06:39] 最后会把具体的内容给换回出来
[00:06:39 - 00:06:41] 我们把这个代码也贴一下
[00:06:41 - 00:06:44] 再把贴相可以这个也没什么问题
[00:06:44 - 00:06:46] 那最后就离闷一脚了
[00:06:46 - 00:06:48] 那我们需要去写一个阻函数
[00:06:48 - 00:06:54] 去调用调用我们前面的这些具体的这些方法
[00:06:54 - 00:06:56] 这个阻函数
[00:06:56 - 00:06:58] 这个时候启动起来以后
[00:06:58 - 00:07:02] 这边会用一个标准输出的一个服务的一个transform
[00:07:02 - 00:07:04] 最后它会在RO里面去
[00:07:04 - 00:07:09] 就标准输出里面去把对应的内容把它打印出来
[00:07:09 - 00:07:11] 同时也会读取你的标准的输入
[00:07:11 - 00:07:12] 大概就是这样
[00:07:13 - 00:07:16] 这块代码部分应该这边已经结束了
[00:07:16 - 00:07:18] 接下来可能要去执行一下构建
[00:07:18 - 00:07:20] 如果前端通信很熟悉
[00:07:20 - 00:07:23] 那就是执行我们的Build
[00:07:24 - 00:07:25] 这时候Build完了以后
[00:07:25 - 00:07:26] 它会在这个
[00:07:26 - 00:07:28] 因为在我们的TS里面
[00:07:28 - 00:07:30] 应该告诉它要标志在哪里
[00:07:30 - 00:07:31] 它的原码目录在什么地方
[00:07:31 - 00:07:33] 这个时候就会产生这样的一个
[00:07:33 - 00:07:35] 构建完的一个解释脚本
[00:07:35 - 00:07:38] 最后我们的claw的桌面端
[00:07:38 - 00:07:44] 可能会去用这个JS脚本来启动一个MCP的一个服务
[00:07:44 - 00:07:51] 这个时候我们要去Cloud的桌面单去打开这个配置
[00:07:51 - 00:07:55] 在这个桌面单里面有通过BSCode的方式去打开它
[00:07:55 - 00:07:58] 这块我已经把它贴好了
[00:07:58 - 00:08:00] 因为之前我已经跑过一次
[00:08:00 - 00:08:04] 那就是在我当前的Builder的这个目录下面
[00:08:04 - 00:08:06] Builder的这个目录在哪里呢
[00:08:06 - 00:08:09] 在我当前本地电脑的这个目录下面
[00:08:10 - 00:08:11] 这时候已经OK了
[00:08:12 - 00:08:14] 那这块应该就不用再去改它了
[00:08:14 - 00:08:16] 那大概就是这样的一个目录
[00:08:16 - 00:08:19] 下一步的我们这块应该就真的就结束了
[00:08:19 - 00:08:21] 我们接下来就要看一下
[00:08:21 - 00:08:24] 把这个claw的桌面应用把它起起来会怎么样
[00:08:24 - 00:08:27] 它能不能够能够发现我们这两个tors
[00:08:28 - 00:08:31] 我们现在把这个claw的应用把它起一下
[00:08:31 - 00:08:34] OK在我们这个claw的应用下面
[00:08:34 - 00:08:39] 它找到了两个我们刚才注册进去的工具
[00:08:39 - 00:08:43] 一个叫get alas,一个叫get a full cast
[00:08:43 - 00:08:44] 没什么问题
[00:08:44 - 00:08:47] 接下来我们就教程里面是怎么说的
[00:08:47 - 00:08:50] 我们要问一下这个天气到底怎么样
[00:08:50 - 00:08:52] 薩克拉门托的天气怎么样
[00:08:52 - 00:08:53] 是吧
[00:08:53 - 00:08:54] 薩克拉门托
[00:08:54 - 00:08:55] 我们就用中文好了
[00:08:55 - 00:08:57] 它可能是英文的
[00:08:57 - 00:08:58] 我们来试一下
[00:08:58 - 00:08:59] 行不行
[00:08:59 - 00:09:02] 薩克拉门托天气怎么样
[00:09:02 - 00:09:03] 它说有个警告
[00:09:03 - 00:09:05] 那我们就允许这时候
[00:09:06 - 00:09:09] 他会去调萨克拉门托的这个天气情况
[00:09:09 - 00:09:11] 会把这个天气情况把它打印出来
[00:09:11 - 00:09:11] 对
[00:09:11 - 00:09:12] 我们再试第二个
[00:09:12 - 00:09:15] 这是德克萨斯州怎么样
[00:09:15 - 00:09:16] 德克萨斯州OK
[00:09:16 - 00:09:19] 德克萨斯州天气怎么样
[00:09:19 - 00:09:20] 他这个警告也很烦人
[00:09:20 - 00:09:21] 也是都会谈
[00:09:21 - 00:09:26] 那他这块可能是用一个地区编码来进行查询的
[00:09:26 - 00:09:28] 那这个时候他打印出来
[00:09:28 - 00:09:30] 德克萨斯州天气情况也比较糟糕
[00:09:30 - 00:09:32] 有严重的情况
[00:09:32 - 00:09:34] 有中等情況還有輕微的一些情況
[00:09:34 - 00:09:35] 但最終這個效果就
