BV号：BV1vuoCBsEeb
标题：BV1vuoCBsEeb
链接：https://www.bilibili.com/video/BV1vuoCBsEeb
识别语言：zh
语言置信度：1
分段数：267
生成时间：2026-08-29 08:13:45

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 上期视频我们解读了Deep Seek V4
[00:00:04 - 00:00:07] 在华为生腾等国产芯片上的表现
[00:04:02 - 00:04:04] 高通骁龙XZ的笔记本
[00:04:04 - 00:04:06] 能跑各种开源模型
[00:04:06 - 00:04:07] NPU的秘诀是什么
[00:04:07 - 00:04:10] 它不用那种贵的要死的高带宽内存
[00:04:10 - 00:04:12] 用的是低功耗的系统内存
[00:04:12 - 00:04:14] 所有优化都围绕一个目标
[00:04:14 - 00:04:15] 省电
[00:04:15 - 00:04:18] 所以NPU的应用场景就是边缘AI
[00:04:18 - 00:04:20] 你的手机手表眼镜
[00:04:20 - 00:04:22] 都会塞进一颗强大的NPU
[00:04:22 - 00:04:25] 这就是为什么苹果和高通都在死磕NPU
[00:04:25 - 00:04:26] 然后事情就开始变得有意思了
[00:04:26 - 00:04:30] 当所有人都觉得GPU和TPU已经够用的时候
[00:04:30 - 00:04:32] Grogg这个公司扔出了LPU
[00:04:32 - 00:04:33] 也就是语言处理单元
[00:04:33 - 00:04:36] LPU做了一个疯狂的决定
[00:04:36 - 00:04:37] 彻底干掉外部内存
[00:04:37 - 00:04:41] 所有的权重数据全部存在芯片内部的SREM里
[00:04:41 - 00:04:43] 这意味着什么
[00:04:43 - 00:04:46] 灵缓存位命中零调度开销
[00:04:46 - 00:04:48] 数据直接贴着算力跑
[00:04:48 - 00:04:49] 这个架构有多疯狂
[00:04:49 - 00:04:53] Grogg的LPU内存带宽是因为达Rubin GPU的7倍
[00:04:53 - 00:04:56] 推理速度理论上比GPU快100倍
[00:04:56 - 00:05:00] 实际测试中Grogg LPU能达到750tokens秒
[00:05:00 - 00:05:04] 同样的模型在GPU上只能达到几十tokens每秒
[00:05:04 - 00:05:05] 但这个架构也有代价
[00:05:05 - 00:05:07] 芯片内存有限
[00:05:07 - 00:05:10] 一个Grogg LPU只能放下相对较小的模型
[00:05:10 - 00:05:14] 要跑超大模型需要576个LPU芯片集连
[00:05:14 - 00:05:16] 所以Grogg的定位就是推理加速
[00:05:16 - 00:05:18] 不是要取代GPU做训练
[00:05:18 - 00:05:21] 而是在推理这个环节实现降维打击
[00:05:21 - 00:05:22] 还有Syribrus这个怪物
[00:05:22 - 00:05:26] 他们直接把一整块归精园做成了一个超大芯片
[00:05:26 - 00:05:30] 叫Wafer Scale Engine面积是普通芯片的几百倍
[00:05:30 - 00:05:31] 这个芯片有多强
[00:05:31 - 00:05:34] 推理速度达到了2000加Token's秒
[00:05:34 - 00:05:36] 比Chat GPT快30倍
[00:05:36 - 00:05:38] 某个癌症药物反应预测模型
[00:05:38 - 00:05:40] GPU上要跑几个小时
[00:05:40 - 00:05:42] 在Syribrus上只需要几分钟
[00:05:42 - 00:05:43] 速度快了几百倍
[00:05:43 - 00:05:46] 还有Acht Sabin Nova这些新锐厂商
[00:05:46 - 00:05:49] 都在用反直觉的架构挑战英伟达
[00:05:49 - 00:05:52] 回头看上期视频讲的国产芯片
[00:05:52 - 00:05:55] 华为生疼在底层做的显存质利多流并行
[00:05:55 - 00:06:00] 其实也是在用硬核的工程手段去榨干芯片的每一滴算力
[00:06:00 - 00:06:02] 海外新兴厂商是在架构上做颠覆
[00:06:02 - 00:06:06] 咱们的国产力量是在生态和底层调度上做极致优化
[00:06:06 - 00:06:08] 大家都在打破GPU的垄断
[00:06:08 - 00:06:11] 用专用芯片实现极致性能
[00:06:11 - 00:06:14] 很多人觉得英伟达的GPU互成核坚不可催
[00:06:14 - 00:06:16] 只要库大生态在谁也打不过
[00:06:16 - 00:06:19] 因为达的软件支持比任何竞争对手都强
[00:06:19 - 00:06:23] 但实际上 AI 的战场正在从训练转向推理
[00:06:23 - 00:06:26] 训练模型确实需要 GPU 的通用性和大显存
[00:06:26 - 00:06:28] 一个大模型训练可能需要几个月
[00:06:28 - 00:06:32] 这个过程需要灵活的编程模型需要大量显存
[00:06:32 - 00:06:34] GPU 在这方面确实无人能敌
[00:06:34 - 00:06:37] 但你用ChatGPT 聊天时那是推理
[00:06:37 - 00:06:40] 推理需要的是极低的延迟和极高的吞吐量
[00:06:40 - 00:06:41] 为什么
[00:06:41 - 00:06:44] 因为未来的 AI 不是你问一句它答一句
[00:06:44 - 00:06:46] 而是Agent是智能体
[00:06:46 - 00:06:49] 一个Agent需要在后台疯狂思考
[00:06:49 - 00:06:51] 调用各种工具查询数据库自我纠错
[00:06:51 - 00:06:54] 延迟太高的话整个Agent就没法用
[00:06:54 - 00:06:56] 一个Agent可能需要做100次推理
[00:06:56 - 00:06:57] 才能完成一个任务
[00:06:57 - 00:06:59] 每次推理都要等几秒钟
[00:06:59 - 00:07:01] 用户体验就完全毁了
[00:07:01 - 00:07:04] 所以LPU这种专为推理优化的架构
[00:07:04 - 00:07:05] 就成了降维打击
[00:07:05 - 00:07:08] 能把延迟从几秒降到几百毫秒
[00:07:08 - 00:07:09] 这是智的飞跃
[00:07:09 - 00:07:12] 看到这你可能会想那未来到底谁会赢
[00:07:12 - 00:07:14] GPU会被淘汰吗
[00:07:14 - 00:07:16] LPU值谈话一线吗?
[00:07:16 - 00:07:17] 我的答案是
[00:07:17 - 00:07:18] 没有绝对的赢家
[00:07:18 - 00:07:20] 只有场景的王者
[00:07:20 - 00:07:22] 想象一个算力不可能三角
[00:07:22 - 00:07:24] 三个领点是灵活性
[00:07:24 - 00:07:25] 极致性能
[00:07:25 - 00:07:27] 极低功耗
[00:07:27 - 00:07:28] 你最多只能占两样
[00:07:28 - 00:07:30] CPU占了灵活性和通用性
[00:07:30 - 00:07:32] 但性能平庸功耗爆炸
[00:07:32 - 00:07:34] GPU占了灵活性和性能
[00:07:34 - 00:07:36] 但功耗爆炸成本高昂
[00:07:36 - 00:07:39] TPU占了极致性能和相对低功耗
[00:07:39 - 00:07:40] 但牺牲了通用性
[00:07:40 - 00:07:43] NPU占了低功耗和特定性能
[00:07:43 - 00:07:44] 但算力有上限
[00:07:44 - 00:07:47] LPU占了极致性能和低延迟
[00:07:47 - 00:07:49] 但牺牲了灵活性和内存容量
[00:07:49 - 00:07:52] 所以未来的AI硬件一定是走向极度分化的
[00:07:52 - 00:07:54] 不是一种芯片统治天下
[00:07:54 - 00:07:56] 而是各种芯片各自其职
[00:07:56 - 00:07:58] 云端数据中心用GPU做训练用
[00:07:58 - 00:08:00] LPU做推理
[00:08:00 - 00:08:02] 边缘设备用NPU做本地推理
[00:08:02 - 00:08:05] 特殊场景用定制Ezik做特定任务
[00:08:05 - 00:08:06] 这就是未来的样子
[00:08:06 - 00:08:08] 接下来会发生什么
[00:08:08 - 00:08:10] 第一云端算力会彻底结偶
[00:08:10 - 00:08:12] 训练用GPU和TPU
[00:08:12 - 00:08:14] 推理用LPU和定制ASIC
[00:08:14 - 00:08:16] 未来的云厂商需要维护多种芯片
[00:08:16 - 00:08:18] AWS已经开始这样做了
[00:08:18 - 00:08:21] 同时支持GPUTranium Cerebrus
[00:08:21 - 00:08:23] 第二边源AI会迎来大爆发
[00:08:23 - 00:08:27] 你的手机手表眼镜都会塞进强大的NPU
[00:08:27 - 00:08:30] 大量AI计算会从云端下沉到设备端
[00:08:30 - 00:08:33] 这对隐私保护成本控制都是好事
[00:08:33 - 00:08:36] 第三多芯片协同会成为常态
[00:08:36 - 00:08:40] 亚马逊的Tranium芯片已经开始和各种加速器打配合了
[00:08:40 - 00:08:43] Google的TPO也在和其他芯片协同
[00:08:43 - 00:08:46] 未来的大模型推理可能需要多种芯片的配合
[00:08:46 - 00:08:49] 第四 芯片设计会越来越专用化
[00:08:49 - 00:08:52] 不再是同用的GPU而是针对特定任务的ISIC
[00:08:52 - 00:08:56] 芯片设计的门槛会降低 但竞争会加剧
[00:08:56 - 00:08:58] 第五 酸力的成本会急剧下降
[00:08:58 - 00:09:02] 当有多种芯片可选时 价格竞争会非常激烈
[00:09:02 - 00:09:04] 这对AI应用的普及是巨大的利好
[00:09:04 - 00:09:07] 酸力的形态正在被彻底重构
[00:09:07 - 00:09:10] 酸力的镜头是极致的克制与专一
[00:09:10 - 00:09:12] 最强的芯片不是什么都能做的芯片
[00:09:12 - 00:09:14] 而是专注于一个场景
[00:09:14 - 00:09:16] 把这个场景做到极致的芯片
[00:09:16 - 00:09:19] GPU之所以强是因为它专注于病情计算
[00:09:19 - 00:09:23] LPU之所以快是因为它专注于低延迟推理
[00:09:23 - 00:09:26] NPU之所以省电是因为它专注于边缘推理
[00:09:26 - 00:09:28] 未来的竞争不是谁更强
[00:09:28 - 00:09:29] 而是谁更专
[00:09:29 - 00:09:32] 你觉得未来谁能真正挑战英伟达的霸权
[00:09:32 - 00:09:35] 是谷歌的TPU Grock的LPU
[00:09:35 - 00:09:38] 还是咱们上期讲的华为生腾等国产力量
[00:09:38 - 00:09:41] 或者说你觉得会不会出现一个我们还没想到的新架构
[00:09:41 - 00:09:43] 欢迎在评论区告诉我你的想法
[00:09:43 - 00:09:46] 我是为什么叫QQ,我们下期见
[00:09:46 - 00:09:49] 别忘了一键三连,你的支持是我继续做内容的动力
