BV号：BV1hDPTzKE9N
标题：BV1hDPTzKE9N
链接：https://www.bilibili.com/video/BV1hDPTzKE9N
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-29 20:58:22

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 2026年2月26日
[00:05:45 - 00:05:47] 把它捐给了Linux基金会
[00:05:47 - 00:05:50] 希望它成为下一代软件开发的基石
[00:05:50 - 00:05:51] 现在你明白了吗
[00:05:51 - 00:05:54] Dorsi的裁员不是简单的用AIT带人
[00:05:54 - 00:05:57] 它是在从根本上重构公司的操作系统
[00:05:57 - 00:05:59] 过去公司的信息流和工作流
[00:05:59 - 00:06:02] 是通过层级部门会议和邮件来驱动的
[00:06:02 - 00:06:03] 而在未来的Block
[00:06:03 - 00:06:06] 驱动这一切的将是AI代理和他们背后的协议
[00:06:06 - 00:06:09] 人类员工的角色将从执行者
[00:06:09 - 00:06:10] 转变为任务的定义者
[00:06:10 - 00:06:12] 监督者和创造者
[00:06:12 - 00:06:14] 这是一种组织层面的去中心化
[00:06:14 - 00:06:17] 就像Dorssey一直信奉的比特币一样
[00:06:17 - 00:06:18] 试图移出中间环节
[00:06:18 - 00:06:21] 让价值和信息更自由更高效的流动
[00:06:21 - 00:06:23] 这才是他所说的
[00:06:23 - 00:06:24] 从根本上改变了
[00:06:24 - 00:06:27] 构建和运营一家公司的意义的真正内涵
[00:06:27 - 00:06:29] 当我们把视线从Block拉远
[00:06:29 - 00:06:31] 会发现这绝不是个例
[00:06:31 - 00:06:32] 根据统计
[00:06:32 - 00:06:34] 仅2026年的前两个月
[00:06:34 - 00:06:36] 全球科技行业就有近5万人
[00:06:36 - 00:06:37] 因为AI而失业
[00:06:37 - 00:06:39] 亚马逊Pinterest
[00:06:39 - 00:06:40] CrowDragChag
[00:06:40 - 00:06:41] 这份名单越来越长
[00:06:41 - 00:06:42] 风险投资家前
[00:06:42 - 00:06:43] Koinbase CTO
[00:06:43 - 00:06:45] Belagio Sriniva San
[00:06:45 - 00:06:46] 将Block的这次裁员
[00:06:46 - 00:06:48] 称为第一次AI裁员
[00:06:48 - 00:06:50] 他警告所有技术工作者
[00:06:50 - 00:06:51] 现在就去变强
[00:06:51 - 00:06:52] Dorssey自己也在
[00:06:52 - 00:06:54] 财报电话会议上预言
[00:06:54 - 00:06:55] 大多数公司会在一年内
[00:06:55 - 00:06:56] 得出相同的结论
[00:06:56 - 00:06:58] 并做出类似的结构性改变
[00:06:58 - 00:06:59] 他说我认为
[00:06:59 - 00:07:01] 我们对这个认知并不超前
[00:07:01 - 00:07:03] 我认为大多数公司都落后了
[00:07:03 - 00:07:05] 这听起来像一个冰冷的预告
[00:07:05 - 00:07:07] 宣告了一个时代的结束
[00:07:07 - 00:07:08] 和另一个时代的开启
[00:07:08 - 00:07:11] 在这个新时代公司的核心竞争力
[00:07:11 - 00:07:12] 不再是拥有多少员工
[00:07:12 - 00:07:15] 而是其AI能力和人机协同的效率有多高
[00:07:15 - 00:07:17] 这里有一个数字值得我们深思
[00:07:17 - 00:07:21] Block的目标是每名员工创造200万美元的毛利润
[00:07:21 - 00:07:23] 在Dorssey的设想中
[00:07:23 - 00:07:27] 未来的每一名员工都必须是一个能够驾驭AI工具
[00:07:27 - 00:07:29] 创造巨大杠杆效应的超级个体
[00:07:29 - 00:07:32] 而不是一个只负责执行单一任务的罗斯丁
[00:07:32 - 00:07:35] 当然我们不能忽视这个故事的另一面
[00:07:35 - 00:07:41] 人性每一个被裁掉的四千分之一都是一个先活的个体一个家庭
[00:07:41 - 00:07:44] Dorsy在信中也试图展现温情
[00:07:44 - 00:07:46] 他提供了极其优厚的离职补偿
[00:07:46 - 00:07:49] 二十周基本工资加上每年工临额外一周
[00:07:49 - 00:07:51] 股权加速行权至五月底
[00:07:51 - 00:07:53] 六个月的医疗保险
[00:07:53 - 00:07:55] 以及五千美元的过渡基金
[00:07:55 - 00:07:58] 他保留了slack和邮件的沟通渠道直到周四
[00:07:58 - 00:08:00] 让大家可以好好告别
[00:08:00 - 00:08:00] 他说
[00:08:00 - 00:08:03] 我宁愿他感觉尴尬和人性化
[00:08:03 - 00:08:05] 也不愿他高效而冷酷
[00:08:05 - 00:08:07] 但这无法掩盖一个残酷的现实
[00:08:07 - 00:08:09] 当技术范图发生转移时
[00:08:09 - 00:08:12] 旧有的技能和岗位必然会面临被淘汰的风险
[00:08:12 - 00:08:15] 这无关个人努力而是一个结构性的变迁
[00:08:15 - 00:08:18] 就像工业革命时期的手工业者
[00:08:18 - 00:08:20] 或者互联网时代被颠覆的传统
[00:08:20 - 00:08:21] 媒体从业者一样
[00:08:21 - 00:08:23] 他们并没有做错什么
[00:08:23 - 00:08:25] 只是时代的齿轮转动了
[00:08:25 - 00:08:27] 所以回到我们每个人身上
[00:08:27 - 00:08:29] Jack Dorsey和Block的故事
[00:08:29 - 00:08:31] 给我们带来的不应仅仅是震惊或焦虑
[00:08:31 - 00:08:33] 而因是深刻的警警和思考
[00:08:33 - 00:08:35] 他告诉我们未来以来
[00:08:35 - 00:08:39] 我们不能再将AI仅仅视为一个提效的工具
[00:08:39 - 00:08:41] 而是要理解它正在成为
[00:08:41 - 00:08:43] 整个商业环境的基础设施
[00:08:43 - 00:08:45] 我们需要思考如何与AI协同
[00:08:45 - 00:08:47] 而不是被AI替代
[00:08:47 - 00:08:48] 我们需要培养定义问题
[00:08:48 - 00:08:50] 提出创造性解决方案
[00:08:50 - 00:08:52] 以及监督和引导AI的能力
[00:08:52 - 00:08:56] 这或许才是未来世界中最稀缺的价值所在
[00:08:56 - 00:08:57] Dorsi在信的最后
[00:08:57 - 00:08:58] 对留下来的员工说
[00:08:58 - 00:09:00] 我要求你们和我一起构建
[00:09:00 - 00:09:03] 我们将把智能至于我们所做一切的核心
[00:09:03 - 00:09:06] 我们的工作方式 我们的创造方式
[00:09:06 - 00:09:07] 我们服务客户的方式
[00:09:07 - 00:09:10] 这句话不仅仅是对Block员工说的
[00:09:10 - 00:09:12] 也是对所有身处这个时代的人说的
[00:09:12 - 00:09:14] Jack Dorsey的这场好赌
[00:09:14 - 00:09:16] 究竟会把他和Block带向何方
[00:09:16 - 00:09:17] 我们尚不得而知
[00:09:17 - 00:09:19] 但这无疑是AI时代企业组织
[00:09:19 - 00:09:22] 变革打响的最响亮的一枪
[00:09:22 - 00:09:23] 它迫使我们每一个人
[00:09:23 - 00:09:24] 去思考一个终极问题
[00:09:24 - 00:09:26] 一个从古至今的哲人们
[00:09:26 - 00:09:28] 就在不断追问的问题
[00:09:28 - 00:09:30] 在极其越来越智能的未来
[00:09:30 - 00:09:31] 我们作为人的独特价值
[00:09:31 - 00:09:32] 究竟是什么
[00:09:32 - 00:09:37] 三百多年前,法国思想家帕斯卡尔在思想录中写道
[00:09:37 - 00:09:40] 人只不过是一根卢尾,是自然界最脆弱的东西
[00:09:40 - 00:09:42] 但它是一根能思想的卢尾
[00:09:42 - 00:09:46] 在AI这个新兴的看似无所不能的新势里面前
[00:09:46 - 00:09:49] 我们每个人的个体力量确实如同卢尾般脆弱
[00:09:49 - 00:09:51] 但帕斯卡尔的重点在后半句
[00:09:51 - 00:09:52] 思想
[00:09:52 - 00:09:55] 我们的尊严恰恰在于我们能够思想
[00:09:55 - 00:09:58] 能够意识到自身的脆弱和宇宙的浩瀚
[00:09:58 - 00:10:00] 那么AI时代的思想又意味着什么
[00:10:00 - 00:10:05] 或许哲学家哈纳阿伦特在人的条件中给了我们最好的答案
[00:10:05 - 00:10:07] 他将人的活动分为三种
[00:10:07 - 00:10:08] 劳动
[00:10:08 - 00:10:08] 工作
[00:10:08 - 00:10:09] 和行动
[00:10:09 - 00:10:13] AI可以完美的接管劳动那些重复的维持生命的活动
[00:10:13 - 00:10:17] AI也可以高效地完成工作那些制造物品产出结果的任务
[00:10:17 - 00:10:20] 但唯有行动是AI永远无法染指的领域
[00:10:20 - 00:10:21] 什么是行动
[00:10:21 - 00:10:22] 阿伦特说
[00:10:22 - 00:10:24] 行动是在我们彼此之间
[00:10:24 - 00:10:27] 通过言语和行为来展现我们是谁
[00:10:27 - 00:10:28] 来开启新的事物
[00:10:28 - 00:10:30] 来承担不可预测的后果
[00:10:30 - 00:10:37] 他关乎创造,关乎选择,关乎责任,关乎在公共领域中展现每个人的独一无二。
[00:10:37 - 00:10:42] 这正是机器无法模拟的人性关挥,这让我们想到了维克多·弗兰克尔,
[00:10:42 - 00:10:49] 以为在纳粹集中营中幸存下来的心理学家,他在活出生命的意义中写下了这样震撼人心的话。
[00:10:49 - 00:10:53] 人所拥有的任何东西都可以被剥夺,唯独人性最后的自由,
[00:10:53 - 00:10:58] 也就是在任何境域中选择一几态度和生活方式的自由不能被剥夺。
[00:10:58 - 00:11:02] 当工作技能甚至职业身份都可能被 AI 剥夺时
[00:11:02 - 00:11:03] 我们最后剩下的
[00:11:03 - 00:11:06] 也正是这种弗兰克尔所说的终极自由
[00:11:06 - 00:11:09] 选择去相信什么选择去创造什么选择去爱什么
[00:11:09 - 00:11:12] 选择如何与他人建立深刻的连接
[00:11:12 - 00:11:15] 选择赋予我们自己的人生何种意义
[00:11:15 - 00:11:17] 所以 Jack Dorsey 的变革
[00:11:17 - 00:11:19] 或许不是一个结束而是一个开始
[00:11:19 - 00:11:23] 他以一种残酷的方式将我们从工具人的意画中惊醒
[00:11:23 - 00:11:25] 迫使我们去成为一个更完整的人
[00:11:25 - 00:11:28] AI 的崛起不是为了让我们无事可做
[00:11:28 - 00:11:31] 而是为了让我们去做那些真正重要的事
[00:11:31 - 00:11:33] 在机器越来越智能的未来
[00:11:33 - 00:11:34] 我们作为人的独特价值
[00:11:34 - 00:11:36] 或许不在于我们能做什么
[00:11:36 - 00:11:38] 而在于我们选择成为谁
[00:11:38 - 00:11:40] 好了今天的内容就到这里
[00:11:40 - 00:11:42] 关于这个话题你有什么看法
[00:11:42 - 00:11:44] 你认为人的独特价值是什么
[00:11:44 - 00:11:46] 欢迎在评论区留下你的思考
[00:11:46 - 00:11:47] 我很期待和大家讨论
[00:11:47 - 00:11:49] 如果你觉得这期内容对你有启发
[00:11:49 - 00:11:51] 请不要吝啬你的一见三连
[00:11:51 - 00:11:54] 你们的支持是我持续创作的最大动力
[00:11:54 - 00:11:55] 我是为什么叫QQ
[00:11:55 - 00:11:57] 我们下期再见
