BV号：BV18ackzsEvz
标题：BV18ackzsEvz
链接：https://www.bilibili.com/video/BV18ackzsEvz
识别语言：zh
语言置信度：1
分段数：165
生成时间：2026-08-29 20:25:29

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 10.3亿美元
[00:03:28 - 00:03:31] 是用更多的文字数据来逼近智能
[00:03:31 - 00:03:33] 但这条路有天花板
[00:03:33 - 00:03:36] 真正的智能需要建立在对物理世界的理解之上
[00:03:36 - 00:03:38] 历史上有个类似的转折点
[00:03:38 - 00:03:39] 1990年代
[00:03:39 - 00:03:42] 符号主义AI曾经统治整个领域
[00:03:42 - 00:03:43] 研究者们相信
[00:03:43 - 00:03:45] 只要把足够多的规则写进去
[00:03:45 - 00:03:47] 机器就能变聪明
[00:03:47 - 00:03:48] 结果呢
[00:03:48 - 00:03:51] 深度学习用数据驱动的方式把它彻底颠覆了
[00:03:52 - 00:03:55] 现在杨丽坤认为语言模型也面临同样的天花板
[00:03:56 - 00:03:58] 那AM My Labs接下来会怎么走
[00:03:58 - 00:03:59] 我有三个判断
[00:03:59 - 00:04:02] 假设1 世界模型的第一个落地场景
[00:04:02 - 00:04:03] 大概率是医疗
[00:04:04 - 00:04:06] AM My Labs的第一个合作伙伴是Nabla
[00:04:06 - 00:04:08] 一家数字健康公司
[00:04:08 - 00:04:09] 这不是偶然
[00:04:09 - 00:04:12] 医疗是对AI可靠性要求最高的场景
[00:04:12 - 00:04:14] 也是语言模型幻觉问题最致命的地方
[00:04:15 - 00:04:17] 如果世界模型能在这里证明自己
[00:04:17 - 00:04:19] 他的可信度就会迅速建立
[00:04:19 - 00:04:20] 假设2
[00:04:20 - 00:04:22] 这是一场长期主义的堵住
[00:04:22 - 00:04:23] 至少需要5年
[00:04:23 - 00:04:24] LeBron说的很直接
[00:04:25 - 00:04:26] 这不是那种3个月初产品
[00:04:27 - 00:04:29] 6个月有收入的AI创业公司
[00:04:29 - 00:04:31] 世界模型从理论到商业应用
[00:04:31 - 00:04:32] 可能需要数年
[00:04:33 - 00:04:34] 但这也意味着
[00:04:34 - 00:04:36] AMI Labs现在拿到的10亿美元
[00:04:36 - 00:04:37] 买到的是时间
[00:04:37 - 00:04:39] 在竞争对手还没反映过来之前
[00:04:39 - 00:04:41] 把基础研究做扎实
[00:04:41 - 00:04:41] 假设3
[00:04:42 - 00:04:45] 开源将成为AMI Labs最重要的互成合
[00:04:45 - 00:04:46] LeBron承诺
[00:04:46 - 00:04:48] 发表论文开源代码
[00:04:48 - 00:04:50] 在一个大公司越来越封闭的时代
[00:04:50 - 00:04:52] 这个策略能快速聚集研究社区
[00:04:52 - 00:04:55] 吸引顶级人才形成生态
[00:04:55 - 00:04:57] Deepseak在中国的崛起已经证明了这一点
[00:04:57 - 00:04:59] 开源不是让步是战略
[00:04:59 - 00:05:02] 有两句话我觉得放在这里特别合适
[00:05:02 - 00:05:04] 图灵在1950年的论文里写道
[00:05:04 - 00:05:07] 我们只能看到眼前很短的距离
[00:05:07 - 00:05:09] 但我们能看到的已经足够多了
[00:05:09 - 00:05:09] 费曼说过
[00:05:09 - 00:05:12] 我无法理解我无法创造的东西
[00:05:12 - 00:05:15] 这两句话恰好描述了世界模型的野心
[00:05:15 - 00:05:17] AI不应该只是看到语言
[00:05:17 - 00:05:19] 它应该能够创造对世界的理解
[00:05:19 - 00:05:21] 我想留一个问题给你
[00:05:21 - 00:05:25] 世界模型和大语言模型这两条路最终会合并
[00:05:25 - 00:05:26] 还是会彻底分刀扬标
[00:05:26 - 00:05:29] 你觉得五年后的AI会更像Chat GPT
[00:05:29 - 00:05:32] 还是更像杨丽坤描述的那种
[00:05:32 - 00:05:34] 能理解物理世界的系统
[00:05:34 - 00:05:35] 评论区告诉我你的判断
[00:05:35 - 00:05:37] 如果这期内容对你有价值
[00:05:37 - 00:05:38] 记得一键三连
[00:05:38 - 00:05:40] 这是对我最大的支持
[00:05:40 - 00:05:41] 我们下期见
