BV号：BV1EHqYYtEUL
标题：BV1EHqYYtEUL
链接：https://www.bilibili.com/video/BV1EHqYYtEUL
识别语言：zh
语言置信度：1
分段数：379
生成时间：2026-08-31 03:31:06

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 2024年 诺贝尔物理学奖
[00:00:05 - 00:00:07] 首次受益了人工智能领域的科学家
[00:01:46 - 00:01:48] 可能会有多个能量的最低点
[00:01:48 - 00:01:50] 但是网络的最终状态
[00:01:50 - 00:01:53] 取决于它的出使配置和神经员的更新顺序
[00:01:53 - 00:01:56] 后肺耳的网络还可以用来存储记忆
[00:01:56 - 00:01:57] 怎么存储呢
[00:01:57 - 00:02:00] 就是把能量最低点对应到记忆上
[00:02:00 - 00:02:02] 比如说我们有一个部分的记忆
[00:02:02 - 00:02:05] 通过不断的应用实际员的决策规则
[00:02:05 - 00:02:07] 网络最终会稳定在一个能量的最低点
[00:02:07 - 00:02:11] 这个过程就像是把零散的记忆碎片拼凑完整
[00:02:11 - 00:02:14] 从而实现了一种内容可寻止的记忆
[00:02:14 - 00:02:17] 也就是说虽然你只记得一件事情的一部分
[00:02:17 - 00:02:19] 但是通过这个网络
[00:02:19 - 00:02:21] 它能够自动补权剩下的部分
[00:02:21 - 00:02:22] 除了存储記憶
[00:02:22 - 00:02:25] 霍夫菲爾德網路還有另外一個用途
[00:02:25 - 00:02:27] 就是構建對感官書的解釋
[00:02:27 - 00:02:29] 其中的核心思想是
[00:02:29 - 00:02:33] 一個網路可以同時包含可見神經元和隱藏神經元
[00:02:33 - 00:02:35] 可見神經元用來接收感官的書
[00:02:35 - 00:02:39] 而隱藏神經元則用來構建對感官書的解釋
[00:02:39 - 00:02:43] 如果我們用網路配置的能量來表示解釋的壞度
[00:02:43 - 00:02:46] 那麼就會希望獲得能量較低的解釋
[00:02:46 - 00:02:48] 考慮到當我們看到一幅模糊的畫時
[00:02:48 - 00:02:51] 大腦的通常會有不同的理解方式
[00:02:51 - 00:02:54] 那能不能讓神經網絡也具有這種能力呢
[00:02:54 - 00:02:55] 為了解決這個問題
[00:02:55 - 00:02:57] 我們需要設計一個特殊的神經網絡
[00:02:57 - 00:03:00] 首先我們需要用線條神經圓
[00:03:00 - 00:03:02] 來表示圖像中的線條
[00:03:02 - 00:03:04] 這些神經圓的激活狀態
[00:03:04 - 00:03:06] 對應著圖像中出現的具體線條
[00:03:06 - 00:03:10] 然後因為每根線條可能對應著多個三維邊緣
[00:03:10 - 00:03:13] 所以我們就需要把這些線條神經圓
[00:03:13 - 00:03:15] 連接到一系列三維的邊緣神經圓上
[00:03:15 - 00:03:18] 但是由於每條二維的線
[00:03:18 - 00:03:20] 只能對應一個真實的三維邊緣
[00:03:20 - 00:03:23] 所以这些边缘神源之间需要相互的意志
[00:03:23 - 00:03:24] 除此之外
[00:03:24 - 00:03:27] 我们还需要加入一些基本的视觉解释原则
[00:03:27 - 00:03:31] 比如说当图像中的两条线相连的时候
[00:03:31 - 00:03:34] 我们通常会认为他们在三维空间中也是相连的
[00:03:34 - 00:03:35] 为了实现这一点
[00:03:35 - 00:03:37] 我们就要在那些共享端点的
[00:03:37 - 00:03:40] 三维边缘神源之间添加强化连接
[00:03:40 - 00:03:43] 特别是当两条边缘成直角相交的时候
[00:03:43 - 00:03:45] 这种连接会更强
[00:03:45 - 00:03:47] 因为直角是一种很常见
[00:03:47 - 00:03:49] 也很重要的视觉特征
[00:03:49 - 00:03:51] 通过这样的方式 神经网络就能模拟
[00:03:51 - 00:03:55] 人类视觉系统对二维图像进行三维解释的过程
[00:03:55 - 00:03:58] 而且可能还会产生多种合理的解释结果
[00:03:58 - 00:04:01] 但是 这里会引出两个主要的问题
[00:04:01 - 00:04:02] 第一个是搜索问题
[00:04:02 - 00:04:05] 如果我们想用隐藏神经员来解读
[00:04:05 - 00:04:07] 有可见神经员表示的图像
[00:04:07 - 00:04:09] 怎么避免陷入局部的最优点呢
[00:04:09 - 00:04:12] 网络可能会停留在一个相对较差的解读中
[00:04:12 - 00:04:14] 而无法跳到一个更好的解读
[00:04:14 - 00:04:16] 第二个是学习问题
[00:04:16 - 00:04:18] 之前我们说的这些连接
[00:04:18 - 00:04:20] 好像是我们手动添加的
[00:04:20 - 00:04:22] 但实际上我们希望神经网络
[00:04:22 - 00:04:24] 能够自己学会添加这些连接
[00:04:24 - 00:04:27] 就像小孩子自己学会认识世界一样
[00:04:27 - 00:04:29] 不需要别人一直告诉他该怎么做
[00:04:30 - 00:04:31] 在解决搜索问题的时候
[00:04:31 - 00:04:34] 神经员的随机性就起到了关键的作用
[00:04:34 - 00:04:36] 在标准的霍普菲尔德网络中
[00:04:36 - 00:04:38] 神经员的决策规则是确定性的
[00:04:38 - 00:04:41] 一旦进入到某个能量最低点
[00:04:41 - 00:04:43] 就只能沿着能量下降的方向移动
[00:04:43 - 00:04:46] 这就可能导致系统被困在局部罪幽解中
[00:04:46 - 00:04:48] 找不到全局罪幽解
[00:04:48 - 00:04:49] 为了克服这个限制
[00:04:49 - 00:04:52] 我们就需要引入随机二元神经元的概念
[00:04:52 - 00:04:55] 这种神经元虽然还是只有两种状态
[00:04:55 - 00:04:57] 但是他们的行为是概率性的
[00:04:57 - 00:05:00] 当接触到强烈的正输入信号时候
[00:05:00 - 00:05:02] 他们几乎肯定会被激活
[00:05:02 - 00:05:04] 当接触到强烈的负输入信号时候
[00:05:04 - 00:05:06] 它几乎肯定会被关闭
[00:05:06 - 00:05:09] 但是当输入信号接近于零的时候
[00:05:09 - 00:05:11] 它的行为就不确定了
[00:05:11 - 00:05:14] 比如说即使接触到正输入
[00:05:14 - 00:05:16] 它也可能偶尔保持关闭的状态
[00:05:16 - 00:05:19] 接触到付出物的时候也可能偶尔被激活
[00:05:19 - 00:05:21] 这种概率性的决策机制
[00:05:21 - 00:05:24] 在处理二元图像的时候特别有用
[00:05:24 - 00:05:27] 我们可以把图像的二元数据固定在可见单元上
[00:05:27 - 00:05:30] 然后对隐藏神女员随机出示化
[00:05:30 - 00:05:34] 在更新过程中随机选择一个隐藏神女员
[00:05:34 - 00:05:37] 计算她从其他激活神女员接收到的总输入
[00:05:37 - 00:05:39] 然后根据输入的强度和符号
[00:05:39 - 00:05:41] 做出概率性的决策
[00:05:41 - 00:05:43] 如果总输入为强正值
[00:05:43 - 00:05:45] 那么这个神女员很可能被激活
[00:05:45 - 00:05:47] 如果總輸入為強複值
[00:05:47 - 00:05:49] 這個神女員很可能被關閉
[00:05:49 - 00:05:51] 如果總輸入接近於0
[00:05:51 - 00:05:54] 神女員的狀態就要通過概率分布來決定
[00:05:54 - 00:05:57] 通過持續運用這個隨機更新的規則
[00:05:57 - 00:06:00] 系統最終會達到一種叫做熱平衡的狀態
[00:06:00 - 00:06:03] 熱平衡是一個來自於物理學的概念
[00:06:03 - 00:06:06] 它描述的是系統在隨機波動中
[00:06:06 - 00:06:08] 達到的一種動態平衡狀態
[00:06:08 - 00:06:11] 這個機制就像是給網絡裝上了一對翅膀
[00:06:11 - 00:06:13] 讓它能夠跳出局部最優解
[00:06:13 - 00:06:15] 去探索更廣闊的解空間
[00:06:15 - 00:06:17] 從而有可能找到更好的全具解
[00:06:17 - 00:06:18] 一旦達到熱平衡
[00:06:18 - 00:06:22] 隱藏神經源的狀態就成為了對書的一種解讀
[00:06:22 - 00:06:24] 比如說對於耐克方塊耐克Q
[00:06:24 - 00:06:25] 這幅線條圖
[00:06:25 - 00:06:28] 如果我們能夠學習到二維線條神經源
[00:06:28 - 00:06:31] 和三維邊緣神經源之間的正確權重
[00:06:31 - 00:06:34] 以及三維邊緣神經源之間的正確權重
[00:06:34 - 00:06:36] 那麼網絡的低能量狀態
[00:06:36 - 00:06:38] 就可能對應著圖像的良好解讀
[00:06:38 - 00:06:41] 也就是看到一個3D的舉行物體
[00:06:41 - 00:06:43] 這裡的熱平衡並不是說系統的狀態
[00:06:43 - 00:06:45] 就完全穩定不變了
[00:06:45 - 00:06:49] 真正稳定下来的其实是一个更加抽象更难理解的东西
[00:06:49 - 00:06:52] 也就是系统所有配置的概率分布
[00:06:52 - 00:06:55] 对于普通人来说这确实有点难以理解
[00:06:55 - 00:06:58] 简单来说系统会趋向一种特定的分布
[00:06:58 - 00:07:00] 叫做波尔兹曼分布
[00:07:00 - 00:07:02] 在达到热平衡后
[00:07:02 - 00:07:04] 系统处于某个特定配置的概率
[00:07:04 - 00:07:06] 只由这个配置的能量决定
[00:07:06 - 00:07:08] 能量越低 概率就越高
[00:07:08 - 00:07:11] 打个比方 这就好像在一个班级里
[00:07:11 - 00:07:14] 处于低能量状态的成绩好的同学
[00:07:14 - 00:07:16] 被老师表扬的机会就更大
[00:07:16 - 00:07:17] 概率也越高
[00:07:17 - 00:07:19] 为了帮助大家理解热平衡
[00:07:19 - 00:07:20] 物理学家有一个小技巧
[00:07:20 - 00:07:23] 你可以想象有一个非常大的集合
[00:07:23 - 00:07:25] 里面包含无数个完全相同的网络
[00:07:25 - 00:07:28] 这些霍普菲尔的网络的权重都一样
[00:07:28 - 00:07:30] 本质上是同一个系统
[00:07:30 - 00:07:33] 但是每个网络的初始状态是随机的
[00:07:33 - 00:07:36] 而且他们各自可以独立的做出随机的决策
[00:07:36 - 00:07:40] 一开始每个可能的配置都会对应一定比例的网络
[00:07:40 - 00:07:43] 而这个比例只取决于初始状态
[00:07:43 - 00:07:45] 比如說隨機出席化的時候
[00:07:45 - 00:07:47] 所有的配置會相等概率的出現
[00:07:47 - 00:07:49] 但是當你開始運行算法
[00:07:49 - 00:07:51] 不斷更新神經元的狀態
[00:07:51 - 00:07:53] 讓它傾向於降低能量之後
[00:07:53 - 00:07:56] 慢慢的每個配置對應的網絡比例
[00:07:56 - 00:07:57] 就會穩定下來
[00:07:57 - 00:08:00] 雖然每個網絡可能會在不同的配置之間跳躍
[00:08:00 - 00:08:03] 但是所有網絡中某個特定配置的比例
[00:08:03 - 00:08:04] 會保持穩定
[00:08:04 - 00:08:07] 這種現象就叫做細緻平衡
[00:08:07 - 00:08:08] Detail Balance
[00:08:08 - 00:08:10] 接下來新頓講了一下
[00:08:10 - 00:08:12] 人工智能是怎麼生成圖像的
[00:08:12 - 00:08:14] 生生图像的过程是这样的
[00:08:14 - 00:08:15] 先让所有的神经员
[00:08:15 - 00:08:17] 包括隐藏神经员和可见神经员
[00:08:17 - 00:08:19] 都处于随机的状态
[00:08:19 - 00:08:21] 然后随机选择一个隐藏神经员
[00:08:21 - 00:08:22] 或者是可见神经员
[00:08:22 - 00:08:25] 根据随机的规则来更新他的状态
[00:08:25 - 00:08:27] 如果他接收到大量正书路的话
[00:08:27 - 00:08:29] 就可能被激活
[00:08:29 - 00:08:30] 如果他接收到大量复书
[00:08:30 - 00:08:31] 就可能关闭
[00:08:31 - 00:08:33] 如果输入接近零
[00:08:33 - 00:08:34] 行为就会有点随机
[00:08:34 - 00:08:36] 不断重复这个过程
[00:08:36 - 00:08:38] 直到系统接近于热平衡的状态
[00:08:38 - 00:08:40] 这时候可见单元的状态
[00:08:40 - 00:08:41] 就是网络生成的图像
[00:08:42 - 00:08:44] 这个图像来源于网络所相信的
[00:08:44 - 00:08:45] 布尔兹曼分布
[00:08:45 - 00:08:46] 在这个分布里
[00:08:46 - 00:08:47] 低能量的配置
[00:08:47 - 00:08:49] 比高能量的配置更可能出现
[00:08:49 - 00:08:52] 这个网络会相信很多可能的图像
[00:08:52 - 00:08:54] 但是你可以从中选择一个
[00:08:54 - 00:08:55] 它相信的图像
[00:08:55 - 00:08:56] 在布尔兹曼机里
[00:08:56 - 00:08:58] 学习目标就是让网络
[00:08:58 - 00:08:59] 在生成图像的时候
[00:08:59 - 00:09:00] 让这些图像看起来
[00:09:00 - 00:09:03] 像是它在真实感之中看到的图像
[00:09:03 - 00:09:04] 如果能做到这一点
[00:09:04 - 00:09:05] 隐藏审券的状态
[00:09:05 - 00:09:08] 就能够成为解读真实图像的有效方式
[00:09:08 - 00:09:11] 他们就能够捕捉到图像中的结构信息
[00:09:11 - 00:09:13] 就像我们大脑中的神经员
[00:09:13 - 00:09:15] 能够捕捉到视觉场景中的结构一样
[00:09:15 - 00:09:17] 波尔兹曼基是怎么学习的呢?
[00:09:17 - 00:09:20] 这就涉及到他的学习算法了
[00:09:20 - 00:09:22] 这个算法有两个阶段
[00:09:22 - 00:09:24] 第一个阶段叫做幻醒阶段
[00:09:24 - 00:09:25] 在这个阶段
[00:09:25 - 00:09:27] 我们把一个训练图像固定在可见单元上
[00:09:27 - 00:09:30] 然后让隐藏单元根据前面提到的
[00:09:30 - 00:09:31] 随机规则进行更新
[00:09:31 - 00:09:33] 直到达到热平衡
[00:09:33 - 00:09:34] 在这个过程中
[00:09:34 - 00:09:36] 我们会计算每个神经员
[00:09:36 - 00:09:37] 同时被激活的频率
[00:09:37 - 00:09:41] 并且根据这个频率来调整神经员之间的连接权重
[00:09:41 - 00:09:45] 让连接更有可能被激活的神经员队的权重增加
[00:09:45 - 00:09:48] 让连接不太可能被激活的神经员队的权重减少
[00:09:48 - 00:09:51] 第二个阶段叫做睡眠阶段
[00:09:51 - 00:09:54] 在这个阶段我们会让网络自由地运行
[00:09:54 - 00:09:55] 就像它在做梦一样
[00:09:55 - 00:09:57] 从一个随机状态开始
[00:09:57 - 00:09:58] 然后更新神经员
[00:09:58 - 00:10:00] 直到再次达到热平衡
[00:10:00 - 00:10:05] 同样我们也会计算每对神经员同时被激活的频率
[00:10:05 - 00:10:07] 不過這次是在網絡做夢的過程中
[00:10:07 - 00:10:10] 然後根據這個頻率再次調整權重
[00:10:10 - 00:10:13] 但是調整的方向和喚醒階段是相反的
[00:10:13 - 00:10:18] 讓在做夢時候經常一起激活的神女員隊的權重減少
[00:10:18 - 00:10:21] 讓不經常一起激活的神女員隊的權重增加
[00:10:21 - 00:10:23] 通過不斷的重複這兩個階段
[00:10:23 - 00:10:26] 網絡就能夠逐漸學習到正確的權重
[00:10:26 - 00:10:29] 使得它生成的圖像越來越像是真實的圖像
[00:10:29 - 00:10:32] 這個算法的原理是基於這樣一個假設
[00:10:32 - 00:10:35] 如果一個神經園隊在真實圖像中經常一起出現
[00:10:35 - 00:10:38] 那麼他們之間的連接就應該被加強
[00:10:38 - 00:10:42] 如果一個神經園隊在真實圖像中很少一起出現
[00:10:42 - 00:10:44] 但是在網路做夢的時候經常一起出現
[00:10:44 - 00:10:47] 那麼他們之間的連接就應該被削弱
[00:10:47 - 00:10:51] 這樣網路就能夠逐漸學會捕捉圖像中的統計規例
[00:10:51 - 00:10:53] 從而生成更加逼真的圖像
[00:10:53 - 00:10:57] 不過布爾茲曼基的學習算法也有他的局限性
[00:10:57 - 00:11:00] 在實際用中他的學習速度非常的慢
[00:11:00 - 00:11:02] 尤其是當網絡規模比較大的時候
[00:11:02 - 00:11:05] 這是因為在計算神經元對的激活頻率時
[00:11:05 - 00:11:07] 需要大量的計算資源和時間
[00:11:07 - 00:11:09] 而且隨著網絡層數的增加
[00:11:09 - 00:11:11] 這個問題會變得更加嚴重
[00:11:11 - 00:11:13] 這就限制了波爾茲曼基在處理
[00:11:13 - 00:11:15] 複雜圖像和大規模數據時的運用
[00:11:15 - 00:11:17] 為了解決這個問題
[00:11:17 - 00:11:19] 一種叫做受限波爾茲曼基
[00:11:19 - 00:11:21] 簡稱RBM的變體被提了出來
[00:11:21 - 00:11:24] RBM和普通波爾茲曼基的主要區別在於
[00:11:24 - 00:11:26] 它的神經元連接是受限的
[00:11:26 - 00:11:29] 只允許可見單元和隱藏單元之間有連接
[00:11:29 - 00:11:31] 而隐藏单元之间没有连接
[00:11:31 - 00:11:34] 这种结构大大减化了计算过程
[00:11:34 - 00:11:36] 使得学习速度得到了显著的提高
[00:11:36 - 00:11:39] 在RBM中有一个叫做
[00:11:39 - 00:11:40] 结净学习算法的方法
[00:11:40 - 00:11:43] 这个算法的基本思想是这样的
[00:11:43 - 00:11:45] 首先我们把一个训练图像
[00:11:45 - 00:11:46] 固定在可见单元上
[00:11:46 - 00:11:49] 然后计算每个隐藏单元被激活的概率
[00:11:49 - 00:11:52] 根据这个概率来激活隐藏单元
[00:11:52 - 00:11:54] 这样就得到了一个隐藏单元的激活模式
[00:11:54 - 00:11:57] 然后我们再根据这个激活模式
[00:11:57 - 00:11:59] 来计算每个可见单元被激活的概率
[00:12:00 - 00:12:02] 根据这个概率来激活可见单元
[00:12:02 - 00:12:05] 这样就得到了一个新的可见单元的激活模式
[00:12:05 - 00:12:07] 通过比较原始的训练图像
[00:12:07 - 00:12:09] 和新生成的可见单元的激活模式
[00:12:09 - 00:12:11] 我们就可以计算出
[00:12:11 - 00:12:13] 每个神经元对的激活频率的差值
[00:12:13 - 00:12:14] 然后根据这个差值
[00:12:14 - 00:12:17] 来调整神经元之间的连接权重
[00:12:17 - 00:12:19] 通过不断的重复这个过程
[00:12:19 - 00:12:22] RBM就能够逐渐学习到正确的权重
[00:12:22 - 00:12:23] 使得它生成的图像
[00:12:23 - 00:12:25] 越来越像是真实的图像
[00:12:25 - 00:12:28] 虽然RBM本身只能学习一层的特征检测器
[00:12:28 - 00:12:31] 但是我们可以通过堆叠多个RBM
[00:12:31 - 00:12:33] 来构建一个多层的特征检测器网络
[00:12:33 - 00:12:36] 具体来说我们可以先训练一个RBM
[00:12:36 - 00:12:38] 让它学习到第一层特征检测器
[00:12:38 - 00:12:41] 然后把这个RBM的隐藏单元
[00:12:41 - 00:12:43] 作为下一个RBM的可见单元
[00:12:43 - 00:12:45] 再训练这个新的RBM
[00:12:45 - 00:12:47] 让它学习到第二层的特征检测器
[00:12:47 - 00:12:48] 以此类推
[00:12:48 - 00:12:49] 通过这样的方式
[00:12:49 - 00:12:52] 我们就可以构建一个深度神经网络
[00:12:52 - 00:12:53] 这个网络的学习速度
[00:12:53 - 00:12:55] 不仅比随机初始化快得多
[00:12:55 - 00:12:56] 而且泛化能力更強
[00:12:56 - 00:12:59] 能夠學習到非常複雜的特種表示
[00:12:59 - 00:13:00] 從而在圖像識別
[00:13:00 - 00:13:03] 語音識別等領域取得很好的效果
[00:13:03 - 00:13:04] 在實際應用中
[00:13:04 - 00:13:07] 這種通過堆疊RBM構建的深度神經網絡
[00:13:07 - 00:13:09] 已經取得了很多成功的案例
[00:13:09 - 00:13:10] 比如說2012年
[00:13:10 - 00:13:13] 基於堆疊受限《波爾茲曼基》的方法
[00:13:13 - 00:13:14] 被谷歌投入生產
[00:13:14 - 00:13:16] 顯著提升了語音識別的效果
[00:13:16 - 00:13:18] 所以大家會突然之間感到
[00:13:18 - 00:13:20] 安卓設備上的語音識別性能
[00:13:20 - 00:13:21] 有了大幅的提升
[00:13:21 - 00:13:22] 不過如今人們
[00:13:22 - 00:13:23] 已經找到了一些
[00:13:23 - 00:13:25] 其他初始化權重的方法
[00:13:25 - 00:13:26] 不再需要使用RBM了
[00:13:26 - 00:13:28] 從某種意義上來說
[00:13:28 - 00:13:30] 這些早期的學習算法
[00:13:30 - 00:13:31] 更像是一種歷史性的媒
[00:13:31 - 00:13:33] 他們在人工智能的發展歷程中
[00:13:33 - 00:13:35] 起到了關鍵的催化作用
[00:13:35 - 00:13:37] 雖然他們可能不是最完美的解決方案
[00:13:37 - 00:13:39] 但是他們為後來更先進的算法
[00:13:39 - 00:13:41] 和技術的發展奠定了基礎
[00:13:41 - 00:13:42] 即便如此
[00:13:42 - 00:13:45] 新頓仍然對用睡眠來進行去學習
[00:13:45 - 00:13:46] 按Learning的方法
[00:13:46 - 00:13:47] 抱有極大的樂觀
[00:13:47 - 00:13:49] 他認為這是一種更加具備
[00:13:49 - 00:13:51] 生物學合理性的算法
[00:13:51 - 00:13:53] 也会避免反向传播的逆向路径
[00:13:53 - 00:13:56] 最终会为我们理解人脑如何学习
[00:13:56 - 00:13:57] 指名一条道路
[00:13:57 - 00:13:58] 好了 以上就是新顿
[00:13:58 - 00:14:00] 在这次颁奖点理上的演讲了
[00:14:00 - 00:14:02] 希望能带给大家一些启发
[00:14:02 - 00:14:04] 演讲的时间虽然不长
[00:14:04 - 00:14:06] 但是里面涉及到很多的专业概念
[00:14:06 - 00:14:07] 大飞文水平有限
[00:14:07 - 00:14:09] 难免会有解读不到位的地方
[00:14:09 - 00:14:10] 还请大家有机会
[00:14:10 - 00:14:12] 亲自去看一下原视频
[00:14:12 - 00:14:13] 相信会有更多的收获
[00:14:13 - 00:14:15] 感谢大家观看本期视频
[00:14:15 - 00:14:16] 我们下期再见
