BV号：BV1miBGYnEZ5
标题：BV1miBGYnEZ5
链接：https://www.bilibili.com/video/BV1miBGYnEZ5
识别语言：zh
语言置信度：1
分段数：244
生成时间：2026-08-31 02:28:37

[00:00:00 - 00:00:03] 大家好 這裡是最佳拍檔 我是大飛
[00:00:03 - 00:00:06] 今天咱們要聊一聊科技圈最新的一則重磅新聞
[00:04:05 - 00:04:07] 超过100亿元人民币
[00:04:07 - 00:04:08] 而且在中国营业额
[00:04:08 - 00:04:10] 超过4亿元人民币
[00:04:10 - 00:04:11] 就需要申报
[00:04:11 - 00:04:12] 2019年英伟达营收
[00:04:12 - 00:04:14] 达到了117.2亿美元
[00:04:14 - 00:04:16] 符合申报条件
[00:04:16 - 00:04:19] 依法进行申报 符合法律法规的要求
[00:04:19 - 00:04:23] 2020年2月9日 申报方也就是因为达申请撤回案件
[00:04:23 - 00:04:25] 并且获得了市场监督总局的同意
[00:04:25 - 00:04:29] 2月12日 市场监督总局对再次申报与立案审查
[00:04:29 - 00:04:33] 在审查过程中 市场监督总局对这起交易
[00:04:33 - 00:04:35] 可能对市场竞争产生的影响
[00:04:35 - 00:04:37] 进行了包括市场份额、技术优势
[00:04:37 - 00:04:40] 价格控制能力等多方面因素的评估
[00:04:40 - 00:04:44] 2020年4月16日 市场监督总局发布公告
[00:04:44 - 00:04:45] 決定附加限制性條件
[00:04:45 - 00:04:47] 批准此項經營著極東申報
[00:04:47 - 00:04:49] 在批准公告中
[00:04:49 - 00:04:51] 市長監督總局評估認為
[00:04:51 - 00:04:54] 這項收購對於全球和中國GPU加速器
[00:04:54 - 00:04:56] 專用網絡互聯設備和高速以臺網
[00:04:56 - 00:04:59] 實備器市場具有或者可能具有
[00:04:59 - 00:05:01] 排除限制競爭效果
[00:05:01 - 00:05:03] 因此要求英偉達、麥洛斯
[00:05:03 - 00:05:06] 和其中後的實體履行一系列的義務
[00:05:06 - 00:05:07] 重點包括依據公平
[00:05:07 - 00:05:09] 合理無其事的原則
[00:05:09 - 00:05:11] 向中國市場繼續供應
[00:05:11 - 00:05:12] 英偉達GPU加速器
[00:05:12 - 00:05:16] 麦洛斯高速网络互联设备和相关软件配件
[00:05:16 - 00:05:19] 保证英伟达GPU加速器与第三方网络互联设备
[00:05:19 - 00:05:22] 麦洛斯高速网络互联设备与第三方加速器的
[00:05:22 - 00:05:24] 互操作性等等
[00:05:24 - 00:05:27] 这些限制性条件自生效日期6年后
[00:05:27 - 00:05:30] 交易双方和集中后的实体可以申请解除
[00:05:30 - 00:05:32] 但是需要市场监督总局
[00:05:32 - 00:05:34] 根据市场的竞争状况
[00:05:34 - 00:05:35] 决定是否批准
[00:05:35 - 00:05:38] 未经解除应该继续履行义务
[00:05:38 - 00:05:39] 说过麦洛斯之后
[00:05:39 - 00:05:42] 因为达将NVLINK协议与麦洛斯的网卡芯片
[00:05:42 - 00:05:43] 进行了整合与优化
[00:05:44 - 00:05:46] 形成了软硬件的强保定关系
[00:05:46 - 00:05:48] 从技术实现角度来看
[00:05:48 - 00:05:50] 这种绑定使得NVLINK在使用过程中
[00:05:50 - 00:05:53] 依赖于麦洛斯的特定硬件产品
[00:05:53 - 00:05:54] 客户如果想要使用NVLINK
[00:05:54 - 00:05:57] 来实现GPU之间的高速互联
[00:05:57 - 00:05:59] 就必须购买麦洛斯的相关产品
[00:05:59 - 00:06:02] 比如说智能网卡、DPO、网关设备
[00:06:02 - 00:06:03] 以及NVLINK服务器等等
[00:06:04 - 00:06:07] 于是这种情况就引发了关于垄断嫌疑的质疑
[00:06:07 - 00:06:09] 因为它限制了客户的选择自由
[00:06:09 - 00:06:11] 可能阻碍其他竞争对手提供类似的
[00:06:11 - 00:06:13] 互联互通解决方案
[00:06:13 - 00:06:14] 从而减少了市场竞争
[00:06:14 - 00:06:16] 违反了公平竞争的原则
[00:06:16 - 00:06:20] 也可能违反了英伟达在收购麦洛斯时承诺的相关义务
[00:06:20 - 00:06:23] 及保证产品的护操作性和开放性
[00:06:23 - 00:06:26] 避免不合理的绑定行为对市场竞争造成损害
[00:06:26 - 00:06:30] 这也是这次中国对英特尔发起反垄弹调查的主要原因
[00:06:30 - 00:06:32] 其次除了中国以外
[00:06:32 - 00:06:34] 英偉达最近在全球范围内
[00:06:34 - 00:06:35] 也面临多起类似的调查
[00:06:35 - 00:06:37] 2024年6月
[00:06:37 - 00:06:40] 美国联邦政府的两家监管机构达成协议
[00:06:40 - 00:06:41] 美国司法部带头质询
[00:06:41 - 00:06:44] 英偉达的行为是否违反反垄断法
[00:06:44 - 00:06:45] 2024年7月
[00:06:45 - 00:06:47] 英偉达因为涉嫌反竞争行为
[00:06:47 - 00:06:50] 被法国反垄断监管机构指控
[00:06:50 - 00:06:52] 法国监管机构发布报告
[00:06:52 - 00:06:53] 提及芯片供应商的风险
[00:06:53 - 00:06:56] 对行业依赖英偉达芯片及库达表示担忧
[00:06:56 - 00:06:59] 对其投资云服务供应商的行为也感到不安
[00:07:02 - 00:07:04] 监管机构再次对英伟达展开监管审查
[00:07:04 - 00:07:07] 调查其是否以妨碍竞争方式捆绑产品
[00:07:07 - 00:07:10] 还向其竞争对手和客户发出调查问卷
[00:07:10 - 00:07:13] 了解其在合同中是否捆绑GPU
[00:07:13 - 00:07:14] 与网络设备销售等情况
[00:07:14 - 00:07:18] 我们再来说说这次中国反垄断调查的可能结果
[00:07:18 - 00:07:20] 如果最终被判定违法
[00:07:20 - 00:07:22] 英伟达可能会面临巨额的罚款
[00:07:22 - 00:07:23] 根据中国反垄断法
[00:07:23 - 00:07:27] 可能会被除以上亿年度销售额1%以上
[00:07:27 - 00:07:28] 10%以下的罚款
[00:07:28 - 00:07:32] 对于2024财年总收入达到609亿美元的英伟达来说
[00:07:32 - 00:07:34] 罚款最高大约为60亿美元
[00:07:34 - 00:07:39] 另外对于英伟达在中国市场的产品销售和市场份额来说
[00:07:39 - 00:07:42] 可能也会受到影响降低公司的部分盈利能力
[00:07:42 - 00:07:43] 但是大飞我觉得
[00:07:43 - 00:07:46] 从如今AI浪潮的发展态势来看
[00:07:46 - 00:07:49] 英伟达很可能对这60亿美元的罚款完全不在乎
[00:07:49 - 00:07:52] 甚至对于中国的市场份额也一点不担心
[00:07:52 - 00:07:56] 因为市场上目前很难有匹敌英伟达完整解决方案的产品出现
[00:07:56 - 00:07:59] AI企业想要在激烈的竞争中抢占先机
[00:07:59 - 00:08:02] 选择英伟达的产限仍然是最佳的选择
[00:08:02 - 00:08:04] 对于每天运营的企业来说
[00:08:04 - 00:08:06] 长达10个月的反垄断调查
[00:08:06 - 00:08:09] 结果可能也跟自己企业的生死关系不大
[00:08:09 - 00:08:11] 所以大家都会往更加实际的方面去看
[00:08:11 - 00:08:13] 政府你调查你的
[00:08:13 - 00:08:14] 我们该买还是买我们的
[00:08:14 - 00:08:17] 这一点其实从英伟达的态度就可见一般
[00:08:17 - 00:08:18] 面对调查
[00:08:18 - 00:08:20] 英伟达的回复还是相当强硬的
[00:08:20 - 00:08:22] 12月10日
[00:08:22 - 00:08:23] 英伟达公司的发言人
[00:08:23 - 00:08:25] 在向媒体回应的邮件中称
[00:08:25 - 00:08:27] 英伟达评界其优势赢得了胜利
[00:08:27 - 00:08:29] 这反映在我们的基准测试结果
[00:08:29 - 00:08:31] 和为客户带来的价值上
[00:08:31 - 00:08:34] 客户可以选择对他们来说最佳的解决方案
[00:08:34 - 00:08:35] 我们努力在每个地区
[00:08:35 - 00:08:37] 提供我们能够提供的最好的产品
[00:08:37 - 00:08:40] 并且在我们开展业务的任何地方
[00:08:40 - 00:08:41] 履行我们的承诺
[00:08:41 - 00:08:43] 有点冰来酱囊水来土焰的姿态
[00:08:43 - 00:08:45] 对于英伟达来说
[00:08:45 - 00:08:47] 对于如今AI芯片和数据中心的市场而言
[00:08:47 - 00:08:49] 应该是有着十足的信心
[00:08:49 - 00:08:51] 毕竟AMD和英特尔加起来
[00:08:51 - 00:08:53] 连自己的一个零头都还不够
[00:08:53 - 00:08:56] 甚至呢因为达也有一些拿住了对方的心态
[00:08:56 - 00:08:57] 因为对于中国政府而言
[00:08:57 - 00:09:00] 想要在中美的科技竞争中保持不掉队
[00:09:00 - 00:09:02] 不用因为达的芯片也很难做到
[00:09:02 - 00:09:05] 毕竟这不仅仅是搞定一个先进制成芯片的事情
[00:09:05 - 00:09:09] 还有一系列的软硬件 网络和整个生态需要去建立
[00:09:09 - 00:09:13] 在这方面中国几乎看不到有短期内弯道超车的可能
[00:09:13 - 00:09:15] 更不要提遥遥领先了
[00:09:15 - 00:09:17] 所以说我个人觉得这次调查呢
[00:09:17 - 00:09:20] 最终恐怕只能是雷声大 雨点小
[00:09:20 - 00:09:23] 即便是像之前2013年罚了高通60亿一样
[00:09:23 - 00:09:25] 但是对于英伟达如今的体量来说
[00:09:25 - 00:09:27] 也只能说是不同不一样罢了
[00:09:27 - 00:09:31] 说白了 根上的问题还在于五年前的那期并购案
[00:09:31 - 00:09:34] 可能那个时候谁都不会料到AI会有如今的发展
[00:09:34 - 00:09:37] 也不会料到英伟达凭借着加速芯片
[00:09:37 - 00:09:38] 高速互联网络和枯大
[00:09:38 - 00:09:40] 会构建起如此高的互争盒
[00:09:40 - 00:09:44] 当初可能还非常依赖于中国市场的一家小企业
[00:09:44 - 00:09:47] 短短几年时间会成长为几乎世界第一的巨头
[00:09:47 - 00:09:49] 三年合动 三年核心
[00:09:49 - 00:09:50] 再想回头以示往然
[00:09:51 - 00:09:54] 好了 以上就是这次中国对英伟达反垄断调查的时间背景了
[00:09:55 - 00:09:57] 那大家是如何看待这件事的呢
[00:09:57 - 00:09:58] 欢迎在评论区留言
[00:09:58 - 00:10:00] 感谢大家的观看 我们下期再见
