BV号：BV1Jyq1YcEMZ
标题：BV1Jyq1YcEMZ
链接：https://www.bilibili.com/video/BV1Jyq1YcEMZ
识别语言：zh
语言置信度：1
分段数：330
生成时间：2026-08-31 04:21:32

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 上周 欧盼埃在连续12天的圣诞活动中
[00:00:06 - 00:00:09] 连续更新了和欧万模型有关的内容
[00:01:37 - 00:01:39] 自从GPD4发布以来
[00:01:39 - 00:01:42] 团队就把研究重心转向了这个方向上
[00:01:42 - 00:01:43] 因为OpenI发现
[00:01:43 - 00:01:46] GPD4虽然学习了很多的世界知识
[00:01:46 - 00:01:47] 但是不得不承认
[00:01:47 - 00:01:49] 它在很多方面表现得非常愚蠢
[00:01:49 - 00:01:52] 比如说经常会在简单的谜题上犯错
[00:01:52 - 00:01:55] 而且经常会过度的依赖于先验知识
[00:01:55 - 00:01:56] 正是这些问题
[00:01:56 - 00:01:59] Open Eye團隊發現了模型在深度推理能力方面的不足
[00:02:00 - 00:02:03] 因此才有了大家現在看到的O1系列模型的誕生
[00:02:03 - 00:02:06] 它們更像是System2的慢思考者
[00:02:06 - 00:02:08] 而非System1的快思考者
[00:02:08 - 00:02:10] 也就是說在給出想像之前
[00:02:10 - 00:02:13] 模型需要花費一定的時間去反思問題
[00:02:13 - 00:02:15] 接下來在主持人的引導下
[00:02:15 - 00:02:17] 陶車軒詳細展開
[00:02:17 - 00:02:19] 解釋了自己所提出的工業及數學的概念
[00:02:20 - 00:02:22] 他認為數學一直以來
[00:02:22 - 00:02:24] 被大家看作是一項非常困難的活動
[00:02:24 - 00:02:27] 其中一个原因就是它非常依赖于一个人
[00:02:27 - 00:02:30] 或者可能是少部分人来完成许多不同的任务
[00:02:30 - 00:02:32] 才能够去实现一个复杂的目标
[00:02:32 - 00:02:35] 如果想在数学上取得进步
[00:02:35 - 00:02:37] 数学家就必须首先提出一个好的问题
[00:02:37 - 00:02:39] 然后再找到解决它的工具
[00:02:39 - 00:02:42] 在这之后还得学习各种文献
[00:02:42 - 00:02:43] 尝试提出一些论点
[00:02:43 - 00:02:46] 然后再进行计算 检查算法
[00:02:46 - 00:02:47] 如果结果是正确的
[00:02:47 - 00:02:50] 数学家还必须一种可解释的方式
[00:02:50 - 00:02:51] 把论证的过程写下来
[00:02:51 - 00:02:54] 甚至还要去做报告 申请资金
[00:02:54 - 00:02:58] 因此 现在的数学家更被要求是一个多面手
[00:02:58 - 00:03:01] 但是在其他行业中 其实都是有劳动分工的
[00:03:01 - 00:03:03] 就像制作一部电影一样
[00:03:03 - 00:03:07] 有不同的人来负责制片 剪辑 演出和融资等等所有的工作
[00:03:07 - 00:03:10] 陶车轩表示 在数学领域
[00:03:10 - 00:03:13] 直到最近才找到了一种结偶这些任务的方法
[00:03:13 - 00:03:16] 原则上我们可以实现这样的一种协作方式
[00:03:16 - 00:03:18] 那就是由一个人负责构想
[00:03:18 - 00:03:20] 一个人或者AI来负责计算
[00:03:20 - 00:03:23] 另一个工具来负责写论文等等
[00:03:23 - 00:03:27] 这样就不需要让一个人在所有方面都成为专家才行
[00:03:27 - 00:03:28] 陶哲宣提出
[00:03:28 - 00:03:30] 很多人不敢从事数学研究
[00:03:30 - 00:03:33] 其实是因为他们看到了成为一个优秀的数学家
[00:03:33 - 00:03:35] 所需要完成的所有事项的清单
[00:03:35 - 00:03:37] 在看上去就令人望而升位
[00:03:37 - 00:03:41] 不过AI工具能够让一些重复性的工作被解武掉
[00:03:41 - 00:03:42] 变得更加的模块化
[00:03:42 - 00:03:45] 这样一来一些任务就可以由AI来完成
[00:03:45 - 00:03:47] 另一些由人类来完成
[00:03:47 - 00:03:49] 有些任务可能需要预先的协作
[00:03:49 - 00:03:52] 而有些甚至可以由普通的大众来完成
[00:03:52 - 00:03:54] 马克神这时候好奇的问到
[00:03:54 - 00:03:56] 不考虑AI的情况下
[00:03:56 - 00:03:57] 迄今为止
[00:03:57 - 00:03:59] 最大规模的数学合作项目中
[00:03:59 - 00:04:01] 能够同时合作的人数上限是多少呢?
[00:04:01 - 00:04:03] 讨众卿表示
[00:04:03 - 00:04:04] 在真正的实践中
[00:04:04 - 00:04:07] 这个限制大约也就是5-6个人
[00:04:07 - 00:04:08] 一旦超过了这个预值
[00:04:08 - 00:04:10] 合作就真的很难了
[00:04:10 - 00:04:12] 因为你必须要互相检查彼此的工作
[00:04:12 - 00:04:14] 还有考虑把所有人
[00:04:14 - 00:04:16] 召集在同一个房间等等这些问题
[00:04:16 - 00:04:19] 虽然确实有少数的项目是有很多的作者
[00:04:19 - 00:04:21] 比如说证明形式化的项目
[00:04:21 - 00:04:22] 大约有20到30个作者
[00:04:22 - 00:04:25] 但是这在数学领域中是非常少见的
[00:04:25 - 00:04:27] 这时候主持人问道
[00:04:27 - 00:04:29] 听起来默认好像还是假设
[00:04:29 - 00:04:30] 由人类来分配任务的
[00:04:30 - 00:04:32] 他们仍然需要对整个过程
[00:04:32 - 00:04:33] 有足够的理解
[00:04:33 - 00:04:35] 来决定谁在哪里做什么
[00:04:35 - 00:04:36] 这样看的话
[00:04:36 - 00:04:38] 数学家的角色在以后
[00:04:38 - 00:04:39] 是否会出现分化
[00:04:39 - 00:04:42] 以及是否会出现新的专业方向呢
[00:04:42 - 00:04:44] 陶车宣认为软件工程
[00:04:44 - 00:04:46] 可能是数学未来发展的一个
[00:04:46 - 00:04:47] 可以借鉴的模板
[00:04:47 - 00:04:49] 在过去可能会存在一个
[00:04:49 - 00:04:50] 英雄式的成全
[00:04:50 - 00:04:51] 包攬一切
[00:04:51 - 00:04:52] 就像現在的數學家一樣
[00:04:52 - 00:04:53] 但是現在
[00:04:53 - 00:04:55] 軟件工程已經有了項目經理
[00:04:55 - 00:04:58] 程序員和質量保證團隊等等分工
[00:04:58 - 00:05:01] 他以目前參與的幾個協作項目為例
[00:05:01 - 00:05:03] 雖然人們還是在運行各種代碼和算法
[00:05:03 - 00:05:05] 但是正如他所預期的那樣
[00:05:05 - 00:05:08] 已經開始出現專業化的分工了
[00:05:08 - 00:05:09] 有些人可能不懂數學
[00:05:09 - 00:05:11] 但是他們非常擅長形式化定理
[00:05:11 - 00:05:12] 對他們來說
[00:05:12 - 00:05:14] 這就像是解謎題一樣
[00:05:14 - 00:05:15] 還有一些人擅長管理
[00:05:15 - 00:05:17] GaHub和做項目管理
[00:05:17 - 00:05:19] 確保所有的後段工作
[00:05:19 - 00:05:20] 都能够顺利的进行
[00:05:20 - 00:05:22] 还有人负责数据可实化等等工作
[00:05:23 - 00:05:24] 所有人都在协调的合作
[00:05:25 - 00:05:26] 虽然到目前为止
[00:05:26 - 00:05:28] 这些项目中主要还是人类在工作
[00:05:28 - 00:05:31] 使用的也是更为传统的AI工具
[00:05:31 - 00:05:33] 比如说一些所谓的改进器
[00:05:33 - 00:05:34] Improves
[00:05:34 - 00:05:36] 其实就是运行Python代码之类的
[00:05:36 - 00:05:37] 但是陶哲宣认为
[00:05:37 - 00:05:39] 一旦AI足够的强大
[00:05:39 - 00:05:41] 它就会很自然的融入到这个饭市中
[00:05:41 - 00:05:43] Mark Chen也表示同意
[00:05:43 - 00:05:44] 在很多方面
[00:05:44 - 00:05:46] 他几乎已经把AI当作同事来看待了
[00:05:46 - 00:05:49] 很多它不太擅长的事情都交给了AI去做
[00:05:49 - 00:05:53] 同时它指出 AI在帮助解决数学问题方面
[00:05:53 - 00:05:54] 可能会存在几个优势
[00:05:54 - 00:05:56] 首先就是模式识别
[00:05:56 - 00:05:58] 机器在这方面相当的擅长
[00:05:58 - 00:06:01] 特别是在需要处理大量数据或者信息的时候
[00:06:01 - 00:06:03] 而从识别模式开始
[00:06:03 - 00:06:05] 就可以形成推测或者说是猜想
[00:06:05 - 00:06:08] 它认为AI在针对制定证明策略方面
[00:06:08 - 00:06:10] 可能会有独到的优势
[00:06:10 - 00:06:12] 因为虽然人类可能在判断正确步骤方面
[00:06:12 - 00:06:14] 有着更好的直觉
[00:06:14 - 00:06:16] 但是在某个特定的步骤上
[00:06:16 - 00:06:17] 可能会存在盲点
[00:06:17 - 00:06:19] 另外在验证方面
[00:06:19 - 00:06:22] 模型也能够帮助验证那些你认为正确了
[00:06:22 - 00:06:24] 但是想要再次去确认的步骤
[00:06:24 - 00:06:26] 还有就是生成反例
[00:06:26 - 00:06:27] 比如说要考虑很多
[00:06:27 - 00:06:29] 可能会让定理失效的情况时
[00:06:29 - 00:06:33] 模型可能会更有效率的穷进这些可能性
[00:06:33 - 00:06:34] 主持人再次问两人
[00:06:34 - 00:06:37] 你们都认为定理证明器和形式化
[00:06:37 - 00:06:40] 是在进行数学研究和使用AI技术之间
[00:06:40 - 00:06:41] 必要的中间层吗
[00:06:41 - 00:06:43] 陀志轩表示基本上是这样的
[00:06:43 - 00:06:45] 数学证明的特点是
[00:06:45 - 00:06:47] 如果一个证明有100个步骤
[00:06:47 - 00:06:48] 其中一个出错了
[00:06:48 - 00:06:50] 整个证明就可能完全贪塌了
[00:06:50 - 00:06:51] 而对于AI
[00:06:51 - 00:06:53] 我们知道它会犯各种错误
[00:06:53 - 00:06:55] 而在某些数学科学中
[00:06:55 - 00:06:57] 一定的错误率是可以接受的
[00:06:57 - 00:06:58] 就像Mark所说的
[00:06:58 - 00:07:01] 比如在模式识别形成猜想的时候
[00:07:01 - 00:07:03] 即使AI只有50%的证据力
[00:07:03 - 00:07:04] 也是可以接受的
[00:07:04 - 00:07:06] 只要你有其他的方法去验证就行
[00:07:06 - 00:07:09] 特别是当它试图输出论证的时候
[00:07:09 - 00:07:12] 强制AI使用类似于Lin的形式化语言输出
[00:07:12 - 00:07:14] 是很自然的一种协同方式
[00:07:14 - 00:07:16] 如果能够编译通过那就更好了
[00:07:16 - 00:07:19] 如果不能它也会返回错误的信息
[00:07:19 - 00:07:21] 如今人们已经实现了这一点
[00:07:21 - 00:07:24] 可以用来证明一些本科作业级别的简短证明
[00:07:24 - 00:07:26] 当然了现在还做不到
[00:07:26 - 00:07:28] 说直接问一个高层次的数学问题
[00:07:28 - 00:07:31] 就期待AI能够输出一个庞大的证明
[00:07:31 - 00:07:32] 陶哲轩还提到了
[00:07:32 - 00:07:35] 虽然AlphaPro可以用三天的计算时间做到
[00:07:35 - 00:07:37] 但是这些方法无法扩展
[00:07:37 - 00:07:39] 而对于一些可以接受
[00:07:39 - 00:07:40] 正向错误率的简单问题
[00:07:40 - 00:07:43] 其实并不需要形式化的证明助手
[00:07:43 - 00:07:46] 但是对于任何可能会传播错误的复杂问题
[00:07:46 - 00:07:48] 形式化证明助手基本上是不可或缺的
[00:07:48 - 00:07:51] 谈到数学 陶哲轩认为
[00:07:51 - 00:07:53] 人类对于数学有一种特殊的美学感觉
[00:07:53 - 00:07:54] 称为树感
[00:07:54 - 00:07:57] 这种感觉与数学的核心是紧密相连的
[00:07:57 - 00:08:00] 因为这种美学感受是由人类来判断的
[00:08:00 - 00:08:03] 所以AI模型在定义问题和品位方面
[00:08:03 - 00:08:05] 可能会更加难以模仿到这一点
[00:08:05 - 00:08:07] 所以至少在未来几十年里
[00:08:07 - 00:08:10] 容制能犯事不会完全地取代人类
[00:08:10 - 00:08:12] 不过陶哲轩还认为
[00:08:12 - 00:08:15] AI在数学领域的应用将带来一种不同的美
[00:08:15 - 00:08:18] 因为计算机生成的证明将有别于人类生成的证明
[00:08:18 - 00:08:20] 反而会具有自己的一种优雅
[00:08:20 - 00:08:23] 接下来主持人敦多万向陶哲轩提出了三连问
[00:08:23 - 00:08:26] 你对年轻的数学家有什么建议吗?
[00:08:26 - 00:08:28] 他们应该把重点放在哪里呢?
[00:08:28 - 00:08:30] 应该解决什么样的问题呢?
[00:08:30 - 00:08:31] 面对这三个问题
[00:08:31 - 00:08:34] 陶哲轩认为年轻的数学家必须保持灵活性
[00:08:34 - 00:08:37] 因为数学已经逐渐变成了一个技术型的学科
[00:08:37 - 00:08:39] 越来越考验协作性
[00:08:39 - 00:08:42] 50年前,数学家们还可以独立解决某个子问题
[00:08:42 - 00:08:44] 但是现在几乎行不通了
[00:08:44 - 00:08:46] 不过这应该算是一种良性的发展
[00:08:46 - 00:08:48] 因为现在通过AI
[00:08:48 - 00:08:50] 数学家们可以进行更广泛的合作
[00:08:50 - 00:08:52] 帮助互相补奇指示
[00:08:52 - 00:08:53] 需要注意的是
[00:08:53 - 00:08:56] 这些AI工具同样也存在着局限性
[00:08:56 - 00:08:57] 不能盲目
[00:08:57 - 00:08:58] 要用人类自己的聪明材质
[00:08:58 - 00:09:00] 来驯服监督AI
[00:09:00 - 00:09:03] 而不是把AI当作一个魔法棒随意的使用
[00:09:03 - 00:09:05] 而马克成则建议到
[00:09:05 - 00:09:07] 想要更好的使用AI工具
[00:09:07 - 00:09:08] 现在的学生应该认真学好
[00:09:08 - 00:09:10] 各自领域内的技术知识
[00:09:10 - 00:09:13] 然后尽可能的参与一点AI相关的研究
[00:09:13 - 00:09:16] 最好能够了解神经网络的技术知识
[00:09:16 - 00:09:17] 比如说如何去训练模型
[00:09:17 - 00:09:18] 底层的运行机制
[00:09:18 - 00:09:20] 以及模型的局限性等等
[00:09:20 - 00:09:23] 其实人们越是对AI的能力保持怀疑
[00:09:23 - 00:09:26] 越是会提升自己与AI工具的协作效率
[00:09:26 - 00:09:27] 而针对于谷歌丁麦的
[00:09:27 - 00:09:30] 拿下了MO奥数银牌这件事
[00:09:30 - 00:09:32] 陶修宣表示确实超过了自己的预期
[00:09:32 - 00:09:35] 因为过去几年中一直有很多相关的工作
[00:09:35 - 00:09:37] 比如说丁麦在MO数据中
[00:09:37 - 00:09:39] 合成了很多的证明的过程
[00:09:39 - 00:09:40] 但是大分都是错误的
[00:09:41 - 00:09:43] 所以普遍观点是这条路并不可行
[00:09:43 - 00:09:45] 但是现在却一下子实现了
[00:09:45 - 00:09:46] 还有一个问题是
[00:09:46 - 00:09:49] 目前的AI还只是停留在数据阶段
[00:09:49 - 00:09:51] 并没有想象中的那么有用
[00:09:51 - 00:09:54] 只是解决了2000万个小的数学问题
[00:09:54 - 00:09:55] 而理想中的AI系统
[00:09:55 - 00:09:57] 应该是能够解决一个大问题的
[00:09:57 - 00:09:59] 目前数学项目里的问题
[00:09:59 - 00:10:02] 99%都可以通过传统的暴力搜索来解决
[00:10:02 - 00:10:04] 但是还有1%是相当困难
[00:10:04 - 00:10:05] 而且需要人为干预的
[00:10:05 - 00:10:08] 而正是这1%的问题最具有挑战性
[00:10:08 - 00:10:09] 直击AI的本质
[00:10:09 - 00:10:11] 所以说目前的这些突破
[00:10:11 - 00:10:13] 还不能算特别的有意义
[00:10:13 - 00:10:15] 多诺万随即提出一个问题
[00:10:15 - 00:10:17] 那就是究竟需要什么样的推理方式
[00:10:17 - 00:10:20] 才能够让AI解锁这些有难度的小问题呢
[00:10:20 - 00:10:22] 马克成的思路是大道致解
[00:10:22 - 00:10:24] 极不需要单独的去设计多个模型
[00:10:24 - 00:10:27] 因为简单性也是开发AI的一个关键原则
[00:10:27 - 00:10:29] 但是在连接复杂系统的时候
[00:10:29 - 00:10:31] 也可以由人来建立结构
[00:10:31 - 00:10:34] 让AI模型以某种方式进行合作
[00:10:34 - 00:10:35] 而陶哲宣则认为
[00:10:35 - 00:10:37] AI解决问题的方式
[00:10:37 - 00:10:39] 其实和人类是非常互补的
[00:10:39 - 00:10:42] AI主要以数据驱动的方式来解决问题
[00:10:42 - 00:10:42] 对于某些任务
[00:10:42 - 00:10:44] AI实际上比人类能做的更好
[00:10:44 - 00:10:47] 但是人类要做的是重新校准
[00:10:47 - 00:10:48] 对某些问题的难度感知
[00:10:48 - 00:10:50] 因为之前可能没有尝试过
[00:10:50 - 00:10:52] 使用数据驱动的方法
[00:10:52 - 00:10:54] 来解决某些经典问题
[00:10:54 - 00:10:55] 不过在数学中
[00:10:55 - 00:10:57] 有些问题真的很难
[00:10:57 - 00:10:59] 也没有大量可以用来学习的数据
[00:10:59 - 00:11:01] 甚至都无法确定它能否被解决
[00:11:01 - 00:11:03] 而这些问题正是人类所擅长
[00:11:03 - 00:11:05] 而AI不擅长的事情
[00:11:05 - 00:11:09] 所以说 仅仅把治理作为唯一的评估尺度可能是不够的
[00:11:09 - 00:11:11] 把AI和人类进行互补
[00:11:11 - 00:11:13] 或许才是终极的解决方案
[00:11:13 - 00:11:14] 马克成则打去道
[00:11:14 - 00:11:18] 希望OpenAI能够研究出一个非常高效的数据推理器
[00:11:18 - 00:11:20] 然后证明陶哲轩是错的
[00:11:20 - 00:11:21] 陶哲轩也笑着说
[00:11:21 - 00:11:23] 我也很希望证明我是错的
[00:11:23 - 00:11:26] 好了 以上就是陶哲轩这次访谈的主要内容了
[00:11:26 - 00:11:27] 对于问答环境的内容
[00:11:27 - 00:11:29] 大家有兴趣的可以去看一下原视频
[00:11:29 - 00:11:31] 相信会有更多的收获
[00:11:31 - 00:11:35] 那大家是否同意陶哲轩对于AI和数学未来的看法呢
[00:11:35 - 00:11:36] 欢迎在评论区留言
[00:11:36 - 00:11:38] 感谢大家观看 我们下期再见
