BV号：BV1Ws7y61ExK
标题：BV1Ws7y61ExK
链接：https://www.bilibili.com/video/BV1Ws7y61ExK
识别语言：zh
语言置信度：1
分段数：397
生成时间：2026-08-29 09:29:23

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 有个很奇怪的现象
[00:01:24 - 00:01:25] 这叫什么
[00:01:25 - 00:01:27] 这就叫地规自我改进
[00:01:27 - 00:01:29] 但要澄清一点
[00:01:29 - 00:01:31] 这不是已经实现的地规自我改进
[00:01:31 - 00:01:33] 而是Anthropic认为需要
[00:01:33 - 00:01:35] 提前准备的一条可能路径
[00:01:35 - 00:01:36] Anthropic原文说的很清楚
[00:01:36 - 00:01:38] 我们还没到这一步
[00:01:38 - 00:01:40] 地规自我改进也不是必然发生
[00:01:40 - 00:01:42] 只是这个趋势如果走得足够远
[00:01:42 - 00:01:43] 会指向这种可能
[00:01:43 - 00:01:45] 我们先来看外部的公开数据
[00:01:45 - 00:01:48] 这些数据来自各种标准化的AI测试
[00:01:48 - 00:01:51] 是整个行业都在用的评估工具
[00:01:51 - 00:01:52] METR的数据显示
[00:01:52 - 00:01:55] AI能完成的任务难度在快速提升
[00:01:55 - 00:01:56] 这里有个容易误解的数字
[00:01:56 - 00:01:58] 2024年3月
[00:01:58 - 00:02:01] Cloud Opus 3能以约50%的可靠性完成
[00:02:01 - 00:02:04] 那些人类专家大约需要4分钟的软件任务
[00:02:04 - 00:02:07] 一年后Cloud Sonnet 3.7
[00:02:07 - 00:02:09] 能处理约1.5小时级别的任务
[00:02:09 - 00:02:13] 再往后Cloud Opus 4.6已经进入12小时级别
[00:02:13 - 00:02:15] 注意这不是Cloud自己跑了12小时
[00:02:15 - 00:02:18] 而是任务难度对应的人类耗时
[00:02:18 - 00:02:21] 从4分钟到12小时只用了两年
[00:02:21 - 00:02:22] 这不是线性增长
[00:02:22 - 00:02:24] 这是指数级的能力越升
[00:02:24 - 00:02:26] 再看代码工程的标准测试
[00:02:26 - 00:02:30] SWEBench是业界公认的软件工程能力测试
[00:02:30 - 00:02:32] 它会给AI一个真实的开源项目
[00:02:32 - 00:02:34] 一个真实的bug报告
[00:02:34 - 00:02:36] 然后让AI去修复这个bug
[00:02:36 - 00:02:39] 两年前模型在这个测试上只能拿个位数的分数
[00:02:39 - 00:02:40] 现在呢
[00:02:40 - 00:02:44] 传统SWEBench对前沿模型的区分度正在下降
[00:02:44 - 00:02:46] 这不是说软件工程能力到头了
[00:02:46 - 00:02:48] 而是说前沿模型之间的差异
[00:02:48 - 00:02:50] 变得很难用这个基准来区分
[00:02:50 - 00:02:51] 还有Core
[00:02:51 - 00:02:52] Bench
[00:02:52 - 00:02:55] 这个测试是看AI能不能复线以发表的研究
[00:02:55 - 00:02:58] 能复线研究是进行原创研究的前提
[00:02:58 - 00:03:01] 2024年AI只有20%的成功率
[00:03:01 - 00:03:04] 15个月后这个基准也接近饱和
[00:03:04 - 00:03:05] 这些数据说明什么
[00:03:06 - 00:03:07] 说明AI不仅在变强
[00:03:07 - 00:03:10] 而且变强的速度再加快
[00:03:10 - 00:03:12] 但这些公开数据还不够震撼
[00:03:12 - 00:03:13] 真正有说服力的是
[00:03:13 - 00:03:15] Anthropic自爆的内部数据
[00:03:15 - 00:03:16] 2026年5月
[00:03:16 - 00:03:18] Anthropic的代码库里
[00:03:18 - 00:03:21] 超过80%的新合并代码可归因于Cloud
[00:03:21 - 00:03:25] 这个数字是在短短一年内从各位数飙升上来的
[00:03:25 - 00:03:28] 2025年2月Cloud Code刚发布的时候
[00:03:28 - 00:03:30] 这个比例还是各位数
[00:03:30 - 00:03:33] 现在呢80%但要注意这不是整个历史
[00:03:33 - 00:03:35] 代码库都是Cloud写的
[00:03:35 - 00:03:38] 而是指最近合并进行生产代码库的代码行中
[00:03:38 - 00:03:41] 超过80%可以归因于Cloud的
[00:03:41 - 00:03:42] Anthropic也明确说过
[00:03:42 - 00:03:46] 8倍的代码行增长不等于真实生产力提升8倍
[00:03:46 - 00:03:49] 你知道Cloud Code的创造者 Boris Turni吗
[00:03:49 - 00:03:50] 6个月前他做了一个决定
[00:03:50 - 00:03:52] 卸载自己的ID
[00:03:52 - 00:03:53] 不是因为他坏了
[00:03:53 - 00:03:55] 而是因为他一个月都没打开过
[00:03:55 - 00:03:57] 这不是一个程序员的放弃
[00:03:57 - 00:03:59] 而是一个程序员工作方式的根本转变
[00:03:59 - 00:04:01] 在Cloud Code团队的工作流理
[00:04:01 - 00:04:03] 工程师的角色在发生转变
[00:04:03 - 00:04:06] Boris说他的工作方式经历了三个阶段
[00:04:06 - 00:04:08] 第一阶段用ID写代码
[00:04:08 - 00:04:11] 第二阶段用提示词让Cloud写代码
[00:04:11 - 00:04:13] 第三阶段写循环让Cloud自动去写代码
[00:04:13 - 00:04:15] 这是抽象层级的再次提升
[00:04:15 - 00:04:18] 从2021年到2024年
[00:04:18 - 00:04:21] 每个工程师每天提交的代码行数基本保持平稳
[00:04:21 - 00:04:23] 然后2025年开始上升
[00:04:23 - 00:04:25] 2026年抖窍上升
[00:04:25 - 00:04:27] 到了2026年第二季度
[00:04:27 - 00:04:30] 一个普通工程师的代码产出量
[00:04:30 - 00:04:32] 比2024年提升了8倍
[00:04:32 - 00:04:35] 有人会说这只是量的增加质量呢
[00:04:35 - 00:04:37] Anthropic也想到了这个问题
[00:04:37 - 00:04:40] 他们做了一个调查问130名研究团队员工
[00:04:40 - 00:04:42] 使用Methos Preview这个最新模型
[00:04:42 - 00:04:45] 相比没有AI辅助的情况下
[00:04:45 - 00:04:46] 他们的产出提升了多少
[00:04:46 - 00:04:49] 研究团队员工主观估计的中位数约4倍
[00:04:49 - 00:04:51] 但Anturopic自己也提醒
[00:04:51 - 00:04:54] 这个数字可能高估了真实的生产力提升
[00:04:54 - 00:04:57] 而且AI不仅在写已有的代码
[00:04:57 - 00:04:59] 还在做一些原本根本不会做的工作
[00:04:59 - 00:05:03] 比如2026年4月Cloud交付了800多个Fixes
[00:05:03 - 00:05:05] 把某一类API错误降低了1000倍
[00:05:05 - 00:05:09] 一个工程师估计如果让人类来做这件事需要4年
[00:05:09 - 00:05:10] 为什么
[00:05:10 - 00:05:12] 因为这种工作太繁琐了
[00:05:12 - 00:05:14] 人类很难长时间保持注意力
[00:05:14 - 00:05:15] 而且也很容易出错
[00:05:15 - 00:05:16] 这还不是最理谱的
[00:05:16 - 00:05:18] 在anthropic
[00:05:18 - 00:05:21] 新员工的入职时间从数周降到了两天
[00:05:21 - 00:05:22] 为什么这么快
[00:05:22 - 00:05:25] 因为新员工不需要学习公司的代码库
[00:05:25 - 00:05:26] 他们只需要问cloud
[00:05:26 - 00:05:28] cloud会自动理解代码结构
[00:05:28 - 00:05:29] 自动回答问题
[00:05:29 - 00:05:32] 人类不需要讲解AI自动学习
[00:05:32 - 00:05:33] 这意味着什么
[00:05:33 - 00:05:35] 意味着知识转移的成本
[00:05:35 - 00:05:36] 几乎为零
[00:05:36 - 00:05:37] 但这还不是最有意思的
[00:05:37 - 00:05:38] 最有意思的是
[00:05:38 - 00:05:40] AI不仅能执行任务
[00:05:40 - 00:05:42] 还开始能做出判断了
[00:05:42 - 00:05:43] anthropic做过一个实验
[00:05:43 - 00:05:45] 他们给Cloud一个代码优化的任务
[00:05:45 - 00:05:47] 这是一段训练小模型的代码
[00:05:47 - 00:05:50] 你的目标是让它跑得紧可能快
[00:05:50 - 00:05:51] 但要保证正确性不变
[00:05:51 - 00:05:53] 2025年5月
[00:05:53 - 00:05:55] Cloud能达到约三倍的加速
[00:05:55 - 00:05:56] 到了2026年4月
[00:05:56 - 00:05:58] Cloud能达到约52倍的加速
[00:05:58 - 00:05:59] 但要注意
[00:05:59 - 00:06:02] 这是在一个固定的代码优化评测中
[00:06:02 - 00:06:04] Anthropic特别提醒不要把这个
[00:06:04 - 00:06:07] 绝对倍数理解成真实世界训练加速
[00:06:07 - 00:06:10] 一个人类研究员要达到4倍的加速
[00:06:10 - 00:06:11] 需要4-8小时
[00:06:11 - 00:06:13] 更进一步 Anthropic Run Cloud
[00:06:13 - 00:06:15] 去做一个开放式的研究项目
[00:06:15 - 00:06:17] 这是一个AI安全领域的问题
[00:06:17 - 00:06:19] 一个较弱的模型能不能可靠的
[00:06:19 - 00:06:21] 监督一个更强的模型
[00:06:21 - 00:06:23] 这个问题没有明确的答案
[00:06:23 - 00:06:25] 需要提出假设设计实验测试迭代
[00:06:25 - 00:06:28] Cloud Agents被放开去做这个项目
[00:06:28 - 00:06:30] 用了800个小时的计算时间
[00:06:30 - 00:06:33] 花了大约1.8万美元的算力成本
[00:06:33 - 00:06:35] 它恢复了97%的性能差距
[00:06:35 - 00:06:38] 两个人类研究员花了一周时间
[00:06:38 - 00:06:40] 恢复了23%的差距
[00:06:40 - 00:06:42] 最关键的是在这个过程中
[00:06:42 - 00:06:44] Cloud不仅在执行实验
[00:06:44 - 00:06:45] 还在设计实验
[00:06:45 - 00:06:48] 人类的角色只是选择了问题和评分标准
[00:06:48 - 00:06:50] 其他的一切都是AI自己决定的
[00:06:50 - 00:06:51] 再看一个细节
[00:06:51 - 00:06:53] Anthropic的研究人员在做
[00:06:53 - 00:06:56] 一些开放式的调查工作时有时会走错方向
[00:06:56 - 00:06:58] 研究人员会意识到这个方向不对
[00:06:58 - 00:06:59] 然后回到正轨
[00:06:59 - 00:07:02] Anthropic拿出这些走错方向的时刻
[00:07:02 - 00:07:04] 一共129个片段
[00:07:04 - 00:07:05] 问Cloud
[00:07:05 - 00:07:07] 如果你看到这个时刻之前的所有工作
[00:07:07 - 00:07:09] 你会建议下一步做什么
[00:07:09 - 00:07:12] 然后他们用另一个能看到完整过程的Cloud来判断
[00:07:12 - 00:07:15] Cloud的建议还是人类的建议更好
[00:07:15 - 00:07:18] 2025年11月Cloud的胜率是51%
[00:07:18 - 00:07:20] 也就是基本和人类大平
[00:07:20 - 00:07:24] 2026年4月Cloud的胜率升到了64%
[00:07:24 - 00:07:28] 说明AI在某些情境下能给出更好的下一步建议
[00:07:28 - 00:07:31] 而不是说AI全面超越了人类研究判断
[00:07:31 - 00:07:33] 这里有个很重要的反转
[00:07:33 - 00:07:35] 很多人一直在说AI要实现自我进化
[00:07:35 - 00:07:37] 必须得是一个完全独立的系统
[00:07:37 - 00:07:38] 不需要人类插手
[00:07:38 - 00:07:41] 但Anthropic的数据打破了这个认知
[00:07:41 - 00:07:43] 根本不需要AI完全自主
[00:07:43 - 00:07:46] 只要AI能接管掉90%的脏活累活
[00:07:46 - 00:07:49] 让人类只专注于那10%的方向选择
[00:07:49 - 00:07:51] 这种效率的复利叠加
[00:07:51 - 00:07:53] 就足以产生指数级的技术爆炸
[00:07:53 - 00:07:54] 想象一下
[00:07:54 - 00:07:56] 以前一个工程师是一个人在战斗
[00:07:56 - 00:07:58] 现在这个工程师坐在一只
[00:07:58 - 00:08:01] 一万个不知疲倦的AI大军的顶端
[00:08:01 - 00:08:03] 这个工程师的工作不是写代码
[00:08:03 - 00:08:04] 而是指挥
[00:08:04 - 00:08:06] 指挥这只大军去做什么
[00:08:06 - 00:08:08] 而且,这支大军还在变得越来越聪明
[00:08:08 - 00:08:12] 它不仅能更快地执行任务,还能更好地理解任务
[00:08:12 - 00:08:14] 甚至能提出更好的建议
[00:08:14 - 00:08:16] 所以真正的底层逻辑是什么?
[00:08:16 - 00:08:18] 不是AI核实会超越人类
[00:08:18 - 00:08:22] 而是AI的加速度核实会超越人类的适应速度
[00:08:22 - 00:08:25] 风险在于治理验证和组织适应可能跟不上
[00:08:25 - 00:08:26] Anthropic的表述是
[00:08:26 - 00:08:30] 完全的地规自我改进可能增加失控风险
[00:08:30 - 00:08:32] 对对其问题最不确定
[00:08:32 - 00:08:34] 这就是Anthropic想要表达的核心
[00:08:34 - 00:08:37] 他们不是在说我们已经有了超级AI
[00:08:37 - 00:08:39] 而是在说我们正在进入
[00:08:39 - 00:08:42] 一个加速度不断上升的时代需要提前准备
[00:08:42 - 00:08:43] 那么未来会怎样
[00:08:43 - 00:08:45] Anthropic提出了三种可能
[00:08:45 - 00:08:47] 有一种可能是趋势停滞
[00:08:47 - 00:08:50] 也许我们现在看到的加速只是一个假象
[00:08:50 - 00:08:51] 很快就会遇到天花板
[00:08:51 - 00:08:53] 也许需要一个新的架构突破
[00:08:53 - 00:08:55] 像当年的Transformer一样
[00:08:55 - 00:08:58] 如果是这样人类会有最多的时间去适应
[00:08:58 - 00:09:00] 但Anthropic认为这个概率不高
[00:09:00 - 00:09:02] 因为他们测试的每一个能力
[00:09:02 - 00:09:04] 都在按照同样的曲线上升
[00:09:04 - 00:09:06] 还没有看到任何弯曲的迹象
[00:09:06 - 00:09:08] 还有一种可能是持续加速
[00:09:08 - 00:09:10] 但人类仍掌控方向
[00:09:10 - 00:09:11] 这是最可能的情况
[00:09:11 - 00:09:13] AI开发变得越来越自动化
[00:09:13 - 00:09:15] 但人类仍然决定AI去做什么
[00:09:15 - 00:09:16] 在这种情况下
[00:09:16 - 00:09:18] 一个100人的公司
[00:09:18 - 00:09:20] 可能能做一个1万人公司的工作
[00:09:20 - 00:09:22] 知识工作会发生革命性的变化
[00:09:22 - 00:09:23] 但风险也很大
[00:09:23 - 00:09:27] 权力会集中在少数拥有先进AI的机构手里
[00:09:27 - 00:09:29] 监管会变得极其困难
[00:09:29 - 00:09:32] 还有一种可能是完全的地规自我改进
[00:09:32 - 00:09:34] AI开始自主设计并训练下一代AI
[00:09:34 - 00:09:37] 进展的速度将完全由算力决定
[00:09:37 - 00:09:38] 人类的角色会大幅缩小
[00:09:38 - 00:09:40] 主要是监督和验证
[00:09:40 - 00:09:41] 这种情况下
[00:09:41 - 00:09:43] 我们进入了一个完全陌生的世界
[00:09:43 - 00:09:45] 但这里有一个最大的不确定性
[00:09:45 - 00:09:46] 对齐问题
[00:09:46 - 00:09:49] 如果AI能自主训练下一代AI
[00:09:49 - 00:09:51] 那么今天模型中存在的小问题
[00:09:51 - 00:09:53] 会不会在这个过程中被放大
[00:09:53 - 00:09:55] 会不会一代比一代更难控制
[00:09:55 - 00:09:56] Anthropic说
[00:09:56 - 00:09:58] 这是他们最不确定的地方
[00:09:58 - 00:09:59] 让我们回到现实
[00:09:59 - 00:10:02] anthropic内部的工作流是怎样演变的
[00:10:02 - 00:10:05] 2021-2023年人类写代码
[00:10:05 - 00:10:08] 2023-2025年聊天机器人出现了
[00:10:08 - 00:10:11] 工程师用它来生成短代码片段
[00:10:11 - 00:10:13] 然后复制粘贴到编辑器里
[00:10:13 - 00:10:16] 2025-2026年编码代理出现了
[00:10:16 - 00:10:18] AI可以自己读写文件
[00:10:18 - 00:10:19] 可以修改整个文件
[00:10:19 - 00:10:21] 现在自主代理出现了
[00:10:21 - 00:10:23] AI可以自己运行代码
[00:10:23 - 00:10:25] 可以违派任务给其他代理
[00:10:25 - 00:10:27] 未来呢 避还地归
[00:10:27 - 00:10:28] AI可以自己训练模型
[00:10:28 - 00:10:29] 自己改进自己
[00:10:29 - 00:10:32] 这个演变过程中人类的角色在发生转变
[00:10:32 - 00:10:35] 最初工程师要完整地执行一个任务
[00:10:35 - 00:10:38] 比如导出按钮坏了 请修复它
[00:10:38 - 00:10:41] 然后工程师只需要提供目标和方法
[00:10:41 - 00:10:44] 比如调查为什么网络在高复在下会变慢
[00:10:44 - 00:10:46] 接着 工程师只需要提供目标
[00:10:46 - 00:10:48] 比如下个季度我们应该构建什么
[00:10:48 - 00:10:51] 现在在Cloud Code团队的工作流理
[00:10:51 - 00:10:53] 工程师更多转向编排
[00:10:53 - 00:10:55] 审查产品判断和跨质能构建
[00:10:55 - 00:10:57] 人类上一个不可放弃的堡垒
[00:10:57 - 00:10:59] 就是研究品位
[00:10:59 - 00:11:00] 判断什么问题值得解决
[00:11:00 - 00:11:02] 但这个堡垒也在动摇
[00:11:02 - 00:11:04] 因为AI在学习做出这样的判断
[00:11:04 - 00:11:07] 而且 Anthropic 的组织结构也在改变
[00:11:07 - 00:11:08] 在 Cloud Code 的团队里
[00:11:08 - 00:11:12] 工程师 设计师 产品经理的界限正在磨糊
[00:11:12 - 00:11:13] 他们都在做同一件事
[00:11:13 - 00:11:15] 使用 Cloud Code 构建产品
[00:11:15 - 00:11:17] 甚至财务人员 数据科学家
[00:11:17 - 00:11:19] 也在参与代码工作
[00:11:19 - 00:11:22] 所有的角色都在融合成一个 Builder 构建者
[00:11:22 - 00:11:23] 这意味着什么
[00:11:23 - 00:11:25] 在 Cloud Code 的工作流理
[00:11:25 - 00:11:27] 一个人可以做多个角色的工作
[00:11:27 - 00:11:29] 一个人可以做产品设计
[00:11:29 - 00:11:31] 工程数据分析
[00:11:31 - 00:11:32] 让我举一个具体的例子
[00:11:32 - 00:11:33] 2026年4月
[00:11:33 - 00:11:35] 一个日常的升级
[00:11:35 - 00:11:37] 导致了数万个训练任务崩溃
[00:11:37 - 00:11:40] 一个工程师把Cloud指向这个实施事件
[00:11:40 - 00:11:42] 给了他一些文本内容和集群访问权限
[00:11:42 - 00:11:44] 然后就让他自己去解决
[00:11:44 - 00:11:45] Cloud做了什么
[00:11:45 - 00:11:47] 他便利了所有运行中的任务
[00:11:47 - 00:11:49] 逐个测试环境设置
[00:11:49 - 00:11:51] 终于发现了一个隐晦的调试标志
[00:11:51 - 00:11:53] 这个标志触发了崩溃
[00:11:53 - 00:11:55] 他重现了这个问题
[00:11:55 - 00:11:56] 验证了修复方案
[00:11:56 - 00:11:58] 整个过程花了两个小时
[00:11:58 - 00:12:00] 如果让人类来做需要两到三天
[00:12:00 - 00:12:01] 这就是现实
[00:12:01 - 00:12:02] 还有一个例子
[00:12:02 - 00:12:05] Antropic最近发布了一个新产品叫Covwork
[00:12:05 - 00:12:08] 从概念到发布只用了8到9天
[00:12:08 - 00:12:11] 而且是100%由Cloud Code构建的
[00:12:11 - 00:12:13] 这在传统软件开发中是不可想象的
[00:12:13 - 00:12:15] 那么我们应该怎样看待这一切
[00:12:15 - 00:12:18] 第一这不是微言聋听
[00:12:18 - 00:12:20] Antropic是一个严肃的研究机构
[00:12:20 - 00:12:22] 他们发布的数据都是可验证的
[00:12:22 - 00:12:25] 第二这不是遥远的未来
[00:12:25 - 00:12:26] 基于当前的趋势
[00:12:26 - 00:12:28] 完全的地规自我改进
[00:12:28 - 00:12:29] 可能在数年内发生
[00:12:29 - 00:12:31] 而不是数十年
[00:12:31 - 00:12:32] 但这也不是已经发生的事
[00:12:32 - 00:12:34] 而是正在逼近的可能性
[00:12:34 - 00:12:35] 第三
[00:12:35 - 00:12:37] 这不仅仅是技术问题
[00:12:37 - 00:12:38] 也是社会问题
[00:12:38 - 00:12:40] 如果AI能自主开发AI
[00:12:40 - 00:12:41] 那么谁来决定AI的目标
[00:12:41 - 00:12:44] 谁来确保AI的行为符合人类的利益
[00:12:44 - 00:12:47] 这些问题现在就需要开始思考
[00:12:47 - 00:12:47] 第四
[00:12:47 - 00:12:49] 这也不是一个非黑即白的问题
[00:12:49 - 00:12:51] 即使AI不能完全自主
[00:12:51 - 00:12:52] 仅仅是效率的提升
[00:12:52 - 00:12:54] 和代码吞吐量的增加
[00:12:54 - 00:12:56] 也足以改变整个社会
[00:12:56 - 00:12:57] 如果你是一个程序员
[00:12:57 - 00:13:00] 看到这些数据你可能会感到焦虑
[00:13:00 - 00:13:00] 这很正常
[00:13:00 - 00:13:03] 但我想说的是这也是一个机会
[00:13:03 - 00:13:04] 在这个转变的过程中
[00:13:04 - 00:13:07] 最有价值的不是那些能被自动化的技能
[00:13:07 - 00:13:09] 而是那些无法被自动化的能力
[00:13:09 - 00:13:11] 比如判断什么问题值得解决
[00:13:11 - 00:13:13] 比如理解用户的真实需求
[00:13:13 - 00:13:15] 比如在不确定性中做出决策
[00:13:15 - 00:13:17] 如果你能掌握这些能力
[00:13:17 - 00:13:18] 你就不会被淘汰
[00:13:18 - 00:13:20] 相反你会变得更有价值
[00:13:20 - 00:13:22] 因为你会成为那个指挥AI大军的人
[00:13:22 - 00:13:24] 所以我想要强调的是
[00:13:24 - 00:13:27] AI的加速度比AI本身的能力更可怕
[00:13:27 - 00:13:28] 你觉得在这样的未来里
[00:13:28 - 00:13:31] 程序员最核心的竞争力到底是什么
[00:13:31 - 00:13:33] 把你的看法打在公平上
[00:13:33 - 00:13:34] 或者在评论区告诉我
[00:13:34 - 00:13:36] 我是为什么叫QQ
[00:13:36 - 00:13:38] 如果你觉得这期视频对你有啟发
[00:13:38 - 00:13:39] 别忘了点赞投币收藏
[00:13:39 - 00:13:41] 一键三连支持一下
[00:13:41 - 00:13:42] 我们下期见
