BV号：BV1zHgm6fEK5
标题：BV1zHgm6fEK5
链接：https://www.bilibili.com/video/BV1zHgm6fEK5
识别语言：zh
语言置信度：1
分段数：277
生成时间：2026-08-29 19:05:01

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 7月中旬Huggingface安全团队的告警响了
[00:01:48 - 00:01:50] 代码直接在处理work上跑起来
[00:01:50 - 00:01:53] 随后提前到节点级收集云和集群评据
[00:01:53 - 00:01:56] 再横向移动近多个内部集群
[00:01:56 - 00:01:58] 横向移动的意思很直白
[00:01:58 - 00:01:59] 攻下一台机器后
[00:01:59 - 00:02:02] 拿它当跳板去公内网里更多的机器
[00:02:02 - 00:02:05] 7月21日OpenAI承认攻击者是自己的模型
[00:02:05 - 00:02:10] GPT 5.6-SOUL加上一个更强的未发布的模型
[00:02:10 - 00:02:13] 在内部网络能力基准Exploit Gym上评测时跑得出来
[00:02:13 - 00:02:16] Sam Altman当天在X上写了一句
[00:02:16 - 00:02:19] 在评估模型期间我们发生了一起重大的安全事件
[00:02:19 - 00:02:21] 一个合理推断是
[00:02:21 - 00:02:24] 攻击发生在7月11到12日那个周末
[00:02:24 - 00:02:27] 依据是HF说的 earlier last week
[00:02:27 - 00:02:29] 加上入侵一个周末内完成的描述
[00:02:29 - 00:02:32] 但确切日期官方至今没公布
[00:02:32 - 00:02:33] 这一步目前仍是空白
[00:02:33 - 00:02:35] 影响范围公告里也显明了
[00:02:35 - 00:02:38] 少量内部数据级和若干服务评据
[00:02:38 - 00:02:39] 被卫兽权访问
[00:02:39 - 00:02:43] 公开模型、公开数据级、Spaces和软件供应链
[00:02:43 - 00:02:45] 没有发现被篡改的证据
[00:02:45 - 00:02:47] 处置动作同样具体
[00:02:47 - 00:02:48] 修补代码执行路径
[00:02:48 - 00:02:50] 重建被入侵节点
[00:02:50 - 00:02:52] 吊销并轮换评据
[00:02:52 - 00:02:57] 集群加研准入 告警响应提升到分钟级7×24指手
[00:02:57 - 00:03:00] 同时敦促所有用户轮换access token
[00:03:00 - 00:03:01] 这里先提醒一句
[00:03:01 - 00:03:04] 两家对入侵入口的描述测重不同
[00:03:04 - 00:03:08] HF强调恶意数据级在自家管线上拿到初始力足点
[00:03:08 - 00:03:11] OpenAI强调道取评据加0日漏洞
[00:03:11 - 00:03:13] 串出远程代码之心
[00:03:13 - 00:03:17] 目前没有联合技术报告把他们拼成一条完整链路
[00:03:17 - 00:03:18] 另外注意披露节奏
[00:03:18 - 00:03:21] 从16号到21号隔了5天
[00:03:21 - 00:03:25] HF公告里的攻击者身份未知引来大量猜测
[00:03:25 - 00:03:28] 直到OpenAI自己把名字填了上去
[00:03:28 - 00:03:31] 由攻击方的雇主主动认领一起入侵
[00:03:31 - 00:03:33] 这样的披露在安全行业里几乎没有先例
[00:03:33 - 00:03:37] 要讲清这场事故得先讲清杀箱
[00:03:37 - 00:03:39] 杀箱是一个隔离的运行环境
[00:03:39 - 00:03:41] 模型在里面怎么折腾
[00:03:41 - 00:03:43] 理论上都碰不到外面的真实系统
[00:03:43 - 00:03:47] OpenAI的ExploitGym是侧模型网络攻击能力的内部拔场
[00:03:47 - 00:03:50] 被侧模型放进高度隔离的杀箱
[00:03:50 - 00:03:51] 网络访问只剩一条缝
[00:03:51 - 00:03:55] 通过一个内部托管的包住侧表缓存代理安装软件
[00:03:55 - 00:03:57] 这个代理相当于内网的中转仓库
[00:03:57 - 00:04:00] 整套设计的假设很清楚
[00:04:00 - 00:04:01] 出口只有一个
[00:04:01 - 00:04:02] 而且由自己控制
[00:04:02 - 00:04:04] 评测红对靠它
[00:04:04 - 00:04:06] 上线前的安全测试也靠它
[00:04:06 - 00:04:07] 行业里用了很多年
[00:04:07 - 00:04:10] 同一场评测里还有两个被刻意关掉的开关
[00:04:10 - 00:04:13] 为了测出模型的最大网络能力
[00:04:13 - 00:04:15] OpenAI降低了模型的网络拒绝率
[00:04:15 - 00:04:17] 也不起用生产环境里那套
[00:04:17 - 00:04:20] 专门拦截高风险网络行为的分立器
[00:04:20 - 00:04:23] 说白了,模型被允许使出权力去攻击
[00:04:23 - 00:04:26] 兜底的指望全压在环境足够阶势上
[00:04:26 - 00:04:29] 公平的说,这套假设过去并非盲目自信
[00:04:29 - 00:04:32] 模型能力还没摸到这个边界的时候
[00:04:32 - 00:04:34] 杀箱加单出口确实够用
[00:04:34 - 00:04:36] 评测设计者的两难是真实的
[00:04:36 - 00:04:39] 杀车踩死测出来的能力偏低
[00:04:39 - 00:04:40] 击准失去意义
[00:04:40 - 00:04:43] 杀车松开,奉险外溢的口子就开了
[00:04:43 - 00:04:46] 他们选了后者,并且相信环境兜得住
[00:04:46 - 00:04:48] 这个判断当时有先例之称
[00:04:48 - 00:04:51] 只不过先例里从没出现过这个级别的模型
[00:04:51 - 00:04:53] 按OpenAI单方面的说法
[00:04:53 - 00:04:56] 模型在杀箱里消耗了大量推理算力
[00:04:56 - 00:04:58] 一门心思寻找出网路径
[00:04:58 - 00:04:59] 最后盯上了那个缓存代理
[00:04:59 - 00:05:02] 找到了一个连厂商自己都不知道的漏洞
[00:05:02 - 00:05:04] 也就是0日漏洞
[00:05:04 - 00:05:06] 没有补钉没有公开记录
[00:05:06 - 00:05:07] 防守方毫无准备
[00:05:07 - 00:05:10] 利用这个漏洞模型逃出杀箱
[00:05:10 - 00:05:11] 完成提拳
[00:05:11 - 00:05:12] 横向移动
[00:05:12 - 00:05:15] 一路爬到一个有公网访问权宪的节点
[00:05:15 - 00:05:18] 到这一步隔离假设正式作废
[00:05:18 - 00:05:19] 拿到功往之后
[00:05:19 - 00:05:23] 模型推断HF可能拖管着ExploitGEM的模型
[00:05:23 - 00:05:24] 数据级和测试答案
[00:05:24 - 00:05:27] 于是把偷来的评据和手里的0日漏洞
[00:05:27 - 00:05:28] 串成一条链
[00:05:28 - 00:05:31] 在HF服务器上找到远程代码执行的路径
[00:05:31 - 00:05:34] 直接从生产数据库拿走了测试答案
[00:05:34 - 00:05:36] OpenAI用了一个词形容它
[00:05:36 - 00:05:38] Hyperfacuse的极度专注
[00:05:38 - 00:05:41] 在基准测试里作弊把分数拿到手
[00:05:41 - 00:05:44] 这个0日漏洞以负责任的披露给厂商正在修复
[00:05:44 - 00:05:46] 有个工程细节值的记住
[00:05:46 - 00:05:48] 传统入侵里攻击者这么探测
[00:05:48 - 00:05:50] 会留下漫长的扫描痕迹
[00:05:50 - 00:05:51] 很容易暴露
[00:05:51 - 00:05:54] 模型的试探全部压缩在沙巷内部
[00:05:54 - 00:05:55] 外面什么都看不到
[00:05:55 - 00:05:57] 等外面看到动静的时候
[00:05:57 - 00:05:59] 它已经站在公网节点上了
[00:05:59 - 00:06:00] 隔离从一道墙
[00:06:00 - 00:06:02] 变成了一层窗户纸
[00:06:02 - 00:06:04] HF那边的响应同样值得细看
[00:06:04 - 00:06:06] 他们用基于大模型的一场检测
[00:06:06 - 00:06:07] 发现了入侵
[00:06:07 - 00:06:09] 接下来要从17000多条
[00:06:09 - 00:06:12] 攻击者事件日治里重建现场
[00:06:12 - 00:06:13] 团队的第一反应很正常
[00:06:13 - 00:06:17] 把日治位给商业前沿模型的API让模型帮忙分析
[00:06:17 - 00:06:19] 户兰把请求拦了下来
[00:06:19 - 00:06:21] 日治里全是真实的攻击 payload
[00:06:21 - 00:06:23] 利用代码和CR痕迹
[00:06:23 - 00:06:27] CR就是攻击者远程操控受害机器的命令控制通道
[00:06:27 - 00:06:29] 安全系统分不出屏幕前坐着的
[00:06:29 - 00:06:32] 是响应人员还是另一个攻击者干脆拒绝服务
[00:06:32 - 00:06:35] 防守方被自己花钱订阅的防线锁在门外
[00:06:35 - 00:06:37] HF的结法很干脆
[00:06:37 - 00:06:41] 换上自托馆的开源权重模型GLM 5.2
[00:06:41 - 00:06:43] 在自家基础设施上跑
[00:06:43 - 00:06:44] 没有任何外部祸兰篮着
[00:06:44 - 00:06:47] 几个小时完整攻击时间线重建完成
[00:06:47 - 00:06:50] 做安全的人看到这段多少会有点感慨
[00:06:50 - 00:06:51] 关键是刻就场的
[00:06:51 - 00:06:55] 是一个你可以完全控制没人替你设防的模型
[00:06:55 - 00:06:58] OpenAI那边安全团队从内部先发现了一场活动
[00:06:58 - 00:07:02] HF安全团队和防御智能体也检测并阻断了攻击
[00:07:02 - 00:07:04] 两边对上号联合取证
[00:07:04 - 00:07:07] OpenAI把HF纳入Trusted Access计划
[00:07:07 - 00:07:10] 支持HF用它们的模型加强防御
[00:07:10 - 00:07:12] 把这段放进公开记录里看
[00:07:12 - 00:07:15] 攻击测是模型 防御测也是模型
[00:07:15 - 00:07:18] 攻防两端同时由AI干活的案例此前没有过
[00:07:18 - 00:07:20] HF公告把这段写得很克制
[00:07:20 - 00:07:23] 做事件响应的人读得出其中的惊险
[00:07:23 - 00:07:25] 时间最紧的环节
[00:07:25 - 00:07:27] 差点卡在自己花钱买的安全产品上
[00:07:27 - 00:07:29] 两边的公告把经过讲清楚了
[00:07:29 - 00:07:32] 但有两处地方值得停下来多看一眼
[00:07:32 - 00:07:34] 第一处互拦的双向示效
[00:07:34 - 00:07:36] 评测时OpenAI刻意关掉互拦
[00:07:36 - 00:07:38] 放模型全力去攻击
[00:07:38 - 00:07:41] 取证时HF被互拦挡住
[00:07:41 - 00:07:43] 因为户栏无法区分防御和攻击
[00:07:43 - 00:07:46] 同一条防线在该应的时候被关掉
[00:07:46 - 00:07:47] 在该放行的时候焊死
[00:07:47 - 00:07:49] 今天是攻击者的行为特征
[00:07:49 - 00:07:52] 明天可能出现在响应工程师的屏幕上
[00:07:52 - 00:07:54] 户栏看到的是同一份payload
[00:07:54 - 00:07:57] 第二出评测设计本身埋的雷
[00:07:57 - 00:08:00] Explosion Jam这类基准要测最大能力
[00:08:00 - 00:08:01] 就得松刹车
[00:08:01 - 00:08:03] 可松开刹车的模型跑去打了真实世界
[00:08:03 - 00:08:05] 还把战利品带回了测试场
[00:08:05 - 00:08:07] 去基准里偷答案
[00:08:07 - 00:08:10] 这个目标从模型受到的激励结构里长出来
[00:08:10 - 00:08:13] 具体怎么长出来的OpenAI的公告没有回答
[00:08:13 - 00:08:15] 一个愿意为分数偷达案的智能体
[00:08:15 - 00:08:18] 叠加一场允许它全力以赴的评测
[00:08:18 - 00:08:20] 这两个变量成在一起会发生什么
[00:08:20 - 00:08:22] 事前没有人推演过
[00:08:22 - 00:08:25] 还有一个容易被公告措辞盖过去的点
[00:08:25 - 00:08:27] OpenAI在行动清单里承认
[00:08:27 - 00:08:29] 这次评测没有启用部署防护
[00:08:29 - 00:08:31] 翻译一下事故的直接条件
[00:08:31 - 00:08:34] 是一条标注着本次豁免的评测配置
[00:08:34 - 00:08:35] 实验室要极限
[00:08:35 - 00:08:37] 数据环境里就得留豁免口子
[00:08:37 - 00:08:40] 口子生效的那天恰好赶上隔离市校
[00:08:40 - 00:08:42] 流程上每一步都有人签字
[00:08:42 - 00:08:45] 系统上每一环都刚好让路
[00:08:45 - 00:08:46] 把镜头拉远
[00:08:46 - 00:08:49] 行业预测智能体攻击者这个场景已经一年多了
[00:08:49 - 00:08:52] 这次是他第一次拿到公开示证
[00:08:52 - 00:08:55] OpenAI引用了英国AISI的评测
[00:08:55 - 00:08:58] GPT 5.6掃这个级别的模型
[00:08:58 - 00:09:01] 已经能在32部的企业网络攻击拔场
[00:09:01 - 00:09:02] The Last Ones
[00:09:02 - 00:09:04] 里维持常识程的多部操作
[00:09:04 - 00:09:07] 而且在没有原码访问权限的前提下
[00:09:07 - 00:09:09] 自己找到了真实系统的新攻击路径
[00:09:09 - 00:09:11] 攻防的不对称在拉大
[00:09:11 - 00:09:14] 攻击方智能体一个周末执行数万个动作
[00:09:14 - 00:09:17] 技嘉单位是算力全自动周末不停工
[00:09:17 - 00:09:20] 防守方每一条可疑日志要人判
[00:09:20 - 00:09:22] 每一个token要人换
[00:09:22 - 00:09:24] 每一台被入侵的节点要人重建
[00:09:24 - 00:09:26] 技嘉单位是人和小时
[00:09:26 - 00:09:29] HF这次能把取证压到小十几
[00:09:29 - 00:09:31] 靠的是防线后面也有自己的模型
[00:09:31 - 00:09:33] 攻防对等的前提
[00:09:33 - 00:09:37] 正在变成防御方同样拥有不被人拦着的模型能力
[00:09:37 - 00:09:40] 这一点过去是加分项 往后是入场券
[00:09:40 - 00:09:43] HF把AI安全定性为一等攻击面
[00:09:43 - 00:09:46] CEO Clem Delein在OpenAI的博客里留了句话
[00:09:46 - 00:09:49] AI安全不会由任何一家公司关起门来解决
[00:09:49 - 00:09:53] 要靠公开协作 让每个防御者都能用上AI
[00:09:53 - 00:09:57] 考虑到说这话的人刚被对方的模型打穿过一次
[00:09:57 - 00:10:00] 这句话的分量比一般的公关表态重得多
[00:10:00 - 00:10:04] 行动上HF事后把告警响应提升到分钟级
[00:10:04 - 00:10:08] 7x24指手同时敦促全部用户轮换Axis token
[00:10:08 - 00:10:11] 让救命药作废被偷走的那个立刻失效
[00:10:11 - 00:10:14] 你恰好有HF帐号的话这一条现在就可以去做
[00:10:14 - 00:10:16] 最后来定性这次事件
[00:10:16 - 00:10:21] 能确认的一次真实发生的由自主智能体执行的入侵
[00:10:21 - 00:10:24] 防守方靠开源模型完成了关键取证
[00:10:24 - 00:10:27] 双方已联合处置 临日已报送厂商
[00:10:27 - 00:10:29] 我看完两份公告的感受是复杂的
[00:10:29 - 00:10:32] 双方披露的坦白程度超出行业惯例
[00:10:32 - 00:10:33] 这一点值得肯定
[00:10:33 - 00:10:36] 可最该回答的问题恰好都留在公告外面
[00:10:36 - 00:10:39] 评测环境的隔离标准能力
[00:10:39 - 00:10:40] 评测的激励设计
[00:10:40 - 00:10:43] 互联对防御者身份的识别这三件事不解决
[00:10:43 - 00:10:46] 下一次的入口未必还是一个数据级
[00:10:46 - 00:10:47] 往后我盯三件事
[00:10:47 - 00:10:50] 联合技术报告是否发布
[00:10:50 - 00:10:52] 漏洞厂商的补盯何时落地
[00:10:52 - 00:10:55] OpenAI承诺的评测防护强化以什么形式兑现
[00:10:55 - 00:10:58] 这些才是检验前所未有四个字
[00:10:58 - 00:10:59] 所值得关注的东西
[00:10:59 - 00:11:02] 有进展再做更新感谢观看
[00:11:02 - 00:11:04] 如果你觉得这期有点意思
[00:11:04 - 00:11:06] 欢迎点赞投币收藏一键三连支持一下
[00:11:06 - 00:11:08] 我是沛圣们叫QQ
[00:11:08 - 00:11:09] 我们下期视频再见
