BV号：BV1TkFTetEZL
标题：BV1TkFTetEZL
链接：https://www.bilibili.com/video/BV1TkFTetEZL
识别语言：zh
语言置信度：1
分段数：377
生成时间：2026-08-30 17:51:39

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 2025年的达沃斯论坛刚刚落下维墓
[00:01:50 - 00:01:53] 都具备一致和可靠的表现
[00:01:53 - 00:01:55] 这意味着一个真正通用的AI系统
[00:01:55 - 00:01:57] 不应该存在明显的弱点
[00:01:57 - 00:02:00] 它在每个领域都应该表现得非常强大
[00:02:00 - 00:02:03] 比如说在围棋或者是数学领域
[00:02:03 - 00:02:05] 它可能会超越最优秀的人类
[00:02:05 - 00:02:05] 但是同时
[00:02:05 - 00:02:09] 它也绝不应该在简单的算数问题上出现失误
[00:02:09 - 00:02:11] 哈萨比斯还提出了一个观点
[00:02:11 - 00:02:13] 那就是目前AI领域正在处于一个
[00:02:13 - 00:02:16] 既被高估又被低估的奇怪阶段
[00:02:16 - 00:02:17] 从短期来看
[00:02:17 - 00:02:19] 人们对于AI的预期有些过高
[00:02:19 - 00:02:22] 甚至存在着过度炒作的现象
[00:02:22 - 00:02:24] 但是从中长期的角度来看
[00:02:24 - 00:02:26] AI的影响力其实仍然被低估了
[00:02:26 - 00:02:29] 一方面为了吸引投资和公众的关注
[00:02:29 - 00:02:32] 市场上不乏有一些夸大其词的宣传
[00:02:32 - 00:02:36] 另一方面AI在某些领域又展示出了超预期的潜力
[00:02:36 - 00:02:38] 比如说AlphaFold的单白质预测
[00:02:38 - 00:02:41] 以及AI帮助发现数百万种新材料等等
[00:02:41 - 00:02:44] 在谈到实现EJI的具体路径时
[00:02:44 - 00:02:47] 哈萨比斯认为我们有50%的可能性
[00:02:47 - 00:02:50] 还缺1-2个类似于Transformers这样的重大突破
[00:02:50 - 00:02:54] 这个判断既体现了它对于现有技术的信心
[00:02:54 - 00:02:56] 也表明了它對未來創新的期待
[00:02:56 - 00:02:59] 當被問到是否認同散毛特曼關於OPI
[00:02:59 - 00:03:02] 已經知道該如何去打造AGI的說法時
[00:03:02 - 00:03:03] 哈薩比斯表示
[00:03:03 - 00:03:06] 如果散毛特曼指的是大概知道需要哪些技術
[00:03:06 - 00:03:07] 還缺哪塊拼圖
[00:03:07 - 00:03:09] 以及需要整合什麼
[00:03:09 - 00:03:10] 那麼它是同意的
[00:03:10 - 00:03:12] 不過要想讓所有的部分
[00:03:12 - 00:03:14] 都能夠真正的發揮作用
[00:03:14 - 00:03:16] 還需要大量的研究工作
[00:03:16 - 00:03:17] 目前來看
[00:03:17 - 00:03:18] 通往AGI的道路
[00:03:18 - 00:03:20] 雖然已經開始變得清晰
[00:03:20 - 00:03:22] 但是要真正實現這個目標
[00:03:22 - 00:03:24] 仍然需要突破多个技术平静
[00:03:24 - 00:03:26] 整合多项关键的能力
[00:03:26 - 00:03:28] 这不仅需要对现有技术进行完善和扩展
[00:03:28 - 00:03:31] 还需要全新的突破性创新
[00:03:31 - 00:03:32] 在AI的发展过程中
[00:03:32 - 00:03:35] 创造力是一个充满争议的话题
[00:03:35 - 00:03:37] 哈萨比斯在这次对话中
[00:03:37 - 00:03:38] 首次系统性的阐述了
[00:03:38 - 00:03:40] 它对于AI创造力的深度思考
[00:03:40 - 00:03:43] 并且提出了一个三个层次的创造力模型
[00:03:43 - 00:03:46] 最基础的层次是X值式创造
[00:03:46 - 00:03:48] 简单来说就是把系统建过的东西
[00:03:48 - 00:03:50] 做某种平均或者是混合
[00:03:50 - 00:03:53] 比如說讓系統生成一張新的貓的圖片
[00:03:53 - 00:03:56] 它就會從看過的100萬張貓的圖片裡
[00:03:56 - 00:03:58] 得出一個綜合的結果
[00:03:58 - 00:03:59] 從理論上講
[00:03:59 - 00:04:02] 這張圖片確實是一張新的貓的圖
[00:04:02 - 00:04:05] 因為它和訓練集中的任何一張貓圖都不完全一樣
[00:04:05 - 00:04:07] 但是這種生成方式
[00:04:07 - 00:04:09] 只是機械的做了某種平均
[00:04:09 - 00:04:11] 並不具備真正意義上的創造性
[00:04:11 - 00:04:14] 更高一層的創造力表現為外差式的創新
[00:04:14 - 00:04:17] AlphaGo就是很好展現了這種能力
[00:04:17 - 00:04:19] 它在學習了所有人類下的起步之後
[00:04:19 - 00:04:22] 又通过自己跟自己下了几百万盘棋
[00:04:22 - 00:04:25] 从而想出了人类从来没有见过的新错列
[00:04:25 - 00:04:27] 彻底颠覆了人类几千年的维起经验
[00:04:27 - 00:04:29] 哈萨比斯认为
[00:04:29 - 00:04:32] 这种超越训练机界限的能力已经相当的珍贵
[00:04:32 - 00:04:34] 是真正的创造性体现
[00:04:34 - 00:04:37] 而最高层次则是完全的原创事发明
[00:04:37 - 00:04:40] 哈萨比斯用设计一个新游戏来解释这一层次
[00:04:40 - 00:04:43] 比如说像系统描述一个抽象的目标
[00:04:43 - 00:04:46] 设计一款只需要5分钟就能学会规则
[00:04:46 - 00:04:47] 但是却需要一辈子
[00:04:47 - 00:04:50] 乃至几辈子才能够真正精通的游戏
[00:04:50 - 00:04:52] 这款游戏要坚具美感与深度
[00:04:52 - 00:04:55] 还包含某种神秘的宇宙奥义
[00:04:55 - 00:04:57] 并且两个小时之内就能够下完一局
[00:04:57 - 00:05:00] 这其实就是对围棋的一种高度的概括
[00:05:00 - 00:05:03] 如果系统能够发明出像围棋一样优雅
[00:05:03 - 00:05:05] 美妙 而且近乎于完美的游戏
[00:05:05 - 00:05:08] 那才是达到了人类那种发明创造力的水平
[00:05:08 - 00:05:11] 那么为什么现在的大原模型
[00:05:11 - 00:05:13] 还无法达到AlphaGo那样的创造性水平呢?
[00:05:13 - 00:05:15] 哈萨比斯解释到
[00:05:15 - 00:05:17] 以AlphaGo或者是AlphaZero为例
[00:05:17 - 00:05:19] 如果僅僅使用他們的模型部分
[00:05:19 - 00:05:22] 而不敵加搜索和推理機制
[00:05:22 - 00:05:24] 那麼模型就只能根據棋盤的當前形式
[00:05:24 - 00:05:27] 給出一個最有可能的好招式
[00:05:27 - 00:05:29] 雖然這樣也能下出不錯的棋
[00:05:29 - 00:05:32] 能夠達到專業水平或者是特級大師的水平
[00:05:32 - 00:05:34] 但是絕對無法達到世界冠軍的水平
[00:05:34 - 00:05:37] 更不會出現那些令人驚豔的心招
[00:05:37 - 00:05:38] 他強調說
[00:05:38 - 00:05:40] 真正的創新突破需要搜索的能力
[00:05:40 - 00:05:44] 只有讓AI能夠跳到自己認知範圍之外的地方
[00:05:44 - 00:05:45] 超越已經總結的知識
[00:05:45 - 00:05:48] 去发掘知识数上更加深处的分支
[00:05:48 - 00:05:50] 才能够产生那些经验的想法
[00:05:51 - 00:05:53] 不过实现第三层次的创造力
[00:05:53 - 00:05:55] 还面临着重大的挑战
[00:05:55 - 00:05:56] 其中一个关键的问题是
[00:05:56 - 00:06:00] 我们并不知道如何向系统准确描述这样的目标
[00:06:00 - 00:06:02] 因为它的目标含述过于抽象和模糊
[00:06:02 - 00:06:05] 目前我们也不确定是否应该让模型
[00:06:05 - 00:06:06] 拥有更高的层次
[00:06:06 - 00:06:08] 更抽象的思考模块
[00:06:08 - 00:06:11] 或者是不是还缺少了一种人类独有的治理元素
[00:06:12 - 00:06:15] 不过哈萨比斯对未来保持着谨慎的乐观
[00:06:15 - 00:06:18] 他認為 也許只要在系統裡加入更多的抽象層級
[00:06:18 - 00:06:21] 或者換種思路 採用全新的技術
[00:06:21 - 00:06:23] 亦或是同時嘗試這兩條道路
[00:06:23 - 00:06:25] 除此以外 在這次對話中
[00:06:25 - 00:06:27] 德米斯·哈薩比斯還詳細介紹了
[00:06:27 - 00:06:30] 丁麥德在科學研究領域的三個重要突破
[00:06:30 - 00:06:34] 展示了AI將如何對未來科研帶來革命性的變革
[00:06:34 - 00:06:35] 在生命科學領域
[00:06:35 - 00:06:39] 繼阿弗弗德在蛋白質結構預測上取得突破之後
[00:06:39 - 00:06:43] 丁麥又將目光投向了構建完整的虛擬細胞模型
[00:06:43 - 00:06:46] 我們知道蛋白質是生命活動的基礎
[00:06:46 - 00:06:49] Alpha4的雖然解決了蛋白質的3D結構問題
[00:06:49 - 00:06:52] 但是只有蛋白質的靜態結構還遠遠不夠
[00:06:52 - 00:06:53] 要向真正的理解生物學
[00:06:53 - 00:06:57] 就必須明白細胞裡各種分子之間的動態交互過程
[00:06:57 - 00:07:00] 為此丁麥德啟動了一個為期五年的項目
[00:07:00 - 00:07:04] 將從相對簡單便於研究的教母細胞開始入手
[00:07:04 - 00:07:07] 項目計劃先用Alpha4的3去處理蛋白質配體
[00:07:07 - 00:07:11] 蛋白質DNA、蛋白質RNA等各種相互作用
[00:07:11 - 00:07:14] 之后再研究一个像治愈癌症之类的完整通路
[00:07:14 - 00:07:16] 虚拟细胞模型的最大价值在于
[00:07:16 - 00:07:19] 它能够大大加速药物研发的过程
[00:07:19 - 00:07:22] 通过在计算机里先进行上百万次的模拟实验
[00:07:22 - 00:07:24] 然后再把最有希望的结果
[00:07:24 - 00:07:26] 拿到现实实验时里进行验证
[00:07:26 - 00:07:28] 从而极大的加速研究进度
[00:07:28 - 00:07:30] 同时节省大量的成本
[00:07:30 - 00:07:32] 这就和在游戏环境里做的事一样
[00:07:32 - 00:07:35] 先建立模型 用它做推理和搜索
[00:07:35 - 00:07:36] 然后得到一些预测
[00:07:36 - 00:07:38] 在材料科学领域
[00:07:38 - 00:07:40] 丁麦的取得了另一个惊人的突破
[00:07:40 - 00:07:43] 那就是发现了220万种新的稳定材料
[00:07:43 - 00:07:46] 这个数字远超人类已知的大约3万种稳定的材料
[00:07:47 - 00:07:48] 哈萨比斯提到
[00:07:48 - 00:07:49] 它一直有一个梦想
[00:07:49 - 00:07:51] 就是找到常温超导体
[00:07:51 - 00:07:53] 如果真的能够研制出来
[00:07:53 - 00:07:56] 那么人类将在能源与气候危机上获得重大突破
[00:07:56 - 00:07:59] 例如我们可以在撒哈拉山坡中扑射太阳能板
[00:07:59 - 00:08:02] 然后利用超导体把电能传输到欧洲
[00:08:02 - 00:08:06] 避免像现在这样在书店过程中损耗大量的能量
[00:08:06 - 00:08:07] 在基因组学领域
[00:08:07 - 00:08:09] 另外也在开拓新的研究方向
[00:08:09 - 00:08:12] 特別是在理解複雜疾病的遺傳機制方面
[00:08:12 - 00:08:17] 比如說用AI來判斷基因突變究竟是有害還是無害
[00:08:17 - 00:08:19] 大部分DNA突變其實是無害的
[00:08:19 - 00:08:21] 但是有些會導致疾病
[00:08:21 - 00:08:24] 更具有挑戰性的是研究多基因的疾病
[00:08:24 - 00:08:27] 也就是由多個基因突變共同導致的疾病
[00:08:27 - 00:08:30] 這也是目前這個領域進展緩慢的地方
[00:08:30 - 00:08:33] 不過AI特別適合去探索那些弱交互
[00:08:33 - 00:08:36] 也就是多個基因小突變疊加在一起
[00:08:36 - 00:08:38] 才能夠產生病變的情況
[00:08:38 - 00:08:40] 这些信号有时候并不明显
[00:08:40 - 00:08:43] 但是AI却能发现这种隐藏的模式
[00:08:43 - 00:08:46] 生物 材料 基因组学这三个领域的突破
[00:08:46 - 00:08:49] 充分展示了AI在科学研究中的巨大潜力
[00:08:49 - 00:08:51] 正如哈萨比斯所说
[00:08:51 - 00:08:53] AI不仅能够加速现有的研究过程
[00:08:53 - 00:08:56] 更加能够帮助科学家发现人类难以绝查的
[00:08:56 - 00:08:57] 复杂模式和关联
[00:08:57 - 00:08:59] 这预示的科学研究方法
[00:08:59 - 00:09:01] 可能迎来一场根本性的变革
[00:09:01 - 00:09:05] 从而大大加快人类对于自然世界的认知和理解速度
[00:09:05 - 00:09:07] 不过随着AI的快速发展
[00:09:07 - 00:09:10] 潛在的安全风险也日益突现
[00:09:10 - 00:09:11] 在这次对话中
[00:09:11 - 00:09:13] 哈萨比斯特别强调了
[00:09:13 - 00:09:15] AI系统可能表现出的欺骗性行为
[00:09:15 - 00:09:19] 这个现象让我们不得不重新审视AI安全的重要性
[00:09:19 - 00:09:20] 他认为
[00:09:20 - 00:09:23] 欺骗性是AI系统最不应该具备的核心特性之一
[00:09:23 - 00:09:26] 因为如果一个系统具备了欺骗的能力
[00:09:26 - 00:09:28] 那么对它进行的所有其他测试
[00:09:28 - 00:09:30] 包括安全测试都将失去意义
[00:09:30 - 00:09:31] 在实际测试中
[00:09:31 - 00:09:34] 这种欺骗性的行为已经有所显现
[00:09:34 - 00:09:37] 比如说有些系统不想透露自己的部分训练内容
[00:09:37 - 00:09:38] 就会故意的隐瞒
[00:09:38 - 00:09:39] 还有一个例子
[00:09:39 - 00:09:41] 曾经让某个聊天机器人
[00:09:41 - 00:09:43] 去跟国际象棋引擎
[00:09:43 - 00:09:44] Stockfish对抑
[00:09:44 - 00:09:45] 他明知道自己会输
[00:09:45 - 00:09:47] 就试图通过各种方式
[00:09:47 - 00:09:47] 绕过去
[00:09:47 - 00:09:49] 不跟Stockfish正面的较量
[00:09:49 - 00:09:51] 对于这种现象
[00:09:51 - 00:09:53] 哈萨比斯表现出了一种复杂的心理
[00:09:53 - 00:09:55] 他一方面被这种欺骗性行为吓到
[00:09:55 - 00:09:58] 另一方面又对这些模型展现出的能力
[00:09:58 - 00:09:59] 产生了极大的敬意
[00:09:59 - 00:10:00] 他解释说
[00:10:00 - 00:10:02] 这种能力具有双面性
[00:10:02 - 00:10:04] 虽然会带来欺骗
[00:10:04 - 00:10:06] 但是也可能会在加速科学发现等方面
[00:10:06 - 00:10:07] 带来积极的作用
[00:10:08 - 00:10:09] 面对这些挑战
[00:10:09 - 00:10:11] 哈萨比斯提出了几个关键的防范策略
[00:10:12 - 00:10:13] 首先是早期防御
[00:10:13 - 00:10:15] 它一直在鼓励安全研究机构
[00:10:15 - 00:10:17] 以及负责进行评估基准的团队
[00:10:17 - 00:10:19] 包括DMI的内部
[00:10:19 - 00:10:21] 都要把欺骗看作是一类关键的风险
[00:10:21 - 00:10:23] 必须进行防范和监测
[00:10:23 - 00:10:26] 这和追踪模型的性能和智力水平同样重要
[00:10:27 - 00:10:28] 其次是安全杀枪的测试
[00:10:29 - 00:10:31] 谷歌和DMI的拥有世界一流的安全能力
[00:10:31 - 00:10:34] 以及世界一流的游戏环境研究能力
[00:10:34 - 00:10:36] 可以将这两者结合起来
[00:10:36 - 00:10:38] 创建带有各种防护栏的数字杀箱
[00:10:38 - 00:10:40] 就像网络安全领域那样
[00:10:40 - 00:10:42] 既能够防护外部的攻击
[00:10:42 - 00:10:44] 也能够防护系统内部的阅接
[00:10:44 - 00:10:47] 最后它强调了进行系统性评估的重要性
[00:10:48 - 00:10:50] 在这样的安全杀箱里去测试AZEN的系统
[00:10:50 - 00:10:53] 可能是应对欺骗等等这些问题的一个明智思路
[00:10:54 - 00:10:56] 虽然当前的AI系统表现出的欺骗行为
[00:10:56 - 00:10:57] 还相对较于基础
[00:10:57 - 00:11:00] 似乎没有必要过度的恐慌
[00:11:00 - 00:11:02] 但是哈萨比斯也警示到
[00:11:02 - 00:11:03] 大概两三年之后
[00:11:03 - 00:11:05] 那些Agent的系统将会变得非常强大
[00:11:05 - 00:11:06] 非常通用
[00:11:06 - 00:11:09] 到那个时候这个问题将会更加的严峻
[00:11:09 - 00:11:11] 在展望AI的未来发展时
[00:11:11 - 00:11:13] 哈萨比斯特别提到了智能助手
[00:11:13 - 00:11:16] Agent的系统和人机交互方式等等方面的革新
[00:11:16 - 00:11:19] 其中DM的Project Astro
[00:11:19 - 00:11:20] 也就是星辰计划
[00:11:20 - 00:11:22] 代表了对下一代AI助手的全新构想
[00:11:22 - 00:11:24] 哈萨比斯表示
[00:11:24 - 00:11:26] 这个计划是要打造一个通用的助手
[00:11:26 - 00:11:28] 它能参与到我们生活的方方面面
[00:11:28 - 00:11:30] 提供帮助提升效率
[00:11:30 - 00:11:33] 当前的AI助手仍然存在一些局限性
[00:11:33 - 00:11:35] 部分原因是系统的本身还比较脆弱
[00:11:35 - 00:11:36] 存在着缺陷
[00:11:36 - 00:11:39] 比如说他对于提示词的要求比较高
[00:11:39 - 00:11:42] 需要一定的技巧去教或者引导他
[00:11:42 - 00:11:44] 让他专注在自己擅长的领域
[00:11:44 - 00:11:45] 而一个真正的AI
[00:11:45 - 00:11:47] 应该像跟人对话那样自然
[00:11:47 - 00:11:49] 不应该如此难以沟通
[00:11:49 - 00:11:51] 其次对于Agent的系统的发展
[00:11:51 - 00:11:53] 哈萨比斯也表现出了强烈的信心
[00:11:53 - 00:11:54] 他认为
[00:11:54 - 00:11:56] 虽然目前存在着市场宣传
[00:11:56 - 00:11:58] 跑在实际研究前面的情况
[00:11:58 - 00:12:00] 但是今年会是Agent系统的元年
[00:12:00 - 00:12:01] 在今年下半年
[00:12:01 - 00:12:03] 我们将会陆续看到一些初步的版本
[00:12:03 - 00:12:06] 随后他们会快速地叠态和成熟
[00:12:06 - 00:12:09] 在谈到用户对于Agent的信任问题时
[00:12:09 - 00:12:11] 他提出了一个见尽式的方案
[00:12:11 - 00:12:13] 比如说在一开始为了保障安全
[00:12:13 - 00:12:15] 在最终确认付款之前
[00:12:15 - 00:12:16] 应该让用户手动的授权
[00:12:16 - 00:12:19] 而不是任由Agent直接刷卡
[00:12:19 - 00:12:20] 而向银行之类的业务
[00:12:20 - 00:12:23] 在最初阶段大概会禁止Agent的接触
[00:12:23 - 00:12:25] 在人机交互方面
[00:12:25 - 00:12:27] 哈萨比斯特别提到了智能眼睛的潜力
[00:12:27 - 00:12:30] 当真正的把AI助手融入到日常生活以后
[00:12:30 - 00:12:32] 我们会发现很多场景下
[00:12:32 - 00:12:34] 拿着手机操作会有些不方便
[00:12:34 - 00:12:36] 就像在做饭的时候
[00:12:36 - 00:12:39] 我们希望AI助手能随时告诉我们下一步该怎么做
[00:12:39 - 00:12:41] 比如说食材是否切好了
[00:12:41 - 00:12:42] 火候怎么样了
[00:12:42 - 00:12:45] 但是这必须要以免提的方式才方便
[00:12:45 - 00:12:47] 所以他相信
[00:12:47 - 00:12:49] 未来几年各种免提形态的硬件
[00:12:49 - 00:12:52] 比如说眼镜或者是其他穿带式的设备
[00:12:52 - 00:12:53] 将会真正的兴起
[00:12:53 - 00:12:56] 而对于未来网络交互的变革
[00:12:56 - 00:12:57] 哈萨比斯认为
[00:12:57 - 00:12:59] 如果一切都变成Agentic
[00:12:59 - 00:13:01] 那么我们会希望让助手或者agent
[00:13:01 - 00:13:03] 替我们完成大量琐碎繁琐的任务
[00:13:03 - 00:13:06] 比如说填写表格 付款 订餐厅之类
[00:13:06 - 00:13:09] 这可能会形成一种新的经济模式
[00:13:09 - 00:13:12] 那就是你的agent和服务提供方的agent之间
[00:13:12 - 00:13:15] 相互对话协商 最后给你一个最终的结果
[00:13:15 - 00:13:18] 这种变革不仅是交互方式的改变
[00:13:18 - 00:13:20] 还可能带来更加深远的影响
[00:13:20 - 00:13:22] 尤其是在信息获取方面
[00:13:22 - 00:13:24] 虽然人类依然需要可靠的信息来源
[00:13:24 - 00:13:27] 但是各种AI助手将会帮助我们来整合
[00:13:27 - 00:13:29] 并且理解这些信息
[00:13:29 - 00:13:31] 随着AI技术的不断发展
[00:13:31 - 00:13:33] AI与人类的关系也将进入新的维度
[00:13:34 - 00:13:35] 哈萨比斯指出
[00:13:35 - 00:13:37] 随着AI机器人的不断进步
[00:13:37 - 00:13:39] 人们将会和他们产生非常深的情感连接
[00:13:40 - 00:13:42] 正如AI领域中的一句玩笑话
[00:13:42 - 00:13:44] 它现在是最差的状态
[00:13:44 - 00:13:46] 意思是AI只会越来越好
[00:13:46 - 00:13:47] 可以想象
[00:13:47 - 00:13:49] 未来那种人与AI深度交互的场景
[00:13:49 - 00:13:51] 会非常的震撼
[00:13:51 - 00:13:52] 将会给我们带来巨大的冲击
[00:13:53 - 00:13:53] 好了
[00:13:53 - 00:13:56] 以上就是这次哈萨比斯访谈的主要内容了
[00:13:56 - 00:13:58] 从AGI看似临近的突破
[00:13:58 - 00:14:01] 到AI创造力逐步进阶的眼睛路径
[00:14:01 - 00:14:03] 从AI给科学研究带来的革命性变革
[00:14:03 - 00:14:06] 到对AI安全风险的位于筹谋
[00:14:06 - 00:14:08] 从智能助手逐渐融入日常生活的趋势
[00:14:08 - 00:14:11] 再到人机交互展现出的全新可能
[00:14:11 - 00:14:13] 也许正如他所言
[00:14:13 - 00:14:16] AI目前处于一个既被高估又被低估的时期
[00:14:16 - 00:14:17] 未来的三到五年
[00:14:17 - 00:14:21] 我们也极有可能见证一系列改变人类历史的重大突破
[00:14:21 - 00:14:24] 大飞在这里也想正式的提醒大家
[00:14:24 - 00:14:26] 要做好迎接AI冲击的准备
[00:14:26 - 00:14:28] 正如在那片2012中上演的那樣
[00:14:28 - 00:14:31] 這場洪水將越過山巔 喜捲一切
[00:14:31 - 00:14:33] 感謝大家收看本期節目
[00:14:33 - 00:14:34] 我們下期再見
