BV号：BV1NmP9zRE3f
标题：BV1NmP9zRE3f
链接：https://www.bilibili.com/video/BV1NmP9zRE3f
识别语言：zh
语言置信度：1
分段数：156
生成时间：2026-08-29 20:34:09

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 我要说一个进入AI时代的真相
[00:02:28 - 00:02:31] 新仇更高,平均高47%
[00:02:31 - 00:02:35] 实心32.69美元对比22.23美元
[00:02:35 - 00:02:38] 换句话说,AIV写的首先是那些收过高等教育
[00:02:38 - 00:02:42] 新仇较高的专业人士,而不是低技能工人
[00:02:42 - 00:02:44] 这完全颠覆了我们之前的认知
[00:02:44 - 00:02:49] 观点3,失业率还没有上升,但招聘已经在放缓
[00:02:49 - 00:02:50] 这是最有意思的发现
[00:02:50 - 00:02:54] Anthropic的研究看了从2016年到现在的失业率数据
[00:02:54 - 00:02:59] 他们比较了高暴露度劳动者和低暴露度劳动者的失业率变化
[00:02:59 - 00:03:02] 结果是CHAT GPT发布以来
[00:03:02 - 00:03:05] 高暴露度劳动者的失业率并没有系统性上升
[00:03:05 - 00:03:07] 但这不意味着没有影响
[00:03:07 - 00:03:10] 他们发现了一个微妙但重要的变化
[00:03:10 - 00:03:12] 年轻劳动者 22 到 25 岁
[00:03:12 - 00:03:15] 进入高暴露度职业的招聘速度在放缓
[00:03:15 - 00:03:20] 具体来说进入高暴露职业的月度求职成功率下降了14%
[00:03:20 - 00:03:23] 虽然这个数据刚好达到统计显著性的边界
[00:03:23 - 00:03:25] 但方向很清楚
[00:03:25 - 00:03:28] 说明AI的影响不是立即的大规模失业
[00:03:28 - 00:03:30] 而是缓慢的结构性的调整
[00:03:30 - 00:03:33] 现在让我们看看主流观点的三个大雾区
[00:03:33 - 00:03:33] 雾区一
[00:03:33 - 00:03:36] AI会立即大规模替代工作
[00:03:36 - 00:03:37] 真实情况
[00:03:37 - 00:03:39] 实际采用远制后遇理论能力
[00:03:39 - 00:03:43] 即使AI在理论上能做某件事从理论到实际应用
[00:03:43 - 00:03:45] 还需要多年时间
[00:03:45 - 00:03:47] 法律约束软件要求人工验证步骤
[00:03:47 - 00:03:49] 这些都会延缓AI的真实应用
[00:03:49 - 00:03:54] 物区二,低纪能工人风险最大,真实情况恰恰相反
[00:03:54 - 00:03:57] 高学历高薪酬的白领面临更大风险
[00:03:57 - 00:04:00] 因为他们的工作任务更容易被标准化和自动化
[00:04:00 - 00:04:02] 物区三,历史会重演
[00:04:02 - 00:04:05] 真实情况,过去的技术预测往往失败
[00:04:05 - 00:04:09] 1990年代有人预测25%的工作会被离岸化
[00:04:09 - 00:04:12] 结果10年后,这些工作仍然增长良好
[00:04:12 - 00:04:15] 机器人会大规模替代工人?没有
[00:04:15 - 00:04:18] 所以我们需要的不是恐慌而是数据
[00:04:18 - 00:04:21] 基于这份研究我想提出一个新的认知框架
[00:04:21 - 00:04:23] AI的影响不是突然的失业潮
[00:04:23 - 00:04:25] 而是缓慢的结构调整
[00:04:25 - 00:04:26] 想象一下
[00:04:26 - 00:04:29] 这就像一个缓慢的职业转型过程
[00:04:29 - 00:04:31] 首先AI能力在提升
[00:04:31 - 00:04:33] 但实际应用还远远不足
[00:04:33 - 00:04:35] 这给了我们一个窗口期
[00:04:35 - 00:04:37] 去观察哪些职业最容易被影响
[00:04:37 - 00:04:39] 其次影响不会一下子显现
[00:04:39 - 00:04:41] 它会先从招聘放缓开始
[00:04:41 - 00:04:43] 然后可能是薪酬压力
[00:04:43 - 00:04:44] 最后才是失业
[00:04:44 - 00:04:48] 再次受影响最大的是那些任务最容易被标准化的职业
[00:04:48 - 00:04:51] 讽刺的是这些往往是高学历、高薪酬的工作
[00:04:51 - 00:04:55] 最后我们现在看到的年轻劳动者招聘放缓
[00:04:55 - 00:04:56] 可能只是冰山一角
[00:04:56 - 00:04:59] 未来几年我们需要密切关注这个趋势
[00:04:59 - 00:05:00] 那么未来会怎样
[00:05:00 - 00:05:03] 根据这份研究我预测以下几个趋势
[00:05:03 - 00:05:06] 趋势1理论能力覆盖实际使用
[00:05:06 - 00:05:09] 随着AI能力提升采用扩展部署深化
[00:05:09 - 00:05:12] 实际使用会逐步接近理论能力
[00:05:12 - 00:05:13] 但这需要时间
[00:05:13 - 00:05:16] 趋势2但永远不会完全覆盖
[00:05:16 - 00:05:18] 因为有很多任务永远超出AI的能力范围
[00:05:18 - 00:05:23] 从修减数目、操作、农业机械这样的体力劳动
[00:05:23 - 00:05:26] 到在法庭上代理客户这样的法律任务
[00:05:26 - 00:05:27] 趋势三
[00:05:27 - 00:05:29] 年轻劳动者可能继续面临挑战
[00:05:29 - 00:05:32] 他们进入高暴路职业的难度会增加
[00:05:32 - 00:05:35] 这可能导致他们选择其他职业或者继续深造
[00:05:35 - 00:05:36] 趋势四
[00:05:36 - 00:05:39] 高学历专业人士需要持续升级技能
[00:05:39 - 00:05:40] 不是被AI替代
[00:05:40 - 00:05:42] 而是学会和AI一起工作
[00:05:42 - 00:05:44] 这可能是未来最重要的职业技能
[00:05:44 - 00:05:46] 总结一下今天的核心观点
[00:05:46 - 00:05:49] 1. AI对劳动力市场的威胁是真实的
[00:05:49 - 00:05:51] 但被严重高估了
[00:05:51 - 00:05:54] 2. 受威胁最大的不是低技能工人
[00:05:54 - 00:05:55] 而是高学历白领
[00:05:55 - 00:05:58] 3. 影响不是立即的事业
[00:05:58 - 00:06:00] 而是缓慢的结构调整
[00:06:00 - 00:06:02] 4. 历史告诉我们
[00:06:02 - 00:06:04] 技术冲击的预测往往失败
[00:06:04 - 00:06:07] 5. 我们需要的是持续的数据监测
[00:06:07 - 00:06:08] 而不是恐慌
[00:06:08 - 00:06:11] 最后我想用一句话总结这份研究的核心动差
[00:06:11 - 00:06:14] AI的真正威胁不在于它能做什么
[00:06:14 - 00:06:16] 而在于它实际上在做什么
[00:06:16 - 00:06:17] 在那个差距缩小之前
[00:06:17 - 00:06:19] 我们有时间去适应
[00:06:19 - 00:06:20] 感谢你的观看
[00:06:20 - 00:06:21] 如果这个视频对你有帮助
[00:06:21 - 00:06:23] 欢迎点赞评论和订阅
[00:06:23 - 00:06:25] 有什么想讨论的观点
[00:06:25 - 00:06:26] 欢迎在评论区留言
