BV号：BV1N2FTeREeZ
标题：BV1N2FTeREeZ
链接：https://www.bilibili.com/video/BV1N2FTeREeZ
识别语言：zh
语言置信度：1
分段数：357
生成时间：2026-08-30 17:56:19

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近DeepSync的每一个举动
[00:04:00 - 00:04:03] DeepSig让两个编码器的知识实现了融合
[00:04:03 - 00:04:05] 与DeepSig从头开始训练不同
[00:04:05 - 00:04:07] Meta是给一有的语言模型
[00:04:07 - 00:04:09] 加上视觉注意力头和视觉编码
[00:04:09 - 00:04:12] 再经过大约20万张图文队的微调训练
[00:04:12 - 00:04:14] 唤醒大约模型自由的图像理解能力
[00:04:14 - 00:04:16] 而DeepSig则更进一步
[00:04:16 - 00:04:19] 在图像方面使用生成和理解两个解码器
[00:04:19 - 00:04:22] 实现了图像生成和理解的大一统
[00:04:22 - 00:04:24] 这听起来好像很简单
[00:04:24 - 00:04:26] 无非就是不再执着于统一的编码模式
[00:04:26 - 00:04:29] 但是这个想法其实是颠覆性的
[00:04:29 - 00:04:32] 过去的大一统模型主要是受到人脑的启发
[00:04:32 - 00:04:35] 认为通用智能应该有统一的信息处理机制
[00:04:35 - 00:04:38] 期望通过统一的架构来发现魔态间的深层联系
[00:04:38 - 00:04:41] 从而实现真正的跨模态理解
[00:04:41 - 00:04:42] 而不是表面的特征映射
[00:04:43 - 00:04:45] 然而大家低估了Transformer本身的能力
[00:04:45 - 00:04:47] 就算使用不同的处理器
[00:04:47 - 00:04:50] Transformer依然可以理解这些信息的本质
[00:04:50 - 00:04:52] 除了架构创新以外
[00:04:52 - 00:04:55] Genus Pro在训练策略上也进行了大胆的创新
[00:04:55 - 00:04:57] 它采用了三段式的训练方法
[00:04:57 - 00:04:59] 每个阶段都进行了独特的优化
[00:05:00 - 00:05:01] 在第一个阶段
[00:05:01 - 00:05:04] 传统的多摩泰AI训练只是进行预热
[00:05:04 - 00:05:06] 主要通过预训练视觉编码器
[00:05:06 - 00:05:08] 来学习基础的视觉特征提取能力
[00:05:08 - 00:05:11] 通常只占总训练时间的15%左右
[00:05:11 - 00:05:15] 但是DeepSake研究团队发现了一个反直觉的现象
[00:05:15 - 00:05:17] 即使将大语言模型的参数完全锁定
[00:05:17 - 00:05:19] 只训练适配器
[00:05:19 - 00:05:22] 模型也能够掌握复杂的像素依赖关系
[00:05:22 - 00:05:25] 这样不仅大幅降低了训练成本和复杂度
[00:05:25 - 00:05:26] 还能够显著提高性能
[00:05:26 - 00:05:27] 基于这个发现
[00:05:27 - 00:05:29] 他们将第一阶段的训练时间
[00:05:29 - 00:05:32] 延长到了总时长的25%-30%
[00:05:32 - 00:05:35] 使得模型的基础视觉理解能力
[00:05:35 - 00:05:36] 实现了质的飞跃
[00:05:36 - 00:05:37] 到了第二阶段
[00:05:37 - 00:05:39] 也就是多模态AI训练的
[00:05:39 - 00:05:41] 模态对齐阶段
[00:05:41 - 00:05:44] 传统方法会同时训练视觉和语言模型
[00:05:44 - 00:05:45] 来实现魔态的对齐
[00:05:45 - 00:05:47] 这个过程通常会消耗
[00:05:47 - 00:05:49] 超过50%的训练时间
[00:05:49 - 00:05:51] 占用大量的计算资源
[00:05:51 - 00:05:52] 我们都知道长期以来
[00:05:52 - 00:05:54] EmergyNet的数据级
[00:05:54 - 00:05:55] 在视觉模型训练中
[00:05:55 - 00:05:56] 占据着重要的地位
[00:05:56 - 00:05:57] 几乎所有的视觉模型
[00:05:57 - 00:05:59] 都要在EmergyNet上进行训练
[00:05:59 - 00:06:01] 因此在传统训练流程中
[00:06:01 - 00:06:03] 高达67%的训练部数
[00:06:03 - 00:06:05] 都用在了EmergyNet上
[00:06:05 - 00:06:07] 然而DeepSig的团队发现
[00:06:07 - 00:06:09] EmergyNet的数据分布
[00:06:09 - 00:06:11] 其实与实际的应用场景差异很大
[00:06:11 - 00:06:12] 大量训练是无效的
[00:06:12 - 00:06:14] 造成了严重的资源浪费
[00:06:14 - 00:06:17] 于是他们又做出了一个颠覆性的决定
[00:06:17 - 00:06:20] 完全放弃在第二阶段使用ImageNet
[00:06:20 - 00:06:23] 改为直接使用真实的文生图数据进行训练
[00:06:23 - 00:06:25] 这个改变效果非常显著
[00:06:25 - 00:06:27] 直接让训练时间减少了40%
[00:06:27 - 00:06:29] 生成质量提升了35%
[00:06:29 - 00:06:33] 模型对真实场景的适应性也大幅的提升
[00:06:33 - 00:06:35] 而在多摩泰模型训练的第三阶段
[00:06:35 - 00:06:39] 因为要使用任务相关的数据级来微调模型参数
[00:06:39 - 00:06:42] 所以对于模型的最终表现起着关键的作用
[00:06:42 - 00:06:44] 在传统方法中多摩泰数据
[00:06:44 - 00:06:47] 纯文本数据和文生图数据的配比
[00:06:47 - 00:06:49] 通常是7比3比10
[00:06:49 - 00:06:51] DeepSig团队通过大量的实现
[00:06:51 - 00:06:53] 发现了一个更优的配比方案
[00:06:53 - 00:06:56] 于是将这三类数据调整为5比1比4的比例
[00:06:56 - 00:06:58] 这就好像是西方的链金数式
[00:06:58 - 00:07:01] 发现了一个神秘的东方配方一样
[00:07:01 - 00:07:02] 在文生图的数据部分
[00:07:02 - 00:07:05] 他们还创新性的引入了合成美学数据
[00:07:05 - 00:07:07] 与真实数据形成了1比1的配比
[00:07:07 - 00:07:09] 这样带来的好处是
[00:07:09 - 00:07:10] 模型的收敛更快
[00:07:10 - 00:07:12] 生成的结果更加稳定
[00:07:12 - 00:07:14] 输出图像的美学质量
[00:07:14 - 00:07:15] 也得到了显著的提升
[00:07:15 - 00:07:18] 通过这三个阶段的创新训练方法
[00:07:18 - 00:07:21] Genespro 7B模型再次上演了算力极限
[00:07:21 - 00:07:22] 几用了32个节点
[00:07:22 - 00:07:24] 256张A100
[00:07:24 - 00:07:26] 14天的时间就完成了训练
[00:07:26 - 00:07:28] 而1.5B模型更是只用了一半
[00:07:28 - 00:07:30] 16个节点和7天时间
[00:07:30 - 00:07:33] 那么经过一系列的创新设计和训练优化
[00:07:33 - 00:07:36] Genespro的性能表现究竟如何呢
[00:07:36 - 00:07:37] 在实验设置上
[00:07:37 - 00:07:39] Genespro使用了DeepSync LRM
[00:07:39 - 00:07:42] 1.5B和7B3数作为基础的语言模型
[00:07:42 - 00:07:45] 最大支持序列长度为4096
[00:07:45 - 00:07:48] 理解任务中使用了Siglib Large Patch 16384
[00:07:48 - 00:07:50] 作为视觉编码器
[00:07:50 - 00:07:53] 生成编码器的码本大小为16384
[00:07:53 - 00:07:56] 并且将图像下采样16倍
[00:07:56 - 00:07:59] 理解适配器和生成适配器均为两层的MLP
[00:07:59 - 00:08:00] 实验结果表明
[00:08:00 - 00:08:03] 在多摩泰理解MM半尺测试中
[00:08:03 - 00:08:06] Genus Pro 7B获得了79.2分的好成绩
[00:08:06 - 00:08:08] 超越了之前Genus的69.4分
[00:08:08 - 00:08:12] Token Flow的68.9分和Metamoff的75.2分
[00:08:12 - 00:08:14] 在图像生成评测方面
[00:08:14 - 00:08:18] Genese Pro 7B在真Evo基准测试中达到了0.80分
[00:08:18 - 00:08:21] 大幅领先于Dolly 3的0.67分
[00:08:21 - 00:08:24] 和Stable Diffusion 3 Medium的0.74分
[00:08:24 - 00:08:26] 在DPG BANCH测试中
[00:08:26 - 00:08:28] Genese Pro 7B获得了84.19分
[00:08:28 - 00:08:30] 超越了所有其他的方法
[00:08:30 - 00:08:32] 这表明它在遵循密集提示
[00:08:32 - 00:08:35] 进行文本到图像生成方面表现出色
[00:08:35 - 00:08:36] 从实际的使用效果来看
[00:08:36 - 00:08:40] GENUS PRO的多摩泰理解和图像生成能力也可圈可点
[00:08:40 - 00:08:42] 在多摩泰理解方面
[00:08:42 - 00:08:43] 论文展示了多个范例
[00:08:43 - 00:08:45] 比如说在地标识别中
[00:08:45 - 00:08:46] 它能够准确的识别
[00:08:46 - 00:08:48] 杭州西湖的三坛音乐景区
[00:08:48 - 00:08:50] 不仅能够描述眼前的景象
[00:08:50 - 00:08:53] 还能够理解更加深层的文化内涵和历史意义
[00:08:53 - 00:08:54] 在文本理解上
[00:08:54 - 00:08:55] 面对一块写有
[00:08:55 - 00:08:58] 自21世纪以来服务灵魂的黑板
[00:08:58 - 00:09:00] 它不仅能够准确识别主要的文字
[00:09:00 - 00:09:02] 还能够注意到周边的细节信息
[00:09:02 - 00:09:03] 在上下文理解方面
[00:09:03 - 00:09:06] 在解读猫和老鼠主题蛋糕的时候
[00:09:06 - 00:09:08] 它能够深入理解动画角色的设定
[00:09:08 - 00:09:09] 造型特点
[00:09:09 - 00:09:11] 并且准确描述蛋糕上的设计元素
[00:09:11 - 00:09:13] 在图像生成方面
[00:09:13 - 00:09:15] 它展示了8个不同场景的生成效果
[00:09:15 - 00:09:17] 涵盖现实于想象两个维度
[00:09:17 - 00:09:21] 虽然输出的分辨力仅仅为384×384
[00:09:21 - 00:09:23] 但是每一幅画面都展现出了细致的细节
[00:09:23 - 00:09:25] 和准确的语义理解
[00:09:25 - 00:09:28] 不过真得斯普也并非完美无缺
[00:09:28 - 00:09:29] 在多摩泰理解方面
[00:09:29 - 00:09:30] 它的输入分辨率
[00:09:30 - 00:09:33] 被限制在了384×384
[00:09:33 - 00:09:37] 这在一定程度上影响了在OCR等等细腻度任务中的表现
[00:09:37 - 00:09:39] 对于文本到图像生成
[00:09:39 - 00:09:42] 低分辨率以及视觉分辍器所引入的重建损失
[00:09:42 - 00:09:45] 使得生成的图像虽然语异内容很丰富
[00:09:45 - 00:09:47] 但是仍然缺乏精细的细节
[00:09:47 - 00:09:49] 比如说面部区域可能会显得细节不足
[00:09:49 - 00:09:51] 在未来提高图像的分辨率
[00:09:51 - 00:09:53] 或许可以缓解这些问题
[00:09:53 - 00:09:54] 应该说
[00:09:54 - 00:09:55] Genus Pro出现
[00:09:55 - 00:09:58] 对于多模太大一统模型的发展就有重要的意义
[00:09:58 - 00:10:01] 它通过创新的架构设计和捷舞的训练策略
[00:10:01 - 00:10:04] 首次证明了理解和生成这两个分离的任务
[00:10:04 - 00:10:05] 可以在一个统一的框架下
[00:10:05 - 00:10:07] 达到各自的最优状态
[00:10:07 - 00:10:08] 有趣的是
[00:10:08 - 00:10:09] 传统的大一统模型
[00:10:09 - 00:10:11] 声声受到了人脑的启发
[00:10:11 - 00:10:13] 但是却忽略了人脑功能分区
[00:10:13 - 00:10:14] 与整合的变征关系
[00:10:14 - 00:10:16] 而Genus Pro的架构设计
[00:10:16 - 00:10:18] 仿佛才是真的在向人脑学习
[00:10:18 - 00:10:21] 图像理解编码器类似于左脑的分析功能
[00:10:21 - 00:10:23] 图像生成编码器则类似于右脑的
[00:10:23 - 00:10:25] 艺术创造能力
[00:10:25 - 00:10:26] Transformer则像品质体一样
[00:10:26 - 00:10:29] 将两路信息进行深度的整合
[00:10:29 - 00:10:31] 从而实现对多魔态数据的统一理解
[00:10:31 - 00:10:33] 在发布Genesis Pro的同时
[00:10:33 - 00:10:37] DeepSig还发布了一个多魔态理解模型Genesis Flow 1.3B
[00:10:37 - 00:10:40] Genesis Flow的论文其实早在去年10月份就已经发布了
[00:10:41 - 00:10:41] 简单来说
[00:10:41 - 00:10:44] 它是基于视觉编码器和大原模型的理解框架
[00:10:44 - 00:10:48] 与基于矫正流Raptified Flow的生成框架直接融合
[00:10:48 - 00:10:51] 实现了两者在单一大原模型中的端道端训练
[00:10:51 - 00:10:53] DeepSig的研究表明
[00:10:53 - 00:10:55] 矫正流可以在大原模型框架内直接的训练
[00:10:55 - 00:10:57] 无需进行复杂的架构修改
[00:10:57 - 00:10:59] 为了进一步提高统一模型的性能
[00:10:59 - 00:11:01] 他们还采用了两种关键的策略
[00:11:01 - 00:11:04] 一是将理解和生成编码器结合
[00:11:04 - 00:11:07] 二是在统一训练期间对齐他们的表征
[00:11:07 - 00:11:09] 简注提升矫正流的训练效率
[00:11:09 - 00:11:10] 在训练阶段
[00:11:10 - 00:11:13] Genese Flow仍然采取了三段式的训练方式
[00:11:13 - 00:11:16] 将训练分为随机触实化组建的适应阶段
[00:11:16 - 00:11:19] 统一预训练阶段和监督微调三个阶段
[00:11:19 - 00:11:20] 在第一个阶段
[00:11:20 - 00:11:22] 只训练随机触实化的组建
[00:11:22 - 00:11:25] 包括线性层,生成编码器和生成解码器
[00:11:25 - 00:11:26] 在第二个阶段
[00:11:26 - 00:11:27] 训练整个模型
[00:11:27 - 00:11:29] 但是不包括视觉编码器
[00:11:29 - 00:11:31] 训练数据包括三种类型
[00:11:31 - 00:11:32] 分别是多模态理解
[00:11:32 - 00:11:34] 图像生成和紧文本数据
[00:11:34 - 00:11:36] 最初分配了较高比例的
[00:11:36 - 00:11:37] 是多模态理解数据
[00:11:37 - 00:11:39] 用来建立模型的理解能力
[00:11:39 - 00:11:42] 随后逐步增加图像生成数据的比例
[00:11:42 - 00:11:44] 来满足基于扩散模型的收敛需求
[00:11:44 - 00:11:47] 最后阶段使用指令调优数据
[00:11:47 - 00:11:48] 对预训练模型进行微调
[00:11:48 - 00:11:50] 包括对话任务特定的交流
[00:11:50 - 00:11:53] 以及高质量的基于文本的图像生成势力
[00:11:53 - 00:11:56] 这个阶段还需要解冻Siglib 编码器的参数
[00:11:56 - 00:11:59] 让模型能够有效的去响应用户的指令
[00:11:59 - 00:12:01] 完成多摩泰理解和图像生成的任务
[00:12:01 - 00:12:03] 当时的实验结果表明
[00:12:03 - 00:12:06] Genus Flow在总体得分上达到了0.63分
[00:12:06 - 00:12:09] 超过了之前的统一框架以及多个生成特定模型
[00:12:09 - 00:12:12] 包括SDXL和道理2
[00:12:12 - 00:12:16] 好了 以上就是对DeepSig的Genus Pro和Genus Flow的简单解读了
[00:12:16 - 00:12:20] DeepSig再一次在价格创新 训练策略和算理优化等方面
[00:12:20 - 00:12:22] 为东摩泰大一统模型的发展
[00:12:22 - 00:12:23] 指明了新的方向
[00:12:23 - 00:12:25] 虽然目前还是存在了一些局限性
[00:12:25 - 00:12:27] 但是随着技术的不断发展和优化
[00:12:27 - 00:12:30] 相信东摩泰大一统模型也会越来越完善
[00:12:30 - 00:12:33] 也期待看到DeepSake给我们带来更多的技术突破
[00:12:34 - 00:12:36] 今天也是中国的农历新年出息
[00:12:36 - 00:12:37] 辞救银心
[00:12:37 - 00:12:39] 大飞特意买了一件红色的衣服
[00:12:39 - 00:12:40] 来录的这个视频
[00:12:40 - 00:12:42] 中心感谢所有观众朋友
[00:12:42 - 00:12:45] 对频道和我一直以来的包容和支持
[00:12:45 - 00:12:47] 希望给大家带来更多好的节目
[00:12:47 - 00:12:48] 也祝愿大家在新的一年
[00:12:48 - 00:12:50] 红红火火万事如意
[00:12:50 - 00:12:51] 感谢大家观看
[00:12:51 - 00:12:52] 我们下期再见
