BV号：BV1bxP2ejEEN
标题：BV1bxP2ejEEN
链接：https://www.bilibili.com/video/BV1bxP2ejEEN
识别语言：zh
语言置信度：1
分段数：362
生成时间：2026-08-30 17:02:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技行业的发展历程中
[00:11:16 - 00:11:18] 高通是首批无经员厂公司之一
[00:11:18 - 00:11:21] 台积电一直希望能够与高通合作
[00:11:21 - 00:11:23] 当时高通的主要代工厂是IBM
[00:11:23 - 00:11:25] 虽然台积电与高通有过接触
[00:11:25 - 00:11:28] 但是高通给台积电的生意很少
[00:11:28 - 00:11:30] 直到1997年到1998年
[00:11:30 - 00:11:33] 高通突然开始增加与台积电的业务合作
[00:11:33 - 00:11:34] 张中谋敏锐的意识到
[00:11:34 - 00:11:37] IBM半导体公司可能陷入了困境
[00:11:37 - 00:11:39] 因为高通是IBM的重要客户
[00:11:39 - 00:11:42] 高通的转向意味着IBM失去了重要的业务来源
[00:11:42 - 00:11:44] 果然1999年
[00:11:44 - 00:11:47] IBM提议与台积电共同开发下一代的技术
[00:11:47 - 00:11:49] 即0.13米130大米
[00:11:49 - 00:11:51] 但是张中谋拒绝了这一提议
[00:11:51 - 00:11:53] 原因是 与IBM共同开发
[00:11:53 - 00:11:56] 会让台积电失去自主开发制程的能力
[00:11:56 - 00:11:59] 在合作中 台积电的工程师需要前往IBM
[00:11:59 - 00:12:02] 这会让他们陷入不同的文化环境
[00:12:02 - 00:12:04] 还可能依赖IBM的代码开发
[00:12:04 - 00:12:06] 而代码开发往往会遇到很多的困难
[00:12:06 - 00:12:09] IBM被拒绝之后非常的生气
[00:12:09 - 00:12:11] 主要与联华电子合作
[00:12:11 - 00:12:13] 联华电子当时在产量和规模方面
[00:12:13 - 00:12:14] 都比不上台积电
[00:12:14 - 00:12:15] 但是几年之后
[00:12:15 - 00:12:18] 联华电子后会接受了IBM的提议
[00:12:18 - 00:12:21] 这也从侧面证明了张中谋决策的正确性
[00:12:21 - 00:12:23] 回顾台积电的发展历程
[00:12:23 - 00:12:24] 我们不仅要思考
[00:12:24 - 00:12:27] 它为什么能够取得如此巨大的成功
[00:12:27 - 00:12:30] 这其中学习曲线理论起到了重要的作用
[00:12:30 - 00:12:32] 学习曲线理论简单来说
[00:12:32 - 00:12:34] 就是当公司生产的产品数量越多
[00:12:34 - 00:12:36] 单位产品的成本就会下降
[00:12:36 - 00:12:38] 也被称为经验曲线
[00:12:38 - 00:12:41] 因为经验越多 生产的效率也就越高
[00:12:41 - 00:12:43] 但是这个理论并不是简单这么理解
[00:12:43 - 00:12:46] 它背后有着复杂的经济和管理逻辑
[00:12:46 - 00:12:47] 上世纪70年代
[00:12:47 - 00:12:51] 波士顿资寻集团的创始人布鲁斯·亨德森认为
[00:12:51 - 00:12:53] 这个理论将使半导体行业受益
[00:12:53 - 00:12:55] 于是来到德州仪器公司进行演示
[00:12:55 - 00:12:59] 当时的德州仪器是半导体行业的最大的公司
[00:12:59 - 00:13:02] 首席执行官马克·谢伯德对演示很感兴趣
[00:13:02 - 00:13:05] 决定与波士顿咨询集团合作研究这个理论
[00:13:05 - 00:13:09] 布鲁斯亨德森只派了比尔贝恩在德州仪器工作
[00:13:09 - 00:13:11] 张忠谋担任德州仪器的负责人
[00:13:11 - 00:13:13] 与比尔贝恩密切的合作
[00:13:13 - 00:13:14] 在两年多的时间里
[00:13:14 - 00:13:17] 张忠谋深入学习和吸收了学习曲线的理论
[00:13:17 - 00:13:19] 并且将它运用到了后来的工作中
[00:13:19 - 00:13:22] 这个理论在台积电的发展中发挥了重要的作用
[00:13:22 - 00:13:25] 帮助公司在生产规模扩大的过程中
[00:13:25 - 00:13:27] 不断的降低成本 提高竞争力
[00:13:27 - 00:13:30] 另外台积电对于行业趋势的准确预见
[00:13:30 - 00:13:32] 也是成功的一个关键
[00:13:32 - 00:13:35] 早在无经元厂模式还没有兴起的时候
[00:13:35 - 00:13:37] 张中谋就已经预见到了他的发展潜力
[00:13:37 - 00:13:39] 在通用仪器公司工作的时候
[00:13:39 - 00:13:42] 格提坎佩尔希望获得资金创办新的公司
[00:13:42 - 00:13:44] 他表示不需要建经元厂
[00:13:44 - 00:13:47] 这样张周某意识到无经元厂公司模式的可能性
[00:13:47 - 00:13:50] 之后唐瓦伦丁创办的Atmell公司
[00:13:50 - 00:13:52] 也采用了无经元厂模式
[00:13:52 - 00:13:54] 寻求通用仪器公司代工
[00:13:54 - 00:13:57] 这些早期的经历让张周某坚信
[00:13:57 - 00:14:00] 无经元厂模式将在半导体行业占据重要的地位
[00:14:00 - 00:14:02] 而台积电也正式抓住了这个趋势
[00:14:02 - 00:14:04] 不断的发展壮大
[00:14:04 - 00:14:05] 如今台积电已经成为了
[00:14:05 - 00:14:07] 世界上重要的半导体制造企业
[00:14:07 - 00:14:11] 是世界上唯一一家不在美国西韩案的万亿美元公司
[00:14:11 - 00:14:14] 它的发展历程充满了挑战与机遇
[00:14:14 - 00:14:15] 从与英伟达的早期合作
[00:14:15 - 00:14:17] 到与苹果的曲折携手
[00:14:17 - 00:14:19] 再到在技术研发上的关键决策
[00:14:19 - 00:14:23] 每一步都凝聚着张中谋这些管理者的智慧和眼光
[00:14:23 - 00:14:26] 这些故事不仅是台积电的成长历史
[00:14:26 - 00:14:28] 更是整个半导体行业发展的生动写照
[00:14:28 - 00:14:32] 希望今天的分享能够让大家对于半导体行业的发展
[00:14:32 - 00:14:33] 有更深入的了解
[00:14:33 - 00:14:35] 建议大家有时间去看一下原视频
[00:14:35 - 00:14:37] 感谢大家的观看 我们下期再见
