BV号：BV1qV9bByEtZ
标题：BV1qV9bByEtZ
链接：https://www.bilibili.com/video/BV1qV9bByEtZ
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-08-29 17:06:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 2026年第一季度
[00:02:54 - 00:02:56] 这就好比在19世纪末
[00:02:56 - 00:02:59] 工厂老板把蒸汽机换成了电动机
[00:02:59 - 00:03:00] 但工厂的流水线
[00:03:00 - 00:03:04] 工人的排班管理层的汇报机制全都没变
[00:03:04 - 00:03:04] 结果呢
[00:03:04 - 00:03:06] 生产力几乎没有提升
[00:03:06 - 00:03:08] 直到20世纪20年代
[00:03:08 - 00:03:10] 人们围绕电力的特性
[00:03:10 - 00:03:12] 重新设计了整个工厂的布局
[00:03:12 - 00:03:14] 真正的效率飞跃才出现
[00:03:14 - 00:03:16] 现在的公司就是在用旧的组织架构
[00:03:16 - 00:03:18] 硬套新的AI引擎
[00:03:18 - 00:03:19] 机器转的更快了
[00:03:19 - 00:03:21] 但它依然是那台舊机器
[00:03:21 - 00:03:23] 这个现象我之前在
[00:03:23 - 00:03:24] 为什么AI让你变强了
[00:03:24 - 00:03:26] 你的公司却没变强
[00:03:26 - 00:03:27] 这期视频里有深度拆解过
[00:03:27 - 00:03:29] 感兴趣的可以去看看
[00:03:29 - 00:03:30] 回到工程师视角
[00:03:30 - 00:03:31] 看一下为什么这种
[00:03:31 - 00:03:33] 就品装新久的做法
[00:03:33 - 00:03:35] 会让工程师越来越累
[00:03:35 - 00:03:37] 我们从四个维度来拆解
[00:03:37 - 00:03:39] 第一局部优化带来的全局拥堵
[00:03:39 - 00:03:41] 你用AI写代码确实快了
[00:03:41 - 00:03:44] 一天能产出过去一周的代码量
[00:03:44 - 00:03:46] 但问题是代码写完之后呢
[00:03:46 - 00:03:47] 代码审查的速度跟上了吗
[00:03:47 - 00:03:49] 测试团队的吞吐量跟上了吗
[00:03:49 - 00:03:52] 产品经理的需求确认跟上了吗
[00:03:52 - 00:03:54] 当你的局部效率极度提升
[00:03:54 - 00:03:57] 而上下游的流程依然是人工主导时
[00:03:57 - 00:04:00] 你就会变成整个流水线上的艳色虎
[00:04:00 - 00:04:02] 你写的越快 计押的工作就越多
[00:04:02 - 00:04:03] 沟通成本就越高
[00:04:03 - 00:04:05] 你不是在写代码
[00:04:05 - 00:04:07] 你是在无休止的解释协调和等待
[00:04:07 - 00:04:09] 第二隐性知识的断层
[00:04:09 - 00:04:12] 以前一个系统是怎么跑起来的哪些地方有坑
[00:04:12 - 00:04:15] 这些隐性知识都存在老员工的脑子里
[00:04:15 - 00:04:17] 现在公司为了降本增效
[00:04:17 - 00:04:18] 裁掉了一批老员工
[00:04:18 - 00:04:20] 指望AI能接管一切
[00:04:20 - 00:04:21] 但AI没有这些上下文
[00:04:21 - 00:04:23] 当系统出问题时
[00:04:23 - 00:04:25] AI只能给你通用的解决方案
[00:04:25 - 00:04:27] 而那个知道为什么当年要这么写的人
[00:04:27 - 00:04:29] 已经拿着N加一走人了
[00:04:29 - 00:04:31] 留下的你只能在史山代码里
[00:04:31 - 00:04:33] 和AI一起抓虾
[00:04:33 - 00:04:35] 第三管理期望的通货膨胀
[00:04:35 - 00:04:38] 老板看到你用AI一天能干完三天的活
[00:04:38 - 00:04:40] 他的第一反应绝对不是太好了
[00:04:40 - 00:04:42] 你可以休息两天
[00:04:42 - 00:04:43] 而是太好了
[00:04:43 - 00:04:45] 你现在可以干九天的活了
[00:04:45 - 00:04:47] 效率的提升并没有转化为员工的福利
[00:04:47 - 00:04:49] 而是转化为了更高的KPI
[00:04:49 - 00:04:52] 你不仅要完成更多的开发任务
[00:04:52 - 00:04:54] 还要花时间去学习新的AI工具
[00:04:54 - 00:04:57] 去甄别AI生成的代码有没有安全漏洞
[00:04:57 - 00:04:59] 你的工作边界被无限拉长了
[00:04:59 - 00:05:01] 第四经验一家正在清零
[00:05:01 - 00:05:04] 微软的七十法则买断计划
[00:05:04 - 00:05:08] 直接将刀口对准了高薪资高工龄的老员工
[00:05:08 - 00:05:13] 当公司开始用监控软件记录员工的键盘敲击和鼠标轨迹来训练
[00:05:13 - 00:05:14] 未来的AI时
[00:05:14 - 00:05:17] 按部就班的熟练度已经不再是B类
[00:05:17 - 00:05:18] 你过去G类的工作经验
[00:05:18 - 00:05:21] 正在被快速数字化和复制
[00:05:21 - 00:05:22] 你的不可替代性在下降
[00:05:22 - 00:05:25] 那么在这种高强度AI协同里
[00:05:25 - 00:05:26] 你之所以觉得累
[00:05:26 - 00:05:28] 根本不是因为AI抢了你的饭碗
[00:05:28 - 00:05:32] 而是因为你所在的组织根本没有准备好营解AI
[00:05:32 - 00:05:34] 麦肯西救不了你的公司
[00:05:34 - 00:05:35] 传统的咨询公司也救不了
[00:05:35 - 00:05:37] 因为他们的方法论
[00:05:37 - 00:05:39] 依然是派几个人来做访谈
[00:05:39 - 00:05:40] 画PPT 出路线图
[00:05:40 - 00:05:43] 这种基于抽样调查的转型方式
[00:05:43 - 00:05:45] 在AI时代太慢太粗糙了
[00:05:45 - 00:05:47] 真正的AI原生组织
[00:05:47 - 00:05:49] 不是在现有流程上打补钉
[00:05:49 - 00:05:52] 而是从第一天起就围绕AI的能力
[00:05:52 - 00:05:53] 来设计公司
[00:05:53 - 00:05:54] 在AI原生组织里
[00:05:54 - 00:05:57] AI不是工具而是基础设施
[00:05:57 - 00:05:59] 它改变了信息流动的方式
[00:05:59 - 00:06:00] 改变了决策的逻辑
[00:06:00 - 00:06:03] 比如AIAgent可以同时访谈公司里的
[00:06:03 - 00:06:04] 1万名员工
[00:06:04 - 00:06:07] 实时会制出公司真实的运转图谱
[00:06:07 - 00:06:08] 找出真正的瓶颈
[00:06:08 - 00:06:10] 然后动态调整资源
[00:06:10 - 00:06:12] 这才是真正的降为打击
[00:06:12 - 00:06:16] 现在让我们深入到工程师个人的认知刷新
[00:06:16 - 00:06:18] 首先你必须打破生产力幻觉
[00:06:18 - 00:06:21] 那个56%的AI技能新资意价
[00:06:21 - 00:06:24] 绝对不是奖励给那些只会用大模型
[00:06:24 - 00:06:27] 生成几段基础函数的API调用员的
[00:06:27 - 00:06:29] 未来的核心竞争力
[00:06:29 - 00:06:33] 在于你能否完成从单点输出到多智能体编排的月签
[00:06:33 - 00:06:35] 你需要理解不同模型的记忆结构
[00:06:35 - 00:06:37] 上下文窗口的局限
[00:06:37 - 00:06:41] 以及如何涉及让AI自主纠错的完整链路
[00:06:41 - 00:06:44] 当基础代码的生成成本趋近于零时
[00:06:44 - 00:06:46] 决定你价值的不再是你懂多少与法
[00:06:46 - 00:06:49] 而是你对复杂业务系统的宏观把控力
[00:06:49 - 00:06:53] 其次 你需要从代码生产者升级为系统编排者
[00:06:53 - 00:06:57] 作为工程师如何从被动适应转变为主动驾驭
[00:06:57 - 00:07:00] 我总结了一个三步走的适应性发展框架
[00:07:00 - 00:07:04] 第一步 做减法 实施优雅遗忘
[00:07:04 - 00:07:07] 不要同时开着四五个AI工具来会切换
[00:07:07 - 00:07:09] 这只会让你的认知过在
[00:07:09 - 00:07:11] 就像给AI系统设计合理的记忆流转一样
[00:07:11 - 00:07:13] 给自己的大脑俭复
[00:07:13 - 00:07:15] 把AI当成一把丰厉的单任务刻刀
[00:07:15 - 00:07:17] 专注于让它处理数据摘要
[00:07:17 - 00:07:21] 生成测试用力或梳理脚手加代码
[00:07:21 - 00:07:22] 专注拥好一个工具
[00:07:22 - 00:07:24] 而不是试图让它接管一切
[00:07:24 - 00:07:27] 这样你才能真正从AI脑榨中解脱出来
[00:07:27 - 00:07:28] 第二步
[00:07:28 - 00:07:30] 主攻排雷与安全防御
[00:07:30 - 00:07:34] 既然AI最容易生成带有隐蔽缺陷的半成品代码
[00:07:34 - 00:07:35] 那么工业级的漏洞挖掘
[00:07:35 - 00:07:39] 戴马审计和网络安全防御将变得极其之前
[00:07:39 - 00:07:43] 当全网充斥着AI生成的难以预测的逻辑避还时
[00:07:43 - 00:07:46] 能够敏锐捕捉0日漏洞并确保系统安全的人
[00:07:46 - 00:07:49] 将是公司最不敢财的核心资产
[00:07:49 - 00:07:51] 这是一个被严重低估的职业方向
[00:07:51 - 00:07:54] 第三步 深耕不可替代的人类质感
[00:07:54 - 00:07:57] AI缺乏独立判断问题本质的能力
[00:07:57 - 00:08:00] 机器可以完美的解决被定义好的问题
[00:08:00 - 00:08:02] 但他们不知道该解决什么问题
[00:08:02 - 00:08:04] 将精力投入到需求董察
[00:08:04 - 00:08:08] 高层架构设计以及技术团队之间的沟通协同上
[00:08:08 - 00:08:11] 这些都是冷冰冰的数据暂时无法模拟的温度
[00:08:11 - 00:08:14] 这是你作为人类工程师最后的堡垒
[00:08:14 - 00:08:16] 展望未来公司的形态会发生两级分化
[00:08:16 - 00:08:19] 一类是传统的雍种企业
[00:08:19 - 00:08:23] 他们会继续在裁员招人在裁员的泥潭里挣扎
[00:08:23 - 00:08:26] 试图用旧的组织架构去消化AI的生产力
[00:08:26 - 00:08:28] 结果只会是内部摩擦越来越大
[00:08:28 - 00:08:31] 另一类是小而美的AI原生团队
[00:08:31 - 00:08:32] 他们可能只有几个人
[00:08:32 - 00:08:35] 但能创造出过去几百人才能创造的商业价值
[00:08:35 - 00:08:37] 大公司最终会发现
[00:08:37 - 00:08:39] 与其自己艰难转型
[00:08:39 - 00:08:41] 不如直接收购这些AI原生团队
[00:08:41 - 00:08:45] 而你无论是选择在企业内部推动真正的AI转型
[00:08:45 - 00:08:47] 还是选择跳出来成为超级个体
[00:08:47 - 00:08:52] 关键都在于你是否已经完成了从被动摄影到主动驾驭的认知月签
[00:08:52 - 00:08:54] 这不是一个技术问题
[00:08:54 - 00:08:55] 这是一个认知问题
[00:08:55 - 00:08:56] 最后送给大家一句话
[00:08:56 - 00:08:58] AI不会淘汰工程师
[00:08:58 - 00:09:02] 但懂AI懂业务能加以AI工作流的工程师
[00:09:02 - 00:09:04] 一定会淘汰那些还在原地踏步的人
[00:09:04 - 00:09:06] 技术革命的齿轮已经转动
[00:09:06 - 00:09:08] 淘汰的永远不是人类
[00:09:08 - 00:09:10] 而是拒绝适应系统升级的人
[00:09:10 - 00:09:11] 你目前在工作中使用AI
[00:09:11 - 00:09:13] 是让你觉得更轻松了
[00:09:13 - 00:09:15] 还是陷入了AI脑渣的怪圈
[00:09:15 - 00:09:17] 你在公司里有没有感受到我刚才说的
[00:09:17 - 00:09:20] 那些局部优化带来的全局拥读
[00:09:20 - 00:09:23] 更重要的是在你目前的日常开发中
[00:09:23 - 00:09:25] 你是更倾向于让AI帮你生成
[00:09:25 - 00:09:27] 繁琐的底层逻辑
[00:09:27 - 00:09:29] 还是更喜欢在复杂的系统架构层面
[00:09:29 - 00:09:31] 向它寻求灵感碰撞
[00:09:31 - 00:09:33] 欢迎把你的真实感受打在评论区
[00:09:33 - 00:09:34] 我们一起探讨
[00:09:34 - 00:09:37] 如果你觉得这期视频对你有启发
[00:09:37 - 00:09:39] 别忘了点赞投币收藏一键三连
[00:09:39 - 00:09:41] 我是为什么叫QQ
[00:09:41 - 00:09:42] 我们下期再见
