BV号：BV1pu9gBvEGM
标题：BV1pu9gBvEGM
链接：https://www.bilibili.com/video/BV1pu9gBvEGM
识别语言：zh
语言置信度：1
分段数：176
生成时间：2026-08-29 12:33:57

[00:00:00 - 00:00:02] AI 写代码程序员反而更累了
[00:00:02 - 00:00:03] 这不是段子
[00:01:18 - 00:01:22] 就是在白天任何时候突然感到极度疲惫
[00:01:22 - 00:01:25] 导头就睡这不仅仅是工具的升级
[00:01:25 - 00:01:27] 这是整个行业的底层逻辑重构
[00:01:27 - 00:01:30] 2025年底,AI编码达到了一个基点
[00:01:30 - 00:01:32] Clode Code加上最新的模型
[00:01:32 - 00:01:35] 已经成为了微软等大厂工程师的主导工具
[00:01:35 - 00:01:38] 10倍的生产力提升已经是真实发生的事情
[00:01:38 - 00:01:40] 但事情开始变得不对劲
[00:01:40 - 00:01:42] 因为当你的生产力提升10倍时
[00:01:42 - 00:01:44] 吸血鬼效应就启动了
[00:01:44 - 00:01:45] 我们来逐层拆解
[00:01:45 - 00:01:46] 第一点
[00:01:46 - 00:01:49] 价值补货的残酷真相你可能会问
[00:01:49 - 00:01:52] 既然Agent把活动干了生产力提升了10倍
[00:01:52 - 00:01:54] 为什么程序员反而更累了?
[00:01:54 - 00:01:56] Steve提出了两个极端的场景
[00:01:56 - 00:02:02] 场景A,你决定给老板留下深刻印象,你每天工作8小时,保持10倍的生产力。
[00:02:02 - 00:02:03] 结果是什么?
[00:02:03 - 00:02:06] 公司补货了100%的价值。
[00:02:06 - 00:02:11] 你一无所获,你的工资不会涨9倍,而且你被彻底榨干了,精疲力尽。
[00:02:11 - 00:02:19] 场景B,你决定每天只工作1小时,保持和过去一样的产出,你补货了100%的价值。
[00:02:19 - 00:02:24] 但结果是,你的公司很快就会被那些疯狂使用AI的竞争对手干掉。
[00:02:24 - 00:02:27] 现实中答案必须在两者之间
[00:02:27 - 00:02:30] 但现在的公司本质上就是资本主义的诈取机器
[00:02:30 - 00:02:33] 老板们看着那些疯狂的早期采用者
[00:02:33 - 00:02:35] 眼睛里冒出了美元符号
[00:02:35 - 00:02:37] 他们以为所有的员工都能像机器一样
[00:02:37 - 00:02:40] 保持40小时的高强度AI冲刺
[00:02:40 - 00:02:43] 这设定了极其不切实际的标准
[00:02:43 - 00:02:44] 你做会被诈干
[00:02:44 - 00:02:45] 不做会被淘汰
[00:02:45 - 00:02:46] 第二点
[00:02:46 - 00:02:47] 脑力消耗的本质
[00:02:47 - 00:02:49] 以前你一天写500行代码
[00:02:49 - 00:02:50] 你的大脑是执行者
[00:02:50 - 00:02:53] 你沉浸在心流里那个过程其实很享受的
[00:02:53 - 00:02:56] 但现在呢,你一天要审核5000行代嘛
[00:02:56 - 00:02:58] 你的大脑变成了决策者
[00:02:58 - 00:03:00] 你必须活力全开
[00:03:00 - 00:03:02] 同时跟56个A阵对话
[00:03:02 - 00:03:03] 你要分配任务检查结果
[00:03:03 - 00:03:05] 判断AI的逻辑对不对
[00:03:05 - 00:03:06] AI就像老虎鸡一样
[00:03:06 - 00:03:08] 拉一次杆给你一个随机奖励
[00:03:08 - 00:03:11] 它不断刺激你的多巴胺和身上线素
[00:03:11 - 00:03:13] 这种高强度的上下文切换
[00:03:13 - 00:03:15] 对,大脑的消耗是毁灭性的
[00:03:15 - 00:03:18] 这就是认知谢宰带来的交互税
[00:03:18 - 00:03:20] 你以为你把工作谢宰给了AI
[00:03:20 - 00:03:23] 但实际上你付出了极其高昂的交互成本
[00:03:23 - 00:03:24] 你从一个写代码的工匠
[00:03:24 - 00:03:27] 变成了一个带着五个极其聪明
[00:03:27 - 00:03:29] 但容易犯错的实习生的主管
[00:03:29 - 00:03:31] 你必须时刻盯着他们
[00:03:31 - 00:03:32] 否则他们就会把系统搞崩溃
[00:03:32 - 00:03:33] 第三点
[00:03:33 - 00:03:35] 出创公司的疯狂与反击策略
[00:03:35 - 00:03:37] 现在的AI出创公司
[00:03:37 - 00:03:40] 正在以历史上最快的速度炸去员工
[00:03:40 - 00:03:43] 大家都在疯狂的冲刺试图在AI逃经热中
[00:03:43 - 00:03:44] 分一杯羹
[00:03:44 - 00:03:45] 但Steve指出
[00:03:45 - 00:03:47] 大部分这些公司都会失败
[00:03:47 - 00:03:49] 因为企业正在变得聪明
[00:03:49 - 00:03:51] 他们发现购建是新的购买
[00:03:51 - 00:03:53] 既然用AI自己写工具这么容易
[00:03:53 - 00:03:55] 为什么还要买CS服务
[00:03:55 - 00:03:56] 面对这种疯狂的诈取
[00:03:56 - 00:03:58] 普通程序员该怎么办
[00:03:58 - 00:04:01] Steve给出了一个他在亚马逊时期发明的
[00:04:01 - 00:04:03] 终极武器美元小时的工事
[00:04:03 - 00:04:06] 你的工资固定的也就是分子部分
[00:04:06 - 00:04:07] 你无法控制
[00:04:07 - 00:04:08] 但你可以控制分母
[00:04:08 - 00:04:10] 也就是你的工作时间
[00:04:10 - 00:04:11] 面对AI吸血鬼
[00:04:11 - 00:04:13] 你必须主动把分母降下来
[00:04:13 - 00:04:16] 集体来看员工拥有所有的权利
[00:04:16 - 00:04:17] 你必须向公司证明
[00:04:17 - 00:04:20] 补货100%的AI价值是不可持续的
[00:04:20 - 00:04:21] 听到这里
[00:04:21 - 00:04:22] 很多人会觉得
[00:04:22 - 00:04:23] 那软件工程是不是完了
[00:04:23 - 00:04:25] 程序员是不是彻底没戏了
[00:04:25 - 00:04:26] 但真相是
[00:04:26 - 00:04:29] 这恰恰是软件工程最好的时代
[00:04:29 - 00:04:30] 前提是
[00:04:30 - 00:04:32] 我们必须改变对工作的定义
[00:04:32 - 00:04:35] AI已经把我们都变成了Jeff Bezos
[00:04:35 - 00:04:37] 他自动花了所有容易的工作
[00:04:37 - 00:04:39] 把所有困难的决策总结和问题解决
[00:04:39 - 00:04:40] 留给了我们
[00:04:40 - 00:04:42] 这种高强度的决策工作
[00:04:42 - 00:04:44] 人类根本无法每天坚持8小时
[00:04:44 - 00:04:47] 这就引出了我们今天的核心动差
[00:04:47 - 00:04:48] 在多一阵的时代
[00:04:48 - 00:04:50] 真正的工作日应该是三到四个小时
[00:04:50 - 00:04:52] 这不是偷懒
[00:04:52 - 00:04:54] 这是人类大脑的生理极限
[00:04:54 - 00:04:55] 给人们无限的token
[00:04:55 - 00:04:58] 但只让他们盯着报告和做决定很短的时间
[00:04:58 - 00:05:00] 因为疲劳将成为常态
[00:05:00 - 00:05:04] 在AI时代真正的互称和不是你敲键盘的速度
[00:05:04 - 00:05:05] 而是你的品位与判断力
[00:05:05 - 00:05:07] 对复杂系统的直觉
[00:05:07 - 00:05:09] 对商业价值的敏锐嗅觉
[00:05:09 - 00:05:12] 当生成内容的成本趋近于零时
[00:05:12 - 00:05:15] 筛选和判断的价值就趋近于无限大
[00:05:15 - 00:05:20] 而这种判断力需要你在清醒经历充沛的状态下才能发挥那么
[00:05:20 - 00:05:22] 未来五年软件工程会变成什么样
[00:05:22 - 00:05:25] 第一 双驾驶模式将成为常态
[00:05:25 - 00:05:29] 你将拥有一个由多个agent组成的专属团队
[00:05:29 - 00:05:30] 你就是这个团队的CEO
[00:05:30 - 00:05:33] 第二 工作时长将大幅缩短
[00:05:33 - 00:05:35] 每天三到四小时的高强度决策
[00:05:35 - 00:05:37] 加上其余时间的社交散布和恢复
[00:05:37 - 00:05:39] 就像悉尼的comeback远去一样
[00:05:39 - 00:05:42] 找到幸福和生产力的理想平衡
[00:05:42 - 00:05:46] 第三,SES商业模式将受到巨大冲击
[00:05:46 - 00:05:48] 我们将迎来内部自建工具的爆发期
[00:05:48 - 00:05:51] 每个人都能用Agent的快速构建出自己需要的工具
[00:05:51 - 00:05:55] 多Agent的时代已经到来,AI吸血鬼就在我们身边
[00:05:55 - 00:05:58] 不要试图用旧时代的地图去寻找新大陆的宝藏
[00:05:58 - 00:06:01] 放弃对8小时工作制的执念
[00:06:01 - 00:06:04] 每天去接触下草地做点没有AI的事情
[00:06:04 - 00:06:07] 保护好你的能量,提升你的品位与判断力
[00:06:07 - 00:06:08] 记住这句话
[00:06:08 - 00:06:11] 淘汰你的不是AI,而是驾驭AI的同类
[00:06:11 - 00:06:14] 但榨干你的正式那些不懂截至的公司
[00:06:14 - 00:06:15] 你最近用AI写代码时
[00:06:15 - 00:06:17] 有没有经历过五岁攻击
[00:06:17 - 00:06:19] 可以在评论区分享你的经历
[00:06:19 - 00:06:21] 如果你觉得这期视频对你有启发
[00:06:21 - 00:06:23] 别忘了长按点赞
[00:06:23 - 00:06:25] 一键三连我是为什么叫QQ
[00:06:25 - 00:06:26] 我们下期见
