BV号：BV1pDLH6kESr
标题：BV1pDLH6kESr
链接：https://www.bilibili.com/video/BV1pDLH6kESr
识别语言：zh
语言置信度：1
分段数：207
生成时间：2026-08-29 17:30:39

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 最近大厂裁员的消息满天飞
[00:01:57 - 00:01:59] 我们来聊聊最熟悉的代码部分
[00:01:59 - 00:02:02] 以前前端搞不定后端搞不定UI
[00:02:02 - 00:02:04] 现在像Cloud Code这样的
[00:02:04 - 00:02:05] 整体个编码工具
[00:02:05 - 00:02:06] 让你一个人就是全站
[00:02:06 - 00:02:07] 举个例子
[00:02:07 - 00:02:10] 一个完全不懂后端的创始人
[00:02:10 - 00:02:13] 用Cloud Code在两周内就搭出了一个带支付
[00:02:13 - 00:02:16] 用户认证和复杂数据库交互的Sets后台
[00:02:16 - 00:02:19] 你只需要用自然语言描述需求
[00:02:19 - 00:02:21] AI就能帮你生成测试
[00:02:21 - 00:02:22] 调试甚至重购代码
[00:02:22 - 00:02:24] 但作为工程师我们都知道
[00:02:24 - 00:02:26] 写的快不等于写的好
[00:02:26 - 00:02:28] 报告中特别强调了一个概念
[00:02:28 - 00:02:29] Agentic技术债
[00:02:29 - 00:02:31] 因为AI写代码太快了
[00:02:31 - 00:02:32] 如果你不加限制
[00:02:32 - 00:02:34] 它会生成一堆能跑
[00:02:34 - 00:02:35] 但结构混乱的代码
[00:02:35 - 00:02:37] 没有统一的架构设计
[00:02:37 - 00:02:39] 没有清晰的依赖关系
[00:02:39 - 00:02:41] 当你的MVP需要扩展时
[00:02:41 - 00:02:43] 这些技术债会让你痛不欲生
[00:02:43 - 00:02:44] 正确的做法是什么
[00:02:44 - 00:02:46] 再让AI写低航代码之前
[00:02:46 - 00:02:48] 先写好架构文档
[00:02:48 - 00:02:50] 在项目中建立一个Cloud MD文件
[00:02:50 - 00:02:52] 把你的架构原则
[00:02:52 - 00:02:54] 依赖限制设计模式都写清楚
[00:02:54 - 00:02:57] 每次让AI写代码都让他先读取这个上下文
[00:02:57 - 00:02:59] 这样你不仅是在写代码
[00:02:59 - 00:03:01] 更是在管理一个AI开发团队
[00:03:01 - 00:03:03] 接下来是程序员最头疼的商业部分
[00:03:03 - 00:03:05] 进品分析怎么做
[00:03:05 - 00:03:06] 定价模型怎么定
[00:03:06 - 00:03:07] 合规要求有哪些
[00:03:07 - 00:03:10] 这些过去需要花大价钱请顾恩的问题
[00:03:10 - 00:03:13] 现在都可以通过对话式智能来解决
[00:03:13 - 00:03:14] 在第二阶段
[00:03:14 - 00:03:16] 你需要验证问题是否真实存在
[00:03:16 - 00:03:18] 报告里有个很生动的案例
[00:03:18 - 00:03:21] 一个想做医疗账单工具的开发者
[00:03:21 - 00:03:23] 把收集到的幾十個醫生訪談記錄
[00:03:23 - 00:03:24] 扔給Cloud
[00:03:24 - 00:03:26] Cloud不僅幫它總結了痛點
[00:03:26 - 00:03:28] 還敏銳地指出
[00:03:28 - 00:03:30] 醫生們抱怨的不是帳單系統難用
[00:03:30 - 00:03:32] 而是保險理賠的規則太複雜
[00:03:32 - 00:03:35] 這直接幫它避開了一個委需求
[00:03:35 - 00:03:36] 找到了真正的切入點
[00:03:36 - 00:03:37] 在Launch階段
[00:03:37 - 00:03:39] 你需要制定Go to Market策略
[00:03:39 - 00:03:42] 你可以讓Cloud幫你分析目標客戶群體
[00:03:42 - 00:03:45] 制定銷售話術甚至起草投資備忘錄
[00:03:45 - 00:03:48] 它就像一個隨時待命的虛擬合夥人
[00:03:48 - 00:03:50] 幫你補齊了商業上的短板
[00:03:50 - 00:03:52] 但记住AI给出的只是建议
[00:03:52 - 00:03:54] 最终的决策权还在你手里
[00:03:54 - 00:03:56] 你需要用工程师的逻辑思维
[00:03:56 - 00:04:00] 去评判这些商业建议的合理性最后是运营部分
[00:04:00 - 00:04:02] 一个人怎么服务一千个客户
[00:04:02 - 00:04:03] 答案是工作流自动化
[00:04:03 - 00:04:04] 在Scale阶段
[00:04:04 - 00:04:07] 最大的挑战是创始人自己成为了瓶颈
[00:04:07 - 00:04:09] 客服公单堆积如山
[00:04:09 - 00:04:10] 财务报表没人处理
[00:04:10 - 00:04:12] 系统报警需要人工干预
[00:04:12 - 00:04:14] 如果你陷入了这些所事
[00:04:14 - 00:04:17] 你就从一个创造者变成了一个打工人
[00:04:17 - 00:04:20] 报告建议使用像Cloud Co-work这样的工具
[00:04:20 - 00:04:21] 搭建自动化的运营避缓
[00:04:21 - 00:04:23] 比如一个独立开发者
[00:04:23 - 00:04:24] 他用Cloud Core Work
[00:04:24 - 00:04:26] 搭建了一个自动化的供单系统
[00:04:26 - 00:04:28] 当用户提交一个bug报告时
[00:04:28 - 00:04:30] AI自动分类打标签
[00:04:30 - 00:04:32] 甚至尝试在沙乡环境里浮现
[00:04:32 - 00:04:34] 当新用户注册时
[00:04:34 - 00:04:36] AI自动发送欢迎邮件
[00:04:36 - 00:04:37] 并根据用户的行为轨迹
[00:04:37 - 00:04:39] 推送不同的校程
[00:04:39 - 00:04:40] 作为工程师
[00:04:40 - 00:04:41] 我们最擅长的
[00:04:41 - 00:04:43] 就是把重复的工作系统化
[00:04:43 - 00:04:45] 现在你可以把这种系统化
[00:04:45 - 00:04:47] 思维应用到整个公司的运营上
[00:04:47 - 00:04:49] 把那些不需要你亲自判断的流程
[00:04:49 - 00:04:51] 全部交给AI去跑
[00:04:51 - 00:04:53] 这样你才能保持极低的管理成本
[00:04:53 - 00:04:54] 获取极高的利润
[00:04:54 - 00:04:56] 但这里有个很离谱的地方
[00:04:56 - 00:04:58] 既然开发变得这么容易
[00:04:58 - 00:05:00] 是不是意味着我们下班后就可以马上动手
[00:05:00 - 00:05:02] 用一个周末录出一个SES产品
[00:05:02 - 00:05:04] 恰恰相反
[00:05:04 - 00:05:07] 报告指出AI时代独立开发者死的最快的方式
[00:05:07 - 00:05:09] 就是把构建等同于验证
[00:05:09 - 00:05:11] 因为AI写代码太快了
[00:05:11 - 00:05:13] 很多程序员连问题都没搞清楚
[00:05:13 - 00:05:16] 就做出了一个看起来很酷的产品
[00:05:16 - 00:05:17] 你觉得这个功能很牛
[00:05:17 - 00:05:18] 那个架构很优雅
[00:05:18 - 00:05:20] 结果上线后根本没人用
[00:05:20 - 00:05:21] 为什么
[00:05:21 - 00:05:23] 因为你解决的是一个委需求
[00:05:23 - 00:05:25] 在过去开发成本很高
[00:05:25 - 00:05:27] 这本身就是一种强制的过滤器
[00:05:27 - 00:05:29] 你必须深思熟绿后才会动手
[00:05:29 - 00:05:31] 现在这个过滤器消失了
[00:05:31 - 00:05:33] 如果你不主动踩刹车
[00:05:33 - 00:05:35] 你就会在错误的方向上狂奔
[00:05:35 - 00:05:37] 真正的认知升级是什么
[00:05:37 - 00:05:40] 在AI时代写代码的能力已经严重贬值
[00:05:40 - 00:05:43] 定义问题的能力才是最稀缺的资源
[00:05:43 - 00:05:45] 你的互成和不再是代码有多优雅
[00:05:45 - 00:05:46] 架构有多牛逼
[00:05:46 - 00:05:49] 因为这些东西别人用AI也能很快搞出来
[00:05:49 - 00:05:51] 你真正的互成合
[00:05:51 - 00:05:54] 是你对某个垂直领域的业务理解有多深
[00:05:54 - 00:05:56] 是你积累的真实用户数据
[00:05:56 - 00:05:58] 是你构建的自动化工作流
[00:05:58 - 00:06:01] 不要让AI的强大执行力掩盖了你战略上的懒惰
[00:06:01 - 00:06:04] 多花点时间去和真实的用户聊聊
[00:06:04 - 00:06:07] 去搞清楚他们到底愿意为什么买单
[00:06:07 - 00:06:09] 这比你多写一万行代码有价值的多
[00:06:09 - 00:06:11] 未来我们会看到越来越多的
[00:06:11 - 00:06:13] 程学院走向一人公司的模式
[00:06:13 - 00:06:17] 从一个可控的副业开始用AI工具快速验证想法
[00:06:17 - 00:06:19] 搭建MVP
[00:06:19 - 00:06:21] 当副业的收入超过主业
[00:06:21 - 00:06:23] 或者验证了清晰的商业模式后
[00:06:23 - 00:06:25] 再平滑过渡到全职创业
[00:06:25 - 00:06:28] 这不仅是对冲裁员风险的最佳策略
[00:06:28 - 00:06:30] 更是实现财务自由的可靠路径
[00:06:30 - 00:06:34] 副业的终极形态不再是下班后接外包卖时间
[00:06:34 - 00:06:35] 而是做产品卖系统
[00:06:35 - 00:06:39] 一个懂业务的工程师加上一套AI工具举证
[00:06:39 - 00:06:43] 完全可以创造出过去需要一个团队才能创造的商业价
[00:06:43 - 00:06:45] 这不仅是生产力的解放
[00:06:45 - 00:06:48] 更是对程序员职业生涯的一次重塑
[00:06:48 - 00:06:50] 你不再是一个随时可能被优化的马农
[00:06:50 - 00:06:54] 而是一个能够独立解决复杂商业问题的超级个体
[00:06:54 - 00:06:55] 总结一下
[00:06:55 - 00:06:57] AI给了我们全站的执行力
[00:06:57 - 00:06:59] 但业务的敏锐度还得靠你自己
[00:06:59 - 00:07:02] 在AI时代执行力已经贬值
[00:07:02 - 00:07:04] 判断力才是最细确的资源
[00:07:04 - 00:07:05] 作为程序员
[00:07:05 - 00:07:08] 你目前做独立开发最大的卡点是什么
[00:07:08 - 00:07:10] 是找不到好点子还是搞不定推广
[00:07:10 - 00:07:12] 把你的答案打在公屏上
[00:07:12 - 00:07:15] 感谢观看,别忘了点赞投币收藏
[00:07:15 - 00:07:17] 我是为什么叫QQ,我们下期见
