BV号：BV1TRA3e2ERG
标题：BV1TRA3e2ERG
链接：https://www.bilibili.com/video/BV1TRA3e2ERG
识别语言：zh
语言置信度：1
分段数：391
生成时间：2026-08-30 13:16:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是小飞
[00:00:02 - 00:00:05] 周一 世界人工智能峰会在巴黎召开
[00:00:06 - 00:00:08] 吸引了今100个国家的代表参与
[00:04:03 - 00:04:04] 机器的学习也是如此
[00:04:05 - 00:04:05] 只不过
[00:04:05 - 00:04:08] 机器的数据不再通过生物传感器来采集
[00:04:08 - 00:04:11] 而是来自现代数字设备和互联网
[00:04:11 - 00:04:12] 受到这个启发
[00:04:12 - 00:04:15] 李菲菲的实验室开展了MGNAT项目
[00:04:15 - 00:04:19] 这是首个互联网规模的人工智能训练和评估数据级
[00:04:19 - 00:04:21] 他们提出的假设
[00:04:21 - 00:04:24] 数据是神经网络等高容量算法的关键
[00:04:24 - 00:04:27] 让这些算法的性能达到了前所未有的水平
[00:04:27 - 00:04:29] 也由此掀起了全球范围内
[00:04:29 - 00:04:31] 利用大数据发展人工智能的热潮
[00:04:31 - 00:04:35] 这个热潮也成为了现在缩放定律Scaling Loss的一部分
[00:04:35 - 00:04:37] 最后强大的计算能力
[00:04:37 - 00:04:40] 是人工智能发展不可或缺的支撑
[00:04:40 - 00:04:43] 这一切要从20世纪40年代提出的
[00:04:43 - 00:04:44] 冯诺依曼架构说起
[00:04:44 - 00:04:48] 这个架构是计算机发展史上的重要里程碑
[00:04:48 - 00:04:50] 至今仍然被广泛沿用
[00:04:50 - 00:04:51] 在它的基础上
[00:04:51 - 00:04:52] 20世纪70年代初
[00:04:52 - 00:04:54] 诞生了首批微处理器
[00:04:54 - 00:04:55] 有趣的是
[00:04:55 - 00:04:58] 视频游戏在计算机硬件发展过程中
[00:04:58 - 00:04:59] 也起到了重要的推动作用
[00:05:00 - 00:05:01] 20世纪90年代初
[00:05:01 - 00:05:03] 为了制作更精细的游戏画面
[00:05:03 - 00:05:05] 相关产业迅速发展
[00:05:05 - 00:05:07] 从最初的家庭手工业
[00:05:07 - 00:05:08] 在短短20年内
[00:05:08 - 00:05:10] 就发展成全球产业巨头
[00:05:10 - 00:05:11] 英伟达等公司
[00:05:11 - 00:05:13] 制造出越来越强大的图形处理器
[00:05:13 - 00:05:17] 而它的出现也补上了人工智能发展的最后一块拼图
[00:05:17 - 00:05:21] 使神经网络算法能够从互联网规模的大数据中进行学习
[00:05:21 - 00:05:23] 回顾人工智能的发展历程
[00:05:23 - 00:05:26] 2012年的ImageNet挑战赛
[00:05:26 - 00:05:28] 可以算是一个具有里程碑意义的事件
[00:05:28 - 00:05:30] 在那次挑战赛上
[00:05:30 - 00:05:33] 李飞飞的实验室率先将算法 数据和算力
[00:05:33 - 00:05:35] 这三大要素整合起来
[00:05:35 - 00:05:37] 实现了大规模的融合
[00:05:37 - 00:05:39] 这个突破几乎在一夜之间
[00:05:39 - 00:05:42] 彻底改变了人工智能的研究领域
[00:05:42 - 00:05:45] 机器首次能够理解并且可靠的描述
[00:05:45 - 00:05:46] 数百万张图像的内容
[00:05:46 - 00:05:49] 在当时这简直是一项不可思议的成就
[00:05:49 - 00:05:52] 就像科幻小说中的情节变成了现实
[00:05:52 - 00:05:56] 它就像推倒了人工智能发展历程中的第一块多米诺鼓拍
[00:05:56 - 00:05:58] 引发了一连串的里程碑事件
[00:05:58 - 00:06:02] 而且这些里程碑出现的速度变得越来越快
[00:06:02 - 00:06:04] 如今十多年过去了
[00:06:04 - 00:06:06] 随着大语言模型的问世
[00:06:06 - 00:06:09] 人工智能领域迎来了又一次惊人的飞跃
[00:06:09 - 00:06:11] 大语言模型将现代人工智能的算法
[00:06:11 - 00:06:15] 数据和算力这三大要素推向了前所未有的高度
[00:06:15 - 00:06:17] Transformer这种新型架构
[00:06:18 - 00:06:20] 利用海量的互联网数据进行训练
[00:06:20 - 00:06:23] 并且由大量最先进的芯片提供算力支持
[00:06:23 - 00:06:25] 它带来的结果是
[00:06:25 - 00:06:28] 机器的能力实现了比过去10年更加巨大的飞越
[00:06:28 - 00:06:32] 现在我们开始对AI的一些能力已经息以为常
[00:06:32 - 00:06:35] 比如它可以用流利的自然语言与我们对话
[00:06:35 - 00:06:37] 回答几乎任何领域的问题
[00:06:37 - 00:06:39] 还能生成各种复杂的图像
[00:06:39 - 00:06:41] 声音音乐和视频
[00:06:41 - 00:06:45] chat GPT的巨大成功就是一个很好的证明
[00:06:45 - 00:06:47] 它创下了用户增长速度的新纪录
[00:06:47 - 00:06:48] 充分证明了这项创新
[00:06:48 - 00:06:50] 对我们日常生活的深刻影响
[00:06:51 - 00:06:55] 而且 AI的能力不仅仅体现在这些表面的应用上
[00:06:55 - 00:06:56] 从各种测评数据来看
[00:06:56 - 00:07:00] 近年来 AI模型再从手写识别
[00:07:00 - 00:07:03] 到博士级科学问题等一系列基准测试上的性能
[00:07:03 - 00:07:05] 都成指数级的增长
[00:07:05 - 00:07:08] 甚至在某些對人類急劇挑戰性的任務中
[00:07:08 - 00:07:11] AI的性能提升曲線近乎垂直
[00:07:11 - 00:07:14] 在語言理解能力不斷提升的基礎上
[00:07:14 - 00:07:16] 大語言模型也開始在解決問題中
[00:07:16 - 00:07:18] 扮演更為積極的角色
[00:07:18 - 00:07:20] 它們能夠分解任務
[00:07:20 - 00:07:22] 並且為實現現實世界的各種目標
[00:07:22 - 00:07:23] 來規劃步驟
[00:07:23 - 00:07:26] 就像許多人在2025年提到的Agent一樣
[00:07:26 - 00:07:28] 這是人工智能技術發展的最新篇章
[00:07:28 - 00:07:31] 對用戶和企業都具有重要意義
[00:07:31 - 00:07:33] 但是人工智能的發展
[00:07:33 - 00:07:35] 不只语言智能这一个方面
[00:07:35 - 00:07:36] 人类作为智能生物
[00:07:36 - 00:07:39] 视觉感知也是我们认识世界的重要方式
[00:07:39 - 00:07:42] 现在 人工智能在视觉感知方面
[00:07:42 - 00:07:44] 也有了新的发展方向
[00:07:44 - 00:07:46] 及空间和巨身智能
[00:07:46 - 00:07:48] 在相机和机器人技术领域
[00:07:48 - 00:07:50] 人工智能开始能够在数字或物理的
[00:07:50 - 00:07:55] 三地空间中进行创造 理解 推理和交互
[00:07:55 - 00:07:57] 比如说 当我们看到一张图片
[00:07:57 - 00:08:01] 图片中有猫 盆栽 桌子和一杯牛奶
[00:08:01 - 00:08:02] 我们的视觉智能不仅能让我们
[00:08:02 - 00:08:03] 我们识别出这些物体
[00:08:03 - 00:08:05] 很多人还会下意识的
[00:08:05 - 00:08:06] 想要伸手抓住那杯牛奶
[00:08:06 - 00:08:08] 以免它掉在地上摔碎
[00:08:08 - 00:08:10] 这些看似简单的反应
[00:08:10 - 00:08:13] 却凸显了从观察到行动的巨大转变
[00:08:13 - 00:08:14] 李飞飞认为
[00:08:14 - 00:08:16] 我们正处在一个转折点
[00:08:16 - 00:08:18] 人工智能将从观察者
[00:08:18 - 00:08:20] 转变为与我们并肩行动的执行者
[00:08:20 - 00:08:23] 回顾埃伦圖灵对未来人工智能的设想
[00:08:23 - 00:08:26] 现在看来可能过于狭隘和内向了
[00:08:26 - 00:08:27] 因为进化过程表明
[00:08:27 - 00:08:29] 智能的真正力量不仅仅在于思考
[00:08:29 - 00:08:32] 更在于运用思想来驱动行动
[00:08:32 - 00:08:33] 李菲菲认为
[00:08:33 - 00:08:35] 人类的空间智能在人类文明的发展中
[00:08:35 - 00:08:37] 发挥了巨大作用
[00:08:37 - 00:08:39] 从古代金字塔的建造
[00:08:39 - 00:08:40] 到工业革命的推进
[00:08:40 - 00:08:42] 从科学发现到艺术表达
[00:08:42 - 00:08:44] 都离不开空间智能
[00:08:44 - 00:08:47] 当AI扩展了我们的空间和巨身智能后
[00:08:47 - 00:08:50] 我们与周围世界的关系将发生深刻变革
[00:08:50 - 00:08:52] 接下来他举了几个空间智能的势力
[00:08:52 - 00:08:54] 这些都是李菲菲的斯坦夫学生
[00:08:54 - 00:08:56] 和World Labs共同完成的
[00:08:56 - 00:08:58] 左上角的案例是对复杂日常的
[00:08:58 - 00:09:01] 是对复杂日常视频进行语异标注
[00:09:01 - 00:09:02] 通过人工智能技术
[00:09:02 - 00:09:05] 能够准确理解视频内容并进行标注
[00:09:05 - 00:09:07] 不上角是艺术风格迁移
[00:09:07 - 00:09:09] 利用AI可以将一种艺术风格
[00:09:09 - 00:09:11] 迁移到另一个作品上
[00:09:11 - 00:09:13] 左下角是生成式AI算法
[00:09:13 - 00:09:15] 根据文本提示生成视频
[00:09:15 - 00:09:17] 只需要输入一段文字描述
[00:09:17 - 00:09:19] 就能生成相应的视频内容
[00:09:19 - 00:09:22] 右下角是根据图像创建的3D世界
[00:09:22 - 00:09:23] 比如繁高的画作
[00:09:23 - 00:09:25] 法国咖啡馆通过生成式AI模型
[00:09:25 - 00:09:28] 被许许如生的展现在一个想象中的
[00:09:28 - 00:09:29] 三地世界中
[00:09:29 - 00:09:32] 同样令人振奋的还有机器人技术的发展
[00:09:32 - 00:09:34] 它作为巨身智能的一种形式
[00:09:34 - 00:09:36] 也在不断取得新的进展
[00:09:36 - 00:09:38] 李菲菲实验室的两项研究
[00:09:38 - 00:09:41] 代表了将机器人学习与大语言模型
[00:09:41 - 00:09:43] 和视觉模型相结合的最新成果
[00:09:44 - 00:09:45] 与上一代高度编程
[00:09:45 - 00:09:47] 和预先设定动作的机器人相比
[00:09:48 - 00:09:50] 这些新型机器人能够在更加开放
[00:09:50 - 00:09:52] 和真实的环境中执行日常的人类任务
[00:09:53 - 00:09:55] 展现出了更强的适应性和智能性
[00:09:55 - 00:09:57] 人工智能的快速发展
[00:09:57 - 00:09:59] 为我们带来了许多令人振奋的可能性
[00:09:59 - 00:10:02] 但是同时也带来了新的挑战
[00:10:02 - 00:10:04] 当AI不仅能思考 还能行动
[00:10:04 - 00:10:06] 成为真正的行动机器的时候
[00:10:06 - 00:10:09] 我们引导这项技术发展的集体责任
[00:10:09 - 00:10:10] 就变得更加紧迫和重要
[00:10:11 - 00:10:11] 因此
[00:10:11 - 00:10:14] 李菲菲一直倡导以人为本的AI
[00:10:14 - 00:10:17] 这个理念包含三个朴素而重要的价值观
[00:10:17 - 00:10:20] 分别是尊严 能动性和社区
[00:10:20 - 00:10:21] 首先是尊严
[00:10:21 - 00:10:22] 在强大的技术面前
[00:10:22 - 00:10:24] 我们需要思考一个根本问题
[00:10:24 - 00:10:27] 究竟是什么定义了我们人类自身
[00:10:27 - 00:10:29] 除了能够完成各种任务
[00:10:29 - 00:10:30] 作为人类的自豪感
[00:10:30 - 00:10:32] 以及自主决策和行动的能力
[00:10:32 - 00:10:34] 是我们存在的核心价值
[00:10:34 - 00:10:36] 如果AI技术能够帮助保护
[00:10:36 - 00:10:39] 甚至帮助所有人重拾这份尊严感
[00:10:39 - 00:10:41] 尤其是那些弱势群体
[00:10:41 - 00:10:43] 那将是非常有意义的事情
[00:10:43 - 00:10:46] 比如斯坦福大学正在进行一个项目
[00:10:46 - 00:10:49] 通过非侵入式脑电图技术收集脑电波
[00:10:49 - 00:10:52] AI算法能够解码患者的意念和指令
[00:10:52 - 00:10:55] 并且控制机械臂完成一系列精细动作
[00:10:55 - 00:10:56] 在这个项目中
[00:10:56 - 00:10:58] 重度癱瘓的患者
[00:10:58 - 00:10:59] 可以借助这项技术
[00:10:59 - 00:11:01] 制作一份完整的日式受洗烧料理
[00:11:01 - 00:11:04] 重新获得生活的自主性
[00:11:04 - 00:11:06] 这无疑让他们的尊严得到了极大的维护
[00:11:06 - 00:11:08] 其次是能动性
[00:11:08 - 00:11:11] 李菲菲实验室的核心综职一直是
[00:11:11 - 00:11:12] 通过探索AI的应用
[00:11:12 - 00:11:13] 来增强人类能力
[00:11:13 - 00:11:15] 而非取代人类
[00:11:15 - 00:11:17] 历史上每一次重大技术变革
[00:11:17 - 00:11:19] 都会对劳动力市场产生影响
[00:11:19 - 00:11:21] AI的进步也不例外
[00:11:21 - 00:11:23] 但是我们不应将AI
[00:11:23 - 00:11:24] 视为替代劳动力的工具
[00:11:24 - 00:11:28] 而应该充分利用它来增强人类自身的能力
[00:11:28 - 00:11:31] AI在很多领域都有着广阔的应用前景
[00:11:31 - 00:11:34] 从激发创造力到提升医疗健康水平
[00:11:34 - 00:11:37] 从加速科学发现到负能智能制造
[00:11:37 - 00:11:39] 它的技能与人类技能形成互补
[00:11:40 - 00:11:41] 在过去10年中
[00:11:41 - 00:11:44] 李菲菲实验室在AI医疗健康领域的研究
[00:11:44 - 00:11:45] 取得了不少成果
[00:11:45 - 00:11:48] 例如利用AI算法驱动的智能摄像头
[00:11:48 - 00:11:50] 可以帮助医院提升临床医生的
[00:11:50 - 00:11:51] 手部卫生规范
[00:11:52 - 00:11:54] 辅助记录患者的康复锻炼情况
[00:11:54 - 00:11:56] 还能协助手术气泄跟踪管理
[00:11:56 - 00:11:57] 再提升医疗质量
[00:11:57 - 00:11:59] 减轻医护人员负担方面
[00:11:59 - 00:12:01] 发挥了巨大的潜力
[00:12:01 - 00:12:02] 最后是社区
[00:12:02 - 00:12:04] AI还有一条重要的发展道路
[00:12:04 - 00:12:06] 那就是帮助我们建设更完善
[00:12:06 - 00:12:07] 更宏大
[00:12:07 - 00:12:09] 更有凝聚力的社区
[00:12:09 - 00:12:11] 比如 AI教育辅助工具
[00:12:11 - 00:12:14] 可以为越来越多的人群提供学习机会
[00:12:14 - 00:12:16] 比如利用AI和VR技术
[00:12:16 - 00:12:17] 为患有阅读障碍的大学生
[00:12:17 - 00:12:19] 提供个性化学习工具
[00:12:19 - 00:12:22] 美国布法罗大学创建的 AI专家系统
[00:12:22 - 00:12:25] 能够缓解言语语言病理学家的短缺问题
[00:12:25 - 00:12:28] 及早干预三至十岁儿童的言语和语言障碍
[00:12:28 - 00:12:31] 这些应用都体现了AI在促进社区发展
[00:12:31 - 00:12:34] 提升人们生活质量方面的积极作用
[00:12:34 - 00:12:36] 在人工智能快速发展的今天
[00:12:36 - 00:12:39] 如何治理AI成为了一个至关重要的问题
[00:12:39 - 00:12:42] 李菲菲提出了人工智能治理的三大原则
[00:12:42 - 00:12:45] 首先 AI治理必须以科学为基础
[00:12:45 - 00:12:47] 而非基于科幻想象
[00:12:47 - 00:12:50] 如今无论是在普通大众的讨论中
[00:12:50 - 00:12:51] 还是在商业领域
[00:12:51 - 00:12:52] 关于AI的很多讨论
[00:12:52 - 00:12:55] 都充斥着夸大其词和损人听闻的论调
[00:12:55 - 00:12:58] 这导致AI治理政策容易误入其图
[00:12:59 - 00:13:00] 我们需要用更科学的方法
[00:13:00 - 00:13:03] 来评估AI的能力和局限性
[00:13:03 - 00:13:06] 只有这样才能制定出更精准可执行
[00:13:06 - 00:13:08] 且基于现实的政策
[00:13:08 - 00:13:11] 其次AI治理应采取务实的态度
[00:13:11 - 00:13:12] 而非意识形态先行
[00:13:13 - 00:13:15] AI是一项强大的技术
[00:13:15 - 00:13:16] 如果善加利用
[00:13:16 - 00:13:18] 将极大的改善我们的生活和工作
[00:13:18 - 00:13:20] 所以我们不应限制
[00:13:20 - 00:13:22] 对这项新兴技术的探索和上游研究
[00:13:23 - 00:13:26] 而应该把重点更多的放在AI的实际应用上
[00:13:26 - 00:13:29] 确保AI的良性发展同时防范它的潜在危害
[00:13:30 - 00:13:32] 最后我们需要构建一个更健康
[00:13:32 - 00:13:34] 更具活力的AI生态系统
[00:13:35 - 00:13:36] 在这个生态系统中
[00:13:36 - 00:13:38] 学术界 创业者 开源社区
[00:13:39 - 00:13:41] 公共部门和大型企业都应积极参与
[00:13:42 - 00:13:43] 各自发挥关键作用
[00:13:43 - 00:13:45] 共同推动AI技术向前发展
[00:13:46 - 00:13:48] 因为AI将改变整个世界
[00:13:48 - 00:13:50] 这就需要各行各业的人
[00:13:50 - 00:13:52] 都参与到塑造这场变革中来
[00:13:52 - 00:13:54] 算法 数据和算力
[00:13:54 - 00:13:56] 是现代AI的三大关键要素
[00:13:57 - 00:13:59] 如果这些资源过度集中在少数公司手中
[00:14:00 - 00:14:03] AI生态系统将因缺乏好奇心驱动的研究
[00:14:03 - 00:14:06] 顶尖人才 开源力量和跨学科探索
[00:14:06 - 00:14:07] 而失去活力
[00:14:07 - 00:14:10] 最后 李菲菲在演讲中向大家发出挑战
[00:14:11 - 00:14:13] 希望共同构建以人为本的AI
[00:14:13 - 00:14:15] 与其仅仅关注是否能创造AI
[00:14:15 - 00:14:18] 不如思考如何让AI成为一股向善的力量
[00:14:18 - 00:14:20] 这不仅是对科技发展的一种期望
[00:14:20 - 00:14:23] 更是我们每个人都应该思考的问题
[00:14:23 - 00:14:24] 好了
[00:14:24 - 00:14:26] 以上就是李飞飞在巴黎人工智能峰会上
[00:14:26 - 00:14:27] 演讲的主要内容了
[00:14:27 - 00:14:29] 希望能让大家对人工智能的发展
[00:14:29 - 00:14:31] 有更深入的一些理解
[00:14:31 - 00:14:32] 感谢大家的观看
[00:14:32 - 00:14:33] 我们下期再见
