BV号：BV1zHcBeKEUR
标题：BV1zHcBeKEUR
链接：https://www.bilibili.com/video/BV1zHcBeKEUR
识别语言：zh
语言置信度：1
分段数：365
生成时间：2026-08-30 19:56:14

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:04] 在当今的科技领域
[00:02:25 - 00:02:27] 这些企业也能够在既不属于
[00:02:27 - 00:02:28] AI20俱乐部
[00:02:28 - 00:02:30] 也不在GPU禁运国之列
[00:02:30 - 00:02:32] 比如说包括中国在内的24个国家
[00:02:32 - 00:02:33] 部署算力
[00:02:33 - 00:02:36] 但是在单个国家部署的算力上限
[00:02:36 - 00:02:37] 为全球总量的7%
[00:02:37 - 00:02:39] 第二组国家数量众多
[00:02:39 - 00:02:40] 包括140多个
[00:02:40 - 00:02:41] 像新加坡
[00:02:41 - 00:02:42] 墨西哥
[00:02:42 - 00:02:43] 马来西亚
[00:02:43 - 00:02:43] 阿联球
[00:02:43 - 00:02:44] 以色列
[00:02:44 - 00:02:46] 沙特阿拉伯和印度等国都在其中
[00:02:46 - 00:02:48] 美国的北约盟国里
[00:02:48 - 00:02:50] 也有18个国家被降级到了这一组
[00:02:50 - 00:02:51] 比如说葡萄牙
[00:02:51 - 00:02:54] 立陶宛 卢森堡 杰克 冰岛
[00:02:54 - 00:02:56] 薛阿利 埃山尼亚 斯洛伯尼亚
[00:02:56 - 00:02:58] 斯洛伐克 克罗地亚 保加利亚
[00:02:58 - 00:03:01] 罗马尼亚 拉托维亚 希腊
[00:03:01 - 00:03:04] 阿尔巴尼亚 土耳其 黑山和北马奇顿
[00:03:04 - 00:03:05] 对于这些国家的企业
[00:03:05 - 00:03:07] 适用于低处理性能
[00:03:07 - 00:03:09] 简称LPP的许可豁免
[00:03:09 - 00:03:10] 具体的操作方式是
[00:03:10 - 00:03:12] 先估算企业可能使用的
[00:03:12 - 00:03:13] 合理总算力TPP
[00:03:13 - 00:03:15] 再出以单块GPU的TPP
[00:03:15 - 00:03:17] 从而得出可出口到
[00:03:17 - 00:03:18] 这些国家的GPU总量上限
[00:03:18 - 00:03:20] 也就是配额
[00:03:20 - 00:03:22] 从2025年到2027年
[00:03:22 - 00:03:25] 每个国家最多能拿到大约5万块GPU的配额
[00:03:25 - 00:03:28] 全球所有的GPU出口商和再出口商
[00:03:28 - 00:03:31] 都要依据这个配额向第二组中的国家供货
[00:03:31 - 00:03:33] 在配额额度内的GPU出口
[00:03:33 - 00:03:35] 无需向商务部申请许可
[00:03:35 - 00:03:37] 但是一旦超出配额则禁止出口
[00:03:38 - 00:03:40] 之所以美国会出台这样的配额制度
[00:03:40 - 00:03:42] 主要还是之前受控芯片的管制不利
[00:03:42 - 00:03:44] 2002年的1007规则
[00:03:44 - 00:03:47] 只是限制了受控GPU向中国大陆
[00:03:47 - 00:03:48] 香港和澳门的出口
[00:03:48 - 00:03:50] 但是后来美国政府发现
[00:03:50 - 00:03:51] 许多中国公司通过
[00:03:51 - 00:03:54] 印尼、马来西亚、菲律宾、新加坡、
[00:03:54 - 00:03:56] 越南、泰国等东南亚国家
[00:03:56 - 00:03:59] 以及阿联酋、沙特等中东国家的
[00:03:59 - 00:04:01] 转口贸易或者是走私途径
[00:04:01 - 00:04:02] 依然能够获得受控芯片
[00:04:02 - 00:04:04] 为了解决这个问题
[00:04:04 - 00:04:06] 美国商务部在2023年的
[00:04:06 - 00:04:07] 1017费德中
[00:04:07 - 00:04:08] 将管制范围快大到了
[00:04:08 - 00:04:11] 所谓的第一、第四或第五组国家
[00:04:11 - 00:04:13] 并且基于地区稳定的理由
[00:04:13 - 00:04:14] 施加了许可要求
[00:04:14 - 00:04:16] 试图堵住中国公司
[00:04:16 - 00:04:17] 通过新加坡、阿联酋等
[00:04:17 - 00:04:19] 第三国转口或者走私的途径
[00:04:20 - 00:04:21] 不过从目前的情况来看
[00:04:21 - 00:04:24] 这种补漏洞的方式效果依然不佳
[00:04:24 - 00:04:26] 历史上美国干预国际贸易通常采用的
[00:04:26 - 00:04:29] 都是关税和出口管制的手段
[00:04:29 - 00:04:31] 很少会使用出口配额
[00:04:31 - 00:04:33] 例如在1973年由于全球粮食产量
[00:04:33 - 00:04:36] 受到恶劣天气和农业欠收的影响
[00:04:36 - 00:04:37] 供应紧张
[00:04:37 - 00:04:39] 美国作为主要粮食生产国
[00:04:39 - 00:04:40] 实施了临时出口配额
[00:04:40 - 00:04:42] 限制小麦和大豆的出口总量
[00:04:42 - 00:04:44] 来保障国内需求
[00:04:44 - 00:04:45] 冷战期间
[00:04:45 - 00:04:47] 美国也曾经对油钢铁等资源
[00:04:47 - 00:04:48] 设立出口上限
[00:04:48 - 00:04:50] 来抑制苏联获取战略资源
[00:04:50 - 00:04:51] 而在一战期间
[00:04:51 - 00:04:53] 英国为了切断德国的补给
[00:04:53 - 00:04:55] 首次对中立国实施出口配额
[00:04:55 - 00:04:57] 以战前消费水平为基准
[00:04:57 - 00:04:59] 估算荷兰等中立国的进口量
[00:04:59 - 00:05:01] 并且限制其特定商品的进口
[00:05:01 - 00:05:04] 如今美国再次对如此大范围的国家群体
[00:05:04 - 00:05:06] 设置GPU的出口配额
[00:05:06 - 00:05:09] 第三组是全面进入GPU芯片的国家
[00:05:09 - 00:05:10] 数量的约为24个
[00:05:10 - 00:05:11] 基本上可以确定
[00:05:11 - 00:05:13] 包括美国出口管理条例
[00:05:13 - 00:05:16] 一二规定的全部23个第五组国家
[00:05:16 - 00:05:17] 再加上澳门
[00:05:17 - 00:05:19] 第五组国家军委美国武器禁运国
[00:05:19 - 00:05:22] 其中包括中国 古巴 伊朗 朝鲜
[00:05:22 - 00:05:24] 敘利亚 俄罗斯 白俄罗斯
[00:05:24 - 00:05:27] 缅甸 柬埔寨 北内瑞拉
[00:05:27 - 00:05:28] 阿富汗 中非 钢国金
[00:05:28 - 00:05:30] 塞普洛斯 俄利特里亚
[00:05:30 - 00:05:32] 海地 伊拉克 黎巴嫩
[00:05:32 - 00:05:35] 利比亚 索马里 南苏丹 苏丹
[00:05:35 - 00:05:36] 金巴布维
[00:05:36 - 00:05:38] 美国禁止向这些国家或地区的
[00:05:38 - 00:05:40] 数据中心出口受控GPU
[00:05:40 - 00:05:42] 我们再来介绍一下UVU制度
[00:05:42 - 00:05:44] 全成为通用以验证最终用户
[00:05:44 - 00:05:46] 因为美国在对第二组国家
[00:05:47 - 00:05:48] 出口配额之后
[00:05:48 - 00:05:50] 汇队在这些国家的美国企业
[00:05:50 - 00:05:51] 产生重大影响
[00:05:51 - 00:05:54] 尤其是像Adrol,AWS,甲骨文等运营
[00:05:54 - 00:05:56] 大规模数据中心的美国云服务商
[00:05:56 - 00:05:59] 以及可能自建数据中心的OpenI等AI巨头
[00:05:59 - 00:06:00] 因为配额的限制
[00:06:00 - 00:06:03] 他们可能难以获得足够的GPU和算力
[00:06:03 - 00:06:04] 这显然不利于美国云服务商的
[00:06:04 - 00:06:05] 全球化发展
[00:06:05 - 00:06:07] 为了解决这个问题
[00:06:07 - 00:06:09] 人工智能扩散出口管制框架规定
[00:06:09 - 00:06:12] 这些美国公司可以向商务部申请
[00:06:12 - 00:06:14] 通用以验证最终用户的资质
[00:06:14 - 00:06:15] 一旦獲得這個資質
[00:06:15 - 00:06:18] 他們就能夠在無需申請許可的情況下
[00:06:18 - 00:06:21] 將GPU傳送到自己在這些國家的數據中心
[00:06:21 - 00:06:24] 並且這些GPU不進入該國的配合中
[00:06:24 - 00:06:25] 當然了這也是有條件的
[00:06:25 - 00:06:29] 公司必須保證至少50%的總算力留在美國本土
[00:06:29 - 00:06:33] 來確保美國本土始終擁有比世界其它地區更多的算力
[00:06:33 - 00:06:36] 不過要想要獲得優惠益優資質也並非意識
[00:06:36 - 00:06:40] 企業需要獲得美國聯邦政府雲計算風險與授權管理項
[00:06:40 - 00:06:42] 簡稱FatRapHat認證
[00:06:42 - 00:06:45] 并且遵守美国国家标准与技术研究所
[00:06:45 - 00:06:48] NIST的相关网络安全和数据安全标准
[00:06:48 - 00:06:51] FatRapHat是一种用来保护联盟政府较为敏感
[00:06:51 - 00:06:55] 但是尚没有达到机密级别的数据的一种技术认证
[00:06:55 - 00:06:57] 核心是美国政府定义的一整套
[00:06:57 - 00:06:59] 信息和物理安全要求
[00:06:59 - 00:06:59] 比方说
[00:06:59 - 00:07:03] 它要求每年对申请认证的数据中心进行第三方审计
[00:07:03 - 00:07:05] 实施特定的人员与防控制
[00:07:05 - 00:07:07] 还包含数据主权要求
[00:07:07 - 00:07:10] 也就是美国政府的数据必须存储在美国境内等等
[00:07:10 - 00:07:13] 原本Fedreap Head认证是非强制性的
[00:07:13 - 00:07:16] 很多的美国商业数据中心都没有申请过
[00:07:16 - 00:07:18] 但是这次通过与GPU的供应挂钩
[00:07:18 - 00:07:20] 变相成了强制性的认证
[00:07:20 - 00:07:24] 实际上UVU是从商务部去年9月份公布的
[00:07:24 - 00:07:26] 数据中心以验证追踪用户
[00:07:26 - 00:07:27] VU项目上发展而来的
[00:07:27 - 00:07:30] 这个项目允许美国公司在海外的数据中心
[00:07:30 - 00:07:32] 无需申请许可
[00:07:32 - 00:07:33] 即可接受受控的GPU
[00:07:33 - 00:07:36] 前提是数据中心要提供有关客户
[00:07:36 - 00:07:39] 业务活动 访问限制和网络安全的信息
[00:07:39 - 00:07:41] 而这个项目的灵感则来源于
[00:07:41 - 00:07:43] 阿联球的头部AI公司G42
[00:07:43 - 00:07:45] 在去年4月份与美国政府签署的
[00:07:45 - 00:07:46] 国家安全协议
[00:07:46 - 00:07:48] 由于签署了这份协议
[00:07:48 - 00:07:50] G42才得以与微软合作
[00:07:50 - 00:07:51] 并且去购买英伟达的GPU
[00:07:51 - 00:07:52] 简单来说
[00:07:52 - 00:07:55] UVEU和VEU制度的核心目的
[00:07:55 - 00:07:56] 都是为了防止数据中心
[00:07:56 - 00:07:58] 被中国用来训练AI大模型
[00:07:58 - 00:08:01] 最后是对必原人工智能模型
[00:08:01 - 00:08:02] 权重的出口管制
[00:08:02 - 00:08:04] 在AI模型训练过程中
[00:08:04 - 00:08:06] 系统会根据输入的数据
[00:08:06 - 00:08:08] 不断去调整模型内部的权重
[00:08:08 - 00:08:09] 这些权重说白了
[00:08:09 - 00:08:11] 就是一组复杂的数学参数
[00:08:11 - 00:08:12] 他们决定了模型
[00:08:12 - 00:08:13] 如何理解数据和做出决策
[00:08:14 - 00:08:14] 打个比方
[00:08:14 - 00:08:16] 如果把AI模型比做一个蛋糕
[00:08:16 - 00:08:19] 那么权重就是制作蛋糕的独家配方
[00:08:19 - 00:08:20] 包括原料比例
[00:08:20 - 00:08:22] 加工方法等等关键的信息
[00:08:22 - 00:08:23] 如果配方公开了
[00:08:23 - 00:08:25] 其他人就可以模仿制作
[00:08:25 - 00:08:27] 目前来看AI扩散出口管制框架
[00:08:27 - 00:08:29] 并没有对开源模型的权重
[00:08:29 - 00:08:30] 以及性能不如现有
[00:08:30 - 00:08:33] 开源模型的必原模型权重进行管制
[00:08:33 - 00:08:34] 但是如果一家位于
[00:08:34 - 00:08:36] 第二组国家的AI公司
[00:08:36 - 00:08:37] 想要针对特定目的
[00:08:37 - 00:08:40] 对通用开源权重模型进行微调
[00:08:40 - 00:08:41] 而且需要消耗巨大的算力
[00:08:41 - 00:08:44] 那么就需要向美国政府申请许可
[00:08:44 - 00:08:45] 对于必原模型的权重
[00:08:45 - 00:08:47] 规则禁止美国AI公司
[00:08:47 - 00:08:48] 在第三组国家拖管
[00:08:48 - 00:08:50] 第二组国家可以拖管
[00:08:50 - 00:08:52] 但是必须遵守相关的安全标准
[00:08:52 - 00:08:54] 如果公司获得了UVU认证
[00:08:54 - 00:08:56] 那么可以不受这个限制
[00:08:56 - 00:08:57] 目前的估计
[00:08:57 - 00:08:58] 对于大模型的性能评估
[00:08:58 - 00:09:00] 很有可能会以模型训练所需要的
[00:09:00 - 00:09:02] 辅典运算数FLOPS为标准
[00:09:02 - 00:09:04] 来划定一个预值
[00:09:04 - 00:09:07] 因为FLOPPS实际上反映了模型训练过程中
[00:09:07 - 00:09:09] 加法或者是惩罚运算的次数
[00:09:09 - 00:09:10] FLOPPS数量越大
[00:09:10 - 00:09:12] 说明模型的规模也越大
[00:09:12 - 00:09:14] 它的能力和潜在风险也就越高
[00:09:14 - 00:09:17] 事实上美国过去多个跟AI有关的规则
[00:09:17 - 00:09:20] 都采用了以FLOPPS来划分标准的思路
[00:09:20 - 00:09:23] 比如说去年9月份的第1410号行政令就规定
[00:09:23 - 00:09:27] 训练超过10的26次方FLOPPS的模型就需要报告
[00:09:27 - 00:09:29] 美国财政部去年10月份发布的
[00:09:29 - 00:09:31] 对华投资审查中也规定
[00:09:31 - 00:09:36] 禁止美国投资训练计算量超过10的25次方Flox的中国AI模型
[00:09:36 - 00:09:39] 以及10的24次方Flox的生物训练模型
[00:09:39 - 00:09:41] 如果美国这次还按照这个标准
[00:09:41 - 00:09:45] 那么像GPT4、Gemini、Cloud3或者是后续的版本等等
[00:09:45 - 00:09:46] 可能都在管制范围内
[00:09:46 - 00:09:49] 根据美国知名的AI研究机构EPOG AI的报告
[00:09:49 - 00:09:51] 截止到2024年4月
[00:09:51 - 00:09:55] 中国还没有计算能力超过10的25次方Flox的AI模型
[00:09:55 - 00:09:59] 但是有5个AI模型的计算能力超过了10的24次方Flox
[00:09:59 - 00:10:01] 分别是阿里巴巴的千吻72B
[00:10:01 - 00:10:04] XWIRS的XWIRS65B
[00:10:04 - 00:10:06] 制谱AI的ChatJRM3
[00:10:06 - 00:10:08] 虎博科技的TaggleBot的70B
[00:10:08 - 00:10:10] 以及百度的文心意验3.0Titan
[00:10:10 - 00:10:12] 还有14个AI模型的计算能力
[00:10:12 - 00:10:14] 超过了10的23四方Flops
[00:10:14 - 00:10:16] 其中包括DeepSync的DeepSyncCoder
[00:10:16 - 00:10:19] 33B和DeepSyncLRM67B
[00:10:19 - 00:10:21] 应该说AI扩散出口管制框架
[00:10:21 - 00:10:24] 在美国内部也引发了激烈的争论
[00:10:24 - 00:10:26] 如果按照卡奈机研究院的统计
[00:10:26 - 00:10:28] 可以将不同的观点分为成三派
[00:10:28 - 00:10:29] 第一个就是控制派
[00:10:29 - 00:10:33] 一些国会的鹰派议员、国安官员以及鼓吹民主AI
[00:10:33 - 00:10:36] 将打败专制AI的头部AI企业为代表
[00:10:36 - 00:10:39] 他们坚信前约的AI技术扩散到非盟友国家
[00:10:39 - 00:10:42] 会给美国带来远超出口获利的国家安全风险
[00:10:42 - 00:10:44] 这期中的代表人物就包括
[00:10:44 - 00:10:47] 众议院中美战略竞争特别委员会主席穆伦娜尔
[00:10:47 - 00:10:49] 首席成员克里希纳木蒂
[00:10:49 - 00:10:52] 特朗普第一任时期的副国家安全顾问博明
[00:10:52 - 00:10:56] 安斯拉比克的CEO达利奥阿姆戴依和OpenA的CEO三毛特曼
[00:10:58 - 00:11:00] 主要以甲骨文等美國雲廠商
[00:11:00 - 00:11:03] 以及代表雲服務和信息通信技術行業的協會為代表
[00:11:03 - 00:11:06] 他們認為應當全力推動美國AI技術
[00:11:06 - 00:11:07] 在海外市場的落地升根
[00:11:07 - 00:11:10] 並讓美國AI技術迅速在全球滲透
[00:11:10 - 00:11:12] 才能避免被中國搶旦市場空間
[00:11:12 - 00:11:15] 這才是維護美國國家安全的根本途徑
[00:11:15 - 00:11:16] 其中的代表人物有
[00:11:16 - 00:11:19] 奧克的高級副總裁肯格魯克
[00:11:19 - 00:11:22] 參議院商務科學和運輸委員會主席特德.克魯茲
[00:11:22 - 00:11:24] 高級成員馬利亞.坎特.威爾等等
[00:11:24 - 00:11:26] 第三個是杠杠派
[00:11:26 - 00:11:27] 相對前兩派更為中立
[00:11:27 - 00:11:30] 主張將美國AI出口當做外交談判的工具
[00:11:30 - 00:11:32] 通過對AI技術的出口管制
[00:11:32 - 00:11:34] 來換取他國在地緣政治
[00:11:34 - 00:11:35] 或者是技術層面的讓步
[00:11:35 - 00:11:38] 比如說要求外國支持美國主導的
[00:11:38 - 00:11:39] 國際AI安全標準
[00:11:39 - 00:11:41] 或者在外交上配合美國的行動
[00:11:41 - 00:11:44] 目前 AI擴散出口管制框架
[00:11:44 - 00:11:45] 已經進入了最後的階段
[00:11:45 - 00:11:47] 管理和預算辦公室的官員
[00:11:47 - 00:11:49] 已經與英偉達和行業協會
[00:11:49 - 00:11:51] 多次召開了EO12866會議
[00:11:51 - 00:11:53] 聽取利益相關各方的意見
[00:11:53 - 00:11:54] 不過美國商務部
[00:11:54 - 00:11:56] 決定召開公開徵求意見程序
[00:11:56 - 00:11:59] 准备以临时最终规则的形式推出这项法规
[00:11:59 - 00:12:02] 这就意味着法规一旦在联邦计时上刊登
[00:12:02 - 00:12:05] 将在60天内迅速生效 强行上线
[00:12:05 - 00:12:07] 虽然美国商界普遍呼吁拜登政府
[00:12:07 - 00:12:10] 遵循正常的征求公众意见程序
[00:12:10 - 00:12:11] 甚至交给特朗普团队来处理
[00:12:11 - 00:12:14] 但是从拜登政府目前的行动来看
[00:12:14 - 00:12:16] 似乎是铁了心要在交班给特朗普之前
[00:12:16 - 00:12:18] 将这个规则发布出来
[00:12:18 - 00:12:22] 好了 今天关于美国人工智能扩散出口框架的分析就到这里
[00:12:22 - 00:12:24] 我们也会持续保持关注
[00:12:24 - 00:12:26] 歡迎大家在評論區發表自己的看法
[00:12:26 - 00:12:28] 感謝大家的收看 我們下期再見
