BV号：BV196aczdEtR
标题：BV196aczdEtR
链接：https://www.bilibili.com/video/BV196aczdEtR
识别语言：zh
语言置信度：1
分段数：381
生成时间：2026-08-29 23:53:55

[00:00:00 - 00:00:06] 大家好,我是为什么叫QQ,今天要给大家讲一个听起来几乎不可能完成的项目。
[00:03:05 - 00:03:07] 这是硬件处理操作的时间单位
[00:03:07 - 00:03:10] 开发者可以设置任意的时间段
[00:03:10 - 00:03:12] 通常在一匹秒到一纳秒之间
[00:03:12 - 00:03:15] 所有操作都在这个时钟周期之间执行
[00:03:15 - 00:03:18] 第二个是硬件描述语言,Veralog
[00:03:18 - 00:03:20] 它和软件的编程语言不同
[00:03:20 - 00:03:22] 不是以程序形式执行的
[00:03:22 - 00:03:24] 而是靠合成布尔逻辑门
[00:03:24 - 00:03:26] 包括语,祸,飞等等
[00:03:26 - 00:03:28] 这些逻辑门组合起来
[00:03:28 - 00:03:30] 就能构建任何芯片的数字逻辑
[00:03:30 - 00:03:32] 比如在Veralog中
[00:03:32 - 00:03:34] 要想实现一个简单的加法运算
[00:03:34 - 00:03:37] 你需要将信号B在下一个时钟周期的值
[00:03:37 - 00:03:39] 设置为信号A的当前值
[00:03:39 - 00:03:43] 这和软件中变量立即更新的方式很不一样
[00:03:43 - 00:03:46] TPO之所以高效的另外一个原因
[00:03:46 - 00:03:48] 在于它在执行矩阵惩罚时的优势
[00:03:48 - 00:03:50] 在Transformer模型中
[00:03:50 - 00:03:54] 矩阵惩罚会占到计算操作的80%到90%
[00:03:54 - 00:03:57] 在超大型模型中甚至可以高达95%
[00:03:57 - 00:04:02] 即便是在CNN中也能占70%到80%
[00:04:02 - 00:04:05] 每个矩阵惩罚都代表了多层感之气
[00:04:05 - 00:04:06] MLP中单个层的计算
[00:04:06 - 00:04:09] 而深度学习模型往往有多层的MLP
[00:04:09 - 00:04:13] 这就使得TPU在处理大型模型时的效率被增
[00:04:13 - 00:04:18] 那么这群零基础的工程师是如何打算从零开始构建TPU的呢?
[00:04:18 - 00:04:20] 他们的起点非常基础
[00:04:20 - 00:04:23] 只知道YI等于MX加币这个方程
[00:04:23 - 00:04:25] 是构建神经网络的基础模块
[00:04:25 - 00:04:28] 但是要想在硬件中实现神经网络
[00:04:28 - 00:04:31] 必须完全理解其背后的数学原理
[00:04:31 - 00:04:32] 所以在写任何代码之前
[00:04:32 - 00:04:35] 团队每个人都手工计算了一个简单的
[00:04:35 - 00:04:39] 用来解决一货XOR问题的R1的MLP网络
[00:04:39 - 00:04:41] 为什么要选择一货问题呢?
[00:04:41 - 00:04:43] 因为它被称为神经网络的Halloworld
[00:04:43 - 00:04:46] 是最简单的需要用神经网络解决的问题之一
[00:04:46 - 00:04:49] 像与And或Ore这些逻辑门
[00:04:49 - 00:04:51] 用一条线,也就是一个神经员
[00:04:51 - 00:04:53] 就能区分输入对应的输出
[00:04:53 - 00:04:56] 但是一货问题需要弯曲的决策边界
[00:04:56 - 00:04:58] 这只有MLP才能实现
[00:04:58 - 00:05:00] 假设我们要进行连续的推理
[00:05:00 - 00:05:03] 比如像自动驾驶汽车那样
[00:05:03 - 00:05:04] 每秒会进行多个预测
[00:05:04 - 00:05:06] 这就需要同时处理多条数据
[00:05:06 - 00:05:09] 而这种数据通常是多维的
[00:05:09 - 00:05:10] 有很多的特征
[00:05:10 - 00:05:12] 需要大维度的矩阵
[00:05:12 - 00:05:14] 但是异货问题减化了维度
[00:05:14 - 00:05:15] 只有两个特征
[00:05:15 - 00:05:16] 零或者一
[00:05:16 - 00:05:18] 以及四种可能的输入
[00:05:18 - 00:05:20] 从而形成一个4×2的矩阵
[00:05:20 - 00:05:21] 40匹处理大小
[00:05:21 - 00:05:23] 两式特征大小
[00:05:23 - 00:05:24] 这就为他们的实验
[00:05:24 - 00:05:26] 提供了一个合适的减化模型
[00:05:26 - 00:05:27] 接下来
[00:05:27 - 00:05:28] 异货的输入矩阵
[00:05:28 - 00:05:30] 和目标输出都很简单
[00:05:30 - 00:05:31] 四行分别代表
[00:05:31 - 00:05:33] 四种二净制组合
[00:05:33 - 00:05:37] 对应的目标输出是0,1,1,0
[00:05:38 - 00:05:40] 矩阵成法是神经网络计算的核心
[00:05:40 - 00:05:43] 在数学上表示为xwt加b
[00:05:44 - 00:05:46] 其中x是输入矩阵
[00:05:46 - 00:05:48] w是权重矩阵
[00:05:48 - 00:05:49] b是偏差向量
[00:05:49 - 00:05:51] 为了在硬件中执行矩阵成法
[00:05:51 - 00:05:53] 他们还用到了一个关键结构
[00:05:53 - 00:05:54] 脉动阵列
[00:05:54 - 00:05:56] 只不过他们对这个脉动阵列做了简化
[00:05:57 - 00:06:02] 用2×2的阵列代替了TPUVE中的256×256阵列
[00:06:02 - 00:06:04] 但是数学运算是完全类似的
[00:06:04 - 00:06:05] 只是规模缩小了
[00:06:05 - 00:06:09] 实际上,TPU的核心就是脉动阵列
[00:06:09 - 00:06:10] 怕有处理单元
[00:06:11 - 00:06:15] 简称PE组成,这些PE以网格状的结构连接
[00:06:15 - 00:06:17] 每个PE都会执行惩罚累加运算
[00:06:17 - 00:06:21] 也就是将传入的输入X与固定权重W相乘
[00:06:21 - 00:06:23] 再与传入的累加和相加
[00:06:23 - 00:06:26] 所有操作在一个时钟周期内完成
[00:06:26 - 00:06:28] 当这些PE连接起来
[00:06:28 - 00:06:31] 就能以脉动的方式来执行矩阵惩罚
[00:06:31 - 00:06:35] 每个时钟周期可以计算输出举证的多个元素
[00:06:35 - 00:06:37] 输入从左侧进入迈动阵列
[00:06:37 - 00:06:39] 每个时钟周期向右移动到乡林的PE
[00:06:39 - 00:06:43] 磊家和从第一行PE的惩罚输出开始
[00:06:43 - 00:06:46] 向下一动与每个连续PE的成绩相加
[00:06:46 - 00:06:48] 直到到达最后一行PE
[00:06:48 - 00:06:50] 成为输出举证的一个元素
[00:06:50 - 00:06:53] 正因为TPU专注在这个核心单元上
[00:06:53 - 00:06:57] 而举证惩罚又占到了模型计算量的绝大部分
[00:06:57 - 00:07:00] 所以它能够高效地处理各种模型的推理和训练
[00:07:00 - 00:07:03] 我们再来具体看看异货问题的处理过程
[00:07:03 - 00:07:06] 他们的脉动阵列可以接受输入矩阵和权重矩阵
[00:07:06 - 00:07:08] 对于这个异货网络
[00:07:08 - 00:07:10] 初始化的权重和偏差有特定的值
[00:07:10 - 00:07:13] 要想将输入批次传入脉动阵列
[00:07:13 - 00:07:14] 需要两个步骤
[00:07:14 - 00:07:17] 首先要将X矩阵旋转90度
[00:07:17 - 00:07:18] 再错开输入
[00:07:18 - 00:07:21] 也就是每行要延迟一个时钟周期
[00:07:21 - 00:07:23] 包括输入权重矩阵的时候
[00:07:23 - 00:07:25] 也要进行类似的交错排列
[00:07:25 - 00:07:27] 并且需要转制
[00:07:27 - 00:07:28] 这里要说明的是
[00:07:28 - 00:07:31] 旋轉和交錯沒有數學意義
[00:07:31 - 00:07:33] 只是為了讓脈動陣列正常工作
[00:07:33 - 00:07:35] 而轉制則是為了數學對齊
[00:07:35 - 00:07:37] 確保拒真運算的正確
[00:07:37 - 00:07:38] 為了實現交錯
[00:07:38 - 00:07:40] 他們在脈動陣列的上方和左側
[00:07:40 - 00:07:42] 設計了幾乎相同的累加器
[00:07:42 - 00:07:44] 由於激活是逐個輸入的
[00:07:44 - 00:07:46] 所以適合採用先進先出
[00:07:46 - 00:07:47] 對列的數據存儲方案
[00:07:47 - 00:07:50] 但是他們的累加器有兩個輸入端口
[00:07:50 - 00:07:52] 一個用來手動寫入權重
[00:07:52 - 00:07:55] 另一個用來將上一層的輸出寫回
[00:07:55 - 00:07:56] 作為當前層的輸入
[00:07:56 - 00:07:58] 全中fefo的逻辑类似
[00:07:58 - 00:08:00] 但是没有第二个端口
[00:08:00 - 00:08:02] 完成举证惩罚之后
[00:08:02 - 00:08:03] 下一步就是添加偏差
[00:08:03 - 00:08:05] 他们在迈动阵列的每一列下
[00:08:05 - 00:08:07] 创建了一个偏差模块
[00:08:07 - 00:08:10] 当总和从最后一行流出时
[00:08:10 - 00:08:13] 直接会进入偏差模块计算于激活的值
[00:08:13 - 00:08:14] 用变量z表示
[00:08:14 - 00:08:17] 偏差项量会被添加到每个z行
[00:08:17 - 00:08:20] 这一步就像我们学过的线性方程一样
[00:08:20 - 00:08:21] 只是扩展到了多维形式
[00:08:21 - 00:08:23] 每一列都代表一个特征
[00:08:23 - 00:08:25] 之后需要应用激活函数
[00:08:25 - 00:08:27] 他们选择了Leaky Real
[00:08:27 - 00:08:29] 这是一个逐个元素的操作
[00:08:29 - 00:08:31] 所以在每个偏差模块下
[00:08:31 - 00:08:32] 都有一个激活模块
[00:08:32 - 00:08:34] 偏差模块的输出
[00:08:34 - 00:08:36] 会直接流入到激活模块
[00:08:36 - 00:08:37] 得到的结果用H表示
[00:08:37 - 00:08:39] Leaky Real的计算规则是
[00:08:39 - 00:08:42] 输入为正的时候输出本身
[00:08:42 - 00:08:44] 为负的时候输出输入乘以0.5
[00:08:44 - 00:08:47] 因为这里的泄露因子Beta等于0.5口物
[00:08:47 - 00:08:49] 以1或网络的第一层为例
[00:08:49 - 00:08:52] 我们可以看到脉动阵列会先计算举证成法
[00:08:52 - 00:08:54] 然后添加偏差B1
[00:08:54 - 00:08:58] 在应用LeakyReality得到H1,负值会乘以0.5,
[00:08:58 - 00:08:59] 正值保持不变。
[00:08:59 - 00:09:01] 这里有个关键的设计思路是
[00:09:01 - 00:09:06] 流水线技术,为什么不把偏差和激活合并到一个时钟周期里呢?
[00:09:06 - 00:09:10] 因为流水线允许不同阶段的操作同时进行。
[00:09:10 - 00:09:14] 就像装配线一样,当激活模块处理一个数据的时候,
[00:09:14 - 00:09:16] 偏差模块已经在处理下一个了,
[00:09:16 - 00:09:20] 这样能让所有模块保持忙碌,避免闲置。
[00:09:20 - 00:09:24] 如果某个模块在一个周期内执行多个操作,就会成为瓶颈。
[00:09:24 - 00:09:28] 所以将操作分解到多个时钟周期是更高效的做法。
[00:09:28 - 00:09:33] 为了进一步提高效率,他们设计了一个称为Traveling Chip Enable的信号。
[00:09:33 - 00:09:39] 用紫色的原点表示,由于所有组件都是交错排列的,只需在第一个磊家器上
[00:09:39 - 00:09:43] 断言一个时钟周期的启动信号就能够准确传播到箱里的模块,
[00:09:43 - 00:09:47] 依次激活脉动阵列、偏差和激活模块,
[00:09:47 - 00:09:49] 却保每个模块只在需要的时候工作
[00:09:49 - 00:09:50] 不浪费电量
[00:09:51 - 00:09:54] 接下来的挑战是如何处理多层网络
[00:09:54 - 00:09:55] 当开始新的层时
[00:09:55 - 00:09:57] 需要使用新的权重矩阵
[00:09:57 - 00:09:59] 而脉动阵列是权重平稳的
[00:09:59 - 00:10:01] 那么又该如何更换权重呢?
[00:10:01 - 00:10:04] 他们借鉴了电子游戏中的双缓冲概念
[00:10:04 - 00:10:05] 在游戏中
[00:10:05 - 00:10:08] 经常会用双缓冲来防止画面撕裂
[00:10:08 - 00:10:10] 原理其实就是隐藏像素的加在时间
[00:10:10 - 00:10:13] 这和他们面临的问题完全相同
[00:10:13 - 00:10:14] 于是
[00:10:14 - 00:10:16] 他们通过添加第二个隐则缓冲区
[00:10:16 - 00:10:20] 在当前层计算的时候,去加载下一层的权重
[00:10:20 - 00:10:22] 从而让总时中的周期减少了一半
[00:10:22 - 00:10:26] 为了实现双缓冲,他们还添加了两个信号
[00:10:26 - 00:10:28] 分别是用蓝点表示的切换信号
[00:10:28 - 00:10:32] 它会将影子缓冲区的权重复制到活动缓冲区
[00:10:32 - 00:10:34] 从左上角传播到右下角
[00:10:34 - 00:10:37] 以及一个用绿点表示的,接受标志
[00:10:37 - 00:10:39] 表示权重要向下一动一行
[00:10:39 - 00:10:42] 新权重进入顶行,每行一次下移
[00:10:42 - 00:10:44] 通过这两个信号的配合
[00:10:44 - 00:10:47] 就能让脉动阵列执行持续的推理
[00:10:47 - 00:10:49] 通过不断输入新的权重和数据
[00:10:49 - 00:10:51] 计算任意层级的前向传播
[00:10:51 - 00:10:52] 最大化PE的利用率
[00:10:52 - 00:10:53] 比如
[00:10:53 - 00:10:54] 在第二层中
[00:10:54 - 00:10:56] 第一层的输出HE成为输入
[00:10:56 - 00:10:58] 经过同样的矩阵惩罚
[00:10:58 - 00:10:59] 加偏差、激活操作
[00:10:59 - 00:11:01] 得到最终的预测结果
[00:11:01 - 00:11:03] 对于异获这个问题来说
[00:11:03 - 00:11:04] 所有值都是正书
[00:11:04 - 00:11:05] 所以
[00:11:05 - 00:11:07] LeakyRail有的输出保持不便
[00:11:07 - 00:11:08] 推理功能完成之后
[00:11:08 - 00:11:11] 他们面临的下一个挑战就是训练
[00:11:11 - 00:11:12] 有趣的是
[00:11:12 - 00:11:15] 用于推理的架构可以直接用来训练
[00:11:15 - 00:11:17] 因为训练本质上也是矩阵成法
[00:11:17 - 00:11:19] 只是多了一些步骤而已
[00:11:19 - 00:11:21] 假设推理得到的预测结果是
[00:11:21 - 00:11:23] 0.8,0.3,0.1,0.9
[00:11:23 - 00:11:26] 而目标是1,0,0,1
[00:11:26 - 00:11:28] 显然模型表现不佳
[00:11:28 - 00:11:30] 需要通过训练来改进
[00:11:30 - 00:11:32] 训练的核心是损失函数
[00:11:32 - 00:11:34] 于是他们选择了军方误差
[00:11:34 - 00:11:37] 可以理解为预测与目标之间的距离
[00:11:37 - 00:11:38] 幼崖要表示
[00:11:38 - 00:11:40] 但是训练并不需要损失值本身
[00:11:40 - 00:11:42] 而是需要它的导数
[00:11:42 - 00:11:45] 这个导数只是了应该向哪个方向调整权重
[00:11:45 - 00:11:47] 才能减小损失
[00:11:47 - 00:11:50] 就像一个指向更好性能的指南针一样
[00:11:50 - 00:11:52] 这里还用到了危机分钟的练试法则
[00:11:52 - 00:11:56] 它能将复杂的T度计算分解成更小的部分
[00:11:56 - 00:11:59] 让我们足曾计算T度并且向后传播
[00:11:59 - 00:12:00] 整个过程可以分为几步
[00:12:00 - 00:12:04] 首先计算损失相对于最终激活的变化率
[00:12:04 - 00:12:06] 然后通过激活函数的导数
[00:12:06 - 00:12:10] 也就是LeakyRailu来计算损失相对于一激活的T度
[00:12:10 - 00:12:13] 以此类推,等会制完完整的计算图后
[00:12:13 - 00:12:15] 他们发现了一个惊人的对称性
[00:12:15 - 00:12:17] 那就是反向传播中的最常链
[00:12:17 - 00:12:19] 与前向传播非常相似
[00:12:19 - 00:12:23] 在前向传播中,激活矩阵是与转秩全中矩阵相成的
[00:12:24 - 00:12:28] 而反向传播中,T度矩阵是与未转秩的全中矩阵相成的
[00:12:28 - 00:12:30] 就像是赵静子一样
[00:12:30 - 00:12:34] 这种对称性让他们能够附用很多前向传播的设计
[00:12:34 - 00:12:36] 比如将T度传播到隐藏层
[00:12:36 - 00:12:40] 在通过第一层的激活,只需要根据Z1中正负值的混合
[00:12:40 - 00:12:45] 应用相应的LeakyRow与T度即可,比如政治为1,负值为0.01
[00:12:45 - 00:12:50] 在计算激活导数的时候,还需要用到前项传播中得到的激活值H
[00:12:50 - 00:12:55] 这就需要存储每一层的输出,为此他们创建了一个统一缓冲区UB
[00:12:55 - 00:12:59] 在前项传播计算H之后,立即存储
[00:12:59 - 00:13:01] UB还设计了两个读写端口
[00:13:01 - 00:13:03] 因为需要同时访问两个值
[00:13:03 - 00:13:06] 包括每行列的两个输入或者权重
[00:13:06 - 00:13:09] 这样就最大限度的减少了数据征用
[00:13:09 - 00:13:12] 读取的时候只需要提供起始地址和数量
[00:13:12 - 00:13:14] UB就会在后台运行
[00:13:14 - 00:13:16] 每个时钟周期读取两个值
[00:13:16 - 00:13:19] 这样就比每个周期用指令加载更加高效
[00:13:19 - 00:13:22] 因为位于所有迈动阵列下方的模块
[00:13:22 - 00:13:24] 都需要处理逐个输出的列向量
[00:13:24 - 00:13:26] 这促使他们将这些模块
[00:13:26 - 00:13:29] 统一为向量处理单元为PU
[00:13:29 - 00:13:31] 这不仅让设计变得更加优雅
[00:13:31 - 00:13:32] 也更具有可扩展性
[00:13:32 - 00:13:35] 比如当卖动阵列超过2x2的时候
[00:13:35 - 00:13:38] N个这样的模块就可以统一管理
[00:13:38 - 00:13:41] 他们还对激活导数模块做了一个小小的优化
[00:13:41 - 00:13:44] 由于H2的直指用来计算了一次T度
[00:13:44 - 00:13:48] 所以他们在VPU内部创建了一个小型缓存H开始
[00:13:48 - 00:13:50] 而把其他的H值存储在UB中
[00:13:50 - 00:13:53] 因为需要用来进行多个导数计算
[00:13:53 - 00:13:55] VPU通过整合控制信号
[00:13:55 - 00:13:57] 也就是VPU的通路位
[00:13:57 - 00:13:58] Pathway bits
[00:13:58 - 00:14:01] 可以选择性地启用或者跳过特定的操作
[00:14:01 - 00:14:03] 同时支持推理和训练
[00:14:03 - 00:14:06] 比如正向传播时会应用偏差和激活
[00:14:06 - 00:14:08] 跳过损失和导数计算一样
[00:14:09 - 00:14:12] 反向传播实则启用所有的模块
[00:14:12 - 00:14:15] 但只在反向链中计算激活含数的导数
[00:14:15 - 00:14:16] 由于流水线技术
[00:14:16 - 00:14:19] 流行VPU的值会经过所有四个模块
[00:14:19 - 00:14:21] 只不过没有使用的模块
[00:14:21 - 00:14:22] 只会充当计存器
[00:14:22 - 00:14:24] 不执行计算
[00:14:24 - 00:14:25] 接下来的几个导数计算
[00:14:25 - 00:14:28] 可以直接利用迈动阵列的矩阵惩法能力
[00:14:28 - 00:14:30] 因为有三个关键的横等是
[00:14:31 - 00:14:33] 如果z等于xwt
[00:14:33 - 00:14:36] 那么对权重球导我们可以得到这个
[00:14:36 - 00:14:38] 对输入x球导我们可以得到这个
[00:14:38 - 00:14:40] 而偏差的导数就是1
[00:14:40 - 00:14:45] 这意味着可以用前面得到的t度与xwt合一相乘
[00:14:45 - 00:14:47] 得到权重和输入的t度
[00:14:48 - 00:14:50] 再乘以学习率来更新参数
[00:14:50 - 00:14:52] 有了这些设计之后
[00:14:52 - 00:14:54] 反向传播就能顺畅运行
[00:14:54 - 00:14:56] 首先从Ub获取T度和Hg镇
[00:14:57 - 00:14:59] 通过迈动阵列计算权重T度
[00:14:59 - 00:15:02] 同时直接输入到T度下降模块
[00:15:02 - 00:15:04] 再用当前权重和T度更新参数
[00:15:05 - 00:15:07] 整个过程就会像流水一样不间断地执行
[00:15:07 - 00:15:09] 随着功能的完善
[00:15:09 - 00:15:11] 他们的指令级也从最初的24位
[00:15:11 - 00:15:12] 扩展到了94位
[00:15:12 - 00:15:14] 但是确保了每一位都是必须的
[00:15:15 - 00:15:17] 从而再不影响速度和效率的情况下
[00:15:17 - 00:15:19] 实现了所有的控制功能
[00:15:19 - 00:15:22] 最终通过不断重复前向传播
[00:15:22 - 00:15:23] 反向传播
[00:15:23 - 00:15:26] 全中更新的循环,网络性能逐步提升
[00:15:26 - 00:15:28] 在GTKWave中的波形模拟显示
[00:15:28 - 00:15:31] 一个周期后内存中的权重和偏差
[00:15:31 - 00:15:33] 已经得到了有效更新
[00:15:33 - 00:15:36] 好了,以上就是这个项目的大概过程了
[00:15:36 - 00:15:39] 当然了,这个项目只能说是一个简单的原型
[00:15:39 - 00:15:41] 真正的TPU,远比这个要复杂的多
[00:15:41 - 00:15:44] 只不过,整个过程中最令人惊叹的
[00:15:44 - 00:15:46] 不只是他们在三个月内
[00:15:46 - 00:15:49] 从零开始构建出了能推理和训练的TPU
[00:15:49 - 00:15:51] 更在于他们采用的第一性原理的方法
[00:15:51 - 00:15:54] 从最基础的数学和硬件原理出发
[00:15:54 - 00:15:55] 重新发明
[00:15:55 - 00:15:57] 而不是复制了现有的设计
[00:15:57 - 00:16:00] 这种方法让他们在没有专业背景的情况下
[00:16:00 - 00:16:01] 不仅完成了技术挑战
[00:16:01 - 00:16:04] 也更为深入地理解了每一个环节背后的原理
[00:16:04 - 00:16:07] 对于想要深入了解这个项目的观众
[00:16:07 - 00:16:10] 可以访问他们的GateHub地址以及项目的官网
[00:16:10 - 00:16:13] 团队成员苏利亚苏雷·斯尔·斯尔·施尔也在X平台进行了分享
[00:16:13 - 00:16:16] 我会把这些链接都放到视频简介中
[00:16:16 - 00:16:19] 希望这个项目能给大家带来一些有趣的想法
[00:16:19 - 00:16:20] 感谢观看本期视频
[00:16:20 - 00:16:21] 我们下期再见
