BV号：BV1jRZCYMEtR
标题：BV1jRZCYMEtR
链接：https://www.bilibili.com/video/BV1jRZCYMEtR
识别语言：zh
语言置信度：1
分段数：255
生成时间：2026-08-30 09:56:00

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 最近科技卷可谓是炸开了锅
[00:01:12 - 00:01:15] 一起为安卓系统的发展天专加网
[00:01:15 - 00:01:18] 在这个过程中诞生了无数纪约安卓定制的操作系统
[00:01:18 - 00:01:20] 像三星的OneUI
[00:01:20 - 00:01:22] Vivo的OrinjiOS
[00:01:22 - 00:01:24] 还有小米的HyperOS等等
[00:01:24 - 00:01:25] 他们都在安卓的基础上
[00:01:25 - 00:01:27] 加入了各自独特的功能和设计
[00:01:27 - 00:01:30] 满足了不同用户的个性化需求
[00:01:30 - 00:01:31] 不仅如此
[00:01:31 - 00:01:33] 安卓的开源还为一些特殊情况下的企业
[00:01:33 - 00:01:35] 提供了生存和发展的机会
[00:01:35 - 00:01:36] 就拿华为来说
[00:01:36 - 00:01:38] 在面临国际限制
[00:01:38 - 00:01:39] 无法获得谷歌移动服
[00:01:39 - 00:01:41] GMS许可的情况下
[00:01:41 - 00:01:43] 正是使用AOSP的开源代码
[00:01:43 - 00:01:45] 让华为能够继续开发
[00:01:45 - 00:01:46] 纪约安卓的EMUI
[00:01:46 - 00:01:48] 后来又发展出了鸿蒙OS
[00:01:49 - 00:01:52] 用华为移动服HMS取代了GMS的功能
[00:01:52 - 00:01:54] 才让它找出了一条新的出路
[00:01:54 - 00:01:57] 然而呢 最近的一則消息卻讓很多人開始擔心安卓的未來了
[00:01:57 - 00:01:59] 有些國內的媒體報導稱
[00:01:59 - 00:02:01] 谷歌決定終止開源安卓
[00:02:01 - 00:02:03] 這可把大家給嚇壞了
[00:02:03 - 00:02:04] 按照這些報導的說法
[00:02:04 - 00:02:07] 谷歌將會停止維護安卓的開放原代碼項目
[00:02:07 - 00:02:08] AOSP
[00:02:08 - 00:02:11] 以後呢 只有那些給谷歌交了授權費的廠商
[00:02:11 - 00:02:13] 才能夠拿到後續的代碼更新
[00:02:13 - 00:02:17] 這就意味著那些依賴於AOSP免費開發的小公司
[00:02:17 - 00:02:19] 車機廠商可能就沒有辦法
[00:02:19 - 00:02:21] 再像以前那樣輕鬆的獲取最新代碼了
[00:02:21 - 00:02:24] 比如說基於OSP開發的智能座艙系統
[00:02:24 - 00:02:26] 車企如果不跟谷歌簽訂協議
[00:02:26 - 00:02:28] 就無法得到最新的代碼
[00:02:28 - 00:02:30] 只能繼續使用舊的系統進行開發
[00:02:30 - 00:02:33] 這個消息也引發了大家的各種猜測
[00:02:33 - 00:02:36] 有的人認為谷歌這麼做是為了增加營收
[00:02:36 - 00:02:38] 畢竟非認證的安卓設備數量龐大
[00:02:38 - 00:02:41] 可以達到數以十億劑甚至是百億劑
[00:02:41 - 00:02:42] 通過必員OSP
[00:02:42 - 00:02:45] 谷歌有可能迫使這些設備廠商低頭
[00:02:45 - 00:02:46] 簽訂各種協議
[00:02:46 - 00:02:49] 從而在這個巨大的市場中獲取更多的利益
[00:02:49 - 00:02:51] 但是事情真的是这样吗
[00:02:51 - 00:02:53] 如果我们深入去了解一下
[00:02:53 - 00:02:55] 就会发现事情并没有这么简单
[00:02:55 - 00:02:57] 国外的媒体 Android Authority
[00:02:57 - 00:02:59] 其实是第一个报道了这件事的
[00:02:59 - 00:03:00] 不过他们的说法
[00:03:00 - 00:03:02] 却和国内的部分媒体有所不同
[00:03:02 - 00:03:04] 根据 Android Authority 的报道
[00:03:04 - 00:03:07] 谷歌确实不会再继续维护
[00:03:07 - 00:03:09] Android 开放元代码项目OSP了
[00:03:09 - 00:03:11] 但是这并不意味着 Android 就要避源了
[00:03:11 - 00:03:14] 实际上谷歌一直同时维护着
[00:03:14 - 00:03:15] 两套 Android 系统的主线代码
[00:03:15 - 00:03:18] 一套是我们所熟悉的OSP主线代码
[00:03:18 - 00:03:21] 另一套是谷歌内部开发的主线代码
[00:03:21 - 00:03:24] AOSP主线代码是一个比较基础的版本
[00:03:24 - 00:03:26] 所有人都能够免费的查看
[00:03:26 - 00:03:28] 而内部开发的主线代码
[00:03:28 - 00:03:31] 则包含了谷歌服务以及各种的高级特性
[00:03:31 - 00:03:34] 只有给谷歌交了授权费的厂商才能够查看
[00:03:34 - 00:03:36] 而且内部主线的开发进度
[00:03:36 - 00:03:38] 往往要比AOSP的主线快很多
[00:03:38 - 00:03:41] 那么谷歌为什么要做出这样的调整呢
[00:03:41 - 00:03:43] 这里面其实有一个记录上的原因
[00:03:43 - 00:03:45] 随着安卓系统的规模越来越大
[00:03:45 - 00:03:47] 复达度越来越高
[00:03:47 - 00:03:50] 这两条主线之间的差异也变得越来越大
[00:03:50 - 00:03:52] 这就导致了代码合并冲突的问题
[00:03:52 - 00:03:53] 给大家举个例子
[00:03:53 - 00:03:57] 有个严马逊的程学儿给安卓系统提交了一个补钉
[00:03:57 - 00:03:59] 这个补钉允许系统里的放大镜工具
[00:03:59 - 00:04:02] 放大导航栏以及输入法的界面
[00:04:02 - 00:04:05] 还在系统的设计界面设计了一个开启按钮
[00:04:05 - 00:04:08] 但是在代码合并的时候就出现了问题
[00:04:08 - 00:04:10] 因为在AOSP主线和内部的主线里
[00:04:10 - 00:04:13] 设置列表末尾的长度不一样
[00:04:13 - 00:04:15] AOSP主线是列57
[00:04:15 - 00:04:17] 而內部的主線裡是列59
[00:04:17 - 00:04:19] 類似這樣的衝突還有很多
[00:04:19 - 00:04:22] 這不僅增加了開發的難度和成本
[00:04:22 - 00:04:23] 還影響了開發的效率
[00:04:23 - 00:04:26] 所以谷歌決定徹底放棄OSP主線
[00:04:26 - 00:04:28] 只維護內部的主線
[00:04:28 - 00:04:31] 順便還能夠裁一波源實現降本增效
[00:04:31 - 00:04:33] 不過谷歌也向Android的Answerity確認
[00:04:33 - 00:04:35] 雖然不再維護OSP項目
[00:04:35 - 00:04:38] 也不會再通過Garrett代碼審計平台
[00:04:38 - 00:04:40] 實實的向外界公開Android代碼的變動
[00:04:40 - 00:04:44] 但是以後依舊會照常把內部主線的代碼固定
[00:04:44 - 00:04:46] 来发布安卓的大版本迭代
[00:04:46 - 00:04:48] 并且随着大版本的更新
[00:04:48 - 00:04:49] 打包放出原代码
[00:04:49 - 00:04:50] 也就是说
[00:04:50 - 00:04:51] 付费的厂商
[00:04:51 - 00:04:52] 可以实时查看
[00:04:52 - 00:04:53] 谷歌内部主线的代码
[00:04:53 - 00:04:55] 而免费的开发者和用户
[00:04:55 - 00:04:56] 则需要等到谷歌
[00:04:56 - 00:04:58] 每年发布新版本的时候
[00:04:58 - 00:05:00] 才能够看到新系统的原代码
[00:05:00 - 00:05:01] 从这个角度来看
[00:05:01 - 00:05:03] 安卓并没有完全的必原
[00:05:03 - 00:05:05] 只是开源的方式发生了变化
[00:05:05 - 00:05:07] 从实时的公开代码变动
[00:05:07 - 00:05:09] 变成了随着版本发布
[00:05:09 - 00:05:10] 来公开代码
[00:05:10 - 00:05:12] 其实回顾安卓的发展历程
[00:05:12 - 00:05:13] 我们会发现
[00:05:13 - 00:05:15] 它的开发方式一直在发生变化
[00:05:15 - 00:05:17] 2007年11月
[00:05:17 - 00:05:20] 安卓开放元代码项目AOSP正式发布
[00:05:20 - 00:05:22] 那个时候第一代的iPhone刚刚问世
[00:05:22 - 00:05:25] 在手机市场上引起了巨大的轰动
[00:05:25 - 00:05:27] 开启了现代智能手机时代
[00:05:27 - 00:05:30] 谷歌为了对抗iPhone推出了开源的安卓系统
[00:05:30 - 00:05:32] 希望通过开源的方式
[00:05:32 - 00:05:34] 迅速拉拢起一个庞大的联盟
[00:05:34 - 00:05:36] 吸引更多的厂商和开发者加入
[00:05:36 - 00:05:40] 共同打造一个能够与iOS抗衡的移动生态系统
[00:05:40 - 00:05:41] 在AOSP成立之初
[00:05:41 - 00:05:44] 谷歌大力的支持开源应用的开发
[00:05:44 - 00:05:46] 这些应用与免费的AOSP捆绑在一起
[00:05:46 - 00:05:49] 很快就吸引了大量的用户和开发者
[00:05:49 - 00:05:51] 安卓系统的市场份额也迅速的扩大
[00:05:51 - 00:05:54] 但是随着安卓系统的不断发展壮大
[00:05:54 - 00:05:56] 谷歌对它的控制也在逐渐的加强
[00:05:57 - 00:05:57] 谷歌意识到
[00:05:57 - 00:06:00] 需要对公共原代码拥有更多的控制权
[00:06:00 - 00:06:02] 于是开始将一些安卓的功能
[00:06:02 - 00:06:05] 从AOSP转移到必原软件包中
[00:06:05 - 00:06:07] 比如说谷歌用自家的必原版本
[00:06:07 - 00:06:10] 替代了AOSP版本的日历和消息应用
[00:06:10 - 00:06:12] 还停止了对开源版本的维护
[00:06:12 - 00:06:16] 这样一来开源AOSP版本的这些应用开发
[00:06:16 - 00:06:17] 就受到了极大的阻碍
[00:06:17 - 00:06:20] 而且现在大多数的安卓开发
[00:06:20 - 00:06:22] 都在内部分支中进行
[00:06:22 - 00:06:25] 只有少数的组件像蓝牙和内核
[00:06:25 - 00:06:26] 还在公开的分支中开发
[00:06:26 - 00:06:28] 而在新的开发模式下
[00:06:28 - 00:06:31] 这些组件也将转移到内部分支
[00:06:31 - 00:06:33] 这次谷歌对于安卓开发流程的调整
[00:06:33 - 00:06:36] 对不同的群体也会带来不同的影响
[00:06:36 - 00:06:38] 对应用开发者来说
[00:06:38 - 00:06:40] 大部分人受到的影响其实并不大
[00:06:40 - 00:06:43] 因为这次调整主要涉及到系统底层的开发
[00:06:43 - 00:06:46] 应用开发者依赖的稳定API并没有改变
[00:06:46 - 00:06:48] 不管是用Cautely还是Java
[00:06:48 - 00:06:49] 该怎么写代码还是怎么写
[00:06:49 - 00:06:52] 该调用API还是可以正常调用的
[00:06:52 - 00:06:54] 不过也有一些特殊的情况
[00:06:54 - 00:06:57] 如果开发者重度依赖于OSP分支的实时代码
[00:06:57 - 00:06:59] 比如说做系统及优化的开发者
[00:06:59 - 00:07:01] 可能就会感到不便
[00:07:01 - 00:07:05] 但是这类开发者在整个开发者群体中占比是很小的
[00:07:05 - 00:07:07] 对于平台或者是ROM的开发者来说
[00:07:07 - 00:07:09] 影响就比较明显了
[00:07:09 - 00:07:12] 以前他们能够实时看到谷歌的开发过程
[00:07:12 - 00:07:15] 就像是在透明的厨窗里看着厨师做菜一样
[00:07:15 - 00:07:17] 可以快速的跟进系统变化
[00:07:17 - 00:07:19] 甚至还能够参与到代码的贡献
[00:07:19 - 00:07:22] 但是现在他们只能等待新版本的发布
[00:07:22 - 00:07:24] 才能够看到完整的代码配方
[00:07:24 - 00:07:25] 就像开盲盒一样
[00:07:25 - 00:07:29] 这就意味着定制ROM的开发效率可能会降低
[00:07:29 - 00:07:31] 更新的节奏也不得不和谷歌同步
[00:07:31 - 00:07:33] 不能像以前那样灵活的根据自己的节奏
[00:07:33 - 00:07:35] 来进行开发和更新了
[00:07:35 - 00:07:37] 对于开源贡献者来说
[00:07:37 - 00:07:39] 他们的热情可能会受到一些打击
[00:07:39 - 00:07:42] 以前他们可以时时的跟踪代码的变更
[00:07:42 - 00:07:43] 及时的提交补丁
[00:07:43 - 00:07:45] 但是现在谷歌关闭了
[00:07:45 - 00:07:47] USP时时的开发分支
[00:07:47 - 00:07:49] 外部的开发者就很难在时时的了解
[00:07:49 - 00:07:50] 代码的变化了
[00:07:50 - 00:07:53] 提交补丁的难度也会大大的增加
[00:07:53 - 00:07:55] 开源社区可能会逐渐变成一个
[00:07:55 - 00:07:56] 只能够围观的群体
[00:07:56 - 00:07:58] 大家参与开发的机性
[00:07:58 - 00:07:59] 可能也会越来越低
[00:07:59 - 00:08:01] 从目前的情况上来看
[00:08:01 - 00:08:03] 虽然谷歌强调不会封闭原代码
[00:08:03 - 00:08:05] 会继续发布新版本的原代码
[00:08:05 - 00:08:09] 但是他把开发工作全部转移到了内部的做法
[00:08:09 - 00:08:12] 还是让很多人担心安卓生态系统的未来
[00:08:12 - 00:08:15] 有人担心安卓会不会像Open Slurice一样
[00:08:15 - 00:08:16] 虽然一直说开源
[00:08:16 - 00:08:18] 但是最后却走向了必然的道路
[00:08:18 - 00:08:20] 也有人认为谷歌这样做
[00:08:20 - 00:08:22] 是为了在新的科技竞争环境下
[00:08:22 - 00:08:23] 更好的保护自己的利益
[00:08:23 - 00:08:25] 毕竟现在AI已经逐渐兴起了
[00:08:25 - 00:08:27] 成为了新的科技战场
[00:08:27 - 00:08:30] 安卓系统也需要不断的调整和进化
[00:08:30 - 00:08:32] 不过我们也不能忽视一个事实
[00:08:32 - 00:08:35] 那就是安卓系统已经拥有了庞大的用户
[00:08:35 - 00:08:37] 和开发者社区
[00:08:37 - 00:08:39] 它的影响力已经深入到人心
[00:08:39 - 00:08:41] 即使谷歌真的做出一些调整
[00:08:41 - 00:08:44] 也需要考虑到整个生态系统的平衡和发展
[00:08:44 - 00:08:47] 而且市场上也存在着其他的开源操作系统
[00:08:47 - 00:08:49] 他们也在不断的发展壮大
[00:08:49 - 00:08:52] 对于安卓系统也形成了一定的竞争压力
[00:08:52 - 00:08:54] 所以说安卓未来到底会走向何方
[00:08:54 - 00:08:55] 现在还很难说
[00:08:55 - 00:08:58] 是会继续保持一定程度的开源
[00:08:58 - 00:08:59] 在新的开发模式下
[00:08:59 - 00:09:00] 幻发出新的活力
[00:09:00 - 00:09:02] 还是会逐渐的走向必远
[00:09:02 - 00:09:04] 成为谷歌专属的操作系统
[00:09:04 - 00:09:06] 这一切都有待于时间的检验
[00:09:06 - 00:09:08] 作为科技爱好者和消费者
[00:09:08 - 00:09:10] 我们能做的就是持续的关注
[00:09:10 - 00:09:13] 看看谷歌接下来还会有什么新的动作
[00:09:13 - 00:09:15] 好了 本期视频的内容就到这里
[00:09:15 - 00:09:18] 如果你对安卓系统的未来发展有什么看法
[00:09:18 - 00:09:19] 欢迎在评论区留言
[00:09:19 - 00:09:20] 感谢大家的观看
[00:09:20 - 00:09:21] 我们下期视频再见
