BV号：BV1GhAxebEGE
标题：BV1GhAxebEGE
链接：https://www.bilibili.com/video/BV1GhAxebEGE
识别语言：zh
语言置信度：1
分段数：297
生成时间：2026-08-30 12:54:47

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 2月18号的中午
[00:05:09 - 00:05:11] 不过与去年的考试相比
[00:05:11 - 00:05:13] 较小的模型反而表现得更好
[00:05:13 - 00:05:16] 因为它更加有效地学习了之前的考试内容
[00:05:16 - 00:05:18] 这次GorokSan吸引了很多关注的另一个原因
[00:05:18 - 00:05:22] 是大家对于Skinning loss当前真实效果的重视
[00:05:22 - 00:05:25] 现在有越来越多的Skinning loss已经终结的声音
[00:05:25 - 00:05:27] 认为大模型不再具有规模效用
[00:05:27 - 00:05:29] 单纯的增加参数数量
[00:05:29 - 00:05:31] 算力 训练 预料等等资源
[00:05:31 - 00:05:33] 或许已经无法继续增强模型的性能效果了
[00:05:34 - 00:05:35] 在这次发布会上
[00:05:35 - 00:05:36] XAI团队透露
[00:05:36 - 00:05:40] Glossan背后有20万张英伟达GPU的超强算力支持
[00:05:40 - 00:05:43] 由Colossus超级计算集群训练完成
[00:05:43 - 00:05:45] 最初XAI用了122天
[00:05:45 - 00:05:48] 让首批10万个H100集群投入使用
[00:05:48 - 00:05:50] 后续又花费了92天
[00:05:50 - 00:05:51] 拓展到了20万卡机群
[00:05:51 - 00:05:53] 总计2亿GPU小时
[00:05:53 - 00:05:56] 比前代模型GROCK 2多了10倍
[00:05:56 - 00:05:58] 而根据公开的资料显示
[00:05:58 - 00:06:01] OPI训练GPT4大约用了25000块100GPU
[00:06:01 - 00:06:04] 大概相当于用了15625块H100
[00:06:04 - 00:06:07] 在对比近期大伙的DeepSync
[00:06:07 - 00:06:08] 根据公开的论文介绍
[00:06:08 - 00:06:13] DeepSync V3的总训练成本为278.8万个H800GPU小时
[00:06:13 - 00:06:16] 更是远不及GROCK 3的训练算力
[00:06:16 - 00:06:18] 因此 许多网友都将这次发布
[00:06:18 - 00:06:21] 当作是Skineloss技术路线的又一次验证
[00:06:21 - 00:06:25] 并且马斯克在2024年中启动Grog3训练的时候
[00:06:25 - 00:06:26] 也称对标的是GPT5
[00:06:26 - 00:06:29] 那么Grog3的使用体验究竟如何呢
[00:06:29 - 00:06:31] 安德烈卡巴西因为提早获得了
[00:06:31 - 00:06:33] Grog3的早期访问权限
[00:06:33 - 00:06:35] 因此也成为了首批体验
[00:06:35 - 00:06:36] Grog3功能的人之一
[00:06:36 - 00:06:38] 卡巴西表示Grog3好的点
[00:06:38 - 00:06:40] 是解决了卡坛岛任务
[00:06:40 - 00:06:43] 而很少有模型能够可靠的准确完成这个任务
[00:06:43 - 00:06:45] 不过呢 卡巴西指出Grog3也有弱点
[00:06:45 - 00:06:48] 那就是他没有解决表情符号谜题的问题
[00:06:48 - 00:06:49] 在这个问题中
[00:06:49 - 00:06:52] 卡帕西给出了一个带有隐藏在UniCode的
[00:06:52 - 00:06:53] 遍体选择器中的笑脸
[00:06:53 - 00:06:55] 即使他以Rust的代码的形式
[00:06:55 - 00:06:57] 给出了如何解码的强烈提示
[00:06:57 - 00:06:59] 但是Grogg3依然没有解出
[00:06:59 - 00:07:00] 在这个任务上
[00:07:00 - 00:07:03] 他见过的最大的进展来自于DeepSig R1
[00:07:03 - 00:07:05] 他曾经部分解码出了消息
[00:07:05 - 00:07:06] 最后呢
[00:07:06 - 00:07:07] 卡帕西给出的评价是
[00:07:07 - 00:07:09] Grogg3加Sinking的表现
[00:07:09 - 00:07:12] 似乎达到了与O1PRO相当的水平
[00:07:12 - 00:07:14] 并且略犹于DeepSig R1
[00:07:14 - 00:07:16] 和Gemini 2.0 Flash Sinking
[00:07:16 - 00:07:17] 更是強調
[00:07:17 - 00:07:20] 大約一年以前XAI團隊還是從零開始的
[00:07:20 - 00:07:23] 在這麼短時間內就達到了頂尖的水平
[00:07:23 - 00:07:25] 這是前所未有的驚人成就
[00:07:25 - 00:07:27] 另外從具體的訓練技術來看
[00:07:27 - 00:07:29] Grogg3這次訓練有幾個特點
[00:07:29 - 00:07:33] 首先是以人工生成的合成數據級為重點
[00:07:33 - 00:07:35] 而非從真實世界收集的數據
[00:07:35 - 00:07:37] 其次是使用了人類反饋循環
[00:07:37 - 00:07:40] 由人工審核並且提供反饋
[00:07:40 - 00:07:43] 幫助AI持續優化回答的準確性和相關性
[00:07:43 - 00:07:45] 第三是自我揪错的机制
[00:07:45 - 00:07:48] 这种机制让模型能够识别并且纠正自身的错误
[00:07:48 - 00:07:50] 通过评估模型的输出结果
[00:07:50 - 00:07:52] 并且与已知的正确答案进行比较
[00:07:52 - 00:07:54] 模型可以不断的优化自身的回答
[00:07:54 - 00:07:57] 减少错误 提高结果的准确性
[00:07:57 - 00:07:59] 虽然从今天的发布会来看
[00:07:59 - 00:08:01] 马斯克对于Grogg3充满了信心
[00:08:01 - 00:08:03] 认为他未来能够击败一众的前沿模型
[00:08:03 - 00:08:05] 登顶最强模型的宝座
[00:08:05 - 00:08:07] 但是目前Grogg在人工智能领域
[00:08:07 - 00:08:09] 仍然是一个比较小的角色
[00:08:09 - 00:08:10] 他的受欢迎程度远不及
[00:08:10 - 00:08:12] ChadGbt等经中对手
[00:08:12 - 00:08:14] 截至到2024年11月
[00:08:14 - 00:08:16] ChadGbt占据了人工智能工具市场
[00:08:16 - 00:08:18] 份额的62.5%
[00:08:18 - 00:08:18] 应该说
[00:08:18 - 00:08:20] Glock最大的优势是能够原生
[00:08:20 - 00:08:22] 提升到社交媒体X平台
[00:08:22 - 00:08:24] 这使得他能够访问X平台上的
[00:08:24 - 00:08:25] 实实信息
[00:08:25 - 00:08:27] 而且独特的编程方式
[00:08:27 - 00:08:29] 让模型能够以叛逆和俏皮的语气
[00:08:29 - 00:08:31] 回答挑衅性的提示
[00:08:31 - 00:08:32] 由于这些独特的卖点
[00:08:32 - 00:08:34] 马斯克的AI聊天机器人
[00:08:34 - 00:08:36] 在X用户中还是很受欢迎的
[00:08:36 - 00:08:37] 不过相比起来
[00:08:37 - 00:08:40] 目前ChadGBT和JimmyNight等竞争对手的响应
[00:08:40 - 00:08:42] 通常会更加的准确
[00:08:42 - 00:08:43] 基于以上种种原因
[00:08:43 - 00:08:45] 有外界的声音认为
[00:08:45 - 00:08:47] 即使堆砌了如此多的算力
[00:08:47 - 00:08:48] 以及使用了合成训练数据
[00:08:49 - 00:08:51] Grogg3也不太可能与现有市场上
[00:08:51 - 00:08:52] 头部的竞争对手相提并论
[00:08:53 - 00:08:54] 回顾Grogg系列模型
[00:08:54 - 00:08:57] Grogg1于2024年年初发布
[00:08:57 - 00:09:00] 是XAI推出的首款人工智能聊天机器人
[00:09:00 - 00:09:01] 作为初代的模型
[00:09:01 - 00:09:02] Grogg1的主要目标
[00:09:02 - 00:09:05] 是验证合成数据训练方法的可行性
[00:09:05 - 00:09:07] 与当时主流的chatGbt等等模型不同
[00:09:07 - 00:09:11] Gorg1并没有完全依赖于真实世界数据进行训练
[00:09:11 - 00:09:14] 而是采用了大量通过算法生成的模拟合成数据
[00:09:14 - 00:09:17] Gorg1的推出在当时就引起了广泛的关注
[00:09:17 - 00:09:19] 它能够处理复杂的逻辑问题
[00:09:19 - 00:09:23] 并且在某些特定问题上超越了当时的chatGbt3.5
[00:09:23 - 00:09:26] 不过呢Gorg1也存在了一些明显的局限性
[00:09:26 - 00:09:28] 与方说由于合成数据的局限性
[00:09:28 - 00:09:32] 它在处理真实世界中的细微差别和复杂性的时候表现不佳
[00:09:32 - 00:09:34] 此外呢Gorg1的训练成本极高
[00:09:34 - 00:09:36] 而且模型的规模較小
[00:09:36 - 00:09:38] 限制了在實際應用中的推廣
[00:09:38 - 00:09:39] 2024年年中
[00:09:39 - 00:09:41] 在Glock 1的記錄上
[00:09:41 - 00:09:43] XAI推出了Glock 2
[00:09:43 - 00:09:44] 這代模型在多個方面
[00:09:44 - 00:09:45] 進行了重大的改進
[00:09:45 - 00:09:48] 依然採用了更大規模的合成數據級
[00:09:48 - 00:09:50] 同時結合了少量高質量的真實世界數據
[00:09:50 - 00:09:52] 從而彌補了初代模型
[00:09:52 - 00:09:54] 在處理真實場景中的不足
[00:09:54 - 00:09:54] Glock 2呢
[00:09:54 - 00:09:56] 還引入了更為先進的訓練算法
[00:09:56 - 00:09:58] 尤其是在數學推理
[00:09:58 - 00:10:00] 代碼生成和複雜問題解決方面
[00:10:00 - 00:10:02] 超越了當時的ChetGPT4
[00:10:02 - 00:10:04] 它還首次嘗試了多摩泰的能力
[00:10:04 - 00:10:07] 能够处理文本图像和简单的视频数据
[00:10:07 - 00:10:09] 不过在众多优秀大模型
[00:10:09 - 00:10:11] 层出不穷的2024年
[00:10:11 - 00:10:13] Glark2的问世也并没有掀起太大的水花
[00:10:13 - 00:10:15] 尤其是它的使用权限
[00:10:15 - 00:10:17] 仅限于X平台的高级用户
[00:10:17 - 00:10:19] 普通用户无法直接体验
[00:10:19 - 00:10:21] 这个限制导致Glark2的市场覆盖率较低
[00:10:22 - 00:10:24] 没有能够对Chart GPT等竞争对手
[00:10:24 - 00:10:25] 形成实质性的威胁
[00:10:25 - 00:10:27] 如今Glark3来了
[00:10:27 - 00:10:28] 情况是否会发生变化
[00:10:28 - 00:10:31] 以及OpenI是否会更快的应对
[00:10:31 - 00:10:32] 提前放出GPT4.5
[00:10:32 - 00:10:33] 我们将拭目以待
[00:10:33 - 00:10:36] 好了 感謝大家觀看本期視頻 我們下期再見
