BV号：BV1a2Tc6LEzS
标题：BV1a2Tc6LEzS
链接：https://www.bilibili.com/video/BV1a2Tc6LEzS
识别语言：zh
语言置信度：1
分段数：315
生成时间：2026-08-29 10:16:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你以为脑气接口只能像
[00:01:28 - 00:01:29] 就在前几天
[00:01:29 - 00:01:32] Meta和Basco任之脑语言中心BCBL
[00:01:32 - 00:01:34] 发布了BrainR Credit VR
[00:01:34 - 00:01:35] 简单来说
[00:01:35 - 00:01:38] 这就是一个非亲入市的脑机接口系统
[00:01:38 - 00:01:42] 志愿者做进一个大型的MEG脑磁涂扫描仪
[00:01:42 - 00:01:45] 这是一个306通道的MajorMEG系统
[00:01:45 - 00:01:47] 不是你想象中的倾巧头盔
[00:01:47 - 00:01:49] 在键盘上打字时
[00:01:49 - 00:01:50] 系统会记录下
[00:01:50 - 00:01:52] 他们打字时的脑部磁场变化
[00:01:52 - 00:01:55] 然后AI模型直接把这些脑磁信号
[00:01:55 - 00:01:57] 翻译成完整的句子
[00:01:57 - 00:01:59] 去年他们发布V1版本的时候
[00:01:59 - 00:02:02] 相关研究也在神经科学领域引起了关注
[00:02:02 - 00:02:04] V1版本有个致命的弱点
[00:02:04 - 00:02:06] 它不能真正实施工作
[00:02:06 - 00:02:09] 它必须知道你每次按下键盘的精确时间点
[00:02:09 - 00:02:11] 然后去猜你按了哪个键
[00:02:11 - 00:02:12] 这就像是开卷考试
[00:02:12 - 00:02:14] 还得老实在旁边划重点
[00:02:14 - 00:02:17] 但这次的V2版本关键突破了这个限制
[00:02:17 - 00:02:20] 它摆脱了必须知道每次按键时间点的束缚
[00:02:20 - 00:02:24] 可以从连续的脑词信号中进行句子级别的结码
[00:02:24 - 00:02:26] 而且准确率直接飙升
[00:02:26 - 00:02:28] 平均词准确率达到61%
[00:02:28 - 00:02:31] 最佳参与者达到78%
[00:02:31 - 00:02:32] 超过一半的句子
[00:02:32 - 00:02:34] 结码出来最多只有一个单词的错误
[00:02:34 - 00:02:37] 相比其他非侵入式方法的8%
[00:02:37 - 00:02:39] 到现在的平均61%
[00:02:39 - 00:02:41] 这中间到底发生了什么
[00:02:41 - 00:02:43] 作为工程师我们最关心的就是
[00:02:43 - 00:02:45] 它是怎么做到的
[00:02:45 - 00:02:46] 为了搞清楚这个问题
[00:02:46 - 00:02:48] 我翻变了他们的论文博客
[00:02:48 - 00:02:50] 甚至去github上扒了他们的原码
[00:02:50 - 00:02:52] 我发现BrainR Quartivier
[00:02:52 - 00:02:54] 之所以能取得这么大的突破
[00:02:54 - 00:02:58] 核心在于他们做了三次非常工程化的降维打击
[00:02:58 - 00:02:59] 第一层拆解
[00:02:59 - 00:03:02] 端道端深度学习干掉特征工程
[00:03:02 - 00:03:06] 首先他们干掉了一直以来神经科学界的祖传手艺
[00:03:06 - 00:03:08] 手工特征提取
[00:03:08 - 00:03:10] 在过去处理脑资信号
[00:03:10 - 00:03:13] 科学家们要写一堆复杂的流水线
[00:03:13 - 00:03:15] 先滤波 再降噪
[00:03:15 - 00:03:17] 然后提取各种频段的特征
[00:03:17 - 00:03:18] 最后再送给分类器
[00:03:18 - 00:03:21] 这套流程就像是我们早期做计算机视觉的时候
[00:03:21 - 00:03:24] 手动设计各种边缘检测算子一样
[00:03:24 - 00:03:25] 废时废利
[00:03:25 - 00:03:27] 而且很容易丢失关键信息
[00:03:27 - 00:03:28] Metal的工程师说
[00:03:28 - 00:03:30] 别搞这些花里胡哨的了
[00:03:30 - 00:03:33] 他们直接上了端道端的深度学习模型
[00:03:33 - 00:03:35] 把原始的Meg脑子信号
[00:03:35 - 00:03:37] 直接喂给一个卷机编码器
[00:03:37 - 00:03:39] 让神经网络自己去学
[00:03:39 - 00:03:41] 到底哪些信号是有用的
[00:03:41 - 00:03:42] 哪些是噪音
[00:03:42 - 00:03:44] 这种简单粗暴的工程思维
[00:03:44 - 00:03:45] 直接绕过了人类对脑信号
[00:03:45 - 00:03:47] 认知不足的限制
[00:03:47 - 00:03:49] 你不需要知道大脑是怎么编码字母的
[00:03:49 - 00:03:51] 你只需要给模型足够的数据
[00:03:51 - 00:03:53] 让T度下降自己去寻找最优解
[00:03:53 - 00:03:55] 这就像是我们写代码以前
[00:03:55 - 00:03:57] 要自己管理内存
[00:03:57 - 00:03:59] 现在直接上垃圾汇收
[00:03:59 - 00:04:00] 虽然是个黑盒
[00:04:00 - 00:04:02] 但效率高的可怕
[00:04:02 - 00:04:03] 第二层拆解
[00:04:03 - 00:04:06] 分层架构与LLM的协同作用
[00:04:06 - 00:04:07] 但光有端
[00:04:07 - 00:04:08] 道端还不够
[00:04:08 - 00:04:10] 脑词信号实在太操杂了
[00:04:10 - 00:04:12] 就算你识别出了几个字母
[00:04:12 - 00:04:13] 拼在一起可能也是一堆乱
[00:04:13 - 00:04:16] 比如把The Girl识别成了The Fall
[00:04:16 - 00:04:17] 这时候
[00:04:17 - 00:04:18] 大语言模型
[00:04:18 - 00:04:21] 语言模型 LLM 就该出场了
[00:04:21 - 00:04:25] Bringer Quilibriar 设计了一个非常精妙的三层架构
[00:04:25 - 00:04:27] 最底层是字母级别的结码
[00:04:27 - 00:04:30] 中间层是单词级别的整合
[00:04:30 - 00:04:32] 最高层是句子级别的语意理解
[00:04:32 - 00:04:35] 他们把预讯练好的大语言模型
[00:04:35 - 00:04:37] 直接微调到了这个神经数据上
[00:04:37 - 00:04:40] 这意味着系统不仅在听脑词信号
[00:04:40 - 00:04:41] 还在利用语言上下文
[00:04:41 - 00:04:45] 关键是 LLM 不仅接收来自 CTC 文本输出的信息
[00:04:45 - 00:04:49] 还同时读取由MEG编码出的神经token
[00:04:49 - 00:04:51] 这不只是通用的拼写救错器
[00:04:51 - 00:04:55] 当底层模型输出一个模糊的F-I-R-L时
[00:04:55 - 00:04:58] 顶层的语言模型一看上下文和神经token
[00:04:58 - 00:04:59] 立刻就能判断出来
[00:04:59 - 00:05:01] 这不符合英语法
[00:05:01 - 00:05:03] 而且神经token也提供了额外线索
[00:05:03 - 00:05:05] 它想打的肯定是girl
[00:05:05 - 00:05:07] 这其实就是利用了语言的荣誉性
[00:05:07 - 00:05:10] 加上对脑部运动皮层活动的直接理解
[00:05:10 - 00:05:12] 我们人类交流的时候
[00:05:12 - 00:05:13] 哪怕听不清几个字
[00:05:13 - 00:05:16] 也能根据上下文猜出完整的意思
[00:05:16 - 00:05:19] 现在 AI 把这种能力赋予了脑积接口
[00:05:19 - 00:05:21] 它用强大的鲜艳余意之势
[00:05:21 - 00:05:24] 同时融合神经信号的物理特征
[00:05:24 - 00:05:27] 强行把曹杂的信号拉回了连贯的逻辑空间
[00:05:27 - 00:05:30] 这是典型的用软件算法去弥补
[00:05:30 - 00:05:32] 硬件传感器不足的工程实践
[00:05:32 - 00:05:33] 第三层拆解
[00:05:33 - 00:05:36] Scaling Law 在脑积接口的附线
[00:05:36 - 00:05:38] 如果你是一个经常关注 AI 的开发者
[00:05:38 - 00:05:40] 看到这里你肯定会问一个问题
[00:05:40 - 00:05:42] 这套系统吃数据吗
[00:05:42 - 00:05:44] 答案是极其吃数据
[00:05:44 - 00:05:46] 而且它显示出了scaling law
[00:05:46 - 00:05:48] 缩放定律的特征
[00:05:48 - 00:05:49] 在微一版本里
[00:05:49 - 00:05:52] 他们只用了大约2200个句子的数据
[00:05:52 - 00:05:53] 准确率只有40%
[00:05:53 - 00:05:54] 到了v2版本
[00:05:54 - 00:05:56] 他们让9个志愿者
[00:05:56 - 00:05:57] 每个人在meg扫描艺里
[00:05:57 - 00:05:59] 做了10个小时疯狂打字
[00:05:59 - 00:06:01] 数据量暴增了10倍
[00:06:01 - 00:06:03] 达到了22000个句子
[00:06:03 - 00:06:04] 结果呢
[00:06:04 - 00:06:07] 平均词准确率达到61%
[00:06:07 - 00:06:09] 最好的人达到78%
[00:06:09 - 00:06:11] 论文里有一张图非常震撼
[00:06:11 - 00:06:15] 他们发现结码准确率和训练数据量之间
[00:06:15 - 00:06:17] 呈现出对数线性关系
[00:06:17 - 00:06:20] 这套系统目前还没有遇到明显的性能瓶颈
[00:06:20 - 00:06:23] 继续为数据 准确率很可能还能继续涨
[00:06:23 - 00:06:24] 但我们也要保持理性
[00:06:24 - 00:06:27] 侵入式脑积接口的性能依然显著领先
[00:06:27 - 00:06:29] 能不能仅仅通过增加数据量
[00:06:29 - 00:06:33] 就完全抹平非侵入式和开炉手术之间的差距
[00:06:33 - 00:06:34] 还需要未来的验证
[00:06:34 - 00:06:37] 这种思路其实就是GPT发展史的翻版
[00:06:37 - 00:06:39] 以前我们以为自然语言
[00:06:39 - 00:06:41] 处理需要各种复杂的与法术
[00:06:41 - 00:06:43] 后来发现只要数据够大
[00:06:43 - 00:06:44] 模型够大
[00:06:44 - 00:06:45] 大力出奇迹
[00:06:45 - 00:06:46] 现在这个定律
[00:06:46 - 00:06:49] 在脑机接口领域也开始显现了
[00:06:49 - 00:06:49] 看到这里
[00:06:49 - 00:06:51] 很多人可能会觉得
[00:06:51 - 00:06:52] 哇 这技术太牛了
[00:06:52 - 00:06:53] 马上就能商业化了
[00:06:53 - 00:06:55] 以后我们是不是都不用键盘了
[00:06:55 - 00:06:57] 直接戴个头盔就能写代码了
[00:06:57 - 00:06:58] 作为工程师
[00:06:58 - 00:06:59] 我们不能只看demo
[00:06:59 - 00:07:00] 我们要看落地
[00:07:00 - 00:07:02] 当我深入研究了
[00:07:02 - 00:07:03] 他们的实验设备后
[00:07:03 - 00:07:05] 我发现了一个非常离谱的地方
[00:07:05 - 00:07:07] 他们用的这个MEG脑磁图设备
[00:07:07 - 00:07:10] 根本不是你想象中的那种轻巧的投环
[00:07:10 - 00:07:13] 它是一个306通道的大型MGEM依据系统
[00:07:13 - 00:07:17] 这种传统的SquidMag设备需要夜还冷却
[00:07:17 - 00:07:18] 需要专门的磁瓶臂式
[00:07:18 - 00:07:20] 你总不能为了发个微信
[00:07:20 - 00:07:23] 在家里装一台价格高昂占地一个房间
[00:07:23 - 00:07:25] 需要专业环境的设备吧
[00:07:25 - 00:07:28] 而且哪怕是78%的准确率
[00:07:28 - 00:07:29] 对于日常打字来说
[00:07:29 - 00:07:31] 也还是太低了
[00:07:31 - 00:07:32] 你想象一下你写一行代码
[00:07:32 - 00:07:35] 平均每5个单词就错一个
[00:07:35 - 00:07:36] 这代码还能跑吗
[00:07:36 - 00:07:39] 你修bug的时间比打字的时间还要长
[00:07:39 - 00:07:42] 更重要的是这套系统目前还不是低延迟实施打字
[00:07:42 - 00:07:46] 虽然VR摆脱了必须知道每次按键时间的限制
[00:07:46 - 00:07:49] 但当前的架构需要整具输入才能进行结码
[00:07:49 - 00:07:52] 所以主流的认知其实是有误区的
[00:07:52 - 00:07:54] 非侵入式脑机接口
[00:07:54 - 00:07:58] 目前在硬件形态绝对精度以及实施性上
[00:07:58 - 00:08:01] 依然离真正的大规模商用有很长的路要走
[00:08:01 - 00:08:03] 既然这样Meta搞这个项目
[00:08:03 - 00:08:06] 还把代码开源出来到底图什么呢?
[00:08:06 - 00:08:09] 这就引出了今天视频最核心的动差
[00:08:09 - 00:08:12] 其实Brain2QWERTY的真正价值
[00:08:12 - 00:08:14] 根本不在于它现在能不能替代键盘
[00:08:14 - 00:08:18] 而在于它为整个神经科学和脑机接口领域
[00:08:18 - 00:08:21] 提供了一个全新的开源工程范氏
[00:08:21 - 00:08:24] 以前搞脑机接口都是各个实验室闭门造车
[00:08:24 - 00:08:27] 你搞你的算法我搞我的硬件数据互相不通气
[00:08:27 - 00:08:29] 但Meta这次是怎么干的
[00:08:29 - 00:08:32] 它们不仅开源了V1和V2的完整训练代码
[00:08:32 - 00:08:35] 还把V1的数据级放到了Huggingface上
[00:08:35 - 00:08:38] VR的数据级目前还在bargo期间
[00:08:38 - 00:08:40] 但这也说明他们有计划在论文发表后公开
[00:08:40 - 00:08:43] 他们甚至还搞了一个叫Digital Brain Project
[00:08:43 - 00:08:45] 数字大脑计划的东西
[00:08:45 - 00:08:49] 砸了500万美元专门用来资助开放数据级
[00:08:49 - 00:08:52] 这是一种极其典型的互联网开源思维
[00:08:52 - 00:08:54] Meta很清楚光靠自己一家公司
[00:08:54 - 00:08:56] 是不可能解决所有问题的
[00:08:56 - 00:08:57] 硬件太笨重
[00:08:57 - 00:09:00] 没关系 现在已经有实验室在研发
[00:09:00 - 00:09:02] 可穿戴的MEG传感器了
[00:09:02 - 00:09:04] OP-MMEG
[00:09:04 - 00:09:05] 数据不够多
[00:09:05 - 00:09:06] 没关系
[00:09:06 - 00:09:08] 把代码和平台开源出去
[00:09:08 - 00:09:11] 让全世界的实验室一起帮你收集数据
[00:09:11 - 00:09:14] 这就像是当年的Linux或者现在的Pytorch
[00:09:14 - 00:09:17] Meta实际上是在打造一个脑机接口的基础设施
[00:09:17 - 00:09:21] 他们提供了处理脑数据的底层工具Neurosat
[00:09:21 - 00:09:23] 提供了系统评估模型的Gigant Neural Bench
[00:09:23 - 00:09:27] 甚至还发布了脑杆直边码的基础模型Tribev2
[00:09:27 - 00:09:29] 他们不仅是在做一个产品
[00:09:29 - 00:09:31] 他们是在定义一套标准
[00:09:31 - 00:09:33] 当全世界的神经科学家
[00:09:33 - 00:09:35] 都开始用Meta的代码去跑数据
[00:09:35 - 00:09:37] 都开始用Meta的模型去微调的时候
[00:09:37 - 00:09:41] 脑机接口的爆发就不再是一个科学问题
[00:09:41 - 00:09:43] 而变成了一个纯粹的工程问题
[00:09:43 - 00:09:45] 那么顺着这个逻辑推演下去
[00:09:45 - 00:09:47] 未来会发生什么
[00:09:47 - 00:09:50] 第一 非侵入市脑机接口的迭代速度会明显加快
[00:09:50 - 00:09:53] 以前科学家们要花大把时间写底层代码
[00:09:53 - 00:09:55] 现在直接拉个Gatehub仓库
[00:09:55 - 00:09:57] 调个API就能跑实验
[00:09:57 - 00:09:59] 这会极大释放研究生产力
[00:09:59 - 00:10:02] 第二多摩泰数据的融合会成为常态
[00:10:02 - 00:10:05] 现在的Brain Air Quarty还只是处理脑自图信号
[00:10:05 - 00:10:09] 未来如果能把脑电图,EG,进鸿外光谱
[00:10:09 - 00:10:13] EFINIRS等各种非侵入式信号融合在一起
[00:10:13 - 00:10:16] 用类似多摩泰大模型的方式去处理
[00:10:16 - 00:10:19] 准确率很可能会迎来下一次制的飞跃
[00:10:19 - 00:10:19] 第三
[00:10:19 - 00:10:21] 对于我们这些普通开发者来说
[00:10:21 - 00:10:23] 门槛正在消失
[00:10:23 - 00:10:25] 以前你觉得搞脑积接口
[00:10:25 - 00:10:27] 必须要懂神经科学 懂医学
[00:10:27 - 00:10:30] 但现在只要你懂深度学习 懂Transformer
[00:10:30 - 00:10:32] 懂怎么微调语言模型
[00:10:32 - 00:10:34] 你就能在这个领域里大展身手
[00:10:34 - 00:10:37] 脑积接口正在从一个神秘的医学领域
[00:10:37 - 00:10:39] 变成一个标准的数据工程领域
[00:10:39 - 00:10:41] 最后我们来总结一下
[00:10:41 - 00:10:43] Brain2 CreditVR
[00:10:43 - 00:10:46] 用端道端的深度学习和LLM微调
[00:10:46 - 00:10:49] 证明了非情入世脑积接口同样
[00:10:49 - 00:10:51] 可以实现相当精度的句子解码
[00:10:51 - 00:10:53] 它虽然在硬件形态实实性
[00:10:53 - 00:10:55] 和绝对精度上还有局限
[00:10:55 - 00:10:58] 但它用开源的工程思维为整个行业
[00:10:58 - 00:11:01] 指明了一条靠数据加算力大力出奇迹的名路
[00:11:01 - 00:11:03] 这不仅仅是一次技术的胜利
[00:11:03 - 00:11:05] 更是一次开源精神的胜利
[00:11:05 - 00:11:07] 就像那句老话说的
[00:11:07 - 00:11:08] 不要去预测未来
[00:11:08 - 00:11:09] 去创造未来
[00:11:09 - 00:11:11] 当AI的算力预赏开源的生态
[00:11:11 - 00:11:12] 再难的科学壁垒
[00:11:12 - 00:11:15] 也中将被工程师的代码一行行拆解
[00:11:15 - 00:11:16] 那么问题来了
[00:11:16 - 00:11:19] 如果未来真的出现了一款像帽子一样轻便
[00:11:19 - 00:11:21] 准确率达到99%
[00:11:21 - 00:11:22] 真正低延迟
[00:11:22 - 00:11:25] 实时的非侵入式脑积接口设备
[00:11:25 - 00:11:27] 你愿意带着它写代码吗?
[00:11:27 - 00:11:28] 把你的想法打在评论区
[00:11:28 - 00:11:29] 我们一起讨论
[00:11:29 - 00:11:32] 如果你觉得这期视频对你有启发
[00:11:32 - 00:11:33] 别忘了点赞投币收藏
[00:11:33 - 00:11:34] 一键三连
[00:11:34 - 00:11:38] 你的支持是我持续硬核拆解的最大动力
[00:11:38 - 00:11:39] 我是为什么叫QQ
[00:11:39 - 00:11:40] 我们下期见
