BV号：BV17XZCYzEHp
标题：BV17XZCYzEHp
链接：https://www.bilibili.com/video/BV17XZCYzEHp
识别语言：zh
语言置信度：1
分段数：336
生成时间：2026-08-30 09:52:37

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 最近 硅谷投资人
[00:00:04 - 00:00:05] Erofine的首席知星官
[00:05:05 - 00:05:07] 对于软件智能爆炸
[00:05:07 - 00:05:09] 它加速发展的可能性大约有50%
[00:05:09 - 00:05:11] 根据Epoch的估计
[00:05:11 - 00:05:13] 在AI多个领域的翻倍投入
[00:05:13 - 00:05:15] 产出能够增加0.8到3.5倍
[00:05:16 - 00:05:18] 在对效率之外的其他发展因素进行调整之后
[00:05:19 - 00:05:20] 汤姆戴维森预测
[00:05:20 - 00:05:22] 每增加一倍的認知投入
[00:05:22 - 00:05:23] 产出能增加1.2倍
[00:05:23 - 00:05:27] 而整個範圍應該調整到0.4到3.6倍之間
[00:05:27 - 00:05:30] 這表明軟件的反饋循環本身就有較大的可能
[00:05:30 - 00:05:32] 可以維持加速的發展
[00:05:32 - 00:05:35] 其次 AI技術智能爆炸加速的可能性也很大
[00:05:35 - 00:05:36] 大約有65%
[00:05:36 - 00:05:38] 從歷史數據來看
[00:05:38 - 00:05:40] 硬件研發的投入翻倍
[00:05:40 - 00:05:43] 每美元能換來的Flops大概可以提升5倍
[00:05:43 - 00:05:45] 雖然在只計算認知投入的時候
[00:05:45 - 00:05:46] 這個數字會降低
[00:05:46 - 00:05:49] 接近物理極限的時候也會降低
[00:05:49 - 00:05:50] 但是总体来说
[00:05:50 - 00:05:51] 投入翻倍
[00:05:51 - 00:05:52] 产出增加一倍以上
[00:05:52 - 00:05:53] 还是有可能的
[00:05:53 - 00:05:55] 所以光芯片技术的反馈循环
[00:05:55 - 00:05:57] 就足以维持一定的加速发展
[00:05:57 - 00:06:00] 要是软件和芯片技术反馈循环一起作用
[00:06:00 - 00:06:02] 推动加速发展的可能性
[00:06:02 - 00:06:03] 大约能够达到75%
[00:06:04 - 00:06:05] 最后作者认为
[00:06:05 - 00:06:07] 全站智能爆炸加速的可能性
[00:06:07 - 00:06:08] 是极高的
[00:06:08 - 00:06:09] 大概有80%
[00:06:09 - 00:06:12] 如果把其他反馈循环也考虑进去
[00:06:12 - 00:06:14] 全站智能爆炸加速的可能性
[00:06:14 - 00:06:15] 甚至能够达到90%
[00:06:16 - 00:06:17] 在理想的情况下
[00:06:17 - 00:06:18] 要是能够造出
[00:06:18 - 00:06:21] 可以建造物理实体使用的机器人和基础设施
[00:06:21 - 00:06:22] 那么投入翻倍
[00:06:22 - 00:06:23] 产出基本上也能够翻倍
[00:06:23 - 00:06:26] 因为在不考虑资源限制的情况下
[00:06:26 - 00:06:27] 机器人数量增加一倍
[00:06:27 - 00:06:29] 造出来的东西也应该能够增加一倍
[00:06:29 - 00:06:31] 要是机器人还能够自我改进
[00:06:31 - 00:06:33] 那么投入翻倍
[00:06:33 - 00:06:34] 产出的增加肯定不止一倍
[00:06:34 - 00:06:35] 当然了
[00:06:35 - 00:06:37] 现实中可能会面临自然资源稀缺
[00:06:37 - 00:06:39] 或者开采越来越困难的问题
[00:06:39 - 00:06:42] 这可能会导致投入翻倍的时候
[00:06:42 - 00:06:43] 产出增加可能不到一倍
[00:06:43 - 00:06:45] 不过从历史经验来看
[00:06:45 - 00:06:47] 当原材料稀缺的时候
[00:06:47 - 00:06:49] 创新往往能夠彌補這個問題
[00:06:49 - 00:06:50] 但是需要注意的是
[00:06:50 - 00:06:53] 如果把監管等人位限制考慮進去
[00:06:53 - 00:06:55] 總體加速發展的可能性會降低一些
[00:06:55 - 00:06:57] 那除了發展速度以外
[00:06:57 - 00:06:59] 另一個問題是在到達物理極限之前
[00:06:59 - 00:07:01] AI能夠發展到什麼樣的程度呢
[00:07:02 - 00:07:02] 作者認為
[00:07:02 - 00:07:05] 這可以從有效計算的角度來衡量
[00:07:05 - 00:07:06] 先看軟件方面
[00:07:06 - 00:07:08] 效率可能提升大概13個數量級
[00:07:08 - 00:07:10] 也就是1萬億倍
[00:07:10 - 00:07:12] 但是這個數據的不確定性很大
[00:07:12 - 00:07:15] 如果頂級AI一開始用10的29次方
[00:07:15 - 00:07:16] Flops來訓練
[00:07:16 - 00:07:18] 那么它相比人类学习的概率
[00:07:18 - 00:07:20] 也就是10的24方FLOPs
[00:07:20 - 00:07:22] 效率要低5个数量级左右
[00:07:22 - 00:07:24] 和声道相比
[00:07:24 - 00:07:25] 软件在训练效率上
[00:07:25 - 00:07:27] 估计还有大概8个数量级的提升空间
[00:07:27 - 00:07:30] 不过这只是单纯计算了训练的效率
[00:07:30 - 00:07:32] 还没有算软件其他方面的发展
[00:07:32 - 00:07:34] 新面技术在现在的技术模式下
[00:07:34 - 00:07:37] 可能会提升2个数量级左右
[00:07:37 - 00:07:39] 要是技术接近于蓝道尔吉线
[00:07:39 - 00:07:40] 也就是不可逆计算
[00:07:40 - 00:07:42] 在能量效率上的物理限制
[00:07:42 - 00:07:44] 那么总共可能提升6个数量级左右
[00:07:44 - 00:07:46] 如果采用可逆计算
[00:07:46 - 00:07:48] 提升空间或许会更大
[00:07:48 - 00:07:49] 在芯片制造方面
[00:07:49 - 00:07:51] 如果利用好地球上的能量
[00:07:51 - 00:07:53] 规模可能能够扩大5个数量级左右
[00:07:53 - 00:07:56] 要是再能够利用太空中的太阳能
[00:07:56 - 00:07:58] 把太阳发充的能量都收集起来
[00:07:58 - 00:08:00] 还能够再扩大9个数量级左右
[00:08:00 - 00:08:02] 把这3个反馈循环的极限加起来
[00:08:02 - 00:08:03] 我们就能够知道
[00:08:03 - 00:08:06] 3种智能爆炸在达到物理极限前
[00:08:06 - 00:08:07] 能够发展到什么程度了
[00:08:07 - 00:08:09] 软件智能爆炸的有效算力
[00:08:09 - 00:08:11] 可以提升13个数量级左右
[00:08:11 - 00:08:12] 甚至更多
[00:08:12 - 00:08:14] 而AI技術智能爆炸的有效算力
[00:08:14 - 00:08:16] 可能提升19个数量级以上
[00:08:16 - 00:08:19] 全战智能爆炸利用地球上的能量
[00:08:19 - 00:08:21] 有效算力可能提升24个数量级左右
[00:08:21 - 00:08:23] 要是利用所有的太阳能
[00:08:23 - 00:08:25] 可能提升33个数量级左右
[00:08:25 - 00:08:27] 接下来作者还指出了
[00:08:27 - 00:08:29] 智能爆炸可能出现的三种速度情况
[00:08:29 - 00:08:31] 第一种是见尽式的情况
[00:08:31 - 00:08:32] 在这种情况下
[00:08:32 - 00:08:34] 全战智能爆炸会慢慢的发生
[00:08:34 - 00:08:37] 起初光靠软件和芯片技术的反馈循环
[00:08:37 - 00:08:39] 来推动AI的加速发展
[00:08:39 - 00:08:40] 由于时间延迟
[00:08:40 - 00:08:43] 全站智能爆炸刚开始的时候会发展的比较慢
[00:08:43 - 00:08:46] 和2020到2024年的速度差不多
[00:08:46 - 00:08:47] 但是随着时间的推移
[00:08:47 - 00:08:48] 它会逐渐的加速
[00:08:48 - 00:08:50] 最后变得特别快
[00:08:50 - 00:08:52] 可能几个月的时间内就会翻倍
[00:08:52 - 00:08:52] 甚至更短
[00:08:52 - 00:08:55] 这是因为有效的物理极限很高
[00:08:55 - 00:08:57] 为AI的发展提供了充足的空间
[00:08:57 - 00:08:59] 第二种是波动式的情况
[00:08:59 - 00:09:01] 先是软件智能爆炸出现
[00:09:01 - 00:09:03] 但是当它提升三个数量级左右的时候
[00:09:03 - 00:09:04] 就会慢下来
[00:09:04 - 00:09:07] 之后 AI技术和全站智能爆炸开始启动
[00:09:07 - 00:09:09] 一开始速度可能也会比较慢
[00:09:09 - 00:09:11] 但是最后也会变得特别快
[00:09:11 - 00:09:13] 第三种是快速的情况
[00:09:13 - 00:09:15] 软件智能爆炸规模很大
[00:09:15 - 00:09:18] 能在几个月内就实现6个数量级以上的提升
[00:09:18 - 00:09:20] 而此时的物理极限还很高
[00:09:20 - 00:09:22] 这种快速发展的软件智能爆炸
[00:09:22 - 00:09:24] 会让技术得到极大的改进
[00:09:24 - 00:09:27] 大大缩短芯片技术和芯片制造反馈循环的时间延迟
[00:09:27 - 00:09:30] 所以后续的AI技术和全站智能爆炸
[00:09:30 - 00:09:32] 一开始就会很快
[00:09:32 - 00:09:34] 并且在软件智能爆炸区域平稳之前
[00:09:34 - 00:09:36] 不会明显的减速
[00:09:36 - 00:09:38] 最后文章作者还指出
[00:09:38 - 00:09:40] 对于权力分配有着不同的含义
[00:09:40 - 00:09:43] 包括哪些参与者将拥有AI开发的权力
[00:09:43 - 00:09:45] 以及这种权力的集中程度
[00:09:45 - 00:09:47] 软件爆炸将由现在的AI芯片
[00:09:47 - 00:09:49] 和算法的所有者控制
[00:09:49 - 00:09:51] 谁拥有最多的AI芯片存量
[00:09:51 - 00:09:53] 并且首先拥有最好的AI算法
[00:09:53 - 00:09:55] 就能够更快地进行软件爆炸
[00:09:55 - 00:09:57] 并且首先实现更先进的功能
[00:09:57 - 00:10:00] 显然这个爆炸最有可能在美国出现
[00:10:00 - 00:10:01] 也最有可能集中在一个国家
[00:10:01 - 00:10:02] 甚至一家公司
[00:10:02 - 00:10:05] 而AI技术爆炸将直接受到
[00:10:05 - 00:10:07] AI芯片和算法所有者的控制
[00:10:07 - 00:10:09] 但是半导体供应链的所有者
[00:10:09 - 00:10:11] 也可能会拥有巨大的间接权利
[00:10:11 - 00:10:13] 因为他们控制着芯片技术反馈的
[00:10:13 - 00:10:13] 各个方面
[00:10:13 - 00:10:15] 由于推进AI的发展
[00:10:15 - 00:10:16] 需要依赖于在半导体行业
[00:10:16 - 00:10:18] 发挥重要作用的美国盟友
[00:10:18 - 00:10:19] 比如说台湾
[00:10:19 - 00:10:20] 韩国
[00:10:20 - 00:10:21] 日本和荷兰
[00:10:21 - 00:10:22] 所以AI技术爆炸
[00:10:22 - 00:10:24] 可能会分布在这些国家
[00:10:24 - 00:10:25] 最后
[00:10:25 - 00:10:26] 全站爆炸
[00:10:26 - 00:10:27] 由于涉及到AI芯片和算法
[00:10:27 - 00:10:28] 半导体供应链
[00:10:28 - 00:10:30] 以及工业技术等许多
[00:10:30 - 00:10:31] 其他部分的所有者控制
[00:10:31 - 00:10:33] 需要强大的工业技术
[00:10:33 - 00:10:34] 和宽松的监管环境
[00:10:34 - 00:10:38] 所以更有可能会在中国和沙特阿拉伯等海湾国家发生
[00:10:38 - 00:10:40] 好了 以上就是这篇文章的主要内容了
[00:10:40 - 00:10:42] 按照作者的观点
[00:10:42 - 00:10:44] 我们如今已经处在智能大爆炸的原点了
[00:10:44 - 00:10:47] 即将见证爆炸和加速爆炸的发生
[00:10:47 - 00:10:49] 那大家认为智能的爆炸会到来吗
[00:10:49 - 00:10:52] 又会以何种的形式和速度到来呢
[00:10:52 - 00:10:53] 欢迎在评论区留言
[00:10:53 - 00:10:54] 感谢观看本期视频
[00:10:54 - 00:10:55] 我们下期再见
