BV号：BV1oawAevEqx
标题：BV1oawAevEqx
链接：https://www.bilibili.com/video/BV1oawAevEqx
识别语言：zh
语言置信度：1
分段数：293
生成时间：2026-08-30 19:20:47

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技飞速发展的今天
[00:02:28 - 00:02:30] 人类处理信息的速度
[00:02:30 - 00:02:33] 大致介于每秒5比特到50比特之间
[00:02:33 - 00:02:35] 就拿星际争霸的职业选手来说
[00:02:35 - 00:02:37] 这些选手在比赛最激烈
[00:02:37 - 00:02:38] 节奏最快的时刻
[00:02:38 - 00:02:41] 每分钟能够敲击1000次鼠标案件
[00:02:41 - 00:02:42] 即便如此
[00:02:42 - 00:02:43] 他们的信息处理速率
[00:02:43 - 00:02:46] 也仅仅只有每秒16.7比特
[00:02:46 - 00:02:47] 综合各种情况来看
[00:02:47 - 00:02:48] 人类思考的速度
[00:02:48 - 00:02:50] 总体上还是在每秒10比特
[00:02:50 - 00:02:52] 这个尺度左右
[00:02:52 - 00:02:54] 这个结果似乎于我们大多数人的
[00:02:54 - 00:02:55] 的直覺相倍
[00:02:55 - 00:02:57] 在當今這個信息爆炸的時代
[00:02:57 - 00:02:59] 我們早已經習慣了高速的信息傳輸和
[00:02:59 - 00:03:00] 處理
[00:03:00 - 00:03:01] 當我們看到網盤下載速度
[00:03:01 - 00:03:03] 僅僅停留在每秒幾千比特的時候
[00:03:04 - 00:03:05] 我們就會變得非常不耐煩
[00:03:05 - 00:03:07] 甚至會氣得直度角
[00:03:07 - 00:03:09] 在觀看視頻或者是收聽播客的時候
[00:03:09 - 00:03:11] 我們更是常常選擇二倍速
[00:03:11 - 00:03:12] 三倍速的播放
[00:03:12 - 00:03:14] 彷彿只有這樣才能夠滿足
[00:03:14 - 00:03:16] 我們對於信息獲取的渴望
[00:03:16 - 00:03:19] 然而與我們對於信息速度的高期待相比
[00:03:19 - 00:03:20] 大腦處理信息的能力
[00:03:20 - 00:03:22] 卻顯得格外的緩慢
[00:03:22 - 00:03:23] 其实这里的关键问题
[00:03:23 - 00:03:26] 并不在于我们接收信息的速率有多快
[00:03:26 - 00:03:27] 而是在于我们的大脑
[00:03:27 - 00:03:30] 究竟是如何处理这些海量信息的
[00:03:30 - 00:03:31] 我们的周围神经系统
[00:03:31 - 00:03:33] 在这方面发挥着重要的作用
[00:03:33 - 00:03:36] 它每天从周围环境中获取信息的速率
[00:03:36 - 00:03:39] 能够达到每秒Gbps的惊人水平
[00:03:39 - 00:03:40] 以我们的视觉系统为例
[00:03:40 - 00:03:43] 视觉系统中的单个视追细胞
[00:03:43 - 00:03:46] 就能够以每秒270比特的速度传输信息
[00:03:46 - 00:03:49] 而仅仅一只眼睛就拥有大约600万个视追细胞
[00:03:49 - 00:03:51] 通過簡單的懲罰運算
[00:03:51 - 00:03:52] 我們就能夠明白
[00:03:52 - 00:03:55] 光是雙眼視覺系統接收信息的速度
[00:03:55 - 00:03:57] 就高達每秒3.2GB
[00:03:57 - 00:03:59] 如此巨大的差距不禁令人詐蛇
[00:03:59 - 00:04:01] 那就是我們接收信息的速度
[00:04:01 - 00:04:03] 與處理信息的速度之間的比例
[00:04:03 - 00:04:05] 既然達到了108比1
[00:04:05 - 00:04:08] 按照每秒10比特的速度進行計算
[00:04:08 - 00:04:10] 如果我們每天24小時不艱難的學習
[00:04:10 - 00:04:12] 並且假設我們擁有超強的記憶力
[00:04:12 - 00:04:14] 完全不會遺忘任何記憶
[00:04:14 - 00:04:17] 就這樣一直持續學習到100歲
[00:04:17 - 00:04:19] 那麼最終我們存儲的知識量
[00:04:19 - 00:04:20] 也不到四级笔
[00:04:20 - 00:04:22] 这个结论确实让人难以置信
[00:04:22 - 00:04:23] 我们不急要问
[00:04:23 - 00:04:26] 如果人类处理信息的能力如此的低效
[00:04:26 - 00:04:27] 为什么在漫长的演化过程中
[00:04:27 - 00:04:29] 还能够拖映而出呢
[00:04:29 - 00:04:32] 年轻人员对此也给出了合理的解释
[00:04:32 - 00:04:33] 他们认为这背后的原因
[00:04:33 - 00:04:36] 与病情处理和串形处理的差异密切相关
[00:04:36 - 00:04:37] 所谓病情处理
[00:04:37 - 00:04:40] 简单来说就是多个任务可以同时的进行
[00:04:40 - 00:04:41] 我们的周围神经系统
[00:04:41 - 00:04:44] 就是依靠这种高效的方式来接收信息的
[00:04:44 - 00:04:46] 就像我们的释网膜
[00:04:46 - 00:04:48] 它每天会产生100万个输出信号
[00:04:48 - 00:04:53] 而每一个信号都是视网模神经员对于视觉图像局部进行精确计算的结果
[00:04:53 - 00:04:58] 这些信号随后会被快速传输到初级视觉屁层进行进一步的加工处理
[00:04:58 - 00:05:03] 然而我们的中书神经系统在处理信息的时候采用的却是串形方式
[00:05:03 - 00:05:07] 这意味着什么呢?也就是说中书神经系统必须在完成一个任务之后
[00:05:07 - 00:05:09] 才能够接着进行下一个任务
[00:05:09 - 00:05:11] 当多个任务同时出现的时候
[00:05:11 - 00:05:15] 中书神经系统会进入一种特殊的状态叫做心理不应期
[00:05:15 - 00:05:16] 不应期
[00:05:16 - 00:05:20] 在这个时期中枢神经系统会将注意力集中在其中一个任务上
[00:05:20 - 00:05:22] 而暂时忽略其他的任务
[00:05:22 - 00:05:25] 这种机制其实在我们的日常生活中非常常见
[00:05:25 - 00:05:27] 比如说在操杂的环境中
[00:05:27 - 00:05:29] 我们仍然能够专注于某一个特定的对话
[00:05:29 - 00:05:33] 这就是中枢神经系统串行处理信息的一种体现
[00:05:33 - 00:05:35] 实际上我们的大脑在处理信息的时候
[00:05:35 - 00:05:37] 是非常有选择性的
[00:05:37 - 00:05:39] 它只会从海量的感官体验中
[00:05:39 - 00:05:41] 挑选出一小部分信息进行处理
[00:05:41 - 00:05:44] 只有这些经过精心筛选的信息
[00:05:44 - 00:05:46] 才有可能进入到我们的意识层面
[00:05:46 - 00:05:48] 并且最终转化为我们的记忆
[00:05:48 - 00:05:49] 研究人员进一步的指出
[00:05:49 - 00:05:53] 大脑之所以以如此缓慢的速度来处理数据
[00:05:53 - 00:05:55] 却需要如此庞大的神经元网络
[00:05:55 - 00:05:57] 是因为我们在日常的生活和学习中
[00:05:57 - 00:05:59] 需要频繁的切换任务
[00:05:59 - 00:06:01] 并且要在不同的神经回路之间
[00:06:01 - 00:06:02] 不断的整合信息
[00:06:02 - 00:06:04] 比如说当我们开车的时候
[00:06:04 - 00:06:06] 我们需要在看路 观察一票盘
[00:06:06 - 00:06:07] 查看后视镜
[00:06:07 - 00:06:10] 以及查看导航等多个任务之间快速的切换
[00:06:10 - 00:06:13] 而每个任务所涉及的信息处理模式都是不同的
[00:06:13 - 00:06:18] 那么为什么我们的中枢神经系统会演化出这种串形处理的机制呢?
[00:06:18 - 00:06:21] 这还有追溯到演化过程的早期
[00:06:21 - 00:06:24] 在那个时候最早拥有神经系统的生物
[00:06:24 - 00:06:26] 他们大脑的核心功能其实非常简单
[00:06:26 - 00:06:29] 就是检测周围环境中气味分子的浓度T度
[00:06:29 - 00:06:32] 通过这种方式来判断自己的运动方向
[00:06:32 - 00:06:35] 以便能够靠近食物或者避开危险的补食者
[00:06:35 - 00:06:37] 由于生物在同一个时间只能处于一个位置
[00:06:37 - 00:06:39] 并且只能选择一条路径
[00:06:39 - 00:06:42] 所以这种只解决单一问题的架构
[00:06:42 - 00:06:45] 逐漸演變成了今天中書神經系統的基礎
[00:06:45 - 00:06:48] 如果我們仔細觀察記憶高手在比賽中的記憶秘訣
[00:06:48 - 00:06:50] 就會發現一些類似的機制
[00:06:50 - 00:06:51] 在記憶比賽中
[00:06:51 - 00:06:54] 選手們常常會借助一個自己非常熟悉的場景
[00:06:54 - 00:06:55] 比如說一條街道
[00:06:55 - 00:06:58] 他們會在腦海中將需要記住的項目
[00:06:58 - 00:07:00] 一次放置在這條街道的沿途各處
[00:07:00 - 00:07:02] 而當需要回憶這些項目的時候
[00:07:02 - 00:07:06] 他們就會在腦海中想像自己再次走過這條街道
[00:07:06 - 00:07:08] 按照之前放置項目的順序
[00:07:08 - 00:07:10] 一次看到那些需要記憶的內容
[00:07:10 - 00:07:11] 基于这个机制
[00:07:11 - 00:07:13] 研究人员提出了一个非常有趣的观点
[00:07:13 - 00:07:15] 他们认为人类的思维
[00:07:15 - 00:07:17] 实际上可以被看作是在抽象概念空间中
[00:07:17 - 00:07:19] 进行导航的一种形式
[00:07:19 - 00:07:21] 正是因为我们大脑处理信息的速度
[00:07:21 - 00:07:23] 相较于自然环境的缓慢变化
[00:07:23 - 00:07:25] 还有着大量的荣誉
[00:07:25 - 00:07:26] 所以在现实生活中
[00:07:26 - 00:07:29] 许多人才会在看似难以忍受的慢节奏生活中
[00:07:29 - 00:07:31] 去寻找各种各样的刺激
[00:07:31 - 00:07:33] 比如说像滑雪这样的高速运动
[00:07:33 - 00:07:35] 以及节奏极快的电子游戏
[00:07:35 - 00:07:38] 都能够让我们的大脑逼近处理极限
[00:07:38 - 00:07:41] 而这种挑战往往会给我们带来一种兴奋和满足感
[00:07:41 - 00:07:45] 但是在像星际争霸这样的电子游戏人机对战中
[00:07:45 - 00:07:47] 我们会发现一个残酷的现实
[00:07:47 - 00:07:51] 那就是机器在处理信息方面并没有人类的这种速率限制
[00:07:51 - 00:07:55] 所以如果不是对机器的操作速度进行人为的限制
[00:07:55 - 00:07:58] 人类玩家根本不可能与机器相抗衡
[00:07:58 - 00:08:00] 研究人员还进一步地指出
[00:08:00 - 00:08:03] 随着计算技术的不断进步和计算能力的持续提升
[00:08:03 - 00:08:07] 机器在各类任务中的表现超越人类只是时间问题
[00:08:07 - 00:08:09] 当我们展望未来不难想象
[00:08:09 - 00:08:12] 等到自动驾驶技术全面取代人类司机的那一天
[00:08:12 - 00:08:14] 我们的交通记录设施
[00:08:14 - 00:08:16] 包括道路、桥梁、交叉路口等等
[00:08:16 - 00:08:18] 都可能会迎来一场彻底的变革
[00:08:18 - 00:08:21] 因为这些现有的记录设施在很大重度上
[00:08:21 - 00:08:24] 是为了适应人类相对缓慢的信息处理速度而设计的
[00:08:24 - 00:08:26] 到那个时候
[00:08:26 - 00:08:29] 这些区域甚至有可能会禁止人类步行进入
[00:08:29 - 00:08:30] 原因很简单
[00:08:30 - 00:08:33] 在一个由高速运转的智能机器主导的世界里
[00:08:33 - 00:08:35] 人类的行动速度实在是太慢了
[00:08:35 - 00:08:38] 就好比是一只窩牛試圖橫穿高速公路
[00:08:38 - 00:08:40] 在機器的高速運轉面前
[00:08:40 - 00:08:42] 人類可能還沒有來得及意識到危險
[00:08:42 - 00:08:43] 就已經陷入困境了
[00:08:43 - 00:08:45] 在這篇論中
[00:08:45 - 00:08:48] 作者還對馬斯克的腦肌接口設備進行了一番探討
[00:08:48 - 00:08:50] 並且略帶調侃的表達了自己的觀點
[00:08:50 - 00:08:51] 馬斯克一直認為
[00:08:51 - 00:08:54] 人類在信息處理上所面臨的種種限制
[00:08:54 - 00:08:56] 主要原因在於肉體的貸款不足
[00:08:56 - 00:08:58] 比如說他曾經說過
[00:08:58 - 00:09:00] 我們目前只能通過手指敲擊鍵盤
[00:09:00 - 00:09:03] 這種相對低效的方式來輸入信息
[00:09:03 - 00:09:04] 基於這些觀點
[00:09:04 - 00:09:05] 他提出了一个大胆的设像
[00:09:05 - 00:09:07] 如果能够通过高带宽的接口
[00:09:07 - 00:09:09] 直接将人脑和计算机连接起来
[00:09:09 - 00:09:12] 那么我们就能够以一种无拘无束的速度
[00:09:12 - 00:09:13] 与人工智能进行交流
[00:09:13 - 00:09:16] 甚至实现人类与人工智能的共生
[00:09:16 - 00:09:18] 然而在论文的作者看来
[00:09:18 - 00:09:20] 马斯克的这种想法过于理想化了
[00:09:20 - 00:09:21] 他们通过研究发现
[00:09:21 - 00:09:24] 即使我们真的接入了高带宽设备
[00:09:24 - 00:09:26] 人脑向计算机发出信号的速度
[00:09:26 - 00:09:28] 依然只能维持在每秒10比特左右
[00:09:28 - 00:09:32] 这个限制并非是由外部设备的性能平静所导致的
[00:09:32 - 00:09:35] 而是深深根治於我們大腦的基本架構之中
[00:09:35 - 00:09:37] 所以作者幽默地表示
[00:09:37 - 00:09:39] 馬斯克其實用一部電話就足夠了
[00:09:39 - 00:09:41] 因為電話設計的數據傳輸速率
[00:09:41 - 00:09:44] 與人類的語言表達速度是相匹配的
[00:09:44 - 00:09:45] 而人類的語言表達速度
[00:09:45 - 00:09:48] 又恰好與我們大腦感知和認知的速度相適應
[00:09:48 - 00:09:49] 儘管如此
[00:09:49 - 00:09:52] 作者對腦筋接口領域並沒有完全失去信心
[00:09:52 - 00:09:55] 他們認為這項技術的未來發展方向
[00:09:55 - 00:09:57] 並不在於一味的追求提升信息傳輸速率
[00:09:57 - 00:10:00] 而在於如何更加精準地提供和解碼
[00:10:00 - 00:10:02] 那些對於人類最為重要的信息
[00:10:02 - 00:10:04] 比如說如何利用腦筋接口技術
[00:10:04 - 00:10:06] 幫助盲人感知周圍場景中
[00:10:06 - 00:10:08] 物體和人物的位置和身份
[00:10:08 - 00:10:11] 如何準確的解碼癱瘓患患者的運動意圖
[00:10:11 - 00:10:14] 並將其有效的傳輸給機械外部閣
[00:10:14 - 00:10:16] 以及如何成功的解碼
[00:10:16 - 00:10:18] 建動這患者想要表達的語言信息等等
[00:10:18 - 00:10:20] 這些才是腦筋接口技術
[00:10:20 - 00:10:23] 未來應該重點關注和努力突破的方向
[00:10:23 - 00:10:25] 好了 以上就是這篇論文的主要內容了
[00:10:25 - 00:10:27] 看完論文 我的第一感覺是
[00:10:27 - 00:10:30] 也許我們人類並不需要成為思維速度的冠軍
[00:10:30 - 00:10:32] 才能在地球上生存和创新
[00:10:32 - 00:10:34] 与其盲目的追求速度的極限
[00:10:34 - 00:10:37] 不如更加專注於如何更加高效的理解
[00:10:37 - 00:10:40] 選擇和利用我們所獲取的有限信息
[00:10:40 - 00:10:41] 畢竟我們的大腦
[00:10:41 - 00:10:44] 雖然在信息處理速度上存在著一定的限制
[00:10:44 - 00:10:47] 但是它所擁有的獨特的思維方式和創造力
[00:10:47 - 00:10:48] 依然是我們在這個世界上
[00:10:48 - 00:10:50] 不斷前進和發展的動力源泉
[00:10:50 - 00:10:52] 感謝大家觀看本期視頻
[00:10:52 - 00:10:53] 我們下期再見
