BV号：BV1gbdgYFE2b
标题：BV1gbdgYFE2b
链接：https://www.bilibili.com/video/BV1gbdgYFE2b
识别语言：zh
语言置信度：1
分段数：232
生成时间：2026-08-30 09:20:50

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 不知道大家对于2023年底
[00:03:14 - 00:03:16] 经过进一步的调查后发现
[00:03:16 - 00:03:19] 这只基金实际上是归Altman个人所有的
[00:03:19 - 00:03:21] 一开始Opni的高管对此给出的解释
[00:03:21 - 00:03:23] 是出于税收的考虑
[00:03:23 - 00:03:26] 后来又改口称是为了操作更快
[00:03:26 - 00:03:28] 还强调Altman并没有从中获利
[00:03:28 - 00:03:31] 但是这些解释让董事会成员们难以接受
[00:03:31 - 00:03:33] 他们认为这一系列的故意欺瞒
[00:03:33 - 00:03:35] 都是Altman的有意为之
[00:03:35 - 00:03:37] 甚至就连2022年秋天
[00:03:37 - 00:03:41] Opni发布ChattGBT这种震惊世界的产品时
[00:03:41 - 00:03:43] 董事会竟然也没有提前得到消息
[00:03:43 - 00:03:45] 除了上述这些问题
[00:03:45 - 00:03:48] 奥特曼的管理風格也引發了公司內部的許多佈滿
[00:03:48 - 00:03:52] 伊利亞蘇斯克威爾和MIRROR MARTY都對此深有體會
[00:03:52 - 00:03:55] 其中伊利亞蘇斯克威爾對於奥特曼的佈滿由來已久
[00:03:55 - 00:04:00] 2021年伊利亞啟動了一個團隊推進烏派的下一個研究方向
[00:04:00 - 00:04:04] 幾個月後研究員亞庫布.帕喬茨基也開始著手類似的項目
[00:04:04 - 00:04:06] 兩個團隊最終合併
[00:04:06 - 00:04:10] 在伊利亞轉向AI安全研究之後帕喬茨基接管了團隊
[00:04:10 - 00:04:13] 之後奥特曼將帕喬茨基提拔為研究總監
[00:04:13 - 00:04:15] 还私下里向他承诺
[00:04:15 - 00:04:16] 由他来领导公司的研究方向
[00:04:17 - 00:04:19] 这直接导致了几个月的生产力损失
[00:04:19 - 00:04:20] 伊利亚对此极为不满
[00:04:21 - 00:04:23] 而米娜·莫阿提作为OpenI的首席技术官
[00:04:23 - 00:04:26] 在公司日常运营中也面临着很多的困扰
[00:04:26 - 00:04:29] 保可曼名义上是向他汇报工作
[00:04:29 - 00:04:30] 但是却时常绕过他
[00:04:30 - 00:04:32] 直接找奥特曼告状
[00:04:32 - 00:04:34] 莫阿提曾经向奥特曼抱怨过这些问题
[00:04:34 - 00:04:37] 奥特曼却总是拉着人力资源主管一起谈话
[00:04:37 - 00:04:39] 或悉尼班的处理问题
[00:04:39 - 00:04:41] 这样莫阿提无法正常的开让工作
[00:04:41 - 00:04:42] 2023年9月末
[00:04:42 - 00:04:44] Ilea Susquewell开始了行动
[00:04:44 - 00:04:46] 她给亥伦·Tona发了一封邮件
[00:04:46 - 00:04:48] 暗示她要多和Mirror Marty聊聊
[00:04:48 - 00:04:52] 随后Marty向Tona描述了奥特曼恶劣的管理风格
[00:04:52 - 00:04:54] 以及工作中遇到的种种问题
[00:04:54 - 00:04:56] Tona与Ilea详谈之后
[00:04:56 - 00:04:58] Ilea明确表示无法再信任奥特曼
[00:04:58 - 00:05:01] 此后Ilea和Marty开始秘密的收集证据
[00:05:01 - 00:05:02] 2023年10月份
[00:05:02 - 00:05:05] 董事会成员亥伦·Tona发表了一篇
[00:05:05 - 00:05:07] 批评OpenI安全方法的论文
[00:05:07 - 00:05:08] 奥特曼对此勃然大怒
[00:05:08 - 00:05:09] 并且告诉Ilea
[00:05:09 - 00:05:12] 塔莎麥考利认为Tona应该为此离开董事会
[00:05:12 - 00:05:15] 但是当伊莉亚向麦考利转述这番话的时候
[00:05:15 - 00:05:17] 麦考利感到非常震惊
[00:05:17 - 00:05:19] 因为他自己从来没有说过这样的话
[00:05:19 - 00:05:22] 这就进一步做实了奥特曼的撒谎行为
[00:05:22 - 00:05:23] 2023年11月
[00:05:23 - 00:05:25] 伊莉亚通过James Earl的自动销贿邮件功能
[00:05:25 - 00:05:29] 向亥倫·Tona,塔莎麥考利和亚当·德安截罗
[00:05:29 - 00:05:31] 发送了两份长篇的PDF文件
[00:05:31 - 00:05:33] 一份是关于奥特曼的
[00:05:33 - 00:05:36] 包含了数十个他涉嫌撒谎和其他恶劣行为的证据
[00:05:36 - 00:05:38] 其中不少证据都来自于
[00:05:38 - 00:05:40] 摩尔提提供的SLAG聊天截图
[00:05:40 - 00:05:42] 比如说奥特曼称公司法务部门
[00:05:42 - 00:05:44] 认为GBT-4Toboe发布的时候
[00:05:44 - 00:05:47] 不用经过联合安全委员会的审查
[00:05:47 - 00:05:50] 但是摩尔提向公司首席律师核实之后
[00:05:50 - 00:05:51] 发现并非如此
[00:05:51 - 00:05:53] 另一份是关于Borkman
[00:05:53 - 00:05:55] 集中在他的职场欺压行为上
[00:05:55 - 00:05:56] 同时 伊莱尔警告
[00:05:56 - 00:05:58] 如果要行动就要快
[00:05:58 - 00:06:00] 2023年11月16日
[00:06:00 - 00:06:01] 一个周四的下午
[00:06:01 - 00:06:02] 伊莱尔和三名董事会成员
[00:06:02 - 00:06:04] 开了一个视频会议
[00:06:04 - 00:06:05] 投票决定解估奥特曼
[00:06:05 - 00:06:08] 同时为了让马蹄能够顺利担任临时CEO
[00:06:08 - 00:06:11] 他们将Balkman也从董事会中移除
[00:06:11 - 00:06:13] 董事会成员甚至向伊利亚谈言
[00:06:13 - 00:06:16] 他们一度以为伊利亚是奥特曼派来的间谍
[00:06:16 - 00:06:19] 搞这么一出是为了测试他们的忠诚度
[00:06:19 - 00:06:20] 据变的前夜
[00:06:20 - 00:06:22] 马蹄接到了董事会成员的电话
[00:06:22 - 00:06:24] 得知第二天奥特曼将被解雇
[00:06:24 - 00:06:26] 他被邀请担任临时CEO
[00:06:26 - 00:06:27] 马蹄同意了
[00:06:27 - 00:06:29] 但是他询问是否通知了V-RUNCEO
[00:06:29 - 00:06:30] 薩蒂亚纳德拉
[00:06:30 - 00:06:33] 毕竟V-RUN与OPI的合作至关重要
[00:06:33 - 00:06:35] 董事會成員表示還沒有通知
[00:06:35 - 00:06:38] 最終決定在消息發布的最後一刻
[00:06:38 - 00:06:39] 由Marty來告知微軟
[00:06:39 - 00:06:42] 隨後Altman被解僱的消息震驚了全世界
[00:06:42 - 00:06:46] 但是董事會對員工和公眾沒有給出合理的解釋
[00:06:46 - 00:06:49] 只是籠統地說Altman對董事會不夠坦誠
[00:06:49 - 00:06:50] 消息公布之後
[00:06:50 - 00:06:52] Open Eye的董事會和高管團隊
[00:06:52 - 00:06:53] 進行了一系列的會議
[00:06:53 - 00:06:55] 氣氛越來越緊張
[00:06:55 - 00:06:57] Marty擔心董事會無法控制局面
[00:06:57 - 00:06:59] 這會讓Open Eye陷入危機
[00:06:59 - 00:07:01] 於是關鍵時刻Marty倒割了
[00:07:01 - 00:07:05] 他联合其他的高管向董事會下了最後的通牒
[00:07:05 - 00:07:06] 給董事會30分鐘時間
[00:07:06 - 00:07:08] 要麼解釋解過奧特曼的原因
[00:07:08 - 00:07:10] 要麼全體高管辭職
[00:07:10 - 00:07:13] 如果不同意高管團隊將集體出走
[00:07:13 - 00:07:15] 這時董事會的幾個成員都傻眼了
[00:07:15 - 00:07:18] 畢竟提供奧特曼不當行為關鍵證據的正式摩拉體
[00:07:18 - 00:07:21] 而伊利亞這邊情況一變得非常糟糕
[00:07:21 - 00:07:22] 奧特曼的支持者們認為
[00:07:22 - 00:07:25] 整件事情的罪魁禍首就是伊利亞
[00:07:25 - 00:07:26] 是他策劃了這場政變
[00:07:26 - 00:07:29] 根源就在於他對趴橋刺激晉升的憤怒
[00:07:29 - 00:07:33] 同时Helen Thorne也被认为在其中起到了推波助蓝的作用
[00:07:33 - 00:07:37] 伊利亚原本以为OPEN人工会为他的行动欢呼雀跃
[00:07:37 - 00:07:40] 可是现实却给了他重重一棒 让他目瞪口呆
[00:07:40 - 00:07:41] 到了周一的早上
[00:07:41 - 00:07:44] 几乎全体OPEN员工都签署了联名信
[00:07:44 - 00:07:47] 威胁如果不让奥特曼回归 他们就集体辞职
[00:07:47 - 00:07:51] 令人意外的是 签名者中也包括瓦铁和伊利亚
[00:07:51 - 00:07:54] 在这种情况下 想要阻止公司彻底崩溃
[00:07:54 - 00:07:56] 似乎唯一的办法就是让奥特曼回归了
[00:07:56 - 00:07:58] 最终在各方的压力下
[00:07:58 - 00:08:00] 奥特曼成功的回归OpenI
[00:08:00 - 00:08:01] 但是经过这次事件
[00:08:01 - 00:08:04] OpenI的高层也逐渐的分崩离析
[00:08:04 - 00:08:06] 马蕾和伊利亚带着一大波员工
[00:08:06 - 00:08:06] 四散而去
[00:08:06 - 00:08:07] 各奔前程
[00:08:07 - 00:08:10] 分别拥有了估值90亿和300亿美元的公司
[00:08:10 - 00:08:11] 如今
[00:08:11 - 00:08:13] 奥特曼的身边也只剩下了好机会Borkeman了
[00:08:13 - 00:08:16] 而OpenI也似乎再难以回到从前
[00:08:16 - 00:08:17] 好了
[00:08:17 - 00:08:19] 以上就是OpenI这场政变的一些内幕了
[00:08:19 - 00:08:20] 等到书正式出版之后
[00:08:20 - 00:08:23] 我们再给大家分享更多的细节信息
[00:08:23 - 00:08:24] 感谢大家的观看
[00:08:24 - 00:08:25] 我们下期再见
