BV号：BV1AC536CEGQ
标题：BV1AC536CEGQ
链接：https://www.bilibili.com/video/BV1AC536CEGQ
识别语言：zh
语言置信度：1
分段数：356
生成时间：2026-08-29 17:24:26

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] AI正在改编软件工程
[00:01:55 - 00:01:57] 大公司和出创公司的策略
[00:01:57 - 00:01:58] 从根本上就不同
[00:01:58 - 00:01:59] 对于出创公司
[00:01:59 - 00:02:01] 比如Anthropic来说
[00:02:01 - 00:02:02] 最重要的是下注
[00:02:02 - 00:02:04] 他们资源有限
[00:02:04 - 00:02:05] 必须看准一个方向
[00:02:05 - 00:02:07] 然后把所有充满都推上去
[00:02:07 - 00:02:08] 但大公司比如Google
[00:02:08 - 00:02:09] 不行
[00:02:09 - 00:02:11] 大公司需要平衡多个方向
[00:02:11 - 00:02:13] 他们有太多的业务线
[00:02:13 - 00:02:14] 太多的历史包袱
[00:02:14 - 00:02:16] 很难做到真正的熬夜
[00:02:16 - 00:02:17] 这就像冲浪
[00:02:17 - 00:02:18] 每个人都是冲浪者
[00:02:18 - 00:02:20] 但真正决定你能走多远的
[00:02:20 - 00:02:22] 是那波浪
[00:02:22 - 00:02:24] 出创公司敢于去追最大的浪
[00:02:24 - 00:02:27] 而大公司往往在多波浪之间犹豫不决
[00:02:27 - 00:02:28] 在工程落地中
[00:02:28 - 00:02:32] 这种战略差异直接导致了执行效率的天壤之别
[00:02:32 - 00:02:34] 初创公司可以为了一个明确的目标
[00:02:34 - 00:02:36] 迅速调动所有算力和人力
[00:02:36 - 00:02:38] 而大公司的一个小改动
[00:02:38 - 00:02:41] 可能需要跨越无数个部门的审批
[00:02:41 - 00:02:43] 这种组织架构上的拥种
[00:02:43 - 00:02:45] 直接拖慢了技术迭代的速度
[00:02:45 - 00:02:46] 关键点二
[00:02:46 - 00:02:47] Anthropic
[00:02:47 - 00:02:49] 独特的自上而下机制
[00:02:49 - 00:02:51] 那么Anthropic到底做对了什么
[00:02:51 - 00:02:53] Anthropic能够实现一种非常独特的
[00:02:53 - 00:02:55] 自上而下的模型训练机制
[00:02:55 - 00:02:57] 这种机制连OpenAI都做不到
[00:02:57 - 00:02:59] Google DeepMind也觉得很困难
[00:02:59 - 00:03:02] 这种机制需要极强的组织协同能力
[00:03:02 - 00:03:05] 它不是靠几个天才研究员各自为战
[00:03:05 - 00:03:08] 而是需要整个团队像一台精密的机器一样运转
[00:03:08 - 00:03:09] 在anthropic
[00:03:09 - 00:03:13] 当他们发现Cloud3在代码生成上比GPT4强时
[00:03:13 - 00:03:15] 这不是某个天才的偶然发现
[00:03:15 - 00:03:18] 而是通过快速的市场反馈和极强的执行力
[00:03:18 - 00:03:20] 迅速调整训练策略的结果
[00:03:20 - 00:03:22] 这种自上而下的机制
[00:03:22 - 00:03:25] 意味着公司能够集中力量办大事
[00:03:25 - 00:03:27] 在算力极度王贵的今天
[00:03:27 - 00:03:29] 如何高效的分配和调度算力
[00:03:29 - 00:03:31] 比想出一个精妙的算法更重要
[00:03:31 - 00:03:34] 他要求整个团队有着高度一致的目标
[00:03:34 - 00:03:37] 并且能够为了这个目标牺牲个人的研究兴趣
[00:03:37 - 00:03:40] 这在很多崇尚自由探索的科研机构中
[00:03:40 - 00:03:41] 是极其罕见的
[00:03:41 - 00:03:42] 关键点三
[00:03:42 - 00:03:44] 模型训练的残酷真相
[00:03:44 - 00:03:45] 算力与数据
[00:03:45 - 00:03:48] 很多人以为模型训练有什么不可高人的魔法
[00:03:48 - 00:03:50] 但姚顺宇说的很直白
[00:03:50 - 00:03:52] 现在的驱动力就是算力和数据
[00:03:52 - 00:03:56] 有时候修复一个简单的代码bug带来的性能提升
[00:03:56 - 00:03:59] 远比那些花里胡烧的算法技巧要大得多
[00:03:59 - 00:04:01] 这是典型的工程思维
[00:04:01 - 00:04:03] 在实际的工程落地中
[00:04:03 - 00:04:04] 没有什么魔法
[00:04:04 - 00:04:06] 只有日复一日的枯燥调试
[00:04:06 - 00:04:07] 清洗脏数据
[00:04:07 - 00:04:09] 优化算力调度排查底层bug
[00:04:09 - 00:04:12] 这才是大模型训练的残酷真相
[00:04:12 - 00:04:13] 关键点4
[00:04:13 - 00:04:15] RLHF的工程挑战
[00:04:15 - 00:04:17] 大模型训练的真正难点
[00:04:17 - 00:04:21] 这是大模型训练中最复杂最容易出问题的地方
[00:04:21 - 00:04:24] 不同公司的rlhf实现方式差异巨大
[00:04:24 - 00:04:28] 这也是为什么cloud和gpt4虽然都用了rlhf
[00:04:28 - 00:04:30] 但效果却差异这么大的原因
[00:04:30 - 00:04:33] 第一个挑战 高质量偏好数据的获取
[00:04:33 - 00:04:36] 你需要大量的人类标注者来标注
[00:04:36 - 00:04:37] 哪个回答更好
[00:04:37 - 00:04:38] 但这不是简单的是非题
[00:04:38 - 00:04:40] 而是一个极其主观的判断
[00:04:40 - 00:04:43] 不同的标注者有不同的标注标准
[00:04:43 - 00:04:45] 这就导致了数据的不一致性
[00:04:45 - 00:04:49] 安泽拉北克花了大量时间来建立一套标注规范
[00:04:49 - 00:04:50] 确保标注的一致性
[00:04:50 - 00:04:52] 这种看似低端的工作
[00:04:52 - 00:04:55] 实际上是决定RLI CHEF成功的关键
[00:04:55 - 00:04:56] 第二个挑战
[00:04:56 - 00:04:58] 奖励模型的稳定训练
[00:04:58 - 00:05:00] 你需要训练一个奖励模型
[00:05:00 - 00:05:01] 来学习人类的偏好
[00:05:01 - 00:05:04] 但奖励模型本身也很容易过你和
[00:05:04 - 00:05:06] 如果你的奖励模型过你和了
[00:05:06 - 00:05:10] 那么强化学习就会去优化这个有偏差的奖励信号
[00:05:10 - 00:05:12] 最终导致模型学到的是错误的东西
[00:05:12 - 00:05:14] 这就像你在教一个学生
[00:05:14 - 00:05:16] 但你的评分标准本身就有问题
[00:05:16 - 00:05:19] 最后学生学到的就是如何迎合你的错误标准
[00:05:19 - 00:05:21] 而不是真正的知识
[00:05:21 - 00:05:22] 第三个挑战
[00:05:22 - 00:05:25] 数据分布偏移在RLHF过程中
[00:05:25 - 00:05:27] 模型会不断生成新的回答
[00:05:27 - 00:05:28] 这些新回答的分布
[00:05:28 - 00:05:32] 可能和训练奖励模型时的数据分布完全不同
[00:05:32 - 00:05:33] 这就导致奖励模型
[00:05:33 - 00:05:36] 在新的数据分布上的预测精度下降
[00:05:36 - 00:05:38] 你需要不断地重新标注新数据
[00:05:38 - 00:05:40] 重新训练奖励模型
[00:05:40 - 00:05:42] 这是一个持续的迭代的过程
[00:05:42 - 00:05:44] 没有一劳永逸的解决方案
[00:05:44 - 00:05:45] 第四个挑战
[00:05:45 - 00:05:47] PPU算法的稳定性优化
[00:05:47 - 00:05:50] PPU是强化学习中的一个经典算法
[00:05:50 - 00:05:52] 但在大模型的RLHF中应用时
[00:05:52 - 00:05:54] 稳定性问题非常突出
[00:05:54 - 00:05:56] 模型可能会突然崩溃
[00:05:56 - 00:05:58] 或者学到一些奇怪的行为
[00:05:58 - 00:06:01] 比如重复某个词语来欺骗奖励模型
[00:06:01 - 00:06:03] 你需要非常仔细的调整学习率
[00:06:03 - 00:06:05] KL 散度系数等超参数
[00:06:05 - 00:06:07] 才能保证训练的稳定性
[00:06:07 - 00:06:08] 这完全是工程问题
[00:06:08 - 00:06:09] 没有理论指导
[00:06:09 - 00:06:12] 这些都是极其繁琐的工程问题
[00:06:12 - 00:06:14] 而不是纯粹的理论突破
[00:06:14 - 00:06:16] 你需要处理数据分布的偏移
[00:06:16 - 00:06:18] 需要解决奖励模型的过擬盒
[00:06:18 - 00:06:20] 需要优化PPU算法的稳定性
[00:06:20 - 00:06:22] 这些工作没有任何接近可走
[00:06:22 - 00:06:23] 关键点五
[00:06:23 - 00:06:27] SLM与后训练工程落地能力的新前沿
[00:06:27 - 00:06:28] 在谈到模型训练时
[00:06:28 - 00:06:31] 我们不得不提最近非常火的
[00:06:31 - 00:06:35] SLM小语言模型和后训练Post Training
[00:06:35 - 00:06:38] 随着大模型与训练成本的指数级上升
[00:06:38 - 00:06:41] 越来越多的公司开始关注如何通过SFT
[00:06:41 - 00:06:45] 监督微调和后训练来提升小模型的能力
[00:06:45 - 00:06:48] 这其实也是一种工程上的妥协与智慧
[00:06:48 - 00:06:50] 我们不需要每次都训练一个万亿参数的巨兽
[00:06:50 - 00:06:52] 通过精细的后训练
[00:06:52 - 00:06:55] 几十亿参数的模型同样能在特定领域
[00:06:55 - 00:06:56] 比如代码生成
[00:06:56 - 00:06:58] 垂直行业问答
[00:06:58 - 00:07:00] 达到甚至超越早期大模型的水平
[00:07:00 - 00:07:04] SLM的微调潜力一个70亿参数的模型
[00:07:04 - 00:07:06] 经过高质量的SFT和后训练
[00:07:06 - 00:07:09] 可能在代码生成上的表现不亚于
[00:07:09 - 00:07:11] 一个1000亿参数的通用模型
[00:07:11 - 00:07:13] 关键是你的训练数据质量
[00:07:13 - 00:07:17] 如果你能找到高质量的针对特定任务的训练数据
[00:07:17 - 00:07:19] 那么小模型的潜力是巨大的
[00:07:19 - 00:07:22] 通过SFT和后训练提升能力
[00:07:22 - 00:07:25] SFT就是用高质量的势力数据来微调模型
[00:07:25 - 00:07:28] 比如如果你想让模型更擅长写代码
[00:07:28 - 00:07:31] 你就用大量高质量的代码势力来微调它
[00:07:31 - 00:07:33] 后训练则是进一步的优化
[00:07:33 - 00:07:35] 包括RLHF,DPO等技术
[00:07:35 - 00:07:39] 这些技术可以让模型更好的对其人类的偏好
[00:07:39 - 00:07:41] 这再次印证了那个观点
[00:07:41 - 00:07:44] 工程落地能力正在成为AI公司的核心壁垒
[00:07:44 - 00:07:46] 如何在有限的算力下
[00:07:46 - 00:07:49] 通过高质量的数据和精细的微调策略
[00:07:49 - 00:07:51] 扎干模型的每一滴性能
[00:07:51 - 00:07:54] 这是当前AI工程时面临的最大挑战
[00:07:54 - 00:07:56] 那些能够做到这一点的公司
[00:07:56 - 00:07:59] 就能以更低的成本更快的速度提供更好的产品
[00:07:59 - 00:08:00] 关键点6
[00:08:00 - 00:08:03] 多Agent的编排的实现方式与最佳实践
[00:08:03 - 00:08:05] 除了模型本身的训练
[00:08:05 - 00:08:07] 如何使用模型同样重要
[00:08:07 - 00:08:09] 姚顺宇在访谈中提到
[00:08:09 - 00:08:12] 那些现在看起来极其复杂 AI还做不好的任务
[00:08:12 - 00:08:16] 会被拆解成无数个小任务交给不同的 AI去完成
[00:08:16 - 00:08:18] 这就是多Agent编排的核心思想
[00:08:18 - 00:08:20] 在实际的工程落地中
[00:08:20 - 00:08:23] 我们不再指望一个全能的超级模型解决所有问题
[00:08:23 - 00:08:26] 而是构建一个由多个专业Agent组成的系统
[00:08:26 - 00:08:29] 比如一个代码审查系统可能包含以下Agent
[00:08:29 - 00:08:31] 代码意图理解
[00:08:31 - 00:08:32] 代码正确性检查
[00:08:32 - 00:08:34] 性能代码检查
[00:08:34 - 00:08:35] 代码安全性检查
[00:08:35 - 00:08:37] 审查意见整合
[00:08:37 - 00:08:40] 这种架构不仅降低了对单一模型能力的依赖
[00:08:40 - 00:08:43] 还大大提高了系统的稳定性和可解释性
[00:08:43 - 00:08:46] 这正是当前AI应用开发的最前沿时间
[00:08:46 - 00:08:49] 但这里存在一个巨大的认知反差
[00:08:49 - 00:08:53] 既然大模型训练就是堆算力洗数据修bug
[00:08:53 - 00:08:55] 那为什么现在AI研究员的薪水
[00:08:55 - 00:08:58] 被炒得像体育明星转汇一样高
[00:08:58 - 00:08:59] 主流认知觉得
[00:08:59 - 00:09:02] 我们需要超级天才来突破AGI的瓶颈
[00:09:02 - 00:09:05] 但姚顺宇却说英雄主义已经过去了
[00:09:05 - 00:09:07] 过去可能一个天才的灵光一线
[00:09:07 - 00:09:09] 就能改变整个行业
[00:09:09 - 00:09:11] 比如Transformer架构的提出
[00:09:11 - 00:09:13] 就是少数几个研究员的节奏
[00:09:13 - 00:09:15] 但现在训练一个前沿大模型
[00:09:15 - 00:09:17] 是一个极其庞大的系统工程
[00:09:17 - 00:09:20] 它需要的是几百上千个工程师的紧密配合
[00:09:20 - 00:09:23] 个人的力量在庞大的算力集群
[00:09:23 - 00:09:24] 和海量数据面前
[00:09:24 - 00:09:26] 变得越来越渺小
[00:09:26 - 00:09:28] 拿着天价薪水的研究员
[00:09:28 - 00:09:30] 真正的价值不再是发几篇
[00:09:30 - 00:09:31] 精视害俗的paper
[00:09:31 - 00:09:33] 而是能在庞大的分布式系统中
[00:09:33 - 00:09:36] 稳定输出高质量的工程代码
[00:09:36 - 00:09:39] 他们是这台精密机器上不可或缺的齿轮
[00:09:39 - 00:09:42] 但不再是那个能够单枪皮马拯救世界的英雄
[00:09:42 - 00:09:45] 这就解释了开头那个反直觉的观点
[00:09:45 - 00:09:47] AI行业真的不需要太多脑子
[00:09:47 - 00:09:48] 那需要什么
[00:09:48 - 00:09:50] 姚顺宇给出了三个词
[00:09:50 - 00:09:51] 可靠
[00:09:51 - 00:09:52] 注重细节
[00:09:52 - 00:09:53] 有责任心
[00:09:53 - 00:09:56] 这其实是一个极其重要的认知升级
[00:09:56 - 00:09:58] 我们不再需要那么多聪明绝顶
[00:09:58 - 00:09:59] 但特立独行的天才
[00:09:59 - 00:10:01] 我们更需要的是靠谱
[00:10:01 - 00:10:03] 细心能把事情落地的工程师
[00:10:03 - 00:10:06] 在这个阶段组织能力已经远远大于个人能力
[00:10:06 - 00:10:09] 谁能把几百个顶尖工程师组织的最好
[00:10:09 - 00:10:13] 谁能把算力和数据利用的最高效谁就能赢
[00:10:13 - 00:10:15] 这对于我们每一个普通开发者来说
[00:10:15 - 00:10:17] 其实是一个巨大的好消息
[00:10:17 - 00:10:19] 你不需要是天才
[00:10:19 - 00:10:20] 只要你足够靠谱
[00:10:20 - 00:10:22] 对工程细节有极致的追求
[00:10:22 - 00:10:25] 你同样可以在这个AI时代找到自己的位置
[00:10:25 - 00:10:28] 这也是为什么我们看到越来越多的传统软件工程师
[00:10:28 - 00:10:31] 能够快速转型并在AI领域取得成功
[00:10:31 - 00:10:33] 因为底层的工程逻辑并没有改变
[00:10:33 - 00:10:35] 那么未来会怎样
[00:10:35 - 00:10:37] 摇顺语预测在未来的几个月里
[00:10:37 - 00:10:39] AI的能力还会快速扩展
[00:10:39 - 00:10:41] 随着多AZEN的编排技术的成熟
[00:10:41 - 00:10:43] 以及后训练技术的普及
[00:10:43 - 00:10:46] AI将能够处理越来越复杂的现实世界任务
[00:10:46 - 00:10:49] 也许半年后你在看现在AI做不到的事情
[00:10:49 - 00:10:51] 只剩下两件了
[00:10:51 - 00:10:53] 再过半年可能一件都不省了
[00:10:53 - 00:10:54] 这种能力的快速扩展
[00:10:54 - 00:10:57] 得益于我们前面讲的所有工程优化
[00:10:57 - 00:11:01] 高质量的RLHF数据稳定的PPU训练
[00:11:01 - 00:11:04] 精细的SLMV条以及多A震特的智能编排
[00:11:04 - 00:11:07] 而且不要忽视中国企业的力量
[00:11:07 - 00:11:09] 像Deepseq这样的公司
[00:11:09 - 00:11:11] 正在用完全不同的成本结构和效率
[00:11:11 - 00:11:13] 冲击着现有的格局
[00:11:13 - 00:11:15] Deepseq最令人印象深刻的
[00:11:15 - 00:11:19] 是它在有限的算力约束下通过极致的工程优化
[00:11:19 - 00:11:21] 训练出了极具竞争力的模型
[00:11:21 - 00:11:24] 它采用了一系列创新的技术
[00:11:24 - 00:11:26] 比如更高效的注意力机制
[00:11:26 - 00:11:27] 更优化的数据处理流程
[00:11:27 - 00:11:29] 更精细的超参数条优
[00:11:29 - 00:11:31] 这些都是纯粹的工程问题
[00:11:31 - 00:11:35] 但解决好了就能用更少的算力训练出更好的模型
[00:11:35 - 00:11:38] Deepseak证明了在算力受限的情况下
[00:11:38 - 00:11:39] 通过极致的工程优化
[00:11:39 - 00:11:42] 依然可以训练出极具竞争力的模型
[00:11:42 - 00:11:45] 这不仅是技术的胜利更是工程能力的胜利
[00:11:45 - 00:11:48] 它告诉我们在AGI的道路上没有绝对的垄断
[00:11:48 - 00:11:51] 只有不断的工程迭代和优化
[00:11:51 - 00:11:53] 那些掌握了工程优化能力的公司
[00:11:53 - 00:11:56] 即使在算力资源上处于劣势
[00:11:56 - 00:11:59] 也能通过更高效的工程实践弯道超车
[00:11:59 - 00:12:02] 未来的AGI竞赛不再是单纯的谁有更多的算力
[00:12:02 - 00:12:04] 而是谁的工程能力更强
[00:12:04 - 00:12:06] 大常有算力优势
[00:12:06 - 00:12:08] 但初创公司有执行力优势
[00:12:08 - 00:12:09] 国外有资源优势
[00:12:09 - 00:12:11] 但中国有工程师优势
[00:12:11 - 00:12:13] 这种多元化的竞争格局
[00:12:13 - 00:12:16] 对整个AI行业来说是健康的
[00:12:16 - 00:12:18] 这一切的最终落脚点
[00:12:18 - 00:12:22] 是对每一个想进入AI领域的年轻工程师的启示
[00:12:22 - 00:12:23] 你不需要是天才
[00:12:23 - 00:12:25] 你不需要是那种能在白板上推导
[00:12:25 - 00:12:27] 复杂数学公式的天才
[00:12:27 - 00:12:32] 事实上现在的AI行业更需要的是能够把复杂的系统搭建好
[00:12:32 - 00:12:34] 维护好优化好的工程师
[00:12:34 - 00:12:38] 靠谱比聪慧更值钱在一个庞大的分布式系统中
[00:12:38 - 00:12:42] 一个靠谱的工程师比一个聪慧但不靠谱的天才更值钱
[00:12:42 - 00:12:45] 因为系统的稳定性往往取决于最薄弱的环节
[00:12:45 - 00:12:48] 如果你是那个最薄弱的环节那么再聪慧也没用
[00:12:48 - 00:12:51] 对工程细节的极致追求就是你的竞争力
[00:12:51 - 00:12:55] 你需要关注数据的质量算力的利用效率
[00:12:55 - 00:12:58] 模型的稳定性系统的可维护性
[00:12:58 - 00:12:59] 这些看似低端的工作
[00:13:00 - 00:13:02] 实际上是决定AI产品成败的关键
[00:13:02 - 00:13:03] 具体的建议
[00:13:03 - 00:13:06] 1.学会使用现有的工具和框架
[00:13:06 - 00:13:08] 而不是从零开始发明轮子
[00:13:08 - 00:13:11] 2.关注工程最佳实践
[00:13:11 - 00:13:14] 比如代码审查单元测试持续集成
[00:13:14 - 00:13:16] 3.理解分布式系统的基本原理
[00:13:16 - 00:13:19] 因为大模型训练本质上就是分布式计算
[00:13:19 - 00:13:21] 4.保持对新技术的好奇心
[00:13:21 - 00:13:23] 但要有判断力
[00:13:23 - 00:13:25] 不是所有新技术都值得学
[00:13:25 - 00:13:29] 五,建立自己的知識體系,而不是盲目跟風
[00:13:29 - 00:13:32] 最後總結一句,AI的下半場不再是天才的獨武
[00:13:32 - 00:13:34] 而是靠譜工程師的交響月
[00:13:34 - 00:13:38] 你覺得在未來的AI時代是算法創新更重要
[00:13:38 - 00:13:40] 還是工程落地更重要
[00:13:40 - 00:13:41] 把你的看法打在公平上
[00:13:41 - 00:13:44] 如果你覺得這些視頻對你有啟發
[00:13:44 - 00:13:46] 別忘了點贊投幣收藏,一鍵三連
[00:13:46 - 00:13:49] 我是為什麽叫QQ,我們下期見
