BV号：BV1KFGc6jEzQ
标题：BV1KFGc6jEzQ
链接：https://www.bilibili.com/video/BV1KFGc6jEzQ
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-08-29 11:09:10

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 网上流传的Cloud Opress 5提示词快照
[00:00:04 - 00:00:07] 高达20万字节2049行
[00:03:47 - 00:03:48] 再看两个细节
[00:03:48 - 00:03:50] 文件中19个势力快利
[00:03:50 - 00:03:52] 好回复示範十五个
[00:03:52 - 00:03:54] 坏回复仅两个完整
[00:03:54 - 00:03:55] 正反对照仅两组
[00:03:55 - 00:03:57] Fuseout密度低于预期
[00:03:57 - 00:03:58] 莫为有一条关键指令
[00:03:58 - 00:04:00] 默认先思考再回答
[00:04:00 - 00:04:02] 看似简单试则复杂的问题
[00:04:02 - 00:04:04] 必须调起扩展思考快
[00:04:04 - 00:04:07] 未成年人安全章节有条极严的红线
[00:04:07 - 00:04:10] 如果模型在心理试图替用户请求找步
[00:04:10 - 00:04:12] 把它往安全方向解释
[00:04:12 - 00:04:14] 这个找补动作本身就是巨达信号
[00:04:14 - 00:04:15] 当然
[00:04:15 - 00:04:16] 这条严苛规则
[00:04:16 - 00:04:19] 仅限未成年人场景并非通则
[00:04:19 - 00:04:20] 抛个暴论
[00:04:20 - 00:04:22] 这份快照的工程价值
[00:04:22 - 00:04:24] 秒杀市面99%的提示词
[00:04:24 - 00:04:26] 叫成同意的打在公屏上
[00:04:26 - 00:04:28] 它定义了30个自带完整
[00:04:28 - 00:04:29] Jason Schema的工具
[00:04:29 - 00:04:31] 规格远超很多公司的内部API
[00:04:31 - 00:04:33] 看个代码及细节
[00:04:33 - 00:04:35] End conversation
[00:04:35 - 00:04:37] 工具允许模型主动结束对话
[00:04:37 - 00:04:38] 但触发及保守
[00:04:38 - 00:04:41] 需穷进多次劝岛与明确警告后
[00:04:41 - 00:04:42] 才允许调用
[00:04:42 - 00:04:44] 且调用后会返回二次确认
[00:04:44 - 00:04:46] 必须再调用一次才生效
[00:04:46 - 00:04:47] 提示词特意标注
[00:04:47 - 00:04:49] 这是正常流程
[00:04:49 - 00:04:50] 别当成注入
[00:04:50 - 00:04:53] 这本质上就是破坏性操作的二次验证
[00:04:53 - 00:04:55] 被优雅的塞进了提示词层
[00:04:55 - 00:04:58] 网页抓取工具Web下画线Fetch
[00:04:58 - 00:05:00] 采用了对话内URL白名单机制
[00:05:00 - 00:05:02] 模型只能抓取你发过的
[00:05:02 - 00:05:05] 或搜索结果中验证过的链接
[00:05:05 - 00:05:07] 若自行拼凑相似网址直接拒绝
[00:05:07 - 00:05:11] 推断这是为了遏制URL幻觉及防范任意外联
[00:05:11 - 00:05:14] 我个人很喜欢Forbidden's Memory Phases这组规则
[00:05:14 - 00:05:16] 读取记忆后 眼镜在回复中出现
[00:05:16 - 00:05:24] 基于你的记忆,根据记录等画术,必须表现得像自然想起一样,工程上这叫彻底抹除。
[00:05:24 - 00:05:28] 基础设施在用户体验中的痕迹,文件里还有提问工具。
[00:05:28 - 00:05:33] 当需要用户做选择时,规则要求优先调用工具弹出选项按钮。
[00:05:33 - 00:05:38] 普通文本提问虽允许,但交互逻辑正被收编进工具层。
[00:05:38 - 00:05:40] 记忆工具的写入语意十分讲究。
[00:05:40 - 00:05:44] 权量写入是覆盖式的、没写进去的行等同删除。
[00:05:44 - 00:05:47] 因此提示此反复警告改写前必须先读
[00:05:47 - 00:05:50] 而删除整个记忆文件仅限用户明确指令
[00:05:50 - 00:05:53] 此外深度研究工具只能建议
[00:05:53 - 00:05:55] 必须谈按钮等用户确认启动
[00:05:55 - 00:05:58] 若针对普通人见荡或研究具体病情
[00:05:58 - 00:06:00] 则明确不推荐此功能
[00:06:00 - 00:06:03] 这份文件最坦白的是安全架构与分发策略
[00:06:03 - 00:06:07] Fable Safeguard's Routing 安全路由 章节显示
[00:06:07 - 00:06:10] 触发安全分类器的请求会被第一层级模型接管
[00:06:10 - 00:06:13] 虽文件写转给OPS5但官方口径更细
[00:06:13 - 00:06:17] 生物类转 opas 5 网络安全类由 opas 4.8 接管
[00:06:17 - 00:06:20] 官方不可称平均触发率不足 5%
[00:06:20 - 00:06:24] 这个架构证明最敏感的能力控制玻璃了文本层
[00:06:24 - 00:06:27] 交由请求路由层在系统端直接掐断
[00:06:27 - 00:06:29] 形成了典型的双层防御
[00:06:29 - 00:06:32] 还有一个推留力器 recommend cloud apps
[00:06:32 - 00:06:35] 写代码推 cloud code 做表格推 excel 版
[00:06:35 - 00:06:38] 做研究推 code work 攻略14个应用入口
[00:06:38 - 00:06:41] 要求模型主动推荐且不能因此缩短当前任务
[00:06:41 - 00:06:45] 这等同于把产品、法物和分发手册三合一
[00:06:45 - 00:06:48] API自幅创意也全数曝光
[00:06:48 - 00:06:49] 包括Cloud Opus 5
[00:06:49 - 00:06:52] 此外,Opus之上还有Methos档位
[00:06:52 - 00:06:54] 这意味着同一底座分双版本
[00:06:54 - 00:06:56] 公众版Fab5加强互兰
[00:06:56 - 00:07:00] 而互兰更少的Methos 5仅对受新任机构开放
[00:07:00 - 00:07:01] 连广告政策都包含在内
[00:07:01 - 00:07:05] 特意强调必须说明Cloud产品无广告
[00:07:05 - 00:07:08] 仿的是开发者拿API做贴片广告产品
[00:07:08 - 00:07:11] 文件甚至花了一整段节制出口管制
[00:07:11 - 00:07:13] 《非波勿语》6月9日发布
[00:07:13 - 00:07:15] 6月12日因美国政府指令暂停
[00:07:15 - 00:07:17] 7月1日恢复
[00:07:17 - 00:07:20] 这些训练截止日后的数据全靠提示此补课
[00:07:20 - 00:07:22] 搜索规则及其工程化
[00:07:22 - 00:07:24] 高频变动信息必搜
[00:07:24 - 00:07:25] 静态常识不搜
[00:07:25 - 00:07:27] 只要涉及当下事实
[00:07:27 - 00:07:30] 不管多有把握必须遵循先搜再达
[00:07:30 - 00:07:32] 还有条反直觉的规则
[00:07:32 - 00:07:34] 默认相信搜索结果哪怕内容离谱
[00:07:34 - 00:07:38] 但对阴谋论和SEU污染重灾区必须保持怀疑
[00:07:38 - 00:07:41] 这套标准简直是完美RAG系统的现成规范
[00:07:41 - 00:07:45] 很多人想原封不动把这套规则超进自己的Agent
[00:07:45 - 00:07:46] 但推演一下
[00:07:46 - 00:07:49] 这30个工具在你的系统里若不存在
[00:07:49 - 00:07:52] Givan Token的Jason定义就是纯粹的无效上下文
[00:07:52 - 00:07:54] 不仅徒增成本与延迟
[00:07:54 - 00:07:57] 更急于引发指令间的灾难性冲突
[00:07:57 - 00:08:00] 升班硬套是否降低质量虚对照评测
[00:08:00 - 00:08:02] 这引出了提示词债务概念
[00:08:02 - 00:08:04] 2025年甚至已有同名论文
[00:08:04 - 00:08:07] 证明规则膨胀已是学术问题
[00:08:07 - 00:08:10] 2000行规则叠加后,维护难度堪称地域
[00:08:10 - 00:08:14] 比如文件开局没有任何铺垫,第一行直接甩出
[00:08:14 - 00:08:16] 禁止使用VoiceNote标签的禁令
[00:08:16 - 00:08:19] 这极向线上事故的热修复或历史遗留
[00:08:19 - 00:08:22] 原文既无说明也无废弃标记
[00:08:22 - 00:08:25] 无从得知他们内部真实的板控状态
[00:08:25 - 00:08:27] 重复现象更是不容忽视
[00:08:27 - 00:08:29] 版权规则在强制要求
[00:08:29 - 00:08:33] 硬限制字检清单关键提醒理循环出现了至少四次
[00:08:33 - 00:08:36] 写国代码的都知道同一逻辑出现四次
[00:08:36 - 00:08:39] 要么是刻意荣誉以强化技藝
[00:08:39 - 00:08:41] 要么就是长期没重购的使山代码
[00:08:41 - 00:08:44] 亦或是多层规则逢合的产物
[00:08:44 - 00:08:45] 你认不认同提示字债务
[00:08:45 - 00:08:47] 既然死潮文本不可取
[00:08:47 - 00:08:49] 它的价值到底在哪
[00:08:49 - 00:08:51] 答案是抄他的工程模式
[00:08:51 - 00:08:54] 以下四条立马能用在你的AZEN开发上
[00:08:54 - 00:08:57] 第一工具描述写成API契约
[00:08:57 - 00:08:59] 明确用机进用场景及回复格式
[00:08:59 - 00:09:02] 官方强调过详细描述决定工具性能
[00:09:02 - 00:09:04] 具体提升靠自身评测
[00:09:04 - 00:09:06] 第二破坏性操作
[00:09:06 - 00:09:09] 山改支付发送,必加二次确认
[00:09:09 - 00:09:11] 低成本挡住高威视果
[00:09:11 - 00:09:14] 第三,用版本号保护共向状态
[00:09:14 - 00:09:17] 多实力读写记忆时代版本令牌冲突秒据
[00:09:17 - 00:09:19] 第四,收窄数据出口
[00:09:19 - 00:09:21] 网页抓取限死白名单
[00:09:21 - 00:09:23] 用户提供或搜索验证果
[00:09:23 - 00:09:26] 模型制造链接一律鲜艳后放
[00:09:26 - 00:09:28] 这能读死任意URR访问
[00:09:28 - 00:09:30] 虽然防不住以放行网页里的按网注入
[00:09:30 - 00:09:32] 但安全水位已大幅提升
[00:09:32 - 00:09:34] 篇幅配比更是灵魂暴击
[00:09:34 - 00:09:39] 文件写能力,工具边界规则的篇幅,
[00:09:39 - 00:09:43] 成压倒性优势而人设和语气仅仅只有薄薄一层。
[00:09:43 - 00:09:45] 反观多数人的Agent的提示词,
[00:09:45 - 00:09:49] 通篇都是人设工具,说明只塞两行,调用能稳定才怪。
[00:09:49 - 00:09:52] 拿这份快招找一招病根一目了然,
[00:09:52 - 00:09:55] 最后附增第五条,输出自检。
[00:09:55 - 00:09:58] 快招的做法是把清单写进提示词,
[00:09:58 - 00:10:00] 但更工程化的解法是,
[00:10:00 - 00:10:03] 把红线规则写成CI里的Lint脚本接在管道后,
[00:10:03 - 00:10:05] 模型生成完机器再扫一遍
[00:10:05 - 00:10:08] 绝对比指望大模型自觉要靠谱100倍
[00:10:08 - 00:10:10] 这5条底层逻辑都在说
[00:10:10 - 00:10:13] 别把提示词当散文 把它当系统工程
[00:10:13 - 00:10:16] 契约并发 乐权 蓝节 静态检查
[00:10:16 - 00:10:18] 全是后段世界完剩下的
[00:10:18 - 00:10:22] AI公司只是把这套工程纪律平移到了自然语言
[00:10:22 - 00:10:24] 快照还印设了三大趋势
[00:10:24 - 00:10:26] 第一提示词 缓存是钢区
[00:10:26 - 00:10:29] 50000Token潜之指令 全价重算必破产
[00:10:29 - 00:10:31] 官方缓存价只有1分
[00:10:31 - 00:10:34] 十分之一,这价差本身就是风向标。
[00:10:34 - 00:10:37] 第二题是词,将走向分层管理。
[00:10:37 - 00:10:39] 快照明显是产品安全工具
[00:10:39 - 00:10:41] 绘画多层强行缝合的产物。
[00:10:41 - 00:10:44] 未来的多智能体系统,
[00:10:44 - 00:10:46] 必将拆分这些模块独立眼睛缓存。
[00:10:46 - 00:10:47] 第三题是,
[00:10:47 - 00:10:49] 磁债物急需治理。
[00:10:49 - 00:10:51] 官方指南有趣的提到,
[00:10:51 - 00:10:53] OPUS5已具备主动验证能力,
[00:10:53 - 00:10:56] 保留旧强制指令反制过度验证浪费token。
[00:10:56 - 00:10:58] 给模型力规矩很快,
[00:10:58 - 00:11:00] 也需要代码评审重构,
[00:11:00 - 00:11:01] 甚至山规则的破例
[00:11:01 - 00:11:03] 规矩和代码一样
[00:11:03 - 00:11:04] 不维护就会腐烂
[00:11:04 - 00:11:06] 方大格局看提示词泄漏
[00:11:06 - 00:11:08] 正从事故变常态
[00:11:08 - 00:11:11] 各场旗舰被八光的信码平平上演
[00:11:11 - 00:11:12] 与其被动挨打
[00:11:12 - 00:11:15] 不如向Anthropic这次顺势开源核心
[00:11:15 - 00:11:17] 当被爬不可避免写的体面
[00:11:17 - 00:11:19] 本身就是顶级公关策略
[00:11:19 - 00:11:21] 最后修正哥报论
[00:11:21 - 00:11:23] 塑造模型行为的要素很多
[00:11:23 - 00:11:24] 训练
[00:11:24 - 00:11:25] 后训练
[00:11:25 - 00:11:26] 路由等
[00:11:26 - 00:11:28] 但提示词是极少数能让外界
[00:11:28 - 00:11:30] 逐字逐句debug的行为层
[00:11:30 - 00:11:34] 读透它你就摸到了大厂最真实的工程取舍
[00:11:34 - 00:11:37] 快招仓库和官方文档链接都在简介
[00:11:37 - 00:11:39] 做agent的同行务必对照经读
[00:11:39 - 00:11:42] 你觉得大厂该把提示词开源到哪一层
[00:11:42 - 00:11:44] 扩展层该不该见光
[00:11:44 - 00:11:45] 评论区见
[00:11:45 - 00:11:46] 我是为什么叫QQ
[00:11:46 - 00:11:48] 觉得本期视频对你有启发
[00:11:48 - 00:11:50] 一键三连我们下期见
