BV号：BV18kTb6QEb3
标题：BV18kTb6QEb3
链接：https://www.bilibili.com/video/BV18kTb6QEb3
识别语言：zh
语言置信度：1
分段数：305
生成时间：2026-08-29 10:22:15

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 还记得前段时间那个超级火的AI炒币实验吗
[00:04:04 - 00:04:07] 专家80%的信任预值
[00:04:07 - 00:04:08] 这意味着
[00:04:08 - 00:04:11] 这个AI终于可以真正在日常工作中使用了
[00:04:11 - 00:04:12] 为什么差距会这么大
[00:04:12 - 00:04:14] 我们来逐层拆解
[00:04:14 - 00:04:16] 为什么AI在Alpha Arena里表现糟糕
[00:04:16 - 00:04:18] 在桥水手里却成了专家
[00:04:18 - 00:04:21] 这暴露出金融AI的最后英理问题
[00:04:21 - 00:04:23] 分析不等于执行
[00:04:23 - 00:04:25] 当你让ChadGBT给你写一份
[00:04:25 - 00:04:27] 关于特斯拉的投资分析报告时
[00:04:27 - 00:04:29] 他能引经据点逻辑严密
[00:04:29 - 00:04:32] 把宏观环境和微观数据分析的头头识到
[00:04:32 - 00:04:34] 看着这份报告
[00:04:34 - 00:04:37] 你会觉得哇 AI已经完成了80%的工作
[00:04:37 - 00:04:40] 剩下的就是我点下鼠标买入而已
[00:04:40 - 00:04:42] 但这是一种极其危险的幻觉
[00:04:42 - 00:04:45] 在金融市场里这80%的分析
[00:04:45 - 00:04:47] 如果不结合实际情况毫无意义
[00:04:47 - 00:04:50] 真正的胜负全在最后那20%的执行上
[00:04:50 - 00:04:53] AI可以看懂K线可以理解宏观经济
[00:04:53 - 00:04:56] 但它不知道这笔交易在这个特定的时间点
[00:04:56 - 00:04:58] 在你这个特定的投资组合理
[00:04:58 - 00:05:01] 会不会因为流动性不足而产生巨大的划点
[00:05:01 - 00:05:03] 它不懂不同交易所的具体机制
[00:05:03 - 00:05:07] 不懂你的保证金约束更不懂对手盘的心理状态
[00:05:07 - 00:05:09] 在金融里分析必须转化为长口
[00:05:09 - 00:05:11] 而长口就是后果
[00:05:11 - 00:05:13] 你分析的在队如果仓位没控制好
[00:05:13 - 00:05:16] 一个小的回调就能让你爆仓出局
[00:05:16 - 00:05:18] AI在写分析报告上是个天才
[00:05:18 - 00:05:21] 但在把分析转化为安全执行上
[00:05:21 - 00:05:23] 是个完全没有经验的婴儿
[00:05:23 - 00:05:25] 这就是为什么Alpha Arena里的
[00:05:25 - 00:05:26] 模型会表现不稳定
[00:05:26 - 00:05:28] 他们只会分析不懂执行
[00:05:28 - 00:05:29] 我们再深挖一层
[00:05:29 - 00:05:32] AI为什么在下棋写代码上那么牛
[00:05:32 - 00:05:35] 因为下棋和写代码是静态系统或封闭系统
[00:05:35 - 00:05:38] 象棋的规则几百年没变过
[00:05:38 - 00:05:40] 代码跑得通就是跑得通
[00:05:40 - 00:05:41] 爆错就是爆错
[00:05:41 - 00:05:43] 答案是对错分明的
[00:05:43 - 00:05:44] 但金融市场不是这样
[00:05:44 - 00:05:48] 金融市场是一个极其复杂的连续动态系统
[00:05:48 - 00:05:52] 你在市场上做出的每一个决定都在改变市场本身
[00:05:52 - 00:05:54] 当所有人都知道一个赚钱的策略时
[00:05:54 - 00:05:56] 这个策略就立刻失效了
[00:05:56 - 00:05:58] 这在博弈论理教适应性对手
[00:05:58 - 00:06:01] 目前的通用大语言模型本质上是什么
[00:06:01 - 00:06:03] 是高级的模式匹配机器
[00:06:03 - 00:06:06] 他们通过阅读人类历史上积累的海量文本
[00:06:06 - 00:06:08] 寻找统计学上的规律
[00:06:08 - 00:06:09] 然后预测下一个词
[00:06:09 - 00:06:11] 这类实验共同指向一个问题
[00:06:11 - 00:06:14] 市场不能仅仅通过模式识别来导航
[00:06:14 - 00:06:15] 为什么
[00:06:15 - 00:06:17] 因为新技术会出现
[00:06:17 - 00:06:19] 政策会转变 市场制度会更迭
[00:06:19 - 00:06:22] 过去的数据无法预测前所未有的危机
[00:06:22 - 00:06:26] 2008年的次贷危机在2007年之前的数据理事
[00:06:26 - 00:06:28] 找不到完美匹配的模式的
[00:06:28 - 00:06:31] 市场需要的是真正的因果推理
[00:06:31 - 00:06:33] 你需要理解价格为什么会变动
[00:06:33 - 00:06:36] 理解贪婪和恐惧是如何传染的
[00:06:36 - 00:06:38] 理解宏观力量的因果链条
[00:06:38 - 00:06:39] 在这些金融任务里
[00:06:39 - 00:06:44] 通用LLM还没有稳定展现出足够可靠的因果推理和执行能力
[00:06:44 - 00:06:47] 既然让AI直接交易行不通桥水是怎么做的
[00:06:47 - 00:06:50] 他们做了一个极其聪明的降维打击
[00:06:50 - 00:06:53] 他们没有让AI去面对整个混沌的市场
[00:06:53 - 00:06:58] 而是把庞大的投资过程拆解成了无数个具体的微决策
[00:06:58 - 00:07:00] 以刚才说的信息筛选为例
[00:07:00 - 00:07:03] 每天看几千篇新闻判断哪篇有用
[00:07:03 - 00:07:06] 这种判断力是人类专家用真金白银
[00:07:06 - 00:07:08] 和无数个不眠之业喂出来的直觉
[00:07:08 - 00:07:12] 这种直觉你很难用一段prompt写下来告诉AI
[00:07:12 - 00:07:13] 举个真实的例子
[00:07:13 - 00:07:15] 同样是地缘政治新闻
[00:07:15 - 00:07:17] 一篇新闻的标题是
[00:07:17 - 00:07:19] 特朗普坚持说格林兰岛是美国的
[00:07:19 - 00:07:23] 另一篇是特朗普威胁对中国加征新关税
[00:07:23 - 00:07:25] 任何一个有经验的宏观研究员
[00:07:25 - 00:07:26] 一秒钟就能判断出
[00:07:26 - 00:07:29] 前者是政科的嘴抛噪音直接忽略
[00:07:29 - 00:07:33] 后者是会引发全球供应链震荡的核心信号
[00:07:33 - 00:07:34] 必须重点关注
[00:07:34 - 00:07:37] 但当你把这两篇新闻给通用大模型看时
[00:07:37 - 00:07:38] 他们傻眼了
[00:07:38 - 00:07:42] 因为从文本上看这两篇都涉及美国总统
[00:07:42 - 00:07:44] 地缘政治 领土或贸易争议
[00:07:44 - 00:07:46] 所以大模型的准确率只有50%
[00:07:46 - 00:07:48] 跟抛银币一样
[00:07:48 - 00:07:49] 桥水和Thinking Machines
[00:07:49 - 00:07:51] 是怎么解决这个问题的
[00:07:51 - 00:07:53] 他们没有去死科Prump的工程
[00:07:53 - 00:07:55] 他们用了一套组合权
[00:07:55 - 00:07:57] 交错批训练CISPO非对称裁检
[00:07:57 - 00:08:00] 以及代强教师的在线策略征流
[00:08:00 - 00:08:01] 简单来说
[00:08:01 - 00:08:04] 他们拿人类专家真实筛选过的数据
[00:08:04 - 00:08:05] 据微调这个模型
[00:08:05 - 00:08:07] 他们发现一个惊人的事实
[00:08:07 - 00:08:11] 如果用普通的非金融专家标注的数据去训练
[00:08:11 - 00:08:13] 模型学出来的全是垃圾
[00:08:13 - 00:08:15] 关键是高质量的数据
[00:08:15 - 00:08:17] 他们先用非专家标签训练
[00:08:17 - 00:08:19] 然后把模型与标签不一致
[00:08:19 - 00:08:21] 的争一样本送给专家复合
[00:08:21 - 00:08:24] 只有这样AI才能学到那种微妙的直觉
[00:08:24 - 00:08:28] 通过这种高成本但高质量的数据清洗和构建
[00:08:28 - 00:08:32] AI终于学会了像桥水的研究员一样去品见信息
[00:08:32 - 00:08:34] 看到这里事情开始变得不对劲了
[00:08:34 - 00:08:36] 很多人包括很多科技圈的大佬
[00:08:36 - 00:08:38] 都以为金融家AI的终局
[00:08:38 - 00:08:41] 就是一个超级聪明的全能大模型啊
[00:08:41 - 00:08:44] 比如未来的GPT6或者GPT7
[00:08:44 - 00:08:46] 大家觉得只要模型足够大
[00:08:46 - 00:08:47] 参数足够多
[00:08:47 - 00:08:49] 它就能直接接管我们的股票账户
[00:08:49 - 00:08:51] 帮我们在睡梦中赚钱
[00:08:51 - 00:08:53] 但桥水和Alpha Arena的实验
[00:08:53 - 00:08:55] 狠狠的打了这种幻想一巴掌
[00:08:55 - 00:08:58] 事实证明通用大模型在处理这些专业任务上
[00:08:58 - 00:09:00] 性价比不如定制模型
[00:09:00 - 00:09:03] 直接用于高风险决策需要谨慎
[00:09:03 - 00:09:06] 你花大价钱去调用最顶级的API它给你的建议
[00:09:06 - 00:09:10] 可能还不如一个经过垂直领域专家数据微调
[00:09:10 - 00:09:13] 过得开放权重机座模型训练出的定制模型
[00:09:13 - 00:09:15] 大模型在通识上是不是
[00:09:15 - 00:09:17] 但在具体的专业执行上
[00:09:17 - 00:09:19] 是个眼高手低的实习生
[00:09:19 - 00:09:22] 这就引出了今天最核心的动差
[00:09:22 - 00:09:24] 这也是我希望大家看完这个视频
[00:09:24 - 00:09:26] 能带走的最有价值的四位框架
[00:09:26 - 00:09:29] AI落地的差异化智能框架
[00:09:29 - 00:09:32] 在复杂系统中真正有价值的不是算力有多大
[00:09:32 - 00:09:34] 不是模型参数有几千亿
[00:09:34 - 00:09:36] 而是领域知识的避还
[00:09:36 - 00:09:39] 通用大模型解决的是通识问题
[00:09:39 - 00:09:41] 但在高价值的垂直领域
[00:09:41 - 00:09:42] 比如金融交易
[00:09:42 - 00:09:44] 医疗诊断精密制造
[00:09:44 - 00:09:45] 真正的壁垒
[00:09:45 - 00:09:47] 是专家的判断力
[00:09:47 - 00:09:49] 未来三年真正能赚到钱
[00:09:49 - 00:09:50] 能落地的AI应用
[00:09:50 - 00:09:51] 绝对不是简单的把
[00:09:51 - 00:09:53] 拆GPT套个壳
[00:09:53 - 00:09:54] 然后卖给客户
[00:09:54 - 00:09:55] 正确的路径应该是
[00:09:55 - 00:09:56] 这样的四步法
[00:09:56 - 00:09:59] 第一 不要让AI去做宏大的决策
[00:09:59 - 00:10:00] 而是把复杂的业务流
[00:10:00 - 00:10:02] 拆解为一个个明确的
[00:10:02 - 00:10:04] 有客观评价标准的微任务
[00:10:04 - 00:10:08] 第二获取该领域最顶尖专家的真实判断数据
[00:10:08 - 00:10:10] 这是最难的一步,也是护程合锁在
[00:10:10 - 00:10:14] 没有专家数据再好的算法也是垃圾进垃圾出
[00:10:14 - 00:10:17] 第三,用这些高质量专有数据去微调一个模型
[00:10:17 - 00:10:20] 让AI掌握专家的直觉
[00:10:20 - 00:10:22] 而不是让它去背诵危机百科
[00:10:22 - 00:10:25] 第四,将这些训练好的AI
[00:10:25 - 00:10:27] 作为组件,浅入到现有的执行系统中
[00:10:27 - 00:10:30] 让人类专家保留对最后一英里的控制权
[00:10:30 - 00:10:34] 让AI去干那些繁琐但需要专业判断的苦活累活
[00:10:34 - 00:10:38] 展望未来 AI不会像科幻电影里演的那样
[00:10:38 - 00:10:39] 在某一个星期二的早晨
[00:10:39 - 00:10:42] 突然接管华尔街所有的交易服务器
[00:10:42 - 00:10:44] 它会以一种更隐蔽
[00:10:44 - 00:10:47] 更务实的方式渗透进我们的经济系统
[00:10:47 - 00:10:50] 它会先变成最不知疲倦的分析师助理
[00:10:50 - 00:10:52] 帮你过滤大量市场噪音
[00:10:52 - 00:10:54] 它会把人类专家的带宽释放出来
[00:10:54 - 00:10:58] 让人类去处理最后20%的执行和风险控制
[00:10:58 - 00:11:01] 而像丁金·米·施斯这样的创业公司的崛起
[00:11:01 - 00:11:03] 也预示着AI创业的风向彻底变了
[00:11:03 - 00:11:05] 那种拿着极业PPT
[00:11:05 - 00:11:08] 说自己要训练一个超越OpenAI的通用大模型
[00:11:08 - 00:11:11] 然后去融几亿美金的故事已经讲不下去了
[00:11:11 - 00:11:14] 未来的机会属于那些愿意深入产业泥水里
[00:11:14 - 00:11:16] 解决深度人机协作
[00:11:16 - 00:11:18] 解决因果推理硬核问题的实干家
[00:11:18 - 00:11:20] 最后送给大家一句话
[00:11:20 - 00:11:23] 在金融市场这个终极的混沌系统中
[00:11:23 - 00:11:25] AI的价值不在于用算力去预测未来
[00:11:25 - 00:11:28] 而在于精准的复制那些
[00:11:28 - 00:11:30] 经历了周期考验的人类智慧
[00:11:30 - 00:11:32] 你觉得在你的行业里有什么专家的直觉
[00:11:32 - 00:11:35] 是目前的AI无论如何都无法替代的
[00:11:35 - 00:11:37] 欢迎把你的看法打在公屏上
[00:11:37 - 00:11:39] 或者在评论区和我讨论
[00:11:39 - 00:11:40] 我是为什么叫QQ
[00:11:40 - 00:11:41] 我们下期拆解
[00:11:41 - 00:11:42] 别忘了点赞
[00:11:42 - 00:11:43] 投币收藏
[00:11:43 - 00:11:45] 一键三连
[00:11:45 - 00:11:47] 你的支持是我持续更新的最大动力
