BV号：BV1xKcmeMEY8
标题：BV1xKcmeMEY8
链接：https://www.bilibili.com/video/BV1xKcmeMEY8
识别语言：zh
语言置信度：1
分段数：294
生成时间：2026-08-30 20:12:40

[00:00:00 - 00:00:03] 大家好,这里是最佳拍档,我是大飞
[00:01:47 - 00:01:49] 指的是在高質量數據上
[00:01:49 - 00:01:51] 訓練或者微調一個基礎的語言模型
[00:01:51 - 00:01:53] 2 獎勵模型訓練
[00:01:53 - 00:01:55] 是收集成對的輸出結果
[00:01:55 - 00:01:56] 詢問人類更喜歡哪一個
[00:01:56 - 00:01:58] 然後訓練一個獎勵模型
[00:01:58 - 00:02:00] 來接近人類的判斷
[00:02:00 - 00:02:01] 3.策略優化
[00:02:01 - 00:02:03] 通過使用類似強化學習的算法
[00:02:03 - 00:02:05] 比如說進端策略優化
[00:02:05 - 00:02:05] PPO
[00:02:05 - 00:02:07] 來調整大約模型的參數
[00:02:07 - 00:02:08] 使其產生獎勵模型
[00:02:08 - 00:02:10] 所喜歡的輸出結果
[00:02:10 - 00:02:12] 與經典的RH不同的是
[00:02:12 - 00:02:14] RHF中的環境
[00:02:14 - 00:02:15] 基本上是一個
[00:02:15 - 00:02:16] 單部的文本生成過程
[00:02:16 - 00:02:18] 和一個靜態的獎勵模型
[00:02:18 - 00:02:20] 這其中並沒有擴展循環
[00:02:20 - 00:02:22] 或者持續變化的狀態
[00:02:22 - 00:02:25] 那么为什么说RHF不是真正的R呢?
[00:02:25 - 00:02:28] 首先是单步或者几步优化的特点
[00:02:28 - 00:02:29] 在RHF中
[00:02:29 - 00:02:32] 大婴模型会基于给定的提示词来生成文本
[00:02:32 - 00:02:35] 然后由奖励模型提供一个单一的偏号分数
[00:02:35 - 00:02:38] 因此RHF中的强化步骤
[00:02:38 - 00:02:41] 更加类似于一步式的策略提度优化
[00:02:41 - 00:02:43] 目的是为了实现人类偏号的输出
[00:02:43 - 00:02:45] 而不是在不断变化的环境中
[00:02:45 - 00:02:48] 对状态和行动进行全面的循环
[00:02:48 - 00:02:50] 这更像是一种一捞勇一的评分
[00:02:50 - 00:02:53] 而不是让一个智能体能够随着时间推移
[00:02:53 - 00:02:54] 去探索多步行动
[00:02:54 - 00:02:56] 并且接受反馈的环境
[00:02:56 - 00:03:00] 其次是训练过程大多是离线或者半离线的
[00:03:00 - 00:03:03] 奖励模型通常是在人类标签的数据上进行离线训练
[00:03:03 - 00:03:05] 然后用来更新模型的策略
[00:03:05 - 00:03:08] 同样大模型在线调整策略的时候
[00:03:08 - 00:03:11] 也并没有实时去探索连续的环境循环
[00:03:11 - 00:03:14] 第三是缺乏基于环境的长期目标
[00:03:14 - 00:03:16] 在经典RH中的智能体
[00:03:16 - 00:03:18] 会追踪多个状态下的长期回报
[00:03:18 - 00:03:21] 而相比之下,基于ROHF的模型训练
[00:03:21 - 00:03:25] 则更加测重于根据人类偏好调整及时的文本输出
[00:03:25 - 00:03:29] 也就是说模型并没有在一个动态的环境中去执行多个步骤
[00:03:29 - 00:03:33] 第四,只有表面约束,缺少真正的内部目标
[00:03:33 - 00:03:36] ROHF可以有效的影响某些输出的概率
[00:03:36 - 00:03:38] 从而引导模型远离不受欢迎的文本
[00:03:39 - 00:03:43] 但是模型内部并没有形成产生这些输出的愿望或者说欲望
[00:03:43 - 00:03:46] 它仍然只是一个生成下一个token的统计系统
[00:03:46 - 00:03:51] 需要明确的是,无论是RHF、SFT还是其他的方法
[00:03:51 - 00:03:55] 大语研模型都不是为了真正的目标或者是意图而训练的
[00:03:55 - 00:03:59] 大语研模型的核心是根据给定的上下文来预测下一个token
[00:03:59 - 00:04:04] 他们的动机纯粹是为了最大限度的提高下一个token的正确率
[00:04:04 - 00:04:07] 而这个过程并不存在主观上的愿望或者意图
[00:04:07 - 00:04:11] 我们常说AlphaZero想要在国际象棋中获胜
[00:04:11 - 00:04:13] 但是这其实只是一种比喻式的说法
[00:04:13 - 00:04:14] 从内部来说
[00:04:14 - 00:04:17] alpha-zero只是在最大化数学奖励函数
[00:04:17 - 00:04:19] 并没有任何感觉上的欲望
[00:04:19 - 00:04:22] 同样经过RHF调整的大圆模型
[00:04:22 - 00:04:25] 也是在最大化对其奖励信号
[00:04:25 - 00:04:27] 并没有内心的渴望状态
[00:04:27 - 00:04:29] 亚利桑那周力大学的计算机科学教授
[00:04:29 - 00:04:31] 苏巴拉奥坎巴姆沛地指出
[00:04:31 - 00:04:34] RHF其实有点名不符实
[00:04:34 - 00:04:36] 因为它将从人类判断中学习偏好
[00:04:36 - 00:04:38] 或者奖励模型的过程
[00:04:38 - 00:04:40] 与一部或者几部的策略优化相结合
[00:04:40 - 00:04:43] 而不是像经典强化学习中那样
[00:04:43 - 00:04:45] 具有典型的长期迭代交互
[00:04:45 - 00:04:49] 而且即使RHF从人类数据中学习偏傲的方式
[00:04:49 - 00:04:52] 会让人联想到逆强化学习ARL
[00:04:52 - 00:04:55] 它也不是分析专家行为会如何随着时间变化的经典方案
[00:04:55 - 00:05:01] 相反RHF更加测重于人类对于最终或者是短序列输出的静态判断
[00:05:01 - 00:05:04] 那么像Svelin COT过程讲一模型PRM
[00:05:04 - 00:05:07] 或者是多智能体工作流等方法
[00:05:07 - 00:05:09] 有助于解决RHF的问题吗?
[00:05:09 - 00:05:12] 我们先来看基于流程的讲列模型和Svelin
[00:05:12 - 00:05:16] 基于流程的奖励模型可能会对中间的推理步骤提供反馈
[00:05:16 - 00:05:19] 而不是仅仅根据最终的输出来提供奖励
[00:05:19 - 00:05:22] 这样做的目的是鼓励模型以更加易于解释
[00:05:22 - 00:05:25] 正确率更高或者更符合特定标准的方式
[00:05:25 - 00:05:27] 来解释或者是展示推理的过程
[00:05:27 - 00:05:30] 但是难道这就是真正的RO了吗
[00:05:30 - 00:05:31] 事实并非如此
[00:05:31 - 00:05:34] 因为即使你为中间步骤分配了部分的奖励
[00:05:34 - 00:05:35] 比如说COT解释
[00:05:35 - 00:05:38] 你仍然会将整个推理过程输入到奖励模型
[00:05:38 - 00:05:39] 以此来获得奖励
[00:05:39 - 00:05:42] 然后进行下一步的策略优化
[00:05:42 - 00:05:44] 而不是在一个动态的环境中
[00:05:44 - 00:05:46] 让大模型自己去尝试部分的推理步骤
[00:05:46 - 00:05:48] 获得反馈 进行调整
[00:05:48 - 00:05:50] 并且进行开放式的循环
[00:05:50 - 00:05:52] 因此 虽然COT和PRM
[00:05:52 - 00:05:54] 会给人一种多步骤RO的错觉
[00:05:54 - 00:05:58] 但实际上它仍然相当于对文本生成和推理步骤
[00:05:58 - 00:06:00] 进行离线或者近似离线的策略调整
[00:06:00 - 00:06:04] 而不是经电RO中持续的智能体环境循环
[00:06:04 - 00:06:07] 同样 多智能体工作流也不会创建出意图
[00:06:07 - 00:06:10] 虽然你可以在工作流中协调多个大模型一起工作
[00:06:10 - 00:06:12] 但是从内部来看
[00:06:12 - 00:06:15] 每个大模型仍然是根据下一个token的概率来生成文本的
[00:06:15 - 00:06:19] 尽管这样的多智能体流程可以表现出看似协调
[00:06:19 - 00:06:21] 或者是有目的的涌现行为
[00:06:21 - 00:06:23] 但是它并没有赋予单个模型
[00:06:23 - 00:06:25] 任何内在或者秉持的目标
[00:06:25 - 00:06:28] 之所以多智能体工作流常常看起来显得有意图
[00:06:28 - 00:06:34] 是因为人类会自然而然地将心理状态投射到行为看似有目的的系统上
[00:06:34 - 00:06:36] 这就是所谓的意图立场
[00:06:36 - 00:06:39] 但是实际上每个智能体只是在对提示词做出响应
[00:06:39 - 00:06:43] 它背后的思维链并不等同于个人欲望或者是驱动力
[00:06:43 - 00:06:47] 只是一个更复杂的多步骤的提示反馈回路而已
[00:06:47 - 00:06:51] 因此 虽然多智能体协调可以产生解决新任务的能力
[00:06:51 - 00:06:53] 但是大模型本身仍然不会产生
[00:06:53 - 00:06:55] 我想要这个结果的动机
[00:06:55 - 00:06:59] 那为什么至今还没有人用真正的I-O来训练大圆模型呢
[00:06:59 - 00:07:01] 答案就是因为太贵了
[00:07:01 - 00:07:04] 大型语言的经典I-O需要一个稳定交互式的环境
[00:07:04 - 00:07:07] 外加大量的计算来运行重复的步骤
[00:07:07 - 00:07:09] 每个训练周期的前向传递次数
[00:07:09 - 00:07:12] 对于今天的10亿参数的模型来说过于昂贵
[00:07:12 - 00:07:15] 其次文文生成并不是一个天然的
[00:07:15 - 00:07:17] 可以从状态转换到动作的环境
[00:07:17 - 00:07:19] 虽然我们可以尝试将它包装成
[00:07:19 - 00:07:21] 类似于游戏的模拟环境
[00:07:21 - 00:07:24] 但是这样就必须为多步骤的文文交互
[00:07:24 - 00:07:25] 去定义奖励结构
[00:07:25 - 00:07:27] 而这并不是一件容易的事情
[00:07:27 - 00:07:29] 第三就是一有方法的性能
[00:07:29 - 00:07:30] 其实已经足够好了
[00:07:30 - 00:07:32] 在很多情况下
[00:07:32 - 00:07:34] ROHF或者直接偏好优化DPU
[00:07:34 - 00:07:37] 已经能够产生足够好的对期效果了
[00:07:37 - 00:07:38] 时事求是的说
[00:07:38 - 00:07:41] 大多数的团队都会选择使用更简单的离线方法
[00:07:41 - 00:07:43] 而不是去建立一个复杂的R管道
[00:07:43 - 00:07:46] 用巨大的成本来换取微步足道的收益
[00:07:47 - 00:07:48] 那么目前来看
[00:07:48 - 00:07:51] 最接近的能给模型一个目标的方法是什么呢
[00:07:51 - 00:07:52] 在作者看来
[00:07:52 - 00:07:54] 最接近的方法就是使用提示工程
[00:07:54 - 00:07:57] 或者将多个提示词串联成一个循环
[00:07:57 - 00:07:59] 来构建一个圆系统或者智能体
[00:08:00 - 00:08:03] 比如说像AutoGBT或者BabyAGA这样的工具
[00:08:03 - 00:08:06] 就在试图模拟一个能够接收自然语言目标
[00:08:06 - 00:08:08] 反复计划推理和提示自己
[00:08:08 - 00:08:11] 然后评估进展并且完善计划的智能体
[00:08:11 - 00:08:13] 不过所有这些对目标的保持
[00:08:13 - 00:08:15] 仍然都是在系统层面进行的
[00:08:16 - 00:08:18] 而不是从模型的内部动机状态出发
[00:08:19 - 00:08:22] 模型本身仍然是被动的对提示词作出反应
[00:08:22 - 00:08:23] 缺乏内在的欲望
[00:08:23 - 00:08:25] 另外一个穷人的解决方案
[00:08:25 - 00:08:27] 就是之前提到的多智能体方案
[00:08:27 - 00:08:31] 但是同样目标也是由工作流和提示词从外部协调的
[00:08:31 - 00:08:35] 模型本身不会自发生成或者坚持自己的目标
[00:08:35 - 00:08:36] 接下来的一个问题是
[00:08:36 - 00:08:38] 如果模型沒有真正的目標
[00:08:38 - 00:08:40] 會帶來什麼樣的後果呢
[00:08:40 - 00:08:42] 首先是被簡化的對齊
[00:08:42 - 00:08:44] 由於模型沒有真正追逐個體目標
[00:08:44 - 00:08:46] 所以他們不太可能繞過限制
[00:08:46 - 00:08:48] 或者自主計劃非法的行為
[00:08:48 - 00:08:50] Answerpig最近發表了一篇論文
[00:08:50 - 00:08:52] 揭示了Cloud的違對齊立
[00:08:52 - 00:08:54] 竟然能夠高達78%
[00:08:54 - 00:08:57] 其次是更難以委派開放式的任務
[00:08:57 - 00:08:59] 如果我們希望AI能夠自發的
[00:08:59 - 00:09:00] 去發現新問題
[00:09:00 - 00:09:02] 自己去積極的收集資源
[00:09:02 - 00:09:03] 並且堅持幾個月的時間
[00:09:03 - 00:09:04] 來解決這些問題
[00:09:04 - 00:09:06] 我們就需要一個具有持續
[00:09:06 - 00:09:07] 内区力的系统
[00:09:07 - 00:09:09] 类似于真正的RO智能体
[00:09:09 - 00:09:10] 或者是高级规划系统
[00:09:11 - 00:09:13] 而目前的大原模型是无法以这种方式
[00:09:13 - 00:09:15] 来实现真正的自我驱动的
[00:09:15 - 00:09:17] 第三就是措施潜在的创新
[00:09:18 - 00:09:20] 在丰富的RO环境中进行自由的探索
[00:09:20 - 00:09:22] 可能会产生惊人的发现
[00:09:22 - 00:09:25] 如果依赖于只有表面反馈的单部文本生成
[00:09:25 - 00:09:27] 我们可能会错过多部奖励优化
[00:09:27 - 00:09:28] 所带来的全新策略
[00:09:29 - 00:09:31] 不过作者也提出了ROHF的积极一面
[00:09:31 - 00:09:33] 那就是没有持续目标的奖励
[00:09:33 - 00:09:35] 在某些方面可能会更加透明
[00:09:35 - 00:09:38] 因为它本质上是由一个及时反馈信号引导的
[00:09:38 - 00:09:40] 强大的下部token预测器
[00:09:40 - 00:09:44] 所以没有多不走R2循环中会出现的复杂的隐藏目标
[00:09:44 - 00:09:49] 在这里作者又再次强调R2HF等方法与真正的R2的关键区别
[00:09:49 - 00:09:51] 其实在于时间跨度
[00:09:51 - 00:09:53] 简单来说前者是短期优化
[00:09:53 - 00:09:55] 而后者是长期优化
[00:09:55 - 00:09:59] 除此以外R2还会经常假定有一个定义明确的行动空间
[00:09:59 - 00:10:01] 而在大圆模型的微调中
[00:10:01 - 00:10:02] 动作的概念是模糊的
[00:10:02 - 00:10:04] 通常会被直接参数更新
[00:10:04 - 00:10:06] 或者是被生成的token所取代
[00:10:06 - 00:10:07] 另外
[00:10:07 - 00:10:10] 二者在奖励和目标之间也存在着区别
[00:10:10 - 00:10:11] 原则上
[00:10:11 - 00:10:14] RO的奖励是指导智能体学习过程的信号
[00:10:14 - 00:10:16] 而不总是明确的最终目标
[00:10:16 - 00:10:18] 好的RO通常会使用一级的奖励信号
[00:10:18 - 00:10:20] 来引导中间状态
[00:10:20 - 00:10:22] 从而帮助智能体更有效的学习
[00:10:22 - 00:10:24] 而对于ROHF而言
[00:10:24 - 00:10:27] 奖励通常是在单步或者几步过程中进行的
[00:10:27 - 00:10:29] 因此模型从来没有真正形成
[00:10:29 - 00:10:31] 长期目标的内在表征
[00:10:31 - 00:10:36] 他们只是根据讲力模型或者是偏号含述来优化及时的文本输出
[00:10:36 - 00:10:42] 总而言之,RHF,DPO,宪法AI和其他受到RL启发的微调方法
[00:10:42 - 00:10:45] 有助于让大圆模型更加一致和有用
[00:10:45 - 00:10:48] 他们能够让我们利用人类的偏号来塑造输出
[00:10:48 - 00:10:51] 减少有毒的内容并且引导模型的响应风格
[00:10:51 - 00:10:55] 不过这些技术并不能够为模型提供真正的长期目标、内部动机
[00:10:55 - 00:10:58] 或者是经典RLE以上的意图
[00:10:58 - 00:11:01] 大圆模型仍然只是一个复杂的下个token预测器
[00:11:01 - 00:11:03] 而不是一个真正自主的智能体
[00:11:03 - 00:11:04] 作者提醒
[00:11:04 - 00:11:06] 作为行业的从业者
[00:11:06 - 00:11:07] 应该意识到这些局限性
[00:11:07 - 00:11:09] 不要高估模型的自主性
[00:11:09 - 00:11:11] 而对于政策的制定者和伦理学家
[00:11:11 - 00:11:12] 应该认识到
[00:11:12 - 00:11:14] 模型不可能自发的策划
[00:11:14 - 00:11:16] 或者撒谎来达到隐藏的目的
[00:11:16 - 00:11:19] 除非是被提示词引导着模仿这种行为
[00:11:19 - 00:11:20] 反过来说
[00:11:20 - 00:11:22] 如果未来的系统真的结合了
[00:11:22 - 00:11:24] 就大规模计算和动态环境的
[00:11:24 - 00:11:25] 真正意义的RO
[00:11:25 - 00:11:27] 那么我们可能会看到更多
[00:11:27 - 00:11:29] 类似于智能体的涌现行为
[00:11:29 - 00:11:31] 也會引發新的一致性和安全問題
[00:11:31 - 00:11:35] 展望未來ROHF的發展方向可能有三個
[00:11:35 - 00:11:37] 分別是更高的樣本複雜度
[00:11:37 - 00:11:38] 更長期的多步軸任務
[00:11:38 - 00:11:41] 以及通過結構化符號化的反饋
[00:11:41 - 00:11:42] 將人類的細微目標
[00:11:42 - 00:11:44] 更加有效的傳達給人工智能系統
[00:11:45 - 00:11:45] 好了
[00:11:45 - 00:11:47] 以上就是對這篇文章的解讀了
[00:11:47 - 00:11:49] 對於任何有強化學習支持背景的人來說
[00:11:49 - 00:11:51] 文章的觀點可能並不吸引
[00:11:51 - 00:11:53] 但是對於不了解AI的人來說
[00:11:53 - 00:11:55] 還是一個不錯的科普介紹
[00:11:55 - 00:11:56] 感謝大家的觀看
[00:11:56 - 00:11:57] 我們下期再見
