BV号：BV1ZjzbBrEpe
标题：BV1ZjzbBrEpe
链接：https://www.bilibili.com/video/BV1ZjzbBrEpe
识别语言：zh
语言置信度：1
分段数：193
生成时间：2026-08-29 21:44:52

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 想象一下
[00:01:30 - 00:01:32] 成为他人生的一个重要转折点
[00:01:32 - 00:01:34] 艾尔德时没有以长者自居
[00:01:34 - 00:01:36] 而是向对待一位同龄人般
[00:01:36 - 00:01:37] 与他平等交流
[00:01:37 - 00:01:39] 更令人动容的是
[00:01:39 - 00:01:42] 离开后艾尔德时还特意寄来明信片
[00:01:42 - 00:01:43] 感谢陶哲轩的招待
[00:01:43 - 00:01:45] 并附上了一个数学问题
[00:01:45 - 00:01:47] 这份真诚的尊重与平等
[00:01:47 - 00:01:49] 深深照亮了年幼的陶哲轩
[00:01:49 - 00:01:51] 而今天我们要讲的故事
[00:01:51 - 00:01:53] 就源于艾尔德时留下的那个问题
[00:01:53 - 00:01:56] 这个问题被称为埃尔德时差异问题
[00:01:56 - 00:01:58] 想象一个无限长的序列
[00:01:58 - 00:02:00] 其中每个元素只能是加一或负一
[00:02:00 - 00:02:03] 如果我们随机生成这样一个序列
[00:02:03 - 00:02:06] 任何有限端的元素和通常会接近于零
[00:02:06 - 00:02:07] 保持一定的平衡
[00:02:07 - 00:02:09] 但埃尔德时提出的问题是
[00:02:09 - 00:02:11] 能否人为的精心构造一个序列
[00:02:11 - 00:02:14] 使得它在任何尺度上都保持完美的平衡
[00:02:14 - 00:02:15] 2015年
[00:02:15 - 00:02:18] 数学家陶哲轩证明了答案是否定的
[00:02:18 - 00:02:21] 无论你如何费尽心思的设计这个序列
[00:02:21 - 00:02:24] 只要它足够长,总会存在一个等差子序列
[00:02:24 - 00:02:26] 比如每个固定部长取出的元素
[00:02:26 - 00:02:29] 奇磊机和及差异
[00:02:29 - 00:02:32] 会无界的增大,最终趋向无穷大
[00:02:32 - 00:02:34] 这个深刻的结论结实了一个道理
[00:02:34 - 00:02:38] 绝对的秩序是无法实现的混乱在本质上不可避免
[00:02:38 - 00:02:40] 好,现在我们进入一个更加
[00:02:40 - 00:02:42] 反直觉的领域
[00:02:42 - 00:02:43] 高为空间
[00:02:43 - 00:02:47] 我们对世界的理解依赖于三维空间的直觉
[00:02:47 - 00:02:50] 但在高为空间中,这种直觉会彻底失效
[00:02:50 - 00:02:52] 比如一个立方体内的最大球体
[00:02:52 - 00:02:55] 在三维球占据了立方体的大约一半体积
[00:02:55 - 00:02:57] 但在一千维的空间中
[00:02:57 - 00:02:59] 那个内切的超球体的体积
[00:02:59 - 00:03:03] 相对于超立方体来说几乎是微乎其微的
[00:03:03 - 00:03:05] 高维空间的大部分体积都集中在角落里
[00:03:05 - 00:03:07] 而不是中心
[00:03:07 - 00:03:09] 这就是为什么在处理高维数据时
[00:03:09 - 00:03:11] 我们的直觉往往会误导我们
[00:03:11 - 00:03:12] 更离谱的还在后面
[00:03:12 - 00:03:14] 吉姆 希蒙斯
[00:03:14 - 00:03:15] 对 就是那个创立了
[00:03:15 - 00:03:17] 文艺复兴科技公司的数学家
[00:03:17 - 00:03:19] 他研究极小曲面
[00:03:19 - 00:03:22] 就像肥皂膜一样总是保持最小的面积
[00:03:22 - 00:03:25] 在三维空间肥皂膜总是光滑的
[00:03:25 - 00:03:27] 但当西蒙斯研究到第八维时
[00:03:27 - 00:03:29] 他发现了一个惊人的结构
[00:03:29 - 00:03:30] 西蒙斯追
[00:03:30 - 00:03:33] 这是一个有尖锐顶点的追体
[00:03:33 - 00:03:34] 却是一个稳定的极小曲面
[00:03:34 - 00:03:38] 在八维空间那个尖点无法被平滑化
[00:03:38 - 00:03:39] 它是极其稳定的
[00:03:39 - 00:03:42] 这完全颠覆了低维空间的直觉
[00:03:42 - 00:03:44] 让我给你们看一个更直观的例子
[00:03:44 - 00:03:48] 在三维空间内切球站立方体体积的约50%
[00:03:48 - 00:03:51] 但随着维度增加这个比例急剧下降
[00:03:51 - 00:03:53] 在10维球只占1%
[00:03:53 - 00:03:56] 在100维球占0.001%
[00:03:56 - 00:03:59] 在1000维球的体积相对于超力房体来说
[00:03:59 - 00:04:03] 几乎是0,这就是所谓的维度组织
[00:04:03 - 00:04:05] 这就是为什么AI在处理高维数据时
[00:04:05 - 00:04:08] 传统的三维直觉会完全失效
[00:04:08 - 00:04:10] 我们需要数学证明,而不是直觉
[00:04:10 - 00:04:12] 在直觉失效的黑暗森林中
[00:04:12 - 00:04:15] 数学证明是我们唯一可靠的指南阵
[00:04:15 - 00:04:18] 它不依赖于我们的感觉或直觉
[00:04:18 - 00:04:20] 而是基于严谨的逻辑推导
[00:04:20 - 00:04:23] 当我们面对高维空间复杂系统或未知领域时
[00:04:23 - 00:04:26] 只有数学证明能够给我们确定性和可靠性
[00:04:26 - 00:04:29] 这就是为什么数学在科学中如此重要
[00:04:29 - 00:04:33] 而现在我们要回到开头那个定时炸弹的问题
[00:04:33 - 00:04:36] 现代密码学特别是RSA加密依赖于一个假设
[00:04:36 - 00:04:38] 速数的分布是萎随机的
[00:04:38 - 00:04:40] 没有简单的规律可寻
[00:04:40 - 00:04:42] 你的密码是这样工作的
[00:04:42 - 00:04:45] 选两个超级大的速数p和q把他们乘起来得到n
[00:04:45 - 00:04:47] n是公开的
[00:04:47 - 00:04:49] 但P和Q是保密的
[00:04:49 - 00:04:51] 如果有人想破解你的密码
[00:04:51 - 00:04:53] 他们必须把N分解成P和Q
[00:04:53 - 00:04:56] 但如果N足够大这个分解过程需要的时间
[00:04:56 - 00:04:58] 比宇宙的年龄还要长
[00:04:58 - 00:05:01] 关键是我们从未证明过速数没有规律
[00:05:01 - 00:05:03] 我们实际上是在用人类知识
[00:05:03 - 00:05:05] 等盲区来保护我们的秘密
[00:05:05 - 00:05:07] 这就是那颗定时炸弹
[00:05:07 - 00:05:10] 如果有一天某个天才或者一个强大的AI
[00:05:10 - 00:05:11] 通过分析海量数据
[00:05:11 - 00:05:14] 真的发现了隐藏在速数背后的深层结构
[00:05:14 - 00:05:15] 那会怎样
[00:05:15 - 00:05:19] 这意味着我们所有的数字锁都可以在瞬间被破解
[00:05:19 - 00:05:22] 整个现代密码体系可能会在一夜之间轰然倒塌
[00:05:22 - 00:05:23] 我们的银行账户
[00:05:23 - 00:05:25] 加密通信、数字身份
[00:05:25 - 00:05:26] 一切都会暴露
[00:05:26 - 00:05:28] 这不是科幻小说
[00:05:28 - 00:05:29] 这是一个真实存在的风险
[00:05:29 - 00:05:32] 那么AI真的有可能做到这一点吗
[00:05:32 - 00:05:35] 陶哲轩对现在的大语言模型
[00:05:35 - 00:05:36] 有一个非常清醒的认识
[00:05:36 - 00:05:40] 他认为AI在数学上更像一个非常薄学的傻瓜
[00:05:40 - 00:05:43] 他可以快速帮你找到相关的文献和公式
[00:05:43 - 00:05:45] 但他自己并不真正理解数学
[00:05:45 - 00:05:48] 他在做数学推理时经常会犯一些非常可笑的
[00:05:48 - 00:05:51] 连人类初学者都不会犯的错误
[00:05:51 - 00:05:52] 为什么
[00:05:52 - 00:05:55] 因为它本质上是一个基于统计和模式匹配的系统
[00:05:55 - 00:05:57] 缺乏严谨的逻辑证明能力
[00:05:57 - 00:05:59] 但这并不意味着AI没有用
[00:05:59 - 00:06:00] 恰恰相反
[00:06:00 - 00:06:03] AI正在成为数学家强大的副驾士
[00:06:03 - 00:06:07] 数学家们正在开发一种叫做形式化证明的工具
[00:06:07 - 00:06:09] 比如另语言和Isabel
[00:06:09 - 00:06:10] 你可以把你的证明思路用
[00:06:10 - 00:06:13] 计算机能懂的语言写下来
[00:06:13 - 00:06:16] 然后让AI去检查每一部逻辑是否绝对严谨
[00:06:16 - 00:06:19] AI的角色从一个试图独立思考的数学家
[00:06:19 - 00:06:23] 变成了一个不知疲倦绝对忠诚的逻辑和查源
[00:06:23 - 00:06:25] 这种合作模式有什么好处
[00:06:25 - 00:06:28] AI将人类从反手的验证工作中解放出来
[00:06:28 - 00:06:33] 数学家可以专注于提出那些充满动查力和创造力的大点子
[00:06:33 - 00:06:36] 而AI负责检查每一部的逻辑是否无懈可击
[00:06:36 - 00:06:39] 这种合作模式可能会加速数学的发展
[00:06:39 - 00:06:42] 形式化证明不仅能验证现有的定理
[00:06:42 - 00:06:45] 还能帮助发现新的数学结构和规律
[00:06:45 - 00:06:48] 人类的直觉加上AI的严谨这才是未来
[00:06:48 - 00:06:50] 所以回到我们最初的问题
[00:06:50 - 00:06:51] AI会终结数学吗?
[00:06:51 - 00:06:53] 陶哲轩的答案是不会
[00:06:53 - 00:06:55] AI正在重塑我们研究数学的方式
[00:06:55 - 00:06:58] 但它无法取代人类的直觉创造力
[00:06:58 - 00:07:02] 以及那种面对宇宙终极奥秘时最纯粹的好奇心
[00:07:02 - 00:07:04] 素素的秘密依然隐藏在迷雾之中
[00:07:04 - 00:07:07] 那颗定时炸弹也依然在低大作响
[00:07:07 - 00:07:09] 但现在我们有了一个新的、强大的盟友
[00:07:09 - 00:07:12] 最后我想把那个终极的哲学问题留给大家
[00:07:12 - 00:07:15] 数学这个能描述宇宙万物的普世语言
[00:07:15 - 00:07:17] 它究竟是像山峰一样
[00:07:17 - 00:07:19] 本来就在那里等待我们去发现
[00:07:19 - 00:07:21] 还是像工具一样
[00:07:21 - 00:07:24] 是我们为了理解世界而自己发明出来的
[00:07:24 - 00:07:26] 好了 今天的内容就到这里
[00:07:26 - 00:07:28] 感谢收看 我是为什么叫QQ
[00:07:28 - 00:07:30] 如果你对AI
[00:07:30 - 00:07:33] 数学和我们这个世界的底层逻辑感兴趣
[00:07:33 - 00:07:34] 别忘了点赞投币加关注
[00:07:34 - 00:07:37] 我们下期再聊点更硬核的
[00:07:37 - 00:07:37] 拜拜
