BV号：BV1Hy5F6VEhg
标题：BV1Hy5F6VEhg
链接：https://www.bilibili.com/video/BV1Hy5F6VEhg
识别语言：zh
语言置信度：1
分段数：163
生成时间：2026-08-29 17:46:32

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 现在很多程序员都在焦虑
[00:03:56 - 00:03:57] 很多开发者觉得
[00:03:57 - 00:03:58] 只要我技术够硬
[00:03:58 - 00:04:02] 懂各种最新的框架我就能不被淘汰
[00:04:02 - 00:04:05] 但FDE的爆火告诉我们主流认知错了
[00:04:05 - 00:04:07] AI时代真正值钱的人
[00:04:07 - 00:04:09] 绝对不是站在模型旁边鼓掌的人
[00:04:09 - 00:04:11] 而是能把模型带进业务现场
[00:04:11 - 00:04:13] 再把现场变成系统能力的人
[00:04:13 - 00:04:14] 企业搞AI
[00:04:14 - 00:04:16] 不是为了让某一个员工变得更聪明
[00:04:16 - 00:04:18] 而是为了让整个组织
[00:04:18 - 00:04:20] 不再那么依赖某几个聪明人
[00:04:20 - 00:04:23] 这才是FDE能拿到高薪的核心逻辑
[00:04:23 - 00:04:23] 那么
[00:04:23 - 00:04:26] 如果你是一个普通的软件工程师
[00:04:26 - 00:04:29] 或者产品经理怎么在30天内做出
[00:04:29 - 00:04:30] FDE面试作品级
[00:04:30 - 00:04:32] 这里有一套底层逻辑
[00:04:32 - 00:04:34] 如果你是咨询顾问或者产品经理
[00:04:34 - 00:04:36] 你的短板是工程能力
[00:04:36 - 00:04:37] 别让AI替你理解技术
[00:04:37 - 00:04:39] 否则面试医疗就穿帮
[00:04:39 - 00:04:41] 你需要用作品级来补齐
[00:04:41 - 00:04:43] 比如做一个能跑通你前公司
[00:04:43 - 00:04:45] 某个完整流程的生产机Agent
[00:04:46 - 00:04:49] 或者写一个面向特定行业数据级的RAG管道
[00:04:49 - 00:04:50] 如果你是软件工程师
[00:04:50 - 00:04:52] 你的短板是沟通
[00:04:52 - 00:04:54] 你必须能把每个组件
[00:04:54 - 00:04:56] 技术选心商业结果讲得清清楚楚
[00:04:56 - 00:04:57] 你要能回答
[00:04:57 - 00:04:59] 你为什么解决这个痛点
[00:04:59 - 00:05:01] 真实客户场景里这套系统会怎么运转
[00:05:01 - 00:05:04] 技术只是手段定义问题和落地避还才是壁垒
[00:05:05 - 00:05:06] 预测一下未来的趋势
[00:05:06 - 00:05:09] 前沿的AI公司比如Anthropic和OpenAI
[00:05:10 - 00:05:11] 在企业业务上都在尝试
[00:05:11 - 00:05:16] 一种类似模型软件主体加服务交付层的双层结构
[00:05:16 - 00:05:20] 他们借助PE资寻公司和系统集成伙伴的资本与客户网络
[00:05:20 - 00:05:23] 放大FD交付模式这意味着什么
[00:05:23 - 00:05:25] 这不是说不找资寻公司啊
[00:05:25 - 00:05:29] 而是AI公司开始把自己的工程资源欠入交付层和资寻公司
[00:05:29 - 00:05:31] 形成新的分工
[00:05:31 - 00:05:34] 未来的技术服务市场不再是简单的SAS售卖
[00:05:34 - 00:05:36] 表面上是派人去服务
[00:05:36 - 00:05:38] 底层是用产品解决问题
[00:05:38 - 00:05:39] 最后按结果来定价
[00:05:39 - 00:05:41] 这个市场才刚刚爆发
[00:05:41 - 00:05:44] 对既懂代码有懂业务的复合性人才的需求
[00:05:44 - 00:05:45] 汇成指数级增长
[00:05:45 - 00:05:46] 总结一句话
[00:05:46 - 00:05:48] 不是把AI讲得更悬
[00:05:48 - 00:05:50] 而是把业务问得更清楚
[00:05:50 - 00:05:52] 在这个智能商品化的时代
[00:05:52 - 00:05:55] 你准备好从一个纯粹的代码编写者
[00:05:55 - 00:05:58] 变成一个解决复杂商业问题的FDE了吗
[00:05:58 - 00:05:59] 你觉得目前你的工作流利
[00:05:59 - 00:06:02] 哪个环节最适合引入agent
[00:06:02 - 00:06:03] 欢迎在评论区和我讨论
[00:06:03 - 00:06:06] 如果你觉得这期视频对你有启发
[00:06:06 - 00:06:07] 别忘了点赞投币收藏
[00:06:07 - 00:06:09] 我是为什么叫QQ
[00:06:09 - 00:06:10] 我们下期见
