BV号：BV1yyrYYjEQi
标题：BV1yyrYYjEQi
链接：https://www.bilibili.com/video/BV1yyrYYjEQi
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-08-30 20:38:46

[00:00:00 - 00:00:02] 大家好 這裡是最佳拍檔 我是大飛
[00:00:02 - 00:00:05] 最近在第六屆國際分布式人工智能會議
[00:01:46 - 00:01:47] 不断适应新环境的agent
[00:01:47 - 00:01:50] 那么这些问题显然就无法回避
[00:01:50 - 00:01:51] 首先根据塞端教授团队
[00:01:51 - 00:01:53] 在Nature杂志上发表的论文内容
[00:01:53 - 00:01:57] 深度学习在持续监督学习中会失去可塑性
[00:01:57 - 00:01:59] 以经典的EmergentNet数据库为例
[00:01:59 - 00:02:01] 它包含了数百万张
[00:02:01 - 00:02:03] 涵盖了1000多个类别的名词图片
[00:02:03 - 00:02:05] 每个类别至少有700张图片
[00:02:05 - 00:02:08] 因此在这个数据库上进行的实验
[00:02:08 - 00:02:10] 可以清晰的解释出问题所在
[00:02:10 - 00:02:12] 研究人员做了这样一个实验
[00:02:12 - 00:02:15] 要求实行网络区分鱼和吉他这两个类别
[00:02:15 - 00:02:17] 当区分任务接近于完成的时候
[00:02:17 - 00:02:19] 又让网络忘记之前学习到的内容
[00:02:19 - 00:02:21] 转而去区分另外两个类别
[00:02:21 - 00:02:23] 如此循环网附
[00:02:23 - 00:02:24] 在这个过程中
[00:02:24 - 00:02:26] 严经人员通过测试级和训练级
[00:02:26 - 00:02:27] 来衡量网络的性能
[00:02:27 - 00:02:30] 也就是计算测试级中正确分类的百分比
[00:02:30 - 00:02:32] 并且在多次运行中取平均值
[00:02:32 - 00:02:35] 同时不断改变测试级中的配对组合
[00:02:35 - 00:02:36] 实验结果显示
[00:02:36 - 00:02:38] 在测试级上
[00:02:38 - 00:02:40] 当不长设置为100的时候
[00:02:40 - 00:02:42] 正确率大约为89%
[00:02:42 - 00:02:43] 如果减小不长
[00:02:43 - 00:02:45] 出水性能虽然可能会稍微差一点
[00:02:45 - 00:02:46] 但是在后续任务中
[00:02:46 - 00:02:48] 能够展现出一定的改进空间
[00:02:48 - 00:02:50] 然而随着任务数量的增加
[00:02:50 - 00:02:54] 學習率和可塑性在早期任務中雖然有時會提高
[00:02:54 - 00:02:57] 但是長期來看卻會呈現出明顯的下降趨勢
[00:02:57 - 00:02:59] 到了第2000個任務的時候
[00:02:59 - 00:03:01] 性能表現已經相當糟糕
[00:03:01 - 00:03:03] 甚至比直接從像素到類別
[00:03:03 - 00:03:05] 進行簡單線性處理的機線方法還差
[00:03:05 - 00:03:06] 儘管通過一些算法
[00:03:06 - 00:03:10] 比如說對大權中進行懲罰的L2證則化
[00:03:10 - 00:03:12] 以及在權重中加入隨機變化
[00:03:12 - 00:03:14] 並且結合L2證則化的方法
[00:03:14 - 00:03:17] 在某些情況下能夠取得一定的積極效果
[00:03:17 - 00:03:19] 但是深度學習在持續學習過程中的
[00:03:19 - 00:03:21] 可塑性丧失问题依然严峻
[00:03:22 - 00:03:24] 其次除了在持续监督学习中的问题
[00:03:24 - 00:03:27] 深度学习在长时间的强化学习中
[00:03:27 - 00:03:29] 也可能会出现崩溃的现象
[00:03:29 - 00:03:31] 以控制蚂蚁运动的任务为例
[00:03:31 - 00:03:33] 研究人员试图让模拟蚂蚁
[00:03:33 - 00:03:36] 通过控制8个关节来实现向前行走
[00:03:36 - 00:03:38] 并且根据蚂蚁的前进速度给予奖励
[00:03:39 - 00:03:40] 向后滑动则给予惩罚
[00:03:41 - 00:03:43] 在数百万个时间长度的训练过程中
[00:03:43 - 00:03:45] 使用标准的PPU强化学习算法时
[00:03:45 - 00:03:49] 起初蚂蚁还能够很好的学习并且快速的向前移动
[00:03:49 - 00:03:51] 但是随着训练的持续进行
[00:03:51 - 00:03:53] 它的移动能力开始逐渐退化
[00:03:53 - 00:03:55] 最终甚至不再快速行走 表现笨拙
[00:03:55 - 00:03:59] 奖励值也大幅的下降 甚至跌到零以下
[00:03:59 - 00:04:00] 虽然通过调整权重
[00:04:00 - 00:04:03] 能够在一定程度上延长叫好表现的时间
[00:04:03 - 00:04:05] 但是继续进行长时间的训练
[00:04:05 - 00:04:07] 仍然会出现同样的问题
[00:04:07 - 00:04:10] 不过采用LT政责化的方法时
[00:04:10 - 00:04:12] 性能能够保持稳定 不出现退化
[00:04:12 - 00:04:14] 而持续反向传播算法
[00:04:14 - 00:04:17] 则在一定程度上能够缓解这种崩溃的现象
[00:04:17 - 00:04:19] 并且随着时间的推移
[00:04:19 - 00:04:20] 表现的相对会更好
[00:04:20 - 00:04:22] 那么萨顿教授提出的
[00:04:22 - 00:04:24] 去中心化神经网络具体是什么
[00:04:24 - 00:04:26] 又是如何运作的呢
[00:04:26 - 00:04:27] 首先我们要明确
[00:04:27 - 00:04:29] 去中心化神经网络的定义
[00:04:29 - 00:04:31] 它是一个神经员所追求的目标
[00:04:31 - 00:04:34] 与整个网络目标有所不同的网络架构
[00:04:34 - 00:04:36] 不存在中央控制器
[00:04:36 - 00:04:39] 有多个执行任务的Agent或者是神经员组成
[00:04:39 - 00:04:41] 最终期望形成一个强大的智能网络
[00:04:41 - 00:04:42] 比方说
[00:04:42 - 00:04:44] 整個網絡在強化學習獎勵中
[00:04:44 - 00:04:46] 可能會致力於最大化獎勵
[00:04:46 - 00:04:48] 或者在監督學習系統中
[00:04:48 - 00:04:50] 會按照訓練級的指示
[00:04:50 - 00:04:51] 對圖像進行分類
[00:04:51 - 00:04:52] 但是單個神學員
[00:04:52 - 00:04:54] 可能有著不同的局部目標
[00:04:54 - 00:04:57] 比如說為其他神學員提供有用的信號
[00:04:57 - 00:04:58] 或者進行自我規範化
[00:04:58 - 00:05:01] 並且在一定時間內保持活躍等等
[00:05:01 - 00:05:03] 從歷史發展的角度來看
[00:05:03 - 00:05:05] 現代強化學習最初的構想
[00:05:05 - 00:05:07] 與去中進化成精網絡
[00:05:07 - 00:05:08] 有著緊密的聯繫
[00:05:08 - 00:05:10] 如果說安迪巴托和薩頓教授
[00:05:10 - 00:05:12] 是現代強化學習之父
[00:05:12 - 00:05:15] 那么A.哈里.科罗普夫则可以称为祖父
[00:05:15 - 00:05:17] 科罗普夫在他的著作《享乐主义神经元》中
[00:05:17 - 00:05:21] 提出了丹个神经元是一个寻求目标的实体的观点
[00:05:21 - 00:05:24] 他将大脑中的神经元类比为社会中的人
[00:05:24 - 00:05:26] 认为神经元会通过寻求获得兴奋
[00:05:26 - 00:05:28] 来避免自己被抑制
[00:05:28 - 00:05:29] 这种从寻求目标的组建
[00:05:29 - 00:05:32] 来构建目标寻求系统的思想
[00:05:32 - 00:05:34] 在当时是极为具有开创性的
[00:05:34 - 00:05:36] 应该说科罗普夫的这个科学贡献
[00:05:36 - 00:05:39] 为现代强化学习奠定了重要的基础
[00:05:39 - 00:05:41] 儘管強化學習的概念由來已久
[00:05:41 - 00:05:44] 比如說馬文明斯基在他的博士論文中就有所涉及
[00:05:44 - 00:05:48] 但是後來由於學術界對於代理尋求事務的想法接受度不高
[00:05:48 - 00:05:50] 所以逐漸被監督學習所掩蓋
[00:05:50 - 00:05:55] 但是科羅普夫的工作讓強化學習的思想重新受到了關注
[00:05:55 - 00:05:56] 在實際的神經網路中
[00:05:56 - 00:06:00] 神經園的活動也為去中心化神經網路的構想提供了一定的啟發
[00:06:00 - 00:06:04] 通過對培養中的真實神經園進行時間延遲攝影觀察
[00:06:04 - 00:06:07] 可以發現神經園會伸出纖維
[00:06:07 - 00:06:10] 神经元的速度和轴突末端的生长追业表示
[00:06:10 - 00:06:13] 他们在积极的尝试寻找与其他神经元的连接
[00:06:13 - 00:06:15] 并且参与到网络的构建中
[00:06:15 - 00:06:18] 至于我们设想中的神经元工作方式是相契合的
[00:06:18 - 00:06:21] 进一步支持了去中心化神经网络的理念
[00:06:21 - 00:06:23] 在去中心化神经网络中
[00:06:23 - 00:06:24] 适应是一个关键的环节
[00:06:24 - 00:06:26] 主要体现在三个层面
[00:06:26 - 00:06:29] 分别是连接线 权重和不常参数
[00:06:29 - 00:06:33] 神经元会主动伸出连接线与其他神经元建立连接
[00:06:33 - 00:06:35] 这是网络结构形成和变化的基础
[00:06:35 - 00:06:39] 全中的調整會直接影響神經元之間的信息傳遞強度
[00:06:39 - 00:06:41] 而不常參數則決定了學習的速度
[00:06:41 - 00:06:44] 對網絡的學習過程起著重要的調控作用
[00:06:44 - 00:06:46] 在傳統的深度學習中
[00:06:46 - 00:06:49] 網絡結構通常是一個固定的預設計分層結構
[00:06:49 - 00:06:51] 每個層就有特定的功能
[00:06:51 - 00:06:52] 與之不同的是
[00:06:52 - 00:06:56] 去中心化神經網絡更傾向於自然生長的方式
[00:06:56 - 00:06:59] 從簡單的輸出單元和少量的傳感器輸入開始
[00:06:59 - 00:07:03] 隨著不斷的提加近心的特徵逐漸擊累神經元
[00:07:03 - 00:07:05] 讓網絡變得更加複雜和強大
[00:07:05 - 00:07:07] 在去中心化神经网络中
[00:07:07 - 00:07:09] 还存在着骨干网络和边缘部分的区分
[00:07:09 - 00:07:12] 骨干网络有那些权重不是零
[00:07:12 - 00:07:15] 而且可以通过连接来影响网络输出的神经员组成
[00:07:15 - 00:07:18] 他们代表了网络中已经学习到的知识
[00:07:18 - 00:07:20] 而边缘部分则是那些在网络中
[00:07:20 - 00:07:22] 看似没有发挥直接作用
[00:07:22 - 00:07:24] 但是实际上在边缘会不断尝试形成
[00:07:24 - 00:07:27] 对网络有用的功能或者是信号的神经员
[00:07:27 - 00:07:29] 在传统的反向传播过程中
[00:07:29 - 00:07:31] 如果神经员不影响输出
[00:07:31 - 00:07:32] 那么它的T度就为零
[00:07:32 - 00:07:34] 权重不会改变
[00:07:34 - 00:07:36] 而在去中硬化的神经网络中
[00:07:36 - 00:07:39] 我们希望边缘部分的神经员更加具有探索性
[00:07:39 - 00:07:41] 能够持续的学习和改变
[00:07:41 - 00:07:44] 因为他们可能运喊着提升网络性能的潜力
[00:07:44 - 00:07:46] 为了实现边缘部分的有效学习
[00:07:46 - 00:07:48] 散政教授提出了一些新的算法思路
[00:07:48 - 00:07:52] 由于边缘神经员的T度在反向传播中通常为0
[00:07:52 - 00:07:55] 无法直接使用传统的反向传播方法来学习权重
[00:07:55 - 00:07:56] 所以需要新的策略
[00:07:56 - 00:07:58] 其中一个基本的理念
[00:07:58 - 00:08:00] 是让每个神经员控制传入的权重
[00:08:00 - 00:08:02] 当一个神经员处于边缘部分的时候
[00:08:02 - 00:08:04] 虽然它不能直接的影响误差
[00:08:04 - 00:08:06] 但是可以尝试改变传入的连接
[00:08:06 - 00:08:10] 期望下游的神女员能够选择接受她提供的信息
[00:08:10 - 00:08:12] 并且在与骨干网络连接的过程中
[00:08:12 - 00:08:14] 需要经历两个步骤
[00:08:14 - 00:08:17] 首先骨干网络对于新的边缘神女员
[00:08:17 - 00:08:18] 会保持一定的谨慎态度
[00:08:18 - 00:08:20] 给予较小的不常
[00:08:20 - 00:08:22] 即使她提供了有用的信息
[00:08:22 - 00:08:23] 全众也不会快速的增加
[00:08:23 - 00:08:26] 但是如果经过一段时间的观察
[00:08:26 - 00:08:28] 发现这个神女员其实对网络有积极的贡献
[00:08:28 - 00:08:30] 那么她的不常就会逐渐的增加
[00:08:30 - 00:08:32] 全中也會相應的提升
[00:08:32 - 00:08:34] 從而實現與網路骨幹的有效連接
[00:08:34 - 00:08:36] 在不常優化方面
[00:08:36 - 00:08:37] 對於骨幹網路和邊緣單元
[00:08:37 - 00:08:39] 需要採取不同的策略
[00:08:39 - 00:08:42] 因為骨幹網路已經承擔了網路的主要功能
[00:08:42 - 00:08:44] 並且已經在做著游用的工作
[00:08:44 - 00:08:46] 所以為了保護骨幹網路的穩定性
[00:08:46 - 00:08:47] 需要讓它的不常變效
[00:08:47 - 00:08:49] 避免被輕易的改變
[00:08:49 - 00:08:50] 而對於邊緣單元
[00:08:50 - 00:08:52] 如果它創造了有用的東西
[00:08:52 - 00:08:54] 那麼在與骨幹網路連接的初期
[00:08:54 - 00:08:57] 要經歷骨幹網路的謹慎考察階段
[00:08:57 - 00:08:59] 隨著神經源價值的逐步顯現
[00:08:59 - 00:09:01] 不常和权重才会逐步的增加
[00:09:01 - 00:09:03] 另外 撒顿教授还介绍了团队
[00:09:03 - 00:09:05] 在未充分利用的人工实力员中
[00:09:05 - 00:09:07] 增加额外变化员方面的研究
[00:09:07 - 00:09:08] 正如我们刚刚提到的
[00:09:08 - 00:09:10] 深度学习要实现全部的潜力
[00:09:10 - 00:09:13] 就需要在未充分利用的人工实力员中
[00:09:13 - 00:09:14] 引入更多的变化
[00:09:14 - 00:09:16] 同时保护和保留
[00:09:16 - 00:09:18] 那些被证明有用的变化实力员
[00:09:18 - 00:09:20] 此外 阿尔博塔大学的研究人员
[00:09:20 - 00:09:22] 在流算法方面取得的重要突破
[00:09:22 - 00:09:25] 也与去中心化实体网络的理念相关
[00:09:25 - 00:09:26] 在强化学习中
[00:09:26 - 00:09:29] 傳統的深度學習方法在流視在線設置中表現不佳
[00:09:29 - 00:09:31] 存在著流障礙
[00:09:31 - 00:09:33] 而新的流算法研究成果
[00:09:33 - 00:09:35] 使得在各種標準深度強化學習任務上的性能
[00:09:35 - 00:09:37] 得到了顯著的提升
[00:09:37 - 00:09:40] 能夠與基於回放的深度學習方法相競爭
[00:09:40 - 00:09:43] 這個結果進一步支持了去中心化實踐網路的論點
[00:09:43 - 00:09:45] 表明從去中心化的視角出發
[00:09:45 - 00:09:48] 能夠為解決深度學習的問題提供有效的途徑
[00:09:48 - 00:09:49] 總的來說
[00:09:49 - 00:09:52] 當前的深度學習方法雖然取得了巨大的成就
[00:09:52 - 00:09:55] 但是確實也存在著不容忽視的局限性
[00:09:55 - 00:09:57] 薩頓教授提出的去中心化實際網路
[00:09:57 - 00:10:00] 和持續反向傳播算法等等理念和方法
[00:10:00 - 00:10:03] 為解決這些問題提供了新的方向和希望
[00:10:03 - 00:10:06] 當下我們都在試圖去充分理解智能
[00:10:06 - 00:10:08] 以便創造出比當前人類更加智能的生物
[00:10:08 - 00:10:11] 而接下來就是要試圖去理解我們自己
[00:10:11 - 00:10:13] 並且為此來構建工具
[00:10:13 - 00:10:17] 薩頓認為我們必須以謙遜的態度來面對這個問題
[00:10:17 - 00:10:19] 這是一個如此巨大重要的問題
[00:10:19 - 00:10:22] 而我們在面對它的時候顯得如此的渺小
[00:10:22 - 00:10:24] 這個進程正在發生而且將會發生
[00:10:24 - 00:10:28] 认识到他将会发生并且尝试成为其中的一部分
[00:10:28 - 00:10:29] 并不是一种傲慢
[00:10:29 - 00:10:32] 好了 以上就是对薩顿教授演讲的概括介绍了
[00:10:32 - 00:10:34] 感谢观看本期视频 我们下期再见
