BV号：BV12HQaYzE2Y
标题：BV12HQaYzE2Y
链接：https://www.bilibili.com/video/BV12HQaYzE2Y
识别语言：zh
语言置信度：1
分段数：367
生成时间：2026-08-30 10:49:31

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技飞速发展的今天
[00:02:29 - 00:02:31] 而且在2024年
[00:02:31 - 00:02:34] 以每万名员工470台机器人的数量
[00:02:34 - 00:02:34] 超越德国
[00:02:34 - 00:02:36] 越居世界的第三位
[00:02:36 - 00:02:38] 从成本方面来看
[00:02:38 - 00:02:40] 中国机器人也具有明显的优势
[00:02:40 - 00:02:43] 如今在美国制造一个与UR5e
[00:02:43 - 00:02:44] 模型相同的机械币
[00:02:44 - 00:02:46] 成本大约是中国的2.2倍
[00:02:46 - 00:02:49] 以5公斤配置的机械币为例
[00:02:49 - 00:02:52] 美国的制造成本是24420美元
[00:02:52 - 00:02:55] 中国为11155美元
[00:02:55 - 00:02:58] 美国成本高出1118.9%
[00:02:58 - 00:03:02] 另外中国电池组的成本大约是每千瓦10127美元
[00:03:02 - 00:03:07] 北美和欧洲分别比中国高出24%和33%
[00:03:07 - 00:03:10] 美国建设电池生产能力的成本非常高昂
[00:03:10 - 00:03:12] 每几瓦10要比中国高46%
[00:03:13 - 00:03:15] 如果在深入一点探究的话就会发现
[00:03:15 - 00:03:17] 即便是一些美国制造的机器人组件
[00:03:17 - 00:03:19] 被标注为美国制造
[00:03:19 - 00:03:22] 实际上却高度依赖与中国制造的零部件和材料
[00:03:22 - 00:03:25] 而且目前还没有可行的规模化替代方案
[00:03:26 - 00:03:28] 中国在商用无人机市场的成功
[00:03:28 - 00:03:29] 就是一个很好的例证
[00:03:29 - 00:03:32] 大疆如今占据了全球商用无人机市场
[00:03:32 - 00:03:34] 超过80%的份额
[00:03:34 - 00:03:37] 在美国消费市场更是高达90%
[00:03:37 - 00:03:39] 大疆之所以能够取得这样的成绩
[00:03:39 - 00:03:41] 一方面是因为中国在制造业的主导地位
[00:03:41 - 00:03:44] 以及规模经济和过剩供应的战略
[00:03:44 - 00:03:46] 另一方面与西方的竞争者相比
[00:03:46 - 00:03:48] 大疆就有快速迭代的优势
[00:03:48 - 00:03:50] 以GoPro为例
[00:03:50 - 00:03:51] 它的大部分制造基地
[00:03:51 - 00:03:53] 设在中国、马来西亚和日本
[00:03:53 - 00:03:55] 每一代无人机的迭代
[00:03:55 - 00:03:56] 都需要几周的时间
[00:03:56 - 00:03:57] 从加州设计
[00:03:57 - 00:04:00] 将细节发送给中国制造商生产
[00:04:00 - 00:04:02] 在运回美国进行检测
[00:04:02 - 00:04:04] 这中间耗费了大量的时间
[00:04:04 - 00:04:06] 而总部位于深圳的大疆
[00:04:06 - 00:04:07] 能够在订购几个小时之内
[00:04:07 - 00:04:09] 就从深圳的任何工厂
[00:04:09 - 00:04:10] 获取到所需要的部件
[00:04:10 - 00:04:13] 并且以惊人的速度进行迭代
[00:04:13 - 00:04:16] 2016年GoPro的Kama无人机加Hero5
[00:04:16 - 00:04:18] 被大疆的无人机全面的超越
[00:04:18 - 00:04:20] 大疆不仅价格稍低
[00:04:20 - 00:04:22] 电池续航还长了50%
[00:04:22 - 00:04:24] 并且已经实现了避障功能
[00:04:24 - 00:04:26] 而卡马却因为硬件问题和产品故障
[00:04:26 - 00:04:27] 保受困扰
[00:04:27 - 00:04:29] 不得不启动召回和退款程序
[00:04:29 - 00:04:30] 最终
[00:04:30 - 00:04:32] GoPro以利润率挑战为由
[00:04:32 - 00:04:33] 解散了卡马项目
[00:04:33 - 00:04:34] 许多其他公司
[00:04:34 - 00:04:36] 也在大疆的竞争压力下倒闭
[00:04:36 - 00:04:38] 三面Analysis认为
[00:04:38 - 00:04:39] 在机器人技术领域
[00:04:39 - 00:04:41] 制造方面的优势至关重要
[00:04:41 - 00:04:43] 要想打造一个完整
[00:04:43 - 00:04:44] 而且功能齐全的机器人
[00:04:44 - 00:04:46] 需要无数次的复制这个机器人
[00:04:46 - 00:04:47] 微调每一个小错误
[00:04:47 - 00:04:49] 直到产品坚实
[00:04:49 - 00:04:49] 可扩展
[00:04:49 - 00:04:51] 而且成本效益高为止
[00:04:51 - 00:04:53] 中国拥有强大的工业基础
[00:04:53 - 00:04:55] 它的工业基础在GDP占比上
[00:04:55 - 00:04:56] 是美国的三倍
[00:04:56 - 00:04:58] 这使得中国在机器人制造方面
[00:04:58 - 00:05:00] 拥有得天独厚的优势
[00:05:00 - 00:05:01] 接下来
[00:05:01 - 00:05:03] 三秒Nelices谈到了机器人技术
[00:05:03 - 00:05:04] 本身的复杂性
[00:05:04 - 00:05:06] 机器人技术是一项系统工程问题
[00:05:06 - 00:05:08] 它的终极目标是创造出
[00:05:08 - 00:05:10] 一种或者是多种机器
[00:05:10 - 00:05:13] 能够以等同于或者低于人类成本的方式
[00:05:13 - 00:05:15] 完成一个或者多个人类工作单位
[00:05:15 - 00:05:17] 这可不是一件简单的事情
[00:05:17 - 00:05:18] 它需要设计出一套
[00:05:18 - 00:05:21] 包含众多相互连接的独立部件的硬件系统
[00:05:21 - 00:05:24] 并且能够与软件层无缝的集成
[00:05:24 - 00:05:26] 让软件层能够理解如何操控硬件
[00:05:26 - 00:05:27] 并且进行规划
[00:05:27 - 00:05:29] 这就好比是让硬件和软件
[00:05:29 - 00:05:31] 跳一场精密的舞蹈
[00:05:31 - 00:05:32] 通过反复的迭代
[00:05:32 - 00:05:34] 识别两大系统间的差异
[00:05:34 - 00:05:35] 并且加以解决
[00:05:35 - 00:05:37] 来实现完美的精确性
[00:05:37 - 00:05:39] 以前的硬件在移动性和操控性上的
[00:05:39 - 00:05:42] 截流精度与效率创新是有限的
[00:05:42 - 00:05:43] 软件和AI功能
[00:05:43 - 00:05:47] 始终没有能够实现功能的多样性和实实理解
[00:05:47 - 00:05:49] 而且安装所需要的高额前期资本支出
[00:05:49 - 00:05:52] 以及系统维护的运营支出增加
[00:05:52 - 00:05:54] 这些因素使得自动化成为了问题
[00:05:54 - 00:05:55] 而非一个解决方案
[00:05:56 - 00:05:57] 但是随着科技的发展
[00:05:57 - 00:05:59] 硬件和AI模型取得了突破
[00:05:59 - 00:06:01] 为通用机器人技术的早期接的
[00:06:01 - 00:06:02] 打开了大门
[00:06:02 - 00:06:03] 通用机器人技术
[00:06:03 - 00:06:05] 一直是机器人领域的胜悲
[00:06:05 - 00:06:07] 它是一种能够在任何环境中
[00:06:07 - 00:06:09] 执行任何任务的机器人
[00:06:09 - 00:06:11] 能够在工业流程中取代人类
[00:06:11 - 00:06:12] 但是在过去
[00:06:12 - 00:06:15] 实现通用机器人技术面临着许多的平静
[00:06:15 - 00:06:18] 目前在全球范围内大规模应用的机器人
[00:06:18 - 00:06:21] 大多数还都是比较僵硬而且脆弱的
[00:06:21 - 00:06:22] 必须预先定义环境
[00:06:22 - 00:06:24] 任务也必须是静态的
[00:06:24 - 00:06:25] 任何因素的微小变化
[00:06:25 - 00:06:28] 都可能导致机器人破坏整个流程
[00:06:28 - 00:06:30] 即使是像谷歌这样的科技巨头
[00:06:30 - 00:06:32] 也曾经在这个领域遭受挫折
[00:06:32 - 00:06:36] 谷歌曾经构建过一个由14台机器人组成的手臂农场
[00:06:36 - 00:06:39] 这些机器人连续运行了3000个小时
[00:06:39 - 00:06:42] 仅仅是为了实现可靠的抓取效果
[00:06:42 - 00:06:45] 可惜连这个成果最终也没有能够走出实验室
[00:06:45 - 00:06:47] 数据稀缺更是一个严重的挑战
[00:06:47 - 00:06:49] 由于缺乏硬件的标准化
[00:06:49 - 00:06:52] 研究人员被迫搭建临时拼凑的机器人
[00:06:52 - 00:06:54] 然后手动收集训练数据
[00:06:54 - 00:06:56] 这个过程消耗了大量的时间和资源
[00:06:56 - 00:07:00] 而且与互联网上可以自由获取的文本数据不同
[00:07:00 - 00:07:02] 机器人技术需要多磨态的数据
[00:07:02 - 00:07:04] 而这些数据并不存在
[00:07:04 - 00:07:10] 每个试图训练机械人的个人都必须在物理空间中使用功能性机械人自行的收集所有的数据
[00:07:10 - 00:07:13] 硬件限制也进一步加剧了这个问题
[00:07:13 - 00:07:18] 要想构建一个由足够强大的执行器组成的系统能够精细的调节动作
[00:07:18 - 00:07:22] 还要让所有的部件之间通过非标准化的零件互相连接
[00:07:22 - 00:07:25] 这原本就是一件极其困难的事情
[00:07:25 - 00:07:27] 不过现在的情况有所不同了
[00:07:27 - 00:07:29] 美国虽然立足的基石并不稳固
[00:07:29 - 00:07:33] 但是贯穿整个机器人技术站的大量研究和资金投入
[00:07:33 - 00:07:35] 已经催生了一系列的突破
[00:07:35 - 00:07:37] 逼真模拟数据的进展
[00:07:37 - 00:07:40] 在多台机器人上扩大现实世界训练的能力
[00:07:40 - 00:07:41] 以及基础模型的星期
[00:07:41 - 00:07:43] 为更加智能的系统打开了大门
[00:07:43 - 00:07:45] 于是同时硬件方面的进步
[00:07:45 - 00:07:48] 比如说电动执行器大幅降低了成本
[00:07:48 - 00:07:50] 并且赋予了机器人更高的效率
[00:07:50 - 00:07:53] 让它能够在所需要的精度水平上去运行
[00:07:53 - 00:07:55] 解锁了以前无法实现的新的动作
[00:07:55 - 00:07:57] 通用机器人技术终于被解锁
[00:07:57 - 00:08:00] 成为了现实世界中可能的一个解决方案
[00:08:00 - 00:08:02] 而脉象通用机器人领域的第一步
[00:08:02 - 00:08:05] 就是进入部分非结构化的环境
[00:08:05 - 00:08:07] 最初在工厂这类常规的环境中
[00:08:08 - 00:08:10] 机器人是在隔离的预设环境之外运行的
[00:08:11 - 00:08:13] 处理一项或者是多项任务
[00:08:13 - 00:08:15] 而随着机器人在通用性上的不断推进
[00:08:15 - 00:08:18] 他们将在工厂环境中替代越来越多
[00:08:18 - 00:08:19] 复杂而且多样化的任务
[00:08:19 - 00:08:21] 甚至能够自动化每一个步骤
[00:08:22 - 00:08:23] 而对于机器人而言
[00:08:23 - 00:08:26] 人类居住的环境反而是一个更为棘手的领域
[00:08:26 - 00:08:29] 在这类环境中考虑到人类行为的不可预测性
[00:08:29 - 00:08:32] 机器人必须具备足够的智能和安全性
[00:08:32 - 00:08:33] 从而归避安全的风险
[00:08:33 - 00:08:35] 三秒安德莱斯斯此认为
[00:08:35 - 00:08:37] 中国在这方面已经取得了显著的成果
[00:08:37 - 00:08:42] 虽然中国的机器人仍然需要完美结构化的环境和静态任务
[00:08:42 - 00:08:44] 但是中国已经实现了完全的无人工厂
[00:08:44 - 00:08:47] 比如小米的无人工厂可以全天候的运行
[00:08:47 - 00:08:49] 每秒生产一部智能手机
[00:08:49 - 00:08:50] 无需任何的人类员工
[00:08:50 - 00:08:53] 当然了三秒安德莱斯斯也表示
[00:08:53 - 00:08:55] 说这些并不是想强调美国的落后
[00:08:55 - 00:08:58] 而是希望展示中美在制造能力上的巨大差异
[00:08:58 - 00:09:00] 这也与廉价的中国劳动力无关
[00:09:00 - 00:09:02] 而是因为中国拥有强大的工业基础
[00:09:03 - 00:09:05] 接下来我们跳过对机器人的不同类型
[00:09:05 - 00:09:07] 和硬件组成的介绍
[00:09:07 - 00:09:09] 直接来看一看供应链相关的问题
[00:09:09 - 00:09:11] 三位Analysis指出
[00:09:11 - 00:09:13] 在美国制造这个标签
[00:09:13 - 00:09:15] 往好了说是有误导性的
[00:09:15 - 00:09:17] 往坏了说则是有害的
[00:09:17 - 00:09:20] 实际的情况是美国人许在最终在美国组装之前
[00:09:20 - 00:09:22] 在中间国家对外国材料
[00:09:22 - 00:09:25] 尤其是来自中国的材料进行大量的加工
[00:09:25 - 00:09:28] 这又意味着即使产品的核心部件来自于中国
[00:09:28 - 00:09:30] 也可以标上美国制造的标签
[00:09:30 - 00:09:33] 从而模糊了对外国依赖的真实程度
[00:09:33 - 00:09:36] 因此许多美国公司会从中国购买廉价的材料
[00:09:36 - 00:09:40] 将它转化为标有原产地为美国的机器人硬件
[00:09:40 - 00:09:44] 然后打压那些真正在美国本土开采和制造的公司
[00:09:44 - 00:09:45] 这个问题难以言说
[00:09:45 - 00:09:47] 解决起来更是难上加难
[00:09:47 - 00:09:49] 在三面安德莱萨斯看来
[00:09:49 - 00:09:50] 将制造能力上限
[00:09:50 - 00:09:53] 并且大规模生产工业机器人来引入自动化
[00:09:53 - 00:09:56] 远比许多人想象的要更加困难和耗时
[00:09:56 - 00:09:59] 许多工业机器人的供应链非常的复杂
[00:09:59 - 00:10:01] 来自于世界各地的角落
[00:10:01 - 00:10:02] 而这些地方的零部件生产
[00:10:02 - 00:10:05] 通常已经通过竞争优势占据了主导地位
[00:10:05 - 00:10:07] 在供应链中断的情况下
[00:10:07 - 00:10:10] 机器人的生产企业往往会遭受重创
[00:10:10 - 00:10:12] 比如说当某些关键的零部件的供应地
[00:10:12 - 00:10:14] 出现了自然灾害、政策变动
[00:10:14 - 00:10:16] 或者其他突发状况的时候
[00:10:16 - 00:10:21] 企业可能会因为缺乏相应的零部件库存导致生产线停滞
[00:10:21 - 00:10:23] 这种情况在美国也为的明显
[00:10:23 - 00:10:26] 美国虽然在机器人的技术研发方面投入巨大
[00:10:26 - 00:10:29] 但是在硬件供应链上却存在着许多的短板
[00:10:29 - 00:10:30] 从全球范围来看
[00:10:30 - 00:10:34] 中国在机器人硬件供应链中扮演着至关重要的角色
[00:10:34 - 00:10:35] 在金属加工方面
[00:10:35 - 00:10:37] 中国拥有完备的产业体系
[00:10:37 - 00:10:41] 从基础金属的野链到高精度金属零部件的加工
[00:10:41 - 00:10:43] 都具备大规模的生产能力
[00:10:43 - 00:10:45] 比方说制造典型鱼铁棚
[00:10:45 - 00:10:46] 用磁体的工艺和元素
[00:10:46 - 00:10:48] 将近90%是由中国主导的
[00:10:48 - 00:10:52] 而稀土精链中国更是占比达93%
[00:10:52 - 00:10:54] 而许多机器人所需要的特殊合金材料
[00:10:54 - 00:10:56] 中国不仅能够稳定的供应
[00:10:56 - 00:10:59] 而且在质量和成本上都具有优势
[00:10:59 - 00:11:01] 比方说中国的铝合金产品
[00:11:01 - 00:11:04] 在强度耐腐蚀性等等关键性能指标上
[00:11:04 - 00:11:07] 不仅能够满足高端机器人的制造需求
[00:11:07 - 00:11:08] 同时价格相对较低
[00:11:08 - 00:11:10] 在电子元器舰领域
[00:11:10 - 00:11:12] 中国同样占据着主导地位
[00:11:12 - 00:11:16] 像电组、电容、集声电路等等基础的电子严建
[00:11:16 - 00:11:18] 中国是全球最大的生产和出口国
[00:11:18 - 00:11:21] 电池芯更是占全球大约80%
[00:11:21 - 00:11:23] 再来看看机器人的外壳制造
[00:11:23 - 00:11:26] 机器人的外壳不仅要具备一定的强度和防护性
[00:11:26 - 00:11:28] 还要考虑轻量化的设计
[00:11:28 - 00:11:29] 提高能源的利用效率
[00:11:29 - 00:11:32] 中国的塑料加工和符合材料制造技术
[00:11:32 - 00:11:34] 处于世界的领先水平
[00:11:34 - 00:11:36] 能够生产出高质量、高强度
[00:11:36 - 00:11:38] 而且轻量化的机器人外壳
[00:11:38 - 00:11:39] 一些先进的附合材料
[00:11:39 - 00:11:41] 比如说碳纤维增强附合材料
[00:11:41 - 00:11:43] 就有重量清、强度高的特点
[00:11:43 - 00:11:46] 非常适合用于制造机器人的外壳
[00:11:46 - 00:11:47] 在机器人产业的发展历程中
[00:11:47 - 00:11:49] 传统的机器人强国
[00:11:49 - 00:11:50] 比如说日本和德国
[00:11:50 - 00:11:52] 在早期凭借着先进的技术和工艺
[00:11:52 - 00:11:53] 占据了主导地位
[00:11:53 - 00:11:56] 日本在工业机器人领域起步较早
[00:11:56 - 00:11:56] 技术成熟
[00:11:56 - 00:11:58] 生产的工业机器人
[00:11:58 - 00:12:00] 在全球市场长期占据的较高的份额
[00:12:00 - 00:12:03] 比如说法纳科和安穿电机
[00:12:03 - 00:12:05] 这两家日本企业在全球工业机器人市场中
[00:12:05 - 00:12:07] 一直名列前茅
[00:12:07 - 00:12:09] 他们的产品以高精度、高可靠性著称
[00:12:09 - 00:12:12] 广泛应于汽车制造、电子等行业
[00:12:12 - 00:12:14] 德国则在机器人的经济制造和
[00:12:14 - 00:12:17] 自动化生产线集成方面就有优势
[00:12:17 - 00:12:19] 库卡机器人就是德国机器人技术的代表
[00:12:19 - 00:12:23] 在汽车生产线的自动化改造中发挥了重要的作用
[00:12:23 - 00:12:26] 不过近年来中国在机器人领域的迅速崛起
[00:12:26 - 00:12:28] 逐渐打破了传统的竞争格局
[00:12:28 - 00:12:30] 中国政府出台了一系列鼓励的政策
[00:12:30 - 00:12:33] 导致大量的资金涌入了机器人研发和制造领域
[00:12:33 - 00:12:36] 也吸引了眾多優秀人才投身其中
[00:12:36 - 00:12:39] 2023年中國人行機器人公司融資7.69億美元
[00:12:39 - 00:12:42] 2024年上半年超過9.9億美元
[00:12:42 - 00:12:44] 除了前面提到的語述和大疆
[00:12:44 - 00:12:49] 還有埃斯頓、F特、辛松等企業在工業機器人和協作機器人領域
[00:12:49 - 00:12:50] 取得了顯著的進展
[00:12:50 - 00:12:52] 最後Cymere Analysis指出
[00:12:52 - 00:12:54] 隨著機器人技術的不斷發展
[00:12:54 - 00:12:56] 未來的競爭將更加激烈
[00:12:56 - 00:12:58] 美國面臨著艱難的抉擇
[00:12:58 - 00:13:01] 如果不能夠迅速提升自身在機器人硬件供應鏈
[00:13:01 - 00:13:03] 和技術創新方面的能力
[00:13:03 - 00:13:05] 那么在这场全球机器人革命中
[00:13:05 - 00:13:07] 将可能进一步落后于中国等国家
[00:13:07 - 00:13:09] 而中国凭借着现有的产业优势
[00:13:09 - 00:13:11] 政策支持和创新活力
[00:13:11 - 00:13:13] 也望在机器人技术领域
[00:13:13 - 00:13:14] 继续保持领先的地位
[00:13:14 - 00:13:16] 引领全球机器人产业的发展潮流
[00:13:17 - 00:13:19] 这不仅将推动中国制造业的转型升级
[00:13:19 - 00:13:22] 还将对全球经济格局产生深远的影响
[00:13:22 - 00:13:24] 好了 以上就是这篇文章的主要内容了
[00:13:24 - 00:13:27] 不知道大家对于三面的Lessons的观点有什么看法
[00:13:27 - 00:13:29] 欢迎在评论区留言
[00:13:29 - 00:13:31] 感谢大家的观看 我们下期再见
