BV号：BV1GiX8YLEaH
标题：BV1GiX8YLEaH
链接：https://www.bilibili.com/video/BV1GiX8YLEaH
识别语言：zh
语言置信度：1
分段数：365
生成时间：2026-08-30 10:22:13

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 2024年的10月份
[00:03:48 - 00:03:49] 众多志愿者的参与
[00:03:49 - 00:03:52] 极大推动了蛋白质结构计算的发展
[00:03:52 - 00:03:54] 为了持续改进Roceta软件
[00:03:54 - 00:03:57] 贝克还创建了Roceta Commons学术社区
[00:03:57 - 00:04:00] 这个社区会具了来自于全球60多个机构的学者
[00:04:00 - 00:04:03] 涵盖 化学 生物学 生理学 物理学
[00:04:03 - 00:04:06] 工程学 数学和计算机科学等多个领域
[00:04:06 - 00:04:08] 每年的社区都会举办会议
[00:04:08 - 00:04:11] 成员们也会互相的分享成果 交流想法
[00:04:11 - 00:04:14] 在这里不同领域的智慧相互的碰撞
[00:04:14 - 00:04:16] 为蛋白质结构研究注入了源源不断的活力
[00:04:16 - 00:04:19] Rossetta Commons也逐渐发展成为了一个
[00:04:19 - 00:04:21] 大规模的国际合作项目
[00:04:21 - 00:04:23] 受到Rossetta Home项目的启发
[00:04:23 - 00:04:25] 被可以意识到合作共赢的重要性
[00:04:25 - 00:04:28] 2008年的他的团队推出了一款名为Fordid
[00:04:28 - 00:04:29] 在线意志游戏
[00:04:29 - 00:04:31] 这款游戏的独特之处在于
[00:04:31 - 00:04:34] 无论是专业人士还是非专业人士都可以参与
[00:04:34 - 00:04:35] 在游戏中
[00:04:35 - 00:04:37] 玩家需要使用游戏中的工具
[00:04:37 - 00:04:40] 进口完美的折叠选定的蛋白质结构
[00:04:40 - 00:04:43] 德芬最高的方案将由研究人员进行分析
[00:04:43 - 00:04:44] 评估在现实中的适用性
[00:04:44 - 00:04:47] 进而应用于把向治疗等领域
[00:04:47 - 00:04:50] Fordit已经推出便受到了广泛的关注
[00:04:50 - 00:04:51] 吸引了超过40万人参与
[00:04:52 - 00:04:53] 玩家们的热情和智慧
[00:04:53 - 00:04:56] 为蛋白质研究带来了意想不到的成果
[00:04:56 - 00:04:59] 2011年一篇被自然杂志入用的论文中
[00:04:59 - 00:05:01] Fordit的玩家帮助破解了
[00:05:01 - 00:05:03] 困扰科学家长达15年的
[00:05:03 - 00:05:06] MPMV逆转路病毒蛋白酶的精气结构
[00:05:06 - 00:05:07] 令人惊叹的是
[00:05:07 - 00:05:10] 玩家们只用了10天就构建出了足够准确的
[00:05:10 - 00:05:11] 梅3D模型
[00:05:11 - 00:05:13] 成功进行了分子替换和随后的结构预定
[00:05:14 - 00:05:15] 这个成果充分展示了
[00:05:15 - 00:05:17] 公众参与科学研究的巨大潜力
[00:05:17 - 00:05:18] 也让Fordit成为了
[00:05:18 - 00:05:21] 蛋白质研究领域的一个创新典范
[00:05:21 - 00:05:22] 就在Rossetta和Fordit在
[00:05:22 - 00:05:24] 蛋白质结构领域大放异彩的时候
[00:05:25 - 00:05:26] 2020年底一个强大的
[00:05:26 - 00:05:27] 竞争对手出现了
[00:05:28 - 00:05:29] 那就是AlphaFord2
[00:05:29 - 00:05:31] 在第14届CASP大赛中
[00:05:31 - 00:05:33] AlphaFord2表现堪称经验
[00:05:33 - 00:05:35] 他预测蛋白质结构的准确性
[00:05:35 - 00:05:37] 直接碾压了其他所有的团队
[00:05:37 - 00:05:39] 包括贝克团队的Rosetta
[00:05:39 - 00:05:41] Alpha4的2将深度学习
[00:05:41 - 00:05:43] 与物理生物等相关领域知识结合起来
[00:05:43 - 00:05:47] 实现了端道端的蛋白质三维结构信息预测
[00:05:47 - 00:05:49] 这个成果被预为蛋白质研究的李承辈
[00:05:49 - 00:05:52] 然而当时开发Alpha4的2的DMI的公司
[00:05:52 - 00:05:54] 并没有公开具体的细节
[00:05:54 - 00:05:56] 面对挑战贝克没有选择退缩
[00:05:56 - 00:05:58] 和他的老师蓝迪切克曼一样
[00:05:58 - 00:06:00] 贝克重上科学的开源共享
[00:06:00 - 00:06:03] 南提希科曼曾經因為提上開放
[00:06:03 - 00:06:04] 免費獲取科學文獻
[00:06:04 - 00:06:07] 對自然科學細胞這類封閉式訪問的
[00:06:07 - 00:06:08] 期刊大力批評
[00:06:08 - 00:06:10] 並且宣布自己的實驗室
[00:06:10 - 00:06:12] 永不像這些期刊投稿
[00:06:12 - 00:06:13] 受到老師的影響
[00:06:13 - 00:06:14] 貝克也立志研發一個
[00:06:14 - 00:06:17] 能夠與AlphaFold2媲美的開源模型
[00:06:17 - 00:06:18] 經過數個月的努力
[00:06:18 - 00:06:20] 貝克和實驗室的其他成員
[00:06:20 - 00:06:22] 借鑑了AlphaFold2思想
[00:06:22 - 00:06:24] 發布了深度學習模型RusaitaFold
[00:06:24 - 00:06:26] RusaitaFold採用了獨特的
[00:06:26 - 00:06:27] 三貴神經網路架構
[00:06:27 - 00:06:30] 能够同时考虑蛋白质的序列模式
[00:06:30 - 00:06:32] 按计算相互作用以及可能的三维结构
[00:06:32 - 00:06:33] 在这个架构中
[00:06:33 - 00:06:36] 一为二维和三维信息相互的流动
[00:06:36 - 00:06:39] 使得神经网络能够推理出蛋白质的化学组成
[00:06:39 - 00:06:41] 与其折叠结构之间的关系
[00:06:41 - 00:06:45] 利用RocetaFold研究人员计算了数百种新的蛋白质结构
[00:06:45 - 00:06:48] 包括人类基因组中许多未知的蛋白质
[00:06:48 - 00:06:51] 还生成了与人类健康直接相关的蛋白质
[00:06:51 - 00:06:54] 比如与严正疾病和癌细胞生长相关的蛋白质
[00:06:54 - 00:06:58] 而且Rossetta Fold的計算耗能和時間都低於Alpha Fold2
[00:06:58 - 00:07:01] 只需要一塊RTX2080顯卡
[00:07:01 - 00:07:06] 就能在短短的10分鐘之內計算出400個安基酸殘機以內的蛋白質結構
[00:07:06 - 00:07:08] 2021年6月貝克公布了詳細介紹
[00:07:08 - 00:07:11] Rossetta Fold技術路線的運用版論文
[00:07:11 - 00:07:13] 幾天之後DMINE的首席之音官
[00:07:13 - 00:07:15] 德米斯·哈薩比斯在推特上宣布
[00:07:15 - 00:07:18] 他們將公布Alpha Fold2的論文和原代碼
[00:07:18 - 00:07:19] 同年7月15日
[00:07:19 - 00:07:22] Rossetta Fold和Alpha Fold2的相關論文
[00:07:22 - 00:07:24] 分别发表于科学和自然杂志
[00:07:24 - 00:07:27] 科学杂志还将Roceta Fold和Alpha Fold
[00:07:27 - 00:07:29] 共同评为2021年度突破技术
[00:07:29 - 00:07:32] 这场学术界与商业界的激烈竞争
[00:07:32 - 00:07:35] 最终以双方的成果共享和共同进步
[00:07:35 - 00:07:36] 而完美的结束
[00:07:36 - 00:07:38] 在经历了与Alpha Fold2的竞争之后
[00:07:38 - 00:07:40] 贝克深刻意识到了
[00:07:40 - 00:07:41] 深度学习的强大力量
[00:07:41 - 00:07:43] 于是他不仅开始将深度学习
[00:07:43 - 00:07:45] 用于蛋白质结构预测
[00:07:45 - 00:07:47] 还将他扩展到了蛋白质设计领域
[00:07:47 - 00:07:49] 其实早在多年以前
[00:07:49 - 00:07:50] 贝克的团队就有了
[00:07:50 - 00:07:52] 设计全新蛋白质的想法
[00:07:52 - 00:07:54] 2003年他们成功设计出了
[00:07:54 - 00:07:56] 世界上第一个全新蛋白质TOP7
[00:07:56 - 00:07:59] TOP7是一种由93个安基酸残积
[00:07:59 - 00:08:01] 组成的Alpha Beta蛋白质
[00:08:01 - 00:08:03] 研究人员通过一种在序列设计和
[00:08:03 - 00:08:05] 结构预测之间迭代的计算策略
[00:08:05 - 00:08:08] 为它设计了全新的序列和拓布结构
[00:08:08 - 00:08:10] 实验证明TOP7能够折叠成
[00:08:10 - 00:08:11] 稳定的结构
[00:08:11 - 00:08:13] 它的X射线精体结构
[00:08:13 - 00:08:16] 与设计模型的军方跟偏差只有1.2i
[00:08:16 - 00:08:18] 这个成果标志着人类在蛋白质
[00:08:18 - 00:08:20] 领域卖出了重要的一步
[00:08:20 - 00:08:22] 随着深度学习技术的不断发展
[00:08:22 - 00:08:24] 贝克戴领团队在蛋白质设计领域
[00:08:24 - 00:08:26] 取得了更多的成果
[00:08:26 - 00:08:28] 比如说他在自然期刊发表了一篇TV
[00:08:28 - 00:08:31] 利用RFDFusion从头设计
[00:08:31 - 00:08:32] 蛋白质结构和功能的论文
[00:08:32 - 00:08:35] 研究人员在蛋白质结构去造任务中
[00:08:35 - 00:08:38] 对RocetaFold的结构预测网络进行了微调
[00:08:38 - 00:08:40] 开发了一个生成模型RFDFusion
[00:08:40 - 00:08:42] 这个模型在蛋白质结合计设计
[00:08:42 - 00:08:45] 没活性位点支架设计等方面表现出色
[00:08:45 - 00:08:47] 而且具备极好的通用性
[00:08:47 - 00:08:49] 目前也已经开源
[00:08:49 - 00:08:50] 与此同时
[00:08:50 - 00:08:52] 为了进一步拓展RF Defusion的能力
[00:08:52 - 00:08:54] 贝克还开发了一种
[00:08:54 - 00:08:55] 基于深度学习的
[00:08:55 - 00:08:56] 弹牌制序列设计方法
[00:08:56 - 00:08:57] Portin MPNN
[00:08:58 - 00:09:00] Portin MPNN将弹牌制结构作为输入
[00:09:00 - 00:09:01] 一秒即可生成
[00:09:01 - 00:09:03] 能够折叠成对应股价的
[00:09:03 - 00:09:04] 新安计算序列
[00:09:04 - 00:09:06] 结合像RF Defusion
[00:09:06 - 00:09:07] 这样的结构生成工具
[00:09:07 - 00:09:08] 它可以用来设计
[00:09:08 - 00:09:10] 具有前所未见的序列
[00:09:10 - 00:09:11] 结构和功能的弹牌制
[00:09:11 - 00:09:12] 研究表明
[00:09:12 - 00:09:14] 在天然弹牌制股价上
[00:09:14 - 00:09:18] Protin-MPNN的序列恢復率为52.4%
[00:09:18 - 00:09:20] 而过去基于Rossetta的物理设计
[00:09:20 - 00:09:21] 仅为32.9%
[00:09:21 - 00:09:24] 这个成果最终以一篇提为
[00:09:24 - 00:09:26] 使用Protin-MPNN进行
[00:09:26 - 00:09:27] 稳健深度学习的
[00:09:27 - 00:09:28] 蛋白质序列设计的论文
[00:09:28 - 00:09:30] 被科学杂志漏用
[00:09:30 - 00:09:32] 除了开发新的工具以外
[00:09:32 - 00:09:33] Bake的团队还对Rossetta
[00:09:33 - 00:09:35] 和Folded进行了优化
[00:09:35 - 00:09:36] 通过在软件内引入
[00:09:36 - 00:09:37] 新的模块和算法
[00:09:37 - 00:09:40] 这两款软件不再仅仅局限于
[00:09:40 - 00:09:41] 蛋白质结构预测
[00:09:41 - 00:09:42] 还拓展到了抗体预测
[00:09:42 - 00:09:44] 没设计和小分子对接等方面
[00:09:45 - 00:09:45] 贝克表示
[00:09:45 - 00:09:48] Fordy的最初是为蛋白质结构预测而创建的
[00:09:48 - 00:09:50] 但是随着研究的深入
[00:09:50 - 00:09:52] 现在已经转向了蛋白质设计
[00:09:52 - 00:09:54] 团队会不断的为玩家更新关卡
[00:09:54 - 00:09:57] 让游戏与研究兴趣的变化保持同步
[00:09:57 - 00:10:00] 贝克的研究成果不仅在学术界引起了轰动
[00:10:00 - 00:10:02] 还在工业界得到了广泛的应用
[00:10:02 - 00:10:04] 他甚至将科研成果转化为实际的产品
[00:10:04 - 00:10:06] 才能够真正的造福任类
[00:10:06 - 00:10:09] 因此 每当他认为某项技术基本成熟的时候
[00:10:09 - 00:10:11] 就会成立新的公司
[00:10:11 - 00:10:13] 或者投入过往创立的公司来进行伏画
[00:10:14 - 00:10:15] 推动技术的产业化落地
[00:10:15 - 00:10:17] 根据华盛顿大学
[00:10:17 - 00:10:19] 淡白智设计研究所的官网显示
[00:10:19 - 00:10:20] 贝克作为创始人
[00:10:20 - 00:10:22] 直接参与的公司就有21家
[00:10:22 - 00:10:22] 此外
[00:10:22 - 00:10:23] 他还以顾问的身份
[00:10:23 - 00:10:25] 参与了其他公司的运营
[00:10:25 - 00:10:27] 以2024年4月成立的
[00:10:27 - 00:10:29] Exror Cereoputics公司贝利
[00:10:29 - 00:10:30] 他就应用了
[00:10:30 - 00:10:32] IF Diffusion和Protin MPN的技术
[00:10:32 - 00:10:34] 公司致力于通过新兴的AI技术
[00:10:34 - 00:10:36] 重新设计和开发药物
[00:10:36 - 00:10:40] 由斯坦夫大学前校长马克.特希尔拉维尼尔博士
[00:10:40 - 00:10:42] 担任首席执行官贝克为联合创始人
[00:10:42 - 00:10:47] Axler通过整合分子与人体疾病相关生物学特征的海量数据
[00:10:47 - 00:10:48] 来训练高质量的模型
[00:10:48 - 00:10:51] 同时公司建立了工业化的干湿实验平台
[00:10:51 - 00:10:55] 能够在实验室中测试蛋白质对于特定细胞把标的年负程度
[00:10:55 - 00:10:58] 并且评估稳定性等关键的属性
[00:10:58 - 00:11:01] 所有产生的数据会被快速反馈到蛋白质模型中
[00:11:01 - 00:11:03] 实现分子设计的迭代优化
[00:11:03 - 00:11:05] 另外2023年成立的
[00:11:05 - 00:11:06] 安存Battle Sciences公司
[00:11:06 - 00:11:08] 致力於通過生成式AI
[00:11:08 - 00:11:10] 設計一種全新的生物藥物類型
[00:11:10 - 00:11:11] 抗體龍
[00:11:11 - 00:11:12] 簡稱ABC
[00:11:12 - 00:11:15] ABC將AI設計與結構控制融合
[00:11:15 - 00:11:17] 可以完全的控制抗體的方向
[00:11:17 - 00:11:18] 結合預化和價
[00:11:18 - 00:11:19] 大小形狀和剛度
[00:11:19 - 00:11:20] 這種結構控制
[00:11:20 - 00:11:22] 能夠實現精確的生物分布
[00:11:22 - 00:11:24] 和細胞把向結合
[00:11:24 - 00:11:25] 結合內部的臨床數據
[00:11:25 - 00:11:27] 能夠快速驗證抗體的有效性
[00:11:27 - 00:11:30] 公司獲得了英偉達等多家公司的支持
[00:11:30 - 00:11:32] 所用的技術都源於貝克
[00:11:32 - 00:11:35] 在2024年诺贝尔化学奖中获得认可的成果
[00:11:35 - 00:11:37] 2023年Mono的Bell公司
[00:11:37 - 00:11:40] 推出了世界上第一个完全从头蛋白质产品
[00:11:40 - 00:11:42] 用于生命科学研究和诊断的
[00:11:42 - 00:11:44] 银光素梅Luxid Pro
[00:11:44 - 00:11:45] 这个成果也是源自于
[00:11:45 - 00:11:48] 贝克2023年在自然杂志上发表的一篇论文
[00:11:48 - 00:11:51] 此外2009年成立的Azenda
[00:11:51 - 00:11:53] 2014年成立的Sacros Beltike
[00:11:53 - 00:11:57] 以及2018年成立的A-AlphaBell等等公司
[00:11:57 - 00:11:59] 也都积极引进了贝克最新研发的AI技术
[00:11:59 - 00:12:02] 致力于研发更多的新型蛋白质
[00:12:02 - 00:12:04] 用来制造新的药物 疫苗 疾病疗法
[00:12:04 - 00:12:06] 甚至是新的材料
[00:12:06 - 00:12:08] 回顾大为贝克的学术生涯
[00:12:08 - 00:12:09] 他从最初的哲学探索
[00:12:09 - 00:12:12] 逐渐成长为蛋白质设计领域的大师
[00:12:12 - 00:12:14] 每一步都充满了对于未知的渴望
[00:12:14 - 00:12:16] 和对于创新的执着
[00:12:16 - 00:12:18] 他始终坚持合作共赢的理念
[00:12:18 - 00:12:19] 用开放与分享的精神
[00:12:19 - 00:12:22] 激励的全球无数研究人员和科学爱好者
[00:12:22 - 00:12:24] 投身到蛋白质领域的发展中
[00:12:25 - 00:12:27] 他的研究成果不仅在学术界取得了巨大的突破
[00:12:27 - 00:12:30] 还成功从实验室走向了工业界
[00:12:30 - 00:12:33] 为疾病治疗 食物生产 材料科学等多个领域
[00:12:33 - 00:12:34] 带来了新的可能
[00:12:35 - 00:12:36] 随着AI能力的不断进步
[00:12:36 - 00:12:38] 相信我们很快会看到
[00:12:38 - 00:12:41] 但卖制设计领域不断会有新的发现和突破
[00:12:41 - 00:12:43] 帮助我们治疗各种疑难病症
[00:12:43 - 00:12:44] 甚至是改变我们的生活方式
[00:12:44 - 00:12:48] 而这些都与大卫贝克的探索和奉献密不可分
[00:12:48 - 00:12:49] 感谢大家收看本期视频
[00:12:49 - 00:12:50] 我们下期再见
