BV号：BV1dBjV6rETk
标题：BV1dBjV6rETk
链接：https://www.bilibili.com/video/BV1dBjV6rETk
识别语言：zh
语言置信度：1
分段数：212
生成时间：2026-08-29 18:02:53

[00:00:00 - 00:00:02] 是個屁股的Mistral
[00:03:33 - 00:03:36] 說句得罪人的這事兒不是網友太傻
[00:03:36 - 00:03:38] 而是AI圈太愛相信Bunchmart
[00:03:38 - 00:03:40] 看到這裡你可能會問
[00:03:40 - 00:03:42] 這幫人是不是都傻
[00:03:42 - 00:03:43] 但真相更可怕
[00:03:43 - 00:03:44] 這不是智商問題
[00:03:44 - 00:03:46] 而是可信度拼裝的問題
[00:03:46 - 00:03:48] 讓我拆開來看
[00:03:48 - 00:03:48] 第一塊
[00:03:48 - 00:03:51] 權威頭像MISTRAW創始人的推文是真的
[00:03:51 - 00:03:53] 官方賬號的推文是真的
[00:03:53 - 00:03:55] 這些真實的權威信號
[00:03:55 - 00:03:57] 被用来为虚假信息增加可信度
[00:03:57 - 00:03:58] 第二块
[00:03:58 - 00:03:59] 技术黑画
[00:03:59 - 00:04:01] 白皮书里的脂肪张量
[00:04:01 - 00:04:04] FAT朱伊利这些名字虽然搞笑
[00:04:04 - 00:04:06] 但他们基于真实的AI概念
[00:04:06 - 00:04:08] 混合专家模型是真的技术
[00:04:08 - 00:04:10] 常上下文是真的需求
[00:04:10 - 00:04:13] 虚假的东西穿上了真实技术的外衣
[00:04:13 - 00:04:14] 第三块
[00:04:14 - 00:04:15] 政治情绪
[00:04:15 - 00:04:18] 欧盟又在监管了美国在限制欧洲AI
[00:04:18 - 00:04:19] 这些焦虑都是真的
[00:04:19 - 00:04:22] 虚假的模型却反映了真实的矛盾
[00:04:22 - 00:04:23] 这三块拼在一起
[00:04:23 - 00:04:26] 就成了一个看似完整的假现实
[00:04:26 - 00:04:27] 每一块都是真的
[00:04:27 - 00:04:29] 但拼装出来的整体是假的
[00:04:29 - 00:04:32] 这次事件不是假消息伪装成真相
[00:04:32 - 00:04:34] 而是真信号拼成了假现实
[00:04:34 - 00:04:37] 这就是AI时代虚假信息最可怕的地方
[00:04:37 - 00:04:39] 不是信息本身有多离谱
[00:04:39 - 00:04:41] 而是造谣者知道我们会信什么
[00:04:41 - 00:04:43] 看到爆料先查四件事
[00:04:43 - 00:04:46] 所以当你看到下一个AI模型爆料时
[00:04:46 - 00:04:47] 怎么快速判断真假
[00:04:47 - 00:04:49] 第一 官网模型也有没有
[00:04:49 - 00:04:51] 如果真的发布了官方网站的模型
[00:04:51 - 00:04:53] 列表里必须用
[00:04:53 - 00:04:56] MISROR官網現在列的是MISRORLARG3
[00:04:56 - 00:04:58] MIDIUM3.5 SMALL4沒有了CHATING FAT
[00:04:58 - 00:05:01] 第二API文檔有沒有MODEL ID
[00:05:01 - 00:05:04] 真實的模型必須有可調用的API
[00:05:04 - 00:05:06] 沒有MODEL ID就沒法真正使用
[00:05:06 - 00:05:08] 第三官方文檔交叉驗證
[00:05:08 - 00:05:09] 不是看有沒有PDF
[00:05:09 - 00:05:11] 而是看它是不是在官方譽明
[00:05:11 - 00:05:14] 官方文檔API列表裡同時出現
[00:05:14 - 00:05:16] 假MODEL CARD也能做得很像
[00:05:16 - 00:05:18] 但很難同時偽造多個官方渠道
[00:05:18 - 00:05:20] 第三方能不能付現
[00:05:20 - 00:05:24] 真实的模型 独立研究者可以测试和复线性能
[00:05:24 - 00:05:27] 如果只有官方的跑分没有第三方验证
[00:05:27 - 00:05:28] 那就得打个问号
[00:05:28 - 00:05:32] 这次见识能帮你快速过滤掉大部分虚假爆料
[00:05:32 - 00:05:34] 不在于一个虚假模型有多离谱
[00:05:34 - 00:05:37] 而在于它暴露了AI圈的信息生态问题
[00:05:37 - 00:05:39] 首先AI圈太依赖benchmark
[00:05:39 - 00:05:40] 我们看一张跑分表
[00:05:40 - 00:05:42] 就能判断一个模型的好坏
[00:05:42 - 00:05:44] 但benchmark本身就可以被伪造
[00:05:44 - 00:05:47] 当所有人都在看同一张表时
[00:05:47 - 00:05:49] 虚假的表格就能骗过所有人
[00:05:49 - 00:05:52] 其次 权威在AI圈的力量太大
[00:05:52 - 00:05:54] 一个创始人的一句模糊推文
[00:05:54 - 00:05:57] 就能让几百万人相信一个虚假的模型
[00:05:57 - 00:05:59] 这说明我们对权威的依赖程度有多高
[00:05:59 - 00:06:04] 最后 政治情绪在虚假信息中的作用被严重低估了
[00:06:04 - 00:06:07] 这个梗之所以能成立不是因为技术细节有多逼真
[00:06:07 - 00:06:09] 而是因为它反映了真实的焦虑
[00:06:09 - 00:06:12] 当虚假信息和真实情绪结合时
[00:06:12 - 00:06:14] 它的传播力会成倍增长
[00:06:14 - 00:06:16] 你见过最像真的AI假消息是什么
[00:06:16 - 00:06:20] 这起大胖猫事件本质上是一次可信度骗局
[00:06:20 - 00:06:22] 它证明了在AI时代
[00:06:22 - 00:06:25] 虚假信息不是因为技术有多高明
[00:06:25 - 00:06:28] 而是因为我们太容易被真实的信号骗过
[00:06:28 - 00:06:31] 权威头像 技术黑化 政治情绪
[00:06:31 - 00:06:32] 这三样都是真的
[00:06:32 - 00:06:34] 但拼装出来的整体是假的
[00:06:34 - 00:06:37] 所以下次再看到什么颠覆行业的AI爆料
[00:06:37 - 00:06:38] 别急着转发
[00:06:38 - 00:06:41] 用我刚才说的四件事快速过滤一遍
[00:06:41 - 00:06:43] 如果官网没有API
[00:06:43 - 00:06:44] 没有官方文档里没有
[00:06:44 - 00:06:46] 第三方也验证不了
[00:06:46 - 00:06:48] 那就基本可以判断是假的
[00:06:48 - 00:06:50] 但最重要的是要问问自己
[00:06:50 - 00:06:52] 我为什么想相信这个信息
[00:06:52 - 00:06:54] 我的情绪是不是被利用了
[00:06:54 - 00:06:56] 好了今天就聊到这
[00:06:56 - 00:06:57] 我最后想问你
[00:06:57 - 00:07:00] 你见过最像真的AI假消息是哪一个
[00:07:00 - 00:07:01] 评论区打出来
[00:07:01 - 00:07:03] 如果你觉得这期视频有点意思
[00:07:03 - 00:07:05] 别忘了点赞投币转发
[00:07:05 - 00:07:07] 我是为什么叫QQ
[00:07:07 - 00:07:08] 咱们下期再见
