BV号：BV1RqwAewEaq
标题：BV1RqwAewEaq
链接：https://www.bilibili.com/video/BV1RqwAewEaq
识别语言：zh
语言置信度：1
分段数：247
生成时间：2026-08-30 19:28:35

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 我们之前做过一期介绍AI军事公司
[00:02:50 - 00:02:52] 不僅在Planetier擔任重要職務
[00:02:52 - 00:02:54] 還在一些知名的媒體公司的董事會任職
[00:02:54 - 00:02:56] 比如說德國的ExoSpiriner
[00:02:56 - 00:02:58] 以及英國的經濟學人
[00:02:58 - 00:03:00] 這兩位創始人都是經常直言不諱
[00:03:00 - 00:03:02] 而且頗具爭議的人物
[00:03:02 - 00:03:04] 他們在政治上也非常的活躍
[00:03:04 - 00:03:06] 是持續不斷的政治捐助者
[00:03:06 - 00:03:08] 在2016年特朗普競選期間
[00:03:08 - 00:03:10] 別的Tier就向特朗普伸出了援助之手
[00:03:10 - 00:03:12] 還向特朗普支持的共和黨人
[00:03:12 - 00:03:14] 布萊克·馬斯特斯捐款
[00:03:14 - 00:03:16] 而埃利克斯卡普在2023年
[00:03:16 - 00:03:19] 向北美民主党竞选活动捐赠了3.65万美元
[00:03:19 - 00:03:23] 在2020年代表Planetier捐赠了3.55万美元
[00:03:23 - 00:03:24] 在产品方面
[00:03:24 - 00:03:27] Planetier主要的产品包括Gaussam和FanDree
[00:03:27 - 00:03:29] Gaussam目前主要是美国政府
[00:03:29 - 00:03:30] 国防和情报机构在使用
[00:03:30 - 00:03:32] 它能够将大量复杂的数据
[00:03:32 - 00:03:34] 转换为可理解和可使用的信息
[00:03:34 - 00:03:36] 在通过人工智能操作系统
[00:03:36 - 00:03:38] 近乎实时地执行操作
[00:03:38 - 00:03:40] 来帮助发现那些可能被人类忽视的
[00:03:40 - 00:03:41] 深层隐藏联系
[00:03:41 - 00:03:43] 举个阿富汗战场的真实案例
[00:03:43 - 00:03:46] Planetier的系統發現了一個帶著紫色帽子的當地人
[00:03:46 - 00:03:48] 這本來是在普通不過的一幕
[00:03:48 - 00:03:51] 但是系統發現這種顏色在當地極為罕見
[00:03:51 - 00:03:53] 通過持續追蹤這個異常特徵
[00:03:53 - 00:03:55] 再結合其他的行為模式的分析
[00:03:55 - 00:03:57] 最終發現這個人其實是一名
[00:03:57 - 00:03:59] 正在埋涉地雷的恐怖分子
[00:03:59 - 00:04:00] 更為有趣的是
[00:04:00 - 00:04:02] 當地村民後來知道了這個神奇的系統
[00:04:02 - 00:04:03] 竟然跑來問美軍
[00:04:03 - 00:04:06] 能不能幫他們找是誰偷了他們的羊
[00:04:06 - 00:04:08] 而方釋系統則基於數據本體論
[00:04:08 - 00:04:10] 通過整合企業內部各個系統的數據
[00:04:10 - 00:04:12] 提供對市場的準確動差
[00:04:12 - 00:04:15] 资源配置优化以及全方位提升运营效率
[00:04:15 - 00:04:18] 此外,Planeture的陆军数据平台ADP
[00:04:18 - 00:04:21] 已经成功整合了大约180个不同的数据员
[00:04:21 - 00:04:23] 构建起了一个完整的数据生态系统
[00:04:23 - 00:04:26] 这个系统在军事行动中发挥着重要作用
[00:04:26 - 00:04:29] 它不仅可以帮助美军更加高效的完成关键任务
[00:04:29 - 00:04:31] 还显著提升了决策的速度
[00:04:31 - 00:04:34] 2023年Planeture推出了人工智能平台AIP
[00:04:34 - 00:04:37] 通过将大原模型技术集成到客户的业务流程中
[00:04:37 - 00:04:40] 为政府、军工和企业客户提供实实分析
[00:04:40 - 00:04:42] 预测和智能化支持
[00:04:42 - 00:04:44] 另外通过软件管理和部署平台
[00:04:44 - 00:04:47] 阿波罗用户可以快速升级监控和管理
[00:04:47 - 00:04:49] 在全球范围内的Planetier各种软件部署
[00:04:49 - 00:04:51] 从商业模式上来看
[00:04:51 - 00:04:52] Planetier的核心收入主要源自
[00:04:52 - 00:04:55] 与大客户签订的长期定位制合同
[00:04:55 - 00:04:58] 公司下游客户主要包括政府和企业两类
[00:04:58 - 00:05:00] 收费模式包括定位模式
[00:05:00 - 00:05:02] 一次性软件授权以及定制化服务
[00:05:02 - 00:05:04] 货客主要包括三个阶段
[00:05:04 - 00:05:08] 分别是获取 扩展 规模化推广的经典三段论
[00:05:08 - 00:05:10] 公司當前的客單價較高
[00:05:10 - 00:05:11] 交付模式較重
[00:05:11 - 00:05:14] 單客戶貢獻的年收入可以達到大約450萬美元
[00:05:14 - 00:05:17] 政府客戶的客單價通常會高於企業客戶
[00:05:17 - 00:05:21] 一份合同可能會涉及到持續幾年的數據監測分析服務
[00:05:21 - 00:05:24] 價值會高達數百萬甚至上千萬美元
[00:05:24 - 00:05:25] 根據財報透露
[00:05:25 - 00:05:29] 前20大客戶平均每年會在Plantier的產品和服務上
[00:05:29 - 00:05:30] 花費6000萬美元
[00:05:30 - 00:05:31] 從基因情況上來看
[00:05:31 - 00:05:34] 2023年Plantier的收入為22.25億美金
[00:05:34 - 00:05:36] 近幾年的增速逐步回歸
[00:05:36 - 00:05:40] 2024年第三季度给出的全年增速值以为28%
[00:05:40 - 00:05:44] 我们再来说说Planetier在国际正式和军事领域上的影响力
[00:05:44 - 00:05:45] 在军事方面
[00:05:45 - 00:05:47] 它与美国军方有着深度的合作
[00:05:47 - 00:05:49] 包括最近与美国陆军
[00:05:49 - 00:05:52] 续签了一份金额高达4.007亿美元的合同
[00:05:52 - 00:05:53] 如果包含之家选项
[00:05:53 - 00:05:56] 合同总额可能能达到6.2亿美元
[00:05:56 - 00:05:57] 在国际冲动中
[00:05:57 - 00:05:59] Planetier也扮演着重要角色
[00:05:59 - 00:06:00] 根据报道
[00:06:00 - 00:06:01] 在乌克兰与俄罗斯的冲动中
[00:06:01 - 00:06:04] 乌克兰声称拥有击败俄罗斯所需要的优势
[00:06:06 - 00:06:09] 卡普还曾经与乌克兰军事领导人会面
[00:06:09 - 00:06:13] 并且在各种场合强调乌克兰战场对于技术验证的重要性
[00:06:13 - 00:06:14] 更是希望借助这些信息
[00:06:14 - 00:06:17] 帮助美国建立对中国的军事和经济优势
[00:06:17 - 00:06:19] 在加沙地区的冲突中
[00:06:19 - 00:06:21] 潘特尔同样是深度参与
[00:06:21 - 00:06:22] 在以色列设有办事处
[00:06:22 - 00:06:25] 并且与以色列国防军ADF正式合作
[00:06:25 - 00:06:28] 通过技术支持正在进行的加沙战争
[00:06:28 - 00:06:30] 以色列政府的前首席技术官
[00:06:30 - 00:06:32] 埃兰·维特康就曾经在潘特尔工作了近9年
[00:06:32 - 00:06:35] 特别是在特拉维夫工作了一年多
[00:06:35 - 00:06:38] 此外 比特帖尔还投资了以色列的出账公司
[00:06:38 - 00:06:38] 卡败
[00:06:38 - 00:06:40] 这家公司由以色列前总统
[00:06:40 - 00:06:42] 埃德胡巴拉克共同拥有
[00:06:42 - 00:06:44] 包括已故的姓范色者
[00:06:44 - 00:06:45] 杰弗里.艾伯斯坦
[00:06:45 - 00:06:47] 也提供了大量的科技投资资金
[00:06:47 - 00:06:48] 协助创办这家公司
[00:06:48 - 00:06:50] 普兰帖尔还与以色列的手机开发软件
[00:06:50 - 00:06:52] Cellibright有关系
[00:06:52 - 00:06:54] 这家公司曾经利用电话黑客软件
[00:06:54 - 00:06:57] 来支持巴林政府起诉和折磨活动人士
[00:06:57 - 00:06:58] 英国几支警察部队
[00:06:58 - 00:07:01] 也使用了Sally Bright的電話黑客技術
[00:07:01 - 00:07:02] 在社會層面
[00:07:02 - 00:07:04] Planetair也一直引發著不少爭議
[00:07:04 - 00:07:06] 在美國Planetair與移民和海關執法局
[00:07:06 - 00:07:08] ICE的合作就飽受購併
[00:07:08 - 00:07:10] 2014年Planetair與ICE
[00:07:10 - 00:07:13] 簽訂了第一份價值4100萬美元的重要合同
[00:07:13 - 00:07:15] 開發和運營情報數據庫
[00:07:15 - 00:07:18] 用來收集居住在美國移民的大量個人信息
[00:07:18 - 00:07:20] 以便鎖定和驅逐他們
[00:07:20 - 00:07:23] ICE被指控在國內和邊境地區侵犯人權
[00:07:23 - 00:07:25] 比如說將兩名小孩的父母拘略後
[00:07:25 - 00:07:28] 讓小孩獨自留在家中一個多星期
[00:07:28 - 00:07:30] 而Planetier的技術被認為是對SE
[00:07:30 - 00:07:32] 開展這些工作提供了關鍵支持
[00:07:32 - 00:07:35] 在德國也出現過針對Planetier的法律訴訟
[00:07:35 - 00:07:37] 德國的一個法庭案件就發現
[00:07:37 - 00:07:39] 警方利用高省平臺的方式
[00:07:39 - 00:07:40] 可能會錯誤地將人們
[00:07:40 - 00:07:42] 與所謂的犯罪活動聯繫起來
[00:07:42 - 00:07:44] 傳染使人們受到調查和警方監視
[00:07:44 - 00:07:46] 於是德國法院認定違憲
[00:07:46 - 00:07:48] 導致Planetier在德國的擴張放緩
[00:07:48 - 00:07:51] 不過擔賣警方和歐洲刑警組織
[00:07:51 - 00:07:54] 以及法國、義大利和挪威等其他的歐盟國家
[00:07:54 - 00:07:56] 仍然在使用Planetier的轉件
[00:07:56 - 00:07:58] 在如今人工智能軍備競賽的大背景下
[00:07:58 - 00:08:01] Planetier將自己定位為戰爭和武器
[00:08:01 - 00:08:02] 人工智能領域的技術先鋒
[00:08:02 - 00:08:05] 他不斷加大在國防投資和項目上的力度
[00:08:05 - 00:08:07] 成為了美國陸軍名為泰坦的
[00:08:07 - 00:08:09] 大規模戰鬥管理合同的主城包商
[00:08:09 - 00:08:11] 推進下一階段的戰術情報目標
[00:08:11 - 00:08:13] 接入節點地面戰計畫
[00:08:13 - 00:08:15] 目標是通過人工智能和其他技術
[00:08:15 - 00:08:19] 為士兵提供下一代的數據融合和深度感知能力
[00:08:19 - 00:08:21] 同時他還通過BlackSky
[00:08:21 - 00:08:22] 投資數百萬美元
[00:08:22 - 00:08:24] 來建設太空情報技術設施
[00:08:24 - 00:08:27] BlackSky是一家专门从事天机数据
[00:08:27 - 00:08:29] 图像实施分析的地理空间情报公司
[00:08:29 - 00:08:30] 主要与美国政府合作
[00:08:30 - 00:08:33] 通过卫星来预测地缘政治变化
[00:08:33 - 00:08:35] 包括长期对中国舰船的地理探测
[00:08:35 - 00:08:38] 好了 以上就是对Planetair这家公司的基本介绍了
[00:08:38 - 00:08:41] 总的来说Planetair是一家极具争议的科技公司
[00:08:41 - 00:08:43] 借着这次AI浪潮的兴起
[00:08:43 - 00:08:46] Planetair的股价和估值也正在加速上涨
[00:08:46 - 00:08:47] 必须承认的是
[00:08:47 - 00:08:50] AI与军事情报数据分析的融合是一个必然的趋势
[00:08:50 - 00:08:52] 只是不知道这对于整个世界来说
[00:08:52 - 00:08:54] 是件好事还是坏事
[00:08:54 - 00:08:56] 感谢大家收看本期视频
[00:08:56 - 00:08:57] 我们下期再见
