BV号：BV1D9cceUEm3
标题：BV1D9cceUEm3
链接：https://www.bilibili.com/video/BV1D9cceUEm3
识别语言：zh
语言置信度：1
分段数：222
生成时间：2026-08-30 20:17:48

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:07] 上一期视频我们介绍了黄泳勋在CES上最新发布的内容
[00:02:45 - 00:02:47] 構建出來的世界基礎模型大概是這樣的
[00:02:47 - 00:02:49] 假設X0T
[00:02:49 - 00:02:52] 為從時間0到T的真實世界視覺觀測序列
[00:02:52 - 00:02:55] 而CT為對世界的擾動
[00:02:55 - 00:03:00] 那么WFM能够根据过去的观测X0T和当前的扰动CT
[00:03:00 - 00:03:03] 来预测时间T加1的未来观测值
[00:03:03 - 00:03:07] 而对于视频来说X0T就是一个RGB视频
[00:03:07 - 00:03:09] CT可以是多种形式的扰动
[00:03:09 - 00:03:13] 比如说物理AI的动作随机扰动或者是描述扰动的文本等等
[00:03:13 - 00:03:15] 除此以外我们都知道
[00:03:15 - 00:03:17] 数据决定了一个AI模型的上限
[00:03:17 - 00:03:20] 因此为了构建一个高上限的预讯量WFM
[00:03:20 - 00:03:24] 研究人员还开发了一个基于瑞框架的视频数据处理流程
[00:03:24 - 00:03:28] 用它來定位具有豐富動態效果和高視覺質量的視頻部分
[00:03:28 - 00:03:32] 來促進模型學習編碼在視覺內容中的物理知識
[00:03:32 - 00:03:35] 這個視頻數據處理流程包括5個主要的步驟
[00:03:35 - 00:03:39] 分別是分割、過濾、標註、去蟲以及分片
[00:03:39 - 00:03:42] 這些步驟都經過了專門的優化
[00:03:42 - 00:03:45] 從而提高數據質量並且滿足模型訓練的需求
[00:03:45 - 00:03:46] 利用這個編輯流程
[00:03:46 - 00:03:49] 研究人員從長達2000萬個小時
[00:03:49 - 00:03:52] 分別率為720p到4k不等的原始視頻集合中
[00:03:52 - 00:03:55] 提取了大約1億個視頻片段
[00:03:55 - 00:03:57] 片段長度從2秒到60秒不等
[00:03:57 - 00:03:59] 其中涵蓋了各種物理AI應用
[00:03:59 - 00:04:02] 最主要的類別包括20%的自然動態
[00:04:02 - 00:04:05] 16%的空間意識和導航
[00:04:05 - 00:04:07] 16%的手部動作和物理操作
[00:04:07 - 00:04:10] 11%的駕駛和10%的人體動作和活動
[00:04:10 - 00:04:12] 對於每個訓練片段
[00:04:12 - 00:04:14] 他們使用視覺語言模型VLM
[00:04:14 - 00:04:16] 對每256個針
[00:04:16 - 00:04:17] 提供一個視頻描述
[00:04:17 - 00:04:20] 因為視頻處理是計算密集型的工作
[00:04:20 - 00:04:25] 所以研究人员还利用了GPU上的H264编码器和解码器来进行解码和转码
[00:04:25 - 00:04:30] 在报告中 研究人员探讨了两种用来构建预训链WFN的可扩展方法
[00:04:30 - 00:04:35] 这两种方法分别是基于Transformer的扩散模型和自回归模型
[00:04:35 - 00:04:39] 扩散模型是通过逐步去除高丝造成视频中的造成来生成视频
[00:04:39 - 00:04:42] 而自回归模型则是基于之前的生成内容
[00:04:42 - 00:04:45] 按照预设顺序来逐段的生成视频
[00:04:45 - 00:04:50] 这两种方法都能够将困难的视频生成问题分解为更加容易解决的子问题
[00:04:50 - 00:04:54] 对于基于扩散的WFM预讯链的包含两个步骤
[00:04:54 - 00:04:57] 分别是从文本到世界生成预讯链
[00:04:57 - 00:04:59] 以及从视频到世界生成预讯链
[00:04:59 - 00:05:03] 而对于基于自回归的WFM预讯链也包含两个步骤
[00:05:03 - 00:05:08] 分别是基本的下一个token的生成和文本条件的视频到世界生成
[00:05:08 - 00:05:09] 但是不管怎么样
[00:05:09 - 00:05:13] 扩散模型和自回归模型都是使用token来表示视频的
[00:05:13 - 00:05:16] 只不過前者使用相量形式的連續token
[00:05:16 - 00:05:19] 而後者使用整數形式的離散token
[00:05:19 - 00:05:20] 研究人員注意到
[00:05:20 - 00:05:23] 視頻的token化其實是一個非常複雜的過程
[00:05:23 - 00:05:25] 因為視頻包含了豐富的視覺世界信息
[00:05:25 - 00:05:28] 所以為了便於學習世界基礎模型
[00:05:28 - 00:05:31] 就需要將視頻壓縮為緊湊的token序列
[00:05:31 - 00:05:34] 同時還有最大限度的保留視頻中的原始內容
[00:05:34 - 00:05:37] 因為世界基礎模型訓練的計算複雜度
[00:05:37 - 00:05:39] 會隨著token數量的增加而增加
[00:05:39 - 00:05:42] 為此研究人員提出了cosmos分辭器
[00:05:42 - 00:05:44] 这是一组视觉分辞器
[00:05:44 - 00:05:47] 其中包括用于图像和视频的连续和离散分辞器
[00:05:47 - 00:05:51] Cosmos分辞器可以提供卓越的视觉重建质量和推理效率
[00:05:51 - 00:05:53] 并且能提供一系列的压缩率
[00:05:53 - 00:05:56] 来适应不同的计算限制和应用程序需求
[00:05:56 - 00:05:57] 具体来说
[00:05:57 - 00:06:01] Cosmos分辞器采用了轻量化而且计算高效的架构
[00:06:01 - 00:06:03] 并且结合了时间因果机制
[00:06:03 - 00:06:06] 通过使用因果时间卷机层和因果时间注意力层
[00:06:06 - 00:06:09] 模型可以保留视频真的自然时间顺序
[00:06:09 - 00:06:13] 通过单一统一的网络架构实现图像和视频的无缝分词
[00:06:13 - 00:06:17] 通过在高分辨率图像和长时间视频上直接训练分词器
[00:06:17 - 00:06:20] 可以不受类别或者是宽高比的限制
[00:06:20 - 00:06:25] 包括1比1,3比4,4比3,9比16和16比9等等
[00:06:25 - 00:06:27] 而且在推理阶段它对时间长度不敏感
[00:06:27 - 00:06:30] 能够处理超出训练时间长度的视频分词
[00:06:30 - 00:06:32] 评估结构表明
[00:06:32 - 00:06:35] Cosmos分词器在性能上显著超越了现有的分词器
[00:06:35 - 00:06:36] 不仅质量更高
[00:06:36 - 00:06:39] 而且运行速度最快可以达到12倍
[00:06:39 - 00:06:40] 此外
[00:06:40 - 00:06:42] 它还可以在单块80GB显存的
[00:06:42 - 00:06:43] 因为达A100GPU上
[00:06:43 - 00:06:44] 一次性编码
[00:06:44 - 00:06:46] 长达8秒的1080P视频
[00:06:46 - 00:06:48] 和10秒的720P视频
[00:06:48 - 00:06:49] 而且不会耗尽内存
[00:06:49 - 00:06:50] 接下来
[00:06:50 - 00:06:51] 研究人员针对于
[00:06:51 - 00:06:53] 预讯链的WFM进行微调
[00:06:53 - 00:06:54] 从而获得可以适用于各种
[00:06:54 - 00:06:57] 物理AI任务的后讯链WFM
[00:06:57 - 00:06:58] 在后讯链中
[00:06:58 - 00:06:59] 研究人员以相机姿态
[00:06:59 - 00:07:01] 作为输入提示词
[00:07:01 - 00:07:02] 从而创建出了一个
[00:07:02 - 00:07:03] 可导航的虚拟世界
[00:07:03 - 00:07:07] 用戶可以通過移動虛擬視點來探索所創建的世界
[00:07:07 - 00:07:11] 隨後 研究人員在由視頻動作系列組成的各種機器人任務中
[00:07:11 - 00:07:13] 對WFM進行了微調
[00:07:13 - 00:07:15] 結果表明通過利用預訓鏈的WFM
[00:07:15 - 00:07:19] 可以根據機器人採取的行動更好的預測世界的未來狀態
[00:07:19 - 00:07:22] 研究人員在論文中展示了兩個任務
[00:07:22 - 00:07:26] 分別是基於指令的視頻預測以及基於動作的下一針預測
[00:07:26 - 00:07:28] 對於基於指令的視頻預測
[00:07:28 - 00:07:30] 入入的是機器人當前的視頻針以及文本指令
[00:07:30 - 00:07:32] 輸出的是預測的視頻
[00:07:32 - 00:07:35] 年纪人员创建了一个名为Cosmos EX的数据机
[00:07:35 - 00:07:38] 其中包含了大约200个小时的
[00:07:38 - 00:07:40] 由1V1机型捕捉到的第一视角视频
[00:07:40 - 00:07:44] 包括导航 折叠义物 清洁桌面 识取物体等等
[00:07:44 - 00:07:45] 基于动作的下一帧预测
[00:07:45 - 00:07:47] 输入的是机型人的当前视频帧
[00:07:47 - 00:07:50] 以及当前帧与下一个帧之间的动作项量
[00:07:50 - 00:07:52] 输出的是预测的下一帧
[00:07:52 - 00:07:55] 目的是为了展示机型执行指定动作的结果
[00:07:55 - 00:07:58] 团队使用了一个名为Bridge的公开数据机
[00:07:58 - 00:08:01] 包括大约2万个第三人称视角的视频
[00:08:01 - 00:08:05] 展示了机器人手臂在厨房环境中执行不同任务的过程
[00:08:05 - 00:08:08] 为了展示如何对预训链的WFM进行微调
[00:08:08 - 00:08:12] 研究人员还创建了一个适用于自动驾驶任务的多视角世界模型
[00:08:12 - 00:08:15] 他们策划了一个内部的数据级
[00:08:15 - 00:08:17] 称为真实驾驶场景RDS数据级
[00:08:17 - 00:08:21] 包含大约360万个20秒的环视视频片段
[00:08:21 - 00:08:24] 这些视频都是通过英伟达的内部驾驶平台录制的
[00:08:24 - 00:08:27] 随后 研究人员使用RDS数据级
[00:08:27 - 00:08:31] 对Cosmos 1.0 Diffusion 7B Text to World模型进行微调
[00:08:31 - 00:08:33] 打造了一个多视角的世界模型
[00:08:33 - 00:08:37] 最后因为英伟达开发WFM的预期用途
[00:08:37 - 00:08:38] 是作为物理AI的构建者
[00:08:38 - 00:08:41] 所以为了在使用的时候更好地保护开发人员
[00:08:41 - 00:08:44] 研究人员还开发了一个功能强大的防护系统
[00:08:44 - 00:08:48] 其中包括一个用来阻止有害数的前置防护系统
[00:08:48 - 00:08:52] 以及一个通过视频内容安全分立器和面部模糊过立器
[00:08:52 - 00:08:54] 来阻止有害输出的后置防护系统
[00:08:54 - 00:08:58] 总的来说我们可以把世界基础模型WFM
[00:08:58 - 00:09:01] 看作是一种能够模拟物理世界的强大神经网络
[00:09:01 - 00:09:05] 它可以从文本和图像输入数据生成详细的视频
[00:09:05 - 00:09:07] 并且通过将当前状态与动作相结合
[00:09:07 - 00:09:09] 来预测场景的演变
[00:09:09 - 00:09:13] WFM不仅能够帮助开发人员想象许多不同的环境
[00:09:13 - 00:09:15] 模拟未来做出更好的决策
[00:09:15 - 00:09:15] 另一方面
[00:09:15 - 00:09:18] 构建世界模型通常需要收集大量的数据集
[00:09:18 - 00:09:20] 不仅耗时成本也高
[00:09:20 - 00:09:24] 而WFM可以通过生成合成数据来增强训练的过程
[00:09:24 - 00:09:26] 此外物理测试的风险巨大
[00:09:26 - 00:09:29] 比如说一台价值数十万美元的机器人员形
[00:09:29 - 00:09:31] 任何失误都可能带来重大的损失
[00:09:31 - 00:09:33] 而有了WF模拟的3D环境
[00:09:33 - 00:09:36] 研究人员就可以在受控的环境中
[00:09:36 - 00:09:37] 训练和测试物理AI系统
[00:09:37 - 00:09:39] 总之物理模拟世界的一切
[00:09:39 - 00:09:42] 因为它Cosmos都能够帮你生成出来
[00:09:42 - 00:09:45] 郑文同老黄在CES会上强调的一个新概念
[00:09:45 - 00:09:47] 以后会需要三台计算机
[00:09:47 - 00:09:50] 分别是一台DGX用来训练AI
[00:09:50 - 00:09:52] 另一台AGX用来部署AI
[00:09:52 - 00:09:55] 以及最後一台便是Omniverse加Cosmos
[00:09:55 - 00:09:58] 在未來也許每一個工廠都會擁有數字亂升
[00:09:58 - 00:10:01] 通過將Omniverse和Cosmos結合
[00:10:01 - 00:10:03] 來生成一大批的未來場景
[00:10:03 - 00:10:03] 好了
[00:10:03 - 00:10:05] 以上就是對這篇論文的大概解讀了
[00:10:05 - 00:10:06] 感謝大家的收看
[00:10:06 - 00:10:07] 我們下期再見
