BV号：BV1XRASeFEL6
标题：BV1XRASeFEL6
链接：https://www.bilibili.com/video/BV1XRASeFEL6
识别语言：zh
语言置信度：1
分段数：259
生成时间：2026-08-30 12:46:43

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在科技行业 芯片领域的每次风吹草动
[00:00:05 - 00:00:07] 都能够掀起巨大的波澜
[00:03:05 - 00:03:08] 到现在已经持续超过两个月的时间了
[00:03:08 - 00:03:13] 不过新掌门人的使命将取决于公司最终保留那些业务部门
[00:03:13 - 00:03:17] 这也从侧面反映出英特尔正在处于业务调整的关键时期
[00:03:17 - 00:03:20] 虽然博通和台积电都有收购英特尔相关业务的意向
[00:03:20 - 00:03:22] 但是这中间仍然面临着许多难题
[00:03:22 - 00:03:24] 从运营层面来看
[00:03:24 - 00:03:26] 台积电与英特尔的讨论
[00:03:26 - 00:03:27] 涉及到分拆英特尔在美国
[00:03:27 - 00:03:30] 配备EUV光刻设备的先进金源厂
[00:03:30 - 00:03:32] 还将它转换为台积电的制造工艺
[00:03:32 - 00:03:34] 并且由台积电来负责运营
[00:03:34 - 00:03:36] 这在技术上几乎是难以实现的
[00:03:36 - 00:03:38] 彭博社最近的报道就指出
[00:03:38 - 00:03:40] 这笔交易可能会由其他美国公司
[00:03:40 - 00:03:42] 与台积电共同投资
[00:03:42 - 00:03:44] 目的是确保产能的供应
[00:03:44 - 00:03:47] 同时保证运营权不被外资所控制
[00:03:47 - 00:03:48] 对台积电来说
[00:03:48 - 00:03:49] 接管英特尔的惊人厂
[00:03:49 - 00:03:52] 也面临着重大的运营调整挑战
[00:03:52 - 00:03:55] 对于不同芯片制造商采用的工艺技术完全不同
[00:03:55 - 00:03:57] 要想运营这些惊人厂
[00:03:57 - 00:04:00] 台积电就需要向英特尔披露自己的专有制造工艺
[00:04:00 - 00:04:02] 在竞争如此激烈的芯片行业
[00:04:02 - 00:04:04] 这无一会带来重大的风险
[00:04:04 - 00:04:05] 对英特尔而言
[00:04:05 - 00:04:07] 放弃对生产的直接控制
[00:04:07 - 00:04:09] 尤其是放弃对于工艺技术的掌握
[00:04:09 - 00:04:11] 将从根本上改变
[00:04:11 - 00:04:14] 及设计制造鱼一体的IDM商业模式
[00:04:14 - 00:04:16] 而且英特尔在海外投资项目的前景
[00:04:16 - 00:04:18] 也会充满不确定性
[00:04:18 - 00:04:19] 从传统上来讲
[00:04:19 - 00:04:21] 英特尔采用的是IDM博士
[00:04:21 - 00:04:22] 推进这项交易
[00:04:22 - 00:04:23] 可能会促使他转型为
[00:04:23 - 00:04:25] 专注于设计的芯片公司
[00:04:25 - 00:04:27] 这不仅会改变英特尔在行业中的定位
[00:04:27 - 00:04:29] 还可能让他的毛利率
[00:04:29 - 00:04:31] 从利涯上持续保持的50%以上
[00:04:31 - 00:04:33] 大幅的下滑
[00:04:33 - 00:04:34] 对财经电而言
[00:04:34 - 00:04:36] 这笔交易也可能影响他目前
[00:04:36 - 00:04:38] 维持在55%的毛利率水平
[00:04:38 - 00:04:40] 而这可是公司管理层这几年来
[00:04:40 - 00:04:43] 一直在努力维护和提升的核心指标
[00:04:44 - 00:04:45] 技术和运营方面的难题以外
[00:04:45 - 00:04:47] 还有来自于政府层面的因素
[00:04:47 - 00:04:49] 英特尔对于美国国家安全来说
[00:04:49 - 00:04:51] 具有战略性的意义
[00:04:51 - 00:04:53] 所以特朗普政府特别关注他的命运
[00:04:53 - 00:04:56] 根据路透社的一位高层消息人士称
[00:04:56 - 00:04:58] 特朗普政府不太可能批准
[00:04:58 - 00:04:59] 由外国公司来管理和运营
[00:04:59 - 00:05:01] 英特尔在美国的经营厂
[00:05:01 - 00:05:03] 尽管现任美国政府
[00:05:03 - 00:05:06] 支持外资投资美国工业和科技创新
[00:05:06 - 00:05:07] 但是坚持美国公司
[00:05:07 - 00:05:09] 必须保持本土的控制权
[00:05:09 - 00:05:11] 2022年的芯片法案
[00:05:11 - 00:05:13] 就设立了一个530亿美元的芯片制造
[00:05:13 - 00:05:14] 补助计划
[00:05:14 - 00:05:17] 而英特尔是这个计划下最大的资金接受者
[00:05:17 - 00:05:19] 获得了高达79亿美元的资金
[00:05:19 - 00:05:22] 用来支持在美国的新经营厂建设
[00:05:22 - 00:05:23] 根据公司的监管文件
[00:05:23 - 00:05:25] 作为该协议的一部分
[00:05:25 - 00:05:27] 如果经营厂被分拆为新的实体
[00:05:27 - 00:05:29] 英特尔需要保持多数的股权
[00:05:29 - 00:05:30] 再往前推一点
[00:05:30 - 00:05:32] 2017年12月
[00:05:32 - 00:05:34] 博通对于半导体制造商高通
[00:05:34 - 00:05:37] 发起了超过1000亿美元的恶意收购邀约
[00:05:37 - 00:05:40] 最终就是在特朗普政府的第一任期内被否决
[00:05:40 - 00:05:43] 博通随后也撤回了收购邀约
[00:05:43 - 00:05:46] 这也从侧面反映出政府在这类收购交易中的影响力
[00:05:46 - 00:05:48] 回顾英特尔的发展历史
[00:05:48 - 00:05:50] 曾经可是芯片行业的绝对霸主
[00:05:50 - 00:05:53] 英特尔最初是从计算机内存业务起步的
[00:05:53 - 00:05:55] 在当时计算机内存的发展需求迫切
[00:05:55 - 00:05:57] 英特尔抓住了这个机遇
[00:05:57 - 00:05:59] 实现了自己的第一个重大突破
[00:05:59 - 00:06:02] 可以说英特尔彻底改变了计算机内存行业
[00:06:02 - 00:06:04] 将它发展成了一个独立的产业
[00:06:04 - 00:06:05] 到了80年代初期
[00:06:05 - 00:06:07] 个人电脑PC出现了
[00:06:07 - 00:06:10] 这成为了英特尔发展历程中的又一个关键的转折点
[00:06:10 - 00:06:13] 当时IBM选择了英特尔芯片
[00:06:13 - 00:06:14] 作为个人电脑的核心部件
[00:06:14 - 00:06:17] 英特尔就此成为了个人计算机的大脑
[00:06:17 - 00:06:18] 英特尔敏锐的意识到
[00:06:18 - 00:06:20] 微处理器的巨大潜力
[00:06:20 - 00:06:21] 事实也证明
[00:06:21 - 00:06:23] 这个决策成就了英特尔的辉煌
[00:06:23 - 00:06:24] 在之后的几十年里
[00:06:24 - 00:06:26] 英特尔在计算机芯片制造领域
[00:06:26 - 00:06:28] 始终保持着领先的优势
[00:06:28 - 00:06:30] 不断在芯片上集成更多的晶体管
[00:06:30 - 00:06:31] 而实现这个目标的方法
[00:06:31 - 00:06:33] 就是缩小晶体管的体积
[00:06:33 - 00:06:36] 如今一颗现代的GPU芯片上
[00:06:36 - 00:06:38] 几乎可以容纳数百亿个竞体馆
[00:06:38 - 00:06:40] 而整体大小却不超过指甲杆
[00:06:40 - 00:06:43] 这从英特尔创办初期的起点来看
[00:06:43 - 00:06:45] 无一是一项令人惊叹的成就
[00:06:45 - 00:06:46] 然而进入21世纪以来
[00:06:46 - 00:06:49] 英特尔的发展就开始逐渐出现了问题
[00:06:49 - 00:06:50] 2000年代
[00:06:50 - 00:06:52] 乔布斯为iPhone寻找芯片的时候
[00:06:52 - 00:06:54] 认为英特尔的芯片价格过高
[00:06:54 - 00:06:56] 于是把iPhone初期的芯片订单
[00:06:56 - 00:06:58] 给了竞争对手三星
[00:06:58 - 00:06:59] 这个事件虽然只是一个开端
[00:06:59 - 00:07:02] 但是也显示出英特尔在市场竞争中
[00:07:02 - 00:07:03] 开始面临挑战
[00:07:03 - 00:07:04] 到了2010年代
[00:07:04 - 00:07:07] 英特尔积累的技术优势开始出现问题
[00:07:07 - 00:07:08] 英特尔曾经承诺过
[00:07:08 - 00:07:11] 要在2015年推出下一代的工艺技术
[00:07:11 - 00:07:13] 但是这项技术却多次的跳票
[00:07:13 - 00:07:15] 2015年过去了
[00:07:15 - 00:07:16] 新技术不仅没有出现
[00:07:16 - 00:07:18] 直到2019年依然不见踪影
[00:07:18 - 00:07:21] 尽管英特尔在财务表现上依然不错
[00:07:21 - 00:07:22] 盈利状况良好
[00:07:22 - 00:07:23] 但是技术突破的延迟
[00:07:23 - 00:07:25] 让人们开始对它产生质疑
[00:07:25 - 00:07:28] 那个曾经引领行业发展的英特尔
[00:07:28 - 00:07:29] 似乎正在逐渐的远去
[00:07:29 - 00:07:31] 在AI浪潮星期的时候
[00:07:31 - 00:07:33] 英特尔更是犯了关键的错误
[00:07:33 - 00:07:36] 英特尔其实早早就意识到了AI技术的潜力
[00:07:36 - 00:07:39] 但是并没有充分投入到这个领域的核心需求中
[00:07:39 - 00:07:40] 与英伟达不同
[00:07:40 - 00:07:42] 英特尔没有迅速调整技术路线
[00:07:42 - 00:07:44] 来迎合人工智能对于计算能力的需求
[00:07:44 - 00:07:46] 而反观英伟达
[00:07:46 - 00:07:47] 则通过开发专门的GPU
[00:07:47 - 00:07:51] 成功满足了AI计算所需要的大规模病情处理能力
[00:07:51 - 00:07:54] 而英特尔依然将主要的精力集中在传统的CPU上
[00:07:54 - 00:07:58] 由于英特尔没有能够及时认识到AI硬件的不同需求
[00:07:58 - 00:08:01] 在技术上也没能跟上这个变革性的趋势
[00:08:01 - 00:08:04] 使得英伟达迅速在AI领域取得了领先的地位
[00:08:04 - 00:08:08] 英特尔前首席知情官帕特基辛格推行的制造业振兴计划
[00:08:08 - 00:08:10] 最终也以失败告终
[00:08:10 - 00:08:13] 他本人也在2024年12月被英特尔解雇
[00:08:13 - 00:08:16] 据说解雇原因就是英特尔的股价和市场份额暴跌
[00:08:16 - 00:08:19] 如今英特尔的处境可以说是十分的艰难
[00:08:19 - 00:08:21] 甚至有观点认为
[00:08:21 - 00:08:23] 在年底前英特尔有可能就不复存在了
[00:08:23 - 00:08:25] 至少这种风险是绝对存在的
[00:08:25 - 00:08:27] 如果英特尔真的消失了
[00:08:27 - 00:08:30] 这无疑是对美国国家声誉的一次巨大的打击
[00:08:30 - 00:08:32] 也会影响美国在关键产业的领导能力
[00:08:32 - 00:08:34] 而且从行业的角度来看
[00:08:34 - 00:08:38] 英特尔在芯片行业有着深厚的底韵和广泛的影响力
[00:08:38 - 00:08:41] 它的消失会让整个行业的格局发生巨大的变化
[00:08:41 - 00:08:43] 很多业内人士都表示
[00:08:43 - 00:08:45] 虽然英特尔在竞争过程中
[00:08:45 - 00:08:47] 给其他公司带来过很大的压力
[00:08:47 - 00:08:48] 但是作为一个行业
[00:08:48 - 00:08:50] 不能够承受英特尔的失败
[00:08:50 - 00:08:53] 大家还是希望英特尔能够回归往日的辉煌
[00:08:53 - 00:08:55] 至于英特尔未来到底会走向何方
[00:08:55 - 00:08:57] 目前还充满了不确定性
[00:08:57 - 00:08:59] 智慧成功地应对困境实现逆袭
[00:08:59 - 00:09:01] 还是会真的被拆分
[00:09:01 - 00:09:03] 彻底改变芯片行业的格局
[00:09:03 - 00:09:04] 我们只能拭目以待
[00:09:04 - 00:09:06] 我们频道也会持续关注这个事件的发展
[00:09:06 - 00:09:08] 为大家带来后续的报道
[00:09:08 - 00:09:10] 感谢大家收看本期视频
[00:09:10 - 00:09:11] 我们下期再见
