BV号：BV11sQaYqEAU
标题：BV11sQaYqEAU
链接：https://www.bilibili.com/video/BV11sQaYqEAU
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 10:32:00

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 就在13号 欧普安针对于美国政府
[00:00:05 - 00:00:07] 即将出台的AI行动计划
[00:05:32 - 00:05:35] 让他们可以通过采纳民主的AI原则
[00:05:35 - 00:05:38] 以及更为有效的管理芯片转运风险
[00:05:38 - 00:05:39] 而获得一级身份
[00:05:39 - 00:05:42] 此外还应该利用二级国家对于美国AI的兴趣
[00:05:42 - 00:05:45] 鼓励他们投资美国加强安全措施
[00:05:45 - 00:05:48] 鼓励更多的国家在美国的轨道上构建AI
[00:05:48 - 00:05:51] 具体的措施包括建立一个透明的流程
[00:05:51 - 00:05:55] 来评估各国从二级到一级的转型的准备情况
[00:05:55 - 00:05:58] 通过帮助二级国家加强本国的安全计划
[00:05:58 - 00:06:00] 支持他们从二级向一级转型
[00:06:00 - 00:06:03] 鼓励美国与二级国家之间
[00:06:03 - 00:06:05] 建立更为紧密的经济互相依赖
[00:06:05 - 00:06:07] 激励公司合作伙伴关系
[00:06:07 - 00:06:10] 对于能够在未来提升国内安全控制的硬件
[00:06:10 - 00:06:13] 迅速促使其成熟、规模化和商业化
[00:06:13 - 00:06:15] 而对于中国等三级国家
[00:06:15 - 00:06:18] 应该继续受到严格的AI系统出口管制
[00:06:18 - 00:06:20] 包括对于先进芯片的现有出口管制
[00:06:20 - 00:06:22] 并且进一步扩大到
[00:06:22 - 00:06:26] 包括大陆规模推理和强化学习训练所需要的先进芯片
[00:06:26 - 00:06:30] 以及用来制造先进AI芯片和数据中心的相关组件方面
[00:06:30 - 00:06:33] 在版权方面OpenI还在提案中强调
[00:06:33 - 00:06:36] 美国的版权法在美国的早期技术进步阶段
[00:06:36 - 00:06:37] 发挥了重要的作用
[00:06:37 - 00:06:40] 如今对于美国继续保持AI行业的领导地位
[00:06:40 - 00:06:42] 也变得更为关键
[00:06:42 - 00:06:44] OPPAI认为自己的模型并不是通过复制
[00:06:44 - 00:06:48] 或者是直接提供现有的作品供公众消费
[00:06:48 - 00:06:50] 而是从作品中学习提取模式
[00:06:51 - 00:06:52] 原结构和上下文见解
[00:06:53 - 00:06:56] 这意味着AI模型的训练方式符合版权法
[00:06:56 - 00:06:58] 以及合理使用原则的核心目标
[00:06:58 - 00:07:02] 及利用现有的作品创造出全新的不同的内容
[00:07:02 - 00:07:04] 而不会削弱这些作品的商业价值
[00:07:04 - 00:07:08] OPEN-I還提到將合理使用原則應用到AI行業
[00:07:08 - 00:07:10] 不僅關乎於美國的競爭力
[00:07:10 - 00:07:12] 更關乎於國家安全
[00:07:12 - 00:07:16] 而實際上目前美國的很多AI企業都面臨著版權的問題
[00:07:16 - 00:07:20] 其中OPEN-I就涉及到數十起版權侵權案件
[00:07:20 - 00:07:21] 版權的所有者認為
[00:07:21 - 00:07:24] AI模型在訓練過程中使用了受保護的創意作品
[00:07:24 - 00:07:27] 導致原創作者被AI所取代
[00:07:27 - 00:07:28] 而OPEN-I則變成
[00:07:28 - 00:07:32] AI在訓練過程中對於受版權保護的作品進行了轉化
[00:07:32 - 00:07:35] 生存的内容也不会直接的替代原作品
[00:07:35 - 00:07:37] 因此应该被视为合理的使用
[00:07:37 - 00:07:39] 于是在这次提案中
[00:07:39 - 00:07:42] OpenI明显是希望通过政策干预
[00:07:42 - 00:07:44] 来避免对自己不利的裁决
[00:07:44 - 00:07:46] 强调政府应该对此放手
[00:07:46 - 00:07:47] 进行版权改革
[00:07:47 - 00:07:49] 在基础设施建设方面
[00:07:49 - 00:07:50] OpenI还提出
[00:07:50 - 00:07:52] 目前全球有数千亿美元资金
[00:07:52 - 00:07:54] 等待投降AI的基础设施
[00:07:54 - 00:07:57] 如果美国不能够迅速采取行动
[00:07:57 - 00:07:58] 将这些资源引导到支持
[00:07:58 - 00:08:01] 民主AI的生态系统这些项目上
[00:08:01 - 00:08:04] 这些资金就将流向其他国家支持的项目
[00:08:04 - 00:08:07] OPINion建议美国政府采取一系列的政策
[00:08:07 - 00:08:09] 包括确保基础设施投资
[00:08:09 - 00:08:10] 能够推动经济的增长
[00:08:10 - 00:08:12] 让所有美国人受益
[00:08:12 - 00:08:13] 最大化AI的可及性
[00:08:13 - 00:08:15] 以及维护国家安全利益
[00:08:15 - 00:08:18] 确保敏感的美国数据存储在美国本地
[00:08:18 - 00:08:21] 同时应该支持AI生态系统的繁荣发展
[00:08:21 - 00:08:22] 包括实验室
[00:08:22 - 00:08:24] 出创企业和大型公司
[00:08:24 - 00:08:27] 确保美国在AI领域的长期领导地位
[00:08:27 - 00:08:30] 由于建设数据中心需要大量的资本投入
[00:08:30 - 00:08:32] 所以OpenAI还希望通过提案
[00:08:32 - 00:08:33] 确保有足够的资本
[00:08:33 - 00:08:35] 流向美国的AI基础设施建设
[00:08:35 - 00:08:37] 包括通过投资工具
[00:08:37 - 00:08:38] 政府采购和担保
[00:08:38 - 00:08:39] 以及税收敌缅
[00:08:39 - 00:08:42] 贷款和其他的融资手段
[00:08:42 - 00:08:44] 在政府对AI的采纳方面
[00:08:44 - 00:08:45] OpenAI指出
[00:08:45 - 00:08:48] 目前美国联盟部门和机构对AI的应用
[00:08:48 - 00:08:50] 仍然处于不可接受的低水平
[00:08:50 - 00:08:51] 联盟雇员
[00:08:51 - 00:08:53] 尤其是国家安全部门的工作人员
[00:08:53 - 00:08:54] 在很大程度上
[00:08:54 - 00:08:56] 无法充分利用AI的优势
[00:08:56 - 00:08:58] 政府应该鼓励公司合作
[00:08:58 - 00:09:00] 加速AI在政府机构中的
[00:09:00 - 00:09:02] 应用并且消除已知的障碍
[00:09:02 - 00:09:05] 包括过时而且荣常的认证流程
[00:09:05 - 00:09:06] 限制性测试权限
[00:09:06 - 00:09:09] 以及缺乏灵活性的采购渠道等等
[00:09:09 - 00:09:10] 对于OpenI的提案
[00:09:10 - 00:09:12] 其实很多的美国网友
[00:09:12 - 00:09:13] 也表示并不认同
[00:09:13 - 00:09:15] 在美国有网友评价
[00:09:15 - 00:09:17] OpenI宣称担心安全性
[00:09:17 - 00:09:19] 但是如果你仔细研读文件就会发现
[00:09:19 - 00:09:21] 他们更在意的是自己的商业模式
[00:09:21 - 00:09:23] 以及自己的知识产权
[00:09:23 - 00:09:24] 而实际上
[00:09:24 - 00:09:25] 他们在训练模型过程中
[00:09:25 - 00:09:27] 对知识产权毫无尊重
[00:09:27 - 00:09:28] 还有人说
[00:09:28 - 00:09:29] 他们为了提出诉求
[00:09:29 - 00:09:32] 现在终于承认Deep SIG是骚托了
[00:09:32 - 00:09:33] 对于OpenI宣称的
[00:09:33 - 00:09:36] 如果美国政府不允许自己合理使用数据
[00:09:36 - 00:09:38] 那么AI竞赛就已经结束的说法
[00:09:38 - 00:09:40] 也有网友表示
[00:09:40 - 00:09:42] 从他们试图遏制AI发展的那一刻起
[00:09:42 - 00:09:44] 人工智能领域的竞争就已经结束了
[00:09:44 - 00:09:47] 也无法与不可避免的趋势相抗后
[00:09:47 - 00:09:49] 真正的问题不在于谁会胜出
[00:09:49 - 00:09:51] 而在于当现有的框架被瓦解的时候
[00:09:51 - 00:09:53] 谁能够更好的适应
[00:09:53 - 00:09:55] 除了OpenI的提案以外
[00:09:55 - 00:09:56] 值得一提的是
[00:09:56 - 00:09:57] AnswerPig也在早几天
[00:09:57 - 00:10:00] 提交了自己对于AI行动计划的政策建议
[00:10:00 - 00:10:02] 除了强调DeepSake不安全
[00:10:02 - 00:10:05] 比如说R1会回答和生物武器相关的问题以外
[00:10:05 - 00:10:09] 主要就是强烈建议政府加强对于计算资源的出口管制
[00:10:09 - 00:10:12] 并且对某些模型的权重实施出口管制
[00:10:12 - 00:10:15] 来保持并且扩大美国在AI领域的优势
[00:10:15 - 00:10:18] Azropic提出的一系列具体措施包括
[00:10:18 - 00:10:19] 管制H20芯片
[00:10:19 - 00:10:21] 要求各国签署政府监协议
[00:10:21 - 00:10:23] 来制定防止走私的措施
[00:10:23 - 00:10:26] 仔细审查并且降低扩散规则中
[00:10:26 - 00:10:29] 对于二级国家1700块H100芯片
[00:10:29 - 00:10:31] 不需要许可证的订单门槛
[00:10:31 - 00:10:34] 增加对于BIS出口执法的资金投入
[00:10:34 - 00:10:36] 大幅提升美国前沿实验室的安全性
[00:10:36 - 00:10:39] 防止对手滥用或者是窃取AI技术
[00:10:39 - 00:10:43] 在前沿AI公司和情报机构建立系统的合作
[00:10:43 - 00:10:45] 从而监测对手的能力等等等等
[00:10:45 - 00:10:46] 说实在的
[00:10:46 - 00:10:48] 如果站在企业发展的角度
[00:10:48 - 00:10:50] 游说本国政府放松一下监管
[00:10:50 - 00:10:51] 多投一点资金
[00:10:51 - 00:10:53] 这个大家其实都能够理解
[00:10:53 - 00:10:54] 也还算正常
[00:10:54 - 00:10:57] 但是OpenI和Answermic这两家公司
[00:10:57 - 00:11:00] 几乎同时都对Deepseg抱有如此大的敌意
[00:11:00 - 00:11:03] 并且希望将全世界其他国家的AI发展
[00:11:03 - 00:11:04] 都扼杀在摇篮里
[00:11:04 - 00:11:06] 可以说是前一段时间
[00:11:06 - 00:11:08] OpenI经济蓝图的升级版
[00:11:08 - 00:11:09] 对此我只能说
[00:11:09 - 00:11:11] 奥特曼一边口口声声说
[00:11:11 - 00:11:13] 要让AI造福全人类
[00:11:13 - 00:11:15] 另一边又把全世界国家分成369等
[00:11:15 - 00:11:18] 双标的嘴里再次展露无遗
[00:11:18 - 00:11:20] 这就如同体验所说的民主的AI一样
[00:11:20 - 00:11:21] 荒唐可笑
[00:11:21 - 00:11:23] 我们现在显然已经不再期望
[00:11:23 - 00:11:25] UberN还能够引领这场科技进步
[00:11:25 - 00:11:28] 但是作为一家商业科技公司
[00:11:28 - 00:11:30] 如果只想靠政治来维护自己的商业力
[00:11:30 - 00:11:33] 恐怕最后也将会被这一点所反视
[00:11:33 - 00:11:34] 如今看来
[00:11:34 - 00:11:36] 新顿的担忧似乎正在逐渐的成为现实
[00:11:36 - 00:11:38] 在高大上的科技公司
[00:11:38 - 00:11:40] 也不过都是草台班子
[00:11:40 - 00:11:41] 在光鲜的表面
[00:11:41 - 00:11:43] 背后也不过都是营营狗狗
[00:11:43 - 00:11:44] 究竟在他们眼里
[00:11:44 - 00:11:46] AI是个什么东西呢
[00:11:46 - 00:11:47] 是一座拿来赚钱的金胖
[00:11:47 - 00:11:50] 还是一颗拿来换取利益的原子弹呢
[00:11:50 - 00:11:51] 也许唯独没有所谓的
[00:11:51 - 00:11:53] 造福大众人类福祉吧
[00:11:53 - 00:11:55] 感谢大家观看本期视频
[00:11:55 - 00:11:56] 我们下期再见
