BV号：BV14KcmeMEVQ
标题：BV14KcmeMEVQ
链接：https://www.bilibili.com/video/BV14KcmeMEVQ
识别语言：zh
语言置信度：1
分段数：338
生成时间：2026-08-30 20:09:23

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 在科技领域 最近有一个备受矚目的事件
[00:00:05 - 00:00:09] 那就是TikTok案在美国联邦最高法院的停审
[00:05:24 - 00:05:27] TikTok关停是法案的附属性影响
[00:05:27 - 00:05:30] 那么判定法案和限的可能性就会大大的增加
[00:05:30 - 00:05:33] 罗伯斯大法官还提出了一个比较中性的问题
[00:05:33 - 00:05:36] 他询问对公司所有权的限制
[00:05:36 - 00:05:38] 是否等同于对言论自由的控制
[00:05:38 - 00:05:40] 並且詢問過去是否有類似的先例
[00:05:40 - 00:05:42] TikTok律師回應稱
[00:05:42 - 00:05:43] 像TikTok案這樣
[00:05:43 - 00:05:45] 波及面和影響如此之大的案例
[00:05:45 - 00:05:47] 確實沒有先例可供參考
[00:05:47 - 00:05:49] 我們再回到算法黑箱
[00:05:49 - 00:05:51] 和隱形輿論操控這個關鍵問題上
[00:05:51 - 00:05:53] 在本次庭人中
[00:05:53 - 00:05:54] 隱形輿論操控成為了
[00:05:54 - 00:05:55] 最重要的關鍵詞之一
[00:05:55 - 00:05:57] 美國政府律師指控TikTok
[00:05:57 - 00:05:59] 通過推薦算法
[00:05:59 - 00:06:00] 以一種難以覺察的手段
[00:06:00 - 00:06:02] 潛移默化的改變美國大眾的認知
[00:06:02 - 00:06:04] 這其實是美國政府律師
[00:06:04 - 00:06:06] 在本案中的一個獨特的法律論點
[00:06:06 - 00:06:08] 在第一修正案的规则框架下
[00:06:08 - 00:06:11] 如果美国政府仅仅因为平台上的言论内容
[00:06:11 - 00:06:13] 哪怕这些内容是亲中反美的
[00:06:13 - 00:06:15] 就对言论平台采取措施
[00:06:15 - 00:06:18] 那么其实是很难通过第一修正案的审核的
[00:06:18 - 00:06:21] 于是美国政府律师找到了一种新的论述方式
[00:06:21 - 00:06:23] 他们声称打击TikTok
[00:06:23 - 00:06:26] 并不是因为平台内容中的亲中反美倾向
[00:06:26 - 00:06:29] 而是因为中国政府操控平台的方式极为隐秘
[00:06:29 - 00:06:32] 导致美国无法对平台进行有效的监管
[00:06:32 - 00:06:34] 也就是说他们打击的是操控的方式
[00:06:34 - 00:06:36] 而非内容本身
[00:06:36 - 00:06:39] 巴雷特大法官對這個觀點表示出了濃厚的興趣
[00:06:39 - 00:06:42] 他再次提到自己在Net Choice案中的意見
[00:06:42 - 00:06:44] 並且這次更加明確地表示
[00:06:44 - 00:06:47] 美國人確實有權發表親中反美的言論
[00:06:47 - 00:06:50] 但是在本案中TikTok受保護的言論行為
[00:06:50 - 00:06:52] 實際上是他的算法和推薦行為
[00:06:52 - 00:06:55] 美國政府並沒有限制TikTok使用什麼樣的算法
[00:06:55 - 00:06:58] 他們只是禁止中國政府通過TikTok
[00:06:58 - 00:07:00] 對美國實施隱形的輿論操控
[00:07:00 - 00:07:03] 這也是TikTok案與其他許多案件的不同之處
[00:07:03 - 00:07:05] TikTok的律師則堅決否認
[00:07:05 - 00:07:07] 存在任何隐形輿論操控的行為
[00:07:08 - 00:07:08] 他們強調
[00:07:08 - 00:07:10] TikTok在美國的內容
[00:07:10 - 00:07:12] 是由TikTok美國公司獨立運營的
[00:07:12 - 00:07:15] 雖然TikTok需要使用來自於自捷跳動的算法
[00:07:15 - 00:07:16] 但是具體的執行過程
[00:07:16 - 00:07:18] 是由美國公司獨立完成的
[00:07:18 - 00:07:20] 捷克訓大法官也明切的區分了
[00:07:20 - 00:07:22] 美國政府不希望外國對手
[00:07:22 - 00:07:23] 操控這個平台上的內容
[00:07:23 - 00:07:26] 和美國政府厭惡平台上內容
[00:07:26 - 00:07:27] 這兩個不同的概念
[00:07:27 - 00:07:28] 值得注意的是
[00:07:28 - 00:07:31] 卡根大法官發表了對TikTok相當有利的表述
[00:07:31 - 00:07:32] 他指出
[00:07:32 - 00:07:34] 美國政府認為TikTok的國家安全威脅
[00:07:34 - 00:07:38] 在於中國政府可能會藉此進行隱形輿論操控
[00:07:38 - 00:07:40] 但是現在由於這起案件鬧得沸沸揚揚
[00:07:40 - 00:07:43] 所有人都已經知道TikTok有中國背景了
[00:07:43 - 00:07:44] 在這種情況下
[00:07:44 - 00:07:46] 所謂的隱形操控又從何彈起呢?
[00:07:46 - 00:07:48] 美國政府律師則回應稱
[00:07:48 - 00:07:50] 中國可以通過算法來操控輿論
[00:07:50 - 00:07:52] 而且算法是不透明的
[00:07:52 - 00:07:55] 美國公眾也無法知曉算法背後的邏輯
[00:07:55 - 00:07:57] 哈根大法官立刻抓住了這個漏洞
[00:07:57 - 00:07:58] 他反駁說
[00:07:58 - 00:08:01] 所有社交媒體的算法在某種程度上
[00:08:01 - 00:08:02] 都可以說是黑箱
[00:08:02 - 00:08:04] 不能僅僅因為存在算法
[00:08:04 - 00:08:06] 就认定存在着隐形的舆论操控行为
[00:08:06 - 00:08:08] 他还提到了冷战时期的例子
[00:08:08 - 00:08:10] 即便在美苏争霸最为激烈的时候
[00:08:10 - 00:08:13] 美国政府也没有要求美国境内的组织
[00:08:13 - 00:08:15] 全部切断和苏联的联系
[00:08:15 - 00:08:17] 罗伯斯大法官在这个问题上态度比较温和
[00:08:17 - 00:08:19] 甚至还在现场开了个玩笑
[00:08:19 - 00:08:21] 他问美国政府律师
[00:08:21 - 00:08:23] 是不是意味着自业跳动可能通过TikTok
[00:08:23 - 00:08:25] 挑动美国人之间的内斗
[00:08:25 - 00:08:26] 让他们互相正常
[00:08:26 - 00:08:29] 美国政府律师却一本正经的回答说
[00:08:29 - 00:08:30] 这是有可能的
[00:08:30 - 00:08:32] 罗伯斯大法官则幽默的回应
[00:08:32 - 00:08:33] 如果是这样的话
[00:08:33 - 00:08:35] 那他们已经成功了引得全场一片笑声
[00:08:36 - 00:08:39] 此外 数据安全威胁也是本案的一个重要方面
[00:08:39 - 00:08:42] 美国政府在庭审中列举了TikTok的两大罪状
[00:08:42 - 00:08:45] 除了前面提到的隐形舆论操控之外
[00:08:45 - 00:08:47] 另一个就是盗用个人信息
[00:08:47 - 00:08:48] 不过 在庭审过程中
[00:08:48 - 00:08:51] 大部分的时间都在围绕着舆论操控问题展开
[00:08:51 - 00:08:53] 涉及到数据安全的讨论相对较少
[00:08:54 - 00:08:55] TikTok的律师坚称
[00:08:55 - 00:08:58] TikTok在美国的运营严格遵守美国法律
[00:08:58 - 00:09:00] 不存在任何不合规传输数据的情况
[00:09:00 - 00:09:02] 但是美国政府律师则坚持认为
[00:09:02 - 00:09:06] TikTok有秘密的向中國政府提供信息和數據的行為
[00:09:06 - 00:09:11] 並且聲稱中國政府隨時可能將這些信息和數據武器化用來對付美國
[00:09:11 - 00:09:13] 從卡瓦諾大法官的提問中
[00:09:13 - 00:09:15] 我們可以明顯看出他的態度
[00:09:15 - 00:09:21] 他說 美國國會和政府認為TikTok能夠接觸到數以千萬計的美國人的個人信息
[00:09:21 - 00:09:24] 中國政府可能會利用這些信息來發展間諜網路
[00:09:24 - 00:09:25] 策反美國人
[00:09:25 - 00:09:30] 甚至對包括未來可能成為FBI和CIA成員的美國人進行威脅勒索
[00:09:30 - 00:09:32] TikTok的律師只能一再回應
[00:09:32 - 00:09:35] TikTok的數據庫是由甲骨文Orco負責運營的
[00:09:35 - 00:09:37] 並且存放在美國
[00:09:37 - 00:09:38] 根據美國的法律
[00:09:38 - 00:09:41] 這些個人信息也不能交給TikTok或者其他第三方
[00:09:41 - 00:09:44] 而且TikTok還與美國政府簽訂了國家安全協議
[00:09:44 - 00:09:47] 此外本案還有一個不容忽視的主體
[00:09:47 - 00:09:49] 那就是TikTok的創作者
[00:09:49 - 00:09:50] 其實本案有兩個原告
[00:09:50 - 00:09:52] 除了直接跳動和TikTok之外
[00:09:52 - 00:09:55] 還有大量在TikTok上發布內容的創作者
[00:09:55 - 00:09:58] TikTok創作者的律師延續了一審的訴訟思路
[00:09:58 - 00:10:01] 他們認為TikTok創作者作為美國公民
[00:10:01 - 00:10:03] 受到美國憲法第一修正案的保護
[00:10:03 - 00:10:06] 有權選擇他們認為合適的平台進行合作
[00:10:06 - 00:10:08] 創作者的律師舉例說
[00:10:08 - 00:10:09] 卡爾·馬克斯是個外國人
[00:10:09 - 00:10:12] 他本人雖然不受到第一修正案的保護
[00:10:12 - 00:10:15] 但是美國境內的書店卻有權自由的選擇
[00:10:15 - 00:10:16] 是否銷售馬克斯的書籍
[00:10:16 - 00:10:20] 同樣美國人也有權接收來自於境外的信息
[00:10:20 - 00:10:23] 立法禁止某個境外主體向美國發布信息
[00:10:23 - 00:10:25] 同樣侵犯了美國人的第一修正案權利
[00:10:25 - 00:10:27] 阿托利大法官特別詢問道
[00:10:27 - 00:10:28] 如果TikTok背近
[00:10:28 - 00:10:31] 创作者是否仍然可以在其他平台上发表观点
[00:10:31 - 00:10:34] TikTok创作者的律师回应称
[00:10:34 - 00:10:37] 他的许多客户都曾经在其他平台发布过类似的内容
[00:10:37 - 00:10:41] 但却无法获得和在TikTok上类似的观众数量和商业收入
[00:10:41 - 00:10:45] 阿里托大法官似乎不太了解社交平台和在线电商行业
[00:10:45 - 00:10:46] 他继续追问
[00:10:46 - 00:10:50] 这些创作者对于TikTok的依赖是否只是情感上的
[00:10:50 - 00:10:52] 就像人们对一件旧衣服的喜爱
[00:10:52 - 00:10:55] 即便能够买到新的 也还是喜欢穿旧的
[00:10:55 - 00:10:57] TikTok创作者的律师只能耐心的解释
[00:10:57 - 00:11:00] 過去幾年有許多平臺都試圖取代TikTok
[00:11:00 - 00:11:02] 但是都沒有成功
[00:11:02 - 00:11:05] 這就如同一個由無數天才編輯組成的媒體團隊
[00:11:05 - 00:11:06] 不是隨便另一個
[00:11:06 - 00:11:08] 僱傭了幾個編輯的媒體團隊
[00:11:08 - 00:11:09] 就能夠輕易取代的
[00:11:09 - 00:11:12] 最後特朗普可能會在這起案件中
[00:11:12 - 00:11:13] 扮演關鍵的角色
[00:11:13 - 00:11:14] 以及影響案件的走向
[00:11:14 - 00:11:16] 目前對於TikTok案來說
[00:11:16 - 00:11:19] 最關鍵的是能否在1月19日之前
[00:11:19 - 00:11:21] 獲得《戰犯法案》執行的臨時禁令
[00:11:21 - 00:11:24] 如果聯邦最高法院不發布臨時禁令
[00:11:24 - 00:11:25] 那麼法案將繼續有效
[00:11:25 - 00:11:28] 屆時特朗普將面臨一個破壞微妙的局面
[00:11:28 - 00:11:29] 從理論上來講
[00:11:29 - 00:11:31] 特朗普領導的行政部門
[00:11:31 - 00:11:33] 需要善意遵守國會立法
[00:11:33 - 00:11:34] 但是另一方面
[00:11:34 - 00:11:36] 司法部在具體執行的時候
[00:11:36 - 00:11:37] 擁有一定的裁量權
[00:11:37 - 00:11:39] 所以最終的走向難以預測
[00:11:39 - 00:11:42] 如果聯邦最高法院願意發布臨時禁令
[00:11:42 - 00:11:44] 那麼將有助於特朗普擺脫這個困境
[00:11:44 - 00:11:46] 反之如果聯邦最高法院
[00:11:46 - 00:11:48] 認為無論法案是否生效
[00:11:48 - 00:11:50] 特朗普都有辦法暫緩法案的實施
[00:11:50 - 00:11:53] 那麼他們可能就沒有動力去頒布臨時禁令
[00:11:53 - 00:11:54] 在評審中
[00:11:54 - 00:11:57] 临时禁令的问题只讨论了几分钟
[00:11:57 - 00:12:00] TikTok的律师多次请求暂缓法案实施
[00:12:00 - 00:12:03] 以便给新任总统特朗普留下处理的空间
[00:12:03 - 00:12:05] 但是大法官们并没有对此做出明确的回应
[00:12:05 - 00:12:07] 不过在这个问题上
[00:12:07 - 00:12:09] 美国政府律师的态度却发生了转变
[00:12:09 - 00:12:10] 变得相对温和
[00:12:10 - 00:12:12] TikTok的律师表示
[00:12:12 - 00:12:14] 如果联邦最高法院不采取措施
[00:12:14 - 00:12:16] TikTok就只能关门大吉了
[00:12:16 - 00:12:18] 而美国政府律师却表示
[00:12:18 - 00:12:21] 新一届政府有财量权来决定如何继续执法
[00:12:21 - 00:12:23] 甚至存在让TikTok继续运营的可能性
[00:12:24 - 00:12:26] TikTok的禁令並非是永久的
[00:12:26 - 00:12:28] 即便TikTok暫時關停
[00:12:28 - 00:12:30] 只要後續成功出售
[00:12:30 - 00:12:31] 就可以恢復運營
[00:12:31 - 00:12:33] 並且還可以繼續使用
[00:12:33 - 00:12:34] 直接跳動的算法
[00:12:34 - 00:12:35] 顯然美國政府律師
[00:12:35 - 00:12:36] 做出這樣的承諾
[00:12:36 - 00:12:37] 幾乎沒有什麼成本
[00:12:37 - 00:12:39] 因為代表美國政府出庭的律師
[00:12:39 - 00:12:41] 是現任司法部副檢察長
[00:12:41 - 00:12:42] 伊蒂沙白.普雷洛格
[00:12:42 - 00:12:45] 無論特朗普政府對TikTok採取何種行為
[00:12:45 - 00:12:46] 這個副檢察長的職位
[00:12:46 - 00:12:48] 都很可能會換人
[00:12:48 - 00:12:49] 到時候代表美國政府出庭的
[00:12:49 - 00:12:51] 就會是其他人了
[00:12:51 - 00:12:52] 而至於聯邦最高法院
[00:12:52 - 00:12:53] 最終會如何裁決
[00:12:53 - 00:12:55] 我们只能拭目以待
[00:12:55 - 00:12:56] 等待1月19日的到来
[00:12:56 - 00:12:58] 不过有一点可以确定的是
[00:12:58 - 00:13:00] 无论TikTok是否会背进
[00:13:00 - 00:13:02] 也无论中国是否是美国的敌人
[00:13:02 - 00:13:04] 是否在通过各种方式渗透美国
[00:13:04 - 00:13:06] 任何有中国背景的企业
[00:13:06 - 00:13:08] 在美国的生存只会更加艰难
[00:13:08 - 00:13:11] 好了 大家对于TikTok案的结果是如何预测的呢?
[00:13:11 - 00:13:12] 欢迎在评论区留言
[00:13:12 - 00:13:13] 我们下期再见
