BV号：BV17GwZz7ECW
标题：BV17GwZz7ECW
链接：https://www.bilibili.com/video/BV17GwZz7ECW
识别语言：zh
语言置信度：1
分段数：285
生成时间：2026-08-29 19:51:00

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 想搞懂AI Agent
[00:00:03 - 00:00:05] 一百行代码就够了 你没听错
[00:00:05 - 00:00:07] 不用啃那些天花乱坠的框架
[00:05:18 - 00:05:20] 同样所有的工具函数比如
[00:05:20 - 00:05:23] execute,bash都被tribe accept
[00:05:23 - 00:05:24] 包裹起来了
[00:05:24 - 00:05:26] 如果执行命令时出错
[00:05:26 - 00:05:28] 比如命令不存在或者超时
[00:05:28 - 00:05:29] 程序也不会崩
[00:05:29 - 00:05:32] 而是会把错误信息反回给模型
[00:05:32 - 00:05:33] 让模型知道此路不通
[00:05:33 - 00:05:35] 然后尝试别的办法
[00:05:35 - 00:05:37] 这些看似不起眼的细节
[00:05:37 - 00:05:40] 正是从一个玩具到一个工具的关键一步
[00:05:40 - 00:05:43] 如果说Agent Plus是把Agent做成了一个好用的工具
[00:05:43 - 00:05:45] 最高级的版本Agent Cloudy Code.py
[00:05:45 - 00:05:50] 则是在思考如何把Agent做成一个可扩展的平台
[00:05:50 - 00:05:52] 它引入了规则技能
[00:05:52 - 00:05:55] 和MCP这些更抽象的概念
[00:05:55 - 00:05:57] 核心思想就一个模块化
[00:05:57 - 00:06:00] 这个版本约定了一个Agent的隐藏目录
[00:06:00 - 00:06:04] Agent的性格能力甚至是从哪里加载工具
[00:06:04 - 00:06:06] 都有这个目录下的配置文件决定
[00:06:06 - 00:06:10] Agent Rules里面放的是Markdown文件
[00:06:10 - 00:06:12] 定义了Agent的行为准则
[00:06:12 - 00:06:15] 比如你可以写一个Coding下花线style.md
[00:06:15 - 00:06:18] 要求它所有代码都遵循P1P8规范
[00:06:18 - 00:06:21] Agent启动时会读取这些规则
[00:06:21 - 00:06:22] 注入到系统提示词里
[00:06:22 - 00:06:24] Agent Skills
[00:06:24 - 00:06:25] 里面放的是Jason文件
[00:06:25 - 00:06:28] 每一个文件都定义了一个新的工具
[00:06:28 - 00:06:31] 这意味着你不需要修改Agent的核心代码
[00:06:31 - 00:06:33] 只需要往这个目录里扔一个Jason文件
[00:06:33 - 00:06:35] 就能给Agent增加一项新技能
[00:06:35 - 00:06:37] mcp.json
[00:06:37 - 00:06:38] 这个更大胆
[00:06:38 - 00:06:40] 它定义了可以从远程服务器加在的工具
[00:06:40 - 00:06:42] 这叫模型上下文协议
[00:06:42 - 00:06:44] model context
[00:06:44 - 00:06:45] protocol
[00:06:45 - 00:06:48] 意思是Agent的能力可以像我们手机APP更新一样
[00:06:48 - 00:06:52] 从云端动态获取实现真正的热插靶
[00:06:52 - 00:06:53] 事情开始变得不对劲了
[00:06:53 - 00:06:55] Agent的核心代码可以完全不动
[00:06:55 - 00:06:58] 但它的能力却可以无限扩展
[00:06:58 - 00:07:00] 这就像给机器人换手臂
[00:07:00 - 00:07:02] 今天装上的是电焊枪
[00:07:02 - 00:07:03] 明天就可以换成手术刀
[00:07:03 - 00:07:05] Agent本身成了一个通用的执行器
[00:07:05 - 00:07:07] 而它的具体能力
[00:07:07 - 00:07:09] 则由这些可配置的技能包来定义
[00:07:09 - 00:07:12] 这就是通往agent生态的出行
[00:07:12 - 00:07:13] 看到这很多人会觉得
[00:07:13 - 00:07:17] 做agent就是疯狂的对功能用各种复杂的框架
[00:07:17 - 00:07:19] 但真相是最成功的agent
[00:07:19 - 00:07:22] 往往用的是最简单的可组合的模式
[00:07:22 - 00:07:23] 这是anthropic
[00:07:23 - 00:07:25] 就是做cloud的那个公司
[00:07:25 - 00:07:28] 研究了大量客户案例后得出的结论为什么
[00:07:28 - 00:07:29] 因为复杂的框架
[00:07:29 - 00:07:32] 就像一个黑箱出了问题你都不知道怎么修
[00:07:32 - 00:07:33] 而简单的模式
[00:07:33 - 00:07:36] 就像我们刚才看到的nanowagent的眼镜
[00:07:36 - 00:07:37] 每一步都清清楚楚
[00:07:37 - 00:07:39] 你可以像大乐高一样
[00:07:39 - 00:07:40] 自由组合灵活调试
[00:07:40 - 00:07:42] 看到这里你可能会想
[00:07:42 - 00:07:44] 那从Nono Agent这种玩具
[00:07:44 - 00:07:47] 到一个真正能在公司里干活的企业级Agent
[00:07:47 - 00:07:48] 到底还差多远
[00:07:48 - 00:07:49] 我的答案是
[00:07:49 - 00:07:51] 差的不是智商
[00:07:51 - 00:07:53] 而是工程化
[00:07:53 - 00:07:54] 换一个角度来看
[00:07:54 - 00:07:57] Agent就像一个刚毕业的顶级实习生
[00:07:57 - 00:07:58] 脑子去好使
[00:07:58 - 00:07:59] 但极度缺乏社会经验
[00:07:59 - 00:08:01] 你不能直接让它上岗啊
[00:08:01 - 00:08:05] 你必须给它配起一套职场工具和硅章制度
[00:08:05 - 00:08:06] 第一记忆管理系统
[00:08:06 - 00:08:07] Nano Agent那种
[00:08:07 - 00:08:10] 简单的文本记忆很快就会爆掉
[00:08:10 - 00:08:11] 你需要更专业的方案
[00:08:11 - 00:08:15] 比如用相量数据库做长期记忆的存储和检索
[00:08:15 - 00:08:17] 用摘药算法压缩短期记忆
[00:08:17 - 00:08:21] 确保它在任何时候都能快速找到最相关的信息
[00:08:21 - 00:08:24] 而不是在几万字的上下文里大海捞针
[00:08:24 - 00:08:25] 第二安全办公室
[00:08:25 - 00:08:27] 让Agent直接执行Bash命令
[00:08:27 - 00:08:30] 等于给了实习生理服务器的root密码
[00:08:30 - 00:08:31] 这是在玩火
[00:08:31 - 00:08:32] 生产级的Agent
[00:08:32 - 00:08:36] 所有危险操作都必须在一个隔离的沙箱里执行
[00:08:36 - 00:08:39] 比如Docker容器或者更安全的Micro VM
[00:08:39 - 00:08:43] 就算Agent被黑客劫持也只能在沙箱里搞破坏
[00:08:43 - 00:08:45] 绝对不能触碰到你的主机
[00:08:45 - 00:08:47] 第三 工作日制和KPI考核
[00:08:47 - 00:08:50] Agent的每一部思考每一次工具调用
[00:08:50 - 00:08:52] 都必须被详细的记录下来
[00:08:52 - 00:08:54] 这叫可观测性
[00:08:54 - 00:08:57] 当Agent犯错时你能像看监控录像一样
[00:08:57 - 00:09:00] 回溯它的整个新路历程找到问题所在
[00:09:00 - 00:09:04] 同时你还要监控它的API调用成本和token消耗
[00:09:04 - 00:09:06] 确保这个员工的性价比足够高
[00:09:06 - 00:09:09] 把这些配齐了这个聪明的实习生
[00:09:09 - 00:09:12] 才能变成一个可靠的、可控的、可信赖的数字员工
[00:09:12 - 00:09:14] 那接下来会发生什么?
[00:09:14 - 00:09:15] 我才有三件事
[00:09:15 - 00:09:17] 第一,我们跟Agent的交互
[00:09:17 - 00:09:21] 会从设计复杂的提示词变成设计好用的工具
[00:09:21 - 00:09:23] 为来评价一个Agent的开发者的核心能力
[00:09:23 - 00:09:25] 可能不是他多会写Prompt
[00:09:25 - 00:09:29] 而是他为Agent打造的工具箱有多强大和好用
[00:09:29 - 00:09:31] 第二,会出现更多的Agent监工
[00:09:31 - 00:09:33] 也就是专门负责监控
[00:09:33 - 00:09:35] 评估和调度其他agent的agent
[00:09:35 - 00:09:37] 形成一个多agent的协作网络
[00:09:37 - 00:09:39] 就像一个真正的公司组织架构
[00:09:40 - 00:09:40] 第三
[00:09:40 - 00:09:43] 我们每个人都会拥有自己的专属agent
[00:09:43 - 00:09:46] 他了解你的所有习惯帮你处理一场所事
[00:09:46 - 00:09:48] 成为你真正的数字分身
[00:09:48 - 00:09:49] 最后总结一下
[00:09:49 - 00:09:51] agent的本质不是代码
[00:09:51 - 00:09:53] 而是一个信息处理的循环
[00:09:53 - 00:09:54] 而从一个简单的循环
[00:09:54 - 00:09:56] 到一个强大的智能体
[00:09:56 - 00:09:57] 靠的不是天赋
[00:09:57 - 00:09:59] 而是扎扎实实的工程化
[00:09:59 - 00:10:01] 你觉得第一个大规模落地的个人agent
[00:10:01 - 00:10:02] 会哪一个
[00:10:02 - 00:10:03] 会是openclar吗?
[00:10:03 - 00:10:06] 欢迎在评论区告诉我你的想法
[00:10:06 - 00:10:09] 我是为什么叫QQ一个了点硬核科技的UP主
[00:10:09 - 00:10:12] 如果你觉得这些内容对你有启发,别忘了一键三连
[00:10:12 - 00:10:15] 你的支持是我能干出下一期内容的唯一动力
[00:10:15 - 00:10:16] 我们下期见!
