BV号：BV13qBNYqEMJ
标题：BV13qBNYqEMJ
链接：https://www.bilibili.com/video/BV13qBNYqEMJ
识别语言：zh
语言置信度：1
分段数：344
生成时间：2026-08-31 01:58:44

[00:00:00 - 00:00:02] 大家好 這裡是最佳拍檔 我是大飛
[00:00:02 - 00:00:05] 國外半導體媒體Semi Analysis
[00:00:05 - 00:00:06] 在沉寂了一個多月之後
[00:01:32 - 00:01:34] 先是在2010年代
[00:01:34 - 00:01:36] 英特爾在10納米節點
[00:01:36 - 00:01:39] 甚至可以說是14納米節點的工藝研發上
[00:01:39 - 00:01:40] 遭遇重大挫折
[00:01:40 - 00:01:41] 2016年
[00:01:41 - 00:01:44] 英特爾計劃將10納米工藝投入量產
[00:01:44 - 00:01:46] 但是推出的工藝極為激進
[00:01:46 - 00:01:48] 需要四重圖案化
[00:01:48 - 00:01:51] 新型股互聯和覆蓋有緣三級接觸
[00:01:51 - 00:01:52] 導致良率極低
[00:01:52 - 00:01:55] 這個節點花費了長達3年的時間
[00:01:55 - 00:01:56] 才得以修復
[00:01:56 - 00:02:00] 相比之下台积电按计划执行了性能较低的10nm节点
[00:02:00 - 00:02:03] 并且迅速推进到更先进的工艺
[00:02:03 - 00:02:06] 当英特尔还在努力解决10nm问题的时候
[00:02:06 - 00:02:10] 台积电已经受出了超过50万片N7的经员
[00:02:10 - 00:02:12] 并且开始对N5进行采样
[00:02:12 - 00:02:15] 英特尔的产品因此在市场上失去了竞争力
[00:02:15 - 00:02:17] 数据中心市场份额开始下滑
[00:02:17 - 00:02:19] 业务问题日益加剧
[00:02:19 - 00:02:22] 英特尔文化的腐烂问题也不容忽视
[00:02:22 - 00:02:26] 这个问题可以追溯到保罗欧德宁担任CEO的时期
[00:02:26 - 00:02:30] 保了歐多寧是英特爾歷史上第一位非工程師出身的CEO
[00:02:30 - 00:02:34] 他的當選是因為實施的殘酷反競爭商業決策
[00:02:34 - 00:02:37] 成功的將AMD排除在了CPU市場之外
[00:02:37 - 00:02:39] 鞏固了英特爾的壟斷地位
[00:02:39 - 00:02:41] 但是從那個時候起
[00:02:41 - 00:02:43] 商業決策開始凌駕於技術之上
[00:02:43 - 00:02:46] 英特爾的企業文化發生了根本性的變化
[00:02:46 - 00:02:47] 在此之前
[00:02:47 - 00:02:51] 英特爾在安迪格魯夫的領導下擁有建設性對抗的文化
[00:02:51 - 00:02:53] 以數據驅動決策
[00:02:53 - 00:02:55] 注重執行力和極端問責制
[00:02:55 - 00:02:58] 但是保罗欧德寧改变了这一切
[00:02:58 - 00:03:00] 技术决策被政治权力所取代
[00:03:00 - 00:03:03] 公司内部各领地之间陷入权力斗争
[00:03:03 - 00:03:07] 这种文化腐烂一直持续到帕特基辛格到来之前
[00:03:07 - 00:03:10] 保罗欧德寧之后的继任者也没能扭转局面
[00:03:10 - 00:03:14] 布兰恩·科带奇作为CEO来说简直是一场灾难
[00:03:14 - 00:03:16] 他主持了时纳米节点的惨败
[00:03:16 - 00:03:19] 经营厂管理不善成为公司面临的最大问题
[00:03:19 - 00:03:20] 尽管如此
[00:03:20 - 00:03:25] 他最终却只是因为一段不正常的职场关系曝光才被解雇
[00:03:25 - 00:03:29] 科特奇在收購和技術領導力方面同樣表現糟糕
[00:03:29 - 00:03:33] 他的種種決策失誤可以說是這種有毒文化的必然結果
[00:03:33 - 00:03:36] 2018年董事會又做出了一個重要的決策
[00:03:36 - 00:03:38] 任命Bob Swann為CEO
[00:03:38 - 00:03:42] 這是英特爾歷史上第一位真正的非技術出身CEO
[00:03:42 - 00:03:45] 保羅歐德寧好歹之前還在英特爾幹了30年
[00:03:45 - 00:03:49] 包括作為安迪格魯夫的技術顧問和領導微處理器部門
[00:03:49 - 00:03:52] 但是Bob Swann是一名職業的CFO
[00:03:52 - 00:03:54] 英特爾是他的第10個CFO職位
[00:03:54 - 00:03:56] 在他擔任CEO期間
[00:03:56 - 00:03:59] 英特爾將大量資金用於股票回購
[00:03:59 - 00:04:01] 與經營廠的資本支出幾乎相當
[00:04:01 - 00:04:03] 在公司失去市場份額
[00:04:03 - 00:04:06] 而且落後於競爭對手兩個節點以上的情況下
[00:04:06 - 00:04:09] 這種做法嚴重影響了公司的長期發展
[00:04:09 - 00:04:12] 體現出了董事會在戰略決策上的短視
[00:04:12 - 00:04:14] 在絲旺的領導下
[00:04:14 - 00:04:16] 英特爾不僅削減了資本支出
[00:04:16 - 00:04:18] 還大量削減了技術人才
[00:04:18 - 00:04:20] 導致公司的技術領導力喪失
[00:04:20 - 00:04:23] 盈利能力雖然在短期內看似良好
[00:04:23 - 00:04:25] 但是實則隱藏著巨大的危機
[00:04:25 - 00:04:27] 在這一系列決策失誤的背景下
[00:04:27 - 00:04:31] 帕特基辛格於2021年出任英特爾CEO
[00:04:31 - 00:04:32] 試圖扭轉公司的局面
[00:04:33 - 00:04:36] 基辛格在英特爾有著豐富的工作經驗
[00:04:36 - 00:04:39] 他在1980到2009年期間就職於英特爾
[00:04:39 - 00:04:41] 曾經擔任CTO等重要的職位
[00:04:41 - 00:04:43] 後來又在VNWELL等公司任職
[00:04:44 - 00:04:45] 2021年回歸英特爾
[00:04:45 - 00:04:49] 他一上任便知裡於解決英特爾面臨的諸多問題
[00:04:49 - 00:04:51] 提出了四年五節點的戰略
[00:04:51 - 00:04:52] 并且通过芯片法案
[00:04:52 - 00:04:56] 为英特尔争取到了超过400亿美元的政府支持
[00:04:56 - 00:04:58] 他努力纠正英特尔的行向
[00:04:58 - 00:05:01] 试图恢复公司在技术研发、产品竞争力
[00:05:01 - 00:05:03] 和企业文化等方面的优势
[00:05:03 - 00:05:06] 然而 极新格的改革之路并非一番风顺
[00:05:06 - 00:05:09] 尽管他在一些方面取得了进展
[00:05:09 - 00:05:12] 比如说基本解决了导致10纳米问题的文化腐烂问题
[00:05:12 - 00:05:14] 但是他也犯了一些错误
[00:05:14 - 00:05:17] 例如英特尔当前的AI战略存在问题
[00:05:17 - 00:05:19] 高底三和Folk & Shorts等产品
[00:05:19 - 00:05:22] 使得英特爾在生成式AI推理或訓練市場中
[00:05:22 - 00:05:24] 難以佔據較多的份額
[00:05:24 - 00:05:28] 同時,英特爾在外部客戶服務方面也存在著不足
[00:05:28 - 00:05:30] 包括Tower-Semicadactr的收購計畫
[00:05:30 - 00:05:32] 因為監管機構干預失敗後
[00:05:32 - 00:05:35] 英特爾未能及時地制定備選方案
[00:05:35 - 00:05:37] 而且公司以難以合作文明
[00:05:37 - 00:05:39] 缺乏以客戶為中心的觀念
[00:05:39 - 00:05:43] 這在與台積電等競爭對手的對比中顯得猶猥突出
[00:05:43 - 00:05:45] 儘管基辛格面臨著諸多的挑戰
[00:05:45 - 00:05:49] 但他仍然是一位渴望帶領英特爾走出困境的合格候選人
[00:05:49 - 00:05:54] 然而 董事會卻在基辛格扭轉局面的曙光出現時失去了耐心
[00:05:54 - 00:05:56] 在最後一次董事會會議上
[00:05:56 - 00:05:59] 基辛格提出了一項更新的資本支出計畫
[00:05:59 - 00:06:02] 目的是維持英特爾代工服務的大量支出
[00:06:02 - 00:06:06] 但是董事會對此極為不滿 最終迫使他離職
[00:06:06 - 00:06:08] 董事會的這一決策引發了廣泛的爭議
[00:06:08 - 00:06:12] 尤其是在考慮到董事會成員自身能力不足的情況下
[00:06:12 - 00:06:15] 他們解雇基辛格的決定顯得更加不明智
[00:06:15 - 00:06:17] 英特爾董事會解雇基辛格之後
[00:06:17 - 00:06:20] 任命了大位金斯納和米歇爾、約翰斯頓
[00:06:20 - 00:06:23] 或特豪斯為聯合首席執行官
[00:06:23 - 00:06:25] 這個決策同樣令人擔憂
[00:06:25 - 00:06:27] 金斯納於2022年加入英特爾
[00:06:27 - 00:06:29] 此前為職業財務人員
[00:06:29 - 00:06:32] 米歇爾則是前銷售營銷和通信主管
[00:06:32 - 00:06:34] 兼首席收入官
[00:06:34 - 00:06:35] 從他們的履意來看
[00:06:35 - 00:06:39] 兩個人在技術研發和半導體製造等關鍵的領域
[00:06:39 - 00:06:40] 缺乏足夠的經驗和能力
[00:06:40 - 00:06:44] 在英特爾面臨如此嚴峻的行業競爭和技術挑戰的時刻
[00:06:44 - 00:06:48] 这样的领导组合能否带领英特尔走出困境
[00:06:48 - 00:06:49] 实在令人怀疑
[00:06:49 - 00:06:52] 英特尔在行业格局变迁中也面临着巨大的挑战
[00:06:52 - 00:06:55] 特别是在X86架构和产品竞争力方面
[00:06:55 - 00:06:57] 在智能手机时代之前
[00:06:57 - 00:07:01] X86架构在通用CPU中占据着主导地位
[00:07:01 - 00:07:03] 英特尔凭借着卓越的公益技术
[00:07:03 - 00:07:05] 与X86架构的优势
[00:07:05 - 00:07:08] 在个人电脑和服务器市场中占据了主导地位
[00:07:08 - 00:07:10] 当时Wintel联盟
[00:07:10 - 00:07:12] 也就是Windows和英特尔
[00:07:12 - 00:07:14] 推动了X86架构的广泛应用
[00:07:14 - 00:07:17] 软件开发人员基于Windows庞大的用户基础
[00:07:17 - 00:07:19] 主要为X86编写软件
[00:07:19 - 00:07:21] 这形成了一个强大的生态系统
[00:07:21 - 00:07:25] 使得客户更倾向于选择基于X86的Windows PC
[00:07:25 - 00:07:27] 竟然推动了Intel CPU的销售
[00:07:27 - 00:07:31] 然而智能手机时代的到来彻底改变了这一格局
[00:07:31 - 00:07:35] 智能手机带来了新的软件生态系统和应用程序
[00:07:35 - 00:07:38] X86架构在个人计算机领域的传统优势
[00:07:38 - 00:07:40] 并没有能够延续到智能手机领域
[00:07:40 - 00:07:42] 英特尔虽然曾经尝试过
[00:07:42 - 00:07:43] 近军智能手机应用
[00:07:43 - 00:07:44] 处理器市场
[00:07:44 - 00:07:46] 但是由于进入的时间较晚
[00:07:46 - 00:07:47] 态度不够坚决
[00:07:47 - 00:07:50] 而且采用了错误的PC4位策略
[00:07:50 - 00:07:52] 未能够充分考虑到智能手机
[00:07:52 - 00:07:53] 对于能耗的严格要求
[00:07:53 - 00:07:57] 最终输给了基于Arm的智能手机SOC竞争对手
[00:07:57 - 00:07:58] 智能手机的兴起
[00:07:58 - 00:08:01] 不仅使英特尔措施了新市场的机会
[00:08:01 - 00:08:04] 还加速了客户端CPU市场的成熟和变革
[00:08:04 - 00:08:07] 消费者越来越多的将时间花费在智能手机上
[00:08:07 - 00:08:11] 手机的功能逐渐与PC相当甚至超越PC
[00:08:11 - 00:08:14] 这导致客户端PC市场受到了惨时
[00:08:14 - 00:08:17] 英特尔在客户端CPU市场的地位受到冲击
[00:08:17 - 00:08:20] 苹果在2020年推出了基于ARM的M系列SOC
[00:08:20 - 00:08:23] 用在自家的笔记本电脑和台式机上
[00:08:23 - 00:08:26] 从而结束了与英特尔长达15年的合作伙伴关系
[00:08:26 - 00:08:30] 这一转变标志的英特尔在客户端CPU市场上
[00:08:30 - 00:08:32] 面临着新的强大金融对手
[00:08:32 - 00:08:34] 随着苹果M1芯片的成功
[00:08:34 - 00:08:37] 其他的芯片制造商也纷纷看到了ARM架构
[00:08:37 - 00:08:39] 在客户端PC市場的潛力
[00:08:39 - 00:08:40] 高通在2024年
[00:08:40 - 00:08:43] 發布了適應於Windows PC的Snapdragon X
[00:08:43 - 00:08:45] 英偉達·聯瓦克等
[00:08:45 - 00:08:46] 也在獨立開發
[00:08:46 - 00:08:48] 基於ARM的客户端PC芯片
[00:08:48 - 00:08:51] AMD雖然是X86生態系統的受益者
[00:08:51 - 00:08:52] 但是也順應趨勢
[00:08:52 - 00:08:54] 為微軟開發基於ARM的CPU
[00:08:54 - 00:08:56] 作為半定制芯片
[00:08:56 - 00:08:59] 儘管ARMPC目前仍然面臨著一些問題
[00:08:59 - 00:09:01] 市場份額尚沒有顯著的提升
[00:09:01 - 00:09:03] 但是眾多重要參與者的積極投入
[00:09:03 - 00:09:04] 已經表明
[00:09:04 - 00:09:07] 按PC成为现实指示时间问题
[00:09:07 - 00:09:09] 英特尔在客户端CPU市场的互成核
[00:09:09 - 00:09:11] 已经被严重的削弱
[00:09:11 - 00:09:14] 面临着来自于多个竞争对手的严峻挑战
[00:09:14 - 00:09:16] 在数据中心市场
[00:09:16 - 00:09:17] 英特尔同样面临着巨大的压力
[00:09:18 - 00:09:21] 曾经英特尔依赖于数据中心产品部门实现增长
[00:09:21 - 00:09:25] 尤其是来自于超大规模企业和云服务客户的业务
[00:09:25 - 00:09:26] 但是如今
[00:09:26 - 00:09:29] 服务端X86市场也发生了重大的变化
[00:09:29 - 00:09:32] 所有主要客户都开始转向ARM架构
[00:09:32 - 00:09:33] Yamashin AWS
[00:09:33 - 00:09:36] 基于ARM的Grampton系列CPU服务器
[00:09:36 - 00:09:37] 取得了巨大的成功
[00:09:37 - 00:09:38] 在过去两年里
[00:09:38 - 00:09:40] Grampton在 AWS
[00:09:40 - 00:09:42] 数据中心落地的CPU容量中
[00:09:42 - 00:09:44] 占比超过50%
[00:09:44 - 00:09:47] 超过了其他所有处理器类型的总和
[00:09:47 - 00:09:50] 谷歌、微软、Alibaba、Meta等超大规模企业
[00:09:50 - 00:09:51] 也纷纷效仿
[00:09:51 - 00:09:53] 推出或者正在开发
[00:09:53 - 00:09:54] 基于ARM的CPU产品
[00:09:54 - 00:09:55] 与此同时
[00:09:55 - 00:09:57] 加速计算的星期
[00:09:57 - 00:09:58] 也对X86CPU
[00:09:58 - 00:09:59] 在数据中心的市场份额
[00:09:59 - 00:10:01] 造成了冲击
[00:10:01 - 00:10:03] 人工智能推动了计算基础设施建设
[00:10:03 - 00:10:06] 以GPU和其他AI加速器为中心
[00:10:06 - 00:10:09] X86在这个领域的参与度正在逐渐的减少
[00:10:09 - 00:10:13] 例如 因为达下一代最受欢迎的Blackwell GP200
[00:10:13 - 00:10:16] 使用了基于ARM的Grace CPU为GPU提供动力
[00:10:16 - 00:10:18] 而非传统的X86 CPU
[00:10:18 - 00:10:20] 英特尔在加速计算领域的产品
[00:10:20 - 00:10:22] 比如说高底三、Focke & Schwarz等
[00:10:22 - 00:10:25] 与竞争对手相比 缺乏足够的竞争力
[00:10:25 - 00:10:27] 这使得英特尔在数据中心市场
[00:10:27 - 00:10:30] 面临着ARM架构和加速计算的双重挑战
[00:10:30 - 00:10:34] 数据中心市场的X86份额正在从多个方向流失
[00:10:34 - 00:10:36] 英特尔的数据中心路线图
[00:10:36 - 00:10:40] 在2026年甚至可能会完全地失去竞争力
[00:10:40 - 00:10:42] 在当前形式下
[00:10:42 - 00:10:44] 英特尔的代工业务显得由为的关键
[00:10:44 - 00:10:48] 英特尔代工曾经率先将许多制造技术推向市场
[00:10:48 - 00:10:51] 比如说高K金属山极、FINFIGHT等等
[00:10:51 - 00:10:54] 尽管在极子外光客EUV技术上落后于台积电
[00:10:54 - 00:10:57] 但是英特尔的当前路线图显示
[00:10:57 - 00:10:59] 在环绕山极经体馆、背面供电
[00:10:59 - 00:11:03] 高素质孔径EOV和直接自主装DSA等技術上
[00:11:03 - 00:11:05] 有望領先於台積電
[00:11:05 - 00:11:09] 如果英特爾18A工藝明年能夠大規模的量產
[00:11:09 - 00:11:11] 它很可能成為台積電之外的最佳選擇
[00:11:11 - 00:11:14] 14A工藝在2027年左右
[00:11:14 - 00:11:16] 也有機會擊敗台積電的最新產品
[00:11:16 - 00:11:20] 英特爾代工對於美國和西半球具有重要的戰略價值
[00:11:20 - 00:11:24] 因為西方在大規模生產前沿半導體方面能力有限
[00:11:24 - 00:11:27] 台積電作為唯一大批量生產的製造商
[00:11:27 - 00:11:29] 在台灣的產能優勢明顯
[00:11:29 - 00:11:32] 而且不會允許最新的節點在境外生產
[00:11:32 - 00:11:35] 亞利桑那州項目的產能也遠遠不足
[00:11:35 - 00:11:39] 不過英特爾代工業務面臨著巨大的資金需求和風險
[00:11:39 - 00:11:41] 要想維持英特爾代工的運營
[00:11:41 - 00:11:45] 未來三年內光晶圓廠設備就需要365億美元
[00:11:45 - 00:11:51] 晶圓廠廠房和其他費用還需要額外增加150億至200億美元以上
[00:11:51 - 00:11:52] 由英特爾產品組的失敗
[00:11:52 - 00:11:55] 公司缺乏現金流來支持代工業務的發展
[00:11:55 - 00:11:59] 即使有芯片法案補貼也難以滿足需求
[00:11:59 - 00:12:02] 然而 如果失去或許尖端芯片的途徑
[00:12:02 - 00:12:04] 其成本將極其昂貴
[00:12:04 - 00:12:06] 例如2021年的芯片短缺
[00:12:06 - 00:12:08] 導致美國GDP損失了1%
[00:12:08 - 00:12:10] 大約2400億美元
[00:12:10 - 00:12:14] 而失去先進製程芯片供應的影響將更為嚴重
[00:12:14 - 00:12:17] 文章也提出 為了拯救英特爾的代工業務
[00:12:17 - 00:12:18] 一種可行的策略
[00:12:18 - 00:12:21] 是將它作為台積電前沿技術的第二個來源
[00:12:21 - 00:12:24] 以此來吸引多個頂級超大規模企業
[00:12:24 - 00:12:26] 和無經元廠設計公司的大量產品
[00:12:26 - 00:12:30] 但是目前英特尔的18A生态系统尚不够成熟
[00:12:30 - 00:12:33] 将设计迁移到英特尔18A的成本较高
[00:12:33 - 00:12:35] 风险较大 市场对此反映冷淡
[00:12:35 - 00:12:39] 因此英特尔代工业务应该专注于提升工艺技术竞争力
[00:12:39 - 00:12:43] 并且降低从台积电转向英特尔设计的成本和难度
[00:12:43 - 00:12:48] 同时英特尔可以考虑将客户端X86、Mobile Eye和Outerer等产品
[00:12:48 - 00:12:51] 出售给私募股权公司或者其他的企业
[00:12:51 - 00:12:54] 同时附带长期的制造协议来减轻负担
[00:12:54 - 00:12:57] 以此來專注於代工業務的發展
[00:12:57 - 00:12:59] 此外 基於國家安全的政府支持
[00:12:59 - 00:13:02] 對英特爾代工的生存和發展至關重要
[00:13:02 - 00:13:04] 獨立而且資本充足的英特爾代工
[00:13:04 - 00:13:07] 更容易獲得政府在資金和政治上的支持
[00:13:07 - 00:13:10] 應該說 英特爾如今的困境
[00:13:10 - 00:13:12] 是多種因素共同作用的結果
[00:13:12 - 00:13:13] 董事會的決策事務
[00:13:13 - 00:13:15] 在其中扮演了關鍵的決策
[00:13:15 - 00:13:18] 從過去10年的一系列事件來看
[00:13:18 - 00:13:20] 英特爾董事會在技術研發投入
[00:13:20 - 00:13:22] 人才管理 企業文化塑造
[00:13:22 - 00:13:24] 以及戰略決策等等方面
[00:13:24 - 00:13:25] 都犯下了严重的错误
[00:13:25 - 00:13:27] 这些决策实务使得英特尔
[00:13:27 - 00:13:29] 在面对行业格局的快速变迁时
[00:13:29 - 00:13:32] 未能够及时地调整并且去适应
[00:13:32 - 00:13:35] 导致公司在产品竞争力、市场份额、
[00:13:35 - 00:13:38] 技术领先性等方面逐渐落后于竞争对手
[00:13:38 - 00:13:39] 目前来看
[00:13:39 - 00:13:41] 英特尔未来的发展充满了不确定性
[00:13:41 - 00:13:43] 如果英特尔想要重振旗鼓
[00:13:43 - 00:13:46] 就必须深刻反思董事会的决策机制
[00:13:46 - 00:13:48] 引入具有丰富半导铁行业经验
[00:13:48 - 00:13:50] 和卓越领导才能的人才
[00:13:50 - 00:13:52] 重新制定清晰、合理
[00:13:52 - 00:13:54] 而且具有前瞻性的战略规划
[00:13:54 - 00:13:57] 同时,英特尔需要加大在技术研发上的投入
[00:13:57 - 00:13:59] 特别是在代工业务方面
[00:13:59 - 00:14:03] 要克服当前面临的资金、技术和市场等多重挑战
[00:14:03 - 00:14:05] 努力提升工艺技术水平
[00:14:05 - 00:14:07] 降低成本、提高产品竞争力
[00:14:07 - 00:14:09] 重新应得客户和市场的信任
[00:14:09 - 00:14:13] 好了,今天关于英特尔困局的pose就到这里
[00:14:13 - 00:14:15] 英特尔不仅为整个半导体行业
[00:14:15 - 00:14:16] 提供了宝贵的经验教训
[00:14:16 - 00:14:17] 也让我们看到
[00:14:17 - 00:14:21] 在這個快速發展技術迭代日新月易的行業中
[00:14:21 - 00:14:24] 企業的決策層必須具備敏銳的市場動差力
[00:14:24 - 00:14:27] 深厚的技術理解能力和果斷的決策魄力
[00:14:27 - 00:14:30] 才能夠在激烈的競爭中立於不敗之地
[00:14:30 - 00:14:33] 同時企業要時刻關注於行業格局的變化
[00:14:33 - 00:14:34] 及時調整戰略
[00:14:34 - 00:14:37] 來適應新的市場需求和技術趨勢
[00:14:37 - 00:14:39] 感謝大家的觀看 我們下期再見
