BV号：BV1bYdgY4E86
标题：BV1bYdgY4E86
链接：https://www.bilibili.com/video/BV1bYdgY4E86
识别语言：zh
语言置信度：1
分段数：299
生成时间：2026-08-30 09:17:28

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 不知道大家有没有过这样的经历
[00:03:03 - 00:03:05] 其实像不带伞就下雨
[00:03:05 - 00:03:07] 一逃客就被点名这些情况
[00:03:07 - 00:03:10] 和排队时觉得队伍变慢是一样的道理
[00:03:10 - 00:03:12] 都是错误相关效应的体现
[00:03:12 - 00:03:14] 其实觉得队伍很慢
[00:03:14 - 00:03:14] 排队难熬
[00:03:14 - 00:03:16] 这并不是个别人的感受
[00:03:16 - 00:03:18] 而是全世界人类的共性
[00:03:18 - 00:03:19] 20年前
[00:03:19 - 00:03:21] 美国休斯顿机场的管理人员
[00:03:21 - 00:03:24] 就一直为乘客和机场之间的紧张关系而头疼
[00:03:24 - 00:03:26] 在乘客们反馈的意见表中
[00:03:26 - 00:03:29] 很多人都在抱怨过长的排队时间
[00:03:29 - 00:03:31] 实际上机场方面已经做了不少的努力
[00:03:31 - 00:03:33] 比方说安排行李搬运工
[00:03:33 - 00:03:36] 把大家的排队时间压缩到了8分钟
[00:03:36 - 00:03:39] 这个时间其实比行业普遍的标准还要低
[00:03:39 - 00:03:43] 后来管理员们仔细分析了乘客取行李的路线
[00:03:43 - 00:03:46] 发现从入口到行李站其实只需要1分钟
[00:03:46 - 00:03:49] 但是排队领行李却需要花7分钟
[00:03:49 - 00:03:51] 于是他们换了一个思路
[00:03:51 - 00:03:54] 把入口和行李之间的距离改远了一些
[00:03:54 - 00:03:56] 这样排队的时间就大大缩减了
[00:03:56 - 00:03:59] 乘客们的抱怨果然也少了很多
[00:03:59 - 00:04:00] 这就很奇怪
[00:04:00 - 00:04:01] 总时长没有改变
[00:04:01 - 00:04:03] 为什么结果却不一样了呢
[00:04:03 - 00:04:06] 其实问题的关键并不在于排队本身
[00:04:06 - 00:04:08] 而是在于等待这个过程
[00:04:08 - 00:04:10] 马城理工大学的一项实验就表明
[00:04:10 - 00:04:13] 人们认为自己排队消耗的时长
[00:04:13 - 00:04:16] 比实际耗时平均要高出36%
[00:04:16 - 00:04:19] 当人们处于无聊或者是痛苦的状态时
[00:04:19 - 00:04:21] 就会下一时的感觉时间被拉长了
[00:04:21 - 00:04:23] 就好比我们常说的
[00:04:23 - 00:04:25] 快乐的时间总是短暂的
[00:04:25 - 00:04:26] 周末还没怎么玩呢
[00:04:26 - 00:04:27] 两天就过去了
[00:04:27 - 00:04:28] 而上班的时候
[00:04:28 - 00:04:29] 哪怕才过了半天
[00:04:29 - 00:04:31] 却感觉度日如年
[00:04:31 - 00:04:33] 基于这些对于排队等待的研究
[00:04:33 - 00:04:36] 哈佛商学院教授戴维·迈斯特
[00:04:36 - 00:04:38] 就提出了10条排队的等待心理
[00:04:38 - 00:04:40] 咱们一条一条来说
[00:04:40 - 00:04:40] 首先
[00:04:40 - 00:04:42] 无视可做的等待
[00:04:42 - 00:04:44] 比有视可做的等待感觉要长
[00:04:44 - 00:04:45] 想象一下
[00:04:45 - 00:04:46] 你在排队的时候
[00:04:46 - 00:04:48] 如果什么都不能干
[00:04:48 - 00:04:49] 只能傻站着
[00:04:49 - 00:04:51] 是不是会感觉到时间过得特别慢呢
[00:04:51 - 00:04:53] 但是要是你手里有点事情做
[00:04:53 - 00:04:55] 时间可能就没有那么难熬了
[00:04:55 - 00:04:57] 其次等待服务的时候
[00:04:57 - 00:05:00] 对时间的感知要比接受服务的时候要长
[00:05:00 - 00:05:02] 比如说去餐厅吃饭的时候
[00:05:02 - 00:05:04] 在等待服务员点菜的过程中
[00:05:04 - 00:05:06] 你会觉得时间过得很慢
[00:05:06 - 00:05:08] 可是一旦开始上菜用餐
[00:05:08 - 00:05:10] 就不会太在意时间了
[00:05:10 - 00:05:13] 焦虑的心态也会让等待看起来比实际的时间要长
[00:05:13 - 00:05:15] 要是你着急去赶飞机
[00:05:15 - 00:05:17] 在机场安检排队的时候
[00:05:17 - 00:05:18] 心里肯定特别焦虑
[00:05:18 - 00:05:20] 就会觉得队伍移动的格外的慢
[00:05:20 - 00:05:24] 还有不确定结果的等待不如明确结果的等待
[00:05:24 - 00:05:26] 就像你在医院排队看病
[00:05:26 - 00:05:28] 如果医生告诉你前面还有几个人
[00:05:28 - 00:05:29] 大概还要等多久
[00:05:29 - 00:05:31] 你心里就会有底
[00:05:31 - 00:05:33] 等待的时候也会踏实一些
[00:05:33 - 00:05:35] 但是要是完全不知道还要等多久
[00:05:35 - 00:05:36] 心里就会很没谱
[00:05:36 - 00:05:38] 感觉时间更漫长了
[00:05:38 - 00:05:40] 另外没说明理由的等待
[00:05:40 - 00:05:42] 也要比说明了结果的等待更加漫长
[00:05:42 - 00:05:45] 比如说在银行排队办理业务
[00:05:45 - 00:05:46] 要是工作人员不告诉你
[00:05:46 - 00:05:47] 为什么要等这么久
[00:05:47 - 00:05:49] 你就会觉得很奸傲
[00:05:49 - 00:05:51] 但要是他们解释清楚了是系统的故障
[00:05:51 - 00:05:53] 或者是其他的原因
[00:05:53 - 00:05:54] 你可能就没有那么烦躁了
[00:05:54 - 00:05:56] 还有就是不公平的等待
[00:05:56 - 00:05:58] 比公平的等待更漫长
[00:05:58 - 00:06:00] 假如大家都在排队等公交车
[00:06:00 - 00:06:01] 突然有人插队了
[00:06:01 - 00:06:03] 其他人心里肯定会不舒服
[00:06:03 - 00:06:05] 觉得自己等待的时间就变得更长了
[00:06:05 - 00:06:07] 服务的价值越高
[00:06:07 - 00:06:09] 大家愿意等待的时间也就越长
[00:06:09 - 00:06:11] 要是去一家很有名的餐厅吃大餐
[00:06:11 - 00:06:13] 哪怕排队的时间久一点
[00:06:13 - 00:06:14] 很多人也都愿意等
[00:06:14 - 00:06:17] 但是要是去一家普通的小吃店
[00:06:17 - 00:06:19] 可能等一会就会不耐烦了
[00:06:19 - 00:06:21] 独自等待不如大家一起等待
[00:06:21 - 00:06:23] 在火车站后车的时候
[00:06:23 - 00:06:25] 如果周围有很多人一起等
[00:06:25 - 00:06:27] 你可能就不会觉得那么孤单无聊了
[00:06:27 - 00:06:28] 但要是只有你一个人
[00:06:28 - 00:06:30] 就会感觉时间很难熬
[00:06:30 - 00:06:32] 身体不舒服的时候
[00:06:32 - 00:06:33] 等待也会变得漫长
[00:06:33 - 00:06:34] 比如说要是你感冒了
[00:06:34 - 00:06:35] 身体很难受
[00:06:35 - 00:06:37] 在医院排队看病的时候
[00:06:37 - 00:06:39] 就会觉得每一分钟都很难熬
[00:06:39 - 00:06:41] 最后就是在不熟悉的环境里
[00:06:41 - 00:06:43] 等待同样会变得漫长
[00:06:43 - 00:06:45] 第一次去一个陌生的地方办事
[00:06:45 - 00:06:46] 在排队的时候
[00:06:46 - 00:06:48] 因为不了解周围的情况
[00:06:48 - 00:06:50] 心里肯定会更加不安
[00:06:50 - 00:06:51] 也会觉得时间过得很慢
[00:06:51 - 00:06:53] 这些排队等待的心里
[00:06:53 - 00:06:55] 在很多场合其实都得到了应用
[00:06:55 - 00:06:57] 就拿一些主题游乐园来说
[00:06:57 - 00:06:59] 为了让游客在排队的时候
[00:06:59 - 00:07:00] 不那么无聊
[00:07:00 - 00:07:01] 会增加一些互动的环节
[00:07:01 - 00:07:04] 大家可以在趣味十足的合作游戏中
[00:07:04 - 00:07:05] 度过排队的时间
[00:07:05 - 00:07:07] 这样就不会觉得时间很难熬了
[00:07:07 - 00:07:09] 还有在队伍的不同位置
[00:07:09 - 00:07:11] 游乐园会实时提示
[00:07:11 - 00:07:13] 排到此处还需要等待多久
[00:07:13 - 00:07:14] 让游客们心里有个顶
[00:07:14 - 00:07:15] 减少焦虑
[00:07:15 - 00:07:17] 另外有些地方会采用
[00:07:17 - 00:07:19] 只排一个蛇星长队的方式
[00:07:19 - 00:07:21] 在各个窗口前设置工作人员
[00:07:21 - 00:07:23] 挨个指导下一个排队的人
[00:07:23 - 00:07:25] 去即将空出来的窗口接受服务
[00:07:25 - 00:07:26] 这样一来
[00:07:26 - 00:07:28] 大家就不用去比较哪个队伍快
[00:07:28 - 00:07:29] 哪个队伍慢了
[00:07:29 - 00:07:31] 也能够减少因为客观情况导致的
[00:07:31 - 00:07:33] 每个队伍快慢不一的问题
[00:07:33 - 00:07:35] 那对于我们普通人来说
[00:07:35 - 00:07:37] 想要排队没那么难熬
[00:07:37 - 00:07:39] 其实也有一些小技巧
[00:07:39 - 00:07:41] 但是我们要先明确一个前提
[00:07:41 - 00:07:43] 那就是排队是文明社会
[00:07:43 - 00:07:44] 保障公平性的必要举措
[00:07:44 - 00:07:47] 所以我们要提前对排队这件事情
[00:07:47 - 00:07:48] 做好心理预期
[00:07:48 - 00:07:50] 下面就给大家分享几个小技巧
[00:07:50 - 00:07:52] 第一个玩手机游戏
[00:07:52 - 00:07:54] 我们可以提前下载一个短时间
[00:07:54 - 00:07:55] 就能够结束的小游戏
[00:07:55 - 00:07:57] 在排队的时候玩一玩
[00:07:57 - 00:07:58] 既能够打发时间
[00:07:58 - 00:08:01] 又不会因为游戏时间过长而影响排队
[00:08:01 - 00:08:03] 第二个观察周围的环境
[00:08:03 - 00:08:04] 玩一个小挑战
[00:08:04 - 00:08:06] 比如说观察排队的人群
[00:08:06 - 00:08:07] 猜猜他们的职业
[00:08:07 - 00:08:07] 目的地
[00:08:07 - 00:08:09] 或者默默统计
[00:08:09 - 00:08:11] 某种颜色的衣服出现了多少次
[00:08:11 - 00:08:12] 这样给自己找点小任务
[00:08:12 - 00:08:14] 时间就会过得快一些
[00:08:14 - 00:08:16] 第三个与朋友聊天
[00:08:16 - 00:08:19] 等待的时候和身边的朋友分享排队的去世
[00:08:19 - 00:08:20] 或者聊聊天
[00:08:20 - 00:08:22] 这样既能够缓解无聊
[00:08:22 - 00:08:23] 又能够增进感情
[00:08:23 - 00:08:24] 第四个
[00:08:24 - 00:08:26] 利用时间处理一些小任务
[00:08:26 - 00:08:28] 排队时间可不能浪费
[00:08:28 - 00:08:29] 可以用来回消息
[00:08:29 - 00:08:30] 整理代办事项
[00:08:30 - 00:08:32] 规划一天的安排
[00:08:32 - 00:08:33] 甚至提前想好
[00:08:33 - 00:08:34] 接下来的购物清单
[00:08:34 - 00:08:36] 这样不仅能够让等待变得更加高效
[00:08:36 - 00:08:38] 还会有一种成就感
[00:08:38 - 00:08:39] 第五个
[00:08:39 - 00:08:40] 适当活动一下身体
[00:08:40 - 00:08:41] 放松一下
[00:08:41 - 00:08:42] 长时间站着排队
[00:08:42 - 00:08:44] 身体可能会感到不适
[00:08:44 - 00:08:45] 这时候可以轻微的点脚
[00:08:45 - 00:08:46] 转动脚踝
[00:08:46 - 00:08:47] 调整站姿
[00:08:47 - 00:08:49] 既能够放松身体
[00:08:49 - 00:08:50] 又能够转移注意力
[00:08:50 - 00:08:52] 让你不会过于关注排队的时间
[00:08:52 - 00:08:54] 不过要注意的是
[00:08:54 - 00:08:55] 这些排队的专用计划
[00:08:55 - 00:08:57] 一定要是可以随时打断的
[00:08:57 - 00:08:59] 并且不需要高度集中注意力
[00:08:59 - 00:09:02] 这样既能够方便你时刻关注排队的进程
[00:09:02 - 00:09:04] 不用被后面的人频繁的提醒
[00:09:04 - 00:09:06] 也能够避免在排到你的时候
[00:09:06 - 00:09:08] 刚好新开一局游戏
[00:09:08 - 00:09:10] 或者是其他不能中断的事情
[00:09:10 - 00:09:11] 从而导致你不得不推出
[00:09:11 - 00:09:13] 而被队友骂的尴尬局面
[00:09:13 - 00:09:14] 好了
[00:09:14 - 00:09:15] 今天我们一起研究了一下
[00:09:15 - 00:09:18] 为什么排队总是选到最慢的队伍的问题
[00:09:18 - 00:09:21] 从概率 心理学效应 到排队等待心理
[00:09:21 - 00:09:25] 和缓解排队难熬的技巧都详细的分析了一遍
[00:09:25 - 00:09:27] 希望大家以后再遇到排队的情况时
[00:09:27 - 00:09:29] 能够运好这些知识和技巧
[00:09:29 - 00:09:32] 调整好心态 让排队不再那么痛苦
[00:09:32 - 00:09:34] 感谢大家的观看 我们下期再见
