BV号：BV1VGKH6KESQ
标题：BV1VGKH6KESQ
链接：https://www.bilibili.com/video/BV1VGKH6KESQ
识别语言：zh
语言置信度：1
分段数：157
生成时间：2026-08-29 10:49:33

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] Timmy K3刚发布就直接冲到了Arena前端榜第一
[00:00:05 - 00:00:07] 暂时压过GPT 5.6
[00:00:07 - 00:00:09] 但同一天 一名开发者在推特上说
[00:00:09 - 00:00:10] 他慢了4倍
[00:02:03 - 00:02:05] 大约是gpt5.6的1.9倍
[00:02:05 - 00:02:07] 从总token来看
[00:02:07 - 00:02:09] k3的推理和输出明显更加戎长
[00:02:09 - 00:02:11] 这会抵消一部分单价优势
[00:02:11 - 00:02:14] 至于那名用户为什么十分钟就耗尽了额度
[00:02:14 - 00:02:16] 目前没有公开日制
[00:02:16 - 00:02:18] 这可能与token消耗套餐倍率
[00:02:18 - 00:02:21] 以及Agent循环的调用频率共同有关
[00:02:21 - 00:02:22] 但可以确定的是
[00:02:22 - 00:02:24] 程序员最终买单的
[00:02:24 - 00:02:27] 不是单价而是每个成功任务的成本
[00:02:27 - 00:02:30] 又偏科又烧钱那K3是不是一无是处
[00:02:30 - 00:02:31] 并不是
[00:02:31 - 00:02:33] 真实用户的反馈非常反直觉
[00:02:33 - 00:02:35] 它慢啰嗦消耗大
[00:02:35 - 00:02:36] 但它有一个优点
[00:02:36 - 00:02:37] 不容易半途放弃
[00:02:37 - 00:02:40] 在实际开发中我们经常遇到这种情况
[00:02:40 - 00:02:41] 模型跑得飞快
[00:02:41 - 00:02:43] 但遇到复杂的抱错
[00:02:43 - 00:02:44] 它就甩一句
[00:02:44 - 00:02:45] 无法完成该操作
[00:02:45 - 00:02:46] 让你自己补权
[00:02:46 - 00:02:47] K3不一样
[00:02:47 - 00:02:49] 它像个有点轴的老程序员
[00:02:49 - 00:02:51] 打字慢思维练长
[00:02:51 - 00:02:52] 但它会死磕到底
[00:02:52 - 00:02:54] 在Automation Bench等长程任务中
[00:02:54 - 00:02:56] 它的表现名列前茅
[00:02:56 - 00:02:58] 程序员每天都在快弹敷衍
[00:02:58 - 00:03:00] 和慢弹能交付之间做选择
[00:03:00 - 00:03:03] 如果你追求实施补权和低延迟
[00:03:03 - 00:03:05] k3目前不是第一选择
[00:03:05 - 00:03:07] 但如果任务允许长时间运行
[00:03:07 - 00:03:09] 又能自动执行测试和修复
[00:03:09 - 00:03:12] k3的坚持性可能会发挥巨大价值
[00:03:12 - 00:03:14] 不过像大型迁移微服拆分
[00:03:14 - 00:03:17] 目前还不能根据榜单直接下结论
[00:03:17 - 00:03:20] 最好先用你自己的仓库做个小规模验证
[00:03:20 - 00:03:23] 然后我们聊聊k3最大的正义标签
[00:03:23 - 00:03:27] 最强开放模型 K3总参数达到2.8万亿
[00:03:27 - 00:03:30] 官方承诺在7月27日前开放完整权重
[00:03:30 - 00:03:32] 但即使权重如期发布
[00:03:32 - 00:03:34] 大多数个人用户也很难部署
[00:03:34 - 00:03:39] 官方推荐推理部署需要64张以上的加速卡组成的超级节点
[00:03:39 - 00:03:43] 对普通工作站来说部署2.8万亿参数几乎不现实
[00:03:43 - 00:03:44] 即使对消费级钱卡
[00:03:45 - 00:03:47] 显存互联和运行开销也很难解决
[00:03:47 - 00:03:49] 这带来一个尖锐的问题
[00:03:49 - 00:03:51] K3开放的究竟是个人自由
[00:03:51 - 00:03:53] 还是云服务商的商业机会
[00:03:53 - 00:03:57] VLLM已经宣布会在全众发布日提供Dailing支持
[00:03:57 - 00:04:00] 并接收KDA钱税缓存实现
[00:04:00 - 00:04:02] 这说明基础设施团队非常重视K3
[00:04:02 - 00:04:06] 但它的直接受益者更可能是推理平台和大型机构
[00:04:06 - 00:04:08] 对普通程序员来说
[00:04:08 - 00:04:10] 全众开放的实际收益仍然有限
[00:04:10 - 00:04:13] 大多数人短期内还是会通过API使用它
[00:04:13 - 00:04:14] 记住一句话
[00:04:14 - 00:04:17] 全众可以免费推理从来不免费
[00:04:17 - 00:04:20] 看到这里你可能已经给k3下了结论
[00:04:20 - 00:04:22] 一个前端很强但又卖又贵
[00:04:22 - 00:04:24] 且普通人部署不起的模型
[00:04:24 - 00:04:26] 但这个结论只对了一半
[00:04:26 - 00:04:30] 因为k3最值得关注的能力根本不是做网页
[00:04:30 - 00:04:31] 在开发后期
[00:04:31 - 00:04:33] 团队开始使用早期版本的k3
[00:04:33 - 00:04:35] 参与训练Colonel的优化工作
[00:04:35 - 00:04:36] 它甚至从零开始
[00:04:36 - 00:04:39] 写了一个叫minitratton的GPU编译器
[00:04:39 - 00:04:40] 这不是写贪吃蛇
[00:04:40 - 00:04:44] 这不能证明k3已经达到顶级编译器专家水平
[00:04:44 - 00:04:47] 但它至少证明模型已经能持续完成一个
[00:04:47 - 00:04:49] 结构完整的编译器项目
[00:04:49 - 00:04:53] 从IR优化PASS一直做到PTX代码生成
[00:04:53 - 00:04:56] 在部分附在上它甚至达到或超过Tratton
[00:04:56 - 00:05:00] 这比做出一个漂亮网页更值得程序员警觉和关注
[00:05:00 - 00:05:02] 它证明了开放权重模型的竞争
[00:05:02 - 00:05:05] 已经不止发生在聊天和网页上
[00:05:05 - 00:05:08] 战场开始深入编译器颗扭和硬件优化
[00:05:08 - 00:05:11] 在做最终决策前还要看工程现实、工具链
[00:05:11 - 00:05:13] 工具链的反应确实很快
[00:05:13 - 00:05:17] Client已经给出K3模型ID,支持用户自己配置API
[00:05:17 - 00:05:21] OpenCode也在发布当天上架,但因为尚未谈到折扣
[00:05:21 - 00:05:23] 会以更高倍率消耗套餐额度
[00:05:23 - 00:05:26] VLLM则承诺在权重发布日支持K3
[00:05:26 - 00:05:28] 同时接入KDA缓存优化
[00:05:28 - 00:05:32] 这说明生态愿意接入K3,但接入不等于成熟
[00:05:32 - 00:05:34] 分发额度和单位经济性
[00:05:34 - 00:05:37] 仍然是它进入生产环境的最后一公里
[00:05:37 - 00:05:39] K3不是最省token的模型
[00:05:39 - 00:05:42] 也不是已经被证明最强的代码模型
[00:05:42 - 00:05:45] 但它折射了AI时代软件工程的处境
[00:05:45 - 00:05:48] 算力变成电网,我们变成用电中端
[00:05:48 - 00:05:50] 没必要争论谁是New King
[00:05:50 - 00:05:51] 算好自己的工程账就行
[00:05:51 - 00:05:53] 为了让大家少走弯路
[00:05:53 - 00:05:56] 我整理了一份K3使用场景决策表
[00:05:56 - 00:05:57] 建议截图保存
[00:05:57 - 00:06:00] 看完这份决策表你会把K3用在哪个项目里
[00:06:00 - 00:06:02] 是让它去写前端炫技
[00:06:02 - 00:06:04] 还是扔给它一个底层bug让它死磕
[00:06:04 - 00:06:06] 把你的选择打在公平上
[00:06:06 - 00:06:09] 如果这期硬核拆解帮你省下了API的钱
[00:06:09 - 00:06:13] 求一个一键三连,我是为什么叫QQ,我们下期见!
