BV号：BV18ufEYdE9c
标题：BV18ufEYdE9c
链接：https://www.bilibili.com/video/BV18ufEYdE9c
识别语言：zh
语言置信度：1
分段数：224
生成时间：2026-08-30 18:42:05

[00:00:00 - 00:00:01] 我是Sara Yu
[00:00:01 - 00:00:03] 我是程序管理的Ai
[00:04:15 - 00:04:16] 嗯,是的。
[00:04:16 - 00:04:18] 所以,
[00:04:18 - 00:04:19] 一方是,
[00:04:19 - 00:04:20] 跟着它进行,
[00:04:20 - 00:04:21] 就是,
[00:04:21 - 00:04:22] 我可以参加,
[00:04:22 - 00:04:24] 看到更好,
[00:04:24 - 00:04:25] 然后,
[00:04:25 - 00:04:26] 手机是用,
[00:04:26 - 00:04:27] 用,
[00:04:27 - 00:04:28] 用,
[00:04:28 - 00:04:28] 用,
[00:04:28 - 00:04:29] 用,
[00:04:29 - 00:04:29] 用,
[00:04:29 - 00:04:30] 用,
[00:04:30 - 00:04:31] 用,
[00:04:31 - 00:04:31] 用,
[00:04:31 - 00:04:32] 用,
[00:04:32 - 00:04:32] 用,
[00:04:32 - 00:04:33] 用,
[00:04:33 - 00:04:34] 用,
[00:04:34 - 00:04:35] 用,
[00:04:35 - 00:04:36] 用,
[00:04:36 - 00:04:36] 用,
[00:04:36 - 00:04:37] 用,
[00:04:37 - 00:04:37] 用,
[00:04:37 - 00:04:38] 用,
[00:04:38 - 00:04:39] 用,
[00:04:39 - 00:04:39] 用,
[00:04:39 - 00:04:40] 用,
[00:04:40 - 00:04:40] 用,
[00:04:40 - 00:04:41] 用,
[00:04:41 - 00:04:42] 用,
[00:04:42 - 00:04:42] 用,
[00:04:42 - 00:04:43] 用,
[00:04:43 - 00:04:44] 用,
[00:04:44 - 00:04:47] 你会否用
[00:04:47 - 00:04:48] 我会问
[00:04:48 - 00:04:49] 用
[00:04:49 - 00:04:54] 加斯斯
[00:04:54 - 00:04:56] 所以通常是
[00:04:56 - 00:04:57] 问问的问题
[00:04:57 - 00:04:58] 当需要
[00:04:58 - 00:04:59] 需要的
[00:04:59 - 00:05:00] 在担任的程度中
[00:05:00 - 00:05:01] 解决的
[00:05:01 - 00:05:02] 有些情况是
[00:05:02 - 00:05:03] 工作人员必须
[00:05:03 - 00:05:04] 发生意义的
[00:05:04 - 00:05:05] 例如
[00:05:05 - 00:05:06] 在订阅
[00:05:06 - 00:05:08] 或找到的东西
[00:05:08 - 00:05:09] 这些情况是
[00:05:09 - 00:05:10] 我们建立的工作人员
[00:05:10 - 00:05:11] 在这种情况下
[00:05:11 - 00:05:12] 工作人员
[00:05:12 - 00:05:14] 是想要求
[00:05:14 - 00:05:15] 我们
[00:05:15 - 00:05:17] 要用自己的手機來標記
[00:05:17 - 00:05:19] 或者是在需要的程序上
[00:05:19 - 00:05:21] 它會給我們控制
[00:05:21 - 00:05:22] 所以我可以檢查
[00:05:22 - 00:05:24] 如果Listis對我來說對
[00:05:24 - 00:05:26] 然後檢查我自己
[00:05:26 - 00:05:27] 太棒了
[00:05:27 - 00:05:28] 謝謝你
[00:05:28 - 00:05:29] 我非常感謝你展示給我們
[00:05:29 - 00:05:30] 謝謝你
[00:05:30 - 00:05:31] 你好
[00:05:31 - 00:05:32] 你好
[00:05:32 - 00:05:34] 你能告訴我你的名字嗎
[00:05:34 - 00:05:35] 你會聽到我的名字嗎
[00:05:35 - 00:05:36] 對,我叫Bai Shen
[00:05:36 - 00:05:37] Bai Shen Xu
[00:05:37 - 00:05:40] 我是創業的創作人
[00:05:40 - 00:05:41] 太棒了
[00:05:41 - 00:05:43] 你今天會跟我們分享什麼
[00:05:43 - 00:05:46] 今天我想展示你一个很好的特点
[00:05:46 - 00:05:48] 是队友的计划方式
[00:05:48 - 00:05:49] 我们的做法是
[00:05:49 - 00:05:52] 我们让你保持安全的招待
[00:05:52 - 00:05:54] 让人们经常使用
[00:05:54 - 00:05:56] 招待的方式
[00:05:56 - 00:05:58] 在每个调查上的
[00:05:58 - 00:05:59] 每个调查上的
[00:05:59 - 00:06:01] 有安全的招待
[00:06:01 - 00:06:02] 你能够按下
[00:06:02 - 00:06:04] 你会帮助你发行的
[00:06:04 - 00:06:07] 招待的计划和计划
[00:06:07 - 00:06:09] 像在打个招待
[00:06:09 - 00:06:11] 或者在打个招待
[00:06:11 - 00:06:15] I'm going to show you how I use it to book Friday dinner reservation
[00:06:17 - 00:06:20] This is the prompt that I give to operator
[00:06:21 - 00:06:23] I'm going to trigger it
[00:06:26 - 00:06:31] now as instructed operator would ask what type of food I would like
[00:06:32 - 00:06:37] this time I want to have chinese food
[00:06:38 - 00:06:40] try china live
[00:06:40 - 00:06:46] It is available.
[00:06:46 - 00:06:50] And now operator just loads up a browser and starts doing tasks.
[00:06:50 - 00:06:51] and all hands off.
[00:06:51 - 00:06:53] it will go to theopentable.com.
[00:06:53 - 00:06:57] and start doing the tasks without me having to do anything.
[00:06:57 - 00:06:58] take a good dinner.
[00:06:58 - 00:06:59] Thank you so much.
[00:06:59 - 00:07:00] Thank you.
