BV号：BV1uHfoYwEsy
标题：BV1uHfoYwEsy
链接：https://www.bilibili.com/video/BV1uHfoYwEsy
识别语言：zh
语言置信度：1
分段数：371
生成时间：2026-09-07 00:52:36

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:07] 前一段时间DeepSync V3的发布引起了全世界的关注
[00:00:07 - 00:00:10] 而背后的团队和领导者却非常低调
[00:02:38 - 00:02:41] 宁波幻方量化投资管理合伙企业
[00:02:41 - 00:02:42] 进一步的拓展业务
[00:02:42 - 00:02:43] 同年幻方量化
[00:02:43 - 00:02:46] 成功加入了中国正确投资基金业协会
[00:02:46 - 00:02:49] 意味着在行业内的专业性和规范性
[00:02:49 - 00:02:50] 得到了官方的认可
[00:02:50 - 00:02:51] 10月21日
[00:02:51 - 00:02:54] 幻方量化推出了第一个AI模型
[00:02:54 - 00:02:56] 并且首次使用GPU来生成交易仓位
[00:02:56 - 00:02:58] 并且上线执行
[00:02:58 - 00:02:59] 在这之前
[00:02:59 - 00:03:00] 他们的算法主要依赖于
[00:03:00 - 00:03:03] 现行模型和传统的技术学习算法
[00:03:03 - 00:03:05] 模型计算主要还是依靠的CPU
[00:03:05 - 00:03:07] 到了2016年底
[00:03:07 - 00:03:08] 幻方量化管理的资金规模
[00:03:08 - 00:03:10] 已经大约达到10亿元
[00:03:10 - 00:03:11] 随着时间的推移
[00:03:11 - 00:03:12] 2017年
[00:03:12 - 00:03:14] 32岁的梁文峰带领幻方
[00:03:14 - 00:03:16] 持续加大在AI算法研究
[00:03:16 - 00:03:18] 和软硬件研发方面的投入
[00:03:18 - 00:03:19] 不断的扩充团队
[00:03:20 - 00:03:21] 到了2017年年底
[00:03:21 - 00:03:22] 几乎所有的量化策略
[00:03:22 - 00:03:24] 都已经采用了AI模型计算
[00:03:24 - 00:03:26] 公司管理的资金规模
[00:03:26 - 00:03:28] 也顺利扩大到了30亿元
[00:03:28 - 00:03:29] 2018年
[00:03:29 - 00:03:30] 梁文峰明确了公司
[00:03:30 - 00:03:32] 以AI为核心的发展方向
[00:03:32 - 00:03:33] 这个战略决策
[00:03:33 - 00:03:34] 使得换方量化
[00:03:34 - 00:03:36] 在当年首次融获金牛奖
[00:03:37 - 00:03:39] 这也是中国私募证券领域的最高奖项
[00:03:39 - 00:03:42] 不过公司也遇到了发展的平静
[00:03:42 - 00:03:43] 那就是算力不足
[00:03:43 - 00:03:45] 随着训练需求的日益增长
[00:03:45 - 00:03:46] 有限的计算资源
[00:03:46 - 00:03:48] 严重限制了公司的进一步发展
[00:03:48 - 00:03:50] 于是梁文峰开始积极的寻求
[00:03:50 - 00:03:52] 大规模算力的解决方案
[00:03:52 - 00:03:54] 为了解决算力的问题
[00:03:54 - 00:03:55] 2019年
[00:03:55 - 00:03:56] 梁芸芬果断创办
[00:03:56 - 00:03:57] 换方AI公司
[00:03:57 - 00:03:59] 并且投资2亿元
[00:03:59 - 00:04:01] 自主研发深度学习训练平台
[00:04:01 - 00:04:02] 营火1号
[00:04:02 - 00:04:05] 这个平台搭载了1100块GPU显卡
[00:04:05 - 00:04:05] 这一年
[00:04:05 - 00:04:07] 34岁的她带领换方练画
[00:04:07 - 00:04:09] 成为管理资金
[00:04:09 - 00:04:10] 超过百亿的私募机构
[00:04:10 - 00:04:11] 同时
[00:04:11 - 00:04:13] 换方资本在香港成立
[00:04:13 - 00:04:15] 并且成功获得了香港9号牌
[00:04:15 - 00:04:17] 也就是资产管理牌照
[00:04:17 - 00:04:19] 进一步拓展了公司的业务版图
[00:04:19 - 00:04:21] 在8月30日的金牛奖頒獎儀式上
[00:04:22 - 00:04:23] 梁安峰發表了主題演講
[00:04:23 - 00:04:24] 題目為
[00:04:24 - 00:04:27] 一名程序員眼中的中國煉化投資的未來
[00:04:27 - 00:04:28] 在演講中
[00:04:28 - 00:04:31] 他深入探討了煉化與非煉化的判定標準
[00:04:31 - 00:04:34] 指出煉化公司的核心是福氣
[00:04:34 - 00:04:35] 而非傳統的基金經理
[00:04:36 - 00:04:37] 他還坦誠的表示
[00:04:37 - 00:04:39] 私墨行業面臨著巨大的壓力
[00:04:39 - 00:04:41] 因為投資人對於業績的期望很高
[00:04:42 - 00:04:44] 如果一年跑行指數低於25%
[00:04:44 - 00:04:46] 投資人往往會不滿意
[00:04:46 - 00:04:46] 但是同時
[00:04:46 - 00:04:49] 他們收取的手續費也相對較高
[00:04:49 - 00:04:50] 此外他强调
[00:04:50 - 00:04:53] 量化投资已经在技术面流派取得了成功
[00:04:53 - 00:04:56] 未来的目标是抢夺基本面流派的市场份额
[00:04:56 - 00:05:00] 而换方量化的使命就是提高中国二级市场的有效性
[00:05:00 - 00:05:03] 2020年营火1号正式投入使用
[00:05:03 - 00:05:04] 寿命为一年半
[00:05:04 - 00:05:06] 根据换方量化的员工透露
[00:05:06 - 00:05:09] 梁文峰每天都亲自参与写代码、跑代码
[00:05:09 - 00:05:11] 这种亲历亲为的工作态度
[00:05:11 - 00:05:13] 在公司内部也形成了良好的风气
[00:05:13 - 00:05:16] 也成为了与其他同行的显著区别之一
[00:05:16 - 00:05:18] 2021年对于梁文峰和换方来说
[00:05:18 - 00:05:20] 都是命运转折的关键一年
[00:05:21 - 00:05:24] 这一年他们赤资十亿元建设了营火二号
[00:05:24 - 00:05:27] 二月份征服市场的人西蒙斯传一书出版
[00:05:27 - 00:05:29] 梁芬为该书作序
[00:05:29 - 00:05:30] 他在书中提到
[00:05:30 - 00:05:32] 每当在工作中遇到困难的时候
[00:05:32 - 00:05:33] 西蒙斯的话
[00:05:33 - 00:05:36] 一定有办法对价格建模都会激励着他
[00:05:37 - 00:05:39] 我们简单介绍一下詹姆斯西蒙斯
[00:05:39 - 00:05:41] 他是量化投资领域的传奇人物
[00:05:41 - 00:05:44] 所创办的文艺复兴科技公司和大奖章基金
[00:05:44 - 00:05:47] 都取得了令人惊叹的投资战迹
[00:05:47 - 00:05:49] 从1988年到2018年
[00:05:49 - 00:05:52] 大奖章基金的年化附和收益率接近40%
[00:05:52 - 00:05:55] 扣除费用后年化回报率为39%
[00:05:55 - 00:05:58] 远远超过了巴卫特和索罗斯等投资大佬
[00:05:58 - 00:06:01] 在1994年到2014年中期这段时间
[00:06:01 - 00:06:04] 平均的年回报率更是高达71.8%
[00:06:04 - 00:06:06] 在2000年互联网泡沫的期间
[00:06:06 - 00:06:09] 更是获得了98.5%的净回报
[00:06:09 - 00:06:12] 即使在2008年全球金融危机期间
[00:06:12 - 00:06:14] 依然能够取得80%的收益
[00:06:14 - 00:06:15] 话说回来
[00:06:15 - 00:06:16] 在2021年的8月
[00:06:16 - 00:06:20] 梁芬帶領換方量化成功突破千億大官
[00:06:20 - 00:06:22] 積生千億量化私募之列
[00:06:22 - 00:06:25] 與九坑投資、明洪投資、鄰軍投資一起
[00:06:25 - 00:06:27] 被業界稱為量化私募領域的四大天王
[00:06:27 - 00:06:29] 換方量化在短短四年的時間內
[00:06:29 - 00:06:31] 成為百億量化私募
[00:06:31 - 00:06:33] 隨後又只用了兩年的時間
[00:06:33 - 00:06:35] 就晉升為千億量化私募
[00:06:35 - 00:06:37] 發展速度之快令人詐蛇
[00:06:37 - 00:06:40] 不過成功的道路並非一番豐順
[00:06:40 - 00:06:41] 2021年的11月
[00:06:41 - 00:06:43] 由於業績出現波動
[00:06:43 - 00:06:45] 換方量化不得不關閉全部的募集通道
[00:06:45 - 00:06:48] 并且在12月底发布制投资者公开信
[00:06:48 - 00:06:50] 对业绩回彻达到历史最大值
[00:06:50 - 00:06:52] 表示深感愧疚
[00:06:52 - 00:06:54] 就其原因主要是人工智能投资决策
[00:06:54 - 00:06:57] 在买卖10点的把握上出现了问题
[00:06:57 - 00:06:58] 根据媒体报道
[00:06:58 - 00:07:00] 换方量化在一个半月内
[00:07:00 - 00:07:02] 主动缩减了超过100亿元的管理规模
[00:07:02 - 00:07:05] 从近千亿规模降到了800多亿
[00:07:05 - 00:07:08] 此后为了应对市场的变化和风险
[00:07:08 - 00:07:10] 公司逐渐降低资产的管理规模
[00:07:10 - 00:07:11] 在这个过程中
[00:07:11 - 00:07:14] 投资者的情绪也出现了较大的波动
[00:07:14 - 00:07:15] 有投資者甚至表示
[00:07:15 - 00:07:18] 看到換方高管的名字就想打人
[00:07:18 - 00:07:19] 對此
[00:07:19 - 00:07:21] 換方高管陸某在朋友圈誠懇的致歉
[00:07:21 - 00:07:24] 表示公司正在全力加班加點進行研發
[00:07:24 - 00:07:26] 雖然需要一定的時間來調整
[00:07:26 - 00:07:28] 但是會努力重振其鼓
[00:07:28 - 00:07:30] 希望投資者能夠理解和支持
[00:07:30 - 00:07:32] 儘管面臨業績波動的困境
[00:07:32 - 00:07:34] 2021年梁文峰在技術領域
[00:07:34 - 00:07:36] 仍然取得了重要突破
[00:07:36 - 00:07:38] 他帶領換方先於一些雲計算廠商
[00:07:38 - 00:07:40] 拿到了英偉達的A100顯卡
[00:07:40 - 00:07:44] 並且AI集群的顯卡數量達到了萬卡級別
[00:07:44 - 00:07:47] 在当时国内拥有超过一万个GPU的企业
[00:07:47 - 00:07:48] 不超过5家
[00:07:48 - 00:07:49] 除了换方以外
[00:07:49 - 00:07:51] 其他4家都是互联网大厂
[00:07:51 - 00:07:52] 2022年
[00:07:52 - 00:07:54] 换方量化的一名员工
[00:07:54 - 00:07:56] 以一只平凡的小猪的名义
[00:07:56 - 00:07:58] 向慈善机构捐款1.38亿元
[00:07:58 - 00:08:01] 捐赠项目涵盖白雪病救助
[00:08:01 - 00:08:02] 乡村工匠
[00:08:02 - 00:08:03] 高中生助学
[00:08:03 - 00:08:04] 儿童大病救助
[00:08:04 - 00:08:05] 听证儿童支持
[00:08:05 - 00:08:07] 关爱老兵等等多个领域
[00:08:07 - 00:08:10] 外界纷纷猜测这位神秘的捐款人
[00:08:10 - 00:08:12] 就是37岁的换方创始人梁文峰
[00:08:12 - 00:08:14] 不過這個猜測沒有得到證實
[00:08:15 - 00:08:16] 2023年5月
[00:08:16 - 00:08:19] 38歲的梁文峰做出了一個重大的決定
[00:08:19 - 00:08:21] 宣布進軍通用人工智能AGI領域
[00:08:21 - 00:08:26] 確奮他創辦了杭州深度求所人工智能基礎技術研究有限公司
[00:08:26 - 00:08:27] 也就是DeepSake
[00:08:27 - 00:08:30] 成為量化投資者投身AI創業的第一人
[00:08:30 - 00:08:32] 2023年10月底
[00:08:32 - 00:08:33] 梁文峰的創業夥伴徐晉
[00:08:33 - 00:08:35] 因為個人家庭事務處理不到
[00:08:35 - 00:08:36] 引發負面事件
[00:08:36 - 00:08:38] 被公司給予停止處理
[00:08:38 - 00:08:39] 此時
[00:08:39 - 00:08:42] 換方量化的管理規模已經降到了400多億元
[00:08:42 - 00:08:43] 2024年的5月
[00:08:43 - 00:08:47] DeepSig发布了混合专家语言模型DeepSig V2
[00:08:47 - 00:08:50] 其中模型的API定价在当时极具竞争力
[00:08:50 - 00:08:52] 每百万Token的输入只有一块钱
[00:08:52 - 00:08:54] 输出两块钱
[00:08:54 - 00:08:56] 价格仅为GBT4 Turbo的1%
[00:08:56 - 00:08:59] 这个价格立刻引发了行业震动
[00:08:59 - 00:09:00] 字节跳动
[00:09:00 - 00:09:03] 阿里巴巴、百度、腾讯等大厂纷纷跟进
[00:09:03 - 00:09:05] 宣布降低自家大模型产品的价格
[00:09:05 - 00:09:06] 也正因为如此
[00:09:06 - 00:09:09] DeepSig被外界形象的称为AI界的拼多多
[00:09:09 - 00:09:11] 在降低大模型应用成本方面
[00:09:11 - 00:09:13] 起到了引领作用
[00:09:13 - 00:09:14] 2024年10月
[00:09:14 - 00:09:17] 梁文峰的换方量化向投资者发布公告
[00:09:17 - 00:09:21] 宣布未来会逐渐将对冲产品投资的仓位降低到0
[00:09:21 - 00:09:23] 这标志着公司战略的重大调整
[00:09:23 - 00:09:25] 2024年12月26日
[00:09:25 - 00:09:27] 梁文峰又带领DeepSig发布了DeepSig V3
[00:09:27 - 00:09:31] 并且公开了由他和罗夫利等人专写的53页技术论文
[00:09:31 - 00:09:33] DeepSig的公司官网显示
[00:09:33 - 00:09:36] DeepSig V3在多项性能指标上表现优异
[00:09:36 - 00:09:39] 吊打了国内外一众大模型产品
[00:09:39 - 00:09:43] 比如说在MMRUEM测试中达到88.5分
[00:09:43 - 00:09:45] 超过了CHET GPT4O的87.2分
[00:09:46 - 00:09:49] 在DRP3哨的F1测试中达到91.6分
[00:09:49 - 00:09:52] 而CHET GPT4O仅为83.7分
[00:09:52 - 00:09:53] 不仅如此
[00:09:53 - 00:09:56] DeepSake V3的训练成本只有557.6万美元
[00:09:57 - 00:09:59] 而OpenI训练CHET GPT4O所花费的成本
[00:10:00 - 00:10:02] 高达7800万美元甚至1亿美元
[00:10:03 - 00:10:04] 双方成本相差10多倍
[00:10:04 - 00:10:06] 展示出DeepSake极高的性价比
[00:10:06 - 00:10:09] Openind的创始成员安德烈·卡巴西
[00:10:09 - 00:10:11] 在看到DeepSig的成绩后
[00:10:11 - 00:10:13] 对模型在资源受限的情况下
[00:10:13 - 00:10:15] 展现出的极高的研究和工程能力
[00:10:15 - 00:10:17] 也给予了高度赞赏
[00:10:17 - 00:10:18] 需要说明的一点是
[00:10:18 - 00:10:20] 梁峰组建的DeepSig团队
[00:10:20 - 00:10:22] 只有139名研发人员
[00:10:22 - 00:10:25] 而且是一支纯粹的国内本土团队
[00:10:25 - 00:10:26] 没有海归人才
[00:10:26 - 00:10:28] 团队成员大多是来自于清华
[00:10:28 - 00:10:31] 北大 北游 北航等国内顶尖高校的
[00:10:31 - 00:10:34] 计算机专业应届生或者是再度的博士生
[00:10:34 - 00:10:36] 或者是毕业一两年的年轻人
[00:10:36 - 00:10:37] 甚至有报道称
[00:10:37 - 00:10:39] 团队不招聘高级技术专业人员
[00:10:39 - 00:10:42] 员工的工作年限大约为3-5年
[00:10:42 - 00:10:44] 对于拥有8年以上的研发经验的人
[00:10:44 - 00:10:46] 可能会直接拒绝
[00:10:46 - 00:10:48] 因为他们认为这样的人可能包袱太重
[00:10:48 - 00:10:49] 缺乏创新的动力
[00:10:49 - 00:10:51] 比如在团队中
[00:10:51 - 00:10:54] 朱七豪是2024年北大计算机学院
[00:10:54 - 00:10:55] 软件研究所博士毕业生
[00:10:55 - 00:10:58] 戴达麦是2024年北京大学计算机学院
[00:10:58 - 00:11:00] 计算与研所的博士毕业生
[00:11:00 - 00:11:03] 郭达雅是2023年中山大学博士毕业生等等
[00:11:03 - 00:11:07] 其中還有不少人是在實習期間就做出了重要貢獻
[00:11:07 - 00:11:08] 對比來說
[00:11:08 - 00:11:11] OpenI其實在招聘的時候也有類似的傾向
[00:11:11 - 00:11:14] 會優先考慮沒有學術榮譽的高潛力新人
[00:11:14 - 00:11:16] 梁芳曾經對媒體表示
[00:11:16 - 00:11:17] 如果追求短期目標
[00:11:17 - 00:11:19] 找有經驗的人可能是正確的
[00:11:19 - 00:11:21] 但是從長遠來看
[00:11:21 - 00:11:24] 基礎能力、創造性和熱愛等等因素更為重要
[00:11:24 - 00:11:25] 在公司管理方面
[00:11:25 - 00:11:28] 梁芳採用了扁平化的組織結構
[00:11:28 - 00:11:30] 所有研究人員直接向他匯報
[00:11:30 - 00:11:32] 他給予團隊充分的尊重和自由
[00:11:32 - 00:11:34] 鼓励成员大胆尝试创新
[00:11:34 - 00:11:35] 无论职位高低
[00:11:35 - 00:11:37] 只要有好的想法就可以推进落地
[00:11:37 - 00:11:39] 在AI大模型的研发过程中
[00:11:39 - 00:11:41] 梁文峰也面临着资金的问题
[00:11:41 - 00:11:43] 由于他更加注重长期的学术探索
[00:11:44 - 00:11:46] 短期内难以实现产品的商业化
[00:11:46 - 00:11:48] 所以按照常规的VC投资逻辑
[00:11:48 - 00:11:50] 很少有VC愿意投资
[00:11:50 - 00:11:50] 因此
[00:11:50 - 00:11:53] 梁文峰在AI大模型领域的探索资金
[00:11:53 - 00:11:55] 目前还主要是依赖他的换方公司支持
[00:11:56 - 00:11:57] 2025年
[00:11:57 - 00:11:59] 梁文峰的换方量化资金管理规模
[00:11:59 - 00:12:00] 已经小于300亿元
[00:12:00 - 00:12:02] 退出了行業前6名
[00:12:02 - 00:12:03] 但是在1月10日
[00:12:03 - 00:12:05] 西藏日卡澤發生地震之後
[00:12:05 - 00:12:09] 換方量化依然向災區捐贈了100萬元救災款
[00:12:09 - 00:12:12] 最近小米雷軍千萬年薪挖走95後
[00:12:12 - 00:12:14] 天才AI少女的熱門話題
[00:12:14 - 00:12:15] 其中的主角羅弗利
[00:12:15 - 00:12:17] 也正是DeepSake團隊的研發成員
[00:12:17 - 00:12:19] 雖然DeepSake的一篇論文顯示
[00:12:19 - 00:12:21] 羅弗利已經從團隊離職
[00:12:21 - 00:12:24] 但他是否要加盟小米仍然有待進一步的確認
[00:12:24 - 00:12:26] 回顧梁文峰的創業歷程
[00:12:26 - 00:12:28] 他從一開始就秉持用技術驅動的理念
[00:12:28 - 00:12:31] 这可能源自于他对于人工智能的坚定信仰
[00:12:31 - 00:12:33] 以及对詹姆斯·西蒙斯的崇拜
[00:12:33 - 00:12:36] 他选择在金融场景中应用AI技术
[00:12:36 - 00:12:39] 为后续的研究创新积累了雄厚的财力
[00:12:39 - 00:12:40] 有趣的是
[00:12:40 - 00:12:43] 他的每次创业都恰逢资本市场的寒冬期
[00:12:43 - 00:12:45] 无论是2008年开启量化交易探索
[00:12:45 - 00:12:48] 还是2015年创办换方进入私募领域
[00:12:48 - 00:12:51] 以及2023年切入AI大模型赛道
[00:12:51 - 00:12:53] 但是他每次都能够在困境中崛起
[00:12:53 - 00:12:55] 迅速取得不俗的成绩
[00:12:55 - 00:12:58] 如今他将目光聚焦于AI大模型领域
[00:12:58 - 00:13:01] 把DeepSig更多的看作是好奇心驱使的學術探索
[00:13:01 - 00:13:03] 而非單純的商業利益追逐
[00:13:03 - 00:13:06] 所以也選擇將DeepSig開源
[00:13:06 - 00:13:08] 儘管梁文峰現在還不到40歲
[00:13:08 - 00:13:10] 但是幾乎可以預見的是
[00:13:10 - 00:13:12] 他和DeepSig將在人工智能領域
[00:13:12 - 00:13:13] 為我們帶來更多的驚喜
[00:13:13 - 00:13:15] 好了感謝大家的觀看
[00:13:15 - 00:13:16] 我們下期再見
