BV号：BV1AAo4BxEfR
标题：BV1AAo4BxEfR
链接：https://www.bilibili.com/video/BV1AAo4BxEfR
识别语言：zh
语言置信度：1
分段数：251
生成时间：2026-08-29 08:02:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 索尔这样的生成式世界模型
[00:01:20 - 00:01:22] 但代价是巨大的计算开销
[00:01:22 - 00:01:23] 但JAPO不同
[00:01:23 - 00:01:25] 它不重构向速
[00:01:25 - 00:01:27] 只预测抽象的特征向量
[00:01:27 - 00:01:29] 这就好比你开车时
[00:01:29 - 00:01:31] 不需要看清路边每一片数月的文理
[00:01:31 - 00:01:34] 只需要知道前面有辆车在减速
[00:01:34 - 00:01:35] JAPA的效率极高
[00:01:35 - 00:01:37] 但它有个致命弱点
[00:01:37 - 00:01:38] 模型很容易学会偷懒
[00:01:38 - 00:01:41] 把所有输入都映射成同一个特征项量
[00:01:41 - 00:01:43] 这样预测误差永远是零
[00:01:43 - 00:01:44] 这就是表示碳塌
[00:01:44 - 00:01:46] 为了防止碳塌之前的方案
[00:01:46 - 00:01:48] 需要6个以上的超参数
[00:01:48 - 00:01:50] 还要用各种玄学技巧
[00:01:50 - 00:01:52] 停止T度指数移动平均
[00:01:52 - 00:01:55] 多向损失函数的精细平衡
[00:01:55 - 00:01:56] 训练极其不稳定
[00:01:56 - 00:01:57] 负险困难
[00:01:57 - 00:02:00] 这就是LeoWoodmodel要解决的核心问题
[00:02:00 - 00:02:01] 关键点一
[00:02:01 - 00:02:04] 奥卡姆剔刀从繁复损失到极减双目标
[00:02:04 - 00:02:08] LeoWoodmodel的第一个核心创新是极致的减化
[00:02:08 - 00:02:10] 它直接扔掉了所有玄学技巧
[00:02:10 - 00:02:12] 只保留了两项损失函数
[00:02:12 - 00:02:16] 第一项是预测损失用军方误差衡量预测的下一帧
[00:02:16 - 00:02:20] 特征和真实下一帧特征之间的差距
[00:02:20 - 00:02:21] 这是最直接的监督信号
[00:02:21 - 00:02:23] 第二项是防贪塌证
[00:02:23 - 00:02:24] 则化
[00:02:24 - 00:02:25] 也就是SIGRAG
[00:02:25 - 00:02:29] 这是整篇论文最核心的创新后面会详细说
[00:02:29 - 00:02:30] 关键来了
[00:02:30 - 00:02:31] 对比一下
[00:02:31 - 00:02:33] PLDM需要6个超参数
[00:02:33 - 00:02:35] 调参复杂度是多项十级的
[00:02:35 - 00:02:37] 而LowWM只有一个超参数
[00:02:37 - 00:02:39] 调参复杂度是对数级的
[00:02:39 - 00:02:40] 这意味着什么
[00:02:40 - 00:02:43] 你只需要做一个简单的二分插招
[00:02:43 - 00:02:45] 就能找到最优的超参数
[00:02:45 - 00:02:47] 这在工程上是巨大的减幅
[00:02:47 - 00:02:49] 更重要的是训练曲纤变了
[00:02:49 - 00:02:53] PLDM的7项损失函数相互竞争
[00:02:53 - 00:02:55] 训练曲纤造声大不单调
[00:02:55 - 00:02:58] 经常出现某项损失突然爆炸的情况
[00:02:58 - 00:03:01] 而WM的两项损失收敛平滑单调
[00:03:01 - 00:03:03] 预测损失稳步下降
[00:03:03 - 00:03:06] SIG-AG在训练早期快速收敛后趋于平稳
[00:03:06 - 00:03:10] 在工程师的视角里最好的系统往往是最简单的
[00:03:10 - 00:03:12] 复杂度是bug的温床
[00:03:12 - 00:03:13] 也是不稳定性的来源
[00:03:13 - 00:03:16] 李WM的简化不是功能的妥协
[00:03:16 - 00:03:18] 而是对模型本质的深刻理解
[00:03:18 - 00:03:19] 关键点二
[00:03:19 - 00:03:22] 降为打击SIG-RAG的统计学魔法
[00:03:22 - 00:03:25] SIG Egg 全称是sketched
[00:03:25 - 00:03:27] isotropic
[00:03:27 - 00:03:28] Glossin Regularizer
[00:03:28 - 00:03:32] 草图化各向同性高思 政则化气
[00:03:32 - 00:03:35] 听起来很复杂 但核心思想极其幼雅
[00:03:35 - 00:03:36] 怎么防止模型偷懒
[00:03:36 - 00:03:38] 让它输出的特征 符合高思分布
[00:03:38 - 00:03:41] 如果所有特征 都坍塌成同一个点
[00:03:41 - 00:03:44] 那这个分布就是一个 狄拉克雕塔韩数
[00:03:44 - 00:03:45] 完全不是高思的
[00:03:45 - 00:03:49] 所以强制高思分布 就等于强制特征多样性
[00:03:49 - 00:03:51] 高维空间的分布 很难直接测量
[00:03:51 - 00:03:55] 传统的正态性检验都是为意围数据设计的
[00:03:55 - 00:03:57] 在高围空间里根本不适用
[00:03:57 - 00:03:59] LiWM的解法是用Kramerwald定理
[00:03:59 - 00:04:02] 这个定理说如果一个高围分布在
[00:04:02 - 00:04:05] 所有方向上的意围投影都是高丝的
[00:04:05 - 00:04:07] 那这个高围分布本身就是高丝的
[00:04:07 - 00:04:09] 所以LiWM的做法是
[00:04:09 - 00:04:12] 随机生成1024个方向相量
[00:04:12 - 00:04:14] 把高围特征投影到这些方向上
[00:04:14 - 00:04:16] 得到1024个意围分布
[00:04:16 - 00:04:20] 然后对每个意围分布做AppsPoly正态性检验
[00:04:20 - 00:04:24] 把所有检验统计量取平均就得到了SIGRAG损失
[00:04:24 - 00:04:25] 这就像切西一块
[00:04:25 - 00:04:27] 从各个角度切下去都是圆的
[00:04:27 - 00:04:29] 那它大概率就是个球
[00:04:29 - 00:04:30] 计算成本极低
[00:04:30 - 00:04:33] 但提供了理论保证的反贪塌机制
[00:04:33 - 00:04:34] 这不是起发式的trick
[00:04:34 - 00:04:36] 而是有数学基础的设计
[00:04:36 - 00:04:38] 把你的看法打在公平上
[00:04:38 - 00:04:39] 你觉得这种
[00:04:39 - 00:04:42] 用统计学原理解决工程问题的思路
[00:04:42 - 00:04:44] 在AI领域还有哪些应用场景
[00:04:44 - 00:04:45] 关键点三
[00:04:45 - 00:04:47] 永先的物理直觉不较而会
[00:04:47 - 00:04:49] 这是整篇论文最让我震惊的部分
[00:04:49 - 00:04:53] 模型没有重构像素也没有输入任何物理工事
[00:04:53 - 00:04:57] 但它的潜在空间自然永先出了对物理规律的理解
[00:04:57 - 00:04:59] 论文做了一个物理量探测实验
[00:04:59 - 00:05:02] 训练一个线性探针和一个非线性探针
[00:05:02 - 00:05:05] 从LWM的潜在表示中预测物理量
[00:05:05 - 00:05:08] 比如物体的位置角度速度
[00:05:08 - 00:05:13] 结果是LWM的线性探针性能超过了PLDM
[00:05:13 - 00:05:16] 非线性探针性能甚至能于使用了
[00:05:16 - 00:05:19] 大规模域训练编码器的Dynowm-bisle1
[00:05:19 - 00:05:25] 要知道,DIOWM的编码器是在1.24一张图片上训练的
[00:05:25 - 00:05:29] 而LWM是从零开始在单GPU上训练的
[00:05:29 - 00:05:31] 论文还做了一个违反期望实验
[00:05:31 - 00:05:33] 灵感来自发展心理学
[00:05:33 - 00:05:36] 因而在看到违反物理规律的事件时
[00:05:36 - 00:05:37] 比如一个球穿过墙壁
[00:05:37 - 00:05:40] 会盯着看更长时间表现出惊讶
[00:05:40 - 00:05:43] 当给LWM看物理上不合理的轨迹
[00:05:43 - 00:05:46] 比如物体瞬间隐形传送到随机位置时
[00:05:46 - 00:05:49] 模型能可靠地给出更高的精亚度分数
[00:05:49 - 00:05:52] 这证明了JPA路线的正确性
[00:05:52 - 00:05:54] 智能不需要记住世界的每一个像素
[00:05:54 - 00:05:57] 只需要理解世界运行的底层逻辑
[00:05:57 - 00:05:58] 在抽象的潜在空间里
[00:05:58 - 00:06:01] 模型反而能更纯粹地掌握物理规律
[00:06:01 - 00:06:04] 很多人会觉得世界模型必须是生成式的
[00:06:04 - 00:06:08] 必须能生成逼真的视频才算懂物理
[00:06:08 - 00:06:10] Sora能生成逼真的视频
[00:06:10 - 00:06:11] 所以它懂物理
[00:06:11 - 00:06:12] 这是主流认知
[00:06:12 - 00:06:15] 但真相是生成像素不仅浪费算力
[00:06:15 - 00:06:17] 还会让模型被无关细节干扰
[00:06:17 - 00:06:20] 你让Sora生成一个机械B操作的视频
[00:06:20 - 00:06:23] 它会花大量精力渲染金属的反光背景的阴影
[00:06:23 - 00:06:25] 这些对于规划动作毫无意义
[00:06:25 - 00:06:28] LWM证明了在抽象的潜在空间里
[00:06:28 - 00:06:30] 模型不仅能更好地理解物理
[00:06:30 - 00:06:32] 而且规划速度极快
[00:06:32 - 00:06:34] 数据很能说明问题
[00:06:34 - 00:06:37] 相比于DinoWM需要47秒的规划周期
[00:06:37 - 00:06:39] LWM只需要0.98秒
[00:06:39 - 00:06:40] 快了整整48倍
[00:06:40 - 00:06:41] 这里要说清楚
[00:06:41 - 00:06:43] 这个48倍
[00:06:43 - 00:06:45] 适合DinoWM这类基于大型域训练
[00:06:45 - 00:06:48] 视觉编码器的世界模型相比呢
[00:06:48 - 00:06:52] LowWM用了约200倍更少的token来编码观测
[00:06:52 - 00:06:54] 这是它极致高效的根本原因
[00:06:54 - 00:06:55] 看到这里你可能会想
[00:06:55 - 00:06:58] JAPA路线真的能打败生成式路线吗
[00:06:58 - 00:06:59] 我的答案是
[00:06:59 - 00:07:02] 这是两条路不是一条路
[00:07:02 - 00:07:03] 但更重要的是
[00:07:03 - 00:07:06] DWM揭示了AI发展的一个收敛定律
[00:07:06 - 00:07:10] 从工程hack走向数学优雅换一个角度来看
[00:07:10 - 00:07:13] 早期的GAM需要精心设计的训练技巧
[00:07:13 - 00:07:16] 学习率调度各种政策化才能勉强训练稳定
[00:07:16 - 00:07:18] 后来Diffusion Model出现
[00:07:18 - 00:07:20] 用一个简洁的去造目标
[00:07:20 - 00:07:23] 把生成模型的训练稳定性提升了一个数量级
[00:07:23 - 00:07:25] JAPA的发展也在走这条路
[00:07:25 - 00:07:29] 从PLDM的6个超参数7项损失
[00:07:29 - 00:07:32] 到LADWM的一个超参数2项损失
[00:07:32 - 00:07:33] 这不是偶然
[00:07:33 - 00:07:35] 这是技术成熟的必然轨迹
[00:07:35 - 00:07:37] 当一个领域的核心问题被
[00:07:37 - 00:07:39] 一个简洁的数学原理解决时
[00:07:39 - 00:07:41] 这个领域就真正成熟了
[00:07:41 - 00:07:43] LWM就是JAPA走向成熟的标志
[00:07:43 - 00:07:45] 接下来会发生什么
[00:07:45 - 00:07:46] 场景一
[00:07:46 - 00:07:47] 端侧机器人的大脑
[00:07:47 - 00:07:50] 15兆参数单卡可迅极速规划
[00:07:50 - 00:07:52] 这些特性意味着
[00:07:52 - 00:07:55] LWM可以直接部署在机器人的本地芯片上
[00:07:55 - 00:07:57] 不需要依赖云端
[00:07:57 - 00:07:59] 想象一下一个家用机器人
[00:07:59 - 00:08:00] 不需要连接云端
[00:08:00 - 00:08:02] 就能在本地实时推演接下来的动作
[00:08:02 - 00:08:05] 它的大脑里有一个世界模型
[00:08:05 - 00:08:07] 能预测如果我这样移动手臂
[00:08:07 - 00:08:08] 这个杯子会怎样
[00:08:08 - 00:08:10] 这是巨身智能落地的关键一步
[00:08:10 - 00:08:13] 场景2 算力平权时代的开启
[00:08:13 - 00:08:16] 过去世界模型的研发门槛极高
[00:08:16 - 00:08:18] 而当只需一张GPU就能再几个
[00:08:18 - 00:08:21] 小时内跑通端道端的训练时
[00:08:21 - 00:08:24] 更多研究机构和出创公司将涌入巨生智能赛道
[00:08:24 - 00:08:26] 加速整个行业爆发
[00:08:26 - 00:08:29] 场景3 离线强化学习的新范世
[00:08:29 - 00:08:33] LEWM是在完全离线无奖离信号的数据上训练的
[00:08:33 - 00:08:36] 这意味着它可以从任何行为数据中学习
[00:08:36 - 00:08:39] 不需要精心设计的奖励函数
[00:08:39 - 00:08:41] 这对工业场景极其重要
[00:08:41 - 00:08:43] 工厂里有大量的历史操作数据
[00:08:43 - 00:08:45] 但这些数据没有奖励标签
[00:08:45 - 00:08:48] Low WM可以从这些数据中学习世界模型
[00:08:48 - 00:08:50] 然后用于规划和优化
[00:08:50 - 00:08:51] 最后我想说一句话
[00:08:51 - 00:08:54] 真正的智能不是技术世界的每个像素
[00:08:54 - 00:08:55] 而是看透它运行的规律
[00:08:55 - 00:08:58] 这篇论文的意义不仅仅在于技术上的突破
[00:08:58 - 00:09:00] 它代表了一种哲学
[00:09:00 - 00:09:02] 简洁才是力量
[00:09:02 - 00:09:05] 从工程师的视角看我们得到几个重要的启示
[00:09:05 - 00:09:08] 第一 当你的系统需要大量Trick才能工作
[00:09:08 - 00:09:10] 这往往意味着你还没找到问题的本质
[00:09:10 - 00:09:13] LWM用统计学原理替代了工程Hack
[00:09:13 - 00:09:15] 这是找到本质的标志
[00:09:15 - 00:09:17] 第二 可仿问星驱动创新
[00:09:17 - 00:09:20] 单GPU可迅不只是成本优势
[00:09:20 - 00:09:22] 它让更多研究者能参与进来
[00:09:22 - 00:09:23] 加速了整个领域的发展
[00:09:23 - 00:09:26] 第三 物理理解不需要向速重建
[00:09:26 - 00:09:29] 这对未来的AI架构设计有深远影响
[00:09:29 - 00:09:32] 我们可能不需要生成式模型来理解物理世界
[00:09:32 - 00:09:36] 你觉得JAPA路线最终能打败Sora这样的生成式路线吗
[00:09:36 - 00:09:40] 还是说这两条路会走向融合,把你的看法打在公屏上
[00:09:40 - 00:09:44] 如果你对世界模型JAPA或者巨声智能感兴趣
[00:09:44 - 00:09:47] 欢迎在评论区告诉我,我会持续追踪这个方向
[00:09:47 - 00:09:49] 我是为什么叫QQ,我们下期见
[00:09:49 - 00:09:53] 别忘了一键三连,你的支持是我继续做内容的动力
